Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Ingénieur DEVOPS (H/F),AS INTERNATIONAL GROUP,Paris 2e (75),vide,"Paris 2e (75)
Company
AS INTERNATIONAL GROUP
Application email
offre31319815.10593@asinternational.contactrh.com
Education level
Bac +5
Work experience
2-3 ans
Function
Systèmes d'informations / télécom
Sub function
Système / Réseaux / Base de Données
Sector
Informatique / Télécom / Internet
Sub sector
Services Informatiques

Job description
Vous êtes intéressé et curieux d'en savoir plus ? Rejoignez-nous, et devenez un AS du déploiement d'application !

Nous vous attendons pour …
Concevoir des architectures Cloud, Web Services, Azure, Amazon
Elaborer l'architecture de développement d'applications mobiles intégrées au SI
Participer aux dossiers d'avant-vente
Concevoir et mettre en œuvre les outils d'industrialisation, de production et de supervision
Automatiser la chaîne de déploiement application et infrastructure (intégration continue)
Fiabiliser les installations en assurant : le déploiement continu, les tests continus
Développement d'outils
Assurer l'assistance technique des projets clients et le MCO des environnements,
Anticiper le changement et favoriser l'industrialisation des processus IT
Traitement des demandes de service

Profile description
Vous avez déjà…
Un bac +5
Une expérience significative dans le DevOps/Cloud (incluant stage et alternance)
Environnement technique : Linux, SpringBot, Java, Apache,, ELK, GIT, JENKINS, ANSIBLE, Apache, Tomcat, shell, Cloud (IAAS, PAAS, Azure, AWS) …
Un bon niveau en anglais pour intervenir sur les projets internationaux


…Vous pensez être :
Doté d'une maîtrise des outils de l'Usine Logicielle DEVOPS : GIT, Jenkins, Ansible, Nexus et passionné par la technique
Muni de solides connaissance en générale des systèmes UNIX, du scripting
Muni d'une bonne pratique des solutions MS AZURE et en particulier en mode PaaS

Ce poste est fait pour vous ? Alors, postulez !

Company description
AS International Group se positionne comme le partenaire incontournable des grands comptes dans leur stratégie de transformation digitale. Pourquoi nous rejoindre ?
Diversité des secteurs et des projets
Triple C : convivialité, confiance et collaboration
Fédérer une véritable communauté d'experts convaincus
Formation pour accompagner nos collaborateurs
30 ans d'expertise et innovation qui coexistent avec notre capacité à être présents sur des thématiques actuelles : DevOps, Big Data
il y a 8 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,devops,Paris,14/10/2019,vjk=6271660f60049266,vide,stage
Consultant DevOps F/H,FUBU CORP.,Paris 13e (75),vide,"Paris 13e (75)
CDI
Nous recherchons pour notre agence un(e) Consultant(e) DevOps.

Vous aurez pour missions :
Assurer le bon fonctionnement des environnements applicatifs

Optimiser la supervision ainsi que la performance de l'application

Contribuer aux décisions pour mise en production

Planifier et Réaliser les opérations d'intégrations applicatives et techniques

Mettre en œuvre et renforcer les outils d'automatisation de déploiement (Jenkins, Capistrano, Ansible, …)

Faire un reporting aux clients concernant les travaux d'intégration (Planification, tests, aléas etc.)

Développer les outils et les scripts

Assurer le suivi de l'intégrité des données (sauvegarde, espaces disques, travaux demandés)

Mettre en œuvre et appliquer la démarche qualité de l'entreprise

Assurer le support niveau 3 de la production.

Etablir la documentation technique dans une démarche d'amélioration continue

En tant que consultant, votre rôle comprendra également des aspects plus globaux, comme la veille technologique et le conseil auprès du client sur de nouveaux outils : Docker, Jenkins, Ansible, Splunk, etc.
Profil recherché Issu(e) d'une formation ingénieur ou d'un cursus universitaire (Bac+4 /Bac+5, vous maîtrisez le système d'exploitation Unix et le Scripting (Shell, Python, PowerShell, …). Vous avez dans l'idéal une bonne connaissance des environnements de production et de Docker. Votre facilité d'adaptation, votre réactivité et votre autonomie vous permettront de mener à bien et de satisfaire les exigences des projets qui vous seront confiés.
Entreprise FUBU est une jeune société de conseil en management de projets IT / Portage salarial

Nous avons pour objectif de travailler d'égal à égal avec nos consultants en apportant une expérience client au top. Nous sommes intimement convaincu que les deux notions sont liées !
Apec.fr - il y a 8 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,devops,Paris,14/10/2019,vjk=58b7059625d834b9,vide,cdi
Ingénieur de production DEVOPS F/H,NATIXIS,Paris 1er (75),vide,"Paris 1er (75)
CDI
Rattaché au Responsable d'une équipe de support applicatif, vous assurez des missions opérationnelles au sein d'une équipe entre 8 et 15 personnes, et plus particulièrement :

Gérer les incidents et les communications associées, les demandes et les actions d'amélioration pour résoudre les problèmes
Gérer les livraisons et autres changements sur les environnements de qualification et de production avec les outils de déploiement maison pour les applications/les traitements et les flux
Le maintien en condition opérationnelle des plates-formes :
Contrôler l'ouverture des applications selon la météo du plan batch de la veille
Mettre en œuvre la supervision applicative, les consignes en anglais au pilotage, les sauvegardes, les logs
Préparer et exécuter les tests de disponibilité / continuité
Contrôler les capacités / performances des applications
Chasser l'obsolescence technique de l'ensemble des solutions du SI
Suivre et mettre en place les recommandations d'audits
Écarter tout risque opérationnel
Maintenir la documentation des applications
L'intégration applicative dans le cadre des nouveaux projets métiers ou techniques de l'entité :
Participer au design des infrastructures des projets techniques et métiers pour assurer la cohérence du SI
S'assurer de l'atteinte des objectifs fixés dans le respect des délais des projets
Rédiger la documentation associée à la maintenance de l'application et former l'équipe pour assurer le relais dans le cadre de l'astreinte
Informer les supports de proximité des nouveaux arbres de qualification des incidents mis en place
Remonter les alertes aux instances et interlocuteurs concernés
Intégrer les nouvelles versions de logiciels applicatifs en respectant les normes en vigueur et en analysant l'impact de ces versions sur les applicatifs liés.
La mission proposée est soumise à une participation au dispositif d'astreinte hebdomadaire. La fonction support nécessite une organisation d'équipe adaptée aux plages de service des applications : vous contribuez à ce dispositif sur les démarrages et fin de journées selon un planning défini par le responsable d'équipe. Vous serez sollicité par votre manager pour la réalisation de travaux exceptionnels planifiés hors périodes ouvrées lorsque la plage de maintenance des applications le nécessite.

Les activités impliquent un travail collaboratif et transversal avec les équipes interne portant l'expertise Infrastructures et Sécurité, et également avec les entités IT du groupe BPCE (NATIXIS, IT-CE, IBP, 89C3, établissement bancaires)
Profil recherché De formation supérieure, vous disposez de bonnes connaissances techniques ainsi qu'un bon esprit d'analyse pour mener à bien différents sujets en garantissant le respect des engagements de la Production.

Les compétences techniques requises sont les suivantes :
Systèmes Unix/Linux, Windows, MQ Series, Websphere, Jboss, Scripting (Shell/Perl), TSM, Control-M, CFT
Notions de sécurité Réseaux, Architecture Web
Certificats/chiffrement, Instrumentation Zabbix, notions d'infrastructure Systèmes (technologies de clustering, stockage SAN, VMWARE, etc.), connaissances des middlewares utilisés chez Natixis dont FileNet).
Produits d'intégration et déploiement continu : Xlrelease, Xldeploy
En tant qu'Ingénieur de Production, il vous sera demandé de faire preuve d'un engagement fort, de capacité d'analyse, de sens du service, de curiosité de rigueur et d'autonomie afin d'être en mesure de traiter un large éventail de tâches dans un environnement technologique diversifié

Par ailleurs, un niveau suffisant en anglais écrit et oral est nécessaire pour pouvoir échanger avec les équipes IT situées sur la succursale Natixis Porto, mais aussi avec des éditeurs de logiciels et partenaires externes.

Des déplacements ponctuels sur Natixis Porto sont à prévoir.

Compétences à accompagner de formations : usage d'un ""Cloud Provider"" pour l'hébergement applicatif.

Site géographique : 14/18, avenue du Général de Gaulle, Charenton-le-Pont

Des déplacements ponctuels sur Natixis Porto sont à prévoir.
Entreprise La DSI de Natixis est au cœur des enjeux stratégiques de Natixis pour développer de nouveaux services & usages clients et adapter son modèle aux nouvelles réglementations bancaires. DSI internationale, implantée dans 12 pays (en Europe, en Amérique, en Asie et au Moyen-Orient), elle est dotée d'une forte culture clients et innovante grâce aux nouvelles méthodologies & technologies IT (Digital, Big Data, Blockchain, IT bi-modal, Agilité, Expérience utilisateur, Collaboratif, Sécurité de l'Information, Robotique). La DSI Natixis s'adapte régulièrement pour apporter le maximum de valeur aux Métiers de Natixis. Ses collaborateurs et les challenges qu'ils relèvent en sont sa meilleure vitrine.

Plus précisément au sein du Département Retail, le support applicatif Crédit Conso a pour responsabilité le maintien en condition opérationnelle des SI du métier BPCE Financement.

L'équipe support applicatif assure le maintien en conditions opérationnelles des applications et des traitements du métier. Elle prend en charge les incidents selon les engagements de niveau de service, déploie les évolutions des applications et des traitements associés. Elle optimise les paramètres applicatifs pour de meilleures performances et assure également la sécurité des applications et des infrastructures mises en place en gérant l'obsolescence technique.

L'équipe support applicatif est aussi responsable des choix d'infrastructure dans le cadre d'intégration de nouveaux progiciels dans le respect des normes et standards de la maison.

Dans le cadre du plan stratégique de Natixis, vous viendrez renforcer le dispositif pour transformer l'activité de l'équipe et intégrer les usages DEVOPS sur l'ensemble des activités. Les compétences sur les outillages permettant l'industrialisation des process et déploiements seront fortement appréciées pour accompagner la transformation digitale de Natixis : Cloud, CI/CD (Continuous Integration / Continuous Delivery).
Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,devops,Paris,14/10/2019,vjk=3f97b03ee7a986bd,vide,cdi
Intern - DevOps Engineer,DataDome,Paris (75),vide,"Paris (75)
Stage
DataDome is a global cybersecurity company that offers a SaaS solution designed to protect customer websites against OWASP automated threats: credential stuffing, layer 7 DDoS attacks, SQL injection & intensive scraping. The solution protects all our customers' vulnerability points (web, mobile apps & APIs) with cutting-edge artificial intelligence technology, providing real-time bot detection and automated blocking decisions.

The DataDome solution uses Java for our realtime detection layer, Apache Flink for real-time event analysis in order to detect new threats, and Elasticsearch to store requests from all our customers' visitors. We receive these requests from our customers' web servers, and use them to provide bot traffic statistics, feedback loops, business insights and bot attack details in the user dashboard (based on Symfony 4 & Angular 8).

We operate at scale and handle over 2 billion hits per day giving response in less than 3ms (99 percentile). Currently we are present in more than 18 datacenters around the world, deployed using Docker.
Our infrastructure is deployed on AWS and Azure, using Docker, Ansible and Terraform, and monitored with Grafana and Prometheus.
This stack is currently handling 100k requests per second, and manages more than 100 TB of data.

We are looking for a DevOps Intern who will be in charge of improving our tools, delivery pipelines and alerting systems.

As a member of our DevOps team, in a typical day, you might:
Monitor our platform availability and performance using Grafana/Prometheus
Work in collaboration with dev teams to continuously improve their code delivery pipelines using Ansible/Jenkins
Determine issue root causes and add new alerts to our monitoring platform
Improve our scripts to deploy a new Point of Presence using AWS/Azure/GCP or baremetal servers using Terraform and Ansible
Explore new technologies, imagine how we could leverage them
Find bugs in third party Open Source libraries and report them to the official repositories
Requirements

You have validated at least your 2 first years at Uni or Engineering school
You know how to build pipelines and /or monitoring production environments in the cloud or on premises
You have a first experience working in Unix/Linux environments and a good knowledge of networking systems
You care about code security, quality, simplicity and performance
You have a real passion for automation

Bonus points

You have a previous experience or background in cybersecurity
You've worked at high scale with systems like Apache Kafka, Apache Flink or ElasticSearch
You've worked with Kubernetes and/or Jenkins (using Jenkins files)
You contributed to open-source projects
You understand, precisely, how internet works
What we offer if you join our dream team

A stimulating work environment with passionate individuals and a first class R&D team creating a first class and innovative solution, making DataDome one of the strongest performers in the bot protection industry
A multicultural and diverse team withA multicultural and diverse team with with almost 10 different nationalities in the office!
A joyful workplace with many events throughout the year : annual offsite, summer and Christmas parties; one thematic aperitif per month, breakfast
every Friday morning...
Amazing offices located Rue de Rivoli with a 360 view of the most beautiful city in the world!
A lunchR card
Interested in this internship offer? Send your application now!
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Paris,14/10/2019,vjk=618976409ec03ab6,vide,stage
Ingénieur DevOps F/H,Universign,Paris 9e (75),vide,"Paris 9e (75)
CDI
Eh oui, Universign renforce son équipe engineering et recrute un.e : Ingénieur Devops (H/F)

Votre to-do est toute prête :
Mettre en place les pipelines d'intégration continue / livraison continue

Outiller et assister les équipes de développement

Maintenir la plateforme de Build

La touche Universign : Nous avons préparé une période de formation et d'intégration avec des rendez-vous internes, un survival kit, des ateliers méthodologies et outils, et même un parrain.

Nous proposons également des tickets restaurant, un co financement d'activité sportive, des horaires flexibles, la possibilité de travailler en remote, un petit déjeuner hebdo avec la team, Nespresso à volonté, des blinds déjeuner avec les collègues et des fruits frais chaque semaine.
Profil recherché En plus d’être dynamique, rigoureux.se, ouvert.e d’esprit, avec un véritable esprit d’équipe et un sens du service indiscutable, ce qui nous plairait chez vous, c’est qu’on parle la même ${lang} : Jenkins, Jenkins Pipeline, Docker, Swarm, SonarQube, ELK, Prometheus, Grafana, JIRA, Bitbucket, Git, Slack, Ansible, BrowserStack, maven, npm, yarn… Une expérience de 3 ans minimum serait un requis pour venir relever nos défis techniques.
Entreprise Universign est un pure-player de la signature électronique, de l’horodatage et de la gestion des identités numériques, aujourd’hui considéré comme un expert de référence sur son marché. Universign propose une plateforme Cloud de signature électronique, qui permet aux entreprises et aux particuliers de signer et faire signer électroniquement tous types de documents et apporter une réponse clé-en-main aux enjeux de contractualisation dématérialisée.

Intégrer Universign, c’est intégrer une entreprise innovante dont les collaborateurs ont à cœur d’accompagner leurs clients dans la réussite de leur transformation digitale.

Intégrer Universign, c’est rejoindre une équipe dynamique composée d’une quarantaine de collaborateurs. Niché au cœur du quartier animé de Bonne Nouvelle (Paris 9e), vous bénéficiez d’un cadre de travail optimal, dans une ambiance agréable et stimulante.
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Paris,14/10/2019,vjk=f7a1588c146a7d3d,vide,cdi
DevOps (H/F),BK Consulting,Nanterre (92),vide,"Nanterre (92)
CDI
Vous intégrerez une équipe qui a pour mission la création et le maintien des fonctionnalités innovantes et à forte valeurs ajoutées.

Dans ce contexte, vous participerez activement à la transition de l’infrastructure vers une architecture de micro services.

Vous aurez en charge le maintien en production des différents produits délivrés par l’équipe, notamment en ce qui concerne leur scalabilité, disponibilité et sécurité et vous participerez également aux choix d’architecture, d’infrastructure.

Vous serez en charge :
\* D’être le garant de la disponibilité de service, des performances et de la continuité de service

\* De promouvoir et appliquer la culture de l’automatisation

\* De participer à la mise en place d’une stratégie fiable et performante d’Intégration et de Déploiement Continu (CI / CD)

\* De l’Amélioration Continue (performance, supervision, optimisation des coûts, …)

\* D’intégrer notre process d’astreinte technique

\* De réaliser la transition vers une architecture microservices avec l’ensemble de l’équipe

\* Le tout dans un contexte de « Très Haute Disponibilité et de Sécurité » (PCI-DSS)

Environnement / Stack technique

\* Méthodologies: Devops, Agile (scrum et/ou kanban)

\* Observability: Grafana, Kibana, librenms, nagios, munin, graphite, statsd

\* Automatisation: pupet, ansible, gitlab

\* SGBD: MySQL, MariaDB, Redis, MongoDb, ElasticSearch

\* Web: nginx, apache, php-fpm, ha-proxy

\* Messaging: RabbitMQ

\* Virtualisation: VMWare

\* Langages (dev et ops): PHP, Python, Bash, node

\* Protocoles bancaires: CB2A, CBAE

\* Infrastructure As Code: Packer, HashiCorp…

\* Cryptographie, HSM, SSL
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Paris,14/10/2019,vjk=bf3446e3e465d55b,vide,cdi
Spécialiste DevOps (H/F),DiliTrust,La Défense (92),vide,"La Défense (92)
CDI
Notre équipe DevOps accompagne l’expansion de nos plateformes et l’augmentation du nombre de produits à déployer, et grandit. Nous améliorons sans cesse le provisionnement de nos environnements, ainsi que nos capacités CI/CD en liaison avec l’équipe QA, et cherchons un.e ingénieur expérimenté.e pour épauler nos 3 DevOps. Nous travaillons en équipe avec l’ensemble des ingénieurs pour assurer un code production-friendly, mais également avec le RSSI pour assurer la sécurité de nos environnements certifiés ISO 27001 et de nos procédures, et avec bein d’autres départements encore.
Quelles seront vos activités au quotidien ?
Garantir la sécurité, la performance et la scalabilité des architectures techniques
Automatiser le provisionnement des environnements
Optimiser l’architecture des environnements et proposer de nouvelles méthodes
Coordonner les changements avec les hébergeurs sur les différents continents
Assurer la co-conception de solutions techniques avec l’équipe de développement
Investiguer les incidents de production et proposer des solutions
Réaliser la veille technologique et de sécurité
Documenter les procédures et bonnes pratiques utilisées
Intéressé(e) jusqu’ici ? Fantastique ! Mais ce poste est-il fait pour vous ?
Diplôme d’ingénieur reconnu
1 à 5 ans d’expérience dans le déploiement d’applications web sur Linux/Windows
Aisance avec la ligne de commande (bash/PowerShell)
Expérience dans la mise en place de pipelines CI/CD
Rigueur, minutie et concentration, capacité à effectuer des tâches critiques
Esprit d’initiative et capacité à mettre en place des outils ou procédures
Esprit d’équipe et capacité à contribuer au développement des autres équipiers
Expérience avec : LAMP, .NET, Jenkins ou ELK seraient de sérieux atouts
Expérience dans la sécurité ou la norme ISO 27001 serait un atout
Conditions : Nous vous attendons dès que possible pour un poste à temps plein rémunéré selon le profil
Avantages : Emplacement des bureaux, complémentaire santé, plan d’intéressement, collègues chaleureux et excellente ambiance au bureau
Localisation : Nantes, Paris ou Montréal à définir
Type d'emploi : CDI
Langue:
anglais (Requis)
Français (Requis)
il y a 2 jours
Signaler cette offre d'emploi",12/10/2019,devops,Paris,14/10/2019,vjk=bec52e859e7b0494,vide,cdi
Ingénieur DevOps (H/F),Ovalo,Neuilly-sur-Seine (92),45 000 € - 60 000 € par an,"Neuilly-sur-Seine (92)
CDI
45 000 € - 60 000 € par an
Pour l’un de nos clients grand compte, vous aurez pour missions de :
Instiller la culture DEVOPS au sein du collectif projet, avec l’appui des coaches DEVOPS
Garantir l’exploitabilité et la fiabilité de l’application
Piloter la fourniture des environnements et leur maintien en conditions opérationnelles dans le temps
Automatiser, fiabiliser et optimiser les déploiements (dans l’optique du Continuous Delivery à terme)
Administrer les environnements Cloud
Industrialiser les créations/suppressions d'Environnements dans Microsoft Azure
Support sur des problématiques techniques rencontrées sur les environnements Cloud Azure
Installer l'application sur les différents environnements
Participer au RUN du projet
En niveau 3/4 sur la gestion des incidents
En temps réel et en astreinte pendant les périodes de VSR post-MEP
En suivi / pilotage des problèmes
Par la proposition d’actions d’amélioration
Garantir le choix des bonnes solutions PaaS et un paramétrage optimal et exploitable de ces composants
Le profil idéal nous recherchons !
Compétences techniques attendues :
Très bonne maîtrise des outils de l’Usine Logicielle DEVOPS : GIT, JENKINS, ANSIBLE, NEXUS
Solides connaissances générales des systèmes unix, du scripting
Pratique des solutions MS AZURE et en particulier en mode PaaS
Méthodologies et aptitudes comportementales attendues :
Connaissance pratiques de la déclinaison d’ITIL dans un contexte de production industrielle (ITSM)
Expérience de la conduite de projet et en particulier des méthodes agiles
Très bonne connaissance de DEVOPS et expériences significatives
Coopération / transversalité / travail en réseau
Initiative / anticipation / autonomie
Ovalo, l’entreprise de vos rêves ?
Lancé en Aout 2015, Ovalo a l’ambition d’être un cabinet de conseil unique en son genre : réactivité, management de proximité, perspectives d’évolutions et de mobilité… Tout est mis en œuvre pour que chaque salarié soit partie intégrante de la réussite de l’entreprise !
Ovalo propose des missions d’expertise à ses consultants : projets durables, enrichissants et challengeants chez des clients grands comptes ! C’est aussi une entreprise où il fait bon vivre : des événements réguliers, une team soudée et solidaire, un esprit de partage…
Ovalo encourage l'autonomie et les initiatives : il est offert à toutes et à tous la possibilité et surtout les moyens de prendre part à la vie de l’entreprise, par exemples : en animant des conférences, en participant à la construction de nouvelles offres, en représentant Ovalo à des salons, en participant aux recrutements et aux avant-ventes etc.
N’hésitez plus !
Type d'emploi : CDI
Salaire : 45 000,00€ à 60 000,00€ /an
Expérience:
ingénieur devops (h/f) ou similaire: 3 ans (Souhaité)
il y a 2 jours
Signaler cette offre d'emploi",12/10/2019,devops,Paris,14/10/2019,vjk=2edc9ca696c1efac,vide,cdi
SMILE DEVOPS - F/H,Ingeniance,La Défense (92),vide,"La Défense (92)
CDI
Contexte de la mission:
Dans le cadre du Projet (migration industrielle Psystem), une partie du parc applicatif de notre client est constituée d'applications fonctionnant dans la technologie PSystem (Pascal).

Afin de couvrir le risque opérationnel lié à l'obsolescence de cette technologie, notre client a lancé un plan de sortie dont l'axe majeur est la migration industrielle des applications PSystem vers des technologies Java/J2EE. Le périmètre couvre environ 100 applications.

Chaque application est migrée et fait l'objet d'une première phase de qualification par le partenaire. Dès livraison par le partenaire, notre client réceptionne l'application, la déploie et procède à une phase de tests d'Intégration SI ayant vocation à valider l'intégration de l'application dans le SI. Enfin, le client procède à l'homologation bancaire de l'application.

À ce titre, le client souhaite bénéficier de l'expertise du prestataire en termes d'ingénierie d'études ou conception et mettre en place cette nouvelle application (notamment assurer la performance en insertion et en requetage) avec des méthodes agiles.


Missions:
Dans ce cadre, le consultant devops contribuera à/aux:
Activités sur les applications migrées (Java)
Déploiement des applications JAVA via l'outillage de déploiement (package auto porteur)
Diagnostic en cas de problème de déploiement
L'analyse des logs (format, présence flux,..)
Support aux testeurs
Support technique pour analyse en cas de pb sur la chaine de liaison, l'architecture (Apache, JBOSS, Safe, WS) dans les différents environnements
Gestion de la chaine d'intégration continue : création de dépôt , droits, job jenkins, GIT, bitbucket, Sonar
Création des fichiers de configuration permettant de gérer les déploiements en PROD
L'interface avec les entités d'exploitation en charge des infrastructures et des déploiements en envt HOB, HOT et PROD pour le diagnostic en cas de dysfonctionnement
Compétences techniques requises de l'ingénieur devops:
Weblogic
Apache
HTML
J2EE
Webservices
Eclipse
Java
Javascript
JSF
Profil recherché:

Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
Vous justifiez d'une première expérience réussie en tant que consultant devops, alliée à un bon niveau en anglais.
La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Paris,14/10/2019,vjk=adb86c76f7b25f06,vide,cdi
STAGE - INGENIEUR DEVOPS MONITORING - 1ER SEMESTRE 2020 - F/...,Ingeniance,La Défense (92),vide,"La Défense (92)
Stage
Contexte de la mission :
Vous travaillerez dans notre Lab DevOps et serez en relation directe avec notre Lab manager ainsi que nos consultants en mission chez nos clients.
Au sein de ce Lab vous monterez compétences sur les technologies du cloud, l'approche micro-services, l'intégration continue, le déploiement continu, tout en gardant à l'esprit la scalabilité, la fiabilité et les performances.
Mission :
Au sein d'une équipe motivée et passionnée, dans une ambiance start-up positive, vous serez en charge de travailler avec le lab manager pour concevoir, déployer et sécuriser notre nouveau cluster EFK (Elastic, Fluentd, Kibana).
Vos missions seront principalement la recherche de la meilleure façon de déployer un cluster EFK sur Kubernetes en exploitant le PaaS (AWS), et en utilisant des outils de packaging et de service mesh avancés tels que Helm et Istio.
Vous devrez aussi, en collaboration avec le Lab manager et les leads-développeurs, concevoir et intégrer les différents services du Lab Software Technology au cluster Elastic.
Java, Docker et technologies de Cloud (Openstack, AWS, GCP)
Compréhension/Application des concepts de Continuous Integration et de Continuous Delivery
Scripting (bash, python...)
Technologie REST et maitrise des concepts d'API / web-services
Une SGBD NoSQL parmi: MongoDB, ElasticSearch, Cassandra, HBase
Profil recherché:
Vous êtes en 3eme année d'une école d'ingénieurs ou de formation équivalente (Bac+5).
Vous êtes motivé, poussé par le challenge et autonome
Vous vous adaptez facilement aux nouveaux environnements et abordé de nouvelles technologies vous passionnent.
Connaissances en Java, Docker et technologies de Cloud (Openstack, AWS, GCP)
Compréhension/ Application des concepts de Continuous Integration et de Continuous Delivery
Notions en scripting (bash, python, etc).
Technologie REST et maitrise des concepts d'API / web-services
Connaissances dans une ou plusieurs SGBD NoSQL parmi: MongoDB, ElasticSearch, Cassandra, HBase
Conditions proposées :
Convention de stage obligatoire
Durée du stage de 6 mois (selon vos disponibilités), avec perspective réelle de CDI
Lieu de travail à La Défense (92)
Stage à temps plein
Indemnités de stage selon profil (merci d'indiquer vos prétentions)
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Paris,14/10/2019,vjk=0e8000f20ce0bfe5,vide,cdi
