Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Responsable Projets Data Management/ Product Owner PIM f/h,Vidal Associates,Bordeaux (33),vide,"Bordeaux (33)
VIDAL ASSOCIATES Consulting & Search, référence dans le recrutement de cadres spécialistes et de dirigeants en France et à l'international, recrute pour son client en CDI un Responsable Projet Data Management/ Product Owner PIM f/h basé à Bordeaux, 33.

Notre client est un éditeur de logiciel (3M€ de CA, 25 personnes) de solutions de type Master Data Management (MDM) dédiées aux articles/ produits (Product Information Management/ PIM). Ils se différencient par l'état d'esprit de leurs équipes, leur exigence de qualité et leur forte indépendance. Dans un contexte de croissance de leur activité, nous recrutons sur une création de poste :

Responsable Projet Data Management/ Product Owner PIM f/h
Cdi - basé à Bordeaux, 33

Mission
Rattaché aux fondateurs, vous assurez deux principales missions :

En tant que Responsable Projets, vous gérez des dossiers Client de déploiement de PIM : relation Client, analyse besoin, préconisation, planification, respect planning et budget, travail en équipe

En tant que Product Owner, vous participez à la construction du PIM de demain
Vous auditez les instances existantes
Vous écoutez, vivez et critiquez l'expérience Client pour ajuster les nouveaux développements
Vous planifiez, faites, mais aussi faites faire, contrôlez...

Profil
Vous possédez une formation supérieure de type Master 2 avec une spécialisation en Data Management/ Gouvernance des Données, voire en marketing/communication, ou de type école d'ingénieur
Vous justifiez d'une expérience minimum de 3 ans acquise sur un ou plusieurs Product Information Management (PIM) ou master data management (MDM, PCM, PRM…), voire Customer Relationship Management (CRM)
Vous maîtrisez la gestion de projet et/ou avez une expérience en tant que Product Owner (PO), Product Manager (PM)…
Vous vous démarquez en clientèle par votre sens relationnel et la qualité de votre écoute pour analyser les véritables besoins de vos clients
Doté d'un esprit entrepreneurial, vous aimez travailler en parfaite autonomie et n'avez pas peur de mettre la main à la pâte

Ce que nous vous proposons :
Rejoindre une équipe à taille humaine et dotée d'une rigueur à toute épreuve sans se prendre au sérieux
Créer votre poste sur les deux dimensions Projet/ PO et évoluer quotidiennement en toute autonomie

Cette offre d'emploi en CDI de Responsable Projets Data Management/ Product Owner PIM f/h basée à Bordeaux (33) correspond à votre recherche et à votre profil ?

Afin d'étudier votre candidature avec attention, nous vous remercions de l'adresser à VIDAL ASSOCIATES Consulting & Search, sous la référence Vb10613U en déposant votre dossier sur notre site www.talentup.com ou de l'envoyer par email à vb11165u-77@talentup.net
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=59bd6b5821662180,vide,cdi
Consultant Data Integrity F/H,CVO-EUROPE,Bordeaux (33),vide,"Bordeaux (33)
CDI
Dans le cadre de vos fonctions, vous réalisez et proposez un plan d'action conforme aux exigences et problématiques client.

Pour se faire, vos missions sont les suivantes :
Accompagnement dans la mise en place du plan d’action
Mise en place de la gouvernance Data Integrity et de la stratégie de mise en conformité (politique, procédures, manuels, DI master Plan, etc.)
Conduite, animation et suivi des analyses de risques, plan de mitigation des risques, plan CAPA
Fiabilisation et sécurisation des flux de données et des documents papiers et bureautiques (word, excel, access, lotusnotes, exchange…)
Fiabilisation et sécurisation des flux de données électroniques : déploiement fonctionnel, upgrade ou mise en place de systèmes informatisés types LIMS, LAS, ERP, MES, eBR, eDMS, eQMS, Scada, supervision, EMS, BMS, WMS… : projets, URS, choix, paramétrage, configuration, installation, qualification, validation
Amélioration, sécurisation des infrastructures informatiques : accès physiques et logiques, backup / restore, DRP, BCP…
Pilotage de projets Data Integrity
Profil recherché De formation scientifique (Bac+2 à Bac+5), spécialisée dans le domaine de la Santé, vous avez une expérience significative au sein du secteur des Sciences de la Vie.

Vous avez une bonne connaissance de la réglementation propre au secteur pharmaceutique et de la gestion des systèmes informatisés (référentiels GAMP, 21 CFR Part 11, cycle de vie Data Integrity, ALCOA, etc.).

Vos capacités relationnelles et organisationnelles et votre force de proposition sont des atouts majeurs pour mener à bien ces missions.

Nous vous offrons :
La possibilité d’évoluer au sein d’un groupe à taille humaine mais à dimension internationale, qui vous propose des projets à votre mesure.
Un management de proximité et une culture d’entreprise forte et orientée vers l’épanouissement professionnel et personnel.
De nombreuses possibilités d’évolution
Des formations continues et une gestion de carrière personnelle.
Si vous aussi vous souhaitez bénéficier d’une carrière épanouissante, évolutive et riche d’expériences variées, postulez et rejoignez l’équipe CVO-EUROPE !
Entreprise Fort d’une équipe pluridisciplinaire, CVO-EUROPE accompagne, depuis 1995, les entreprises des Sciences de la Vie sur toutes les étapes (conception, validation, opération, transformation digitale) de leurs activités critiques pouvant impacter la qualité du produit, l’intégrité des données et la santé du patient, en garantissant la conformité de leurs systèmes, équipements, process et données.

A travers une offre de services complète (prestations, centre de services partagés, audit, conseil et ingénierie pédagogique), le groupe CVO-EUROPE s’engage à apporter à ses clients des solutions performantes et innovantes, tout en restant fidèle aux valeurs humaines qui le caractérisent depuis sa création.
Apec.fr - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=14dfb7ed57606d05,vide,cdi
Directeur de projet Data F/H,Thélio,Bordeaux (33),50 000 € - 60 000 € par an,"Bordeaux (33)
CDI
50 000 € - 60 000 € par an
THELIO
Et si vous rejoigniez une équipe bordelaise débordante d’énergie pour participer à sa croissance et devenir leader de la Data en France d’ici 5 ans ? Beau challenge, non ?
Vous vous sentez prêt à porter des engagements importants ?
Vous avez envie d’être impactant dans une entreprise en apportant votre savoir-faire et en le transmettant à vos collègues ?
Vous souhaitez intervenir sur des projets qui vous feront progresser, quitte à vous sortir de votre zone de confort ?
Vous avez un sens aigu de l’engagement ?
Dans un cadre mêlant écoute, passion et agilité, et excellence, nous vous proposons de nous rejoindre pour un poste en tant que Directeur de projet Data.
Votre mission
Votre mission sera de :
Piloter les projets, respecter les plannings, les charges,
Anticiper les prochains jalons projet,
Driver les équipes techniques et identifier les différents risques,
Être le face-to-face des clients,
Faire grandir nos chefs de projets juniors,
Transmettre votre savoir-faire méthodologique,
Préparer et participer aux instances de pilotage,
S’approprier les choix techniques faits par les équipes, les défendre vis-à-vis de nos clients,
Participer aux réponses aux appels d’offres : dossiers et soutenances,
Et surtout être un ambassadeur Thélio.
Votre profil
Pour relever ce défi, il vous faut :
Avoir minimum 10 ans d’expérience, dont 5 ans à minima sur le pilotage de projet (équipe de 5 à 6 ETP minimum),
Être capable de porter des engagements,
Avoir un esprit de synthèse,
Savoir anticiper et gérer des risques,
Posséder une réelle appétence pour la donnée,
Avoir une large connaissance de l’organisation des DSI,
Détenir une solide culture générale sur les infrastructures et le réseau,
Posséder de solides connaissances techniques sur les bases de données, SQL, NoSQL,
Disposer de connaissances robustes sur l’architecture Cloud,
Avoir une expérience sur la Dataviz, le Data engineering et l’alimentation,
Maîtriser les cycles d’un projet : développement, livraison, déploiement, formation.
Thélio
Thélio est une véritable aventure humaine. Fondé en 2011, notre cabinet de conseil spécialisé dans la donnée compte aujourd’hui une trentaine de collaborateurs avec des profils et expériences variés. Ce savant mélange de technique et conseil en data, vous offre l’opportunité d’intervenir sur des sujets innovants dans une entreprise en croissance.
Devenir un Thélio, c’est avant tout :
Être entouré de collègues extrêmement compétents et curieux,
Être rapidement intégré dans une équipe projet du tonnerre,
Bénéficier d’un excellent réseau professionnel et intervenir chez des clients reconnus dans la région,
Développer une expertise forte,
Avoir la possibilité de se former régulièrement et de passer des certifications reconnues,
Rejoindre une entreprise à taille humaine, travailler en équipe avec des gens talentueux et motivés dans une ambiance conviviale,
Faire partie d’une communauté de collègues motivants et motivés,
Profiter d’un accompagnement pour s’intégrer et se développer.
il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",03/10/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=b87763c445104067,vide,cdi
DPO (Data Protection Officer) DELEGUE A LA PROTECTION DES DO...,VALOREM,Bègles (33),vide,"Bègles (33)
CDI
Pour accompagner sa croissance et répondre aux obligations réglementaires en matière de protection des données à caractère personnel, VALOREM crée un poste de Data Protection Officer, Délégué(e) à la protection des données.

Basé(e) au siège à Bègles et rattaché(e) à la Direction du Groupe, vous êtes garant(e) de la conformité en matière de protection des données à caractère personnel du Groupe Valorem, en accord avec le Règlement Européen sur la protection des données (RGPD) et de toutes lois nationales concernées et ce, s’agissant de l’ensemble des traitements mis en oeuvre par le Groupe Valorem.
Profil recherché • De formation généraliste de niveau Bac+5 avec une double approche dans les systèmes d'information et juridique complétée d’une expérience d’au moins 10 ans avec une bonne approche des organisations et des systèmes d'information

Bonne connaissance du domaine de la protection des données et la réglementation RGPD
Bonne maîtrise des méthodes de gestion, pilotage de la sécurisation et de la cartographie des données
Rigoureux(se), méthodique, bonnes approches analytique et systémique et capacité à accompagner le changement, le développement de la gouvernance de la sécurisation des données
Capacité d’adaptation, leadership, force de persuasion, sens du respect de la réglementation
Entreprise Le groupe VALOREM (250 salariés) est un producteur indépendant d’énergies vertes né en 1994. En 25 ans, VALOREM est devenu un acteur reconnu de la filière éolienne et solaire et maîtrise aujourd’hui l’ensemble de la chaîne de valeur depuis le développement de projets potentiels jusqu’à l’exploitation des parcs et à leur maintenance, et se développe en France et à l’International. Il dispose de son propre bureau d’Etudes interne, avec 4 services et 25 personnes.
Apec.fr - il y a 27 jours
- Continuer pour postuler
Signaler cette offre d'emploi",17/09/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=13b1f101394db3d9,vide,cdi
DPO (Data Protection Officer) DELEGUE A LA PROTECTION DES DO...,VALOREM Energie,Bègles (33),vide,"Bègles (33)
CDI
Offre d’emploi
DPO (Data Protection Officer)
DELEGUE A LA PROTECTION DES DONNEES H/F
L’entreprise
Le groupe VALOREM (220 salariés) est un producteur indépendant d’énergies vertes né en 1994. En 20 ans,
VALOREM est devenu un acteur reconnu de la filière éolienne et solaire et maîtrise aujourd’hui l’ensemble de la
chaîne de valeur depuis le développement de projets potentiels jusqu’à l’exploitation des parcs et à leur
maintenance, et se développe en France et à l’International.
Descriptif du poste
Pour accompagner sa croissance et répondre aux obligations réglementaires en matière de protection des données
à caractère personnel, VALOREM crée un poste de Data Protection Officer, Délégué(e) à la protection des données.
Basé(e) au siège à Bègles et rattaché(e) à la Direction du Groupe, vous êtes garant(e) de la conformité en matière
de protection des données à caractère personnel du Groupe Valorem, en accord avec le Règlement Européen sur la
protection des données (RGPD) et de toutes lois nationales concernées et ce, s’agissant de l’ensemble des
traitements mis en œuvre par le Groupe Valorem.
Vos principales missions
Vous informez et conseillez, aux côtés de la Direction, l'ensemble des salariés du groupe VALOREM qui
utilisent et traitent des données, sur les obligations réglementaires en matière de RGPD pour l'ensemble du
Groupe. Vous définissez, mettez en place et pilotez un processus continu d'audit RGPD des traitements.
Vous contrôlez le respect de toutes les dispositions du Droit de l'Union Européenne et du Droit des États
membres, dans les processus et les règles internes du Groupe Valorem en matière de protection des données
à caractère personnel. Vous analysez les risques opérationnels ou de non-respect des obligations ou
recommandations. Vous repérez des anomalies et apporte des solutions correctives visant à garantir le cadre
légal et la bonne application du processus, procédures et consignes du RGPD
Vous vous assurez avec le RSSI, de l'intégrité du SI en place, pour garantir la protection des données à
caractère personnel. Vous analysez les risques de production et d'architecture du SI.
Vous êtes étroitement impliqué(e) dans toutes les décisions ou analyses traitant des études d'impacts sur la
vie privée, des choix d'architecture liés au principe ""Privacy by Design"", d'éventuelles notifications en cas de
fuite de donnée
Vous coopérez avec les Autorités de contrôle compétentes en matière de contrôle de données et vous
assurez l'interface pour toute question relative au traitement et à l'utilisation des données.
Profil
De formation généraliste de niveau Bac+5 avec une double approche dans les systèmes d'information et
juridique complétée d’une expérience d’au moins 10 ans avec une bonne approche des organisations et des
systèmes d'information
Bonne connaissance du domaine de la protection des données et la réglementation RGPD
Bonne maîtrise des méthodes de gestion, pilotage de la sécurisation et de la cartographie des données
Rigoureux(se), méthodique, bonnes approches analytique et systémique et capacité à accompagner le
changement, le développement de la gouvernance de la sécurisation des données
Capacité d’adaptation, leadership, force de persuasion, sens du respect de la réglementation
Conditions
Localisation : Bègles. Poste à pouvoir : dès que possible
Type de contrat : CDI Temps de travail : Temps partiel – mi-temps
Statut : Cadre Rémunération : à négocier selon expérience
il y a 28 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=bb1ad0fcb4695ec5,vide,cdi
Développeur DATA,EVOLLIS,Bordeaux (33),40 000 € - 46 000 € par an,"Bordeaux (33)
Temps plein, CDI
40 000 € - 46 000 € par an
L'ENTREPRISE
Evollis, c’est une innovation commerciale d’offres de location de biens d’équipement pour les particuliers, créée en 2011 :
Présente dans 4 pays européens et Lauréate du TOP100 Europe des entreprises les plus prometteuses (Red Herring)
Labellisée French Tech et membre fondateur de l’association France Fintech
Présente sur le marché en tant que marque blanche via nos partenaires ainsi qu’avec notre propre marque (UZ’it)
Des partenaires tel Samsung, BNP Personal Finance, Intermarché, Culture Vélo, Mondovélo nous font confiance
Des valeurs clés : innovation, respect, collaboration et solidarité.
Nous souhaitons faire progresser nos collaborateurs dans un environnement de travail dynamique ! Alors si tu veux nous accompagner dans notre croissance en France et à l’international, rejoins-nous !
LES MISSIONS
Au sein du service informatique, tes missions seront liées à ces principes :
Améliorer - Être force de proposition sur les outils/process existants dans une optique d’amélioration continue. On veut te laisser la parole pour nous dire ce qui ne va pas !
Concevoir – Participer à des conceptions techniques voire fonctionnelles en lien avec les autres membres des équipes. Le partage de connaissance et l’entraide, on en veut !
Développer – Développer de nouvelles fonctionnalités innovantes sur le marché. Libère ton esprit ! Tu as certainement plein de bonnes idées !
Modéliser - Structurer et alimenter l’entrepôt de données de la société à des fins d’analyse et de reporting
Surveiller - Mettre en place et suivre les alertes technico-fonctionnelles permettant de s’assurer de la bonne exécution des flux
Tester – Accompagner notre équipe produit dans ses tests, car tu es garant jusqu’en production de ce que tu produis !
Tu veux encadrer une équipe ? Tu pourrais avoir l’opportunité de le faire rapidement.
NOTRE STACK
Base de données - Notre socle data, c’est PostgreSQL
Conteneur - Il est vrai que l’on a du Docker partout !
Contrôle de code source - On n’a rien contre TFS mais on utilise GitLab
Déploiement - On aime bien des connaissances autour du CI/CD ainsi que de l’Infrastructure as Code. Pour la haute disponibilité,* on a Kubernetes*.
Flux - Alors oui, on a du flux et ils sont fait en Talend
IDE - La « base », on utilise Talend Open Studio for ESB pour talend et Datagrip ou autre IDE SQL pour le requêtage
Modélisation - On a un doux rêve qui est d’avoir beaucoup d’UML dans nos spécifications !
Outil - On est très Atlassian. Jira & Confluence, c’est ancré chez nous
Reporting - On a de la donnée mais pas que ! On aime visualiser la donnée autrement. On a Cognos Analytics mais on est ouvert à d’autres produits
Sécurisation - Les transferts sécurisés, c’est pas mal, donc nous ça peut être PGP, SMIME, XADES, …
Système d’exploitation – Linux ou Unix on préfère MAIS nos stations de travail sont sous windows …
Versioning - On aime bien Flyway pour le suivi de versions SQL !
Certes, on souhaite des connaissances mais pas que !
L’intelligence et la vivacité d’esprit ont une part non négligeable dans notre raisonnement.
Si tu n'es pas familier avec toute notre stack, pas d'inquiétude, nous t'aiderons à monter en compétence.
Ce portrait t’est familier ? C’est que tu es certainement le collaborateur que nous attendons !
Nous te proposons un poste en Contrat à durée indéterminée / Statut Cadre, dès que possible, dans nos locaux situés au centre de Bordeaux pour une rémunération comprise entre 40k € et 46k €.
Alors es-tu prêt à nous rejoindre ?
Envoie ton CV sous la référence « DEVDATAEVOLLIS ».
Type d'emploi : Temps plein, CDI
Salaire : 40 000,00€ à 46 000,00€ /an
il y a 30+ jours
Signaler cette offre d'emploi",14/09/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=91de37539762cd87,vide,cdi
Formateur·rice en Data Science/Machine Learning,Simplon.co,Bordeaux (33),vide,"Bordeaux (33)
CDD, Freelance / Indépendant, CDI
Pourquoi nous rejoindre ?
Simplon.co, une start-up engagée pour un numérique inclusif et solidaire.
Labellisée « French Tech », « La France s’Engage » et « Grande Ecole du Numérique », Simplon.co est une entreprise solidaire d’utilité sociale (ESUS) fondée en 2013, dont le cœur d’activité est de former et accompagner toute personne motivée vers les emplois du numérique.
Pour cela, Simplon propose :
D’ouvrir le numérique à tout type de publics et d’en promouvoir la diversité : demandeur.se.s d’emploi, non-diplômé-e-s, quartiers prioritaires, zones rurales, salariés en reconversion, avec un objectif de parité hommes-femmes
De proposer une formation au développement web/mobile adaptée aux besoins des entreprises et organisations (y compris dans le cadre de reconversion)
D’accompagner à l’emploi nos apprenants, par des interactions suivies avec les entreprises et avec Simplon Prod, notre agence web solidaire
Nous proposons des formations “métiers”, des actions de renforcement de compétences ou de sensibilisation au numérique.
Simplon porte plus de 70 fabriques (lieux de formation) déployées dans toutes les régions de France et à l’étranger.
Notre équipe dynamique et motivée de plus de 200 salarié·e·s de tous horizons n’attend que vous !
Quelles missions ?
En tant que Formateur.rice, votre principale mission sera d’assurer pendant 19 mois la formation développeur.se Data IA en accompagnant une promotion d’une vingtaine d’apprenant.e.s dans leurs activités quotidiennes (4 mois de formation intensive et 15 mois d’alternance).
Votre rôle sera de former au métier de Développeur.se IA/Machine Learning. Vous accompagnerez les simplonien·ne·s dans la réalisation de leurs projets au quotidien. Vous serez le garant du bon déroulé de la formation et de la progression pédagogique.
A ce titre vos principales missions seront :
Construire le programme et les ressources pédagogiques
Participer au recrutement des apprenant·e·s
Animer des séances de formation collective
Evaluer la progression des apprentissages
Repérer les difficultés individuelles d’apprentissages et y remédier
Mettre à disposition de Simplon.co les éléments de reporting de la promotion
Coordonner les interventions des experts techniques et autres intervenants dans la formation
Assurer le relais avec l’entreprise dans le cadre de l’alternance
Accompagner les apprenants dans leurs démarches pour l’obtention des la certifications visé(es)
Participer à la synchronisation pédagogique entre les différents formateurs de Simplon.co et aux réunions liées au projet (notamment avec les équipes Simplon.co)
Faire un bilan pédagogique de la formation et de la promotion
Vous pourrez aussi être amené.e à :
Favoriser les rencontres des simplonien·ne·s avec la communauté des data engineers, analysts, developers, scientists, etc. (meetup, participation aux évènements locaux…)
Suivre et accompagner la promotion dans ses activités : action d’apprentissage par l’enseignement, ateliers, rencontres, etc
Participer à enrichir la réflexion pédagogique de Simplon, au travers des rencontres et échanges récurrents avec la communauté des formateurs
Contribuer à alimenter la plateforme d’apprentissage Simplonline avec des ressources pédagogiques et des exercices
Quel profil ?
Compétences requises :
Vous avez de bonnes compétences relationnelles, êtes bon.ne pédagogue
Vous maîtrisez le versionnement avec Git
Vous maîtrise Python ou R
Vous maîtrisez des Mathématiques appliquées à l’IA (Géomatiques, Statistiques descriptives et Algorithmique)
Vous maîtrisez une ou plusieurs bibliothèques ou frameworks de machine learning, par exemple : Scikit-learn, Keras, Tensorflow, PyTorch, Caffe…
Vous avez une première expérience avec l’une des plateformes en Intelligence Artificielle, par exemple : Microsoft Azure Cognitives Services, Google Cloud Platform, IBM Watson, AMAZON Lex…
Vous maitrisez la gestion et l’administration de bases de données relationnelles et non relationnelles
Vous maitrisez le SQL
Vous savez développer pour le web des solutions simples (interfaces, application simples, visualisation de données…)
Expérience souhaitée :
Une expérience professionnelle de deux ans minimum dans le domaine de l’IA/Machine Learning est souhaitée.
Qualités requises :
Esprit d’équipe : collaboration et communication
Capacité d’apprentissage et d’adaptationEt surtout, envie de transmettre votre passion auprès de grands débutants !
Idéalement, ce serait un sacré + si :
Vous maitrisiez l’anglais pour la mise à jour de vos connaissances dans votre domaine d’expertise
Vous aviez une expérience de formateur
Vous maitrisiez le C et/ou le C++
Vous maitrisiez Python ET R
Vous maitrisiez le développement web front et back
Quelles conditions ?
Type d’emploi : CDD, CDI, freelance/indépendant
Lieu : Bordeaux
Date de début souhaitée : début septembre
Salaire : selon profil
Type d'emploi : CDD, Freelance / Indépendant, CDI
il y a 30+ jours
Signaler cette offre d'emploi",14/09/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=150ba74139ee6f13,vide,cdi
Analyste - Lead Data Migration - Workday,everBe,Pessac (33),vide,"Pessac (33)
everBe est un acteur de Conseil et Services de nouvelle génération, spécialiste des domaines RH, Paie et Finance et des solutions Cloud. Nous aidons les entreprises à se transformer et à innover en s'appuyant sur le Cloud.
Le Cloud ça vous parle ? Vous avez compris que c'est l'avenir pour les entreprises ?
Vous aimez les environnements jeunes où vous pourrez exprimer et développer votre talent?
Construire le futur, Cultiver l'Excellence, Faire et avoir Confiance, sont des valeurs qui font du sens pour vous ?
Un ecosystème en pleine ébulition et le meilleur du Cloud, ça vous branche ?
everBe est une jeune société, différente dans ce qu'elle fait, la manière dont elle le fait et ce qu'elle est.
Take People Further c'est notre baseline et notre promesse: vous aider à aller plus loin.
everBe est le 1er spécialiste en France des solutions Workday (www.workday.com/fr) . Créé en 2005, Workday est la première solution SaaS globale, unifiée pour la RH, la Finance et l’analytique. Workday compte déjà 8000 collaborateurs, +2600 clients dont Lenovo, GlaxoSmithKline, Aviva, Philips, Nissan, LinkedIn, Yahoo!, Essilor, Toyota, Visa, Hewlett-Packard Company…
Pour notre centre d'excellence Workday basé à Bordeaux (33), nous cherchons un spécialiste de la reprise de données. C'est un role de conseil auprès de nos clients et de développement de nos équipes.
Résumé du poste
L'analyste Workday Data Conversion coordonne les activités de conversion et reprise de données. Sur un ou plusieurs projets vous aurez la charge notamment d'assurer la transformation et la reprise des données depuis les anciens systèmes du Client vers la solution Workday. Expérimenté et passionné par ce sujet, vous connaissez l'importance du nettoyage, de la conversion et de la reprise des données dans un projet de changement de systèmes. Ce rôle requiert une capacité à travailler en équipe et à distance, d'excellentes compétences de communication, un esprit d'analyse et de rigueur. Après une première période, votre mission sera de créer et développer une équipe spécialisée.
Responsabilités
Supporter les projets d'intégration, déploiement et activités de support de Workday, pour le nettoyage, la conversion et la reprise de données ainsi que la gestion de copies de configuration d'un tenant à l'autre.
Supporter et assister les équipes clients pour leurs actions de collecte et nettoyage des données selon la méthodologie Workday puis la transformation des données dans Workday.
Travailler avec les équipes projet everBe et les équipes de nos clients pour déterminer la stratégie de reprise de données et effectuer cette reprise
Devenir un expert fonctionnel de la conversion de données dans un ou plusieurs domaines fonctionnel géré dans Workday comme la Paie, la gestion des temps ou encore la Finance,
Participer aux développements des outils et méthodes spécifiquement centrés sur la conversion et la reprise des données.
Profil
Drivé par le travail bien fait et la satisfaction client
Goût pour les données, vous êtes attirés par un environnement jeune et dynamique
Capacité à travailler dans un environnement changeant, sur plusieurs projets en parrallèle
Vous aimez travailler en équipe, partager et trouver des solutions
Capacité à coacher des data analystes juniors.
Esprit d'analyse, rigueur, écoute, communiquant, capacité à trouver et mettre en oeuvre des solutions.
Jovial ... c'est contagieux
Mobile est un prérequis. En France et Europe 40 à 60%
Formation et Experience (prérequis)
Bilingue Français, Anglais, une 3eme langue européenne est un plus. Vous êtes capable d'animer des ateliers en anglais
BAC + 5 ingénieur, Ressources Humaines, Finance, Informatique ou équivalent
5 ans d'expérience minimum dans le domaine (Projet SIRH, Reprise de données, ou équivalent)
Maitrise experte d'outils ETL ou Microsoft Excel
il y a 10 mois
- Continuer pour postuler
Signaler cette offre d'emploi",14/12/2018,Autres_metiers_data,Bordeaux,14/10/2019,vjk=a09c7c64f484e98e,vide,vide
Data Services Solutionner / Consultant Avant-vente H/F - Fra...,Capgemini,Nouvelle-Aquitaine,vide,"Nouvelle-Aquitaine
Description Entreprise
Vous souhaitez contribuer à une vision dynamique des services d’infrastructure ? Vous aspirez à intervenir sur des projets d’envergure internationale ? Construisez votre parcours et révélez le meilleur de vous-même chez Cloud Infrastructure France ! Capgemini accompagne les entreprises pour faire de leurs infrastructures un accélérateur de transformation digitale. Du conseil à la conception, de la réalisation à la production, nous offrons à nos clients une gamme complète de services combinant sécurité, évolutivité, optimisation et innovation.
Poste
En tant que membre de l’équipe Solution avant-vente de la Practice Managed Services, sous la responsabilité du Regional Solution Lead France, vous :
Participez à l’identification et la traduction des besoins clients Grands Comptes (transition, transformation, externalisation).
Modélisez et formalisez la meilleure solution en terme technique et d’organisation avec l’appui des équipes en charge de l’Architecture et du Delivery.
Etes garant du respect et de l’alignement de la solution avec les offres standards Capgemini au niveau global avec une focus particulier sur l’automatisation et la réduction des coûts.
Vos principales missions :
D’accompagner les équipes commerciales dans le but de favoriser la traduction d’initiatives commerciales en solutions innovantes répondant aux standards Capgemini de l’offre Data Services,
De construire le modèle de Delivery cible dans le cadre d’appel d’offres client grands comptes français avec un objectif d’efficience financière et d’amélioration permanente de la qualité de service rendu,
De collaborer avec l’ensemble des parties prenantes intervenant dans le cadre de l’avant-vente. Les solutions proposées pouvant s’appuyer sur nos capacités d’externalisation internationales,
D’accompagner le suivi des dossiers d’avant-vente dans le cadre du passage en Run (Sales to Run)
Profil
Expériences techniques dans le domaine Data Services qui regroupe les activités autour des Infrastructures Serveurs, Stockage/Sauvegardes, Réseaux et des applications associées (Software Services, ERP) et, idéalement, le pilotage d’activités récurrentes dans ce domaine.
Passionné(e) d’innovation et de transformation des modèles de Delivery
Très bonne présentation et capacité de vulgarisation
Capacité à travailler avec des équipes internationales et multiculturelles.

Lieu de Travail : L’activité peut être réalisée depuis l’ensemble de nos sites Centre de Services France (Issy-les-Moulineaux, Bordeaux, Toulouse, Chambéry, Grenoble, Cherbourg).

Révélez le meilleur de vous-même en rejoignant Cloud Infrastructure France !
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/09/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=58a0fbdbb3f174ff,vide,vide
PROJETEUR DATA CENTER H/F,Groupement de l'Interim Francais,France,2 500 € - 3 200 € par mois,"France
2 500 € - 3 200 € par mois
LE PROJET
Projet's, agence spécialisée en délégation du personnel en bureaux
d'études et techniques recherche pour son client un : PROJETEUR DATA
CENTER H/F.

Vos missions :

Relevés techniques

Etudes de faisabilité

Proposition de solutions techniques

Dimensionnements

Réalisation des pièces graphiques, synoptiques et plans
d’implantation des lots techniques

Suivi réalisation et visas techniques,
PROFIL RECHERCHÉ
Vous êtes diplômé(e) d’un bac +2/+3 en génie climatique, électrique ou
électrotechnique. - Talentueux(se) et/ou avec expérience d’au
minimum 3 ans. Vous maitrisez parfaitement AUTOCAD et avez des
bonnes connaissances sur REVIT.

Le salaire est situé entre 2500€ et 3200€ brut.

Le poste est situé à Paris dans le cadre d’une longue mission en travail
temporaire.

Cette belle opportunité vous correspond et vous intéresse ?

Je vous remercie de nous faire suivre votre candidature à l’adresse mail
suivante : mayre.lucas@gif.fr Vous pouvez également nous joindre
directement au : 01 42 74 79 91.

Mayré LUCAS /AGENCE PROJET’S
CONTACT
Agence : PROJET'S 1
il y a 16 jours
- Continuer pour postuler
Signaler cette offre d'emploi",28/09/2019,Autres_metiers_data,Bordeaux,14/10/2019,vjk=ffbfebf6797cf8f6&advn=9361659787384671,vide,vide
