Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Consultant Business Intelligence- F/H,CIS VALLEY,Bordeaux (33),vide,"Bordeaux (33)
CDI
Nous recherchons notre futur Consultant Business Intelligence H/F.

CDI

-

Poste basé en métropole bordelaise, à Bruges (33).

Vous intégrez une équipe de DBA/BI/Architecture pour participer à toutes les phases de mise en œuvre d'applications décisionnelles, de traitement et d'intégration de la donnée.

Vous accompagnez nos clients sur des missions de conseil, de mise en œuvre d’architectures décisionnelles, de collecte et de transformation des données et de reporting.

Vous contribuez aux projets qui requièrent du traitement et de l'intégration de données.

Vos principales missions :
Etudier les besoins afin d'établir le cahier des charges fonctionnel et technique,

Développer des traitements de récupération et d’alimentation des bases de données (applicatifs/datawarehouses/datamarts),

Accompagner les utilisateurs dans la réalisation de reporting,

Former les utilisateurs à l'utilisation des produits,

Rédiger les documentations techniques,

Assister l'équipe commerciale dans le cadre d'études, de présentations de savoir-faire et de présentations produits.
Profil recherché De formation supérieure, vous justifiez d’une expérience d’au moins 3 ans sur l'implémentation de solutions décisionnelles.

Vous maîtrisez obligatoirement les technologies BI - Microsoft Power BI, SSAS, SSRS, ainsi que les ETL Microsoft SSIS et Talend.

Autres compétences souhaitées :
Produits décisionnels SAP BI, Tableau, Qlik Sense…

Administration SQL Server

Bases de données PostgreSQL et MongoDB

Vous appréciez de travailler avec et pour l'équipe, vous avez le sens du service client (externe et interne) et le sens du partage.

Vous êtes réactif et rigoureux, la traçabilité des actions est dans vos pratiques. Vous êtes force de proposition face aux sollicitations.

Vous avez un bon relationnel et vous êtes autonome, curieux et enthousiaste dans vos missions.

Rémunération :
selon expérience

Statut Cadre, 14 jours de RTT, tickets restaurant, prime vacances, mutuelle et prévoyance, CE.
Entreprise CIS Valley

est une Entreprise de Services du Numérique dont la vocation est d’apporter de la performance à ses clients en lien avec leurs objectifs stratégiques. Ses équipes élaborent des solutions pragmatiques adaptées aux enjeux de ses clients. Vous vous reconnaîtrez dans les valeurs de recherche d’excellence, de responsabilité, de solidarité et de respect qui nous animent. CIS Valley compte 160 collaborateurs répartis sur 5 agences situées à Bordeaux (siège social), Nantes, Toulouse, Orléans et Montpellier. Elle réalise un chiffre d’affaires de 37 M€.

CIS Valley intervient dans tous les domaines afférents au système d’information : Infogérance, Hébergement et Cloud Computing, Intégration d'Infrastructures Technologiques, Edition de progiciels, de solutions décisionnelles, web et collaboratives et de mobilité.
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,BI,Bordeaux,18/10/2019,vjk=96346f5bcb9abc3e,vide,cdi
Développeur SI Décisionnel (BI) junior F/H,RAdCINE,Bordeaux (33),vide,"Bordeaux (33)
Poste

Ce poste permet un bon compromis entre

exigence professionnelle et équilibre personnel

en offrant

50 jours de congés

par an et la possibilité d’un aménagement du temps de travail.

Vous rejoindrez une petite équipe dédiée au décisionnel au sein de cette grande organisation de service public et y apporterez votre expertise et votre enthousiasme. L’objectif du service est la fourniture de données de pilotage et d’aide à la décision pour les autres services.

Mission

Votre mission principale : participer au développement, à l’administration, à l’exploitation du SI Décisionnel.

Vous interagissez avec les services de la DSI et les métiers.

Vous serez en charge de :
Assurer le support de niveau 1 et 2 auprès des usagers.

Accompagner les utilisateurs et assurer un rôle d'expertise sur les outils décisionnels

Contribuer aux différentes phases des projets décisionnels

Rédiger et maintenir à jour les documentations techniques et fonctionnelles

Assurer une veille technologique sur les outils du décisionnel

Participer à l'analyse, la conception, au développement et à la maintenance

des entrepôts de données (qualité, cohérence et fiabilité des données)

des univers BO basés sur les entrepôts de données (couche sémantique)

des outils de restitution/diffusion des données de pilotage et d'aide à la décision

Participer à l'administration technique et fonctionnelle :
des plateformes BO

des plateformes Talend
Profil recherché Profil et compétences recherchées

Vous avez une formation en informatique de niveau bac +2 minimum et êtes rompu(e) au projet décisionnel.

Compétence nécessaire :
Méthodes de modélisation des données.

Gestion de bases de données.

Langages de requête

Outils de programmation.

Connaissances techniques : ETL TALEND ou autre ETL. SQL, outils de restitution: BO, QlikView ou autres.

Vous êtes très motivé(ée) par le travail en équipe et avez une bonne communication.

Vous êtes rigoureux(se) et autonome.

Vous êtes reconnu(e) pour votre enthousiasme, votre adaptabilité, et votre culture du résultat.
Entreprise Organisation

Spécialiste du recrutement technique,

RAdCINE

a pour vocation de mettre en adéquation de manière durable demande client et compétences.

Nous recherchons, à Bordeaux,

un administrateur développeur SI Décisionnel junior (F/H)
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,BI,Bordeaux,18/10/2019,vjk=6b1b637c25405866,junior,vide
Chargé(e) de Développement Web et Business Intelligence H/F,Page Talent,Bordeaux (33),vide,"Bordeaux (33)
Soyez au coeur d’un projet de transformation et de digitalisation d’une entreprise de service comptant plus de 500 employés.
NSA est une société en pleine mutation : En intégrant le Service « Informatique et Projets », vous participez à un projet qui vous mettra en contact avec toutes les fonctions de l’entreprise, avec la possibilité de rapidement faire changer les choses en livrant des améliorations concrètes.

Vos missions sont les suivantes :
Vous créez de beaux documents pour nos clients et nos employés,
Vous développez des outils d’éditique pour automatiser les documents les plus importants de notre business (offre commerciale pour nos clients, documents administratifs pour nos employés),
Vous travaillez avec l’application Windward Autotag intégrée à Microsoft Word, un puissant outil de design et d’intégration de données.
Il vous faudra maîtriser les fonctionnalités de Word et notamment les mises en pages.
Avec Windward Autotag, vous pouvez intégrer directement sur les documents des requêtes plus ou moins complexes, pour rapatrier depuis nos outils informatiques les champs nécessaires au document.
Voici une introduction à l’outil Autotag publiée par le distributeur WindwardStudios : https://www.youtube.com/watch?v=A_L6fCl8Nmc
Vous réalisez des rapports de business intelligence.
A l’aide de l’outil SAP Business Object, vous pouvez manier les données avec une facilité et créer des rapports d’analyse, des modèles de documents et des publications automatisées.
Les fonctionnalités élémentaires des outils (Autotag et BusinessObjects) vous sont présentées, mais l’auto-formation est une partie importante de votre stage, il faut être autonome concernant la recherche d’information sur internet (forums, recherches Google, tutoriels Youtube, etc.).

Vous préparez idéalement un BTS minimum ou DUT orienté informatique, ou bien vous entrez dans une école d’Ingénieurs.
Vous possédez une bonne culture informatique, vous avez étudié les notions de base d’un langage informatique (pas de langage spécifique requis) et vous avez quelques notions en bases de données.
Au moins une expérience personnelle ou scolaire sur un projet informatique est un plus.
Autonomie et rigueur sont des atouts nécessaires à cette mission.

NSA regroupe plusieurs Divisions Commerciales qui sont ses véritables forces vives : Plusieurs structures à forte capacité de développement et d'évolution qui permettent à ses collaborateurs de conserver leur culture d'entreprise, le niveau d'engagement ; la volonté de maintenir la satisfaction des clients à un niveau élevé.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,BI,Bordeaux,18/10/2019,vjk=81aece2adf2ddd9d,vide,stage
Consultant SAP BI / Freelance,WorldWide People,Bordeaux (33),400 € - 450 € par jour,"Bordeaux (33)
Temps plein, Freelance / Indépendant
400 € - 450 € par jour
Consultant SAP BI. Compétences Principales : SAP Lumira 2.0 . Compétences souhaitées : Lumira Cloud. Lieu et Durée Mission : Bordeaux (1 mois). French Speaking
Consultant SAP BI. Compétences Principales : SAP Lumira 2.0 . Compétences souhaitées : Lumira Cloud. Lieu et Durée Mission : Bordeaux (1 mois). French Speaking
Freelance-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,BI,Bordeaux,18/10/2019,vjk=76325e840b1eeb91,vide,freelance
Consultant Business Intelligence F/H,INTITEK,Bordeaux (33),vide,"Bordeaux (33)
CDI
Quoi de plus excitant que de contribuer à démocratiser l’accès à la connaissance à travers la création d’une application ou d’un logiciel ultra-innovant ?

Intitek for People

conçoit et développe des outils digitaux qui améliorent le confort, la santé ou la sécurité du plus grand nombre.

Missions :
Maintenir le code existant et programmer de nouvelles applications ou fonctionnalités,

Analyser les besoins des clients, et participer à la conception de l'architecture logicielle,

Réaliser les tests et le débogage des applications.
Profil recherché A l’aise avec les outils Talend, Business Object (BI4), Microsoft BI (Power BI, SQLserver, SSRS, SSAS Tabular) et requête SQL

Très bonne expérience des bases de données et des outils qui permettent de gérer et traiter des volumes importants de données (SSIS, SSRS, Informatica, Cognos, Business Objects, SAP BI, Oracle BI etc.)

Très bonne culture BI (modélisation, architecture)

Cadre collaboratif : méthodologie Agile.

Devenez un Happy Digital Member en nous envoyant votre candidature !
Entreprise « C’est en repoussant les limites du progrès et de l’innovation que les projets les plus fous finissent par se réaliser !»

Avec plus de 700 collaborateurs en France et dans ses filiales au Canada, aux USA, en Chine, en Pologne et en Espagne, le groupe Intitek conseille et accompagne ses clients dans leur transformation digitale autour de 3 branches métiers :

Intitek for Industry

: Transport, santé, télécommunication, industrie militaire...

Intitek for Manufacturing

: Conception, outils, tests

Intitek for People

: Sites web, applications, objets connectés

Le groupe Intitek réunit de multiples ressources et talents dont le quotidien consiste à repousser les limites du possible et développer des solutions numériques qui profitent à tous. Celles et ceux qui osent sont encouragés à libérer leur créativité afin de servir les desseins les plus ambitieux.

Rejoignez vous aussi le Happy Digital World !
Apec.fr - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,BI,Bordeaux,18/10/2019,vjk=19ccb2b0ccacae10,vide,cdi
Consultant Business Intelligence- H/F,CIS Valley,Bordeaux (33),vide,"Bordeaux (33)
CDI
Nous recherchons notre futur Consultant Business Intelligence H/F.
CDI – Poste basé en métropole bordelaise, à Bruges (33).
Vous intégrez une équipe de DBA/BI/Architecture pour participer à toutes les phases de mise en œuvre d’applications décisionnelles, de traitement et d’intégration de la donnée.
Vous accompagnez nos clients sur des missions de conseil, de mise en œuvre d’architectures décisionnelles, de collecte et de transformation des données et de reporting.
Vous contribuez aux projets qui requièrent du traitement et de l’intégration de données.

Vos principales missions :
Etudier les besoins afin d’établir le cahier des charges fonctionnel et technique,
Développer des traitements de récupération et d’alimentation des bases de données (applicatifs/datawarehouses/datamarts),
Accompagner les utilisateurs dans la réalisation de reporting,
Former les utilisateurs à l’utilisation des produits,
Rédiger les documentations techniques,
Assister l’équipe commerciale dans le cadre d’études, de présentations de savoir-faire et de présentations produits.
Profil:
De formation supérieure, vous justifiez d’une expérience d’au moins 3 ans sur l’implémentation de solutions décisionnelles.
Vous maîtrisez obligatoirement les technologies BI – Microsoft Power BI, SSAS, SSRS, ainsi que les ETL Microsoft SSIS et Talend.
Autres compétences souhaitées :
Produits décisionnels SAP BI, Tableau, Qlik Sense…
Administration SQL Server
Bases de données PostgreSQL et MongoDB

Vous appréciez de travailler avec et pour l’équipe, vous avez le sens du service client (externe et interne) et le sens du partage.
Vous êtes réactif et rigoureux, la traçabilité des actions est dans vos pratiques. Vous êtes force de proposition face aux sollicitations.
Vous avez un bon relationnel et vous êtes autonome, curieux et enthousiaste dans vos missions.
Rémunération : selon expérience
Statut Cadre, 14 jours de RTT, tickets restaurant, prime vacances, mutuelle et prévoyance, CE.
Contact :
Veuillez nous faire parvenir votre candidature à l’adresse suivante :
recrutement@cis-valley.fr
il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,BI,Bordeaux,18/10/2019,vjk=fe5f2a8aab833e26,vide,cdi
Consultant BI Fonctionnel Expérimenté (H/F),ACTIVUS Group,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
Pour renforcer notre pôle Big Data, nous recrutons un Consultant fonctionnel BI expérimenté (H/F).
Vos principales missions, si vous les acceptez !
Analyse des besoins métiers et modélisation de solutions adaptées
Réalisation de flux d’alimentation et de reprises, sous MS SQL Server Integration Services
Mise en place de la restitution des données sous MS SQL Reporting Services et/ou Power BI
Création de Dashboard et de rapports dans le cloud sous Power BI
Réalisation et l’exécution de plans de test
Assurer le reporting des activités d’intégration des différents flux
Comprendre une architecture fonctionnel complexe
Recueil de besoins utilisateurs / AMOA
Rédaction de dossier de spécification fonctionnelle
Organisation et participation à la qualification / recette
Expression des besoins
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
De formation Bac +5, vous justifier d'une expérience de 3 ans minimum sur un poste similaire. Après une première expérience dans un service d’assistance à maîtrise d’ouvrage, vous maîtrisez les tests, recettes, supports, conduite du changement.
Vous êtes, curieux, motivé et avez le sens du travail en équipe. Notre dynamisme et les projets innovants sur lesquels nous évoluons constituent pour ceux qui nous rejoignent un moteur motivant rempli de perspectives.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI
il y a 3 jours
Signaler cette offre d'emploi",15/10/2019,BI,Bordeaux,18/10/2019,vjk=f55a13c1a2b10617,vide,cdi
Consultant BI Microstrategy F/H,ACTIVUS GROUP,Bordeaux (33),vide,"Bordeaux (33)
CDI
Pour renforcer notre

pôle Big Data

, nous recrutons des

Consultants BI Microstrategy (H/F).

Vos principales missions, si vous les acceptez !

Rédaction de spécifications fonctionnelles et techniques

Recueillir les besoins des départements métiers

Assistance à maîtrise d'ouvrage.

Conception et développement sur MicroStrategy

Mise en place de systèmes décisionnels

Réaliser et définir les plans de tests et d’intégration

Expertise technique

Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
Profil recherché De formation Bac +5, vous justifier de 3 ans minimum d'expérience sur un poste similaire. Vous justifiez d’une première expérience réussie en Microstrategy et possédez une bonne connaissance du cycle de vie complet de la création des restitutions.

Vous êtes, curieux, motivé et avez le sens du travail en équipe. Notre dynamisme et les projets innovants sur lesquels nous évoluons constituent pour ceux qui nous rejoignent un moteur motivant rempli de perspectives.

Alors ! Serez-vous des nôtres ?
Entreprise ACTIVUS-Group c’est une société de conseil de croissance qui en 4 ans est devenue experte dans ses domaines d’intervention :

IA, Big Data, Analytics, DataScience

Conseil et Audit

User Experience et Mobile Apps, DataVizualisation

Sécurité des Systèmes

Infrastructures Cloud et SaaS

Process Industriels

Notre proximité alliée à l’écoute de nos consultants, alimente la relation de confiance qui renforce le dynamisme de nos liens avec nos partenaires : clients, écoles, prestataires, chercheurs.

Notre équipe expérimentée mais toujours geek , renforce tous les jours notre ADN qui favorise les relations humaines dans l’excellence technologique.

En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.

En complément de nos implantations de proximité à Toulouse, Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Apec.fr - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,BI,Bordeaux,18/10/2019,vjk=3da3ff726a9dae47,vide,cdi
Consultant Microsoft BI (H/F),ACTIVUS Group,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
Pour renforcer notre pôle Big Data, nous recrutons des Consultants Microsoft BI (H/F).
Vous intervenez auprès d’un de nos clients.
Vos principales missions, si vous les acceptez !
Analyse des besoins métiers et modélisation de solutions adaptées
Optimisation d’un entrepôt de données et modélisation de datamart
Réalisation de flux d’alimentation et de reprises, sous MS SQL Server Integration Services
Réalisation de cube d’analyses multidimensionnel ou tabulaire sous MS SQL Server Analysis Services
Mise en place de la restitution des données sous MS SQL Reporting Services et/ou Power BI
Création de Dashboard et de rapports dans le cloud sous Power BI
Réalisation et l’exécution de plans de test
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
De formation Bac +5, vous justifier d'une expérience de 3 ans minimum sur un poste similaire. Vous maîtrisez les technologies suivantes: SQL server, SSIS, SSAS, SSRS et PowerBI.
Vous êtes, curieux, motivé et avez le sens du travail en équipe. Notre dynamisme et les projets innovants sur lesquels nous évoluons constituent pour ceux qui nous rejoignent un moteur motivant rempli de perspectives.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI
il y a 4 jours
Signaler cette offre d'emploi",14/10/2019,BI,Bordeaux,18/10/2019,vjk=737ae3050a44d17c,vide,cdi
Consultant Microsoft BI (H/F) - Bordeaux,ai3,Bordeaux (33),vide,"Bordeaux (33)
CDI
Localisation Bordeaux
Infos Job
Site:
Bordeaux
Salaire:
Selon profil
Profil recherché :
2 ans
Contact pour plus d'informations :
kahina.slimani@ai3.fr
Au sein de l’agence bordelaise qui compte une vingtaine de collaborateurs, ce poste est rattaché à la Business Unit Data & IA. Cette nouvelle équipe travaille autour des thématiques Analytics, Data Valorization, Big Data & Machine Learning, Chatbot, Robotic Process Automation.
Votre mission :
Vous travaillerez en mission chez nos clients ou en mode projet dans nos locaux sur des sujets de datawarehouse, tableau de bord, reporting, machine learning.
Vos principales missions seront :
Réalisation de projet de mise en place de datawarehouse
Analyse et cadrage des besoins client, animation d’atelier
Rédaction de document d’architecture
Conseil, audit, sécurisation de plate-forme
Vous maitrisez :
SSRS, SSIS, SSAS
Power BI
Excel (power pivot, power query)
Langage SQL et MDX/DAX
Une connaissance des technologies suivantes serait un plus :
Azure Data Factory
Azure Machine Learning
Big Data
il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,BI,Bordeaux,18/10/2019,vjk=9bafc6a0237e96f0,vide,cdi
