Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur Hive Big Data (H/F),ACTIVUS Group,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
Pour renforcer notre pôle Applications Digitales, nous recrutons un Développeur Hive Big Data H/F
Vous êtes à la recherche de nouvelles opportunités de carrière dans la conception et le développement de solutions Big Data.
Passionné par ce domaine, vous bénéficiez déjà d'une expérience réussie en Big Data et justifiez d'au moins 2 années d'expérience sur un poste similaire.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Vous êtes diplômé d’un Master d’Université ou Ecole d’Ingénieur, avec une spécialité IT, Ingénierie logicielle ou Data Science.
Vous avez travaillé sur d’autres projets de l’écosystème Hadoop comme HDFS, MapReduce, HBase, Hive, Pig.
Vous possédez éventuellement des connaissances en Java, SQL, Flink.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes.
Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI
il y a 1 jour
Signaler cette offre d'emploi",15/10/2019,Big_data,Bordeaux,16/10/2019,vjk=169cafd33376366b,vide,cdi
Architecte Big Data - Hortonworks (H/F),ACTIVUS Group,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
Pour renforcer notre pôle Big Data, à Bordeaux, nous recrutons un Architecte Big Data - HortonWorks (H/F).
Au sein d'une équipe big data et dans le cadre de l'évolution de la plateforme Big data de notre client, vous contribuerez à l'industrialisation des nouvelles technologies.
Vos principales missions :
Le maintien en condition opérationnelle des infrastructures et composants logiciels qui constituent le cluster Hadoop « Hortonworks»,
La proposition d’axes d’optimisation de son paramétrage du cluster Hadoop « Hortonworks »,
L'assistance des équipes à la prise en main de l’outillage,
La proposition d'évolutions et de solutions pour améliorer l'exploitation, la supervision, les performances et la résilience du cluster Hadoop « Hortonworks »,
L'étude détaillée et mise en oeuvre de certaines propositions qui auront été évoqué,
La garantie de la bonne application des normes et standard du client,
La transmission savoir-faire à l'équipe Etudes.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Vous êtes diplômé d’un Master d’Université ou Ecole d’Ingénieur, avec une expérience confirmée en Big Data Hortonworks.
Vous maîtrisez tout ou partie des éléments techniques suivants:
Distribution Hadoop Hortonworks 3.1 et ses composants : HDFS, YARN, HIVE, SPARK.
Outil BigSQL.
Système d'exploitation Linux : REDHAT.
Developpement scripts : SHELL, PYTHON, SQL.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes.
Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI
il y a 1 jour
Signaler cette offre d'emploi",15/10/2019,Big_data,Bordeaux,16/10/2019,vjk=237fb8b271e4d469,vide,cdi
Développeur Java Big Data H/F,AT Internet,Mérignac (33),vide,"Mérignac (33)
CDI
Éditeur de logiciel Digital Analytics français et indépendant, AT Internet ne ressemble pas aux géants de notre industrie. Notre approche unique de l’Analytics, nos 200 collaborateurs et nos 20 années d’expérience nous ont portés jusqu’à atteindre l’excellence dans notre domaine. Nous revendiquons cette différence et sommes ravis d’avoir été nommé « Leader » du Web Analytics dans l’étude « The Forrester Wave™ : Web Analytics, Q4 2017 ».
Résolument tournés vers l’international, nous cultivons la confiance, le sens du client, l’innovation permanente, l’intelligence collective ainsi que l’enthousiasme au sein de nos équipes.
Vous avez du talent et vous êtes passionné(e) par le digital ? Vous souhaitez travailler sur des projets qui façonneront le numérique de demain ? Lancez-vous dans une aventure humaine et rejoignez une entreprise unique, indépendante, où il fait bon travailler située à Bordeaux.
Poste et missions :
Au sein d’une équipe de développeurs confirmés travaillant sur des technologies innovantes, vous participerez au développement de la partie Event Stream Processing de notre solution. Dans ce contexte, votre mission consistera à :
Participer à la conception et la mise en place d’une chaine de processing Big Data ;
Interagir avec le Product Owner pour développer les user stories ;
Être force de proposition sur les solutions techniques ;
Développer le socle de calcul de données des produits AT Internet ;
Préparer et réaliser les tests unitaires ;
Participer aux déploiements des solutions et à la mise en œuvre des indicateurs de performance (DevOps) ;
Participer à l’intégration de nouvelles technologies orientées Big Data.
Vous serez amené à travailler dans une équipe Scrum dans une dynamique d’amélioration continue.
Environnement Technique :
– Programmation : Java
– Cloud : AWS
– Architectures micro-services
– Calcul distribué : Kafka, Redis, Spark, Akka
– Intégration continue : Jenkins
– Méthodes agiles : Scrum
Compétences :
– Maitrise des concepts de programmation orientée objet
– Mise en place et utilisation de tests (unitaires, non régression…)
– Expérience réussie en conception
– La connaissance des éléments suivants serait un plus :
Environnement de calculs distribués (Hadoop, Redis, Spark, etc…)
Technologies Amazon (Lambda, DynamoDB, EMR, etc…)
Architecture micro-services (Docker, etc…)
DevOps
– Connaissance des méthodes agiles
– Anglais technique
Profil :
– Formation Bac+2 à Bac+5 en informatique (Génie Logiciel)
– Expérience de 5 ans minimum en développement avec langage orienté objet
Les avantages :
Mutuelle prise en charge à plus de 70% par AT Internet
Prévoyance
Télétravail
RTT
Parcours d’intégration
Excellente politique de formation
Communication directe avec les décideurs et membres du comité de direction
Prime de vacances
Indemnité vélo
Tickets restaurants
Tickets cadeaux
Fruits frais à disposition
Évènements team building : déjeuners d’équipe, AT Summit, Ship-It day…
Comité d’entreprise : cinéma, loisirs, voyages
Équipes de sport AT Internet
Pack mobilité : recherche personnalisée de logements et aides dans les démarches administratives
Contrat : CDI à pourvoir immédiatement
Type d'emploi : CDI
Expérience:
développeur java big data h/f ou similaire: 3 ans (Requis)
il y a 30+ jours
Signaler cette offre d'emploi",16/09/2019,Big_data,Bordeaux,16/10/2019,vjk=da1abe61f57d4132,vide,cdi
Consultant BIG DATA AZURE / Freelance,WorldWide People,Bordeaux (33),vide,"Bordeaux (33)
Consultant BIG DATA AZURE Conception et développement d’un flux BIG DATA (BI V2) :
Azure Data Lake..
Azure Data Bricks..
Azure Data Factory..
Azure Data Flow..
Freelance-info - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Big_data,Bordeaux,16/10/2019,vjk=17bb842c4afaae42,vide,freelance
BI/BIG DATA,GFI,Gradignan (33),vide,"Gradignan (33)
CDI
Consultant(e) BI (H/F)
Envie de dynamiser votre carrière ? Passionné par la recherche de performance et le contact humain? En tant que Consultant(e) décisionnel, venez prendre part à nos projets, et soyez l’interface entre le métier et le SI décisionnel auprès de nos principaux clients.

Au sein de notre équipe décisionnel:

Analyser les besoins utilisateurs
Participer à la mise en œuvre de solutions BI chez nos clients, de l'extraction des données à la restitution, en passant par la modélisation.
Rédiger le cahier des charges et les spécifications fonctionnelles,
Etre responsable de la gestion de la recette (mise en place de la stratégie, établissement du cahier de tests, exécution et suivi)
Etre acteur de la conduite du changement (formation, assistance aux utilisateurs...)

Entité de rattachement

Acteur incontournable des services numériques à valeur ajoutée et des logiciels en Europe, Gfi Informatique s'est développé de manière significative ces dernières années en s'appuyant sur son expertise et ses compétences dans 5 branches : Consulting, Applications Services, Enterprise Solutions, Infrastructure Services et Software.
Le Groupe qui compte près de 14 000 collaborateurs a réalisé en 2016 un chiffre d'affaires de 1 015 M€. Gfi Informatique est implanté dans toute la France et avec plus de 40 agences. A l'international le Groupe compte des filiales dans 16 pays.

Profil
De formation supérieure Bac+4 et ayant une ou plusieurs expériences dans le même poste, Vous maîtrisez un ou plusieurs outils décisionnels.(Datastage, Tableau Software, Talend, …)
Vous êtes reconnu par votre esprit de synthèse et d’analyse
Compétences Techniques :
ETL et/ou DATA
Modélisation dimensionnelle et optimisation de bases de données ;
Un outil de restitution
Langage d'interrogation de données (SQL, PL/SQL, T/SQL...)

Autres compétences clés attendues :
Capacité à rechercher des solutions
Motivé et rigoureux
Créativité et curiosité
Esprit d’équipe
Force de proposition
Langues : Français / La pratique de l’anglais est un plus

Entité de rattachement
Acteur européen de référence des services numériques et éditeur de logiciels, Gfi Informatique occupe un positionnement stratégique différenciant entre les opérateurs de taille mondiale et les acteurs de niche. Gfi informatique compte près de 19 500 collaborateurs, un chiffre d'affaires de 1,5 milliard d'euros (pro-forma) et est implanté dans toute la France avec plus de 40 agences. A l'international le Groupe compte des filiales dans 21 pays. Participez à notre développement et devenez un acteur innovant de notre Groupe au sein de la division Sud-Ouest, composée des agences de Toulouse, Bordeaux, Pau et Orthez. 800 collaborateurs interviennent sur des projets d'envergure, dans des contextes internationaux ou de proximité, au forfait ou en assistance technique, pour des clients Grands Comptes. En intégrant Gfi Informatique Sud-Ouest, vous pourrez exprimer votre personnalité dans notre entité à taille humaine, auprès de services de proximité attentifs à votre évolution et au développement de vos compétences sur une de nos branches: le développement d'applications (Applications Services dont les activités PLM), les métiers de l'infrastructure et de la Production (Infrastructure Services), mais encore le Consulting ou l'édition de logiciels et de progiciels. Tous nos postes sont ouverts aux candidats en situation de handicap.
Postuler
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Big_data,Bordeaux,16/10/2019,vjk=42fce2aeeba841cb,vide,cdi
Architecte de données informatiques - Big Data (H/F),Manpower,Bordeaux (33),45 000 € - 48 000 € par an,"Bordeaux (33)
CDI
45 000 € - 48 000 € par an
L'entreprise
L'effet WOUAHHH du poste : rejoindre un client final + évoluer dans une équipe à taille humaine + projets innovants !!

Société de 200 personnes dans le secteur de l'environnement, notre client renforce son équipe Data (3 personnes + vous bientôt !) : poste d'Architecte Big Data à pourvoir en CDI dès que possible !
Les missions
Sous la Responsabilité du DSI et en étroite collaboration avec 2 Data Managers et 1 Data Scientist, vous serez amené(e) à définir, mettre en oeuvre et faire évoluer l’écosystème Big Data nécessaire afin de développer les nouveaux cas d’usage digitaux à destination d'un client majeur de l'entreprise.

Ainsi, vos missions principales seront les suivantes :
Définition, conception et construction de plateformes et de solutions Big Data
Missions d'expertise (audit, assistance technique, ...)
Appui de l’équipe Data dans la définition et la mise en place de nouvelles sources de données
Etre garant des architectures et de leur documentation à chaque instant de leur cycle de vie (définition des principes d’architecture, installation et configuration)
Autres missions au quotidien :
Définition et qualification des besoins métier afin de les traduire en cahier des charges technique
Au travers d’analyses de tendances et de benchmarks des solutions du marché, déterminer les solutions les plus adaptées et performantes pour répondre aux besoins exprimés
Le profil
Au-delà de votre parcours, c'est votre capacité à prendre des décisions afin d'opter pour une technologie ou une autre qui feront la différence. C'est notamment votre aptitude à être en veille technologique permanente qui vous permettra de mener à bien vos projets.

Au niveau technique : vous maîtrisez Python et justifiez idéalement de connaissances dans les technologies Hadoop, notamment Hortonworks HDF (Kafka, Nifi, sqoop) et HDP (Spark, HDFS, HBase, Hive, Zeppelin, Knox, Ranger).

Sont un plus : connaissance de l’environnement Dataiku et des technologies ETL Talend

Vous disposez d'un excellent relationnel et d'une bonne capacité d'écoute pour travailler à la fois en équipe réduite (4 personnes), mais également interagir avec des interlocuteurs comme le RSSI, le Responsable SI, la Direction Générale ou encore avec le client majeur de l'entreprise.

Package de 45 à 48k euros bruts annuels
26 CP et 12 RTT annuels
37h par semaine, Tickets Restaurant, Comité d'entreprise...

Postulez sans tarder !
Dans le cadre de sa politique diversité, Manpower étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Big_data,Bordeaux,16/10/2019,vjk=5ab4b799c5271093,vide,cdi
Développeur Big Data,Aquitem,Le Bouscat (33),vide,"Le Bouscat (33)
Apprentissage
Groupe Aquitem - partenaire de votre succès !
Créé en 1987, le groupe réunit aujourd'hui deux sociétés et 120 personnes sur le même site ayant pour cœur d’expertise la DATA :
Aquitem, spécialiste de la conception, gestion et mise en place opérationnelle de programmes de fidélité pour les grandes enseignes
Aliénor.net, spécialiste web et hébergement à valeur ajoutée sur ses propres infrastructures.
Quelques mots nous caractérisent : #Qualité #Service #Innovation #Data #Technologie.

Aujourd’hui, nous recherchons un étudiant de licence professionnelle de préférence, DAGPI, pour l’année scolaire 2018/2019.

DESCRIPTIF DU POSTE :
Sous la tutelle d’un référent technique, l’étudiant intégrera le service de développement du groupe Aquitem.
Domaine d’activité : Mise en place de programmes de fidélisation client.

MISSIONS::
¬ Analyser les demandes des chefs de projets
¬ Analyser le modèle de données d'un programme de fidélité
¬ Concevoir et implémenter des traitements PL/SQL
QUALITÉS REQUISES:
¬ Autonomie.
¬ Bonnes capacités d'analyse.
¬ Rigueur, méthode, organisation
¬ Sens de l’initiative.
ENVIRONNEMENT TECHNIQUE:
SQL et PL/SQL (la connaissance de PG/SQL serait un plus)
¬ ETL.
C#
Windev

Pour nous, l'alternance est un premier pas vers un contrat de travail!
Alors, si ce challenge vous intéresse, n'hésitez pas à postuler sur notre site avec lettre et CV.

Votre Profil : Vous êtes autonome, organisé(e) et rigoureux(se). Vous avez le sens du travail en équipe et un fort esprit d'initiative. Votre relationnel est facile et vous permettra d’intégrer une équipe de techniciens et développeurs passionnés par l’informatique, pour qui la satisfaction finale du client est un objectif quotidien !

Vous aurez des tickets restaurant, une prime de vacances et une prime de fin d’année, une excellente mutuelle familiale et une prévoyance de branche.
De plus, il fait bon travailler chez Aquitem : Parking facile, accès transports en commun, prime Vélo !
N'attendez plus! Joignez CV et lettre de motivation à votre candidature !
il y a 6 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/04/2019,Big_data,Bordeaux,16/10/2019,vjk=47268cf273ced26b,vide,apprentissage
Développeur Big Data JAVA,Aquitem,Le Bouscat (33),vide,"Le Bouscat (33)
CDI
Groupe Aquitem - partenaire de votre succès !
Créé en 1987, le groupe réunit aujourd'hui deux sociétés et 120 personnes sur le même site ayant pour cœur d’expertise la DATA :
Aquitem, spécialiste de la conception, gestion et mise en place opérationnelle de programmes de fidélité pour les grandes enseignes
Aliénor.net, spécialiste web et hébergement à valeur ajoutée sur ses propres infrastructures.
Quelques mots nous caractérisent : #Qualité #Service #Innovation #Data #Technologie.

AQUITEM recherche aujourd'hui un Développeur Java F/H.

Join the team!
Au sein d'une équipe jeune et dynamique, vous intervenez sur l'outil de gestion marketing d'Aquitem, permettant de segmenter des clients et de diffuser des campagnes digitales.
Vous participez à son analyse, son développement et son déploiement
Vous mettez en place des webservices à destination des développeurs du Front-Office et vous travaillez en équipe avec nos partenaires (quelques déplacements à prévoir).
Vous participez aussi aux phases de tests et de recettes des modules déployés

Pour assurer ces missions, voici les compétences que vous devez avoir:
Les principales technologies à maîtriser sont: Java 7 / 8, Struts, Hibernate, JDBC, EJB

Mais d'autres technologies sont également importantes: Apache POI et VFS, IText, XStream, Servlets, Stax, BeanShell, Ehcache, Java2D.
Concernant les:
Bases de données : PostgreSQL, Oracle
Webservices : SOAP, EJB, WSDL, XSD, XSL, XML, JSon, Javascript, HTML
Editique : GVIM, Gimp, VI, MsOffice, WYSIWYG
Outils : Eclipse, Ant, Subversion, JBoss, Putty, Postfix, SFTP
Tests : JUnit, JMeter
Déploiements : Unix shell scripts,
Conception / documentation : UML

Prise de poste rapide!!
Si vous vous reconnaissez, n'hésitez pas à nous envoyer votre CV et LM sur notre site!
il y a 7 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/03/2019,Big_data,Bordeaux,16/10/2019,vjk=fd10a1248c7befba,vide,cdi
Développeur Big Data Java Senior H/F,AT Internet,Mérignac (33),vide,"Mérignac (33)
Éditeur de logiciel Digital Analytics français et indépendant, AT Internet ne ressemble pas aux géants de notre industrie. Notre approche unique de l’Analytics, nos 200 collaborateurs et nos 20 années d’expérience nous ont portés jusqu’à atteindre l’excellence dans notre domaine. Nous revendiquons cette différence et sommes ravis d’avoir été nommé « Leader » du Web Analytics dans la dernière étude « The Forrester Wave™: Web Analytics, Q4 2017 ».
Résolument tournés vers l’international, nous cultivons la confiance, le sens du client, l’innovation permanente, l’intelligence collective ainsi que l’enthousiasme au sein de nos équipes.
Vous avez du talent et vous êtes passionné(e) par le digital ? Vous souhaitez travailler sur des projets qui façonneront le numérique de demain ? Lancez-vous dans une aventure humaine et rejoignez une entreprise unique, indépendante, où il fait bon travailler ! Nous sommes certifiés HappyAtWork pour la deuxième année avec une note de 4.28/5 !

Poste et missions :
Au sein d’une équipe de développeurs confirmés travaillant sur des technologies innovantes, vous participerez au développement de la partie Event Stream Processing de notre solution. Dans ce contexte, votre mission consistera à :

Participer à la conception et la mise en place d’une chaine de processing Big Data ;
Interagir avec le Product Owner pour développer les user stories ;
Être force de proposition sur les solutions techniques ;
Développer le socle de calcul de données des produits AT Internet ;
Préparer et réaliser les tests unitaires ;
Participer aux déploiements des solutions et à la mise en œuvre des indicateurs de performance (DevOps) ;
Participer à l’intégration de nouvelles technologies orientées Big Data.

Vous serez amené à travailler au sein d’une équipe Scrum dans une dynamique d’amélioration continue.

Environnement Technique :

– Programmation : Java
– Cloud : AWS
– Architectures micro-services
– Calcul distribué : Kafka, Redis, Spark, Akka
– Intégration continue : Jenkins
– Méthodes agiles : Scrum

Compétences :
– Maitrise des concepts de programmation orientée objet
– Mise en place et utilisation de tests (unitaires, non régression…)
– Expérience réussie en conception
– La connaissance des éléments suivants serait un plus :
Environnement de calculs distribués (Hadoop, Redis, Spark, etc…)
Technologies Amazon (Lambda, DynamoDB, EMR, etc…)
Architecture micro-services (Docker, etc…)
DevOps
– Connaissance des méthodes agiles
– Anglais technique

Profil :
– Formation Bac+2 à Bac+5 en informatique (Génie Logiciel)
– Expérience de 5 ans minimum en développement avec langage orienté objet

Les avantages :
Mutuelle prise en charge à plus de 70% par AT Internet
Prévoyance
RTT
Télétravail
Parcours d’intégration
Excellente politique de formation
Communication directe avec les décideurs et membres du comité de direction
Prime de vacances
Indemnité vélo
Tickets restaurants
Tickets cadeaux
Fruits frais à disposition
Évènements team building : déjeuners d’équipe, AT Summit, Ship-It day…
Comité d’entreprise : cinéma, loisirs, voyages
Équipes de sport AT Internet
Pack mobilité : recherche personnalisée de logements et aides dans les démarches administratives

Contrat : CDI à pourvoir immédiatement



Voir les offres
il y a 10 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/12/2018,Big_data,Bordeaux,16/10/2019,vjk=e252298c4c0d618c,senior,cdi
Consultant Big data H/F,Devoteam,Nouvelle-Aquitaine,vide,"Nouvelle-Aquitaine
CDI
Description du poste

Jérôme et son équipe du grand ouest n'attendent que toi pour relever de nouveaux défis. Ensemble vous accompagnerez nos clients dans la transformation de leur projet vers la mise en oeuvre et le déploiement de solutions BIG DATA.

Ta mission si tu l'acceptes, est de participer à :
– L'administration de solutions Big Data : hadoop (hortonworks, mapr), spark, mongodb/cassandra …
– L'optimisation des performances de la plateforme BIG DATA
– L'amélioration et la simplification des processus d'intégration et déploiement continu

Pour réussir ce nouveau challenge nous vous proposerons des actions de formation via des certifications en direct des éditeurs, des actions de parrainage et un dispositif d'évaluation personnel régulier.
Qualifications

Diplômé(e) d'une école d'ingénieurs ou d'un Master 2 en informatique, tu souhaites t'investir dans une équipe dynamique, passionnée et aux valeurs humaines.

Tu es doté d'un excellent relationnel et tu as pour ambition d'évoluer dans un contexte innovant et challengeant lié aux sujets Big Data. Tu aimes travailler en équipe, and you are fluent in english !

Tu possèdes idéalement une expérience significative en développement Java/JEE et une bonne connaissance des outils Big Data.
Tu es désireux (se) de t'investir dans des projets innovants et gagner rapidement en responsabilités.
Alors n'hésites plus réponds à l'annonce d'Amandine et rejoins la communauté des Digital Transformakers !

Description de l’entreprise

Chez Devoteam, nous sommes des « Digital Transformakers ». Le respect, la franchise et la passion animent chaque jour notre tribu. Ensemble, nous aidons nos clients du CAC40 à remporter la bataille du Digital : du conseil à la mise en œuvre de technologies innovantes, jusqu’à l’adoption des usages.

Nous intervenons principalement dans les secteurs de la banque, de l’énergie et de l’industrie ainsi que dans la santé, les transports et la distribution.

Cloud, Cybersécurité, Digital Workplace ainsi que Big Data et Project Management n’ont aucun secret pour notre tribu ! Nos 6 700+ collaborateurs sont certifiés, formés et accompagnés au quotidien pour relever de nouveaux challenges innovants.

D’ici 2020, nous serons un des leaders européens de la transformation digitale. Es-tu prêt(e) à relever le défi ?
Informations complémentaires

Le savais-tu ?
Tous nos postes sont ouverts aux personnes en situation de handicap. Devoteam est engagé dans une politique Diversité.
En rejoignant Devoteam, tu auras la possibilité de te connecter avec tes pairs, de partager leur expérience et de développer tes compétences en rejoignant la communauté Big Data partagée par nos 17 pays.
il y a 8 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/02/2019,Big_data,Bordeaux,16/10/2019,vjk=7b17531df864d678,vide,cdi
