Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
CDI - DATA ANALYST (H/F) localisation BORDEAUX (33),Banque Populaire Aquitaine Centre Atlantique,Bordeaux (33),vide,"Bordeaux (33)
CDI
La Banque Populaire Aquitaine Centre Atlantique c’est environ 2000 collaborateurs au service de plus de 600 000 clients. Notre Banque est présente sur tout le territoire Nouvelle Aquitaine au travers de 200 Agences.
Banque régionale dynamique du groupe BPCE, notre volonté est d’être engagés aux côtés de nos clients et sociétaires et d’offrir des perspectives d’évolution à nos collaborateurs en valorisant les audaces et les talents.

Poste et missions
Vous êtes attiré(e) par le milieu bancaire et le traitement de la Data ? Venez rejoindre le département Marketing de la Banque Populaire à Bordeaux !
Le Département Marketing a pour objectif de réaliser des études quantitatives et qualitatives et d’assurer leur mise en œuvre dans le CRM afin de répondre aux besoins stratégiques de la Banque.

Au sein de notre équipe, vous :

Gérer les campagnes sous le CRM entrantes et sortantes en cohérence avec le modèle de relation défini dans la banque : études et analyses préalables, propositions de ciblages, comptages, création de contacts, cohérence Multicanal, suivis et bilans

Coordonner et alimenter le plan de contacts en fonction des capacités de traitement des métiers et en cohérence avec les priorités commerciales et le modèle de relation client

Coordonner et réaliser les études Marketing dans le cadre du plan marketing

Réaliser des études pour compte de la Distribution : implantations d’agences, taille portefeuilles...

Profil et compétences requises
Vous êtes titulaire d’un BAC+5 dans le domaine de l’ingénierie des systèmes d’information et/ou statistiques. Vous recherchez un poste dans le traitement de la Data.
Vous :
avez une connaissance des méthodes statistiques
savez collecter et exploiter les informations du SI décisionnel (maîtrise de SAS et SQL)
connaissez idéalement l’outil Adobe Campaign

Vous disposez d’une appétence certaine pour les chiffres et vous êtes orienté business avec une vision client. Vous avez des capacités d’analyse et un esprit de synthèse. Une première expérience professionnelle en qualité de Chargé d’Etudes Marketing / Chargé d’Etudes Statistiques serait un plus.
Groupe BPCE - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_analyst,Bordeaux,16/10/2019,vjk=18919b46130310c4,vide,cdi
Data Analyst Senior F/H,WEBENGINEERING,Bordeaux (33),vide,"Bordeaux (33)
CDI
Strateos recrute pour son client dans le secteur bancaire un Data Analyst senior

Les missions :
 Identifier, extraire et analyser les données (internes et externes) dans le but d’effectuer des analyses métiers et apporter des recommandations

 Mettre à disposition du management les tableaux de bord et les indicateurs clés de performance financière et risque

 Proposer des axes d'évolution, d’automatisation et d’optimisation de flux de données, de rapports ou de KPIs

 Réaliser des analyses statistiques et les restituer dans le cadre d’études ponctuelles

 Effectuer de l’exploration de données, afin de proposer de nouveaux axes d’analyse

 Collaborer étroitement avec les équipes Contrôle de Gestion et Risque sur les différentes missions proposées

Profil :
De formation supérieure (Bac+4/5) en Statistiques ou MIAGE, vous maîtriser parfaitement un outil de Data Visualisation (ex : Power BI, Tableau, BIME…), et un outil Analytique (ex : Dataiku, RStudio, Alteryx…). La connaissance d’un EPM du marché (ex : Tagetik, Jedox…) serait un plus.

Vous êtes reconnu(e) pour votre rigueur, votre précision ainsi que pour vos capacités d'analyse et de synthèse. Vous avez également de très bonnes qualités rédactionnelles et une réelle autonomie.

Profil recherché Profil :
De formation supérieure (Bac+4/5) en Statistiques ou MIAGE, vous maîtriser parfaitement un outil de Data Visualisation (ex : Power BI, Tableau, BIME…), et un outil Analytique (ex : Dataiku, RStudio, Alteryx…). La connaissance d’un EPM du marché (ex : Tagetik, Jedox…) serait un plus.

Vous êtes reconnu(e) pour votre rigueur, votre précision ainsi que pour vos capacités d'analyse et de synthèse. Vous avez également de très bonnes qualités rédactionnelles et une réelle autonomie.
Entreprise Strateos est une société innovante spécialisée dans le recrutement d’ingénieurs qui accompagne aujourd’hui plus de 500 entreprises dans leurs recrutements dans les domaines de l’Automobile, Ferroviaire, Aéronautique, Infrastructure, BTP, Energie, Télécoms,..

Grâce à ses solutions digitales et à ses technologies d’intelligence artificielle, Strateos est en mesure d’accompagner de manière très précise ses candidats dans leur recherche d’emploi.
Apec.fr - il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,Data_analyst,Bordeaux,16/10/2019,vjk=c1d25b55b61b4a95,senior,cdi
Data Analyst (H/F),ACTIVUS Group,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
Pour renforcer notre pôle Big Data, nous recrutons des Data Analysts (H/F).
En fonction de votre profil et de vos souhaits professionnels, vous intervenez chez un de nos clients pour lui apporter votre expertise et votre savoir-faire technologique.
Vos principales missions, si vous les acceptez :
Mener des analyses « Data Science » (R, SAS, Python, D3.js)
Réaliser des pré-analyses constitutives de l'intelligence métier
Mise à disposition de dashboards pour le suivi de KPIs
Design et pilotage de campagnes d’AB Testing & Scorecards
Maintenir, améliorer et concevoir des algorithmes d’extraction d’information provenant de données de différents formats
Mettre en place des protocoles expérimentaux pour démontrer les performances des algorithmes testés
Concevoir et déployer des modèles prédictifs pour piloter les activités marketing et business
Vous assurerez une veille permanente sur de nouvelles méthodologies, librairies, algorithmes et technologies permettant de faire évoluer nos solutions.
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé au sein d’équipes pluridisciplinaires (Data Science, Marketing, Big Data, Finances, Opérationnel …) auxquelles vous souhaitez faire bénéficier de votre expérience technique et fonctionnelle.
Vous effectuez une veille régulière sur les dernières technologies gravitant autour de la data (Dataiku, Spark, Power BI, QlikSense, D3.JS, Highchart.js, plot.ly, Watson, Cortana Intelligence Suite…), et vous êtes force de proposition dans l’évolution des systèmes existants.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles ou autodidacte geek, vous justifiez d'un Bac+5 et au minimum de 2 années d’expérience dans une fonction de Data Analyst, Data Miner, Data Scientist ou Business Analyst.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes. Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI
il y a 18 jours
Signaler cette offre d'emploi",28/09/2019,Data_analyst,Bordeaux,16/10/2019,vjk=92dafdeb4e1be5db,vide,cdi
DATA ANALYST OFFRE F/H,Cdiscount,Bordeaux (33),vide,"Bordeaux (33)
CDI
Et venez gérer plus de 200 000 références de leur sourcing jusqu'à leur commercialisation et contribuez à l'achat et à la mise en avant des meilleurs produits aux meilleurs prix !

Les missions qui vous seront confiées
En collaboration avec nos équipes Achats, vous participerez à l'élaboration de la stratégie d'assortiment de Cdiscount et vous serez le garant de la chaine de valeur : depuis l'analyse du marché et la conception de la gamme jusqu'au suivi de sa performance.

Vos tâches seront diverses et vous aurez notamment à :

Analyser le marché et le positionnement de nos concurrents (assortiment, tendances) et évaluer la demande marché afin d'en dégager des opportunités de développement
Elaborer l'assortiment cible en identifiant :
Les manquants à référencer
Les effets de cannibalisation
Les tendances à développer
Être force de proposition pour formuler des recommandations claires et complètes et assurer leurs mises en place
Accompagner les équipes opérationnelles dans la définition et la mise en place de process de pilotage et de suivi des recommandations
Analyser, assurer un suivi, mettre en place des indicateurs de suivi de la performance sur l'assortiment
Participer activement à la revue et à l'amélioration continue des méthodologies de conception de gamme
Rendre compte de votre activité via des reportings et des présentations
Profil recherché
Vous êtes diplômé d'un bac+5 en école de commerce ou d'ingénieur. Vous possédez 1 à 3 ans d'expérience dans une fonction analytique en corporate ou dans le conseil, vous savez construire une gamme de produits pertinente et possédez une culture forte du e-commerce.
Votre parcours professionnel vous a permis d'une part, de développer de réelles capacités d'analyse dans des environnements de données vastes et complexes, et d'autre part, de restituer ces analyses sous forme de synthèse orientée prise de décision.
Vous êtes autonome, proactif et force de proposition. Vous faites preuve d'une aisance relationnelle certaine, ce qui vous permet d'évoluer au sein d'une entreprise très orientée data en forte croissance. Vous êtes d'un naturel à prendre des initiatives pour rester constamment dans une optique d'amélioration continue. Au-delà de ces qualités, vous disposez d'une excellente maîtrise d'excel et idéalement de connaissances d'outils de data viz (PowerBI, Tableau). Par ailleurs, la connaissance de SQL et de VBA sera un atout supplémentaire. Enfin orienté « problem solving » : vous contournez les problèmes et trouvez des solutions alternatives innovantes en cas de blocage et êtes capable de sortir hors des sentiers battus.

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et venez inventer le e-commerce de demain !
Cdiscount s'engage pour la Diversité : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.

Informations complémentaires:
Type de contrat: CDI
Localisation: Bordeaux (33)
Référence: 4209
il y a 25 jours
- Continuer pour postuler
Signaler cette offre d'emploi",21/09/2019,Data_analyst,Bordeaux,16/10/2019,vjk=27e2e0440bd621a0,vide,cdi
DATA ANALYST FRAUDE H/F,Cdiscount,Bordeaux (33),vide,"Bordeaux (33)
CDI
Et venez mettre la satisfaction client au coeur des priorités et partager une expérience client en perpétuelle évolution

Les missions qui vous seront confiées
Dans un contexte réglementaire qui évolue et bouleverse les règles du jeu de la lutte contre la fraude, la sécurisation de la connexion au compte devient stratégique, avec un fort impact business. L'objectif de ce poste est de repenser le parcours client sur l'accès au compte en portant des projets innovants, qui permettront d'augmenter notre taux de conversion tout sécurisant le parcours. Rattaché à l'équipe en charge de la sécurisation du compte clients et de lutte contre la fraude, vous aurez notamment pour mission :
Analyser l'évolution des patterns de fraudes pour mettre en place les bons contrôles
Monitorer le taux de fraude et d'usurpation de compte (assurer le suivi des indicateurs existants, développer de nouvelles grilles d'analyse et proposer les plans d'action correspondants)
Monitorer le taux de conversion lié à la mise en place des contrôles sur le site
Animer la roadmap projet sur l'activité de sécurisation au compte (roadmap projet)
Assurer la veille sur ce secteur en forte évolution tant sur le plan des nouvelles techniques de fraude que des nouveaux outils de lutte anti-fraude.
Profil recherché
Issu d'une grande école (ingénieur ou commerce) ou titulaire d'un master en statistique, vous possédez un esprit analytique, une forte rigueur ainsi qu'une excellente compréhension des enjeux business. Vous savez mener à bien des projets, possédez a minima 1 an d'expérience et vous avez idéalement déjà une expérience du monde du E-commerce.
Force de proposition, vous souhaitez monter en compétences sur les différentes problématiques stratégiques web ! Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
En bon expert de l'analyse quantitative une maîtrise des outils suivants est fortement appréciée :
Bureautique : Windows et Pack office
Informatique : Langages SQL – R/Python

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et venez inventer le e-commerce de demain !
Cdiscount s'engage pour la Diversité : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.

Notre environnement Cdiscount :
Une carte ticket restaurant et de nombreux foodtrucks disponibles
Une offre de formation innovante et à la pointe des nouvelles technologies
Une conciergerie solidaire d'entreprise offrant des services diversifiés
Des espaces de pause collaboratifs
Un potager entretenu et choyé par nos collaborateurs
Des corbeilles de fruits livrées régulièrement
Une équipe de foot et de rugby internes
Un onboarding inédit

Informations complémentaires:
Type de contrat: CDI
Localisation: Bordeaux (33)
Référence: 4942
il y a 28 jours
- Continuer pour postuler
Signaler cette offre d'emploi",18/09/2019,Data_analyst,Bordeaux,16/10/2019,vjk=c5c90eb43ab78d50,vide,cdi
Data analyst python - POEC H/F,ACTIVUS Group,Bordeaux (33),vide,"Bordeaux (33)
CDI
Activus lance une nouvelle POEC pour devenir Data Analyst en python !
Cette formation de 57 jours vise à l'acquisition d'une compétence complète et la plus large possible dans le domaine de la DataExperience étendue à un savoir faire en développement python.
Axée sur une pratique intensive et la construction d'un projet complet en environnement Data, cette formation apportera des savoirs-faire opérationnels en terme de conception, modélisation, développement et de restitution de données.
La formation se déroule sur Toulouse mais nous recherchons et recrutons des profils venant également de Bordeaux et Paris. A l'issue de la formation, nous nous engageons à vous trouver un emploi en CDI sur le secteur géographique de votre choix (Toulouse, Bordeaux ou Paris).
Nous vous proposons de monter en compétence sur :
L'analyse et la modélisation
La maîtrise de langage machine learning type R ou python associé à la parfaite maîtrise des environnements de développement AWS
La maîtrise des outils de restitution de données
Le développement en R, python
Evoluer rapidement vers des métiers de Data Scientist
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé au sein d’équipes pluridisciplinaires.
PROFIL
Ingénieur grandes écoles, diplômés d'un Bac + 5 ou titulaire d'un doctorat vous souhaitez vous réorienter en Data Analyse. Vous avez une première expérience en développement (maîtrise de l'algorithmique et de la programmation), vous maîtrisez un langage idéalement bas niveau (type C, C++), vous avez une connaissance objet et vous maîtrisez les bases de données relationnelles et du langage SQL.
Nous pouvons vous accompagner vers une évolution rapide en Data Science.
Passionné(e) par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé(e) et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes. Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : CDI
Expérience:
data analyst python - poec h/f ou similaire: 1 an (Souhaité)
il y a 30+ jours
Signaler cette offre d'emploi",16/09/2019,Data_analyst,Bordeaux,16/10/2019,vjk=895889870b273a66,vide,cdi
Data Analyst Paris ou Bordeaux,Back Market,Bordeaux (33),vide,"Bordeaux (33)
Chez Back Market, nous avons à cœur de promouvoir un nouveau mode de consommation favorisant l’économie circulaire tout en luttant contre le gâchis électronique et l’obsolescence programmée.
1ere marketplace européenne (et bientôt mondiale !!!) dédiée exclusivement à la vente de produits électroniques reconditionnés, nous connectons professionnels certifiés (usines de reconditionnement, distributeurs, etc..) donnant une seconde vie à vos équipements et clients à la recherche de qualité, d’accessibilité et d’un type de consommation plus écologique.

Ce que l'on recherche au sein de Back Market? Une bonne dose d'humour, respect et bienveillance, un amour pour les lapins, un peu de zèle et une réelle expertise dans ton domaine ! Pour la bonne personne, c’est l’occasion de participer à la construction d’une marketplace de premier plan, directement dans l'équipe au cœur de l’innovation : le Bureau Of Technology.

Tu veux en savoir plus sur l'organisation des équipes techniques et les features teams. : Un peu de lecture.

Travaillant au sein de l’équipe BI, tu participeras à la croissance et à la rentabilité de Back Market grâce à une exploitation innovante et intelligente de notre data.
Basé à Bordeaux ou Paris, tu occuperas une postition transverse te permettant de travailler avec l'ensemble des départements de Back Market.
Ton but : mettre à leur disposition des dashboards et analyses leur permettant de prendre les meilleures décisions.
Tu seras donc au coeur du réacteur !

Reportant à notre Head of BI, tes missions incluront :

=> L'utilisation de la donnée pour aider au pilotage de l’activité et améliorer les process existants avec notamment :
La récolte du besoin auprès des départements business
La création et l'automatisation de dashboards à forte valeur ajoutée
La restitution des analyses en garantissant la qualité du rendu
La documentation et le partage de connaissances sur l'ensemble de tes projets
Ce que l'on recherche chez notre futur collègue :
Tu as au moins une année d'expérience sur un poste similaire
Tu as une formation Bac +5, Ecole d’ingénieur ou de commerce
Tu as un état d'esprit orienté business
Tu fais preuve d'une grande rigueur
Tu es quelqu'un de transparent, qui communique aisément sur tes avancées et tes difficultés
Tu as un esprit d’entrepreneur, tu es ouvert d’esprit et tu as envie de te dépasser
English is a no brainer for you
SQL et Tableau n'ont aucun secret pour toi
Tu es très réactif et tu as à cœur de rendre nos clients heureux
Tu aimes faire des choses concrètes et mettre les mains dans le cambouis
Tu sais prendre soin des détails et la pression ne te fait pas peur
Tu as soif d’apprendre et tu veux t’immerger dans une startup en très forte croissance
Tu es un fantastique coéquipier qui aime travailler en équipe, apprendre des autres et partager ses connaissance
Sauve la planète.. Rejoins Back Market !
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Data_analyst,Bordeaux,16/10/2019,vjk=4866b74b39ccca6f,vide,vide
DATA ANALYST VOYAGE H/F,Cdiscount,Bordeaux (33),vide,"Bordeaux (33)
CDI
Et participez à la stratégie d'élargissement des différents services proposés à nos millions de clients, leur offrant ainsi toujours plus de valeur à un prix compétitif. Cdiscount propose aujourd'hui une offre mobile, une offre de cloud, une autre énergie et d'autres projets pour très bientôt !

Les missions qui vous seront confiées
Rattaché à la Direction des services et plus spécifiquement au sein de l'équipe voyage et loisirs, vous interviendrez principalement sur la conception des différents KPI de l'activité voyage en encadrant les projets de datas clients :
Construire les KPI et les mettre à disposition à l'équipe via Power BI (évolution, alertes, fait marquants).
Animer les datas des partenaires pour fluidifier les échanges avec eux
Analyser les recherches effectuées dans les moteurs et modéliser le parcours décisionnel des clients.
Construire et archiver/comparer les opérations commerciales et leur transformation
Construire une base de données à partir d'origines diverses : internes (Excel et SQL), datas des partenaires
Pricing : assurer un bench des prix pratiqués sur les produits mis en avant, et catalogue, et automatiser les alertes aux équipes.
Être force de proposition suite aux analyses.

Profil recherché
Issu(e) d'une école d'ingénieur ou équivalent, nous recherchons un profil analytique, disposant également d'une culture commerciale indéniable (création, lecture et pilotage de KPI) mais aussi d'une sensibilité au merchandising produits sur le web.
Vous avez le goût des chiffres, vous travaillez en autonomie et souhaitez pouvoir exprimer votre sens de l'innovation. Vous êtes par ailleurs à l'aise avec les outils de gestion de données (Excel, SQL, Access, Power BI…).
Grâce à votre tempérament d'entrepreneur, vous êtes capable de repousser vos limites pour faire aboutir vos idées. Force de proposition, vous recherchez une expérience enrichissante vous permettant de monter en compétences sur les différentes fonctions du e-commerce et d'être au cœur des problématiques stratégiques web !
Votre rigueur et votre créativité vous permettront de développer l'activité tout en la structurant avec méthode et esprit de synthèse. Vous gérez vos priorités en bonne autonomie, dans le but de répondre aux objectifs de l'entreprise. Dynamique et proactif, vous aimez travailler au sein d'un environnement challengeant.

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et venez inventer le e-commerce de demain !
Cdiscount s'engage pour la Diversité : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.

Informations complémentaires:
Type de contrat: CDI
Localisation: Bordeaux (33)
Référence: 4612
il y a 5 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/05/2019,Data_analyst,Bordeaux,16/10/2019,vjk=9a6fb97610ab1aeb,vide,cdi
Stage Ingénieur(e) data analyst,VALOREM Energie,Bègles (33),700 € par mois,"Bègles (33)
Stage
700 € par mois
Offre de stage
Ingénieur(e) data analyst
Date d’édition : 10/04/2019
L’entreprise
VALEMO (54 salariés), filiale d’exploitation et de maintenance du groupe VALOREM (220 salariés) est
aujourd’hui un des leaders sur les marchés de l’exploitation et de la maintenance de parcs d’énergie
renouvelable en France. Parallèlement aux activités de maintenance et d’exploitation, nous réalisons
toute une gamme de prestations techniques dans l‘éolien et le PV.
Nous ouvrons un stage d’Ingénieur(e) Data Analyst.
Descriptif du stage
Ce stage s’inscrit dans une volonté de VALEMO de créer, d’améliorer d’automatiser ses outils d’analyse et
de suivi des projets éoliens. Encadré(e) et tutoré(e) par l’ingénieur en charge de l’analyse de données,
vous réalisez un projet de fin d’étude d’ingénierie d’analyse de données et de business intelligence sur les
logiciels Excel et PowerBI.
Vous participez aux travaux suivants :
o La création de tableau de bord PowerBI de suivi de performance de la maintenance
o La création de tableaux de bord de suivi de la complétude et qualité des bases de données
o L’amélioration de tableaux de bord de suivi d’exploitation de projet éolien
o Le déploiement et le suivi des premiers retours des tableaux de bord PowerBI dans les équipes
o La création de documentation pour l’utilisation et le développement de rapport PowerBI
Profil et pré requis
Stage de niveau bac+5, soit :
o Ecole d’ingénieur à dominante mécanique et/ou électrique ou généraliste à dominante
informatique.
o Connaissance en programmation SQL, PowerBI(DAX), Python.
o Connaissance des outils Excel (pour l’analyse de données) et Word (pour les rapports).
o Rigueur, aptitudes d’organisation et de synthèse, bon relationnel.
o Autonomie dans l’apprentissage.
Conditions
o Stage de 4 à 6 mois.
o A pourvoir : dès mai 2019.
o Localisation : Bègles (33).
o Gratification : 700€ brut/mois
Dépôt des candidatures sur http://www.valorem-energie.com/groupe/valorem-recrute/
Site internet : http://www.valemo.fr/
M2 P6 RH V1 20140217 validé par SBo
il y a 6 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/04/2019,Data_analyst,Bordeaux,16/10/2019,vjk=a4a46f1e278d647e,vide,stage
Data Analyst Senior Paris ou Bordeaux,Back Market,Bordeaux (33),vide,"Bordeaux (33)
Chez Back Market, nous avons à cœur de promouvoir un nouveau mode de consommation favorisant l’économie circulaire tout en luttant contre le gâchis électronique et l’obsolescence programmée.
1ere marketplace européenne (et bientôt mondiale !!!) dédiée exclusivement à la vente de produits électroniques reconditionnés, nous connectons professionnels certifiés (usines de reconditionnement, distributeurs, etc..) donnant une seconde vie à vos équipements et clients à la recherche de qualité, d’accessibilité et d’un type de consommation plus écologique.

Ce que l'on recherche au sein de Back Market? Une bonne dose d'humour, respect et bienveillance, un amour pour les lapins, un peu de zèle et une réelle expertise dans ton domaine ! Pour la bonne personne, c’est l’occasion de participer à la construction d’une marketplace de premier plan, directement dans l'équipe au cœur de l’innovation : le Bureau Of Technology.

Tu veux en savoir plus sur l'organisation des équipes techniques et les features teams. : Un peu de lecture.

Travaillant au sein de l’équipe BI, tu participeras à la croissance et à la rentabilité de Back Market grâce à une exploitation innovante et intelligente de notre data.
Basé à Bordeaux ou Paris, tu occuperas une postition transverse te permettant de travailler avec l'ensemble des départements de Back Market. Ton but : mettre à leur disposition des dashboards et analyses leur permettant de prendre les meilleures décisions.
Tu seras donc au coeur du réacteur !

Reportant à notre Head of BI, tes missions incluront :

=> L'utilisation de la donnée pour aider au pilotage de l’activité et améliorer les process existants avec notamment :
La récolte du besoin auprès des départements business
Le challenge des équipes métier pour s'assurer de la pertinence de leurs demandes
La création et l'automatisation de dashboards à forte valeur ajoutée
La restitution des analyses en garantissant la qualité du rendu
Proposer de nouvelles analyses qui te sembleraient pertinentes pour le métier

=> Travailler en équipe avec les data analyst junior spécialisés dans un département de Back Market pour les aider à mener à bien leurs analyses
Rejoins nous :
Tu as au moins 3 ans d’expérience sur un poste et un secteur similaire
Tu as un état d'esprit orienté business et tu fais preuve d'une grande rigueur
Tu as un esprit d’entrepreneur, tu es ouvert d’esprit et tu as envie de te dépasser
English is a no brainer for you :)
SQL et Tableau n'ont aucun secret pour toi. Des connaissances sur snowflake, looker, alteryx, python, airflow, dataiku, ELK sont un plus
Tu aimes faire des choses concrètes et mettre les mains dans le cambouis
Tu sais prioriser, prendre soin des détails et la pression ne te fait pas peur
Tu as soif d’apprendre et tu veux t’immerger dans une startup en très forte croissance
Tu es un/une fantastique coéquipier(e) qui aime travailler en équipe, apprendre des autres et partager ses connaissance


Sauve la planète.. Rejoins Back Market !
il y a 7 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/03/2019,Data_analyst,Bordeaux,16/10/2019,vjk=9b173df44f6da944,senior,vide
