Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Data Scientist Confirmé F/H,SEPT LIEUES,Bordeaux (33),vide,"Bordeaux (33)
CDI
Sous la responsabilité du Chief Data, vous rejoindrez l'équipe composée de cinq autres personnes. Vous travaillerez également en collaboration avec d'autres équipes.

Vos missions seront les suivantes :
Traitements et analyse de la donnée
Concevoir des modèles de prédiction
Mettre en place des modèles de scoring
Profil recherché Le profil

Issu(e) d'une école d'ingénieur ou équivalent, vous justifiez d'une expérience de minimum 2 ans sur un poste similaire.

Vous disposez de capacité analytique et de compétences en Machine Learning et Deep Learning.

Vous maîtrisez Python.

Vous avez déjà expérimenté la modélisation de réseaux de noeuds.

Vous êtes autonome et polyvalent.
Entreprise L'entreprise qui recrute est une filiale d'un grand groupe français. En tant que Data Scientist Confirmé vous intégrerez une petite entité qui est composée de 6 personnes. Vous serez amené(e) à collaborer avec les différentes entités.
Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,Data_scientist,Bordeaux,16/10/2019,vjk=6d41818645dc18a5,confirmé,cdi
Data Scientist confirmé,BANQUE CASINO,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
Filiale du Groupe Casino et du Crédit Mutuel, Banque Casino propose de nombreux produits banque et assurance. Elle dispose d’une palette de financement (prêt personnel, crédit renouvelable, regroupement de crédits) et une gamme de cartes bancaires Casino et Cdiscount.
Banque Casino est le partenaire financier de l’enseigne Casino et du n°1 de e-commerce en France : Cdiscount.
Notre développement s’appuie sur le digital avec 90% de recrutements de nouveaux clients via le web / mobile, et un processus de signature électronique et de dossier dématérialisé sur tous nos parcours d’acquisition.
Afin de renforcer notre équipe, nous recherchons un(e) Data Scientist confirmé, au sein de notre Direction Business Intelligence & Data Sciences
Rattaché(e) à la Direction Business Intelligence et Data sciences, vous rejoindrez une équipe de data scientists et data analysts dynamique, enthousiaste et motivée par l’innovation et la culture data.
Vous préconisez et mettez en oeuvre les solutions pour améliorer la connaissance clients et vous contribuez à l’optimisation de la production de la banque en modélisant notamment le risque crédit et les comportements clients.
Responsable de la conception à la mise en production des modèles prédictifs, vous devez également en challenger les performances au quotidien : le machine learning sera un de vos atouts
Vous recherchez un poste au sein d'une équipe motivée et experte afin d'exprimer votre potentiel et d'accompagner notre développement ? N'hésitez pas à postuler. 2
Compétences
De formation supérieure (de type Université ou Ecoles d'ingénieurs, de commerce, avec spécialisation ou expérience en modélisation statistiques, data mining et big data), vous avez de solides capacités analytiques, une bonne compréhension des enjeux business, et une forte capacité de communication auprès de différents intervenants (IT, BU, Finance, …). Une expérience de 7 ans est exigée. Dont, une expérience de 3 à 5 ans dans le management et le domaine bancaire.
Indispensables :
Vous maîtrisez les outils de management de bases de données type ETL (Talend, Snowflake,..) et êtes expert en analyse prédictive/modélisation (Dataïku, SPSS, …) et êtes à l'aise avec les langages open-source (R, Python, HTML, SQL, PHP …)
Vous avez une appétence marquée pour la réalisation de solutions opérationnelles plutôt que pour la seule expertise théorique.
Vous êtes curieux (se), vos solides bases techniques et vos qualités relationnelles vous permettront de vous intégrer facilement au sein de notre structure.
Enthousiaste, autonome, force de proposition dans un environnement parfois complexe, vous avez un bon esprit de synthèse.
Réf : DS confirmé BI
Localisation Bordeaux (33)
Date de début : dès que possible
Type de contrat : CDI
Type d'emploi : Temps plein, CDI
Expérience:
data scientist confirmé ou similaire: 7 ans (Requis)
Formation:
CAP / BEP (Requis)
Lieu:
Bordeaux (33) (Requis)
il y a 4 jours
Signaler cette offre d'emploi",12/10/2019,Data_scientist,Bordeaux,16/10/2019,vjk=0f19fbb0b21f2cc3,confirmé,cdi
Data Scientist H/F,Betclic Group,Bordeaux (33),vide,"Bordeaux (33)
POSTE
Au sein de l'équipe Data Science composée de 7 collaborateurs, vous êtes responsable du développement, de la mise en production et de l’entretien d’algorithmes de machine learning afin de soutenir l’activité de l’entreprise.

MISSIONS
Dans ce contexte, vos missions principales seront les suivantes :
Participer à la production de nos analyses avancées en utilisant des techniques et des technologies de pointe pour offrir à nos clients la meilleure expérience de pari en ligne
Travailler avec des équipes multidisciplinaires (marketing, produit…) pour fournir des solutions novatrices axées sur les données
Construire des produits de données complets aptes à répondre aux challenges du business
Améliorer continuellement les solutions grâce à des cycles de test et d'apprentissage rapides
Analyser un large éventail de sources de données afin d’apporter continuellement de la valeur ajoutée à nos utilisateurs
Travailler en étroite collaboration avec un centre de recherche de la région Nouvelle Aquitaine, challenger les résultats des recherches et industrialiser les modèles créés par les chercheurs
Accompagner un thésard CIFFRE dans ses recherches et la préparation de sa thèse de doctorat

COMPETENCES TECHNIQUES
Compétences fortes en Python ou en R
Capacité de programmation orientée objet
Manipulation des principales librairies de machine learning
Compétences en SQL
Familiarité avec un outil de dataviz tel que Tableau ou PowerBI
Familiarité avec des outils cloud tels qu’Amazon S3, Amazon Lambda, Snowflake…



PROFIL
Diplômé d'un Bac+4/5 (ou doctorat), vous justifiez d'une expérience de 3 ans minimum en Data Science idéalement au sein d'une entreprise BtoC ou dans un laboratoire de recherche en environnement Big Data
Vous avez acquis une expérience solide dans un ou plusieurs des domaines suivants : personnalisation, désabonnement, recommandations, fidélisation, acquisition de trafic, segmentation de nouveaux clients, détection fraude
Vous êtes reconnu pour votre :
Capacité à créer des visualisations de données convaincantes pour appuyer les conclusions et communiquer les résultats aux parties prenantes
Expertise et expérience pratique de techniques analytiques avancées telles que le clustering, la régression linéaire, les arbres de décision, les random forests, les réseaux de neurones…
Passion pour les données et les avantages commerciaux qui peuvent en dériver
il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",28/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=c24291b7139bee92,vide,apprentissage
Data Scientist,Hiscox,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
L’Entreprise
Hiscox est un assureur spécialisé, offrant une large gamme de solutions d’assurances pour les particuliers et les professionnels. Nos produits ont été conçus pour répondre aux besoins spécifiques d’une clientèle exigeante et s’appuient sur un fort degré d’expertise.
Hiscox France est la succursale française du Groupe Hiscox ouverte à Paris en 1995.
Hiscox France représente la moitié du portefeuille européen en Art et clientèle privée et près de la moitié en assurances professionnelles.
Notre objectif est de développer le scoring et l’études de données statistiques pour :
L’optimisation technique de notre activité : suivi, gestion et amélioration de notre ratio sinistre / prime
Notre objectif CRM et marketing : initiatives cross sell et up sell, ciblage et études profiling et opérations
Le Rôle
En relation étroite avec les clients internes (business developpers, souscripteurs, collègues du marketing et de la communication, top management, département des opérations et utilisateurs), vous exploitez des bases de données de manière à construire et mettre à jour des outils statistiques :
Suivi de nos KPI et rapports
Etudes ad hoc pour répondre à des problématiques business et faire des recommandations spécifiques
Développement de modèles pour améliorer l’activité
Véritable partenaire du business vous comprenez et traduisez les problématique métier (améliorer le ratio sinistres à prime, développer l’équipement (up et cross sell) …) de manière a y apporter des solutions adaptées à partir des données sur lesquelles vous allez travailler.
La capacité technique statistique et IT à manipuler les données, les vérifier et les analyser régulièrement (maintenance datamart, scorecard et calculs de segmentation, rapports, …) est la compétence première requise pour ce poste.

#LI-POST

Le profil
Cous devez être diplômé en statistiques / économétrie – ou ingénieur avec ces options - avec de bonnes connaissances en économie et marketing, un cursus de type école de commerce avec une option et une expérience d’analyse statistique suffisamment probante sera également examiné. Vous avez le goût de l’analyse et du challenge, êtes curieux et autonome.
Vous devez connaitre les logiciels de traitement python et R et être très à l’aise avec Excel.
Vous êtes capable de trouver des solutions efficaces et de les adapter aux différentes problématiques business en fonction de leurs caractéristiques et de leur importance. Vous êtes toujours soucieux d’améliorer l’efficacité et la compréhension des leviers business.
Vous découvrirez diverses activités au sein d’un groupe d’assurance international et différentes problématiques ; problématiques de sinistres et de souscription, de vente, segmentation clients et courtiers, tendances, …
Vous serez rattaché directement, formé et accompagné dans votre développement par le Directeur Marketing Communication et Data.
Un très bon niveau d’anglais est requis.
Notre réputation sur le marché est celle d’un acteur réactif, pointu et professionnel, vous devrez démontrer par votre expérience passée que votre sens de la qualité et du service au client est une compétence distinctive prononcée de votre candidature. Enfin, vous aimez relever des challenges et vous investir dans vos fonctions pour réussir. La volonté d’apprendre et de progresser vous anime.
Pour postuler : rendez-vous sur l’espace carrière de notre site internet www.hiscox.fr/carrieres



#LI-POST
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=0bd9ded314a64dba,vide,cdi
Data Scientist,DESKi,Bordeaux (33),vide,"Bordeaux (33)
DESKi, “learn” in Breton, is a young and innovative company, combining a strong expertise in both medical imaging and artificial intelligence. DESKi and Bordeaux University Hospital (CHU) have signed a framework agreement to expand and facilitate the development of research projects in the field of artificial intelligence. DESKi works hand in hand with medical practitioners and researchers to develop automated, accurate, and data-driven medical image analysis tools to simplify the use of ultrasound systems by clinicians who are not specialists.
Site web :
http://www.deski.io
Poste et missions
The objective of this position is to elaborate different solutions for an automated ultrasound analysis tool using Deep Learning.
You will join a multidisciplinary team of medical expert and Machine Learning engineers who are dedicated to spread medical expertise to a wider community.
You will be responsible for:
developing AI tools answering specific clinical needs
research projects management
https://youtu.be/ra6KdA6KIkE

Mobilité géographique :
Internationale
Prise de fonction :
17/09/2019
Profil
Requirements: PhD, or MSc. in applied mathematics, image/signal processing, computer science, software engineering
Strong mathematical background
3+ year experience in Machine/Deep learning
Programming skills in Python (TensorFlow, Keras, OpenCV, Numpy, Scikit, Flask)
Experience in production environments: documentation/specification, units test, deployment/integration
Medical culture is a plus
L'Intelli'agence - il y a 28 jours
- Continuer pour postuler
Signaler cette offre d'emploi",18/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=36872c742c22679e,vide,vide
Docteur R&D – Deep learning appliqué à la Reconstruction 3D...,RD2 CONSEIL,Mérignac (33),vide,"Mérignac (33)
CDI
En fort développement, l’entreprise compte aujourd’hui 45 salariés et souhaite renforcer son équipe R&D (11 personnes) par le recrutement d’un(e)

Docteur R&D (H/F) spécialisé(e) sur les problématiques de Deep Learning appliqué à la Reconstruction 3D.

Afin de répondre à un objectif d’optimisation de coût de stockage des modèles de mobiliers, l’enjeu pour notre client est d’être en capacité via des méthodes de deep learning de construire automatiquement des modèles 3D à partir des photos issues des catalogues.
Profil recherché Nous cherchons un candidat disposant en particulier des compétences suivantes :

Docteur en Informatique, vous maîtrisez la programmation informatique permettant de concevoir et d’implémenter les algorithmes de reconstruction 3D d’images par des méthodes de Deep Learning (CNN - Convolutional Neural Network, C++, Python) ou mathématiques (modèles génératifs, design génératif)

Connaissance d’une bibliothèque de Deep Learning (Tensorflow, Keras…)

Connaissance de la librairie OpenCV

Un bon niveau d’anglais écrit et oral est un pré-requis indispensable, vous évoluerez dans un contexte international

Notre client recherche des passionnés, des experts aimant travailler dans un environnement en mouvement. L’agilité et le challenge tant technique que commercial sont au cœur du quotidien des équipes. La bonne humeur est une des clés de la culture d'entreprise, qui se nourrit de la diversité des personnalités.

Localisation : Paris ou Bordeaux

Si vous pensez être cette personne, que vous êtes titulaire d’un Doctorat et n’avez jamais été embauché en CDI après votre thèse (contrainte impérative pour respecter les critères du CIR), nous vous invitons à nous faire parvenir votre CV et lettre de motivation par mail sous la référence HUB-3D.
Entreprise RD2 Conseil est un cabinet de recrutement spécialisé sur la recherche de compétences scientifiques pour les besoins en R&D des PME innovantes et entreprises privées, souhaitant se doter de compétences pointues et de réelles ressources humaines en matière d’Innovation.

Nous recrutons actuellement un(e)

Docteur R&D (H/F) spécialisé(e) en Deep Learning appliqué à la Reconstruction 3D.

Crée en 2016, notre client est une start-up qui propose une solution de création de contenus visuels 3D destinée aux marchés du Home&Living et de l’Immobilier. Grâce aux développements d’une technologie 3D, de l’utilisation de l’intelligence artificielle et d’une communauté de plus de 300 architectes d’intérieur, il transforme la manière d’acheter des meubles et accessoires déco et contribue également à valoriser les biens et réduire les temps de vente. La solution permettant de modéliser l’intérieur des espaces d’habitation à partir de photos et d’intégrer par la suite le nouveau mobilier ou la nouvelle décoration.

Ses clients sont connus internationalement : Made.com, Conforama, BNPP, Nexity, Madame Figaro, etc..
Apec.fr - il y a 29 jours
- Continuer pour postuler
Signaler cette offre d'emploi",17/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=3c723da09859ebec,vide,cdi
Alternance Ingénieur R&D Machine Learning H/F,Weenove,Bordeaux (33),vide,"Bordeaux (33)
Apprentissage
L’entreprise
Weenove est une jeune startup dynamique basée dans le quartier des Chartrons à Bordeaux. Elle édite le logiciel Biwee qui permet aux entreprises de s’orienter au cœur de la « Data Jungle ». Nous évoluons dans le domaine de la Business Intelligence qui est un marché en pleine explosion.
Biwee permet aux entreprises de se connecter en temps réel à leurs données afin d’établir des tableaux de bord interactifs, dynamiques et simples pour prendre les bonnes décisions au bon moment. Nous attachons beaucoup d’importance à l’élaboration de logiciels simples d’utilisation avec des interfaces modernes et réactives.
Vous intégrerez une équipe jeune et dynamique d’une dizaine de personnes.
Vos missions
Au sein de l’équipe de développement, vous participerez à l’étude et au développement de nouvelles fonctionnalités innovantes à forte valeur ajoutée pour notre logiciel Biwee :
Développement dans le domaine du machine learning
Utilisation ou construction d’algorithmes prédictifs et de corrélations automatiques de jeux de données
Veille sur les dernières technologies en IA et Machine learning
Savoir-faire souhaités :
Machine Learning
C#
Python
Maitrise de Microsoft Azure serait un plus
Sens de l’organisation et de l’autonomie
Curieux et passionné par les technologies d’IA et de machine learning
Capacité à travailler en équipe
Mots clés associés : C#, Intelligence Artificielle, Big Data, Machine learning, ML, IA, apprentissage machine, business intelligence
Type d'emploi : Apprentissage
Formation:
Bac +2 (BTS, DUT, DEUG) (Requis)
il y a 30+ jours
Signaler cette offre d'emploi",16/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=23b981a4b9e91641,vide,apprentissage
Intervenant Machine learning et deep learning H/F,EPSI,Bordeaux (33),vide,"Bordeaux (33)
EPSI Bordeaux est une école d'informatique qui propose un cursus post-bac complet, avec un Bachelor et un cycle Bac+5, ainsi qu'un BTS SIO. Le campus de Bordeaux est au cœur de la capitale girondine, labellisée FRENCHTECH, au sein des Bassins à Flot, nouveau pôle technologique et culturel de la ville.
Comprendre les principes du Deep Learning et des réseaux neuronaux en utilisant et pratiquant sur les outils de haut et bas niveau
Compétences à acquérir Utiliser un outil de machine et deep learning (au choix du campus)
Approche pédagogique Il convient d’aborder ce module de façon très pratique. L’utilisation d’outils de machine learning et deep learning est obligatoire. Les cas pratiques et travaux dirigés conçus par le formateur-intervenant permettent des aller/retour entre notions théoriques et pratique technique.


Intervenant ayant minimum un bac + 5 en informatique Pédagogue avec expérience si possible en enseignement
Référence: IntMachineLearni
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=eafbf77f1a7b9cd5,vide,vide
DATA SCIENTIST H/F,Talan,Bordeaux (33),vide,"Bordeaux (33)
CDI
Dans le cadre du développement de son activité, Talan Bordeaux recrute un Data Scientist confirmé (>4 ans d’expérience) pour adresser les problématiques de ses clients situés en région bordelaise.
Pourquoi Rejoindre Talan Bordeaux ?
Talan est un acteur international de référence dans l’accompagnement de la transformation qui met l'innovation au cœur de son développement et intervient dans des domaines liés à la transformation digitale des grands groupes. Talan offre un accompagnement bout en bout à ses clients depuis le conseil métier, le pilotage et la réalisation de projets, l’intégration de solutions, l’expertise technologique, jusqu’au support opérationnel. Talan est reconnu pour la qualité de ses prestations et sa qualité de vie au travail (lauréat Great Place to Work 2019) !
Créée en 2019 avec de fortes ambitions de croissance, l’agence de Bordeaux a pour principaux terrains de jeu le consulting, le delivery projet et l’expertise technologique.
Au sein de l’agence de Bordeaux, vous travaillerez sur les problématiques suivantes : Big data, Machine Learning (ML), Deep Learning (DL) et Traitement du Langage Naturel (NLP) appliquées aux projets de nos clients.
Nous recherchons un consultant(e) dynamique et polyvalent(e), avec un excellent relationnel et capable d’intervenir à la fois sur :
Du conseil en amont des projets pour accompagner les clients sur les choix stratégiques et technologiques
La mise en œuvre de solutions big data
La modélisation et la mise en œuvre d’algorithmes d’apprentissage automatique
Profil recherché :
Docteur en mathématiques, statistiques ou informatique avec une spécialisation dans la data science, également ouvert aux diplômes d'Ingénieurs et Master
Datamining, modélisation statistique, machine learning/deep learning, NLP
Technos/outils : R, Python (et principaux frameworks/librairies : Numpy, Pandas, Scikit-learn, TensorFlow…), Java/Scala, technologies Big Data (Hadoop, Spark, Kafka…)
Bases de données : SQL, NoSQL
Ouvert à travailler dans plusieurs secteurs d’activité
Plus de 4 ans d'expérience, dont des projets significatifs en machine learning et big data
Des connaissances sur une ou plusieurs plateformes cloud sont un plus
A la recherche d’un nouveau terrain de jeu ? Alors n’hésitez pas à nous envoyer votre candidature !
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=2875d328dcf7e04e,vide,cdi
Data Scientist Confirmé,Sept Lieues,Bordeaux (33),50 000 € - 65 000 € par an,"Bordeaux (33)
CDI
50 000 € - 65 000 € par an
Filiale d'un grand groupe vous intégrerez une petite entité composée de 6 personnes.
LE POSTE / LES MISSIONS
Sous la responsabilité du Chief Data, vous rejoindrez l'équipe composée de quatre autres personnes. Vous travaillerez également en collaboration avec d'autres équipes.

Vos missions seront les suivantes :
Traitements et analyse de la donnée
Concevoir des modèles de prédiction
Mettre en place des modèles de scoring
PROFIL RECHERCHÉ
Issu(e) d'une école d'ingénieur ou équivalent, vous justifiez d'une expérience de minimum 2 ans sur un poste similaire.
Vous disposez de capacité analytique et de compétences en Machine Learning et Deep Learning.
Vous maîtrisez Python.
Vous avez déjà expérimenté la modélisation de réseaux de noeuds.
Vous êtes autonome et polyvalent.
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Data_scientist,Bordeaux,16/10/2019,vjk=aaac4872958d42d4,confirmé,cdi
