Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
DÉVELOPPEUR FRONT END H/F,SII Bordeaux,Bordeaux (33),vide,"Bordeaux (33)
CDI
Recruteur SII Bordeaux
Missions du poste
Partenaire technologique des grandes entreprises, le groupe SII est au coeur de l'économie de l'innovation avec 7000 consultants et une présence internationale sur 74 sites. Pour nos collaborateurs, SII c'est aussi de la convivialité, de la technicité et des métiers passionnants qui génèrent expériences et opportunités de carrières. Depuis 1979, notre organisation en agences avec un minimum de niveaux hiérarchiques vous assure proximité géographique et managériale.
SII Bordeaux recherche son ou sa futur(e) développeur(se) Front End

Concrètement, quel serait ton rôle ?

En tant que développeur(se) tu interviendras sur toutes les phases de développement au sein d'une équipe agile :
Développer de nouveaux composants avec une vision « Expérience utilisateur ».
Améliorer des modules existants et ajouter de nouvelles fonctionnalités.
Mettre en place les bonnes pratiques.
Réaliser des codesreview.

En fonction de tes compétences et aspirations, tu peux être référent(e) technique de notre équipe ou rejoindre notre équipe d'experts dont le rôle est multiple : veille technologique qui peut générer des speak up, missions d'expertise, expérimentations et des sujets divers (accompagnement aux entretiens d'embauche, participation aux salons...).

Et si tu te lasses de ta mission ? Toute l'équipe sera à ton écoute et nous te trouverons un nouveau projet.
Et si tu veux évoluer ? La formation est l'un des piliers chez SII, nous t'accompagnons dans ton projet d'évolution et te trouverons une mission cohérente vis-à-vis de ce projet.

Au-delà de ta mission nous te proposons de participer à la vie de l'agence : retrouver tes collègues autour d'un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d'agence, et participer au projet de développement de l'entreprise.
Profil recherché
Tu aimes ton boulot de développeur et tu as une préférence pour le Front. Tu as déjà une première expérience sur un projet similaire.

Tu connais HTML, CSS, JavaScript, Jquery, Angular, React JS... (Il n'est bien sûr pas obligatoire de tous les maitriser !).

Tu veux en savoir plus ? Notre équipe de FunRH sera ravie de te rencontrer et de t'en dire plus !

Au palmarès Great place To Work 2019, SII a également été labélisé Happy Candidate et Meilleur Employeur 2018 par la revue Capital.
Le Groupe SII est signataire de la Charte de la diversité en entreprise et est une entreprise handi-accueillante.

SII Bordeaux c'est :
130 Fungénieurs qui partagent un même esprit #collectif #partage.
Des clients Grands Comptes qui t'apporteront de la richesse technique, fonctionnelle et méthodologique.
Un suivi régulier et personnalisé : ton manager, ta référente RH et ta référente administrative seront là pour t'accompagner dans l'aventure SII.
Des moments de fun et de partage : AfterWorks, Soirées d'agence, événements sportifs, petits déjeuners.
Des speak'up (conférences technique/métiers animées par des consultants SII => peut être toi !).
Des formations régulières adaptées à tes envies et à ton évolution.
Postuler à cette offre
Digitalent.io - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,developer,Bordeaux,16/10/2019,vjk=e430ce66d3449bdf,vide,cdi
Web Developer Front-end H/F,TEHTRIS,Bordeaux (33),vide,"Bordeaux (33)
CDI
TEHTRIS, spécialiste de la cybersécurité depuis 2010, est une entreprise française éditrice de son propre cyber arsenal défensif « eGambit ». Présente en France comme à l’international, notre technologie protège des entreprises issues de divers secteurs d’activités.

Nos équipes sont structurées autour de trois grands axes :
Research & Development : Nos ingénieurs R&D innovent au quotidien et développent des solutions de cybersécurité modulaires pour la plateforme eGambit.
Security Operations Center : Nos combattants cyber défensifs sont aux commandes opérationnelles d’eGambit afin de détecter des attaques ou vulnérabilités dans le monde entier pour ensuite réagir rapidement à distance.
Consulting GRC Advisory : Nos consultants et experts accompagnent nos clients dans la définition de leur stratégie, la gestion des risques et la mise en conformité par rapport à des référentiels internes ou externes.

Le domaine de la cybersécurité vous intéresse ? Rejoignez la team TEHTRIS et son esprit start-up pour apporter votre griffe DevOps sur nos codes Web !
Description du poste
Nos produits et services tournent dans le monde entier pour lutter contre les cybermenaces. Grâce à votre créativité, et votre maîtrise technique, vous pourrez ainsi construire et améliorer de nombreux services Web. Notre équipe d'experts en cybersécurité sera à votre écoute dans une ambiance jeune et dynamique.

Ce que nous allons accomplir ensemble :
Vous intégrerez l’équipe de développement qui travaille sur le produit phare de TEHTRIS : eGambit. Au programme : création, amélioration et évolution de nouvelles fonctionnalités du produit en collaboration avec l'UX/UI designer et l'équipe de développeurs back-end.
Vous serez également amené(e) à assister ponctuellement l’équipe communication dans le développement technique de ses divers projets web : nouvelles fonctionnalités sur le site, création de blog et sites internet, etc.
Les missions seront donc variées !
Profil recherché
Issu(e) d'une formation en informatique (Bac+5 ou Bac+3 avec expérience), vous êtes spécialisé(e) en développement web.

Si vous adorez les technologies Javascript comme VueJS, ReactJS, ou Angular2, tout en maitrisant CSS3, HTML5, etc, et vous savez développer sur un ou plusieurs CMS en Opensource majeurs, alors ce CDI est fait pour vous.

Vous n’êtes pas encore expert sur l’une des technos citées ? TEHTRIS accompagne chaque salarié dans son développement professionnel et une spécialisation sur les technologies et méthodes utilisées au sein de TEHTRIS sera inclue dans votre parcours d’intégration.

Vous aimez relever des défis techniques et terminer vos objectifs avec un sentiment de pureté autant sur le visuel que sur le code.

Vous souhaitez rejoindre une entreprise à taille humaine en pleine croissance et évoluer dans un environnement convivial et dynamique.

Vous avez idéalement quelques années d’expérience (1 à 3 ans au moins mais les candidatures des profils plus junior pourront être étudiées) avec une vraie autonomie technique. Vous voulez développer vos compétences et connaissances concernant la sécurité informatique et de nombreuses autres technologies.
Vous êtes disponible à partir de janvier 2020.
Et si en plus de tout cela vous êtes mobile sur la région bordelaise (Pessac), vous êtes la personne que nous recherchons !

Alors ne perdez pas de temps et envoyez nous votre candidature ! A très bientôt :-)

Mini FAQ sur le profil recherché et le job associé
Au niveau des langues vivantes, quels sont les critères pour pouvoir postuler ?
La maîtrise du français est obligatoire (!) accompagnée de quelques compétences en anglais. Merci de ne pas postuler si votre français n'est pas correct, sachant qu'on va rapidement le détecter par la suite.

Est-ce que je dois posséder obligatoirement des certifications reconnues pour postuler ?
Pas vraiment, les certifications et les diplômes ne sont qu’une sorte d’indicateur de certaines compétences. En revanche, votre aventure personnelle dans le monde informatique nous intéresse fortement pour découvrir comment travailler ensemble. C'est une véritable équipe, avec un esprit éthique et une forme d'excellence au quotidien, dans une ambiance très agréable, jeune, dynamique (moyenne d'age < 30 ans) et porteuse de grandes valeurs humaines.

En dehors du travail, que trouve-t-on à quelques dizaines de minutes de TEHTRIS Pessac ?
Joke : la vie est rude en dehors du travail, il faut l'avouer, avec ce cadre de vie unique : les plages et les forêts de l’océan Atlantique, la prestigieuse ville Bordeaux Métropole, du dynamisme, du sport, des soirées, des sorties, des écoles, une université internationale, etc. Depuis plusieurs années, Bordeaux Métropole, où se trouve Pessac, reste la ville préférée des français pour venir s'installer.
Ca tombe bien, on vous y attend :-)
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,developer,Bordeaux,16/10/2019,vjk=244261213eb93855,vide,cdi
Développeur back-end / symfony (H/F),nextgen RH,Bordeaux (33),vide,"Bordeaux (33)
DESCRIPTIF DU POSTE
Entreprise :
NEXTGEN RH est un cabinet de recrutement atypique, en pleine expansion (+100% de croissance en 2017-2018 / + de 400 postes à pourvoir en CDI).
Notre expertise s’articule autour de la découverte de talents d’aujourd’hui et de demain.
Véritable guide tout au long du process, notre équipe se différencie par sa manière d’entrevoir le côté humain et les compétences acquises et/ou à potentiel.
Description du poste :
Au sein de l’agence bordelaise regroupant une trentaine de collaborateurs, se situant dans une zone dynamique près d’un complexe sportif, de restaurants et d’une boutique de canelés (pour les amateurs).
Vous êtes en charge de trois missions:
1. Participer à l’analyse du besoin et à la conception d’applications sous Symfony
2. Gérer la phase de tests et de débogage
3. Prendre en charge la maintenance corrective et évolutive de projets web
Vous devrez également avoir des compétences en développement Front end :
– Intégration HTML 5 / CSS 3 / framework bootstrap
– Javascript (jquery)
Profil recherché :
Cette offre s’adresse à vous, oui, vous qui êtes sensible aux nouvelles technologies. Vous, qui avez utilisé symfony et linux pendant plusieurs années. OUI, vous qui avez goût prononcé pour le travail d’équipe et un état d’esprit positif: postulez!
Vous êtes titulaire à minima d’un bac +3 en informatique et avez 3 ans d’expérience (hors stage) dans le domaine.
il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,developer,Bordeaux,16/10/2019,vjk=0d2da26d073b03a4,vide,cdi
DÉVELOPPEUR FRONT-END @BORDEAUX,Urban Linker,Bordeaux (33),vide,"Bordeaux (33)
CDI
DESCRIPTIF DE LA SOCIETE
Startup rentable en pleine explosion, notre client à de très grosse ambitions pour les années à venir. Au sein des effectifs, le niveau technique, mais aussi la bienveillance et l’échange sont de rigueur pour mener à bien les ambitieux projet mis au point par les équipes.
DESCRIPTION
POSTE
Au sein d’une équipe technique de 10 personnes (agile), vous participerez au développement des nouvelles fonctionnalités en liaison directe avec le CTO :
Développement en cycle agiles sur des projets internes ou B2B
Mise en place de tests techniques
Amélioration et optimisations des fonctionnalités existantes
PACKAGE
Rémunération selon profil + TR + Mutuelle + RTT
LES +
Accompagnement personnalisé
Management collaboratif
Bienveillance, credo : ""agir ensemble""
PROFIL RECHERCHE
Avec une première expérience conséquente sur du Vue.js (en perso également), tu es autonome, rigoureux et souhaite accompagner les plus juniors. Tu as déjà travaillé en cycles agiles ou du moins cette méthode de travail t’intéresse ? N’hésite plus !
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,developer,Bordeaux,16/10/2019,vjk=42f5d5d371268f50,vide,cdi
Lead Developer Web Ruby ou PHP H/F,MANPOWER CONSEIL RECRUTEMENT,Bordeaux (33),40 000 € - 45 000 € par an,"Bordeaux (33)
CDI
40 000 € - 45 000 € par an
Vous rêvez d'intégrer une startup à taille humaine? Leader dans son domaine et présente à l'international?
Nous recherchons un Lead Developer (H/F) en CDI pour la gestion d'un pôle Web (4 personnes) et divers projets innovants sous la responsabilité du CTO :
- web (développé en Ruby On Rails et React)
- mobile (Java natif / android)
- API / microservices
- DevOps (Docker, Swarm)
En tant que Lead Developer, vous serez à la fois référent technique et vous aurez en charge la coordination de nos différents projets :
- Force de proposition quant à l’aspect technique des projets d’évolution
- Management, coordination de l’équipe de développement et gestion de projet
- Veille technologique et participation aux choix d’orientations avec le CTO
- Étudier les besoins, concevoir et développer les nouvelles fonctionnalités des applications web et des API
- Rédiger la documentation associée
- Intégrer et tester les fonctionnalités : tests unitaires, intégration continue, revues de code
Titulaire d'un diplôme type bac +5 en informatiques, vous connaissez idéalement RubyOnRails.
À défaut, la connaissance de tout autre framework similaire (Python Django, PHP Symfony/Laravel ou autre framework MVC) sera suffisante :
- la connaissance de frameworks javascript tel que React ou Vue.js sera un plus
- rigoureux(se) et organisé(e), vous disposez d’une bonne capacité d’analyse, d’écoute, de développement et de synthèse.
Vous rêvez de rejoindre une structure à taille humaine et un écosystème technologique à la pointe (logiciels libres / open source) ?
Les perspectives de carrière ne vous font pas peur ?
Rejoignez une équipe où le management est bienveillant : postulez sans tarder !
Type d'emploi : CDI
Salaire : 40 000,00€ à 45 000,00€ /an
Expérience:
Développeur Web: 3 ans (Souhaité)
Lead Developer: 1 an (Souhaité)
il y a 5 jours
Signaler cette offre d'emploi",11/10/2019,developer,Bordeaux,16/10/2019,vjk=d6f60cc45593bcf6,vide,cdi
Développeur Full Stack H/F,MANPOWER CONSEIL RECRUTEMENT,Eysines (33),32 000 € - 38 000 € par an,"Eysines (33)
CDI
32 000 € - 38 000 € par an
Rejoignez une entreprise leader sur son marché en tant que Développeur informatique Full Stack (H/F) !
Ici, on prend soin de former ses équipes à l'intégration mais aussi au quotidiensur de nouvelles technologies.
Aussi, l'expérience utilisateur est au cœur des solutions développées, c'est pourquoi vous pourrez passer du temps avec les utilisateurs!
CDI avec statut cadrebasé à Eysines : accès facile avec parking!
En plus de la rém: primes (et participation au bénéfice après 2 ans d'ancienneté)
Rattaché au Responsable Recherche et Développement, vous intégrerez une équipe dynamique et à taille humaine.
Vos missions seront d'analyser, de réaliser, de maintenir et de testerles programmes, aussi bien sur des projets internes que sur des projets externes.
Vous serez responsable de la qualité des développements réalisés, du respect des délais et des méthodes.
Titulaire d'un diplôme supérieur en informatique, vous avez au moins 3 ans d'expériencedans le développement web.
La connaissance de Symfony, Laravel, React.js, Angular, Vue.js, Node.js sera un atout pour le poste.
Vous souhaitez intégrer une équipe dynamique, expérimentée, dans un cadre de travail agréable?
Vous recherchez un poste où vous travaillerez sur les dernières technologies ? Un poste comportant de nombreux avantages vous attire (chèques cadeaux, mutuelle, primes...) ?
Postulez sans tarder !
Type d'emploi : CDI
Salaire : 32 000,00€ à 38 000,00€ /an
Expérience:
développeur full stack: 3 ans (Requis)
Formation:
Bac +5 (Master / MBA) (Souhaité)
il y a 5 jours
Signaler cette offre d'emploi",11/10/2019,developer,Bordeaux,16/10/2019,vjk=fcd419661e384cbc,vide,cdi
Stagiaire Développeur Full stack Java H/F,AKKA TECHNOLOGIES,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, Stage
Vous travaillerez dans notre centre de service et serez en relation directe avec nos responsables techniques France et international.
Au sein de centre de service, vous participerez au développement full stack d'applications Java.

Mission :
Au sein d'une équipe motivée et passionnée, vous serez en charge de travailler avec les chefs de projet et les équipes pour la conception,
la mise en place de fonctionnalités et/ou le refactoring et/ou testing du code existant.

Environnement technique:
Angular JS / 8
Java Spring Boot, Spring Security, Spring Batch
JPA/Hibernate
Jenkins
Selenium
SonarQube
Oracle
Azure

Réactif, avec le sens du service, vous justifiez de bonnes capacités d'écoute, d'un bon relationnel et une bonne gestion du stress.
Curieux, autonome, et proactif, vous avez les qualités nécessaires à ce projet.
Vous êtes intéressé par le conseil, les systèmes d'informations et le secteur de l'industrie
Des compétences en développement Java, J2E, SQL, Javascript
Des compétences des OS Linux et Windows
A minima une connaissance théorique des méthodes Agile (Scrum par exemple)
il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,developer,Bordeaux,16/10/2019,vjk=7b232f04670b2feb,vide,stage
Développeur Front-end - Angular H/F,AT Internet,Mérignac (33),vide,"Mérignac (33)
CDI
Éditeur de logiciel DigitalAnalytics françaiset indépendant, AT Internet ne ressemble pas aux géants de notre industrie. Notre approche unique de l’Analytics, nos 200 collaborateurs et nos 20 années d’expérience nous ont portés jusqu’à atteindre l’excellence dans notre domaine.Nous revendiquons cette différence et sommes ravis d’avoir été nommés« Leader » du Web Analytics dans la dernière étude « The Forrester Wave™ : Web Analytics, Q4 2017 ».
Résolument tournés vers l’international, nous cultivons la confiance, le sens du client, l’innovation permanente, l’intelligence collective ainsi que l’enthousiasme au sein de nos équipes.
Vous avez du talent et vous êtes passionné(e) par le digital ? Vous souhaitez travailler sur des projets qui façonneront le numérique de demain ? Lancez-vous dans une aventure humaine et rejoignez une entreprise unique, indépendante, où il fait bon travailler!
Poste et missions :
Au sein de l’équipe DataCollectioncomposée de développeurs confirmés travaillant sur des technologies innovantes, vous participerez à la création et à l’évolutiond’outils de paramétrage et d’analysedela collecte de donnéespournotre solution de Digital Intelligence. Dans ce contexte, votre mission consistera à :
Participer à l’optimisation des interfaces pour offrir une expérience utilisateur fluide ;
Préparer, réaliser et maintenir des tests unitaires et end to end ;
Participer aux objectifs devopsde l’équipe (déploiement et intégration continueGit/Jenkins, monitoring, gestion de l’infrastructure cloudAWS…) ;
Participer à des projets R&D ;
Participer aux événements Agileet contribuer à l’amélioration continue au sein de l’équipe.
Vous serez intégré dans une équipe Scrum et amené à interagir avec les développeurs d’autres équipes.
Compétences :
– Connaissance de Angular 5+, Node.js et des standards web ; –
– Langages : JavaScript, TypeScript, HTML 5, CSS3 ;
– Une expérience surtechnologies mobiles (iOS / Android)ou autres frameworksFrontserait un plus ;
– Anglais technique.
Profil :
– Formation Bac+2 à Bac+5 en informatique ;
– Une expérience d’au moins 2ans est souhaitée ;
– Polyvalence, curiosité et passion pour les technologies Web ;
– Appétence pour l’agilité, devopset intégration continue.
Les avantages :
Mutuelle prise en charge à plus de 70% par AT Internet
Prévoyance
RTT
Télétravail
Parcours d’intégration
Excellente politique de formation
Communication directe avec les décideurs et membres du comité de direction
Prime de vacances
Indemnité vélo
Tickets restaurants
Tickets cadeaux
Fruits frais à disposition
Évènements team building : déjeuners d’équipe, AT Summit, Ship-It day…
Comité d’entreprise : cinéma, loisirs, voyages
Équipes de sport AT Internet
Pack mobilité : recherche personnalisée de logements et aides dans les démarches administratives
Contrat : CDI à pourvoir immédiatement
Type d'emploi : CDI
il y a 8 jours
Signaler cette offre d'emploi",08/10/2019,developer,Bordeaux,16/10/2019,vjk=a21417c7046db70a,vide,cdi
Développeur back-end H/F,TalentPeople,Bègles (33),vide,"Bègles (33)
CDI
Nous recherchons pour notre client, un(e) développeur(-euse) Back-End : poste à pourvoir en CDI sur Bègles (a proximité de Bordeaux).
Notre client
Notre client, numéro 3 mondial des solutions prépayées, leader sur le marché des Comités d'Entreprise, développe des solutions digitales et innovantes permettant la gestion complète des activités des Comités d’entreprise : solutions de gestion et comptabilité, billetterie en ligne/site e-commerce, communication web, cartes cadeaux.
Vos missions
Vos missions seront les suivantes :
Maintenance corrective et évolution de solutions logicielles,
Conception,
Développement,
Déploiement.
L'activité principale sera axée sur des actions de maintenance.
Profil recherché
Vous êtes créatif(ve),autonome et curieux(se) ?
Les connaissances demandées sont : langage PL/SQL et Oracle. Vous avez l'habitude de travailler avec Asp.net (MVC 3 et Webform), .net Framework 4.5+ et Webservice WCF.
Un petit plus pour d'ANGULAR 6+ / Asp.net WebAPI / Git / .net core 2+ / des notions Devops.
Si vous vous reconnaissez, ne tardez plus et postulez !
(compétences front-end serait un plus)
Type d'emploi : CDI
il y a 11 jours
Signaler cette offre d'emploi",05/10/2019,developer,Bordeaux,16/10/2019,vjk=b5566088d226aa14,vide,cdi
Développeur Front End JavaScript | Angular 2 F/H,NEO-SOFT SERVICES,Bordeaux (33),vide,"Bordeaux (33)
CDI
Dans le cadre de la création, conception et développement de sites publics ou applicatifs, vous serez sous la responsabilité d'un chef de projet pour développer des applications utilisant les différentes technologies web.

En parallèle, vous interviendrez sur la rédaction des documents techniques et fonctionnels liés aux projets ainsi que la qualification des applications (tests fonctionnels, de charge et de non régression).
Profil recherché De formation supérieure, vous disposez d’une expérience d’au minimum 2 anS qui vous a permis de maitriser les compétences nécessaires pour ce poste.

Maîtrise du langage de développement JavaScript et Framework Angular2

Néo-Soft est une société à taille humaine, nous recherchons donc de futurs collaborateurs motivés souhaitant s’investir avec nous dans notre développement !
Entreprise 13 ans après sa création, le groupe Néo-Soft est reconnu pour l’expertise de ses 1200 consultants et de ses 14 agences de proximité. Néo-Soft est une société de Conseil en informatique et technologies spécialisée dans 3 domaines principaux : R&D, Systèmes d’information et réseaux.

Nous nous mobilisons au quotidien pour le bien-être de nos collaborateurs ; une démarche à nouveau récompensée par le label LUCIE (RSE) en 2016.

Nous nous engageons également contractuellement pour vous : pas de période d’essai employeur, une mutuelle santé et prévoyance de haut niveau…

En 2018, Néo-Soft recrute 400 ingénieurs.
Apec.fr - il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,developer,Bordeaux,16/10/2019,vjk=ccca5c7ee1884d64,vide,cdi
