Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur web full stack H/F symphony/PHP,mesoigner,Bègles (33),vide,"Bègles (33)
CDI
L'entreprise :
MESOIGNER est une start-up spécialisée dans l’édition de solutions numériques pour les acteurs de la santé, et notamment les pharmacies. Avec près de 700 clients, nous sommes en pleine croissance et lançons des projets innovants.
Nous recherchons un(e) développeur(euse) Web full-stack, spécialisé(e) PHP / Symfony, dynamique et passionné(e), en CDI, pour augmenter notre bande passante de développement !
Nous sommes situés à Bègles (proche Bordeaux), à la « Cité Numérique », un pôle de sociétés spécialisées dans le numérique. Vous travaillerez dans un cadre de vie au top ! En autres : grande terrasse, placha, tennis de table.
Description du poste :
Intégré au sein de l’équipe de développement, sous la responsabilité du responsable technique, vos missions seront les suivantes :
Participation à l’élaboration des projets et fonctionnalités avec le responsable technique et le responsable de l’entreprise ;
Conception, architecture et développement de fonctionnalités Web (« Full stack » ou API REST) ;
Tests unitaires et fonctionnels ;
Rédaction de documentation des applications ;
Packaging et déploiement en fonction de vos envies/compétences.
Profil :
Vous justifiez d’au moins 2 ans d’expérience dans le développement PHP (si possible avec Symfony) ou êtes d’un niveau Bac +5 (ou les deux) ;
Vous êtes dynamique, passionné, rigoureux, curieux, mais ne vous prenez pas au sérieux ;
Vous vous considérez comme un développeur Web complet et pas seulement front ou back ;
Vous êtes soucieux des problématiques de performances lorsque vous développez ;
Vous avez le sens du travail maintenable, évolutif et modulaire ;
Compétences demandées :
PHP niveau avancé (POO et bonnes pratiques)
Maîtrise du framework Symfony et du moteur de template Twig
Maîtrise de l’ORM Doctrine et de ses évènements
SQL (MySQL/MariaDB)
HTML 5 / CSS 3 / Javascript / Jquery
Bootstrap
Anglais bon niveau (le code et la doc sont entièrement en anglais)
GIT
PHPUnit
Les plus :
PHP Composer, Yarn ou NPM, SASS, Gulp
ElasticSearch, Docker
Debian
Type d'emploi : CDI
Expérience:
développeur web full stack h/f symphony/php ou similaire: 1 an (Requis)
il y a 2 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Bordeaux,14/10/2019,vjk=a5066816b15808b4,vide,cdi
Développeur.NET confirmé H/F,MSI EXPERTS,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, CDI
Le projet principal consistant à moderniser nos applicatifs paiement avec pour objectif de les rendre marque blanche, et monétisables.
Vous travaillerez au sein d'une petite équipe fonctionnant en mode agile (Scrum).
Vous avez, idéalement, des compétences autour de la mise en place de micro-services et des compétences front/react pour compléter le dispositif déjà en place.
La mission sera : la conception, le développement et les tests associés.
En résumé, une expérience significative est exigée dans les technologies suivantes :
- .NET / .NET Core
- Testing (unit tests, acceptance tests, mocks, TDD)
Et des compétences dans les technologies suivantes seraient un plus :
- Docker / kubernetes / RabbitMQ
- Front (HTML/CSS/JS)
- TypeScript
- react.js / nodejs / webpack
Une bonne aptitude à la communication est recherchée et les qualités professionnelles suivantes sont donc nécessaires :
- Rigueur (respect des normes de développement)
- Respect des engagements
- Curiosité / Initiative
- Autonomie / Bon sens relationnel
Type d'emploi : Temps plein, CDI
Expérience:
développeur.net confirmé ou similaire: 3 ans (Souhaité)
il y a 1 heure
Signaler cette offre d'emploi",14/10/2019,developpeur,Bordeaux,14/10/2019,vjk=b04fb05e707c2df3,confirmé,cdi
Développeur PHP. / Freelance,WorldWide People,Bordeaux (33),350 € - 450 € par semaine,"Bordeaux (33)
Temps plein, Freelance / Indépendant
350 € - 450 € par semaine
Développeur PHP.
Compétences Principales : PHP, Symfony, DRUPAL 8+.
Compétences souhaitées : Java.
Lieu et Durée Mission : Bordeaux (3 mois renouvelable).
French Speaking needed (Y/N) : Y.
Freelance-info - il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Bordeaux,14/10/2019,vjk=dd7d1d758570cd69,vide,freelance
Développeur Java JEE / Freelance,CS Group Solutions,Bordeaux (33),vide,"Bordeaux (33)
Temps plein, Freelance / Indépendant
Nous recherchons un Développeur Java Expérimenté

Développeur Java/J2EE .

Compétences Principales : J2EE, Programmation objet, serveurs d’applications (Tomcat, Jboss), JSF.

Compétences souhaitées : Nuxeo (développement)
Freelance-info - il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Bordeaux,14/10/2019,vjk=6344ae4c99f55108,vide,freelance
DEVELOPPEUR (EUSE) GESTION INFORMATIQUE H/F,IVELEM,Mérignac (33),28 000 € - 33 000 € par an,"Mérignac (33)
Temps plein, CDI
28 000 € - 33 000 € par an
Le Groupe NVL accompagne ses clients dans la transformation digitale.
Nos activités en forte croissance nécessitent de recruter de nouveaux talents dans de nombreux domaines. Avec un chiffre d’affaires de 30 M€, plus de 200 collaborateurs et des activités en pleine expansion, venez nous rejoindre et contribuer à la réussite d’une entreprise dynamique qui vous proposera de nombreux challenges.
Les valeurs que nous partageons sont l’agilité intellectuelle, la culture clients et le dynamisme.
La mission d’IVELEM est d’analyser et comprendre les besoins de nos clients, les aider à choisir la solution adaptée à leur environnement et les accompagner dans la réalisation de leurs projets applicatifs. (Produits SAGE, CEGID, Solutions de dématérialisation EDEDOC, ERP ISIALIS)
Avec plus de 30 ans d'expérience et une dynamique constante, la société IVELEM renforce son équipe de Développeur pour son agence de MERIGNAC (33700) ou L’ISLE D’ESPAGNAC (16340) en créant un nouveau poste de développeur informatique spécialisé Gestion avec une connaissance SQL nécessaire.
Vous serez chargé de :
Participer au développement d’un progiciel de gestion
Participer à la conception, à l’analyse et au codage
Elaborer des plans de tests et/ou plans d’intégration
Procéder aux tests unitaires des applications développées
Assurer le support et la maintenance évolutive des fonctionnalités
De niveau BAC+ 4 minimum, dans une spécialisation « développement », avec une expérience minimum de 3 ans en développement d’application de gestion, vous êtes familiarisés avec les notions de gestion commerciale et comptable.
Vous possédez les compétences nécessaires suivantes : Modélisation de données, SQL, langages C# et/ou Delphi
Vous êtes autonome sur votre périmètre, capable d’écoute, très orienté client interne et processus, organisé et structuré.
Vous disposez d’une grande capacité d’assimilation ; la confrontation et l’optimisation des technologies et des méthodes vous passionne ; vous êtes moteur dans la réussite du projet et de l’équipe.
Type d'emploi : Temps plein, CDI
Salaire : 28 000,00€ à 33 000,00€ /an
Expérience:
developpeur (euse) gestion informatique h/f ou similaire: 3 ans (Requis)
Formation:
Bac +4 (Maîtrise) (Requis)
il y a 3 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Bordeaux,14/10/2019,vjk=8f2c515477d37f0f,vide,cdi
Développeur SQL et JAVA / Freelance,WorldWide People,Bordeaux (33),350 € par jour,"Bordeaux (33)
Temps plein, Freelance / Indépendant
350 € par jour
Développeur SQL et JAVA Développeur SQL et JAVA Profil de niveau intermédiaire en Développement
SQL (60 de l’activité).
Egalement niveau intermédiaire en Java (40 de l’activité) .
Avoir de l’expérience dans un contexte de travail BigData (Hadoop, Hive, Flink, Spark, Kafka,..).
.Mission location and duration : au moins 1 an,
French Speaking needed (Y/N) : Y.
LR Possible (Y/N) : N. 1

Détail du rôle :
2 types d’activité de développement .
1 Partie temps réel / java/ streaming.
2 - Partie batch/workflow/coordinateur. .
1- La partie temps réel / java / streaming :
Récupération des données brutes (collecteur) .
Transfère via un bus de message (kafka 8/10).
Enrichissement et regroupement des données dans un cluster de calcul distribué (flink 1.2.1/1.6.1) . . Cette partie nécessite des compétences en langage de programmation JAVA pour coder les applications d’enrichissement et d’agrégation ainsi que pour la maintenance des applications de collecte de données.

2- La partie batch/workflow/coordinateur :
C’est la partie qui fait le calcul à froid des données stockées sur le cluster Hadoop.
Ces données peuvent être transférées vers d’autres applications ou visionnées par des applications tiers (BO).
Pour récupérer et transformer ces données, on créé un flux de traitement via l’ordonnanceur de CLOUDERA : oozie .
Ces job sont générés à partir d’une interface client léger : HUE.. (Ce processus est exactement le même que ce que l’on peut trouver avec un logiciel de type : talend ..
Une personne possédant cette logique de travail et une bonne base SQL pourra générer ces workflow .. . La répartition des besoins est actuellement de 60 à 70 pour la partie workflow et le reste pour les besoins de développement en JAVA (donc 30-?40 ).
Freelance-info - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developpeur,Bordeaux,14/10/2019,vjk=a1ad2c3df18d4a20,vide,freelance
Intégrateur web - développeur Moodle F/H,ÉCOLE NATIONALE DE LA MAGISTRATURE,Bordeaux (33),vide,"Bordeaux (33)
Sous l’autorité de la cheffe de service ou de son adjointe, l’intégrateur web assurera les missions suivantes :

créer des parcours et intégrer des contenus sur la plateforme Moodle, à la demande du chef de projet,
concevoir des contenus de formation directement sur la plateforme,
vérifier la compatibilité de la plateforme et de ses contenus avec les divers terminaux de lecture,
assurer la gestion des inscriptions et le suivi statistique des apprenants (réalisation d’analyse de suivi),
assister les utilisateurs (apprenants, formateurs-tuteurs, équipes e-learning),
recueillir, comprendre et analyser les besoins immédiats des utilisateurs,
réaliser des tests et mener une étude de faisabilité technique, dans le but d’identifier et mesurer les impacts sur l’utilisation de la plateforme par les utilisateurs concernés et par les autres utilisateurs,
respecter les contraintes de sécurité, d’homogénéité de la plateforme avec les autres outils
travailler sur l’application des normes d’accessibilité handicapé au sein de la plateforme,
être une aide à la décision des évolutions majeures de l’outil informatique du service e-formation.
Dans le cadre de modification mineure ou évolution majeure de la plateforme LMS, il ou elle doit être capable de :

participer à l’élaboration d’un cahier des charges techniques en vue de la publication d’un appel d’offres,
procéder à l’analyse des offres dans le cadre d’un marché public relatif à la plateforme LMS du service,
être le relai technique entre un prestataire extérieur en charge de développements et la cheffe de service.
assurer une veille et anticiper les besoins futurs d’évolution de la plateforme en regard des évolutions du secteur.
Le poste est localisé à l’École nationale de la magistrature à Bordeaux, avec des déplacements à Paris.

L’intégrateur web Moodle doit donc être en capacité de travailler à distance avec les autres membres de l’équipe et de s’intégrer dans des équipes plurielles : une relation quotidienne avec le service informatique, ainsi qu’avec tous les acteurs, élèves et publics de l’école.
Profil recherché Connaissances techniques

Connaissance de l’outil LMS Moodle (connaissance approfondie)
Protocoles de communication (connaissance approfondie)
Frameworks applicables à Moodle
Langages de programmation : php (maîtrise obligatoire)
Architecture des réseaux et serveurs
Normes d’accessibilité d’une plateforme LMS
Anglais technique
Savoir-faire

Maintenance et paramétrage d’outils web
Assurer le reporting et l’analyse des données d’une application web ou LMS
Accompagner les changements
Animer une réunion
Assurer une veille technologique
Savoir-être

Sens de l’organisation
Capacités d’adaptation
Rigueur
Initiative et autonomie
Intégration dans la chaîne hiérarchique
Compréhension du fonctionnement d’un établissement public
Esprit d’ouverture et orienté « service aux équipes »
Entreprise Le service e-formation a pour principale mission de proposer et mettre en œuvre la stratégie de l’ENM en matière de formation en ligne. Le service pilote les projets multimédias, conçoit les dispositifs d’e-formation et de dématérialisation des ressources pédagogiques, mettant en œuvre les TIC dans les processus d'apprentissage, à destination des différents publics de l’école. L’équipe e-formation est implantée sur les deux sites : 5 personnes à Bordeaux (cheffe de service, adjointe, journaliste reporter d’images et deux spécialistes moodle) et 3 à Paris (concepteur et conceptrice pédagogique et multimédia).
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Bordeaux,14/10/2019,vjk=2e63d92eac4218c5,vide,apprentissage
Développeur/se React / React Native - Bordeaux - H/F,Abbeal,Bordeaux (33),38 000 € par an,"Bordeaux (33)
CDI
38 000 € par an
Javascript / Scrum / React-native / React / Agile
Lead Developer, Frontend Developer / CDI / Environ 38k€ / 3 - 6 ans / Bordeaux

Le poste
Intégré(e) aux équipes innovation de nos clients (startup, grands-comptes e-commerce, banque..), vous travaillerez sur diverses missions, avec des outils et des technos récentes et performantes !
Les responsabilités
Développement front-end avec React
Conception des fonctionnalités mobiles sur React native
Réflexion autour de l'architecture et du choix technologique
Réflexion UX/UI
Participation à la mise en place des méthodologies (agilité, code review, TDD...)
Pourquoi venir chez nous?
Possibilité de formation en interne et en externe. - Incubation de vos projets au sein du lab (Abbeal Valley). - Mobilité possible dans nos filiales : Paris, Lyon, Montréal - Equipe soudée et active autour de divers événements : soirée karaoké, gaming, week-end ski...
ChooseYourBoss - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Bordeaux,14/10/2019,vjk=07bb0021ba10d7e9,vide,cdi
Développeur informatique junior (H/F),Groupe Actual,Bordeaux (33),vide,"Bordeaux (33)
Intérim
L'entreprise
Entreprise dans les télécommunications.

Le poste
ACTUAL PESSAC recherche pour un des ses clients un Développeur informatique h/f.

Vos principales missions seront de travailler sur les évolutions de base de données afin de faire évoluer l'outil informatique.

Le profil recherché
Première expérience réussi en informatique.

salaire plus 13ème mois.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Bordeaux,14/10/2019,vjk=3e56a36d4440156d,junior,intérim
Developpeur/se Java/angular - Bordeaux - H/F,Abbeal,Bordeaux (33),38 000 € par an,"Bordeaux (33)
CDI
38 000 € par an
Scrum / Javascript / Angular / Spring / Java / Agile
Lead Developer Frontend, Lead Developer Backend, Développeur Frontend, Lead Developer, Frontend Developer, Backend Developer, Full Stack Developer / CDI / Environ 38k€ / 3 - 6 ans / Bordeaux

Le poste
Abbeal, c’est une ESN à taille humaine animée par : - La veille et l’expertise technique : pour évoluer dans des environnements modernes, rien de mieux que de participer à des meetups, formations en ligne, conférences… - L’agilité : nous suivons ses préceptes au quotidien, tant dans nos projets que dans le fonctionnement interne, avec notamment des rétro régulières avec toute l’équipe : l’avis et le bien-être des collaborateurs sont essentiels pour nous ! - AbbealValley : le Lab qui permet d’incuber les projets de nos développeurs ! - La Ruche, notre communauté : soirées gaming, karaoké, weekend au ski…
Les responsabilités
Lead technique au sein de l'équipe
Développement backend sur JAVA 8
Modularisation sur Vue et Node
Hosting GCP / bigquery + MongoDB
Mise en place et participation aux méthodes agiles
Pourquoi venir chez nous?
Possibilité de formation en interne et en externe. - Incubation de vos projets au sein du lab (Abbeal Valley). - Mobilité possible dans nos filiales : Paris, Lyon, Montréal - Equipe soudée et active autour de divers événements : soirée karaoké, gaming, week-end ski...
ChooseYourBoss - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Bordeaux,14/10/2019,vjk=679049c147c8a879,vide,cdi
