Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Stage Data Manager et création du processus,GROUPE ATLANTIC,Meyzieu (69),vide,"Meyzieu (69)
Stage
Le Groupe Atlantic, leader européen du confort thermique, est un acteur à la pointe de l’innovation technologique. Il imagine au quotidien les solutions de demain pour apporter plus de bien-être à ses utilisateurs. Le Groupe Atlantic dans le monde : 8 000 collaborateurs - 1,85 milliards d'€ de CA – 25 sites industriels – 14 marques distribuées dans plus de 70 pays.
Notre Groupe en vidéo https://youtu.be/Cho0uTu3Vc8
A la recherche de votre stage de fin d’études ?
Venez contribuer au développement de notre site de Meyzieuet intégrer nos équipes en tant que Data Manager (h/f), à partir du 1ertrimestre 2020, pour un stage de 6 mois !

Dans l’équipe de Linda, manager du service client, votre mission est de définir le processus de Data Management et le rôle de chacun dans celui-ci afin d’aboutir à une base de données Services homogène et fiable.
Vous êtes en charge d’accompagner les services Marketing, Gestion, Techniques et les équipes présentes sur le plateau dans cette démarche.
Pour cela, vous :
- vous familiarisez aux outils internes,
- décrivez et formalisez le processus de création et de maintenance des articles,
- participez aux réunions de lancement produits avec les équipes Marketing,
- codifiez et enregistrez les nouvelles prestations dans les outils,
- réalisez des paramétrages dans l’outil (mise à jour, rattachement des produits aux familles, identification des compétences attendues sur les nouveaux services...).
VOS ATOUTS ?
Futur ingénieur data manager spécialisé en organisation ou processus ?
Vous êtes à l’aise avec les outils informatiques et notamment avec l’utilisation d’un Workflow.
Bon communicant, vous aimez le travail en équipe et êtes persévérant. Votre sens de l’organisation est un atout pour réussir dans vos missions.
CE STAGE EST FAIT POUR VOUS !
Alors communiquez-nous votre CV sans attendre !
VOTRE FUTUR TERRAIN DE JEU ?
Le site de Meyzieu
LE PÔLE SERVICES en bref: 400 personnes répartis en 3 activités :
SAV – INTERVENTIONS – FORMATION CLIENTS
Actualité : Passage sur SAP 1er semestre 2020
P*ourquoi nous rejoindre ?*
- Travailler dans un pôle transverse à tous les autres pôles du groupe
- Rejoindre une équipe dynamique et solidaire
- Evoluer dans un environnement propice au bien-être et à la créativité
Et aussi …
Bénéficier de séances de massage plantaire
Profiter des vestiaires suite à votre séance sportive
Partager vos savoir-faire et loisirs à travers des « midis-partage »
Et pourquoi pas, participer à la vie du potager du site
Type d'emploi : Stage
il y a 2 jours
Signaler cette offre d'emploi",18/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=94049e6b4ceae08c,vide,stage
Data Manager H/F,"Hospices Civils de Lyon, Rhône, Rhône-Alpes.",Lyon (69),vide,"Lyon (69)
CDD
Le Pôle Santé Publique est un pôle transversal d’activités médicales multi thématiques. Il comporte des entités qui réalisent les missions suivantes :
La prévention à l’attention des professionnels comme des patients et de leurs proches.
L’accompagnement des équipes de soins (éducation thérapeutique, vigilances/ gestion des risques, coordination des prélèvements et suivi des transplantés,..) au sein et hors HCL pour plusieurs spécialités.
La gestion de données médicalisées et l’aide à leur exploitation.
L’appui à la recherche des services directement en charge des patients.
La recherche propre en Santé Publique.
L’expertise en Santé Publique.
Les actions de ces entités se déclinent dans l’ensemble des sites des HCL.
PRÉSENTATION DE LA FONCTION DATA MANAGEMENT DES HCL :
Aux Hospices Civils de Lyon et au sein du Département Recherche, les Data Managers appartiennent aux différentes équipes support à la recherche, dont celle du Pôle Santé Publique.
PRÉSENTATION DU SERVICE
Le service Données de Santé est un service créé en 2019 qui a permis de regrouper en une seule entité l’ensemble des Data Managers du Pôle Santé Publique des HCL. L’équipe comprend actuellement 9 Data Managers. L’équipe vise à développer son système qualité ainsi que de la recherche en Data Management.
MISSIONS PRINCIPALES
Au sein du service Données de Santé du Pôle Santé Publique, vos principales missions seront la réalisation et le suivi des activités de data management depuis le design de l’eCRF jusqu’au gel de base :
Elaborer les bases de données biomédicales avec création de masques de saisie et paramétrage des outils/logiciels relevant de la gestion des données,
Rédiger les documents de l’étude concernant les activités de Data Management et procédures relatives à la gestion de données,
Garantir la cohérence et la qualité des données jusqu’au gel de la base de données,
Assurer la sécurité, fiabilité et confidentialité des données.
Vous serez amené(e) à avoir des échanges réguliers avec les équipes médicales, les personnes de la coordination d’étude, les biostatisticiens, la pharmacovigilance, la direction de la recherche clinique et les personnes du Data Management.
ACTIVITÉS PRINCIPALES :
Participation à la rédaction du protocole pour les aspects Data Management,
Participation à la validation du cahier d’observation (CRF),
Mise en place de la base de données et des masques de saisie
Contrôle de la cohérence des données et des informations :
Définir en collaboration avec l’investigateur les contrôles de cohérence et les paramétrer,
Contrôler les données, éditer et gérer les demandes de correction,
Assurer le respect des règles de sécurité et confidentialité des données selon les exigences de la CNIL, les BPC et procédures de la structure,
Réconcilier les EI/EIG, en collaboration avec la pharmacovigilance.
Gestion des données de l’étude, élaboration et mise en place d’extractions de données, et édition de rapports d’avancement,
Gestion des droits d’accès à la base de données des eCRF,
Rédaction, mise à jour et archivage des documents de Data Management (plan de Data Management, CRF annoté, plan de validation des données, guide de saisie, procédures internes et externes relatives aux données),
Contrôle de la conformité des résultats au regard du cahier des charges
Conception, actualisation, optimisation d’une base de données avec le logiciel Ennov clinical (Clinsight).
COMPÉTENCES ET QUALIFICATIONS REQUISES
Compétences Requises :
Bac + 2 à bac + 5
Connaissances en bases de données,
Connaissance des exigences réglementaires relatives au Data Management,
Maîtrise de la bureautique : Word, Excel, PowerPoint,
Compréhension de l’anglais écrit.
Compétences Souhaitées :
Expérience dans la recherche clinique,
Bonne connaissance des études cliniques et des standards (BPC, ICH, CDISC),
Expérience dans la gestion de données,
Connaissance des bases de données relationnelles,
Formation aux Bonnes Pratiques Cliniques.
La connaissance du logiciel Ennov clinical (Clinsight) serait un plus.
QUALITES REQUISES :
Rigueur, organisation et sens des responsabilités
Qualités humaines et relationnelles : écoute, patience, aptitude à travailler en équipe
Bonnes aptitudes de communication.
POSITIONNEMENT DANS LA STRUCTURE ET DEFINITION GENERALE DE LA FONCTION
La mission est réalisée sous la responsabilité hiérarchique du chef de service et du responsable de l’unité fonctionnelle et sous la responsabilité fonctionnelle des référents Data Management. La réalisation des bases de données est sous la responsabilité de l’investigateur de l’étude.
CONDITIONS DE RECRUTEMENT
Temps plein, classé à repos fixe, 28 CA et 20 RTT annuel.
Poste basé à Lyon,
Durée du contrat : CDD de 1 an renouvelable,
Poste à pourvoir de suite,
Rémunération en fonction du diplôme, de l’expérience et des grilles de salaire de la fonction publique hospitalière.
POUR RÉPONDRE A CETTE OFFRE D’EMPLOI :
CV et lettre de motivation à envoyer à :
Mme Marie-Claire SERVAIS
Type d'emploi : CDD
il y a 2 jours
Signaler cette offre d'emploi",18/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=0ff048cc334bd971,vide,cdi
Business developer data et digital,Le Groupe La Poste,Lyon (69),vide,"Lyon (69)
CDI
MISSION
Acteur majeur de la communication de proximité, MEDIAPOST, filiale du Groupe La Poste, accompagne ses clients en leur proposant une combinaison intelligente et innovante de solutions on et off line (imprimé publicitaire, street marketing, SMS, email, courrier, référencement…).
Avec 416,4 millions d'€ de CA en 2018, notre société emploie 12 000 personnes en France et s'appuie sur un réseau de 294 plateformes dont 44 plateformes mécanisées.
En savoir plus : www.mediapost.fr


Rattaché au Directeur du développement des ventes, votre mission principale consiste à réaliser les objectifs de chiffre d'affaires relatifs à la commercialisation des nouvelles offres (principalement offres Data et offres Digitales) en développant de nouveaux comptes et en diversifiant le portefeuille d'offres souscrites par les clients existants des autres forces de vente MEDIAPOST.

Pour cela, vous définissez et mettez en place le plan de conquête commerciale sur votre périmètre et développez votre portefeuille clients. Expert sur les solutions Data et Digitales, vous co-construisez avec vos clients les solutions les plus adaptées et innovantes répondant à leurs enjeux métiers.

Vous êtes garant de la faisabilité des solutions choisies et vous assurez de la bonne mise en œuvre de vos contrats par les différents services production.

Vous pilotez votre activité selon les indicateurs définis et développez la satisfaction des clients de votre périmètre.


PROFIL
De formation commerciale, vous disposez d'une expérience significative dans la vente directe de prestations de marketing direct, communication et en particulier les offres data et offres digitales.

Vous êtes motivé par la prospection et la négociation. Votre sens de la performance et votre capacité à valoriser nos solutions vous permettront d'assurer une véritable démarche de conseil. Vous aimez le travail en équipe, êtes ouvert, dynamique et disposez de bonnes capacités rédactionnelles.

FORMATION ET EXPÉRIENCE
Enfin, vous êtes titulaire du permis B (en cours de validité).
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=059243757d366bcd,vide,cdi
STAGE 2A: Pricing et Data Science en Santé/Prévoyance,ADDACTIS,Lyon (69),vide,"Lyon (69)
Stage
VOS MISSIONS
Au sein de la Practice « Pricing & Data » du pôle Life & Health, vous travaillerez sur différents sujets appliqués au domaine de la tarification des contrats (santé, prévoyance, emprunteur…) et de la modélisation des comportements des assurés.
La donnée, son traitement et sa mise en valeur sont des éléments incontournables qui seront au cœur de vos missions.
En particulier, vous aurez l’opportunité d’approfondir les sujets suivants :
Participation aux travaux de mise en valeur de la connaissance des portefeuilles clients ou des profils de consommation, de détection des signaux pour la modélisation des comportements des clients
Participation aux missions de Pricing en santé et en prévoyance : benchmark de produits et de tarifs, accompagnement à la création de gamme, études d’impact suite aux évolutions réglementaires, tarification…
Participation aux études R&D en lien avec les perspectives de l’activité en santé et prévoyance

Vous êtes:
Etudiant(e) en deuxième année (Master 1) d’une formation en Actuariat.
Fortement intéressé(e) par les méthodes de Data Science et les techniques de Machine Learning.
A l’aise avec les outils informatiques, avec une appétence pour la programmation (Python et/ou de R).
Dans l’idéal, vous maîtrisez également certains outils associés à la gestion de bases de données (SAS, Access, SQL).

MODALITES PRATIQUES
Le stage aura lieu dans nos bureaux de Lyon.
Le format envisagé est un stage de 3 mois suivi d’une alternance en 3ème année. Pour postuler, envoyez-nous votre candidature à l’attention d’Alexandra BARRAL à l’adresse suivante : recruitment@addactis.com
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=f80e9aca8a946e29,vide,stage
Stagiaire Data Protection Officer H/F,HomeServe,Lyon (69),vide,"Lyon (69)
Temps plein, Stage
HomeServe est une société de services pour la maison qui réalise depuis plus de 15 ans pour les foyers français des interventions d'assistance (installation, réparation, dépannage) dans les domaines de la plomberie, du chauffage, de l'électricité, de l'électroménager et des objets connectés grâce à son réseau de plus de 3 000 professionnels, présents sur toute la France.
HomeServe conçoit des solutions d'assistance pour le compte de différents acteurs référents de la maison (eau, énergie, banques, assurances, e-commerce) et en direct auprès de particuliers via ses offres contractuelles (www.homeserve.fr) ou à la demande (www.depannetmoi.fr). Filiale du groupe britannique du même nom, HomeServe France jouit du dynamisme, du sérieux et de la solidité d'un groupe coté au London Stock Exchange.
Ce sont aujourd'hui plus d'un million de clients en France qui nous font confiance et pour qui nous unissons nos talents afin de les satisfaire.
Au quotidien, nous incarnons et faisons vivre les 3 valeurs qui nous animent : nous sommes engagés, attentionnés et audacieux !

Dans un contexte numérique toujours plus croissant, le RGPD vise à responsabiliser les acteurs traitant des données, à renforcer le droit des personnes et à crédibiliser la régulation des données.
La Direction Juridique et Conformité recherche son nouveau stagiaire RGPD. Vous serez rattaché(e) au Data Protection Officer et l’accompagnerez sur la mise en oeuvre et la bonne application du RGPD dans l’entreprise.

Vos missions principales consisteront à participer à :

L’actualisation et à la formalisation du registre des activités de traitements pour HomeServe et les sociétés du Groupe.
- La mise en place des actions de contrôle et à la mise en conformité des traitements de données personnelles - L’actualisation et à la validation de nos clauses contractuelles en soutien de notre équipe juridique
- La gestion des demandes Clients /Prospects et à veiller à leur bonne mise en oeuvre - La veille légale et règlementaire - L’élaboration du plan de contrôle annuel du RGPD

L’élaboration et au maintien d’une documentation relative aux traitements de données à caractère personnel

La réalisation d’actions visant à sensibiliser et diffuser une culture « Informatique et Libertés » auprès de la direction et les collaborateurs

Profil

Dans le cadre d’un Master 2 (ou équivalent), vous suivez un enseignement spécialisé en Protection des Données Personnelles ou Droit des TIC. Vous êtes sensibilisé au contexte et enjeux de la réglementation existante (RGPD) et à venir et avez une bonne culture digitale. Vous êtes reconnu pour votre capacité à travailler en équipe, votre sens de la communication et votre rigueur. Vous savez faire preuve de pro activité, de sens critique, d’esprit d’analyse et avez le goût du résultat. Enfin, vous maîtrisez les outils bureautiques, (Excel, Word, Access, Powerpoint)
Date d'intégration souhaitée
04/11/2019
Localisation du poste
Localisation du poste
Auvergne-Rhône-Alpes
Lieu
Lyon 7
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=20d664391051549b,vide,stage
Data Integration Manager H/F,Robert Walters,Lyon (69),vide,"Lyon (69)
Intégré(e) à l'équipe fonctionnelle, vous travaillez main dans la main avec l'informatique et l'intégrateur du projet SAP à l'échelle du groupe. Vous êtes en charge du processus de bout en bout concernant l'intégration des activités. Dans le cadre du projet SAP, vous ferez partie du ""Volet Intégration"" qui est composé de 6 membres à Lyon.
Ce groupe rassemble 25 000 collaborateurs à travers le monde.
Présent sur les 5 continents, il possède un environnement multi-culturel fort.
Le département IT est stratégique pour le groupe et d'importants investissements sont réalisés.
Ce poste est en charge de contribuer au nouveau projet de back-office SAP en :
Particpant à la conception des processus de bout en bout qui seront déployés en même temps que le déploiement de S/4 Hana
Travaillant en collaboration avec les équipes de projet sur l'impact du déploiement du modèle cible de bout en bout
Contribuant à la construction des interfaces avec SAP,
Particpant au déploiement du nouveau back office au sein de l'entreprise
De formation Bac +5, vous possédez à minima 8 ans d'expérience dans les fonctions financières associés à l'IT (Audit, déploiement de projets informatiques d'un point de vue fonctionnel, SAP FI/CO est un plus)
Vous êtes reconnu pour votre capacité à gérer plusieurs projets, votre flexibilité et votre leadership.
Vous avez une une compréhension des processus comptables et financiers de base et une forte capacité de collecte et d'analyse
La maîtrise de l'anglais courant est un pré-requis.
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=59fb790062a44d36,vide,vide
Stage Data Lyon H/F,Ippon Technologies,Lyon (69),vide,"Lyon (69)
Stage
@IpponLyon...
Nous sommes 40 consultants technophiles cachés derrière la Sucrière à Confluence
Nous nous levons le matin grâce à notre réveil… et l’appel des croissants à l’agence
Nous sommes imbattables au Uno et au choix de resto le midi
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 30 kg d’oursons en Guimauve et 180L de café par an
Notre prochaine commande? un porte-manteau pour y ajouter le tien! Et ton accès Blackbelt pour obtenir une belt Data!
Le contexte du projet :
Nous souhaitons faire évoluer le data portal ippon développé lors d’un précédent stage pour l’enrichir avec l’ingestion et la mise à disposition d’open data sur les entreprises.
Nous souhaitons également pouvoir croiser ces données avec des données issues de Linkedin.
Ton rôle :
Ton rôle sera de monter en compétence sur la stack technologique du data portal ippon (Fullstack Serverless : AWS, Lambda en Python, React), de choisir les composants complémentaires nécessaires (machine learning) et de réaliser les développements et la promotion du projet.
L’écosystème dans lequel tu vas évoluer ! :
AWS
Python
React
Terraform
Librairies de machine learning à identifier
#Data #Cloud #AWS #Python #ReactJS #Serverless
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant de la data à noscôtés!
Tes forces :
Tu es à très à l’aise en Python et souhaite monter en compétence sur les technologies Cloud ?
Tu es curieux et passionné ? Tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? Cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? Tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage data lyon h/f ou similaire: 1 an (Souhaité)
il y a 12 jours
Signaler cette offre d'emploi",08/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=92dc0848e7877b99,vide,stage
Responsable de Production – Installation Data (H/F),Rhôn'Telecom,Décines-Charpieu (69),vide,"Décines-Charpieu (69)
CDI
MISSIONS
Rattaché(e) à un Manager Opérationnel, vous serez en charge d’une équipe d’ingénieurs et de techniciens spécialisés dans la mise en réseau ou STC (Support Technique Client) et serez amené(e) à:
– Manager et fédérer une équipe de 10-15 personnes,
– Mettre en application la stratégie mise en place par l’équipe de Direction,
– Garantir le service en respectant les objectifs QCD (Qualités, Coût, Délais)
– Produire les rapports d’Activités avec des indicateurs qualitatifs,
– Piloter et suivre les prestations de services,
– Interfacer le client et ses partenaires,
– Gérer les crises lorsque cela est nécessaire,
– Piloter un SVI (Serveur Vocal Interactif), allouer les ressources et suivre les tickets,
– Suivre les tickets en échec et les escalades.
PROFIL RECHERCHÉ
De formation supérieure, vous souhaitez évoluer dans le domaine des télécommunications et des réseaux.
Vous possédez une expérience de 4 ans minimum sur un poste similaire.
Idéalement, vous connaissez tous les aspects de la gestion d’un réseau télécoms et de la mise en réseau ou STC (Certification Cisco, Fibre, Adsl, VoIP).
Une expérience significative dans un centre d’appel et dans un environnement télécoms est nécessaire.
Véritable manager, vous avez le sens de la communication et attachez beaucoup d’importance au développement et à l’accompagnement de votre équipe.
Vous voulez rejoindre une équipe ambitieuse et dynamique ? Postulez !
QUALITÉS REQUISES
Rigueur, autonomie,
Esprit d’analyse et d’initiative,
Bon relationnel,
Bonne communication orale et écrite,
Culture du résultat et de l’amélioration.
il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=76116dc023fb7455,vide,cdi
Editeur de logiciel (Data/Retail) - Référent Java - CDI à Ly...,PEARSON FRANK INTERNATIONAL,Lyon 2e (69),vide,"Lyon 2e (69)
CDI
Mon client, un éditeur de solution spécialisé dans la data pour le secteur du retail, recrute aujourd'hui son Référent Java pour soutenir sa croissance.

Voici un rapide brief aperçu des tâches attendues

Il faudra assurer le développement ainsi que l'expertise technique / mise en place d'architecture de l'ensemble des projets Java (solutions, sites clients, produits, web services, applications internes...).

Vous serez proactif quant à la construction, évolution et optimisations du SI actuellement en total restructuration ainsi que des différents projets, nous parlons ici de mouvance Ops (Docker, Kubernetes, Integ. Continue, Orchestration...), vous pourrez ainsi montée en compétence sur ces points et partager vos connaissances.

Vous assurerez la définition, estimation et Rédaction des demandes internes au vu des différents projets.

Vous serez chargé de la gestion des prods outsourcées (Offshore, TMA d'un ancien legacy).

Ceci n'est qu'une partie du poste. En effet, celui-ci se définira aussi selon la personne qui l'occupera et est donc modulable. Vous rejoindrez un groupe Agile en pleine croissance (100 personnes) et leader sur son marché. Les perspectives d'évolutions sont nombreuses, Responsable R&D, VP Product... la société étant en pleine croissance. Vous resterez au contact de la technique quotidiennement mais pourrez adopter une casquette plus fonctionnelle de CDP / PO par moment.
Profil recherché Vous souhaitez continuer d'évoluer au contact de la technique, mettre les mains de le cambouis ne vous fait pas peur mais vous souhaitez aussi aujourd'hui monter en compétence sur le côté fonctionnel : Gestion de projet, management, recrutement...

Vous l'aurez compris, pour ce poste nous recherchons quelqu'un de très transverse, n'ayant pas peur d'être au four et au moulin, d'aborder des montées en compétences sur différents sujets et qui n'a pas peur d'être prit au dépourvu par moment.

Alors si vous aimez le challenge, les groupes travaillant en Agile et adoptant les technologies de pointes, tout ceci dans un environnement très axé data, ce poste est fait pour vous !

La fourchette salariale est de 38-47k, vous aurez un statut de cadre et rejoindrez un groupe en pleine croissance, familial et se promettant sur l'avenir avec ses collaborateurs.

Aujourd'hui présent commercialement sur 3 continents et avec 1.5 milliards € de CA, ce groupe d'une 100 aine de personnes est en pleine expansion.
Entreprise Je recrute une personne souhaitant évoluer vers un poste de référent Java pour rejoindre l'un de mes clients, éditeur de solutions, qui prône l'expertise technique.

Spécialiste de la Data dans le secteur du Retail, ils réalisent depuis leurs locaux des solutions diverses pour les grands noms du paysage Français et International.
Apec.fr - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=bfeb9b62de5b9ff6,vide,cdi
"Master Data (Pharmacie) (H/F), Lyon 07",Adecco France,Lyon 7e (69),vide,"Lyon 7e (69)
Intérim
Le Hubsite Industrie Pharmaceutique de Lyon recherche pour l'un de ses clients, leader dans le domaine de la santé animale, pour son site de Lyon 7, un Master Data (F-H).

Vos missions, si vous l'acceptez :

Interface privilégiée entre les sites de Lyon et Toulouse pour la création et la maintenance des codes
Définition des processus de création, de modification et de suppression des codes dans les différents systèmes existants
Formation des utilisateurs sur les processus de gestion des codes
Assurer le suivi et la bonne application desdits processus
Collecte et suivi de la cohérence des données

Au surplus, vous êtes le back up du Responsable ""Création/Modification/Suppression"" des codes dans les ERP.

Pour cela, votre profil :

De formation BAC+2/5 Data Mining, Statistique & Informatique Décisionnelle.
Une expérience de 2 ans est idéale, un parcours pertinent (stage, alternance) dans le domaine de la Gestion des Données de Référence sera aussi favorablement étudié.

Dans la catégorie ""Plus"", vous avez déjà effectué de la création de codes sur Oracle ou SAP.

La maîtrise de l'Anglais lu, écrit est nécessaire.

Rémunération : 14,559EUR/h brut + 2,427EUR/h de prime de 13ème et 14ème mois + 5,818EUR/jour de prime de JRTT + Indemnité de déplacement ou remboursement de votre abonnement de transport collectif à hauteur de 80%.

Mission à pourvoir au plus vite, jusqu'au 31/12/2019. Dans un premiers temps.
Aptitude(s)
AFFAIRES REGLEMENTAIRES
COORDINATION SAISIE DONNEES
INDUSTRIE
REDACTION DE PROCEDURES
Langue(s)
ANGLAIS
il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,Autres_metiers_data,Lyon,20/10/2019,vjk=337106b7fb90e0e5,vide,stage
