Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Responsable d'offre « BI / DATA Intelligence » F/H,Sully Group,Saint-Priest (69),vide,"Saint-Priest (69)
CDI
Votre job

Dans le cadre du développement de ses activités, Sully Group souhaite impulser une nouvelle dynamique à son offre BI et recherche son futur

Responsable d'offre « BI / DATA Intelligence »

pour gérer l'offre dans sa globalité et accroître son activité dans ce domaine. En étroite relation avec la Direction de Sully Group, vous êtes le référent de notre offre auprès de nos clients et contribuez à son développement :

Participer à la définition et à la formalisation de l'offre

Collaborer à la rédaction des propositions technico-commerciales (réponse aux appels d'offres, analyse des cahiers des charges, conception et rédactions de documents de choix de solution, …)

Effectuer des missions d'avant-vente (seul et en collaboration avec l'équipe commerciale de Sully group de chaque agence régionale) et proposer/chiffrer les solutions techniques

Gérer l'ensemble des activités lors des différentes phases projets, ainsi que les moyens de production liés aux projets BI/DATA dans les meilleures conditions de Coût/Qualité/Délais

Piloter l'équipe actuelle et recruter de nouveaux collaborateurs

Être le référent technique sur les projets BI/DATA de nos clients et auprès de nos collaborateurs, pour réaliser des missions de veille technologique, d'expertise ou participer aux projets les plus sensibles

Offre à dimension nationale, ce poste est à pourvoir en CDI au sein de notre siège de Saint-Priest, avec quelques déplacements à prévoir au sein de nos différentes agences (Paris notamment).
Profil recherché Parlons de vous

De formation Bac +4/5, vous justifiez d'une expérience réussie sur un poste avec des responsabilités de pilotage de dossiers et d'équipe. Vous avez une fibre commerciale et des connaissances avérées de la BI avec des expériences techniques concrètes pour avoir des connaissances/compétences dans tout type d'architecture (principaux outils du marché tels que SAP BO, Power BI, Qlik Sense, Tableau, …) et tout type de prestations (DataWareHouse, BI, Analyse statistique, Data Viz, …).

Vous souhaitez intégrer une entreprise portée par des valeurs fortes telles que la fidélité envers ses collaborateurs et ses clients, la stabilité, le respect de ses engagements, le travail de qualité, la proximité, l'accompagnement dans une logique de progression, la transparence et l'honnêteté.
Entreprise Sully Group appartient à ses salariés et ses dirigeants sont issus du monde de l'IT.

Nous accompagnons nos collaborateurs sur le long terme (37% ont été formés en 2017), ils restent avec nous en moyenne 7 ans.

En plus du salaire fixe sur 12 mois, nous vous proposons : une bonne mutuelle , des tickets resto à 9 €, une participation aux frais de transport, un CE, 6 semaines de congés payés + des RTT, intéressement, participation et plan épargne entreprise, … (un peu de pub ça ne fait pas de mal !)

Double-écrans et café sont fournis pour des conditions de travail optimales.

Horaires flexibles et charte de télétravail.

Et une mascotte … c'est déjà bien non ?

Avec Sully Group, nos collaborateurs ont trouvé leur voie, alors pourquoi pas vous !
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,BI,Lyon,14/10/2019,vjk=826c28a5afce297f,vide,cdi
Consultant Microsoft Data & BI (H/F),Exakis,Lyon (69),vide,"Lyon (69)
CDI
Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Lyon
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
En tant que Consultant(e) Microsoft BI, vous intervenez dans le cadre de projet d’informatiques décisionnelles, en forfait ou en régie.
Analyser et qualifier le besoin
Rédiger des spécifications fonctionnelles, techniques
Concevoir et développer les solutions BI
Modéliser et enrichir des bases de données
Mettre en place des outils de restitution BI pour la production de tableaux de bord et de reporting
Modéliser et implémenter des Datamarts et Datawarehouses
En fonction du projet, des besoins et de vos aptitudes, vous pouvez être amené(e) à participer aux phases d’avant-vente, d’étude, d’architecture, de réalisation de la solution et d’encadrement technique des projets.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 2 ans d’expérience dans le cadre de projets décisionnel.
Vous avez une réelle expertise sur l’ensemble des environnements et langages suivants :
SQL server (2012/2014/2016
Développement de requêtes SQL complexes
Vous maitrisez au moins une des briques décisionnelles de la suite Microsoft BI (SSIS, SSAS, SSRS, Power BI)
Vous êtes à l’aise avec les syntaxes DAX ou MDX
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,BI,Lyon,14/10/2019,vjk=0c509e0ad29ffb21,vide,cdi
CONSULTANT BUSINESS INTELLIGENCE H/F LYON,Umanis,Lyon (69),vide,"Lyon (69)
THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
Nos agences Umanis de la région Est accompagnent les principaux acteurs du marché, de la start-up à la grande entreprise. Nous travaillons dans divers secteurs d’activités comme les Banques et Assurances, les Administrations, les Telecoms, l’Agroalimentaire ainsi que les Industries. Vous aurez l’occasion de travailler avec les plus grandes entreprises connues et reconnues dans ce domaine. Sous la responsabilité du Directeur de la Business Unit de votre région, vous interviendrez en assistance technique ou en forfait au sein de notre Centre de services, aux côtés de consultants et d’experts techniques sur des projets ambitieux qui vous feront gagner en compétences.

Dans le cadre du développement de notre agence lyonnaise, nous recherchons un-e :

Consultant Business Intelligence Lyon H/F
YOUR MISSIONS:
Description de l'emploi
Dans le cadre du développement de notre Centre de services de Lyon, vous aiderez aux créations d’applications ainsi qu’au maintien en conditions opérationnelles des applications qui y sont gérés pour des clients grands comptes.
L’objectif étant d’intervenir sur un projet décisionnel d’envergure, de monter en compétence sur les aspects techniques, méthodologiques, fonctionnels et organisationnels, et évoluer au sein de projets au forfait sur les technologies Microsoft.
Vous intégrerez une équipe d’une dizaine de personnes composée d’un chef de projet et de consultants expérimentés en conception et développement d’applications décisionnelles, ainsi que des experts sur les différentes problématiques fonctionnelles et techniques abordées.
Vous participerez activement aux activités du pole : correction des anomalies , analyse, développement , packaging des livraisons.
Vous participerez également à la réalisation des nouvelles versions : recueil de besoin , modélisation , rédaction des spécifications , conception technique , développements , assistance à la recette, assistance à la mise en production.
Environnement technique : Microsoft BI (SSIS, SSAS, SSRS)
De formation Bac + 2 à Bac + 5 (école d’ingénieur ou universitaire) avec idéalement une spécialisation en ingénierie décisionnelle (Business Intelligence), vous disposez d'une première expérience réussie avec l’utilisation d’un outil de reporting décisionnel (Business Objects, Cognos, SSRS ...), un ETL (SSIS, Informatica, Datastage, Talend…) et des bases de données et les architectures d’entrepôt de données.
Vous maîtrisez les concepts de base de l'informatique décisionnelle (modélisation, alimentation, restitution…) et des bases de données relationnelles. Ce poste vous ouvrira des possibilités d’évolution comme le management de projet, l’expertise technique ou le conseil Data en conception ou en choix d’outils.
REQUIRED COMPETENCIES:
Complex problem solving (Confirmed), Design of works, products or events (Confirmed), English (Intermediate), Product or event development (Confirmed), Project management (Confirmed), Putting into operation / Production and maintenance (Confirmed), Risk management (Intermediate), Software mastery (Confirmed), Technical Architecture SI (Confirmed)
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,BI,Lyon,14/10/2019,vjk=7d5c6dddfe211942,vide,stage
Consultant BI/Dataviz F/H,INSIDE LYON,Lyon 1er (69),vide,"Lyon 1er (69)
CDI
Au sein du pôle BI et en relation directe avec le ou les clients, tes missions si tu les acceptes seront :

Participation aux avant-ventes

Recueil et analyse du besoin auprès du client

Conseil auprès de nos clients sur le choix d’outils

Enrichissement et valorisation de la donnée

Modélisation des bases de données

Reporting et visualisation des données

Réalisation des KPIs

Production de maquettes et POC pour le(s) client(s)
Profil recherché Tu disposes d’une expérience significative sur ce type de poste ? Tu souhaites participer à un réel projet d’entreprise liant challenge, motivation et entraide ? Et de surcroît, tu préfères passer ton dimanche à t’informer sur les nouveautés BI plutôt que de courir un marathon avec des chaussures de ski aux pieds ? Tu es peut-être notre nouvelle pépite BI !

Tu es déjà opérationnel(le) sur au moins un des outils suivants et tu souhaites perfectionner tes compétences sur les autres outils suivants :

Tableau Software

QlikView / QlikSense

Power BI

Sache qu’Inside et ses experts sont même prêts à t’accompagner sur l’apprentissage de nouveaux outils

Mais quelles sont les valeurs pour être un Insider dans l’âme ?

Etre dynamique et motivé(e)

Avoir le sens du service et de la relation client

Avoir des valeurs collaboratives

Être disponible et prêt à participer à l’évolution d’une entreprise qui sait écouter ses salariés

Pour résumer être un Insider c’est savoir être un professionnel qui ne se prend pas au sérieux.

Langue

: Anglais technique
Entreprise Expert dans les Services Numériques, Inside Group a vu le jour en 2012 sous le soleil toulousain et propose 3 expertises clés : les infrastructures, l’applicatif et le conseil. Inside, c’est aussi un accompagnement auprès de 50 entreprises, 5 agences aux coins de la France (Toulouse, Paris, Bordeaux, Lyon et Nantes), et 350 Insiders passionnés.

4 bonnes raisons de nous rejoindre :
Rejoins une structure qui fait rayonner ses

valeurs humaines

et de partage partout en France !

Profite de formations régulières grâce à une politique RH valorisant le développement et la montée en compétences de ses Insiders.

Deviens acteur de ton parcours pro !

Vis une

expérience humaine et collaborative

où l’esprit d’équipe rythment ton quotidien !

Fais partie d’un groupe solide qui ne cesse de s’agrandir avec de

nombreuses opportunités d’évolution

!
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,BI,Lyon,14/10/2019,vjk=f23379a3dfdeca07,vide,cdi
Référent technique BI & Azure (H/F),Exakis,Lyon (69),vide,"Lyon (69)
CDI
Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Data & BI & IA
Ville : Lyon
Type de contrat : CDI
Expérience : 5 ans
Poste et missions
Vous justifiez de plus de 5 ans d’expérience sur un ou plusieurs produits de la suite Microsoft Data Platform (PowerBI / Azure) et en maitrisez les bonnes pratiques et la vision technologique globale.
Vous avez eu l’occasion de mettre en place avec succès la plateforme Microsoft Azure dans un contexte data. Vous souhaitez pousser votre expertise sur les dimensions BI / Cloud / IA / Big data en tenant compte des enjeux technologiques, métiers et sécurité de nos clients.
Votre passion, votre curiosité et votre dynamisme sont les maîtres mots pour réussir dans ce poste. Vous êtes motivé pour travailler dans un environnement dynamique et innovant ou la donnée se décline autour de nos projets innovants (IoT, IA, réalité mixte).
Rattaché au responsable du pôle data/BI, vos missions porteront sur :
Porter l’offre technologique Microsoft Data Platform chez Exakis
Réalisation de missions de conseil chez nos clients
Accompagnement technique des équipes et des collaborateurs
Mise en place des bonnes pratiques
Participation active aux avant-ventes
Participation active aux communautés data et innovation d’Exakis
Profil
De formation Bac+5 en école d’ingénieur, faculté ou équivalent, vous disposez d’une expertise dans le domaine de la gestion de données et de la BI dans un environnement Microsoft. Curieux et dynamique, vous avez le gout du challenge et souhaitez prendre part au développement important d’Exakis et de Magellan Partners dans le domaine des data-sciences. Doué d’un bon rédactionnel, vous maitrisez l’anglais à l’oral comme à l’écrit.
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre
il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,BI,Lyon,14/10/2019,vjk=f6c8ebe8fbf3e382,vide,cdi
Développeur Informatique Décisionnelle / B.I. (H/F),SantéVet,Lyon 7e (69),vide,"Lyon 7e (69)
Notre identité
Fondée en 2003 PME Lyonnaise Dirigée par son fondateur 200 collaborateurs
Leader européen sur le marché de l’assurance santé animale

Notre ADN
Esprit start-up et innovant Management de proximité Equipes passionnées Bienveillance

Notre mission
Ensemble, prenons soin de votre animal

Votre cadre de travail
35 heures dans des locaux modernes dans l’ancien garage historique Citroën à Lyon 7e !
Emplacement idéal (Tram en bas du bâtiment, Métros à proximité et à 2 pas de la place Bellecour).

Vos missions
Dans le cadre d’un remplacement congé maternité de 5 mois à partir de janvier 2020 au sein de la DSI et rattaché au Responsable Service Data - Business Intelligence, vous analysez et traitez les demandes de développement d’un point de vue technique et fonctionnel et participerez :

au projet de migration BI vers SAP BO,
aux réunions d’expression de besoins,
au développement des demandes d’évolution et d’ajouts dans l’outil Décisionnel (DataWarehouse, ETL, Cube, …),
au développement des demandes d’évolution et création de rapports,
à la mise à jour des différents livrables (spécifications techniques, documentations, …),

Environnement technique :
SQL : MySQL, SQL Server, Sybase IQ. ETL : SSIS et BODS. Cube OLAP : SSAS. Reporting : SAP Webi, Lumira.

Votre profil
De formation bac+3 à bac+5 en informatique Décisionnelle 2 années d’expérience sur un poste similaire Maîtrise de SAP BO Connaissances techniques de la Suite Microsoft
Curiosité Autonomie Sens de la communication

Vos avantages
Entreprise conviviale Cohabitation avec des animaux de compagnie et des plantes vertes !
Evénements informels (english lunch, contes, shooting photo animalier, repas à thèmes, etc.)
Tickets Restaurants CE très actif (voyages, fête d’été et de Noël, réductions, …) Prime vacances 2 jours de travail offert
Vous hésitez encore à postuler ?
84% sont satisfaits de travailler chez SantéVet
85% trouvent que SantéVet permet de bien concilier vie perso et pro
76% considèrent travailler dans une bonne ambiance
76% recommandent SantéVet pour y travailler
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,BI,Lyon,14/10/2019,vjk=54e9080f8ba5a630,vide,vide
Consultant Microsoft BI H/F,ai3,Lyon (69),vide,"Lyon (69)
CDI
Localisation Lyon
Infos Job
Site:
Lyon
Salaire:
Selon profil
Profil recherché :
Confirmé
Contact pour plus d'informations :
Anna.sigogneau@ai3.fr
Vous rejoindrez la Business Unit Data & AI. Notre approche se focalise sur la valorisation de la donnée afin d’en libérer tout son potentiel enfoui.
Cette stratégie est orientée sur 2 axes :
Data : tous les domaines qui touchent à la manipulation de la donnée (modélisation, nettoyage, analyse, data visualisation, big data, IoT, etc.)
AI : traitement des images et du langage naturel, évaluer des sentiments, créer des modèles de machine Learning, etc.
Missions
Définition fonctionnelle et/ou technique d’une solution basée sur les technologies décisionnelles de Microsoft
Suite Microsoft BI et Power BI
Montée en compétences sur Azure (Data Factory, Machine Learning, Batch AI, etc.)
Participation aux phases amonts des projets (avant-vente, présentation produit, etc.)
Mise en œuvre technique
Responsabilité de la documentation et des formations
Vous êtes
Titulaire d’une formation supérieure en informatique, d’un diplôme d’ingénieur ou d’une formation équivalente Bac+5 et vous disposez d’une expérience significative d’au moins 2 ans dans le domaine décisionnel et possédez une bonne qualité rédactionnelle et relationnelle.
Vous maîtrisez
Suite Microsoft BI (SQL Server, SSIS, SSAS)
Power BI
T-SQL, MDX, DAX
Une connaissance sur une ou plusieurs des technologies suivantes serait un plus :
Une solution décisionnelle d’un éditeur concurrent (Cognos, QlikView, QlikSense, Tableau, Talend, Datastage, BO)
Des environnements Cloud (Azure, AWS, etc.)
Qualités relationnelles
Expert sur les solutions décisionnelles Microsoft, vous connaissez parfaitement la couverture fonctionnelle et technique des produits et êtes en mesure de proposer des bonnes pratiques d'implémentation (fonctionnelles, organisationnelles, architecturales, logiciels ...). Vous affectez le travail en équipe.
Ai³ est une entreprise responsable, attachée à la diversité de ses personnels. Des aménagements de poste peuvent être organisés pour tenir compte des handicaps des personnes recrutées.
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,BI,Lyon,14/10/2019,vjk=375491bd8d5e157c,vide,cdi
CONSULTANT SAS BI (F/H) / Freelance,IZYFREE,Lyon (69),vide,"Lyon (69)
Temps plein, Freelance / Indépendant
Dans le cadre de la mise en oeuvre de la solution SAS Entreprise BI

Votre mission consistera à :
Assurer la maintenance et l’actualisation de l’application et des règles de gestion définies
Réaliser le suivi du paramétrage des clôtures mensuelles
Gérer la réalisation et suivi du paramétrage des processus prévisionnels et budgétaires
Être support aux utilisateurs
Profil et savoir-faire

Compétences techniques :
Expertise sur la suite SAS Entreprise BI (3-5 ans minimum)
Expertise sur Data Intégration Studio , Web Reporting Studio, Information Map Studio.
Connaissance de Linux / Unix / Aix
Maîtrise du MDX (OLAP SAS)
Des connaissance sur Script Shell sont un plus
Compétences fonctionnelles:
Une connaissance du domaine financier est un plus

Savoir faire / être:
Anglais professionnel (lu, écrit)
Rigueur et souci du détail
Capacité à communiquer avec des équipes
Anticipation et autonomie
Freelance-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,BI,Lyon,14/10/2019,vjk=931e3c59b5d993e8,vide,freelance
CONSULTANT JUNIOR BI H/F,Business & Decision,Lyon (69),vide,"Lyon (69)
CDI
Agir là où data et digital façonnent l'avenir des entreprises
Depuis plus de 25 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.
Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.
Votre mission ?
Au sein de notre agence lyonnaise, et intégré dans une équipe projet, vous contribuez à toutes les phases de mise en œuvre d’une application décisionnelle.
Rattaché au Chef de projet, votre mission se décompose en plusieurs volets :
Permettre aux clients d’exprimer tous leurs besoins grâce à votre grande qualité d’écoute associée à un très bon relationnel
Participer au développement et à la production de l’application, où votre passion pour les outils décisionnels prend tout son sens
Participer à des ateliers techniques et fonctionnels

Votre profil pour mener à bien cette mission
Vous êtes titulaire d’un BAC+5 en informatique que vous avez mis en pratique au travers d’une première expérience dans la mise en œuvre de projets décisionnels.
Bien évidemment, vous maitrisez au moins un outil du décisionnel (ODI, Datastage, Informatica, Qlikview, BO, Cognos, Talend, Power BI, SQL Server, Oracle, etc).
Type de contrat
CDI
Localisation du poste
Cité internationale, 45, quai Charles de Gaulle 69006 Lyon
il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",02/10/2019,BI,Lyon,14/10/2019,vjk=d8e01ac44c092403,junior,cdi
Consultant BI / Data Intelligence F/H,ASI,Lyon 1er (69),vide,"Lyon 1er (69)
CDI
VOS MISSIONS

Analyser et comprendre les besoins client

Participer aux différentes phases :
Conception d’architecture décisionnelle et technique
Rédaction des spécifications fonctionnelles et techniques
Traitement de la donnée, concevoir et spécifier les jobs d’alimentation
Construction de cubes de données
Développement des rapports
Tests et recette
Mise en production
Profil recherché Qualifications

PARLONS DE VOUS

Vous êtes prêt à monter en compétences sur de nouvelles solutions, l’envie d’élargir votre spectre technologique.

Vous êtes curieux, rigoureux, analytique, dynamique et doté d'une grande capacité d'adaptation.

Vous avez de l'appétence et/ou connaissance des nouveaux concepts de la data (Data Mining, Data Visualisation, Data Lake, …)

De formation supérieure avec une expérience réussie sur un poste similaire avec les compétences suivantes :

Travailler sur des projets de Data Intelligence, de façon autonome ou au sein d’une équipe
Maîtrise d’une ou plusieurs solutions du marché
Alimentation et stockage de données : SSIS, Talend, Oracle Data Integrator, SAP Data Services, …
Analyse : SSAS, SAS, …
Restitution : SSRS, SAP BO, QlikView, Qlik Sense, Power BI, Cognos
Ensemble, nous saurons développer vos compétences et enrichir votre expérience !

Alors rejoignez-notre Team ASI !

Informations complémentaires

Processus de recrutement :
Notre processus de recrutement se déroule en 3 étapes maximum :

Après étude et validation de votre parcours et de son adéquation avec le poste, une chargée de recrutement vous contactera pour convenir d’un premier entretien,

Dans un second temps et après validation de cette première étape, vous rencontrerez un opérationnel pour poursuivre l’échange sur une partie plus technique,

Enfin, vous serez convié(e) à un entretien de closing avec le manager de l’équipe.
Entreprise Et si vous développiez votre expérience digitale avec ASI ?

Envie d’intégrer une entreprise digitale, à taille humaine, conviviale, innovante et labellisée HappyAtWork ?

ASI est une Entreprise de Services du Numérique où il fait bon vivre ! Labellisée en juin 2017 HappyAtWork, ASI fait partie des ETI où l’on se sent le mieux et dans laquelle il fait bon travailler pour la bonne ambiance, la convivialité, l’entraide entre les équipes mais aussi la proximité des managers, la reconnaissance du travail accompli et la promotion interne.

Notre objectif est d’accompagner les organisations publiques et privées dans leur transformation digitale.

Présente dans 7 villes sur le territoire national, ASI compte aujourd'hui 380 collaborateurs.

Notre double expertise, technologique et conseil, nous permet d'accompagner nos clients dans toutes les phases de leur projet.
Apec.fr - il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",03/10/2019,BI,Lyon,14/10/2019,vjk=c2d6fec15284c43d,vide,cdi
