Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Leader Technique Big Data / Freelance,Westhouse Schweiz AG,Lyon (69),vide,"Lyon (69)
Temps plein, Freelance / Indépendant
Pour l’un de nos clients, nous recherchons un leader technique big data avec une maîtrise et pratique des environnements Big Data dont spark, hadoop, teradata etc. Contact: Marilia Takenaka - m.takenaka@westhouse.ch
Freelance-info - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,Big_data,Lyon,16/10/2019,vjk=4f8fe88315ed1c65,vide,freelance
Consultant BIG DATA F/H,Smile,Villeurbanne (69),vide,"Villeurbanne (69)
CDI
Au sein de la business line « Systèmes d'Information Métier » de Smile, le pôle Data dispose de la plus large expertise en outils open source et met en œuvre les solutions de gestion de la donnée :

Intégration et flux avec Talend DI/ESB, WSO2, Kafka, Spark ...

Infocentre avec MySQL, MongoDB, Elastic, Hadoop ...

Restitution avec Pentaho, Jaspersoft et Jedox.

Les solutions open source sont leader dans le domaine du big data et sont au coeur de l'innovation continue dans ce domaine.

Dans le cadre de notre croissance et pour répondre aux nouveaux besoins de nos clients, nous recherchons à étoffer nos équipes en intégrant un consultant technique / Développeur Big Data.

Rattaché(e) au Responsable de la BU, vous intégrez des équipes de projet et participez à toutes les phases de mise en œuvre d'un système de gestion de la données :

Développement sur les briques de l'écosystème Big Data (spark, Scala, Hive...)

Modélisation et implémentation des systèmes de gestion de la base des données (SQL, NO SQL)

En rejoignant Smile, vous évoluez dans un environnement d'expertises à forte valeur ajoutée. Vous avez possibilité de travailler sur des projets ambitieux dans des environnements métiers grands comptes.
Profil recherché De formation informatique Bac+5, vous justifiez d'une expérience de minimum 3 ans dans des projets liés à la captation et / ou analyse de la données ou dans le développement Java.

Vous justifiez également d'une expérience minimum d'un an en tant que développeur sur les briques d'une des distributions Hadoop ou Spark.

Le cadre de vie d'un Smilien :
Travail en équipe, entraide, professionnalisme et bonne humeur sont des valeurs qui vous tiennent à cœur.

Vous avez l'opportunité de développer votre carrière vers de l'expertise ou de la gestion de projet, de participer à la création de quelques-uns des plus grands sites internet français,

De vous confronter et de maîtriser des outils tels que php, Magento, Drupal, Symfony, PHPunit et d'intervenir dans des architectures mêlant Varnish, SolR, ElasticSearch, Git, lxc, Docker, NodeJS, AngularJS, Doctrine, MySQL, …

De développer des compétences au contact d'Experts de l'Open Source dans une atmosphère familiale: vous disposez du support de la Direction Technique, constituée d'experts certifiés, répartis au sein des équipes Smile, ainsi qu'à des espaces collaboratifs (blogs, espaces, documentaires, wiki, …) et de capitalisation,

Vous participez dès votre arrivée à la ""Smile Accademy"", 3 jours de formation dispensée à tous nos collaborateurs, mais aussi accédez à toutes les formations du portail interne Smile.
Entreprise Notre agence lyonnaise offre aux entreprises des régions Rhône-Alpes, Bourgogne et Auvergne, l'ensemble des offres de Smile:

Digital, Embedded et IoT , Business Apps et Infrastucture.

Les bureaux se trouvent idéalement le long du parc de la Tête d'or, entre sérénité du parc et activité économique du quartier Stalingrad.

L'agence compte 150 collaborateurs aux profils divers : ingénieurs, chefs de projet, directeurs de projets, architectes, experts, consultants, commerciaux, recruteurs, ainsi qu'un centre d'expertise et un centre de services.
Apec.fr - il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Big_data,Lyon,16/10/2019,vjk=10f6e84eae4f3165,vide,cdi
Architecte Big Data (H/F),Atos,Lyon (69),vide,"Lyon (69)
À propos d’Atos
Atos est un leader international de la transformation digitale avec plus de 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de plus de 11 milliards d’euros. Numéro un européen du Cloud, de la cybersécurité et des supercalculateurs, le groupe fournit des solutions intégrées de Cloud Hybride Orchestré, Big Data, Applications Métiers et Environnement de Travail Connecté. Partenaire informatique mondial des Jeux Olympiques et Paralympiques, le Groupe exerce ses activités sous les marques Atos, Atos Syntel, et Unify. Atos est une SE (Société Européenne) cotée sur Euronext Paris et fait partie de l’indice CAC 40.
La raison d’être d’Atos est de contribuer à façonner l’espace informationnel. Avec ses compétences et ses services, le groupe supporte le développement de la connaissance, de l’éducation et de la recherche dans une approche pluriculturelle et contribue au développement de l’excellence scientifique et technologique. Partout dans le monde, Atos permet à ses clients et à ses collaborateurs, et plus généralement au plus grand nombre, de vivre, travailler et progresser durablement et en toute confiance dans l’espace informationnel.

Que pouvons-nous accomplir ensemble ?

Vous serez intégré à une équipe jeune et dynamique en très forte croissance.
Vous participerez à un nombre varié d'activités allant du conseil en architecture et gouvernance de la donnée aux aspects Data analytiques et DataScience, en passant par la mise en place, l’intégration, le développement et l’optimisation de solutions souples et évolutives pour les projets stratégiques de nos clients.

Dans le cadre du poste proposé, vous intégrerez notre communauté d’architectes. Vos missions seront multiples :
Vous interviendrez dans les phases amonts (avant-vente, conseil…) pour définir et concevoir des architectures Big Data adaptées aux divers contextes clients,
Vous interviendrez en expertise sur nos projets en Delivery pour accompagner nos équipes techniques,
Vous mentorerez des profils plus juniors pour les amener à développer les compétences,
Vous participerez à la mise en œuvre et à l’intégration des solutions définies.

Qui êtes-vous ?

De formation école d’Ingénieur ou équivalent, vous avez plus de 7 ans d’expérience et avez réalisé des missions d’architecture et d’intégration complexe dans le domaine du Big Data (Hadoop, NoSql, ELK…).
Une connaissance approfondie des Cloud Publics majeurs (Azur, AWS…), ainsi qu’une connaissance des architectures microservices à base de conteneurs (Docker) serait un plus appréciable.
Vous êtes à l'aise dans le travail en équipe et les relations clients et faites preuve d'écoute et de conseils avisés.
Vous avez les compétences pour encadrer et faire progresser des profils moins expérimentés.

INFORMATIONS ADDITIONNELLES

Chez Atos la diversité est au cœur de notre politique RH. C'est pourquoi Atos a mis en place un accord relatif à l’égalité professionnelle entre les hommes et les femmes. Par ailleurs, nos métiers sont tous accessibles aux personnes en situation de handicap, et ce quelle que soit la nature de leur handicap.
il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",28/09/2019,Big_data,Lyon,16/10/2019,vjk=754c9b936a2187f8,vide,vide
Consultant BIG DATA - Lyon F/H,EOLE CONSULTING,Lyon 3e (69),vide,"Lyon 3e (69)
CDI
Eole Consulting recrute un(e) Consultant BIG DATA H/F afin de faire progresser et consolider les compétences de l’ensemble de ses équipes avec de nouveaux talents !

Dans le cadre de votre mission pour l’un de nos clients, vous serez amené(e) à :

Assurer la maintenance évolutive et corrective ;
Analyser, réaliser, valider techniquement et fonctionnellement les composants logiciels ;
Livrer les composants logiciels,
Assurer les développements spécifiques ;
Réaliser les tests unitaires et d’intégration ;
Assurer le suivi de la production ;
Accompagner les utilisateurs ;
Maintenir à jour la documentation du domaine ;
Environnement technique : IBM, Spark, Hive,Hbase,Hortonworks,Hadoop,Hue…
Profil recherché De formation Bac+3/5 en informatique, vous avez au minimum 3 ans d’expérience en Big Data.

Vous êtes autonome et réactif, moteur sur les décisions structurantes

Force de proposition vous avez envie de monter en compétence sur des technologies innovantes.

Si vous êtes prêt à partager notre bonne humeur et à répondre aux enjeux de nos clients dans différents secteurs (aéronautique, santé, bancaire, grande distribution, spatial…), nous vous invitons à contacter notre service RH dès à présent.

N’attendez plus, Rejoignez-nous !

Conformément aux engagements d’EOLE Consulting en faveur de l’intégration des personnes en situation de handicap, la mission proposée est ouverte à toutes et à tous.
Entreprise Une entreprise en pleine croissance, une culture “Technophile”, des valeurs “groupe” que nous cultivons, une équipe dynamique à taille humaine, le sens du partage et de la collaboration, des missions et projets passionnants par la mise en place de partenariats avec nos clients, une volonté de grandir tous ensemble, voici notre ADN !

N’hésitez pas à nous rejoindre si vous souhaitez participer à l’aventure EOLE Consulting. Notre équipe RH se fera un plaisir de vous rencontrer.

EOLE Consulting, c'est plus de 160 consultants au sein d'une équipe de passionnés, dans un contexte de forte innovation et de complexité technique à la pointe des technologies actuelles. Une Société de Services à dimension Humaine, spécialisée dans les prestations à forte Valeur Ajoutée sur les métiers d'Informatique de Gestion, d'Infogérance et Technique.

Vous êtes doté(e) d’une personnalité ambitieuse et créative ? Vous aimez les challenges ?

Venez partager votre talent et venez apporter votre enthousiasme…
Apec.fr - il y a 20 jours
- Continuer pour postuler
Signaler cette offre d'emploi",26/09/2019,Big_data,Lyon,16/10/2019,vjk=27f0d9fee4cf8601,vide,cdi
Administrateur Big Data / Freelance,STAR TEC INFORMATIQUE,Lyon (69),vide,"Lyon (69)
Temps plein, Freelance / Indépendant
Nous recherchons pour l’un de nos clients un Administrateur Big Data

Activité INFRA Administration système, stockage, réseau

Niveau de complexité CONFIRME - Profil ayant une expérience de 4 à 7 ans dans le poste

Compte tenu du secteur d’activité de notre client, le profil doit être HABILITABLE

Contexte de la prestation Dans le cadre de la mise en place du Big Data au sein des équipes de développements de notre client, nous accompagnons leur montée en maturité sur la partie exploitation.

Définition de la prestation Accompagner une équipe sur la mise en place de l’exploitation d’une plateforme big data (supervision, gestion d’incidents, installation/livraison)

Définition de process et procédures
Outillage et intégration avec existant
Accompagner la montée en compétence de équipes
Compétences recherchées :
Autonomie, esprit d’initiative
Connaissances devops
Connaissances Hadoop, ou volonté d’apprendre
Outils techniques
Plateforme Hortonworks (Spark, Hive, HDFS, Oozie, Kafka, Nifi, Ambari .)
HP ALM, Sitescope, Zabix, Ambari
Freelance-info - il y a 26 jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Lyon,16/10/2019,vjk=5e5a92ab6a7a2ab0,vide,freelance
Architecte Big Data H/F in Lyon,Elitis Search,Lyon (69),vide,"Lyon (69)
En tant que responsable de la cellule d’architecture Big Data, vous aurez comme principales missions de :
Assurer des missions d'expertise (audit, assistance technique, ...) sur les architectures clients et être force de conseil dans les solutions proposées aux clients
Définir, concevoir et participer à l’implémentation de solutions Big Data
Contribuer aux phases d'avant-vente : qualification des besoins clients, définition des solutions…
Encadrer les équipes de développeurs-concepteurs Big Data et les accompagner dans leur progression
Réaliser la veille technologique afin de pouvoir proposer à nos clients les innovations
Porter les relations techniques avec les éditeurs Big Data
PROFIL
Vous travaillerez activement avec le responsable des équipes BI & Big Data de la région pour accélérer le développement des activités Big Data locale avec une approche par la valeur et l’innovation.
En tant qu’Architecte Big Data, vous avez une expertise technologique sur les composants Big Data (HDFS, MapReduce, Spark, Hive, Impala, Flume, Kafka...), une distribution Hadoop (distribution HortonWorks ou Cloudera ou MapR) et NoSQL (MongoDB, HBase, Neo4j, Cassandra). Une connaissance des services Big Data Microsoft Azure ou Amazon Web Services sera un plus.
Expérience d'au moins 10 ans dont 2 ans sur les composants Big Data, vous avez une expérience significative dans un rôle d'Architecte Big Data.
Autonomie, adaptabilité, très bonnes capacités d'écoute, d'analyse et de synthèse.
il y a 26 jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Lyon,16/10/2019,vjk=dcc111a95e44f5d2,vide,vide
Consultant BIG DATA - Lyon - F/H,TECH VALLEY,Lyon 1er (69),vide,"Lyon 1er (69)
CDI
TECH VALLEY est une société de Consulting en Systèmes d'Informations, et d'Expertise en ingénierie informatique, constituée d'une équipe de consultants, d’ingénieurs, et d’experts.

Nous mettons en avant une vision fédératrice de la qualité des SI : robustesse, efficacité, dimensionnement, sécurité, performance, évolutivité, conformité, optimisation.

Nous intervenons au national dans l'accompagnement des Grands Comptes et des ETI secteurs industrie, médical, telecom, finance, énergie, sur la transition de l’industrialisation des systèmes d’informations, principalement sur les architectures fonctionnelles, les process de développement et intégration, la Qualité et sécurité des systèmes d’informations, la fiabilité et les performances, ainsi que sur les architectures techniques et opérationnelles, les process de production et changement.

Le siège de la société se situe à Perpignan – Tecnosud, nos agences couvrent nos interventions à Toulouse, Bordeaux, Nantes, Lille, Paris, Lyon, Montpellier, Aix, Sophia Antipolis.

Intitulé du poste : Consultant BIG DATA

Site : Lyon

Postes ouverts au recrutement :
. Consultants BIG DATA

Vos compétences :
. Technologies parmi : Hadoop, Hortonworks, Cloudera, CouchBase (NoSQL), ElasticSearch, Spark, Kibana, ELK Stack, Hive, Sqoop

. Bases de données NOSQL parmi MongoDB, Teradata, CouchBase, CouchBase, Cassandra, Dataguard, Neo4J

Votre expérience, votre sens du service, votre goût du travail en équipe et vos qualités relationnelles font partie de vos atouts, rejoignez la team TECH VALLEY !

TECH VALLEY - La source numérique - France
Profil recherché TECH VALLEY est une société de Consulting en Systèmes d'Informations, et d'Expertise en ingénierie informatique, constituée d'une équipe de consultants, d’ingénieurs, et d’experts.

Nous mettons en avant une vision fédératrice de la qualité des SI : robustesse, efficacité, dimensionnement, sécurité, performance, évolutivité, conformité, optimisation.

Nous intervenons au national dans l'accompagnement des Grands Comptes et des ETI secteurs industrie, médical, telecom, finance, énergie, sur la transition de l’industrialisation des systèmes d’informations, principalement sur les architectures fonctionnelles, les process de développement et intégration, la Qualité et sécurité des systèmes d’informations, la fiabilité et les performances, ainsi que sur les architectures techniques et opérationnelles, les process de production et changement.

Le siège de la société se situe à Perpignan – Tecnosud, nos agences couvrent nos interventions à Toulouse, Bordeaux, Nantes, Lille, Paris, Lyon, Montpellier, Aix, Sophia Antipolis.

Intitulé du poste : Consultant BIG DATA

Site : Lyon

Postes ouverts au recrutement :
. Consultants BIG DATA

Vos compétences :
. Technologies parmi : Hadoop, Hortonworks, Cloudera, CouchBase (NoSQL), ElasticSearch, Spark, Kibana, ELK Stack, Hive, Sqoop

. Bases de données NOSQL parmi MongoDB, Teradata, CouchBase, CouchBase, Cassandra, Dataguard, Neo4J

Votre expérience, votre sens du service, votre goût du travail en équipe et vos qualités relationnelles font partie de vos atouts, rejoignez la team TECH VALLEY !

TECH VALLEY - La source numérique - France
Entreprise TECH VALLEY est une société de conseil en Systèmes d'Informations, et d'expertise en ingénierie des Systèmes d'Informations, constituée d'une équipe de consultants et d’experts (IS & IT).

Nous intervenons dans l'accompagnement des Grands Comptes et des PME secteurs industrie, telecom, finance, sur la transition de l’industrialisation des systèmes d’informations, principalement sur les architectures fonctionnelles, les process de développement et intégration, la Qualité et sécurité des systèmes d’informations, la fiabilité et les performances, ainsi que sur les architectures techniques et opérationnelles, les process de production et changement.

Compétences principales : AMOA / Direction et gestion de projet ; Architecture IS et IT ; Ingénierie application et web application (java, .net, Javsacript, Html5, bases de données) ; Ingénierie application mainframe (AS400 ; MVS) ; Conseil business solutions (ERP, PLM, GED, CRM, BI, EAI) , Ingénierie infrastructure (UNIX, LINUX, WINDOWS, MVS-Z/OS, RESEAU, SECURITE), exploitation ; Support méthode et qualité.
Apec.fr - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Big_data,Lyon,16/10/2019,vjk=31dff5d998f304cd,vide,cdi
Développeur Big Data (H/F),Groupe SII,Lyon (69),vide,"Lyon (69)
Description du poste :
Vous êtes un(e) Développeur Big data prêt(e) à travailler dans un environnement agile et motivant ?
Ce poste est pour vous !
Passionné(e) par les écosystèmes de données, vous aimez comprendre les enjeux et besoins de l’entreprise afin de proposer des solutions adaptées et fiables.
Vous connaissez le langage de programmation Scala à travers une expérience professionnelle, un stage, un projet scolaire.
Vous avez également travaillé sur des technos Big Data (Spark, Hadoop; Kafka,…).
Profil:
Votre profil pour cette mission:
Parmi vos tâches vous pourrez être amené(e) à :
Analyser et formaliser les besoins de vos clients internes
Collecter, consolider et modéliser de gros volumes de données
Développer et automatiser des flux d’alimentation du type DataLake
Etre garant de la scalabilité, sécurité, stabilité et disponibilité des données

Au-delà de ces compétences, vous démontrerez des qualités relationnelles et rédactionnelles satisfaisantes, ainsi qu’une forte appétence pour le travail en mode Agile.
Alors n’hésitez plus, postulez !
#Expertise – #Innovation – #Fun, voici le mix gagnant que nous vous proposons !
Suivez nous sur les réseaux sociaux : Facebook – Linkedin
et Twitter :
@sii_rhonealpes
Le Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.
Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.
Au palmarès Great place To Work 2019, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.
Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !
Compétences :
Scala
Big Data
Référence de l’annonce :
BD/0919
Expérience:
2-5 ans
Qualification:
Consultant
Rémunération:
selon profil

POSTULER
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Big_data,Lyon,16/10/2019,vjk=13e50a1f1c67a920,vide,stage
Stage - Dév. des traitements de données Big Data F/H,Orange,Lyon (69),vide,"Lyon (69)
Stage
Objectif
En lien avec l'activité Data Science d'Orange Digital for Business qui se développe fortement dans les environnements Big et Fast Data.
Contexte
Au sein du Centre de Compétences DataScience (DS) et encadré(e) par des experts Big Data et des Data Scientists vous aurez la charge de participer à l'établissement de traitement de données en relations avec les problématiques de nos clients.
Descriptif
Les travaux de stage pour but de répondre à des problématiques variées comme l'analyse de parcours clients, la détection d'anomalies ou de fraudes, des problématiques d'analyse de cause d'incidents…. Dans ce cadre vous aurez à développer des traitements de données ou autre algorithmes .
Vous serez amené(e) à travailler en environnement Hadoop / Spark ou Python, sur les étapes :
D'ingestion et le stockage de données sources en « temps réel » ou « quasi reél ».
La structuration, le croisement des données, la définition de KPI ou de« features ».
De développement de « blocs » algorithmiques complexes pouvant intégrer les grandes classes d'algorithmes (forêts aléatoires, régression logistique, classification non supervisée, algorithmes de graph …) ou des algorithmes spécifiques que vous serez en charge de développer.
Technologies
Hadoop, Spark, Python, Java ( idéalement Scala), Bases de Données SQL et NoSQL (Cassandra, MongoDB).
about you
Stage de fin d'étude niveau bac +5 / Master / Ecole d'ingénieur en Big Data ou Data Science avec une forte connotation calcul informatique distribué.
Hard Skills : Connaissances informatiques / data science :
Distribution Hadoop, Spark, Python, Java ( idéalement Scala), Bases de Données SQL et NoSQL (Cassandra, MongoDB).
Statisques et algorithmie : Classification/Régression supervisée et non supervisée, ACP, Séries de Fourier, Séries Temporelles, Distributions Statistiques.
Soft Skills :
Autonomie, proactivité, facilité d'adaptation et qualités relationnelles nécessaires pour évoluerdans le milieu dynamique des ESN.
Capable de formaliser la création de valeur d'une solution algorithmique en réponse à une problématique client.
Maitrise de l'anglais appréciée.
Stage rétribué (environ 1350€ brut/mois) + avantages.
department
Digital & Data
Partenaire de la transformation digitale des entreprises, Orange Digital&Data est l'entité d'Orange Business Services spécialisée dans la conception et le développement de services applicatifs et l'intégration de systèmes.
Implantés dans plusieurs grandes villes françaises comme Paris, Rennes, Lyon, Bordeaux, Lille et Toulouse … nous accompagnons au quotidien près de 20 000 entreprises tout au long du cycle de vie de leurs projets, dans les domaines clés de l'expérience digitale, de la Data Analytics et l’Intelligence Métier.
Pour la 4ème année consécutive, Orange reçoit la certification « Top Employer Global » 2019. Cette certification consacre les meilleures politiques et pratiques en termes de programmes de ressources humaines.
L’innovation est essentielle à votre métier, construisons la ensemble !
contract
Internship
Level : Master 2
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Big_data,Lyon,16/10/2019,vjk=2c1292f233929782,vide,stage
Application Engineer – Big Data Analyst (H/F),Group Trucks Technology,Lyon (69),vide,"Lyon (69)
Introduction
If you think data science is not used at his full potential within our engineering organization, and want to be part of the journey to change the paradigm, this could be a good opportunity for you.
This is us
The PE France/India organization has the full worldwide Product platform responsibility for Medium Duty Engines and Axles. It is as well responsible for the installation of Medium duty powertrains in European Volvo Products and the installation of Medium duty products in Asia through its Bangalore site.
PE France/India is a large organization consisting of roughly 500 passionate employees in Lyon and Bangalore.
Complete Powertrain organization is geared towards our end product and customer satisfaction.
Within Complete Powertrain, Application Data & Product Simulation team covers 3 main topics : Complete powertrain system simulation, Field test follow up and data science application for powertrain specific needs.
In this team you will be responsible to get vehicle application information & knowledge of our final customers and spread it through our Product Development organisation.
Position Summary
In order to perform your mission, you will have to :
Collect and analyze the customers data from logged data
Make market study with focus on volumes, market share, competitors and product usage.
Contribute to the risk assessment in projects & QJ
Define and build road cycles from recording or topography databases for our longitudinal simulation tool.
Deliver duty cycles for projects
anchor more data driven approach witihn the organization
implement data science within unexplored area in powertrain organization
Profil
You are a methodical, curious and dedicated engineer with passion for final product. . You are openminded and enjoy team work but at the same time you are able to work independently and drive development on your own. You are good at networking with other people and like challenges. You most likely have an interest for statistics with successful experience in handling big data.

Qualification
Master Degree in engineering (Mechanical, Electrical, Physics, Mathematics or IT)
Attractiveness for analysis of simulation data, test or statistical
Strong ability to work internationally. English is essential
data science knowledge would be an asset

Did you know? For many years, as a “disability friendly” company, Renault Trucks SAS has been committed to including people with disabilities in our professional environment.
Volvo Group - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,Big_data,Lyon,16/10/2019,vjk=a754d3da9b8010c5,vide,freelance
