Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Ingénieure / Ingénieur Data Analyst,EDF Store & Forecast,Villeurbanne (69),vide,"Villeurbanne (69)
Stage
INGÉNIEURE / INGÉNIEUR DATA ANALYST
| Stage conventionné | Démarrage : début 2020 | Durée : 6 mois | Lieu : Villeurbanne (69)
PRÉSENTATION DE LA SOCIÉTÉ
EDF Store & Forecast, filiale du groupe EDF, développe et commercialise une solution logicielle pour l’optimisation énergétique des systèmes électriques locaux via la prévision et le stockage d’énergie. Nos solutions s’adressent aux producteurs d’énergie et gestionnaires de réseau impliqués dans les EnR et le stockage, ainsi qu’aux clients tertiaires et industriels souhaitant développer leur autoconsommation grâce aux EnR. De l’étude à l’exploitation, la société propose une offre complète : ingénierie, prévisions, fourniture, et maintenance. Notre Système de Management de l’Energie (EMS) fonctionne 24h/24 et de manière totalement autonome dans un système d’information construit dans l’environnement du client.
Depuis sa création en 2014, EDF Store & Forecast a concrétisé des projets en France (Guyane, la Réunion, Mayotte et dans les îles Bretonnes) ainsi qu’au Royaume-Uni et aux Etats-Unis. Fin 2018, les logiciels d’EDF Store & Forecast contrôlent 82 MW d’actifs de production et 95 MW d’actifs de stockage d’énergie sur une dizaine de sites, et devraient doubler de périmètre d’ici fin 2019. La société est basée à Villeurbanne près de Lyon et compte aujourd’hui près d’une trentaine de personnes.
DESCRIPTION DU STAGE
Au sein du Pôle Optimisation, vous participerez à l’analyse des données remontées en temps réel de nos sites en opération. Voici les missions qui vous seront confiées :
Définir les indicateurs de performances / rendements des systèmes de stockage à analyser pour améliorer la précision des études réalisées par le pôle optimisation
Extraire, traiter les données brutes dans cet objectif
Développer les algorithmes d’analyse des données
Rédiger un rapport résumant les résultats obtenus sur les différents projets
PROFIL RECHERCHÉ
Stage de master en mathématiques appliquées, physique ou informatique.
QUALIFICATIONS RECHERCHÉES
Connaissances en Python
Autonome et force de proposition
Esprit d’équipe et envie de travailler de façon collaborative
Bonne capacité de communication, orale et écrite
COMMENT POSTULER ?
Adressez votre Curriculum Vitae et votre lettre de motivation sur la page de notre partenaire de recrutement.
il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Data_analyst,Lyon,14/10/2019,vjk=c01085c3a87fa3f4,vide,stage
Stage 6 mois : Supply chain Data Analyst,bioMerieux,Craponne (69),vide,"Craponne (69)
Intérim, Stage
Acteur mondial dans le domaine du diagnostic in vitro depuis plus de 55 ans, bioMérieux conçoit, développe, produit et commercialise des solutions de diagnostic (systèmes, réactifs, logiciels et services) destinées à des applications cliniques et industrielles, qui déterminent l'origine d'une maladie ou d'une contamination pour améliorer la santé des patients et assurer la sécurité des consommateurs.

bioMérieux est présente dans 43 pays et sert plus de 160 pays avec un large réseau de distributeurs. Son siège social se situe à Marcy l’Etoile, près de Lyon, en France.

Rejoindre les équipes de bioMérieux, c’est choisir une société innovante avec une vision long terme, engagée au service de la santé publique et portée par une culture d’entreprise humaniste.

Nous recherchons des candidats dont la volonté est de s’investir dans des projets d’avenir, de participer à une aventure collective animée par un esprit pionnier.

Nous avons la volonté d'offrir à nos collaborateurs un environnement de travail qui encourage l'esprit d'équipe, avec priorité donnée à la formation et des opportunités de développement de carrière à l'international.

Notre Groupe offre de nombreuses perspectives d’évolution : rejoignez les 11 200 collaborateurs de bioMérieux qui se sont déjà reconnus dans ces valeurs !

Sous la responsabilité du Project Management Officer, au sein de l’équipe Supply Performance, vous aurez les responsabilités suivantes :
1. Activités opérationnelles
- Suivre les indicateurs de Performance (KPI - Key Performance Indicators) de la Supply chain du groupe via l’élaboration de reporting quotidiens, hebdomadaires et mensuels
- Analyser les écarts et mettre en place des plans d’actions associés auprès des différents départements de la Supply Chain (Transports, Entrepôts, Administration des ventes, Planning) et à tous les niveaux de l’entreprise (local, régional et global)
- Concevoir et mettre en place des outils d’évaluation de la performance opérationnelle pour l’optimisation continue des process
- Réaliser des études diverses en fonction des besoins : Data crunching, analyse de données
- Participer à l'élaboration de nouveaux KPIs

2. Activités Projet
Participation à l’élaboration du nouvel outil de suivi et d’analyse de la performance Supply Chain.
Le projet est réalisé en méthodologie agile. Il consiste à la mise en place d’un nouveau modèle de données et à la mise en place de rapports Standards dans l’outil de reporting Tableau Software.
Vos activités seront:
- La Création et la mise à disposition de rapports standards
o Développer des rapports standards dans l’outil Tableau Software
o Mettre en place la sécurité associée à chaque rapport
o Documenter les rapports
o Référencer l’ensemble des rapports dans une base de données
- La prise en charge de l’arrêt définitif de l’ancien outil de reporting Cognos
o Référencer l’ensemble des rapports et s’assurer que ceux-ci sont couverts par le nouvel outil
o Répertorier l’ensemble des utilisateurs et gérer leur transfert vers le nouvel outil
o Communiquer à l’ensemble des utilisateurs sur le changement d’outil et les écarts associés.

Ce stage vous donnera une visibilité complète sur les différents processus Supply Chain du client jusqu’au fournisseur et des outils de mesure de la performance associés
Vous serez au contact de plus de 200 collaborateurs Supply Chain répartis à travers le monde entier pour consolider l’ensemble des explications de la performance du département Supply Chain.
Avec votre participation au projet, vous pourrez découvrir de façon détaillée l’ensemble des processus métiers de la Supply Chain ainsi que les bonnes pratiques agiles


Qualifications

Bac + 4 à Bac + 5
Elève en 3ème année de Grande Ecole d'ingénieur / Master en Supply Chain ou en Informatique avec un fort aspect métier
Vous faites preuve de curiosité et d'esprit de synthèse, ainsi que d'une capacité d'écoute et de travail en groupe.
Vous êtes d’un naturel dynamique et motivé, vous savez être autonome, polyvalent et force de proposition dans votre travail. Vous êtes rigoureux et faites preuve d’une forte capacité d’anticipation, de priorisation et d’organisation.
Expérience et/ou forte motivation pour développer l'usage d'outils de reporting et d’analyse
Maitrise des outils bureautiques type Microsoft Office (particulièrement Excel) et de l’outil Tableau Software. La connaissance de l’outil SAP est un plus.
Maitrise de l'anglais à l'oral comme à l'écrit.
Lieu principal
: EMEA-EMEA-FR-Auvergne-Craponne
Publication d'offre
: 8 oct. 2019, 03:47:33
Equipe
: Equipe de jour
Type de contrat
: Temporaire
Déplacements
: Non
il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Data_analyst,Lyon,14/10/2019,vjk=8d395956a62982b6,vide,stage
Data Analyste Brésil H/F,MISTER AUTO,Villeurbanne (69),vide,"Villeurbanne (69)
Mister-Auto, leader européen de vente de pièces auto sur internet, est aujourd’hui présente en France mais également à l’international. Filiale du groupe PSA, elle emploie actuellement plus de 200 personnes.

Dans le cadre de son fort développement et du renforcement de l’équipe Marketing Produit, nous recherchons un Data Analyste Brésil H/F

Au sein de l’équipe marketing produit, le data analyste travaille en coordination avec les chefs de produits pour alimenter et maintenir le catalogue Mister-Auto, tous pays tous produits. Il contribue par ses analyses et celles menées au sein de son équipe aux briefs fonctionnels faits à l’IT. Il ou elle assure la conformité des développements à ces mêmes briefs.

Dans le cadre de ce poste, le data analyste se spécialise en matière de référentiel pour la géographie LATAM avec un intérêt particulier pour le Brésil.

Vous serez amené à prendre en charge :
Analyses détaillées des données
Rédaction des besoins fonctionnels des référentielles pièces et véhicules
Consolidation de données catalogue pièces détachées, structuration, enrichissement, homogénéisation par des règles métier
Amélioration de la base de données pièces et de ses applications envers toutes les parties prenantes internes et externes
Evolution des rapports BI pour permettre aux chefs de produits d’avoir une vision cohérente sur la performance des produits
Définition de la stratégie de gestion du cycle de vie produit
Mise en place et suivi opérationnel des plans de segmentation de la gamme par produit et par pays ainsi que des caractéristiques produits et des valeurs associées
Garantir un niveau de fiabilité constant des données et de leurs mises à jour
Participer aux différentes études de coûts et d’opportunité
Développer une expertise inégalée en connaissance des pièces et leurs caractéristiques d’identification
De formations supérieures, minimum Bac+3, vous justifiez d'une expérience professionnelle de minimum 2 ans sur un poste similaire (data analyste ou chargé d’étude quantitative).
Vous avez un excellent niveau de portugais ou brésilien courant tant à l’oral qu’à l’écrit.

Pré-requis :
Formation mathématique, statistiques, méthodes quantitatives ou data science
Connaissance en gestion de base de données
Bon niveau d’anglais courant tant à l’oral qu’à l’écrit
Connaissance native du portugais (ou brésilien)
Serait également souhaité :
Familier des outils et du langage informatique (SQL, un must) et des outils de web analytics (un plus)
Connaissance du marché automobile (pièce et véhicule un plus)
Vous êtes rigoureux (se), autonome, organisé(e), vous avez une bonne capacité d'analyse, de synthèse et d'adaptation. Vous savez travailler en équipe et être efficace pour évaluer les risques et les opportunités.

Force de proposition et réactif (ve) , vous recherchez une structure vous permettant d'y exprimer tout votre potentiel et à laquelle vous pourrez apporter vos idées et vos compétences.

Poste en Contrat à durée Indéterminée à pourvoir au plus tôt

Lieu de travail : Villeurbanne La Soie

Salaire : selon expérience + avantages (TR, restaurant d’entreprise, parking, CE)
il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",02/10/2019,Data_analyst,Lyon,14/10/2019,vjk=ae8882fcf394af66,vide,vide
Data Analyst F/H,Intitek,Lyon (69),vide,"Lyon (69)
CDI
Quoi de plus stimulant que de participer aux innovations du véhicule de demain, de l’avion sans pilote, de l’ingénierie optique ou de l’industrie spatiale ? Intitek for Industry développe des approches et des solutions exclusives dans les domaines du transport, de la défense, du biomédical ou de l’aéronautique.
Poste
Intégré(e) au sein d'une équipe de Data analystes de note client, nous recherchons un Data analyst pour une nouvelle étude. Dans le cadre de cette étude, il sera question d'analyser les données issues des outils du client de gestion de flotte afin de produire des profils de vitesse sur différents types de route.
Pour cela vos missions seront d'effectuer :
L'étude de Dataset de données de gestion de flotte ainsi que les variante de chaque véhicule
Le reverse geocoding ou map matching afin d'ajouter des informations essentielles comme le type de route
La visualisation et l'exploration des données
Statistiques descriptives
Dashboard
L'étude des tendances et des facteurs y contribuant
Profil recherché
De formation informatique vous disposez de fortes compétences sur : Big Data Outils de reverse geocoding ( ex: ArcGIS, OSM ...)Environnement sous AZURE Databricks et Jupyter Python Anglais obligatoireN'hésitez plus et devenez un Happy Digital Member en nous envoyant votre candidature !
il y a 19 jours
- Continuer pour postuler
Signaler cette offre d'emploi",25/09/2019,Data_analyst,Lyon,14/10/2019,vjk=234f1d03a8f0e93d,vide,cdi
Data Analyst H/F,CLASQUIN,Lyon 6e (69),vide,"Lyon 6e (69)
Temps plein, CDD
PASSION, ESPRIT ENTREPREUNARIAL, FIABILITE, PRO-ACTIVITE, PRECISION
Travailler dans une ETI multinationale du freight forwarding, à la stratégie claire et en croissance à 2 chiffres depuis 20 ans vous attire ?
Vous êtes fiable, reconnu(e) pour votre esprit d’analyse et votre rigueur ?
Vous êtes en phase avec notre motto : The Clients, Profit & Fun Company ?
Alors rejoignez CLASQUIN en tant que Data Analyst (H/F) !
David, notre Responsable Supply Chain Management vous attend pour :
Collecter, manipuler et analyser des données complexes
Rechercher des données externes (démographiques, professionnelles, géographiques, distancielles…)
Réaliser des études, des états des lieux, et des analyses
Evaluer les risques potentiels et les sources de performance
Rédiger des supports de workshop et comités de pilotage…
Des critères pour ce poste : basé au siège social à Lyon, CDD de 9 mois, maîtrise d’Excel indispensable, anglais courant. La connaissance de Power Bi et SAP sont un plus.
il y a 18 jours
Signaler cette offre d'emploi",26/09/2019,Data_analyst,Lyon,14/10/2019,vjk=14c7fbd31c0b3f70,vide,cdd
Data Analyst F/H,1993,Vénissieux (69),vide,"Vénissieux (69)
CDI
Quoi de plus stimulant que de participer aux innovations du véhicule de demain, de l’avion sans pilote, de l’ingénierie optique ou de l’industrie spatiale ? Intitek for Industry développe des approches et des solutions exclusives dans les domaines du transport, de la défense, du biomédical ou de l’aéronautique.

Intégré(e) au sein d'une équipe de Data analystes de note client, nous recherchons un Data analyst pour une nouvelle étude. Dans le cadre de cette étude, il sera question d'analyser les données issues des outils du client de gestion de flotte afin de produire des profils de vitesse sur différents types de route.

Pour cela vos missions seront d'effectuer :
L'étude de Dataset de données de gestion de flotte ainsi que les variante de chaque véhicule

Le reverse geocoding ou map matching afin d'ajouter des informations essentielles comme le type de route

La visualisation et l'exploration des données

Statistiques descriptives

Dashboard

L'étude des tendances et des facteurs y contribuant
Profil recherché De formation informatique vous disposez de fortes compétences sur :

Big Data

Outils de reverse geocoding ( ex: ArcGIS, OSM ...)

Environnement sous AZURE Databricks et Jupyter

Python

Anglais obligatoire

N'hésitez plus et devenez un Happy Digital Member en nous envoyant votre candidature !
Entreprise « C’est en repoussant les limites du progrès et de l’innovation que les projets les plus fous finissent par se réaliser !»

Avec plus de 700 collaborateurs en France et dans ses filiales au Canada, aux USA, en Chine, en Pologne et en Espagne, le groupe Intitek conseille et accompagne ses clients dans leur transformation digitale autour de 3 branches métiers :

Intitek for Industry : Transport, santé, télécommunication, industrie militaire...

Intitek for Manufacturing : Conception, outils, tests

Intitek for People : Sites web, applications, objets connectés

Le groupe Intitek réunit de multiples ressources et talents dont le quotidien consiste à repousser les limites du possible et développer des solutions numériques qui profitent à tous. Celles et ceux qui osent sont encouragés à libérer leur créativité afin de servir les desseins les plus ambitieux.

Rejoignez vous aussi le Happy Digital World !
Apec.fr - il y a 19 jours
- Continuer pour postuler
Signaler cette offre d'emploi",25/09/2019,Data_analyst,Lyon,14/10/2019,vjk=3222874eb44244ae,vide,cdi
DATA ANALYST,Adsearch,Limonest (69),vide,"Limonest (69)
Le cabinet Adsearch IT recrute pour un de ses clients basé dans l'ouest Lyonnais un DATA ANALYST SENIOR (h/f)
Spécialiste de la DATA, vous intégrez une nouvelle équipe afin d'accompagner des entreprises et les marques sur toutes les étapes du parcours client.
Vos missions:
Réalisation d'études ad hoc sur les comportements clients.
Mettre en œuvre les leviers statistiques décisionnels pour la conduite et l’analyse des programmes de marketing relationnels et de stimulation des acteurs de ventes.
Etre force de conseil, proposer et présenter des restitutions chiffrées, synthétiques et efficaces.

Nous recherchons une personne ayant un réel esprit d'équipe, vous êtes rigoureux et pédagogue.
Vous maîtrisez parfaitement le langage SQL et l’un des principaux logiciels statistiques (SAS, R, Spark, …)
Vous avez entre 5 et 8 années d'expérience
Diplômé(e) d’une formation (BAC +5) statistiques, base de données, informatique décisionnelle
il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",26/09/2019,Data_analyst,Lyon,14/10/2019,vjk=54a9514019d43c7e,vide,vide
Stage Data Analyst F/H,Vinci Concessions,Lyon (69),vide,"Lyon (69)
Stage
Aéroports de Lyon pilote l’exploitation de Lyon–Saint Exupéry, 2ème aéroport régional français pour l’aviation commerciale et Lyon–Bron 3ème aéroport français pour l’aviation d’affaires. Premier aéroport du Groupe VINCI Airports en France avec 10,3 millions de passagers en 2017, Lyon-Saint Exupéry, propose 128 destinations directes dont 40 nouvelles lignes lancées en deux ans, et est connecté aux principaux hubs internationaux.
Dans le cadre de son développement opérationnel, l’aéroport de Lyon gère des flux de données croissants chaque année. Cela implique une maitrise complète des données opérationnelles en vue de piloter les processus avions, bagages, passagers en temps réel et différé dans le cadre de sa conduite des opérations.
Le/la stagiaire se verra confier les missions suivantes :
Participer au référencement des data opérationnelles, élaborer un dictionnaire des datas liées aux opérations aéroportuaires ;
Participer au référencement des KPI existants, créer des nouveaux indicateurs en réponse aux besoins croissants ;
Participer à la création des rapports spécialisés à partir des datamarts métiers : PHMR, PARCOURS PAX, SMILEY BOX, BHS, CCOLYS, SÛRETÉ, TRAFIC…
Participer à la création des rapports croisés avec les autres métiers ADL : parking, commerces…
Participer au développement des rapports mensuels opérationnels automatisés.
Archiver automatiquement l’ensemble des rapports générés.

Profil :
Bac+4/5 : Ecole de commerce/statistique/informatique ou équivalent, avec une orientation analyse des données / statistiques/big data.
Compréhension des attentes métiers
Capacité d’analyse et de synthèse
Qualité rédactionnelle et de présentation
Maîtrise d’Excel et du Pack Office Microsoft
Connaissance des méthodologies d’analyses statistiques
Connaissance de Business Objects ou autre outil de business intelligence
Gratification de stage selon profil
Remboursement des abonnements transports en commun ou indemnité kilométrique, titres restaurant.

Entité de rattachement :
VINCI Concessions est un acteur international des concessions d'infrastructures de transport, engagé pour une croissance durable et partagée avec les territoires et les communautés. Nous concrétisons avec succès le potentiel du partenariat public-privé dans 21 pays, grâce à notre modèle intégré concessionnaire-constructeur et notre expertise en conception, financement, maîtrise d'ouvrage et exploitation-maintenance d'infrastructures de mobilité. Assurer une expérience positive à nos 2 millions clients par jour est l'objectif premier de nos 20 000 collaborateurs à travers le monde. VINCI Concessions réunit VINCI Airports - le premier opérateur privé mondial de la gestion aéroportuaire, VINCI Highways – un leader de la mobilité routière avec 3.564 km gérés dans 14 pays et VINCI Railways – pionner de la concession ferroviaire.
VINCI - il y a 26 jours
- Continuer pour postuler
Signaler cette offre d'emploi",18/09/2019,Data_analyst,Lyon,14/10/2019,vjk=4488d6dc818b1453,vide,stage
Ingénieur Data Analyst H/F,SEGULA Technologies,Saint-Priest (69),vide,"Saint-Priest (69)
CDI
Nous accompagnons notre client sur un projet dans le secteur du véhicule industriel, aussi nous recherchons un Ingénieur dans le domaine de l'analyse de données.
Il s'agit d'analyser les données venant des outils de gestion de flotte afin d'en tirer des profils de vitesse sur différents types de routes en Europe, dans le but de connaître les habitudes des clients.
Vous partez des données de gestion de flotte, ajoutez des informations comme le type de route, visualisez et explorez les données, sortez des statistiques, le dashboard, et une étude des tendances et facteurs.
.
Profil
De formation Ingénieur Bac+5 en Informatique avec un option Big Data,, vous justifiez d'une première expérience sur un poste similaire.
Vous maîtrisez idéalement les outils de reverse geocoding, et Python, environnement sous AZURE Databricks et Jupyter.
Vous faites preuve de créativité, d'autonomie, d'esprit d'initiative et de sens relationnel.
Vous parlez couramment anglais.
Vous souhaitez évoluer au sein d'équipes projets pluridisciplinaires, rejoignez- nous
Secteur d'activité
Vehicules Industriels
Localisation du poste
Localisation du poste
Europe, France, Rhone-Alpes, Rhône (69)
Ville
Saint-Priest
Critères candidat
Diplôme
BAC+5 et +
Niveau d'expérience min. requis
3 à 5 ans
Langues
Anglais (Bilingue)
il y a 25 jours
- Continuer pour postuler
Signaler cette offre d'emploi",19/09/2019,Data_analyst,Lyon,14/10/2019,vjk=3f14bfb7a00b081b,vide,cdi
Data Analyst,digiRocks,Lyon (69),40 000 € - 50 000 € par an,"Lyon (69)
40 000 € - 50 000 € par an
La Data, c’est ton truc à toi ? Piloter la donnée d’un Pure Player en hypercroissance t’intéresse ?
Rejoins un Pure Player ecommerce Français de 20 pers, leader de son secteur et respectueux de l’environnement !
digiRocks recherche pour son client un(e) Data Analyst #SaintEtienne #Lyon (CDI)
2 ans d'expérience Data • Bonne connaissance du cycle de vie produit • Connaissance de Tableau appréciée
✅MISSION : Définir une stratégie de données cohérente qui permette de suivre avec précision le cycle de vie produit et la gestion des stocks

✅RESULTATS attendus :
Structurer et assurer la cohérence des données venant de l’analytics, matching des Informations fournisseurs dans l’ERP pour assurer la bonne attribution des produits, Adwords, Zendesk et du site-ecommerce
Automatiser le traitement de la donnée et des process
Délivrer de la Dataviz pour aider la prise de décision (un dashboard opérationnel par service et un dashboard de performance pour la direction)

Analyser et présenter les résultats aux services (supply, approvisionnement, logistique, sales, techniques, SAV, marketing digital, direction)

Tu travailles en synergie avec les services pour avoir une vision transverse de l’entreprise (logistique, stock, …) Tu as des connaissances en finance et en informatique. Tu es rigoureux(se), bon communicant(e) et tu sais te remettre en question. Les outils de Data Viz sont ton quotidien ! Sortir de ta zone de confort et porter de nouveaux projets en lien étroit avec la Direction ne te fait pas peur ! Tu arrives sur une création de poste et ton N+1 est le co-fondateur. Les locaux sont basés à 20 mn de St Etienne et à Lyon d’ici Avril 2020
Postule en 2 mn ⤵ pour avoir chaud tout l’hiver
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/09/2019,Data_analyst,Lyon,14/10/2019,vjk=6045864654c730a2,vide,cdi
