Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
STAGE 2A: Pricing et Data Science en Santé/Prévoyance,ADDACTIS,Lyon (69),vide,"Lyon (69)
Stage
VOS MISSIONS
Au sein de la Practice « Pricing & Data » du pôle Life & Health, vous travaillerez sur différents sujets appliqués au domaine de la tarification des contrats (santé, prévoyance, emprunteur…) et de la modélisation des comportements des assurés.
La donnée, son traitement et sa mise en valeur sont des éléments incontournables qui seront au cœur de vos missions.
En particulier, vous aurez l’opportunité d’approfondir les sujets suivants :
Participation aux travaux de mise en valeur de la connaissance des portefeuilles clients ou des profils de consommation, de détection des signaux pour la modélisation des comportements des clients
Participation aux études R&D en lien avec les perspectives de l’activité en santé et prévoyance

VOTRE PROFIL
Vous êtes:
Etudiant(e) en deuxième année (Master 1) d’une formation en Actuariat.
Fortement intéressé(e) par les méthodes de Data Science et les techniques de Machine Learning.
A l’aise avec les outils informatiques, avec une appétence pour la programmation (Python et/ou de R).
Dans l’idéal, vous maîtrisez également certains outils associés à la gestion de bases de données (SAS, Access, SQL).

MODALITES PRATIQUES
Le stage aura lieu dans nos bureaux de Lyon.
Le format envisagé est un stage de 3 mois suivi d’une alternance en 3ème année. Pour postuler, envoyez-nous votre candidature à l’attention d’Alexandra BARRAL à l’adresse suivante : recruitment@addactis.com
il y a 13 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_scientist,Lyon,16/10/2019,vjk=f80e9aca8a946e29,vide,stage
Data Scientist – Sport Events,"Lab DISP, INSA Lyon",Lyon (69),vide,"Lyon (69)
CDD
Data Scientist – Sport Events
Réf ABG-87967
Stage master 2 / Ingénieur
Durée 6 mois
Salaire net mensuel Indemnité de stage.

15/10/2019

Lab DISP, INSA Lyon
Lieu de travail
Lyon, Saint-Etienne Auvergne-Rhône-Alpes France
Champs scientifiques
Mathématiques
Informatique
Établissement recruteur
Site web :
http://disp-lab.fr
Il s'agit une collaboration de plusieurs équipes de recherche avec la société Logever:
Le laboratoire Health Services and Performance Research (HESPER) - UCB Lyon1
Le laboratoire Décision et Information pour les Systèmes de Production (DISP) - INSA Lyon
Le Centre Ingénierie et Santé - École des Mines de Saint-Étienne (CIS)
Description
Expert de la coordination médicale sur des événements sportifs (Marathon de Paris, UTMB, IRONMAN etc.) et des sites tertiaires (Aéroport de Marseille, Lyon Eurexpo), la société logever healthcare monitore les prises en charge médicales de 500 000
sportifs et 10 millions de visiteurs de sites tertiaires par an.
L’ensemble de ses données sont collectées depuis 2011 dans une base de donnée unique conforme aux standards de l’Organisation Mondiale de la Santé sur les rassemblement de masse. Cette base est l’une des plus importantes dans son domaine à l’échelle mondiale.


MISSION:
Votre mission consistera à exploiter ces données afin de poursuivre le modèle prédictif d’accidentologie débuté en 2019.
Déplacements sur événements sportifs pour participer au déploiement logiciel à prévoir.
Evolution en thèse Cifre envisagée selon le succès du stage.
Stage 4 à 6 mois basé à Lyon. Indemnité de stage.
Début de stage: 1er Février 2020.
Profil
Master 2 Ecole d’ingénieur & Grandes Universités en Informatique, Mathématiques Appliqués et Statistiques.
Programmation, Machine learning, Deep learning.
Prise de fonction
Dès que possible
L'Intelli'agence - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_scientist,Lyon,16/10/2019,vjk=6e71ecdd5223682e,vide,cdd
OFFRE DE STAGE (H/F) : MACHINE LEARNING - DATA SCIENTIST,ADTHINK,Lyon (69),vide,"Lyon (69)
Stage
Tu penses que l’AI c’est le futur?
Tu aimes les challenges techniques ?
Tu aimes travailler en équipe ?
Tu souhaites travailler sur un projet d’envergure internationale?

Rejoins-nous. On t’attend.

Rejoindre Adthink

La Start-up Comparo, intégrée à Adthink, édite et monétise des sites webs sur 15 pays différents. Nous avons une croissance de près de 10% par mois. La data est au coeur de notre métier.

Mettre en place du machine learning est un enjeux stratégique qui aidera notre croissance sur le long terme.

Tu rejoindras une équipe de 6 personnes super sympas.

Nous sommes situés dans la verdure, à Tassin-la-Demi-Lune, à 15 minutes du centre de Lyon.

Tes missions

L’objectif principal est de mettre en place du machine learning pour aider à la fois à la monétisation et à l'acquisition de trafic.

Durant ton stage nous utiliserons les modèles que tu auras développé afin de remplacer notre méthodologie actuelle.

Tu travailleras aussi sur la BI : améliorer nos indicateurs clés de croissance.

Profil recherché

Formation souhaitée: Bac + ⅘ ecole d’ingénieur ou formation universitaire.

Tu as déjà une expérience en machine learning (ou tu as vraiment très envie de devenir un/e crack dans ce domaine).

Tu es très à l’aise avec les chiffres (proba, stat, modélisation, etc…).
La connaissance de Python, PHP tenserflow , SQL, R est un plus

Modalités
Ce stage est à pourvoir à Tassin-la-Demi-Lune (Lyon Ouest) pour une durée de 6 mois.
Gratification de stage à établir en fonction du profil.
Tickets restaurant et prise en charge des tes frais de transport à hauteur de 50 %.

Pour nous rejoindre, envoi ton CV et LM à l’adresse recrutement@adthink.com, à l’attention de Sophie Marois, chargée de missions Ressources Humaines.
MediaComPub - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_scientist,Lyon,16/10/2019,vjk=09dd4c0592cfa7b2,vide,stage
R&D: Machine Learning pour la santé (F/H) en Stage,Atos,Lyon (69),vide,"Lyon (69)
Stage
About Worldline
Worldline [Euronext: WLN] is the European leader in the payment and transactional services industry. With innovation at the core of its DNA, Worldline’s core offerings include pan-European and domestic Commercial Acquiring for physical or online businesses, secured payment transaction processing for banks and financial institutions, as well as transactional services in e-Ticketing and for local and central public agencies. Thanks to a presence in 30+ countries, Worldline is the payment partner of choice for merchants, banks, public transport operators, government agencies and industrial companies, delivering cutting-edge digital services. Worldline’s activities are organized around three axes: Merchant Services, Financial Services including equensWorldline and Mobility & e-Transactional Services. Worldline employs circa 11,000 people worldwide, with estimated pro forma revenue of circa 2.3 billion euros on a yearly basis. worldline.com
Contexte du stage
Grâce aux avancées récentes et à l'explosion des techniques du Big Data, de l’apprentissage automatique et de la robotique, l'Intelligence Artificielle (IA) ouvre de nouveaux horizons d’applications industrielles. Les équipes de Recherche & Développement de Worldline mènent de forts investissements dans ces directions pour déployer des technologies innovantes au sein de nos services hébergés.

Le projet
En collaboration avec des experts et ingénieurs de l’unité, l’objectif du stagiaire sera de créer des modèles d’apprentissage automatique et de les appliquer à plusieurs défis ouverts actuels en traitement d’imagerie médicale (par exemple, la détection du cancer du sein, de maladies oculaires, etc…). Il/elle entrainera des modèles de deep learning issues de la littérature récente, proposera ses propres améliorations des modèles et confrontera ses résultats aux jeux de données et bancs d’expérience publics. Pendant sa mission, le stagiaire sera supervisé par des data scientists et chercheurs de l'équipe et pourra ainsi bénéficier de leur expertise. Il/elle sera amené(e) à communiquer sur ses résultats et à produire des démonstrateurs/prototype de son travail.
Le stagiaire aura l’occasion de travailler sur les dernières technologies de CPU / GPU à usage général disponibles sur nos serveurs de calcul intensif.

A la fin du stage vous aurez appris à
Monter en compétence ou parfaire vos connaissances sur l’Intelligence artificielle, la Data Science, le Machine Learning.
Maitriser des technologies (par exemple la vision par ordinateur) qui sont très recherchées et applicables dans de nombreux domaines industriels.
Programmer avec les technologies et librairies à la pointe pour le cas d’usage ciblé.
Collaborer avec des chercheurs et des ingénieurs R&D dans l’objectif de défricher un nouveau domaine exploratoire.
Profil
BAC + 5, passionné et motivé par l'apprentissage automatique et l'informatique, vous n'avez pas peur de travailler avec plusieurs langages et en particulier Python. Vous connaissez bien différents frameworks d'algorithmes d'apprentissage automatique (Scikit Learn, Tensorflow, Keras, Pytorch). Vous aimez implémenter des interfaces graphiques et des algorithmes efficaces.

Vous aimez travailler en équipe mais vous savez aussi être efficace en autonomie. Vous avez des facilités en communication orale et écrite.

Vous cherchez un environnement exigeant pour relever de nouveaux challenges et exprimer votre potentiel.
Why work at Worldline?
Our success comes from strong skills, new ideas, diverse points of view and the energy of all women and men from Worldline. Not only do they represent our Human Capital, they are also key players in our success. We make managing our talents a major asset in the success of our business.
At Worldline, we do more than just managing our talents. It is our top priority to involve them, inspire them, and develop them. In line with our guiding principle “Build your career and grow with us”, it is our mission to ensure that their potential can grow and flourish through the numerous development programs and career opportunities we offer.
Your Application
If you wish to apply for this position, please click below to complete our online application form and attach your CV in either Word, rtf or text format.
Worldline is an equal opportunity employer. All applicants will be considered for employment without attention to their race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. Our recruitment decisions are based solely on qualifications, skills, knowledge and experience and relevant business requirements.
We are committed to making reasonable adjustments to the applications process for people with disabilities.
il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Data_scientist,Lyon,16/10/2019,vjk=0a2387998ffba735,vide,stage
Data Scientist F/H,ANDRICE,Lyon 2e (69),vide,"Lyon 2e (69)
CDI
Intégré(e) à une équipe dynamique, vos missions seront les suivantes :

Créer des algorithmes poussés en

Python

et/ou R.

Réaliser des modélisations à partir de données (scoring, modèles prédictifs, études statistiques ad hoc, etc.)

Travailler en collaboration avec une équipe de Data Engineers/Architects Big Data lors de l’industrialisation des scripts

Exploiter la data dans un but de création de prototypes et modèles à valeur ajoutée (modèles prédictifs, machines learning…)
Profil recherché Vous pouvez être sûr que vous êtes

THE ONE

, si vous:
êtes issus d’un cursus mathématiques : algèbre/statistique

maîtrisez les langages de programmation

Python

, R et êtes familier avec les différentes bibliothèques Python/Scikit-Learn, Panda, Numpy, etc.

possédez de bonnes connaissances Java et/ou Scala et une appétence pour le Big Data (Spark, Hadoop, Kafka, MapR, Clusters AWS/Azure, …)

êtes habitué aux environnements composés de sources de données complexes

savez travailler en toute autonomie et êtes capable de vous adapter à un nouvel environnement technique/fonctionnel rapidement.

êtes passionné par la Data et la technologie et assurez constamment une veille technologique

possédez au moins 3 ans d’expérience sur un poste similaire

êtes issu d’une formation Bac +5 école d'ingénieur avec une

spécialité en mathématiques/informatique

Vous cochez toutes les cases ? N’hésitez plus et venez rejoindre la Team

ANDRICE

!

Poste ouvert à compétences égales aux travailleurs en situation de handicap.
Entreprise Société de conseil et d’expertise technique en ingénierie,

ANDRICE

axe sa stratégie sur le bien-être et l’épanouissement de ses salariés. En pleine croissance depuis sa création, l’entreprise ambitionne d’être un acteur majeur du recrutement d'ingénieurs et de techniciens qualifiés en France et dans le monde.

Dans le cadre de notre forte dynamique de croissance, nous recherchons notre

Data Scientist F/H

pour un poste en CDI basé dans la région lyonnaise.
Apec.fr - il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,Data_scientist,Lyon,16/10/2019,vjk=72d0983ad7d69e87,vide,cdi
Doctorant F/H Scaling the solving of Ordinary Differential E...,Inria,Lyon (69),1 982 € par mois,"Lyon (69)
1 982 € par mois
Type de contrat : CDD de la fonction publique
Niveau de diplôme exigé : Bac + 5 ou équivalent
Fonction : Doctorant
A propos du centre ou de la direction fonctionnelle
Le centre de recherche Inria Grenoble Rhône-Alpes regroupe un peu moins de 800 personnes réparties au sein de 39 équipes de recherche et 8 services support à la recherche.

Son effectif est distribué sur 5 campus à Grenoble et à Lyon, en lien étroit avec les laboratoires et les établissements de recherche et d'enseignement supérieur de Grenoble et Lyon, mais aussi avec les acteurs économiques de ces territoires.

Présent dans les domaines du logiciel, du calcul haute performance, de l'internet des objets, de l'image et des données, mais aussi de la simulation en océanographie et en biologie, il participe au meilleur niveau à la vie scientifique internationale par les résultats obtenus et les collaborations tant en Europe que dans le reste du monde.
Résumé

En biologie, la grande majorité des systèmes peut être modélisée sous la forme d'équations différentielles ordinaires (ODE). Modéliser plus finement des objets biologiques mène à augmenter le nombre d'équations. Simuler des systèmes toujours plus grands mène également à augmenter le nombre d'équations. Par conséquent, nous observons une explosion de la taille des systèmes d'ODE à résoudre. Un verrou majeur est la limitation des logiciels de résolutions numériques d'ODE (solveur ODE) à quelques milliers d'équations à cause de temps de calcul prohibitif. L'AEx ExODE s'attaque à ce verrou via 1) l'introduction de nouvelles méthodes numériques qui tireront parti de la précision mixte qui mélange plusieurs précisions de nombre flottant au sein d'un schéma de calcul, 2) l'adaptation de ces nouvelles méthodes pour des machines de calcul de prochaines générations qui sont fortement hiérarchiques et hétérogénes et composées d'un grand nombre de CPUs et GPUs. Depuis un an, une nouvelle approche du Deep Learning se propose de remplacer les Recurrent Neural Network (RNN) par des systèmes d'ODE. Les méthodes numériques et parallèles d'ExODE seront évalué et adapté dans ce cadre afin de permettre l'amélioration de la performance et de l'exactitude de ces nouvelles approches.

Description de la thèse

Les équations différentielles ordinaires (EDO) sont un formalisme de modélisation majeur en biologie (voir ci-dessous pour plus de détails). Ces exemples se traduisent souvent en des systèmes de N équations fortement connectées, ce qui donne des temps ce calcul en O(N2) :
y0(t) = f (t, y(t)), t > 0, y(0) = y0, y(t) RN , f : R × RN RN .

Ces modèles sont souvent limités à quelques milliers d'équations à cause des temps de calcul et de l'utilisation mémoire nécessaire pour leur résolution. La capacité des logiciels de résolution d'EDO (solveur EDO) à résoudre dans un temps raisonnable devient critique de part le besoin de passage à l'échelle i.e. une augmentation importante de la taille des systèmes modélisés : 100 à 1000 fois plus d'équations (soit une augmentation de la complexité de 104 à 106 ).

Les solveurs EDO ont des caractéristiques de précisions et de stabilité. Un schéma peut être stable, mais pas précis (par exemple Euler implicite) ou précis mais pas stable (Runge-Kutta d'ordre élevés). Pour les applications biologiques envisagées, le critère de stabilité est plus important que la précision, ce qui tendrait à utiliser des schémas d'ordres peu élevés.
Afin de rendre toujours plus performante l'utilisation de l'apprentissage profond, la précision mixte ainsi que des schémas de calcul les utilisant (e.g. convolution) ont été introduites dans les architectures matérielles depuis plusieurs années e.g., Intel VNNI, Intel Nervana, NVidia Tensor-Core, Google TPU. L'idée de la précision mixte est de combiner l'utilisation de demi-précision (16 bits) et de simple précision (32 bits) afin de réduire l'utilisation mémoire et augmenter la densité de calcul. Si le matériel a été développé pour l'apprentissage profond classique, l'utilisation de précision mixte est aussi considérée en algèbre linéaire [12, 4] ou pour la résolution de problèmes linéaires qui surviennent dans la discrétisation d'équations au dérivée partielles [2]. L'impact de la précision sur le temps de calcul et la stabilité des résultats a été étudié dans le cadre des ODEs [13]. Mais ces études pour des méthodes mélangeant plusieurs précisions n'ont été faite que pour des méthode d'ordre élevé et des tailles de systèmes relativement petites [11].
Bien entendu, le passage en précision mixte peut limiter la précision des solveurs EDO actuels, et possiblement induire des instabilités numériques. Cependant, les chercheurs utilisent en pratique les paramètres par défaut des logiciels de résolution d'EDO, avec des précisions de l'ordre de 3 à 6 décimales (par exemple les packages deSolve de R ou scipy.integrate.ode en python se basent sur ODEPACK [6]). Avec des flottants en semi-précision, qui ont 3-4 décimales de précision, cette précision est largement atteignable. Les méthodes prédicteur-correcteur sont bien adaptées aux calculs en précision mixte, avec le calcul d'une prédiction réduite et de la correction en précision étendue. Il sera aussi utile tester ces méthodes en précision réduite lorsque l'on ne s'intéressera qu'aux propriétés statistiques des solutions. De plus, un des aspects exploratoires de cette thèse est de mélanger plusieurs précisions au sein même d'un calcul (e.g. entrées en demi-précision et accumulateur en précision simple) afin de limiter le recours à des méthodes trop coûteuse de prédiction-correction.

Afin d'exploiter au maximum les ressources des plate-formes de calcul, il est nécessaire de prendre en compte la parallélisation des solveurs d'ODE. C'est un domaine étudié depuis de nombreuses années [15, 7], il existe 3 grands axes de parallélisation : méthode, temps et système. La plupart des approches se sont focalisés sur les 2 premiers car ils s'appliquent à des systèmes de relativement petite taille. Les systèmes que nous considérons sont de grande taille et donc permettent d'exposer suffisamment de parallélisme au niveau système. Par conséquence, les méthodes d'optimisation d'EDO tel que la transformation de boucle [14, 10] ne sont donc pas pertinentes dans notre cas. Il est à noter que les différentes précisions, méthodes de résolution, de corrections et de parallélisme amènent des compromis performance et précision qui ne seront pas les mêmes suivant les systèmes. Il est donc important d'étudier ces compromis et de proposer des solutions automatisant au maximum ce choix. Plusieurs méthodes [9, 8] ont été proposées dans ce cadre mais en ne prenant pas en compte la demi-précision/correction. De plus les solutions proposées sont généralistes alors que nous proposons d'étudier un domaine d'application précis en intégrant leurs spécificités dès la conception
Pour résumer, le sujet de la thèse est d'intégrer de nouvelles approches de précisions mixtes dans la résolution d'EDO sur des plate-formes de calcul modernes (et futures) pour la biologie computationnelle (et potentiellement pour l'apprentissage profond à base d'EDO, voir ci-dessous pour plus d'explications). Ajoutons qu'au-delà des cas d'utilisation en biologie qui sont au coeur de la thèse, la résolution d'EDO est un verrou technologique majeur pour d'autres modèles en biologie. Au-delà de la biologie, la résolution d'EDO est au coeur d'un nouveau courant de l'apprentissage profond afin de pouvoir répondre aux limitations des méthodes actuelles [1]. En effet, les mécanismes utilisés actuellement discrétisent les espaces de recherche, or dans le cas où les données utilisées se basent sur des variables continues, l'utilisabilité de ces méthodes est sévèrement limitée. Dans [1], les auteurs proposent de remplacer la méthode discrète qui est au coeur du deep learning actuel i.e. les Recurrent Neural Network (RNN) qui sont les briques de base des convolution neural networks (CNN) [5] qui sont la pierre angulaire de l'explosion actuelle de l'utilisabilité du deep learning. Les auteurs de [1] ainsi que plusieurs travaux récents [3] proposent de remplacer les RNNs par des méthodes à base d'EDO qui permettent de prendre en compte ces variables continues, d'apprendre de meilleur modèles mais aussi et surtout qui permettent de se baser sur plusieurs dizaines d'années de recherche théorique sur les EDO. Or, pour être efficace, ces approches nécessitent la résolution d'un nombre très important de systèmes d'EDO de grande taille (de plusieurs centaines de milliers à plusieurs dizaines de millions de paramètres). Il est donc nécessaire de disposer de mécanisme performant de résolution d'EDO. En se basant sur ces similarités, nous explorerons la possibilité que les approches développées pour la biologie computationelle pourront avoir un impact majeur sur ces nouvelles approches de deep learning aussi bien en terme de performance et précision que passage à l'échelle de ces méthodes.
Mission confiée
Le doctorant aura pour mission de contribuer aux activités de recherche de l'action exploratoire ExODE (Scaling the solving of Ordinary Differential Equation for Computational Biology) sur les sujets suivants: méthode numérique et parallèle pour la résolution d'équation différentielle ordinaire (ODE), schéma de résolution d'ODE en précision mixte, adaptation de méthode numérique pour la résolution d'ODE appliquée à la biologie computationnelle (et le deep learning) et plus généralement de participer à l'ensemble des activités scientifiques de l'action exploratoire ExODE.
Principales activités
Activités :
Analyser les besoins
Proposer et analyser des solutions
Concevoir des plateformes expérimentales
Rédiger des articles
Rédiger les rapports
Présenter les travaux
Compétences
Compétences techniques et niveau requis :
Master recherche, Mathématique appliquée (et/ou), Sciences Computationnelles (et/ou), Calcul Haute Performance
Langues : Anglais

Avantages
Restauration subventionnée
Transports publics remboursés partiellement
Congés: 7 semaines de congés annuels + 10 jours de RTT (base temps plein) + possibilité d'autorisations d'absence exceptionnelle (ex : enfants malades, déménagement)
Possibilité de télétravail (après 6 mois d'ancienneté) et aménagement du temps de travail
Équipements professionnels à disposition (visioconférence, prêts de matériels informatiques, etc.)
Prestations sociales, culturelles et sportives (Association de gestion des œuvres sociales d'Inria)
Accès à la formation professionnelle
Sécurité sociale
Rémunération
1ère et 2ème année : 1 982 euros brut mensuel

3ème année : 2 085 euros mensuel
il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Data_scientist,Lyon,16/10/2019,vjk=2bffda32120af0c5,vide,cdd
Ingénieur Data Scientist H/F,SEGULA Technologies,Bron (69),vide,"Bron (69)
Stage
Dans le cadre de nos projets de Recherche et Innovation au sein de notre agence de Bron, vous travaillerez sur l'analyse des dossiers Hotline pour identifier les récurrences.
L'objectif du stage est de mettre en œuvre un algorithme permettant d'extraire les incidents récurrents d'après les commentaires des dossiers d'assistance (Hotline).

Vous commencerez par une revue bibliographique sur l'analyse des données issues de verbatim. Vous proposerez une approche permettant d'extraire et d'analyser les informations disponibles sous la forme de textes dans des dossiers d'assistance. Vous consoliderez les informations pour qu'un traitement statistique puisse être réalisé. Vous conclurez sur les performances de votre algorithme.
Profil
De formation bac +5 en Data Science, vous êtes à la recherche d'un stage de fin d'études.

Vous avez des connaissances en analyse des données et en développement sur Python.

Dynamique, motivé(e) et ambitieux (se), vous faites preuve d'une réelle envie d'apprendre et vous appréciez le travail en équipe. Rejoignez notre structure avec l'envie d'exprimer vos talents.
Vous intègrerez un environnement de travail valorisant, au sein d'équipes techniques dynamiques prêtes à partager leur savoir.
Nous vous proposons également l'opportunité d'une embauche en fin de stage.

A bientôt !
Secteur d'activité
Vehicules Industriels
Localisation du poste
Localisation du poste
Europe, France, Rhone-Alpes, Rhône (69)
Ville
Bron
Critères candidat
Diplôme
BAC+5 et +
il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",03/10/2019,Data_scientist,Lyon,16/10/2019,vjk=f184e9ff53ab3f3d,vide,stage
Ingénieur·e R&D – Deep learning et images,SWORD,Lyon (69),vide,"Lyon (69)
Stage
IA : Deep Learning & images,
traitement automatique des notes de frais

Contexte
Dans le cadre de nos recherches sur l’application de l’IA dans le domaine de l’analyse d’image, un processus de traitement automatique des notes de frais est mis en place.
Missions
Votre mission sera de mettre en place une application permettant :
D’acquérir les images,
Les détecter (ML/DL)
Extraire le texte (OCR ou autres approches)
Les analyser
Les qualifier
Les injecter via API REST dans le système
Votre rôle :
Conception de la solution
Prototypage et implémentation
Technologies
TensorFlow / Keras ou PyTorch
Python (Numpy + bibliothèques BN)
JavaScript / VueJS / TypeScript
Docker / Kubernetes / Git
Encadrement
Architecte expérimenté
Ingénieurs informatiques et scientifiques
Compétences
Autonomie, méthode, sens de l’organisation
Esprit d’équipe et qualités relationnelles
Sens du service
Connaissances dans le développement
Ce stage peut déboucher sur une pré-embauche en CDI
il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",05/10/2019,Data_scientist,Lyon,16/10/2019,vjk=de2bcea1671b6276,vide,cdi
STAGE - FRAMATOME - APPLICATION DU MACHINE LEARNING A L'ACCE...,Junior Talent,Lyon (69),vide,"Lyon (69)
Stage
Dans le cadre de ses activités de conception de réacteurs nucléaires (génération III et génération IV), FRAMATOME utilise des outils de simulations avancés, dont des codes de CFD. Ces codes permettent d'obtenir des résultats très précis mais sont très consommateurs en temps machine.

Au sein de l'équipe ""thermohyadraulique et fonctionnement"" du département ""procédé et sûreté Lyon"" de la direction technique de l'ingénierie, la mission consiste à utiliser des méthodes d'apprentissage machine (réseaux de neurones, analyse en composantes principales, extrapolations...) dans le but d'accélérer les calculs de CFD.

FRAMATOME a développé une méthode d'accélération de calculs basée sur cette méthode, qui demande à être optimisée d'un point de vue gestion de données.

Vous aurez pour missions de :
Optimiser la gestion des données dans l'interface
Valider son application sur des cas industriels.
Exploiter des bases de données de résultats existantes
Générer des métamodèles précis.














Référence du poste : 2019-2219
il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",04/10/2019,Data_scientist,Lyon,16/10/2019,vjk=9a4f52184d81435d,vide,stage
Stage - Ingénieur Data Science F/H,Framatome,Lyon (69),vide,"Lyon (69)
Stage
Rattaché(e) à l’équipe Conception Cœur et Radioprotection des REP (réacteur à eau pressurée), vous aurez pour objectif de mettre en œuvre des solutions data science dans les métiers « Procédé Lyon » : Neutronique, Thermohydraulique et Radioprotection.

Vous participerez aux missions suivantes :

Prendre connaissance des missions de l'équipe ;

Proposer les sujets les plus adaptés pour une amélioration de leur traitement via la mise en œuvre de solutions « Data Science » ;

Retenir les solutions les plus adaptées (réseau Bayésien, Métamodèle, réseau de neurone…) ;

Développer les modules informatiques nécessaires pour permettre leur déploiement ;

Tester les applications pour illustrer les optimisations possibles.
Profil
Formation en école d’ingénieurs ou universitaire, vous êtes en dernière année d’études avec une spécialisation en Data Science / Big Data / Data Mining / Machine Learning ou équivalent.

Vous avez des compétences dans les logiciels et outils suivants :

Langages de programmation : R, Python, Java

Framework open source : Hadoop, Spark

Bases de données : NoSQL

Vous êtes dynamique et autonome.

Vous êtes doté(e) d’un bon relationnel et savez travailler en équipe.

Rigueur et force de proposition sont attendues pour ce poste.

Etablissement soumis à enquête administrative.
Localisation du poste
Localisation du poste
France
Site
Lyon
Categorie de l'offre
Standard
Critères candidat
Niveau d'études min. requis
Bac+5
Niveau d'expérience min. requis
Etudiant
Niveau d'emploi
Etudiant
il y a 15 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,Data_scientist,Lyon,16/10/2019,vjk=3ca3aa83384e2970,vide,stage
