Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur Back-end Python / Devops,STORMSHIELD,Lyon (69),vide,"Lyon (69)
CDI
Vous souhaitez travailler en tant que développeur backend, sur des services très innovants, mêlant sécurité, performance et robustesse ?
Des services, basés sur une stack composée d’un backend en Python, tournant sur Kubernetes, avec des bases de données haute-performances (MongoDB, Time Series Database), ça vous parle ?
Tests unitaires, pair-programming, merge requests, intégration continue, … vous connaissez ces termes ?
Vous adhérez aux principes du Software Craftsmanship ?
Vous êtes également ouvert à apprendre par la suite une nouvelle technologie, comme NodeJS, afin d’avoir la possibilité de travailler sur d’autres backend de notre gamme produit ?
Alors ce qui suit va vous intéresser.
Poste et Mission
Nous recherchons un ingénieur en développement logiciel, orienté backend, avec une excellente connaissance du langage Python, chargé de concevoir et améliorer deux de nos services hébergés, qui permettent de lancer des analyses de malwares dans notre Cloud et de récolter des données de télémétrie de nos clients.
Vous aurez également la charge d’opérer ces services dans notre Cloud, en mode DevOps : autonomie pour les déploiements, monitoring, …
Vous serez complètement intégré à l’équipe Scrum et participerez de manière active aux choix qui s'imposent pour les services en question (études, architecture, …).
Vous devez avoir une forte notion de qualité dans vos développements (lint du code, tests unitaires, intégration continue, …).
Si vous souhaitez faire du TDD et travailler régulièrement en pair-programming, alors postulez chez nous.
Vos responsabilités en détails
Développer les fonctionnalités liées aux services
Définir les choix techniques et d’architectures
Faire évoluer la plateforme actuelle en s’assurant de sa maintenabilité
Surveiller les alertes issues du monitoring, les traiter et assurer la haute-disponibilité des services en production
Développer, automatiser et faire évoluer les tests unitaires ainsi que les tests fonctionnels
Participer à l’évolution de notre système d’intégration continue (à base de Jenkins)
Être en support des autres équipes Stormshield qui participent également à l’élaboration de ces services
Les services : Breach Fighter et Télémétrie
Les services en question sont les suivants :
Breach Fighter: service d’analyse comportementale de malwares, déporté dans le Cloud Stormshield, qui permet, entre autres, d’analyser les pièces jointes qui traversent les firewalls SNS de nos clients.
Télémétrie: ce service permet de connaitre les tendances d’utilisation de l’ensemble des firewalls SNS en production afin d’améliorer nos produits.
Profil
Compétences professionnelles
Excellente maîtrise du langage Python: vous avez déjà développé des applications complexes en Python et vous savez faire du code maintenable en production
Maîtrise des environnements Linux
Au moins une expérience de développement de SaaS (serveur en production, bases de données, déploiement continu, …)
Application des fondamentaux du « Software Craftsmanship »
Gestionnaire de source : Git
Adepte des méthodes agiles et partie prenante de tous les aspects liés au projet :
Architecture, discussions techniques et fonctionnelles, vision opérationnelle, développement, tests unitaires, …
Si vous connaissez également Kubernetes, cela est un plus pour vous (et pour nous)
Et la cerise sur le gâteau, des connaissances en Ansible et Jenkins
Compétences personnelles
Rigueur, autonomie, esprit d’équipe, curiosité, capacité d’initiative, remise en question, apprentissage de nouvelles technologies, ouverture au changement, …
Expérience
Excellente maîtrise du langage Python : )
Rejoignez le monde de la cyber-sécurité !
Filiale d’Airbus, Stormshield est le leader européen dans l’édition de solutions de sécurité des systèmes d’information. Nos solutions protègent les entreprises contre les cyberattaques en tout genre (déni de services, vol d'informations, dégradation d'images…) et les aident à respecter les réglementations concernant la confidentialité de l'information.
Le Collaborative Success est une de nos valeurs-clés ; nous croyons que le succès ne peut être que collectif et partagé. Aussi, si le travail d’équipe, l’ouverture, l’écoute, la curiosité et le partage vous font vibrer, rejoignez-nous au plus vite!
Pour plus d’informations, rendez-vous sur stormshield.com
Type d'emploi : CDI
il y a 2 heures
Signaler cette offre d'emploi",16/10/2019,developer,Lyon,16/10/2019,vjk=43d1d1336ac4ea57,vide,cdi
Développeur back-end drupal 8 confirmé H/F,INSIGN,Lyon (69),vide,"Lyon (69)
Temps plein, CDI
On recrute un Développeur back-end Drupal 8 confirmé H/F
Vous
Justifiez de 3 années d’expérience minimum sur Drupal 7/8,
Avez une connaissance parfaite de l’univers web orienté technique : Divers API, Performance, SEO, Socials...,
Êtes à l’aise ou curieux(se) avec les nouvelles technologies (NodeJs, AngularJs, ReactJS, ...), Avez une certaine affinité avec les méthodes agile & scrum.
Aujourd'hui vous aspirez :
À enrichir vos compétences au sein d’une agence multi-expertises ?
À vous dépasser, avec de nouvelles missions et de nouvelles responsabilités ?
À exercer votre métier autrement ?
On cherche
Un(e) Développeur back-end Drupal 8 confirmé(e) H/F Au sein de l'agence Insign, vous :
Intervenez sur la création de projet en assurant la qualité technique de vos livrables,
Participez aux réflexions techniques des projets,
Développez sur des process adaptés à l’intégration continue et au déploiement continu afin
de fournir une qualité commune,
Aidez à faire évoluer l’infra avec le devOps et le sysAdmin du pôle technique.
Environnement technique de travail :
PHP 5.6/7
Drupal 8/7, Symfony, Wordpress, Magento
MySQL, MariaDB, PostgreSQL
PhpStorm
Gitlab
Vagrant
Jenkins/Gitlab CI/Capistrano/Behat
On aime
Ceux qui ne se prennent pas la tête,
Ceux qui sont passionnés de code et qui sont à cheval sur leur qualité,
Ceux qui font de la veille et travaillent pour le challenge et l’efficacité,
Ceux qui sont ouverts à toute technologie et sont prêts à monter en compétences sur celles qu’ils ne maîtrisent pas.
On vous veut
Dès que possible
Sur Tournon-sur-Rhône ou Lyon En CDI.
Toutes nos annonces sont ouvertes aux personnes en situation de handicap.
Type d'emploi : Temps plein, CDI
Salaire : 34,00€ à 40,00€ /an
Expérience:
développeur back-end drupal 8 confirmé h/f ou similaire: 5 ans (Souhaité)
il y a 20 heures
Signaler cette offre d'emploi",Aujourd'hui,developer,Lyon,16/10/2019,vjk=cf51a5ecea6dbd76,confirmé,cdi
Lead développeur Front End / Editeur de Logiciel / CDI,HAYS,Dardilly (69),vide,"Dardilly (69)
CDI
Lead Tech Front End :
Compétences recherchées:
Forte expérience en Front Web Responsive
Application quotidienne du principe KISS
Maitrise de SCRUM
Maitrise de Spring Boot/Cloud/Gateway, Angular, JS, API REST/JSON, SQL
Connaissance de RabbitMQ, Eureka, Zuul
Connaissance SQLServer/MySQL
Maitrise de l’Intégration Continue (TUs, Pull Request, Jenkins, Bitbucket)
Maitrise de la Livraison Continue (Docker, etc.)
Maitrise de la Qualité de code (GIT, Sonar, JIRA, etc.)
Type d'emploi : CDI
Salaire : 45 000,00€ à 47 000,00€ /mois
il y a 1 jour
Signaler cette offre d'emploi",15/10/2019,developer,Lyon,16/10/2019,vjk=eb0b0c65922d1304,vide,cdi
Lead développeur Back End / Architecte SOA / Client Final /...,HAYS,Dardilly (69),40 000 € - 50 000 € par an,"Dardilly (69)
CDI
40 000 € - 50 000 € par an
Architecte SOA / Lead Tech Back End :
Compétences recherchées:
Forte expérience en SOA, conception de services métiers et micro-services
Application quotidienne du principe KISS
Maitrise de SCRUM
Maitrise de Spring Boot/Cloud/Gateway, Angular, API REST/JSON, SQL
Maitrise de RabbitMQ, Eureka, Zuul
Maitrise SQLServer/MySQL
Maitrise de l’Intégration Continue (TUs, Pull Request, Jenkins, Bitbucket)
Maitrise de la Livraison Continue (Docker, etc.)
Maitrise de la Qualité de code (GIT, Sonar, JIRA, etc.)
Type d'emploi : CDI
Salaire : 40 000,00€ à 50 000,00€ /an
il y a 1 jour",15/10/2019,developer,Lyon,16/10/2019,vjk=8b2ad2499cc0c3c8,vide,cdi
Développeur Front-End H/F,Webnet,Lyon (69),vide,"Lyon (69)
CDI
En liaison avec les équipes back-end et les graphistes, vous démontrez une large autonomie et une bonne capacité à travailler en équipe, afin de participer au développement des projets web et mobile de nos clients.
Missions :
Analyser les documents de conception
Concevoir la solution technique
Développer les solutions
Être force de proposition dans le cadre de l’amélioration des applications
Définir et réaliser les tests unitaires et fonctionnels
Vos projets :
Développement d’applications web (sites web et applicatifs métiers)
Développement d’applications mobiles hybrides
Environnement technique :
Maîtrise du développement JavaScript, TypeScript (programmation orientée objet, design patterns, optimisation des performances, EcmaScript…)
Connaissance d’un ou plusieurs Framework JS (Angular, React, Vue)
Idéalement vous connaissez Cordova, Ionic et NodeJS
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par le développement Front et son écosystème pour des projets complexes à forte valeur ajoutée, nous avons ce qu’il vous faut.
Nous vous offrons une très large diversité de cadres de mise en œuvre de votre savoir-faire, que ce soit pour nos projets au forfait ou pour nos missions d’assistance technique, dans des domaines fonctionnels variés (E-Commerce, Banque en ligne, Institut de recherche, Industrie…). Tout cela au sein d’équipes dynamiques et souhaitant mettre en œuvre des solutions toujours plus innovantes.
Nos petits +
Des formations internes et des certifications
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : Localisation : 20 boulevard Eugène Deruelle : accessible en métro, tramway, bus et à 5 min à pied de la gare Part Dieu
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 140 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité
Type d'emploi : CDI
Expérience:
développeur front-end h/f ou similaire: 1 an (Souhaité)
il y a 2 jours
Signaler cette offre d'emploi",14/10/2019,developer,Lyon,16/10/2019,vjk=8525a004c849f32f,vide,cdi
Développeur Front-end F/H,SULLY GROUP,Lyon 2e (69),vide,"Lyon 2e (69)
CDI
Afin de renforcer son équipe de développement dédiée aux applications métiers, notre client acteur dans le domaine des médias, recherche

son futur Développeur Front-End F/H.

Les principales compétences requises pour mener à bien la mission sont les suivantes :

GaphQL

Vue, Angular ou react

Compétence d'intégration web avec usage de Sass

Connaître le standard EcmaScript et ses fonctionnalités

Notions d'UI et d'UX

Capable de vous intégrer dans une équipe existante, vous savez travailler de manière autonome sur les parties qui vous seront confiées. Vous faites preuve d'une certaine curiosité qui vous sera nécessaire à la bonne compréhension des métiers de notre client, de leurs particularités et enjeux.
Profil recherché Nous ne recherchons pas le mouton à 5 pattes, mais bien un nouveau collaborateur qui aime travailler en équipe, dans une ambiance dynamique.

Vous devez justifier d'au moins 2 ans dans un poste similaire et avoir bien entendu le goût du challenge !
Entreprise Rejoignez nous !

Sully Group appartient à ses salariés et ses dirigeants sont issus du monde de l'IT.

Nous accompagnons nos collaborateurs sur le long terme (37% ont été formés en 2017), ils restent avec nous en moyenne 7 ans.

En plus du salaire fixe sur 12 mois, nous vous proposons : une bonne mutuelle, des tickets resto à 9 €, une participation aux frais de transport, un CE, 6 semaines de congés payés + des RTT, intéressement, participation et plan épargne entreprise, … (un peu de pub ça ne fait pas de mal !)

Double-écrans et café sont fournis pour des conditions de travail optimales.

Horaires flexibles et charte de télétravail.

Et une mascotte … c'est déjà bien non ?

Avec Sully Group, nos collaborateurs ont trouvé leur voie, alors pourquoi pas vous !
Apec.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developer,Lyon,16/10/2019,vjk=3d85ebab02b34055,vide,cdi
Développeur Full Stack JS F/H,Conserto,Lyon 3e (69),vide,"Lyon 3e (69)
CDI
Nous recherchons un(e) Développeur Fullstack JS H/F. Vous serez amené.e à réaliser les tâches suivantes :

Analyse de l'existant

Conception / développement

Mise en place et évolution de la PIC et plateforme de test

Optimisation / test de performance

Création de web service REST avec le Protole HTTP

Maîtrise de la POO
Profil recherché Nous recherchons en priorité un.e passionné.e avec diverses connaissances techniques :

Javascript Jquery

JSON

Angular 2 et/ou React

Node JS

ExpressJS

Base de données : NoSQL (MongoDB, CouchDB ou Cassandra...), SQL

HTML5 / CSS3

GIT, Jenkins, Karma, Jasmine, Protractor...

Vous l'avez compris, entre passionné.e.s, vos projets perso seront aussi importants que vos projets pro.
Entreprise La techno c'est top, l'entreprise c'est important !

CONSERTO est née il y a 6 ans à Nantes, désormais notre siège. On s'est beaucoup développé, aujourd'hui nous sommes plus de 400 salariés répartis sur 8 agences : Nantes, Rennes, Niort, Paris, Montpellier, Toulouse, Bordeaux & Lyon !

Nous avons voulu une société Agile, au plus proche de nos collaborateurs et de nos clients,

Comment

Par l'indépendance de nos agences
Une relation 1 TO 1 avec l'ensemble des parties prenantes
Une société technophile basée sur la création de communautés de passionnés et d'experts sur les métiers du digital, cloud, embarqué & robotique.
Notre modèle est basé sur l'accompagnement de chacun, l'innovation permanente, et l'expertise technique.

Pourquoi Conserto

Pour construire un projet pro/carrière (Formations, Conférences, événements techniques)
Pour être dans une société où il fait bon vivre (mobilité restreinte, Great Place to Work)
Pour rejoindre une équipe (soirées d'agences, afterworks, défis sportifs, Ludoserto)
Apec.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,developer,Lyon,16/10/2019,vjk=40c87adc7ec46047,vide,cdi
Développeur Front-End H/F - Villeurbanne CDD 6 MOIS,MANPOWER FRANCE,Villeurbanne (69),vide,"Villeurbanne (69)
Temps plein, CDD
Votre futur employeur :
Afin de participer activement à l’uniformisation de son SI, notre client recherche un Développeur Front-end H/F. Notre client qui a plus de 130 ans d’existence propose des lunettes, masques et casques de ski et des équipements en environnement professionnel.
Nous avons grand besoin de vos compétences ! Pourquoi cela ?
Afin d’aider à l’ensemble des projets de développement de la DSI Groupe, nous recherchons un ou une Développeur(se) Front-end, afin de participer activement aux développements d’un site Web BtoB ainsi qu’à l’implémentation de l’ERP.
Vos missions dans le détail ?
Au sein de la DSI vos missions sont réparties sur 3 angles :
Ciblage, conception et réalisation de fonctionnalités personnalisées à la fois pour le site web SuiteCommerce et l’ERP NetSuite
Combiner une facilité d’utilisation avec la conception de visuels front
Travailler en mode collaboratif avec les équipes IT et eCommerce afin de traduire les besoins internes ou clients en fonctionnalités interactives et fonctionnelles
Développer des services et frameworks permettant d’optimiser : l’affichage, la qualité, la maintenance et la performance
Beau challenge non ?
Vos atouts pour réussir :
Vous êtes issu(e) d’un BAC+3 à +5 ou d’une école d’ingénieur avec une spécialisation en développement. Vous avez 1 à 2 ans d’expérience en comptant votre alternance. Doté(e) d’une expérience en développement front-end, vous avez de l’expérience en : PHP, Javascript, HTML/CSS autant en conception, test, déploiement et personnalisation.
Des connaissances en plateformes analytiques comme GA, Hotjar et Optimise seraient un plus non négligeable.
Vous maîtrisez parfaitement (ou presque) la langue de Shakespeare #DoYouSpeakEnglish ?
Vous êtes également reconnu(e) pour votre esprit d’analyse et de synthèse, ainsi que pour votre capacité à appréhender rapidement de nouvelles technologies.
Doté(e) d’un excellent relationnel, le travail en équipe est un élément primordial dans votre cadre de travail !
Type d'emploi : Temps plein, CDD
Salaire : 27 000,00€ à 33 000,00€ /mois
Expérience:
développeur front-end h/f - villeurbanne ou similaire: 2 ans (Requis)
il y a 6 jours
Signaler cette offre d'emploi",10/10/2019,developer,Lyon,16/10/2019,vjk=038b54882263682a,vide,cdd
Développeur full-stack senior,quarksUp,Lyon (69),vide,"Lyon (69)
Le super-héros du code ...
Chez quarksUp, tu seras au milieu d’équipes passionnées par le digital, appliqué aux ressources humaines.
Envie d’accompagner l’équipe technique, de bout en bout ?
Tu travailleras autour de notre solution Si-RH (Ressources Humaines) dédiée aux ETI (Entreprises Taille Intermédiaire) et Grands comptes, qui propose plusieurs modules: Carrières, Formation, etc…
La solution est déjà installée chez de nombreux grands comptes et ETI, comme Point P, ou LVMH.
La solution ETI est développée sur Paris.
L’entreprise lance actuellement les développements d’un produit à destination des TPE et PME de moins de 50 collaborateurs. Dans le cadre de ce lancement, nous étoffons notre équipe Lyonnaise en charge du développement de la nouvelle solution.
L’équipe de Lyon sera dans les locaux de Now Coworking dès septembre.
Le développeur full-stack de nos rêves !
Ta mission :
Le développement de micro services sous forme d’API REST Full, dans le cadre d’un produit SaaS pour les Ressources Humaines
Le produit est en cours de développement. Tu travailleras avec un Scrum master, un architecte et un PO.
Un UX vous rejoindra en fin d’année, et d’autres développeurs l’année prochaine.
AS-TU LE PROFIL ?
5 ans d’expérience minimum dans le développement de logiciel SaaS.
Compétences et qualités :
Langages Open Source privilégiés (.Net Core, Angular…)
Développement sur Mac OS ou Windows.
.net Core
API first
RESTFull
Git flow
Domain driven design
CQRS
Optionnel : Event Sourcing
Engagement
Focus sur la qualité
Viens on est bien !
Collaborateurs dynamiques cherchant la qualité avant la quantité.
Nous avons à coeur de travailler à des solutions qui apporteront une réelle valeur au marché et à nos clients.
Pragmatiques nous nous efforçons à travailler avec les dernières technologies, et méthodes.
A Lyon, petite équipe soudée et détendue!
L’équipe de Paris est plus conséquente, et rassemble les équipes de développement du produit ETI (Entreprises Taille Intermédiaire), service marketing, commerciaux, et généraux.
il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,developer,Lyon,16/10/2019,vjk=a14395c18a1934d5,senior,vide
Chef de projet web/Développeur front-end (H/F),Adéquat,Limonest (69),vide,"Limonest (69)
CDI
Notre agence Adéquat recrute pour l'un de ses clients un(e) : Chef de projet web junior / développeur front-end wordpress (F/H) sur le secteur de Limonest en CDI
Missions principales : Gestion de projets client web
Vos activités :
Gérer les projets web des clients (plateforme candidats, espaces carrières) : Analyser, définir et accompagner le client dans le cahier des charges
Développer, tester et mettre en ligne des portails clients (principalement WordPress/Smyfony)
Animer une assistance et des formations auprès des clients et des partenaires
Entretenir les produits et librairies de l'entreprise
Interlocuteurs internes :
Équipes de développeurs
Direction / Équipe commerciale
Chef de projet / Consultant fonctionnel
Équipe administrative et comptable
Interlocuteurs externes :
Clients : DRH, Responsable RH, DG, Gérant, Responsable de recrutement, Chef de projet, DSI
Prescripteurs : Responsable d'agence de communication, Consultant

Votre profil :
de formation Bac +2/3 minimum
2 ans d'expérience minimum en développement et gestion de projet
Vos compétences et aptitudes :
Maîtrise des langages : PHP (programmation orientée objet) / HTML / SASS / JS
Connaissances des Best Practices de ces différents langages
Maîtrise de WordPress au niveau professionnel (création de pluging, thèmes, sécurisation, SEO)
Connaissance du Workflow Intégration Continue / déploiement continue avec Gitlab
Connaissance des outils : Webpack, Gulp, Yarn (un plus), composer
Connaissance de React/Angular appréciées
Travail en équipe et autonomie
Savoir communiquer avec des interlocuteurs internes de différentes activités
Savoir communiquer avec des interlocuteurs externes : clients, partenaires...
Organisation, méthodologie et rigueur
Pour toutes questions, vous pouvez nous joindre au 05.55.42.25.90.
Rejoignez le groupe Adéquat, l'acteur le plus dynamique du secteur de l'emploi depuis 2 ans !
Adéquat, Simplement pour vous !
il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",03/10/2019,developer,Lyon,16/10/2019,vjk=8c5d2283a73e89a6,vide,cdi
