Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur PHP H/F,Webnet,Lyon (69),vide,"Lyon (69)
CDI
Intéressé(e) par rejoindre l’une des plus grandes équipes françaises certifiées sur le Framework Symfony ?
Nous souhaitons renforcer notre équipe Symfony en intégrant de nouveaux collaborateurs capables d’apporter leur expertise
Vos missions :
Participer à la création de projets innovants et variés : sites Internet à fort trafic, applications métier gérant des volumétries de données importantes, systèmes d’information fonctionnellement complexes…
Réaliser la conception technique et le développement applicatifs dans le respect de notre démarche qualité (respect des normes PSR-2, des bonnes pratiques Symfony, utilisation de SymfonyInsight, intégration continue, etc.)
Garantir les processus développés à l’aide de tests unitaires et fonctionnels
Contribuer à la mise en place des environnements de travail
Nous attendons de vous que vous apportiez votre savoir-faire afin de conseiller nos clients pour être à la pointe sur la technicité des projets. Vous pourrez affirmer votre rôle d’expert au sein de notre blog technique et participer à l’évolution du framework Symfony !
Environnement technique :
Back-end : Symfony 3/4, Drupal 8, PHP 7.2
Front-end : Angular, React
Système : Debian, Docker, Graylog
Intégration continue : Jenkins
Qualité : SensioLabs Insight, Scrutinizer
Recherche : ElasticSearch
Cache : Redis, Varnish
DB : MariaDB, PostGreSQL, Oracle, MongoDB, Neo4J, RabbitMQ
Outils : PhpStorm, Webpack, GIT, Blackfire
Nos petits +
Des formations internes et un accompagnement vers la certification Symfony
Bénéficier de notre partenariat avec SensioLabs
La participation à des salons techno : Symfony Live, forum PHP, DevFest
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation: 20 boulevard Eugène Deruelle : accessible en métro, tramway, bus et à 5 min à pied de la gare SNCF
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 150 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité
Type d'emploi : CDI
Expérience:
développement PHP: 1 an (Souhaité)
il y a 1 heure
Signaler cette offre d'emploi",14/10/2019,developpeur,Lyon,14/10/2019,vjk=545224e7470d4562,vide,cdi
Développeur .NET H/F,Webnet,Lyon (69),vide,"Lyon (69)
CDI
Intéressé(e) par rejoindre une équipe certifiée et partenaire Microsoft GOLD Web Application ?
Nous souhaitons renforcer notre équipe .Net en intégrant de nouveaux collaborateurs capables d’apporter leur expertise
Vos missions :
Participer à la création de projets innovants et variés : sites Internet à fort trafic, applications métier gérant des volumétries de données importantes, systèmes d’information fonctionnellement complexes…
Réaliser la conception technique et le développement applicatifs dans le respect de notre démarche qualité
Modélisez la structure des bases de données et participer à l’intégration technique au sein de systèmes d’informations complexes,
Contribuer à la mise en place des environnements de travail
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par .Net et son écosystème pour des projets complexes d’envergure à forte valeur ajoutée, nous avons ce qu’il vous faut.
Environnement technique :
Microsoft .NET (C#, ASP.NET MVC, Entity Framework)
SGBD : MS SQL Server
Team Foundation Server (TFS)
Nos petits +
Des formations internes et des certifications Microsoft
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : 52 quai Magellan en plein cœur de Nantes, très accessible en transport !
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 150 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité.
Type d'emploi : CDI
Expérience:
développeur .net h/f ou similaire: 1 an (Souhaité)
il y a 1 heure
Signaler cette offre d'emploi",14/10/2019,developpeur,Lyon,14/10/2019,vjk=9a8f383319fd2fee,vide,cdi
Développeur Front-End H/F,Webnet,Lyon (69),vide,"Lyon (69)
CDI
En liaison avec les équipes back-end et les graphistes, vous démontrez une large autonomie et une bonne capacité à travailler en équipe, afin de participer au développement des projets web et mobile de nos clients.
Missions :
Analyser les documents de conception
Concevoir la solution technique
Développer les solutions
Être force de proposition dans le cadre de l’amélioration des applications
Définir et réaliser les tests unitaires et fonctionnels
Vos projets :
Développement d’applications web (sites web et applicatifs métiers)
Environnement technique :
Maîtrise du développement JavaScript, TypeScript (programmation orientée objet, design patterns, optimisation des performances, EcmaScript…)
Connaissance d’un ou plusieurs Framework JS (Angular, React, Vue)
Maitrise de l’intégration HTLM/CSS et des outils actuels (LESS, Brunch, Webpack, Bootstrap)
Idéalement vous connaissez Cordova, Ionic et NodeJS
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par le développement Front et son écosystème pour des projets complexes à forte valeur ajoutée, nous avons ce qu’il vous faut.
Nous vous offrons une très large diversité de cadres de mise en œuvre de votre savoir-faire, que ce soit pour nos projets au forfait ou pour nos missions d’assistance technique, dans des domaines fonctionnels variés (E-Commerce, Banque en ligne, Institut de recherche, Industrie…). Tout cela au sein d’équipes dynamiques et souhaitant mettre en œuvre des solutions toujours plus innovantes.
Nos petits +
Des formations internes et des certifications
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : Localisation : 20 boulevard Eugène Deruelle : accessible en métro, tramway, bus et à 5 min à pied de la gare Part Dieu
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 140 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité
Type d'emploi : CDI
Expérience:
développeur front-end h/f ou similaire: 1 an (Souhaité)
il y a 1 heure
Signaler cette offre d'emploi",14/10/2019,developpeur,Lyon,14/10/2019,vjk=8525a004c849f32f,vide,cdi
Développeur JAVA (H/F) idéalement Full Stack,Webnet,Lyon 3e (69),vide,"Lyon 3e (69)
CDI
Nous souhaitons renforcer notre équipe Java en intégrant de nouveaux collaborateurs capables d’apporter leur expertise technique afin de participer au développement des projets Web et mobile de nos clients
Vos missions :
Participer à la création de projets innovants et variés : sites Internet à fort trafic, applications métier gérant des volumétries de données importantes, systèmes d’information fonctionnellement complexes…
Réaliser la conception technique et le développement applicatifs dans le respect de notre démarche qualité
Modélisez les bases de données et participer à l’intégration technique au sein de systèmes d’informations complexes,
Garantir la fiabilité des processus développés à l’aide de tests unitaires et fonctionnels
Contribuer à la mise en place des environnements de projet (développement, intégration, recette, etc.)
Environnement technique :
Socle technique JAVA EE
Frameworks /ORM : Spring, JSF, Struts 2, Hibernate…
SGBD : Oracle, PostGreSQL, MySQL…
Intégration continue : Jenkins
Qualité : Sonar,
Virtualisation : VMWare
Gestion de sources: GIT
Frameworks JavaScript: Angular, ReactJS, NodeJS …
Profil :
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par JAVA et son écosystème pour des projets complexes à forte valeur ajoutée, nous avons ce qu’il vous faut.
Vous maitrisez, si possible, un des Framework suivants : Angular, React ou Vue
Nous attendons de vous que vous apportiez votre savoir-faire au sein de notre pôle d’expertise afin de conseiller nos clients pour être à la pointe sur la technicité des projets. Vous pourrez affirmer votre rôle d’expert au sein de notre blog technique !
Nos petits +
Des formations internes et des certifications
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : Localisation : 20 boulevard Eugène Deruelle : accessible en métro, tramway, bus et à 5 min à pied de la gare Part Dieu
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 140 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité.
Type d'emploi : CDI
Expérience:
développeur java (h/f) idéalement full stack ou similaire: 1 an (Souhaité)
il y a 2 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Lyon,14/10/2019,vjk=3b7402bf42723604,vide,cdi
Développeur ERP Sage X H/F,Desautel,Montluel (01),vide,"Montluel (01)
Employeur: Desautel
Type d'emploi: CDD
Lieu: Montluel - 01


DESCRIPTION DU POSTE

Spécialisée dans le domaine de la protection incendie depuis 1932, DESAUTEL est une entreprise familiale employant plus de 1000 salariés. Acteur majeur sur son secteur, l’entreprise est aujourd’hui présente sur l’ensemble du territoire par son réseau de 26 agences. Centrés historiquement autour de l’extincteur, nous avons au fil du temps complété notre offre en proposant des solutions de détection et d’extinction automatiques, de désenfumage et de formation.
Au sein du Service Informatique vous participez à l’exploitation et au développement du progiciel ERP Sage X3 ainsi qu’àux différents sites web (extranet et sites techniques) interfacés avec l’ERP.
Vos missions principales sont la réalisation de développements, d’états sous Crystal Report, d’analyses, de la documentations techniques de vos développements, la rédaction de la documentation utilisateurs, et la formation des utilisateurs.

PROFIL DU CANDIDAT
Idéalement, vous avez une expérience significative en développement sur le L4G X3, et Crystal Report.
Vous êtes titulaire d’un diplôme Bac
2/ 3 et une expérience en développement de 3 à 5 ans minimum.
Vous êtes ouvert(e) aux nouvelles technologies et vous avez une bonne capacité d’adaptation aux nouveaux environnements.
Votre esprit d’équipe, votre autonomie, et votre polyvalence seront autant de compétences qui vous permettront de bien vous intégrer à l’équipe en place. Vos qualités d’écoute, d’analyse et de rédaction seront également appréciées.
L’article Développeur ERP Sage X H/F est apparu en premier sur Recruteo - Le Site Emploi Web.
Recruteo - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Lyon,14/10/2019,vjk=cf2c4f3270303dea,vide,cdd
Developpeur Web H/F PHP / MYSQL,Upyne,Dardilly (69),28 000 € - 38 000 € par an,"Dardilly (69)
Temps plein, CDI
28 000 € - 38 000 € par an
Description du poste
Société dans l’accompagnement de projets Digitaux (web et Mobile), recherche plusieurs développeurs expérimentés pour compléter son équipes ( PAS D'ALTERNANCE MERCI)
.
La société Upyne participe à de nombreux projets pointus et innovants. Composé d'une quinzaine de personnes, cette société à l'ambiance startup participe à des projets passionnants et prestigieux.
DESCRIPTION DU POSTE
Participation aux développements et évolutions des différents projets web, back office,...
Amélioration et maintenance des sites existants
Mise en place de plateforme e-commerce , e-learning , etc...
Collaboration et veille technologique avec l'équipe
Gestion de projets technique
PROFIL RECHERCHÉ
- Très bonne maîtrise du langage PHP 7 indispensable !!
- Une bonne maîtrise des standards du web : HTML 5, CSS 3
- De bonne compétences en intégration : prise en compte des problématiques de performances, de référencement naturel, de navigation sur mobile et de sécurité.
- De bonne compétences en Javascript, une premiere experience en React / React Native serait un plus
- De bonnes connaissances en base de données relationnelles (MySQL)
- Une expérience notable dans le développement de sites et/ou d'applications
- Vous aimez travailler en équipe tout en sachant être autonome
- Vous êtes force de proposition et aimez tester de nouvelles technos
STACK :
PHP 7, MySQL, Html 5 / Css 3, ElasticSearch / Solr
Type d'emploi : Temps plein, CDI
Salaire : 28 000,00€ à 38 000,00€ /an
Expérience:
developpeur web h/f php / mysql ou similaire: 3 ans (Requis)
php 7: 2 ans (Souhaité)
il y a 2 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Lyon,14/10/2019,vjk=9a646ac9fd4da223,vide,cdi
Développeur web/bases de données H/F,Rex-Rotary,Lyon (69),vide,"Lyon (69)
Rex-Rota-quoi ? Vous ne nous connaissez pas ? Pas de problème, lorsque vous aurez lu ces quelques lignes, vous visualiserez un peu mieux qui nous sommes.
Nous évoluons sur le marché B to B (professionnel) des solutions documentaires, filiale du groupe Ricoh, Rex Rotary est présent sur tout le territoire français, avec 54 agences. Nos 600 collaborateurs apportent leurs expertises dans le domaine des solutions d'impression, de la gestion de flux documentaires, de la technologie du traitement de l'information et de la sauvegarde.
Après cette rapide description, laissez-nous vous illustrer le parcours sur lequel nous souhaitons vous accompagner.
LES TROIS PREMIERS MOIS (PÉRIODE D'ESSAI) :
« JUST DO IT, NO JUDGEMENT » L'idée durant les trois premiers mois, c'est de voir vos compétences réelles, votre capacité d'adaptation, mais également votre intégration avec l'équipe et la façon dont vous travailler dans ce nouveau contexte. Pas de pression à avoir, le but est de se connaitre mutuellement et de voir si les choses fonctionnent bien.
De notre côté, nous aurons pour mission de vous former à nos outils et méthodes de développement.
Vous serez donc apte à :
Comprendre nos méthodes de travail.
Mettre en pratique vos compétences.
DE TROIS A UN AN :
Ça y est ! Vous êtes autonome dans vos missions, et vous êtes force de proposition. Vous commencez à avoir réalisé quelques programmes dont vous devez assurer le support.
Vous veillez à la mise à jour de vos programmes, à l'optimisation et à l'amélioration de l'existant en fonction des retours des collaborateurs. Vous serez susceptibles de mener des sessions de formation auprès des futurs utilisateurs de vos programmes.
Vous évoluerez en binôme sur certaines missions, et serez amener à travailler en collaboration avec d'autres services afin répondre du mieux possible aux besoins décelés.
À ce stade, vous serez apte à :
Conduire la totalité d'un projet de création d'un nouveau programme.
Faire preuve de réactivité et d'adaptabilité, et mettre en avant l'expérience utilisateur.
UN AN ET PLUS :
Vous commencez à avoir une vision à plus long-terme, vous essayez d'anticiper les futurs besoins des utilisateurs, et améliorez sans cesse vos compétences de développeur.
Nous souhaitons maintenir à jour nos technologies, c'est pourquoi si vous êtes demandeur de formation, nous trouverons des solutions pour les mettre en place.
Cette description vous donne envie de connaître vos missions dans le détail ? Lisez juste en-dessous :
Vos missions si vous les acceptez :
Développer et maintenir les programmes informatiques dans le respect des délais, des normes et des évolutions du plan informatique,
Conseiller, orienter, écouter et former les utilisateurs à l'emploi des programmes applicatifs
Corriger rapidement les dysfonctionnements applicatifs identifiés
Documenter les programmes et les mises à jour
Veiller à l'application des procédures du système de management de la qualité et environnement concernant le poste
Assurer toute autre tâche spécifique assignée par la hiérarchie

Vos Compétences :

Langages : PHP, HTML, CSS, JAVASCRIPT
Base de données : MYSQL

2 postes à pourvoir dont un évolutif sur des fonctions managériales à court terme.
Et voilà, vous en savez un peu plus sur vos futures missions au sein de Rex-Rotary, il ne vous reste plus qu'à postuler !

Vos Compétences :
Langages : PHP, HTML, CSS, JAVASCRIPT
Base de données : MYSQL

Selon profil
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,developpeur,Lyon,14/10/2019,vjk=5eb0eccefcf8a1bd,vide,vide
Développeur H/F,Rex Rotary,Lyon (69),vide,"Lyon (69)
CDI
Description
Le code n'a plus de secret pour vous et vous souhaitez être acteur d'une société en plein essor ?
Nous recrutons un développeur H/F orienté web/bases de données.
Vous intégrerez une équipe passionnée par les NTIC où vous contribuerez au développement des programmes informatiques pour nos collaborateurs internes.
Vos missions seront les suivantes :
Développer et maintenir les programmes informatiques dans le respect des délais, des normes et des évolutions du plan informatique,
Conseiller, orienter, écouter et former les utilisateurs à l'emploi des programmes applicatifs
Corriger rapidement les dysfonctionnements applicatifs identifiés
Documenter les programmes et les mises à jour
Veiller à l'application des procédures du système de management de la qualité et environnement concernant le poste
Assurer toute autre tâche spécifique assignée par la hiérarchie

Compétences recherchées :
Langages : PHP, HTML, CSS, JAVASCRIPT
Base de données : MYSQL
Diplômé d'un niveau Bac +3 minimum en informatique, vous avez une expérience d'au moins 5 ans en développement web/bases de données. Dynamique et curieux, vous aimez relever des challenges techniques et avez une appétence pour le travail en équipe.

Conditions requises
Rémunération et avantages
Rémunération selon profil
Tickets restaurants
Comité d'entreprise
Participation
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,developpeur,Lyon,14/10/2019,vjk=a1b13522d8cf7080,vide,cdi
Développeur Javascript F/H,CEGID,Lyon 9e (69),vide,"Lyon 9e (69)
CDI
Vos challenges

Vous souhaitez vivre une nouvelle aventure professionnelle et prendre part à un projet ambitieux ?

Rejoignez-nous et ensemble accélérons nos talents pour faire de Cegid le partenaire préféré de tous nos clients autour de solutions à haute valeur ajoutée !

Vous intégrez nos équipes R&D en tant que développeur fullstack et plus particulièrement l’équipe Cegid Loop Comptabilité composée de : 6 développeurs, 3 testeurs, 2 paramétreurs de fiscalité et 1 product owner. L’équipe est multi-site.

Vous intervenez sur la partie comptable du logiciel avec ponctuellement une intervention sur la fiscalité.

Vous aurez pour mission la programmation d'une application. Dans ce cadre :

Vous concevez l'application : création, développement, codage...

Vous analysez les spécifications des clients et les transcrivez en analyse technique

Vous choisissez la solution technique la plus adéquate et détectez les anomalies dans un élément d'architecture technique

Vous interprétez, analysez et reformulez les cas de tests proposez. Vous exécutez également les scénarii de tests

Vous participez à l'amélioration de l'ergonomie de l'outil : UX/UI
Profil recherché Parlons de vous…

Vous maitrisez les langages de développement web : Javascript, html, css et Front : Angular, typescript, React.

Dans ce cadre, vous détenez aussi des compétences en base de données et plus précisément en SQL Server & Mongo DB.

La méthode Agile n'a pas de secret pour vous.

Idéalement, vous maitrisez l'anglais. (Des échanges avec les équipes de Londres sont à prévoir)

Au-delà des compétences métiers, nous recherchons des talents qui souhaitent exprimer leur potentiel et ouvrir les possibles avec nous car nous considérons que le partage des idées et l’intelligence collective sont source de valeur ajoutée et de performance pour tous. C’est avant tout votre curiosité, votre esprit d’équipe et votre engagement qui feront la différence.

Venez vivre des expériences variées, rejoignez-nous !
Entreprise Cegid, c’est un groupe international de plus de 2400 collaborateurs dans 15 pays qui accompagnent les

professionnels

des métiers de l’Expertise-Comptable, de la Paie et des Ressources Humaines, de l’ERP, des Taxes et du Retail.

Cegid conçoit des solutions de gestion utiles et innovantes pour ses clients, fort de sa vision prospective des métiers et de sa maitrise de la technologie via des services cloud.

Chaque histoire est différente au sein de Cegid, à vous de créer la vôtre !
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Lyon,14/10/2019,vjk=a1a8a977d95692e3,vide,cdi
Développeur Front-end F/H,SULLY GROUP,Lyon 2e (69),vide,"Lyon 2e (69)
CDI
Afin de renforcer son équipe de développement dédiée aux applications métiers, notre client acteur dans le domaine des médias, recherche

son futur Développeur Front-End F/H.

Les principales compétences requises pour mener à bien la mission sont les suivantes :

GaphQL

Vue, Angular ou react

Compétence d'intégration web avec usage de Sass

Connaître le standard EcmaScript et ses fonctionnalités

Notions d'UI et d'UX

Capable de vous intégrer dans une équipe existante, vous savez travailler de manière autonome sur les parties qui vous seront confiées. Vous faites preuve d'une certaine curiosité qui vous sera nécessaire à la bonne compréhension des métiers de notre client, de leurs particularités et enjeux.
Profil recherché Nous ne recherchons pas le mouton à 5 pattes, mais bien un nouveau collaborateur qui aime travailler en équipe, dans une ambiance dynamique.

Vous devez justifier d'au moins 2 ans dans un poste similaire et avoir bien entendu le goût du challenge !
Entreprise Rejoignez nous !

Sully Group appartient à ses salariés et ses dirigeants sont issus du monde de l'IT.

Nous accompagnons nos collaborateurs sur le long terme (37% ont été formés en 2017), ils restent avec nous en moyenne 7 ans.

En plus du salaire fixe sur 12 mois, nous vous proposons : une bonne mutuelle, des tickets resto à 9 €, une participation aux frais de transport, un CE, 6 semaines de congés payés + des RTT, intéressement, participation et plan épargne entreprise, … (un peu de pub ça ne fait pas de mal !)

Double-écrans et café sont fournis pour des conditions de travail optimales.

Horaires flexibles et charte de télétravail.

Et une mascotte … c'est déjà bien non ?

Avec Sully Group, nos collaborateurs ont trouvé leur voie, alors pourquoi pas vous !
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Lyon,14/10/2019,vjk=3d85ebab02b34055,vide,cdi
