Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
STAGE DEVOPS (H/F),sii,Lyon (69),vide,"Lyon (69)
Stage
Description du poste :
au sein de notre direction des opérations, engagée dans une démarche méthodologique basée sur les standards iso et cmmi, vous intégrez une équipe projet structurée. vous intervenez, au sein du projet, dans les mêmes conditions qu'un ingénieur sii. vous êtes encadré par un référant qui est membre de l'équipe projet et travaille sous l'autorité du chef de projet. votre référant assure votre intégration dans l'équipe et vous accompagne pendant toute la durée de votre stage. il vous prodigue conseils et assistance et vous facilite l'acquisition des connaissances complémentaires nécessaires à la réalisation de votre travail. il assure le suivi régulier de la progression de vos travaux.

l'objectif de ce stage est de concevoir et améliorer les outils mis à disposition au sein d'une équipe ops.

en ce sens, vous participerez aux activités suivantes :
veille technologique
etude de l'infrastructure et des processus existants
analyse du besoin
développement & scripting
mise à jour des outils (ansible / jenkins)
rédaction des documents
suivi/support des équipes de production
evolution des processus

Description de l'entreprise :
le groupe sii est au cœur de l'innovation au service de grands comptes dans des secteurs d'ingénierie variés. sii est fier de compter aujourd'hui 10 000 experts à travers 80 implantations dans le monde.

animés de cette même passion pour la technologie et l'innovation, les collaborateurs sii peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. ils intègrent le mouvement #fungenieur dans lequel la créativité et l'esprit d'équipe sont mis à l'honneur.

au palmarès great place to work 2019, le groupe sii a également été labélisé happy candidate et meilleur employeur 2019 dans la catégorie high tech par le magazine capital. il est signataire de la charte de la diversité en entreprise. c'est une société handi-accueillante.

suivez-nous sur les réseaux sociaux : facebook, linkedin, viadeo ou twitter !

Profil recherché :
vous êtes issu(e) d'une ecole d'ingénieur en dernière année d'études ou d'une formation universitaire bac +5.

durée du stage: 6 mois
date de démarrage: avril 2020

développement python

scripting bash
os : centos / redhat
outils : ansible / jenkins
JobinTree - il y a 14 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,devops,Lyon,18/10/2019,vjk=590ef4237cebc480,vide,stage
DevOps,SWORD,Lyon (69),vide,"Lyon (69)
Stage
Supervision et analyse d’une architecture distribuée

Contexte
Nos applications de valorisation de données s’appuient généralement sur un portail de recherche et une chaîne de traitement manipulant et transformant des volumes de données importants.
Pour faire face à la volumétrie et aux contraintes de performances souhaitées, ces chaînes de traitements complexes constituées de composants techniques hétérogènes sont distribuées et organisées en nœuds de traitement pilotés par des clusters de type Docker Swarm.
Pour améliorer le suivi et optimiser les performances de notre produit Consore déployé dans 12 centres de lutte contre le cancer sur une soixantaine de serveurs, nous souhaitons mettre en place une centralisation des journaux et une supervision à l’aide des outils de la suite ELK comprenant ElasticSearch, Logstash, Kibana ainsi Beats pour le relevé des mesures systèmes.
Missions
La mission intègre du développement et de l’analyse de données :
Enregistrement de tous les logs techniques de la plateforme dans Es (logstash)
Enregistrement des logs fonctionnels dans ES (Requêtes utilisateurs)
Tableaux de bords permettant de suivre l’activité et de l’analyser
Suivi des paramètres systèmes (beats, docker_beats, elastic_beats, …) et applicatifs
Sondes fonctionnelles sur le bon fonctionnement des services
Visualisations et alertes des données enregistrées
Technologies
Compétences
Autonomie, méthode, sens de l’organisation
Développement
Analyse de données
Encadrement
Architecte Machine Learning & Data Analytics
Chef de projet spécialisé
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,devops,Lyon,18/10/2019,vjk=55be1b4492025837,vide,stage
Ingénieur DevOps (H/F),Thales Group,Lyon (69),vide,"Lyon (69)
QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
Nos équipes de l’activité Systèmes d’information critiques et cybersécurité fournissent des services et des solutions globales optimisant la performance, la résilience et la sécurité des systèmes d’information afin de faire face aux ruptures technologiques et aux cybermenaces.
Pour poursuivre notre croissance, notre communauté DevOps cherche un(e) collaborateur(e) (H/F) pour consolider les assets DevOps.
QUI ETES-VOUS ?
De formation ingénieur(e), vous avez une solide expérience dans le développement logiciel (J2EE ou .NET) et êtes sensibles aux enjeux des équipes opérations.
Vous êtes à l’aise sur les environnements Unix/Linux et avez l’habitude d’utiliser des technologies telles que Docker, Vagrant et Ansible.
Votre capacité d’écoute vous permet de bien appréhender le besoin des clients et d’imaginer les solutions les plus pertinentes pour leur contexte.
Vous êtes intéressé(e) par la découverte des métiers de nos clients. Vous avez de bonnes capacités rédactionnelles.
Vous avez un bon niveau d’anglais.
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Au sein du Centre de compétences de Lyon, vous intégrez l’équipe DevOps et accompagnez les équipes internes dans la transformation de leurs pratiques.
Vous êtes référent sur les outils de mise en conteneur et sur les problématiques d’intégration continue et de déploiement continu.
Vous êtes impliqués dans des projets clients et concevez/développez des solutions dans le respect des bonnes pratiques de développement.
Vous pourrez être amené à intervenir sur des réponses à appels d’offre sur l’analyse des besoins et le chiffrage technique.
Vous avez comme principales missions :
Participer à la consolidation des assets DevOps au niveau de la société
Accompagner et évangéliser les équipes sur ces nouvelles pratiques
Réaliser la conception technique à partir de spécifications ou d’une expression des besoins
Implémenter la solution et les tests unitaires
Contribuer à l’écriture de la documentation du projet/produit
Contribuer à la gestion de configuration du projet/produit
Contribuer aux phases de vérification et d’intégration
Participer à la maintenance corrective et évolutive
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Thales - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,devops,Lyon,18/10/2019,vjk=54d6bd4480ba68e7,vide,vide
Consultante / Consultant Devops - Lyon,Zenika,Lyon (69),35 000 € - 55 000 € par an,"Lyon (69)
CDI
35 000 € - 55 000 € par an
Tu te dis que choisir et refuser tes missions, faire du télétravail, être formé régulièrement ne sont pas compatibles avec un job en ESN ? Et si on te disait que chez Zenika c’est possible !
Qui sommes-nous ?
Depuis notre implantation en 2009, les Zenilyonnais ont su devenir une valeur sûre et incontournable du marché IT de Lyon.
Idéalement situé dans le quartier de La Part Dieu, nous pouvons dire que tous les chemins mènent à Zenika !
Nous sommes aujourd’hui reconnus pour notre palette d’expertises (Web, DevOps, Big Data, Mobile, IoT, Craftsmanship, Agilité…) mais aussi pour notre rayonnement au sein de la communauté grâce à nos meet-Up, conférences ainsi que nos formations à fortes valeurs ajoutées.
En dehors de tes missions, tu pourras aussi retrouver tes collègues, lors de parties de babyfoot endiablées, de soirées jeux vidéo, soutenir l’Asvel en faisant un maximum de bruit, des batailles de Nerfs, des sorties nocturnes, mais surtout, toujours dans la bonne humeur !
Tes missions
Tu es convaincu comme nous que l'intégration et le déploiement continus font partie des principes de base à mettre en place pour accélérer le développement des applications et en assurer la bonne qualité ?
Rejoins Zenika et aide nous à mettre en place une usine logicielle qui va de la construction des artéfacts jusqu'à leur déploiement sur les différents environnements sur lesquels ils doivent être testés et mis à disposition de leurs utilisateurs finaux.
Dans le cadre de tes missions tu devras :
Proposer les architectures techniques adaptées au contexte de l'entreprise pour la mise en place de l'intégration et du déploiement continu
Automatiser la mise en place de l'infrastructure associée
Proposer, installer, utiliser et accompagner les utilisateurs sur l'outil de modélisation du pipeline d'intégration et de déploiement continu
Etre capable de proposer des pipelines de déploiement adaptés aux workflow de l'entreprise et aux plateformes cibles
Accompagner et travailler avec les développeurs et les responsables des infrastructures techniques pour mettre en place les solutions qui conviennent le mieux à tous dans un esprit de partage et de collaboration
Mettre en place les outils qui permettront de mesurer la pertinence des actions mises en place et d'assurer la maintenabilité des applications et des infrastructures techniques.
Qui es-tu ?
Nos indispensables :
Compréhension des grands principes de la culture DevOps (CALMS, Three Ways)
Outils de scripting : shell, ruby, python, groovy
Outils de gestion de la configuration : Ansible, Chef, Puppet, Salt Stack, et les outils de tests associés
Outils de gestion de pipelines : Jenkins, GoCD, GitlabCI, Circle CI, Travis CI, CodeShip
Outils de centralisation des logs, de collecte et de visualisation des métriques : Stack Elastic, Graylog, Prometheus, OpenTSDB, InfluxDB, Grafana
Outils de containerisation : Docker, Rkt
Compréhension des systèmes distribués et répartis
Tu t’investis sur la qualité des projets, tu adhères aux principes DevOps et tu es vigilant sur la performance.
Même si tu n’es pas tombé dedans quand tu étais petit, tu as une réelle appétence pour le développement.
Github, Gitlab, Stackoverflow ou encore bitbucket font partie de tes outils de veille quotidiens ?
Tu aimes échanger et partager avec tes pairs et tu aimerais participer à des événements.
Tu as hésité à passer le CAPES car tu es un formateur dans l’âme et tu souhaites en faire bénéficier le plus grand nombre
Tu ne te prends pas trop au sérieux et tu aimes travailler dans un environnement fun et convivial ?
Et nos plus :
Outils d'orchestration de containers : Kubernetes, Openshift, Swarm, DC/OS, CloudFoundry, Rancher
Outils de gestion de cloud privé : OpenStack, CloudStack, VMWare vSphere
Connaissances des clouds publiques : AWS, Azure, GCE, DigitalOcean
Langage de développement (Java, C#, Golang, Rust) et outils de build associés (maven, gradle, make)
Outils de découverte de service : Consul, Etcd, Eureka
Mécanismes et outils de gestion du cycle de vie de la configuration des applications : Spring Cloud Config, Confd, Vault, Data Containers
Qu’est ce qu’on t’offre?
En résumé, Zenika, te permettra :
De travailler au sein d’une équipe passionnée avec de l’entraide mais surtout de la bonne humeur,
De choisir d’intégrer ou quitter les projets clients de ton choix
De travailler dans un environnement agile
De réaliser des missions d’audit, d’expertise technique et des POCs
D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels
D’animer ou de participer à des événements techniques
De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)
D’avoir la possibilité de devenir formateur sur tes domaines d’expertise
De bénéficier de nos formations et de passer des certifications
De choisir ton matériel informatique (PC, Mac etc.)
De conserver un équilibre vie pro/vie perso (notamment avec le télétravail, les RTT,…)
Surtout, d’avoir ta garde robe aux couleurs de Zenika !
Ce que tu ne trouveras pas chez nous?
Un poste en freelance, full remote
Un projet en centre de services où tu ne feras que de la TMA
Un management directif
Le vouvoiement
Un CEO/manager inaccessible et dans un bureau fermé
Une hiérarchie pyramidale
Du cycle en V
Ok, et si ton profil est retenu, que se passe-t-il ensuite ?
Tu rencontreras le/la chargé.e de recrutement afin de préciser tes attentes et les mettre en perspective avec ce que l'on peut te proposer chez Zenika.
La rencontre est positive, super ! On continue ! tu échanges avec le Directeur d’Agence & le Directeur Technique qui te présenteront l'agence, les missions potentielles et surtout notre manière d'accompagner nos collaborateurs dans leur parcours professionnel.
Ce que l'on peut te proposer te plait ? parfait ! Dernière étape, un échange avec un de tes pairs mais surtout un de tes futurs collègues, un expert de nos équipes, qui évaluera avec toi ton potentiel technique !
Les 3 étapes se sont bien déroulées? Magnifique, tu n'as plus qu'à dire oui à notre proposition d'embauche pour nous rejoindre !
Nous misons avant tout sur des profils, des potentiels et des personnalités. Le meilleur moyen de voir si ça match, c'est de postuler chez Zenika !
Type d'emploi : CDI
Salaire : 35 000,00€ à 55 000,00€ /an
il y a 1 jour
Signaler cette offre d'emploi",17/10/2019,devops,Lyon,18/10/2019,vjk=70d6f65e36dfdaee,vide,cdi
Ingénieur DEVOPS,Hays,Brignais (69),45 000 € - 50 000 € par an,"Brignais (69)
CDI
45 000 € - 50 000 € par an
Notre client est un groupe international dans le secteur de l’agroalimentaire et employant près de 9000 salariés, recherche dans le cadre de la migration de sa DSI sur le secteur Lyonnais un consultant expérimenté SAP FICO.
Missions :
Intégré au sein du pôle Finance/RH de la Direction Informatique, vous contribuez à la mise
en place de solutions SAP et autres applications sous l’autorité du responsable du Pôle concerné.
- Vous êtes l’interlocuteur privilégié pour les sujet contrôle de gestion (CO)
- Vous prenez en charge les besoins exprimés par les utilisateurs et concevez la solution
informatique adaptée
- Vous rédigez les spécifications détaillées, paramétrez et mettez en place les évolutions des
systèmes SAP.
- Vous pilotez/coordonnez des prestataires externes.
- Vous rédigez les documentations relatives aux travaux effectués,
- Vous participez aux démarrages de projet sous l’autorité de votre responsable,
- Vous prenez en charge l’assistance de Niveau 3
Profil recherché :
- Forte connaissance de SAP CO : CO-PC/CO-PA/CO-PCA/CO-CCA
- Connaissance de SAP FI
- Connaissance des points d’intégration avec PP/MM/SD
- Capacité d’analyse et de formalisation,
- Estimation de charges et construction d’un planning
- Capacité à gérer plusieurs projets en parallèle
- Une connaissance métier CO et notamment des processus industriels est un plus.
De formation supérieure en finance contrôle de gestion ou informatique de gestion, vous avez une
première expérience sur les modules FI et/ou CO de SAP (paramétrage). Vous avez le sens du
relationnel. Vous êtes avec le souci du service client.
Vous avez envie d’intégrer une DSI d’un client final. Vous avez le sens du relationnel, vous échangez
aisément avec les utilisateurs finaux et le management. Vous avez l’esprit d’équipe et votre leitmotiv
est de travailler ensemble en bonne intelligence.
Type d'emploi : CDI
Salaire : 45 000,00€ à 50 000,00€ /an
il y a 1 jour
Signaler cette offre d'emploi",17/10/2019,devops,Lyon,18/10/2019,vjk=9ee575ef7f31c55c,vide,cdi
Stage devOps (H/F),Groupe SII,Lyon (69),vide,"Lyon (69)
Stage
Description du poste :
Au sein de notre Direction des Opérations, engagée dans une démarche méthodologique basée sur les standards ISO et CMMi, vous intégrez une équipe projet structurée. Vous intervenez, au sein du projet, dans les mêmes conditions qu’un ingénieur SII. Vous êtes encadré par un référant qui est membre de l’équipe projet et travaille sous l’autorité du Chef de Projet. Votre référant assure votre intégration dans l’équipe et vous accompagne pendant toute la durée de votre stage. Il vous prodigue conseils et assistance et vous facilite l’acquisition des connaissances complémentaires nécessaires à la réalisation de votre travail. Il assure le suivi régulier de la progression de vos travaux.
L’objectif de ce stage est de concevoir et améliorer les outils mis à disposition au sein d’une équipe Ops.
En ce sens, vous participerez aux activités suivantes :
Veille technologique
Etude de l’infrastructure et des processus existants
Analyse du besoin
Développement & Scripting
Rédaction des documents
Suivi/support des équipes de production
Evolution des processus
Profil:
Vous êtes issu(e) d’une Ecole d’Ingénieur en dernière année d’études ou d’une formation universitaire Bac +5.
Durée du stage: 6 mois
Date de démarrage: Avril 2020
Développement Python
Scripting Bash
OS : CentOS / RedHat
Outils : Ansible / Jenkins
Le Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.
Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.
Au palmarès Great place To Work 2019, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.
Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !
Compétences :
Référence de l’annonce :
DE/MR/1019
Expérience:
0-2 ans
Qualification:
Ingénieur Système / Réseaux / Sécurité
Rémunération:

POSTULER
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,devops,Lyon,18/10/2019,vjk=77720a7de978d369,vide,stage
Devops F/H,NORSYS SA,Lyon 3e (69),vide,"Lyon 3e (69)
CDI
Toi...

Ce qui t’anime au quotidien,

c’est le challenge de mettre en place des solutions innovantes et pragmatiques. Curieux, tu souhaites découvrir et intégrer de nouvelles méthodes et technologies.

Ta mission, si tu l’acceptes,

c’est de rejoindre une équipe devops pour accompagner la transformation digitale de notre client.

Ta mission chez norsys :
Au sein de l’équipe Devops, ton rôle est de mettre en place les outils nécessaires et de partager les bonnes pratiques auprès des différentes équipes afin de les accompagner pour la migration ou le déploiement des projets vers le Cloud.
Profil recherché Ce qui est essentiel pour mener à bien cette mission,

c’est d’avoir une première expérience d’au moins 2 ans en développement objet et de maîtriser les outils devops liés au poste. Une bonne compréhension des grands principes du fonctionnement des réseaux et d’internet (IP, DNC, certificats SSL, Routage, etc.) est évidemment également nécessaire.

L’environnement technique

: Docker, Kubernetes, AWS...

Le petit plus ?

Un environnement de travail technophile, une ambiance de travail détendue et sympathique
Entreprise Norsys...

est une ESN engagée de plus de 500 easymakers (collaborateurs), créée en 1994, spécialisée dans le conseil en assistance à maitrise d’ouvrage et l’ingénierie informatique sur-mesure utilisant les dernières technologies (JAVA JEE, PHP, Angular, Nodejs...). En 2019, norsys a été certifiée B Corp, ce qui démontre la réalité de son engagement sur le plan social et environnemental et intègre le cercle pionnier d'entreprises internationales très impliquées.

Rejoignez l'expérience norsys pour 3 raisons :
Un modèle de développement unique qui vise l’excellence économique, l’accomplissement humain et la réalisation sociétale et environnementale

Une entreprise à mission qui souhaite entreprendre autrement et ayant intégré dans ses statuts sa raison d’être : Concevoir avec une préoccupation humaine et éthique des usages du numérique efficaces afin de contribuer à l'évolution positive du monde.

Une entreprise à taille humaine qui t’accompagnera dans la réussite de ton projet professionnel au cœur de locaux chaleureux et conviviaux.
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/10/2019,devops,Lyon,18/10/2019,vjk=9c7d37ae0ad42ab5,vide,cdi
Ingénieur DevOps F/H,5COM CONSULTING,Lyon 2e (69),vide,"Lyon 2e (69)
CDI
Quel est le Challenge ?

Notre agence lyonnaise recherche un Ingénieur DevOps afin de rejoindre des missions agiles et innovantes de nos clients (M6, SNCF,ENGIE, CARREFOUR …).

Pourquoi nous rejoindre ?

Tout est mis en œuvre au sein de nos agences pour que les consultants se sentent chez eux en leur offrant un environnement qui leur permet d’être libre de développer leurs expertises. Ils sont encadrés par une équipe impliquée et soucieuse de les challenger, grâce à la formation, un suivi individuel et de proximité.

Nous aimons bien : s'affronter à Mario Kart ou faire une partie de baby-foot à la pause, partager des moments conviviaux lors des événements d'agence, renforcer l'esprit d'équipe lors d'Escape Games, et le graal, partir en séminaire annuel de 3 jours avec une destination surprise !
Profil recherché Un poste fait pour vous ?

De formation de Bac+3 à Bac+5, d'école ingénieur ou de cursus universitaire, vous justifiez d'une expérience significative autour du DevOps.

Vous disposez d'une ou plusieurs des compétences technologiques suivantes :

Service Cloud : IaaS, PaaS, SaaS, Serveless, AWS, Terraform;

Les outils de supervision, d’ordonnancement;

Les outils de monitoring;

Langage de programmation : Shell, Powershell, Python, Perl;

La containerisation avec Docker;

L'automatisation et l'orchestration avec Puppet, Ansible, Chef, GIT;

L'intégration continue avec Jenkins.
Entreprise Le groupe LAB5com, ESN spécialisé dans le développement WEB recrutons des Talents pour apporter notre expertise et notre savoir-faire aux entreprises.
Apec.fr - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,devops,Lyon,18/10/2019,vjk=1d2ffa91d79325c7,vide,cdi
Ingénieur Systèmes DevOps H/F,effektiv,Lyon (69),35 000 € - 43 000 € par an,"Lyon (69)
35 000 € - 43 000 € par an
Client
Notre client, spécialiste reconnu de l’IoT dans le domaine de la santé et présent à l’international, recrute son Ingénieur Systèmes DevOps H/F sur Lyon Est en CDI.
Poste
En tant que spécialiste des infrastructures de production complexes et distribuées, vous intégrez l’équipe Infra lyonnaise composée de 12 personnes.
Vos missions :
– Développer et automatiser les procédures pour déployer et configurer sans coupure les systèmes et solutions de plateforme Cloud
– Résoudre les problèmes par l’utilisation de méthodes de diagnostic aux niveaux réseaux, systèmes et applicatifs
– Adopter et incarner les normes qualités et les régulations en vigueur (Données sensibles, Sécurité IT, HDS, RGPD…)
– Assurer la disponibilité 24/7 et la stabilité de la gamme de produit
Vous aimerez :
– Rejoindre une société reconnue comme experte dans son domaine
– Un poste évolutif (formations) et l’environnement international
– Le très faible taux de turnover et l’ambiance conviviale
– La possibilité de télétravail ponctuel
Compétences techniques
Maîtrise des systèmes Open source (RedHat) et Windows
Docker / Ansible / Chef / Puppet / Jenkins / Terraform
Maîtrise d’outils de gestion de versions type SVN / Git
Méthodes Agiles
Anglais courant
Profil
De profil Ingénieur (Bac+5), vous justifiez d’une expérience réussie d’au moins 5 ans sur un poste similaire, idéalement dans un environnement international. Une expérience dans le domaine de la santé et de l’IoT est évidemment un plus.
Vous possédez une bonne connaissance des lignes directrices et bonnes pratiques sur la sécurité informatique et les politiques de confidentialité.
Autonome, rigoureux et débrouillard, vous aimez solutionner des problématiques métiers complexes.
De nature curieuse et ouverte, vous avez le goût du travail en équipe et la volonté de vous investir au sein d’une société en forte croissance.
Salaire : 35/43K€ brut/an (+ 5% Bonus + 5% Intéressement + Astreinte 400€ brut/mois) selon expérience et profil + avantages
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Lyon,18/10/2019,vjk=ce4d6ce2a371d807,vide,cdi
Consultant DevOps F/H,Solutec,Lyon 1er (69),vide,"Lyon 1er (69)
CDI
Nous recherchons un(e) Consultant(e) DevOps au sein de notre agence lyonnaise.

Vous aurez pour missions :
Assurer le bon fonctionnement des environnements applicatifs.
Optimiser la supervision ainsi que la performance de l'application.
Contribuer aux décisions pour mise en production
Planifier et Réaliser les opérations d'intégrations applicatives et techniques.
Mise en œuvre des outils d'automatisation de déploiement (Jenkins, Capistrano, Ansible, …)
Faire un reporting aux clients concernant les travaux d'intégration (Planification, tests, aléas etc.)
Développement d'outils et de scripts
Assurer le suivi de l'intégrité des données (sauvegarde, espaces disques, travaux demandés)
Mettre en œuvre et appliquer la démarche qualité de l'entreprise.
Assurer le support niveau 3 de la production.
L'établissement de la documentation technique dans une démarche d'amélioration continue
En tant que consultant, votre rôle comprendra également des aspects plus globaux, comme :

Veille technologique et conseil auprès du client sur de nouveaux outils : Docker, Jenkins, Ansible, Splunk, etc.
Profil recherché Issu(e) d'une formation ingénieur ou d'un cursus universitaire vous avez dans l'idéal une bonne connaissance des environnements de production et de Docker.

Votre motivation, votre forte capacité d'implication et d'adaptation et votre aisance relationnelle vous permettront de satisfaire les exigences des projets qui vous seront confiés.

Vous souhaitez débuter ou poursuivre votre carrière sur des projets innovants, rejoignez-nous dans le cadre d'un CDI.
Entreprise SOLUTEC est une ESN à taille humaine spécialisée en ingénierie, conseil et services informatiques. Nous fonctionnons en régie auprès de clients grands comptes issus de secteurs très variés.
Apec.fr - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Lyon,18/10/2019,vjk=2b6dd751616bab6e,vide,cdi
