Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Ingénieur logiciel C/C++,Silkhom,Lyon (69),vide,"Lyon (69)
CDI
Au sein de l'équipe technique de 12 personnes, vous travaillerez principalement sur le développement de nouvelles fonctionnalités de leur module phare.
Vos responsabilités seront les suivantes :
Participation à la définition des architectures techniques
Choix des solutions techniques
Développement noyau Linux
Implémentation de protocoles de communication
Réalisation des tests unitaires et à l'intégration continue
Assurer le support technique de la solution
Rédaction de documentation technique
Environnement technologique : Langage C/C++ - Noyau Linux - GIT - Jenkins
Pourquoi rejoindre cette entreprise :
Intégrez une société avec une dimension internationale (nombreux client à l'étranger)
Travaillez sur des sujets variés (embarqué, réseau, métrologie) avec une forte technicité
Rejoignez une entreprise avec une culture technophile et une ambiance familiale (peu de turnover dans la société, évènements organisés entre les équipes)
Profil recherché
– Vous avez un BAC+5 (ingénieur ou universitaire)
– Vous avez une expérience d’au moins un an en développement langage C / C++
– Idéalement vous avez déjà travaillé sur des tests unitaires et dans un environnement d’intégration continue
– Une connaissance des protocoles de communication réseau est un plus
– Bon niveau d’anglais : clients internationaux
Compléments
Lieu : Lyon
Contrat : CDI
Salaire : Selon profil
Si votre profil correspond, nous reviendrons vers vous dans les 7 jours à compter de la date d'envoi.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,software_engineer,Lyon,16/10/2019,vjk=6b43475f9193753c,vide,cdi
Ingénieur Logiciel C# H/F,GROUPE CENTUM ADETEL,Écully (69),vide,"Écully (69)
CDI
Depuis plus de 25 ans, CENTUM ADENEO apporte conseil et expertise à ses clients dans le domaine de l’électronique embarqué. Nous intervenons sur tout le cycle de vie du produit et accompagnons les entreprises dans leurs projets de R&D.Rattaché(e) au département « Software » sur le site de notre client, vous intégrez une équipe projet pour assurer le développement et la vérification des IHM. Vous participez à toutes les phases du projet : de l’analyse fonctionnelle aux phases de validation.

En tant qu’Ingénieur(e) développement logiciel, vos missions consistent à :

Participer à la revue des spécifications fonctionnelles,
Rédiger les spécifications techniques unitaires,
Implémenter les différents composants associés sous C#,
Implémenter les tests unitaires et générer les protocoles de tests unitaires,
Implémenter les tests d’intégration et générer les protocoles de tests d’intégration,
S’assurer de la bonne couverture du code par les tests
Mettre à jour l’intégration continue,
Participer aux cérémonies Scrum (chiffrages, priorisation, rétrospectives, stand-up) et à la diffusion de l’agilité,
Participer à l’optimisation des bonnes pratiques dans le service IT,
De formation technique ou supérieure en développement informatique, vous êtes Technicien avec 2 ans d’expérience minimum ou Ingénieur débutant.

Vous avez de bonnes connaissances C# et .NET ainsi qu’en IHM Microsoft (WPF).

Vous êtes à l’aise avec la gestion de configuration GIT ainsi que la méthodologie Scrum.

Votre niveau d’anglais est opérationnel et vous permet de communiquer de manière fluide avec des clients internes et/ou externes.

Vous faites preuve de rigueur, vous bénéficiez d’une excellent relationnel et d’une très bonne ouverture d’esprit.
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,software_engineer,Lyon,16/10/2019,vjk=dcbb040ad766a015,vide,cdi
Ingénieur Logiciel Embarqué F/H,GO CONCEPT,Lyon 8e (69),vide,"Lyon 8e (69)
CDI
QUI SEREZ-VOUS DEMAIN ?

« Un grand pouvoir implique de grandes responsabilités » : en tant que Go Consultant(e) Ingénieur Développement Embarqué C/C++ et intégré(e) aux équipes R&D de notre client, voici celles qui vous seront confiées :

o Définition des spécifications avec prise en compte des contraintes industrielles

o Développement sur microcontrôleurs

o Maintien et évolutions d'architectures

o Tests d'intégration

o Travail en interface avec les équipes électronique, validation & support client
Profil recherché QUI ÊTES VOUS ?

De formation BAC+5 Ingénieur (grande école d'ingénieur, cursus universitaire ou équivalent) en informatique, vous justifiez d'une expérience significative en développement microcontrôleur dans un environnement industriel. Vous avez des connaissances en Matlab ou Python. La maîtrise de l'environnement Linux et/ou des protocoles de communication (ModBus, TCP et RTU, CAN) est un plus. And you do speak english !

Nous cherchons des personnes passionnées par ce qu'elles entreprennent, ayant l'esprit d'équipe et l'ambition d'innover et de créer !

UN TRAVAIL D'ÉQUIPE : voici ce que VOUS pouvez nous apporter

Les consultants de Go Concept sont ambassadeurs du groupe et se positionnent comme des partenaires d'excellence auprès de nos clients. Ils savent partager et faire entendre leurs idées avec humilité, leadership et diplomatie. Ainsi, ils ont un rôle essentiel dans la réalisation, la qualité et le succès de leurs projets.

PRÊT POUR LE GRAND SAUT ? Encore plus de bonnes raisons de rejoindre l'équipe ...

Nous sommes fiers de faire partie du top 150 des meilleures entreprises Françaises ! Ainsi, nous avons l'ambition d'optimiser le monde de demain en surfant sur nos valeurs :

Le plaisir d'évoluer sur des projets enrichissants

Le sens du collectif

L'esprit entrepreneurial

L'ouverture aux passions professionnelles et extra-professionnelles de chaque collaborateur.

VOUS SOUHAITEZ EN SAVOIR PLUS ?

Le meilleur moyen est de suivre nos aventures sur LinkedIn.

Chez Go Concept, à compétences égales, tous nos postes sont ouverts aux travailleurs en situation de handicap.

Challengez-vous, rejoignez-nous !
Entreprise QUI SOMMES NOUS ?

PME internationale de 430 collaborateurs, nous sommes un acteur unique dans le domaine du conseil en innovation et le transfert technologique. Nos pôles d'activité et notre Go Academy interne nous permettent d'accompagner nos clients, start-up comme grands industriels, sur des axes sectoriels tels que l'horlogerie fine, le biomédical, les transports (spatial, aéronautique, automobile, ferroviaire), la machine-outil ou encore l'énergie.

Nous souhaitons aujourd'hui apporter une vision plus humaine et du sens au métier d'Ingénieur Consultant. Nous avons à coeur de proposer une offre qui permet aux ingénieurs les plus talentueux de s'épanouir dans un modèle enrichissant, dynamique et économiquement stable.
Apec.fr - il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",05/10/2019,software_engineer,Lyon,16/10/2019,vjk=33bb6fcc368682cc,vide,cdi
Ingénieur Logiciel Senior - Beach and Sun in ** Barcelona **...,Talented International,Lyon (69),45 000 € - 75 000 € par an,"Lyon (69)
Temps plein, CDI
45 000 € - 75 000 € par an
Nous recrutons actuellement pour notre client qui est le fournisseur leader sur le marché de la communication cloud pour les professionnels.
Opportunité sur Barcelone, dans de tous nouveaux locaux !
Position challengeante offrant une opportunité de travailler dans un environnement international dans l'une des plus belle ville d'Espagne.
Vous vous joindriez à une équipe internationale très expérimentée d’ingénieurs logiciels, d’ingénieurs en fiabilité des sites et d’ingénieurs Tests passionné par la communications en temps réel, les médias, l'infrastructure Cloud, et bien plus encore.
Responsabilités:
Grande expérience en développement logiciels.
Mettre en œuvre de nouvelles fonctionnalités et stratégies pour améliorer les capacités et la tolérance face aux pannes subit par la plateforme de notre client.
Contribuer aux architectures de serveurs et de logiciels pour la diffusion en continu des médias en temps réel, les stratégies d’optimisation de la qualité, l’archivage audio/vidéo, la diffusion en temps réel et l’ingénierie des systèmes connexes, etc…
Contribuer au développement de logiciels et de composants pour contrôler le fonctionnement des fonctions médias et pour surveiller ainsi qu'évaluer la qualité et le rendement de la plateforme.
Travailler sur de multiples projets : le développement de logiciels pour des serveurs multimédias à haute performance, des composants de contrôle auxiliaires, des outils de test logiciel et cela en étroite collaboration avec d’autres équipes telles que l’API, la bibliothèque client sdk, Devops et les QA SDET .
Compétences requises:
Diplôme de premier cycle ou de maîtrise en génie logiciel, en informatique, en télécommunications ou équivalent.
Plus de quatre ans d’expérience (ou plus) dans le domaine de l’ingénierie back-end, avec d’excellentes compétences en débogage et en résolution de problèmes.
Connaissance des technologies de communications médias, des codecs, des formats, du streaming audio/vidéo en temps réel, des protocoles de transport des médias, de la vidéo sur demande.
Historique de livraison de code de haute qualité dans un environnement urgent.
Très orienté satisfaction client et aimant travailler sur des problèmes à grande échelle, l’expédition de logiciels de systèmes haute performance tout en travaillant en collaboration avec votre équipe.
Capacité à suivre des standards établit et méthodes tout en contribuant aux composants de la plateforme.
JS pour le back-end (node.js) et/ou python et volonté d'apprendre rapidement la'utre langage.
Code en C/C++ coding skills, et volonté d'apprendre d'autres langages.
Excellentes compétences écrite et orale en Anglais.
Team Player.
Do not hesitate, join the team : start-up spirit, home office, international company !
Type d'emploi : Temps plein, CDI
Salaire : 45 000,00€ à 75 000,00€ /an
Expérience:
développeur logiciel senior: 7 ans (Requis)
Formation:
Bac +5 (Master / MBA) (Requis)
Langue:
Anglais (Requis)
il y a 11 jours
Signaler cette offre d'emploi",05/10/2019,software_engineer,Lyon,16/10/2019,vjk=e80ca31e5c148918,senior,cdi
Ingénieur Logiciel de Sécurité F/H,CLEARSY,Lyon 6e (69),vide,"Lyon 6e (69)
CDI
CLEARSY recherche un(e) ingénieur(e) logiciel expérimenté(e) avec mission de :

Développer des applications logicielles critiques et/ou sécuritaires ferroviaires (SIL3 ou SIL 4) sur l'ensemble du cycle de développement (conception, codage, test, intégration, validation)

Mettre en œuvre de la norme CENELEC EN50128.

Profil recherché Vous :
Ingénieur(e) de formation ou équivalent spécialisé(e) en informatique industrielle ;

Trois ans d’expérience au moins en développement de logiciels embarqués ;

Idéalement, vous avez déjà travaillé dans le secteur ferroviaire et vous maîtrisez les normes de sécurité.

Vous vous reconnaissez dans nos valeurs que vous aurez à cœur d’entretenir. Les postes à CLEARSY sont évolutifs et polyvalents.
Entreprise Depuis 2001, CLEARSY innove pour faire progresser la sécurité des systèmes et des personnes grâce aux outils logiciels et électroniques conçus et développés dans ses bureaux d’études. Nos ingénieurs interviennent sur toutes les phases de nos projets, de la spécification à la réalisation de solutions que nous livrons assortis de leur dossier de certification.

Nous nous impliquons de façon croissante dans la technologie des systèmes intelligents et connectés (robots, drones, voitures et trains autonomes, …) avec des outils et logiciels capables de répondre aux enjeux de l’automatisation.

Le savoir-faire de CLEARSY est reconnu en France et dans le monde entier avec une vingtaine de projets à l’international depuis 2006 et CLEARSY connait une croissance régulière depuis sa création.

Nos 150 collaborateurs sont répartis entre nos quatre sites : Aix-en-Provence, Strasbourg, Lyon, Paris. Les valeurs de CLEARSY – audace, passion pour la technique, plaisir - s’épanouissent au sein d’une entreprise à taille humaine. Intégrer CLEARSY c’est rejoindre une communauté de spécialistes dans laquelle les compétences professionnelles sont reconnues et enrichies ; dans laquelle l’inventivité, l’autonomie et le sens du collectif sont des qualités appréciées.
Apec.fr - il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",28/09/2019,software_engineer,Lyon,16/10/2019,vjk=bd7aa642023e04f7,vide,cdi
Ingénieur logiciel C/C++ -Editeur de logiciels sécurité,Silkhom,Lyon (69),vide,"Lyon (69)
CDI
Au sein d'une équipes de développement composée de 5 personnes en méthode agile scrum, vous développerez les fonctionnalités d'un nouveau produit lié à la sécurisation des postes et serveurs:
Analyse du besoin
Rédaction des spécifications
Développement de nouvelles fonctionnalités en en langage C
Réalisation des phases de tests
Environnement technologique : C, Windows, méthode agile
Les + du poste:
Esprit d'entraide et d'équipe au sien de l'entreprise
Accompagnement et formation sur les anciens et nouveaux produits
Evolution en tant que Lead dev ou Chef de projet
Profil recherché
– Bac+3 / 5 en développement informatique
Vous avez 2 ans d’expérience en développement C
– Idéalement vous connaissez les environnements Windows ou souhaitez monter en compétence sur ce type d’environnement
Compléments
Lieu : Lyon9
Contrat : CDI
Salaire : Selon profil
il y a 15 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,software_engineer,Lyon,16/10/2019,vjk=c7e2c59054facd1e,vide,cdi
Ingénieur Logiciel Embarqué (H/F),Adsearch,Bron (69),45 000 € - 50 000 € par an,"Bron (69)
CDI
45 000 € - 50 000 € par an
Pour une entreprise spécialisée dans la conception et la fabrication de solutions intelligentes dans le domaine des énergies, la division Industrie & Ingénierie d'Adsearch Lyon, un ou une ingénieur(e) en logiciel embarqué.
L’ingénieur(e) logiciel embarqué intégrera une petite PME d’une vingtaine de personnes et sera rattaché(e) au service de développement du matériel.
Les missions qui lui seront confiées sont les suivantes :
Elaborer et développer de nouveaux logiciels sur processeurs et microcontrôleurs
Prendre part à la création de la structure du système et au choix des plateformes matérielles
S'assurer du bon fonctionnement des logiciels par le biais de tests
Proposer et tester de nouvelles fonctionnalités sur des logiciels simples
Collaborer avec l’équipe R&D sur les interfaces logicielles
Créer des interfaces pour les bancs de test et outils de diagnostic
Participer au suivi des sous-traitants
Rédiger des documents associés à vos travaux, encadrerez la maintenance des logiciels embarqués et effectuerez les modifications nécessaires en cas de dysfonctionnements
L’ingénieur(e) en logiciel embarqué, effectuera des déplacements ponctuels (0 à 3 jours par mois) en France et à l’étranger.
Issu(e) d’une formation Bac+5 en logiciel embarqué, l’ingénieur(e) recherché(e) est fort(e) d’une expérience significative de 2 à 5 ans sur un poste similaire.
Pour occuper ce poste, vous maîtrisez des logiciels tels que Linux ou RTOS et savez utilisez des outils de développement et de gestion de logiciels. Vous possédez des connaissances des réseaux et périphériques électroniques et avez déjà travaillé sur l’élaboration de l’architecture d’un serveur.
Curieux(se), autonome et réactif(ve), vous êtes rigoureux(se) et avez une bonne aisance rédactionnelle.
Ce poste est à pourvoir en CDI sur Lyon.
Type d'emploi : CDI
Salaire : 45 000,00€ à 50 000,00€ /an
Expérience:
ingénieur logiciel embarqué (h/f) ou similaire: 3 ans (Souhaité)
il y a 27 jours
Signaler cette offre d'emploi",19/09/2019,software_engineer,Lyon,16/10/2019,vjk=9aaf75ff1ded87c6,vide,cdi
Embedded Software Engineer,LEM,Lyon (69),vide,"Lyon (69)
Main tasks
Design, build, and maintain efficient, reusable, and reliable Embedded C code
Develop performance-optimized and high-quality modules
Create SW and quality artefacts required for aSPICE / ISO26262 compliance
Identify bottlenecks and bugs and devise solutions to these problems
Create and run unit tests, integration tests and functional tests
Implement the software in partnership with the customer
Help to improve code quality, organization and the build and automatization infrastructure
Skills
Strong proficiency in Embedded C, with fairly complete knowledge of the language specification
Familiarity with embedded systems design and low-level hardware interactions
Proficient understanding of code versioning tools such as Git
Basic knowledge in Python (or similar scripting language)
Basic knowledge of National Instruments tools (Teststand, Labview)
Basic knowledge of requirement management tools (DOORS, CodeBeamer, Reqtify...)
Basic knowledge of mathworks tools (matlab, simulink, stateflow, polyspace)
Awareness for automotive quality requirements (e.g., MISRA C, HIS) and process frameworks (e.g., aASPICE, ISO26262)

Personal Requirements:
Team player attitude
Agile mindset
Willingness to learn
Solid English and French is needed
Date
19/08/2019
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,software_engineer,Lyon,16/10/2019,vjk=3013befeb1dae35c,vide,vide
Ingénieur logiciel embarqué H/F,SEGULA Technologies,Bron (69),vide,"Bron (69)
CDI
Nous accompagnons notre client sur de nouveaux projets dans le secteur du véhicule industriel , nous recherchons un Ingénieur pour prendre en charge l'ajustement du logiciel principal, côté moteur, afin d'y inclure le développement des fonctions spécifiques au projets :
A partir des données spécifiques,vous gérez la cohérence de la configuration du logiciel afin de limiter le nombre de variantes: vous participez aux réunions des équipes fonctionnelles afin de suivre le traitement des variantes.
Vous livrez le logiciel compilé et sa documentation structurée, en assurant un soutien aux équipes projet.
Vous participez aux réunions d'information et de démonstration liées aux projets impactés.
Vous communiquez sur le planning d'avancement des travaux de configurations aux différents chefs de projet.
Profil
De formation Ingénieur électronique, vous justifiez d'une expérience d'au moins 5 ans en développement de logiciel embarqué, dans le secteur de l'automobile ou du véhicule industriel (connaissance du moteur à combustion interne diesel).
Vous connaissez Matlab/ Simulink, Python, Vision et un outil de gestion de la configuration (Dimension CM).
Vous maîtrisez l'anglais.
Votre expertise technique, votre bon relationnel vous permettront de mener à bien ce projet.
Nous vous proposons d'intégrer des projets innovant au sein d'une entreprise en pleine croissance
Secteur d'activité
Vehicules Industriels
Localisation du poste
Localisation du poste
Europe, France, Rhone-Alpes, Rhône (69)
Ville
Bron
Critères candidat
Diplôme
BAC+5 et +
Niveau d'expérience min. requis
6 à 10 ans
Compétences
Matlab
Simulink
PYTHON
Langues
Anglais (Bilingue)
il y a 28 jours
- Continuer pour postuler
Signaler cette offre d'emploi",18/09/2019,software_engineer,Lyon,16/10/2019,vjk=f5fb3e21839e0ce2,vide,cdi
INGENIEUR LOGICIEL EMBARQUE F/H,MYLIGHT-SYSTEMS,Saint-Priest (69),vide,"Saint-Priest (69)
CDI
Développement des logiciels embarqués :
Développement de logiciels embarqués sur microcontrôleurs et processeurs

Participation à l’architecture système et à la sélection des plateformes matérielles

Test des logiciels

Evaluation des nouvelles fonctionnalités par le développement de logiciels simples

Mise en production des produits

Travail en équipe sur les interfaces logicielles

Création d’interfaces graphiques simples pour banc de test et outils de diagnostic

Suivi et évaluation des sous-traitants

Spécifications et documentations du travail réalisé

Maintenance des logiciels embarqués :
Documentation et analyse des logiciels existants en cas de nécessité

Modifications logicielles en cas de bug ou d’améliorations demandées

Rattachement hiérarchique du poste :
CTO hardware
Profil recherché Formation

: formation BAC + 5 en logiciel embarqué

Expérience nécessaire :
1 an minimum réussis dans un poste similaire.

Rémunération

: selon profil et expérience

Compétences / connaissances techniques :
Maîtrise des logiciels temps réels RTOS et Linux embarqués

Outils de gestion/développement logiciel

Connaissances des périphériques/bus/réseaux électroniques : Bluetooth, WIFI, UART/SPI/I2C, CPL, Ethernet, TCP/IP, internet…

Edge computing

Architecture client/serveur

Sécurisation des données

Qualités requises :
Autonomie, curiosité et pragmatisme seront les atouts indispensables pour réussir dans ce poste. De la méthode et de la rigueur seront demandées afin de travailler efficacement en équipe et rédiger la documentation. Enfin, vos qualités relationnelles et l’envie de réussir des challenges ambitieux dans les énergies renouvelables feront de vous le candidat idéal.

Langues :
Français et anglais
Entreprise MyLight Systems est une jeune entreprise en très forte croissance développant des solutions de gestion de l’énergie destinées au marché de l’habitat et des énergies renouvelables. L’entreprise est portée par les valeurs suivantes, établies collectivement :

Durable

Responsabilité & liberté

Agilité

Collectif

Innovation

Efficience et performance

Afin de développer son activité BtoB en France, MyLight Systems recherche un(e) Responsable Commercial(e) sur l’ouest de la France.
Apec.fr - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,software_engineer,Lyon,16/10/2019,vjk=5e5f32e6cce1a59c,vide,cdi
