Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
ingénieurs informatique d’études et développement orientés D...,NOVA TECHNOLOGY,Nantes (44),vide,"Nantes (44)
Vous êtes en recherche d’une nouvelle aventure dans un environnement de travail stimulant ? Le conseil et l’accompagnement du client vous intéresse ?
Venez rejoindre nos équipes NOVA TECHNOLOGY à Nantes afin d’accompagner et conseiller nos clients dans la transformation digitale de ses outils !

Nous recherchons pour renforcer nos équipes des Ingénieurs d’études et développement orientés Data.

Vous aurez pour mission :
Chiffrage des projets
Rédaction des spécifications fonctionnelles générales et détaillées
Développement en vous assurant de la conformité des constructions et du respect des normes de développement
Réalisation des cas de tests
Compétences requises :
Maîtrise du SQL, d’un ETL (DataStage, Talend ou Genio / OTIC ) ainsi que des outils décisionnels (PowerBI, Cognos, Qlikview )

Doté d’une vraie culture IT, d’une expérience en Agilité, d’un intérêt pour la culture DevOps, vos qualités relationnelles vous permettront de vous intégrer à l’équipe.
Vous êtes curieux(se), rigoureux(se) et motivé(e) et vous avez la volonté d’apprendre et partager sur des projets à forte valeur ajoutée.

Rejoignez la Team Nova Technology !
carriere-info - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=d23b08a918604167,vide,stage
Chargé de projet TOIP / Télécom (DATA) / Visio / Freelance,AIS,Nantes (44),vide,"Nantes (44)
Temps plein, Freelance / Indépendant
Activités :
Assurer l’instruction des projets d’évolution, de maintien en condition opérationnel et sécurité des solutions de téléphonie, télécom (réseau data) et visio de notre SI.
Apporter l’expertise à la compréhension des besoins
Assurer la responsabilité du contenu technique des projets : identification des solutions, gestion des consultations, analyse des dossiers et choix à présenter.
Piloter les projets avec suivi et reporting : modernisation des solutions de Visio Conférence, etc.
Opérer un état des lieux des solutions de TOIP.
Assurer la satisfaction des clients et organiser le support associé.
Définir la stratégie et l’évolution des offres de services
Expertise attendu :
Conduite et pilotage de projet
Protocoles réseaux, équipements télécoms, offres opérateurs, solutions de ToIP et de Visioconférence.
Cisco, Juniper , réseau IP (LAN, WAN, MAN), IP Téléphonie (ALCATEL), Centre d’Appels, Visio Conférence, Communications Unifiées, etc.
Freelance-info - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=c0291f18a2dd25e2,vide,freelance
Product Owner Data Management,montreal,Nantes (44),vide,"Nantes (44)
CDI
Notre client est l'entité dédiée au technologies d'un grand groupe international. Dans le cadre de la création d'une nouvelle équipe au sein de leur Data Hub ils recherchent un Product Owner Data Management.
Quel sera votre rôle?
Au sein d'une nouvelle équipe dédiée au Data Management vos principales missions sont:
Le partage de la vision stratégique
Le recueil des besoins auprès des utilisateurs
L'identification, la description et la priorisation des fonctionnalités attendues
L'organisation des tests d'acceptance
La gestion du budget et des délais
...
Profil recherché:
Diplomé d'un Master en Informatique dans le domaine de la Data (ou équivalent) vous disposez d'au moins 5 années d'expérience dans la data et plus précisément le Data Management. Vous avez également de l'expérience du Product Management idéallement à un poste de Product Owner.
Passionné d'informatique et des problématiques data vous avez une excellente communication et un bon sens de l'organisation. Vous avez aussi et surtout une forte appétence à travailler en équipe ainsi qu'en mode agile.
Pourquoi les rejoindre ?
Client final grand compte
Contexte de transformation digitale important
Travail au sein d'une équipe data de plus de 30p
La cerise sur le gateau ?
Salaire attractif et nombreux avantages
Montreal Associates is acting as an Employment Agency in relation to this vacancy.

JN -092019-50900_157054192701793
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=be739ae361d65bb6,vide,cdi
Expert Data Management - Client Final - Nantes,montreal,Nantes (44),vide,"Nantes (44)
CDI
Notre client est l'entité Informatique d'un grand groupe international. Dans le cadre de leur développement ils recherchent un Expert Data Management pour rejoindre leurs équipes.
Au sein d'une équipe Data de +50 personnes à Nantes vous participez à la création et à la maintenance des outils de gestion de la donnée (acquisition, stockage, automatisation, industrialisation...)
A ce titre vous êtes garant du bon fonctionnement et de la cohérence des outils de Data management:
Communication transverse entre les métiers et les équipes techniques.
Accompagnement des différentes parties sur les projets
Identification des besoins techniques et applicatifs et participation à la priorisation des backlogs
Identification des améliorations futures
Rédaction et mise à jour des documents techniques et fonctionnels
Supervision des problématiques de Protection des données
Participation à la stratégie data
Veille technologique
Profil recherché:
Diplomé d'un Master en Informatique dans le domaine de la Data (ou équivalent) vous disposez d'au moins 6 ans d'expérience autour des problématiques de Data Management.
Vous avez de l'expérience dans la mise en oeuvre de solution de Data Management (qualité et traçabilité des données...) et de solutions RGPD. Vous avez idéalement une connaissance technique des outils Talend, Teradata, et de la suite Hortonworks.
Par ailleurs vous êtes disposé à travailler en mode agile et avez l'expérience des SI complexes
Montreal Associates is acting as an Employment Agency in relation to this vacancy.

37285-KDES_157054192918833
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=8139801173ac8c05,vide,cdi
DÉVELOPPEUR DATA,NOVA Technology,Nantes (44),vide,"Nantes (44)
CDI
Descriptif du Poste :
Chiffrage des projets
Rédaction des spécifications fonctionnelles générales et détaillées
Développement en vous assurant de la conformité des constructions et du respect des normes de développement
Réalisation des cas de tests
Profil :
Compétences requises :
Maitrise du SQL, d’un ETL (DataStage, Talend ou Genio / OTIC…) ainsi que des outils décisionnels (PowerBI, Cognos, Qlikview…)
Doté d’une vraie culture IT, d’une expérience en Agilité, d’un intérêt pour la culture DevOps, vos qualités relationnelles vous permettront de vous intégrer à l’équipe.
Vous êtes curieux(se), rigoureux(se) et motivé(e) et vous avez la volonté d’apprendre et partager sur des projets à forte valeur ajoutée.

Rémunération : en fonction du profil
Type de contrat : CDI, statut cadre
Localisation : Nantes
Tous nos postes sont ouverts aux personnes en situation de handicap.
Ce poste vous inspire, vous aimez les challenges ? Vous souhaitez évoluer et apprendre au sein d’une ESN dynamique à taille humaine ?
il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",05/10/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=ed1fcb6d84097844,vide,cdi
Chef de projet Data/CRM,Bevoak,Nantes (44),vide,"Nantes (44)
Temps plein, CDI
Bevoak est un cabinet de conseil opérationnel spécialisé dans l’accompagnement des stratégies Data et CRM, lancé il y a un peu plus d’1 an sur la zone Grand Ouest. Nous accompagnons nos clients en AMOA, cadrage, conseil (architecture fonctionnelle, choix de solution, …), mais également en direction de projet ou de programme. Plus globalement, nous jouons un rôle de facilitateur entre le métier et l’IT.
www.bevoak.com
Afin d’accompagner notre croissance, nous cherchons de nouveaux talents désireux de rejoindre l’aventure. Vos missions potentielles :
Assurer le cadrage des projets Data de nos clients
Identifier comprendre et formuler les exigences fonctionnelles du client
Piloter et suivre le projet (planification, suivi de charge, estimation de reste à faire, …)
Suivre et développer de la relation client
Vous êtes capable d’assurer ces activités suivant les méthode traditionnelles (cycle en V) ou Agiles
Au-delà des compétences, nous cherchons de vraies personnalités. Bienveillance, honnêteté, dépassement de soi et plaisir sont nos valeurs, si vous reconnaissez en celles-ci nous serons ravi de recevoir votre CV.
Type d'emploi : Temps plein, CDI
il y a 19 jours
Signaler cette offre d'emploi",25/09/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=32d893a46c52e39b,vide,cdi
SAP MASTER DATA SPECIALIST - NANTES F/H,Red Commerce Ltd,Nantes (44),vide,"Nantes (44)
Temps plein, CDI
Partenaires privilégiés de l'éditeur SAP, récompensés à plusieurs reprises par l'éditeur ils sont reconnus pour leurs expertises SAP par leurs clients grands comptes.
Pour accompagner leur forte croissance, nous recherchons des specialist SAP Master DATA
Vos missions :
La gestion des données :
Assurer la création, la modification et la maintenance des données dans SAP et d'autres logiciels internes.
Créer et gérer les données de base concernant principalement les produits, les articles, les clients et les fournisseurs. Cela implique la collecte de données auprès des équipes concernées, la vérification de l'exactitude de certaines données clés, la demande d'informations manquantes à l'équipe concernée, la saisie de données dans le système, la suppression / modification de données, le déblocage du système et la communication aux nouvelles équipes de la création / modification
Réaliser régulièrement une nettoyage des données dans SAP (suppression des produits non vendus et / ou des matières premières non utilisées) = > optimisation des références stockées dans les systèmes
Être le garant de la qualité des données dans SAP
Maintenir la procédure SAP Master Data
Amélioration continue :
Développer et améliorer les processus actuels de données de base
Contribuer à des projets d’amélioration continue
Analyses des données
Profil recherché
Vous avez un bac+5 (école d’ingénieur, de commerce ou université)
1 an d'expérience minimum en master data
Vous faites preuve de rigueur, de méthodologie, vous aimez travailler en équipe et êtes doté(e) d’un vrai sens du service client et êtes adaptable à tous types d’environnements de travai
vous savez allier autonomie et prise d'initiative
Formations complémentaires assurées.
Toute correspondance sera entièrement confidentielle.
Si vous recherchez une entreprise se souciant de ses collaborateurs et proposant d'excellentes opportunités en interne, postulez dès à présent en nous faisant parvenir votre candidature.
Par ailleurs, vous pouvez transmettre cette opportunité à vos connaissances susceptible d’être intéressées et à l’écoute du marché.
RED est le leader du recrutement SAP. Nous nous efforçons d'établir des relations professionnelles fondées sur la confiance et la transparence et utilisons notre prestigieuse réputation sur le marché SAP pour vous offrir des opportunités inégalées afin de développer votre carrière et votre expertise sur le marché SAP.
Entreprise
RED est le leader du recrutement SAP. Nous nous efforçons d'établir des relations professionnelles fondées sur la confiance et la transparence et utilisons notre prestigieuse réputation sur le marché SAP pour vous offrir des opportunités inégalées afin de développer votre carrière et votre expertise sur le marché SAP.
Type d'emploi : Temps plein, CDI
Expérience:
sap master data specialist - nantes f/h ou similaire: 1 an (Souhaité)
il y a 14 jours
Signaler cette offre d'emploi",30/09/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=e3fdf8e018a5223e,vide,cdi
Ambassadeur / formateur Data - H/F,Seyos,Nantes (44),40 000 € - 50 000 € par an,"Nantes (44)
Temps plein, CDI
40 000 € - 50 000 € par an
Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Créé en 2016, notre client est une agence digitale spécialisée dans la création de nouvelles interfaces sur mesure.

Equipe à taille humaine, ils ont approché le million d'Euros de chiffres d'affaires sur l'année 2018.

Basés en centre-ville sur Lyon et Nantes, leurs missions sont locales avec une ouverture à l'international.

Aujourd'hui, la société souhaite recruter un(e) Ambassadeur Data pour développer leurs activités.

Localisation : Nantes-centre
Rémunération : 40 000 - 50 000 Euros

Vous contribuez à l'évolution et à la mise en oeuvre de l'activité Data / IA selon les orientations stratégiques de l'entreprise et vous intervenez chez les clients pour développer le partenariat commercial.

Vos principales missions seront :
Définir la feuille de route sur les 3 ans à venir, avec la direction,
Participer à la construction des offres sur mesure,
Animer des formations,
Gérer les partenariats stratégiques existants et futurs.
Si on parle de vous :
Vous disposez d'une expérience réussie d'au moins 5 ans dans le secteur de la Data,
Vous faites preuve d'une grande capacité d'adaptation et d'organisation,
Vous avez un excellent relationnel client, de l'audace et de l'ambition.
Les pré-requis :
Maîtrise de l'écosystème Hadoop et Spark ainsi que son intégration dans des architectures d'entreprise,
Concevoir des architectures et infrastructures Data / IA,
Avoir une culture technique et faire de la veille.
Les + :
Locaux idéalement situés,
Vous avez envie d'intégrer une équipe à taille humaine, où vous aurez un vrai rôle à jouer,
Possibilité d'une journée en télétravail.
il y a 24 jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=ff6f4c9e194d22d5,vide,cdi
"des Data Manager Juniors, Confirmés et Séniors",Keyrus Biopharma,Nantes (44),vide,"Nantes (44)
CDI
Nous recherchons plusieurs Data Manager H/F Juniors, Confirmés et Séniors, en CDI, pour rejoindre notre Centre de Services en Région Parisienne et à Nantes.

Vous interviendrez sur les missions suivantes :
Design de CRF,
Rédaction du plan de validation,
Validation des données,
Gestion des Queries,
Préparation et animation des réunions de Blind Review,
Set up de bases,
Cette liste est non exhaustive.

Votre profil
Diplômé(e) d’une Formation Scientifique de niveau Bac+5, vous justifiez d’une première expérience réussie en Data Management au sein d’un Laboratoire Pharmaceutique ou d’une CRO.
Vous disposez d’une aisance relationnelle et appréciez le travail en équipe.
La maîtrise des outils SAS et R, ainsi que la connaissance des normes CDISC / SDTM est un plus.
Vous avez un bon niveau en Anglais.

Pourquoi nous rejoindre?
Le challenge : l’opportunité d’élargir et d’enrichir vos compétences grâce à notre plateforme dédiée à la formation professionnelle,
La mobilité 360° : mobilité fonctionnelle et géographique,
La touche « bien-être » : un massage tous les 1er jeudis du mois, séances de relaxation, corbeille de fruits, smoothies…
Sharing breakfast mensuel : la parole à nos collaborateurs avec notre CEO,
Les afterworks.

Qui sommes-nous ?
Acteur européen majeur de la recherche clinique, Keyrus Biopharma est une CRO (Contract Research Organisation) créée en 1998, qui compte 310 collaborateurs répartis sur 6 sites en France (Paris, Nantes et Lyon) et à l’étranger (Belgique, Tunisie, Canada). Keyrus Biopharma a orienté sa stratégie de développement sur l’innovation et la créativité pour proposer à ses clients des solutions à forte valeur ajoutée. Nous sommes spécialisés dans tous les secteurs de services des études cliniques : stratégie et soumissions réglementaires, études de faisabilité, mise en place et monitoring, data management, bio statistiques et écriture scientifique. Dans les différentes phases de développement, les phases cliniques I à IV, épidémiologie et les enquêtes. A ce jour, Keyrus Biopharma fournit de l’expertise et de la consultance dans tous les secteurs de la recherche clinique sur base de son expérience et a su s’adapter aux exigences de nouveaux environnement/secteurs tels que la nutrition, la biotechnologie, la cosmétologie et les dispositifs médicaux.

Vous souhaitez rejoindre un groupe dynamique pour évoluer et réaliser votre projet professionnel, alors n’hésitez pas à envoyer votre candidature via le bouton ci-dessous :
mypharma-editions - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/09/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=ba316a71c30271a6,junior,cdi
Data Collector - Take Photos & Survey Parking @ Downtown Nan...,Inrix,Nantes (44),"13,50 € par heure","Nantes (44)
CDD
13,50 € par heure
About Us :
ParkMe licenses parking data for car navigation to companies like Waze, Audi, and BMW. ParkMe was acquired and is now the Santa Monica office and parking data headquarters of INRIX, which also licenses traffic data to Tesla, Audi, and BMW. We believe that technology and data can help drivers get to their destination faster, smarter, and safer, and alleviate traffic congestion in cities across the world.
About You:
ParkMe needs tech-savvy and hard-working individuals to collect field data on parking. This data will be used to test and improve our parking data. You must have the following:
A recent and capable smartphone model with a data plan.
You can easily find your location on the map. You can point out the block and side of street that you are on.
Attention to detail and sharp observation. The ability to execute technical testing and data collection methodologies accurately and precisely.
Accountability and reliability. You take ownership of your work. You see projects to their completion. We can depend on you to deliver the data on time.
Preferred Qualifications:
Proficient with Google Docs and Microsoft Office.
Cartophile. Student, enthusiast, and/or practitioner of GIS.
Active lifestyle. You like to go on jogs and/or bicycle rides.
Explorer. You enjoy exploring the neighborhoods of your city.
About the Job:
ParkMe strives to build the most comprehensive and accurate parking data-set in the world, and we need “ground truth” (information gathered on-site) to test and improve it. You will be provided a map of locations to visit and detailed instructions on how to correctly conduct the survey at the locations by taking photos and entering notes using our app.
These parking surveys answer questions like: how many parking spaces are open and available, and how much does it cost to park? We take these surveys in many cities on a regular basis.
This is a contract position and contractors are paid on an hourly basis of €13.50/hour.
Next Steps:
Submit a resume and cover letter. Tell us about yourself and why you think you are a great fit for the job. Please also provide:
Smartphone model
Primary email
Phone number
Job Type: Contract
Salary: 13.50€ /hour
Language:
English (Required)
il y a 18 jours
Signaler cette offre d'emploi",26/09/2019,Autres_metiers_data,Nantes,14/10/2019,vjk=0fc43ce904d57fe3&advn=9936877825963015,vide,cdd
