Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Developpeur Business Intelligence (H/F),Eurofins France Agro-Alimentaire,Nantes (44),vide,"Nantes (44)
Job Description

L’équipe de Développement cherche un Développeur Business Intelligence passionné et fortement orienté client pour nous aider à mesurer, analyser et résoudre des problèmes complexes.
Au sein d’une entreprise à forte culture quantitative, vous développez les solutions qui permettent aux dirigeants et aux opérationnels de prendre des décisions basées sur des données.
Vous intégrez une équipe à forte dimension internationale, composée de 3 développeurs à Nantes et 6 en Inde ; référente sur nos solutions BI.
Vos clients internes sont les laboratoires d’Europe du Sud-Ouest, et vous intervenez sur les solutions à leurs problématiques business quotidiennes :
Suivi temps réel des flux d’échantillons tout au long du processus d’analyse.
Optimisation des coûts d’analyse et de production.
Reporting dynamique des résultats d’analyse pour nos clients finaux.
Votre mission consiste à concevoir, développer, tester et déployer ces nouvelles solutions en ayant à cœur précision, performance et innovation.

Qualifications

Vous participez au développement des solutions à forte exposition vis-à-vis de nos dirigeants; aussi vous faites preuve de :
Appétence pour les objectifs business, vous alignez continuellement votre travail avec ces objectifs et cherchez à délivrer de la valeur pour le business. Vous avez le sens de l'écoute.
Recul et analyse pour répondre aux besoins business en tenant compte du contexte global.
Exigence vis-à-vis de la qualité et de la performance de vos développements, vous pensez aussi à leur maintenabilité.
Autonomie et curiosité, vous êtes proactif et force de proposition.
Aisance à travailler avec des équipes à l’international.
Capacité à travailler sur des sujets complexes et simultanés.
Appétence pour les nouvelles technologies dans le monde BI.
Vous êtes à l’aise en :
Implémentation d’ETL SSIS pour l’alimentation d’un Data Warehouse.
Conception de Cubes SSAS (Tabulaires & Multidimensionnels).
Elaboration de rapports SSRS (ou autre outil de rendering).
Connaissance approfondie en optimisation et tuning de requêtes SQL complexes.
Anglais parlé et écrit.

Additional Information

null
il y a 9 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,BI,Nantes,18/10/2019,vjk=b31c177aa7b2f3dc,vide,vide
INGÉNIEUR BI TALEND H/F NANTES,Umanis,Loire-Atlantique,vide,"Loire-Atlantique
LE LEADER FRANCAIS DE LA DATA RECRUTE.Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.Umanis, c'est plus de 2700 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.VOS MISSIONS: Venez rejoindre notre communauté Talend et participer aux projets d’envergure de nos clients.Vous justifiez d’une expérience de 3 ans minimum sur l’ETL Talend TIS/TOS.Les connaissances ci-dessous sont souhaitées: Logiciel JavaWeb servicesConnaissances d’autres outils d’alimentations: Informatica, SSISMaitrise de SGBDR: SQL Server, OracleExpérience en reporting décisionnelVous avez le goût du contact et vous saurez vous investir dans un environnement dynamique. Vous êtes autonome. Force de proposition, motivé et ambitieux, vous rejoignez notre structure avec l'envie d'y saisir de réelles opportunités d'évolutions professionnellesAimant le travail en équipe, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour!Pourquoi Umanis?Un suivi régulier et personnalisé par votre manager et votre référente RH.Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.Des moments de partage: soirées d’agence et afterworks, rencontres sportives…La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe.

Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.Notre objectif: continuer de grandir, sans jamais oublier le lien tissé avec chacun, car VOUS êtes notre valeur ajoutée!COMPETENCES REQUISES: Anglais (Intermédiaire), Architecture technique SI (Confirmé), Conception d'ouvrages, produits ou événements (Confirmé), Développement d'ouvrages, produits ou événements (Confirmé), Gestion de projet (Confirmé), Gestion des risques (Intermédiaire), Maîtrise des logiciels (Confirmé), Mise en exploitation / Production et maintenance (Confirmé), Résolution de problèmes complexes (Confirmé)En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous ?
Handi-it.fr - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,BI,Nantes,18/10/2019,vjk=abc0865c75959852,vide,vide
Stage : Consultant Business Intelligence (H/F),"CGI Group, Inc.",Nantes (44),vide,"Nantes (44)
Stage
Position Description:
Envie de travailler dans une agence dynamique, qui allie expertise technique et métier ?

Votre profil nous intéresse !

Notre agence de Nantes (700 personnes) poursuit son développement et dans le cadre de sa campagne de stage recrute plusieurs Consultants en Business Intelligence.

Nous disposons d'un pôle Business Intelligence & Information Management de plus de 50 consultants, experts et ingénieurs dans l'Ouest, avec une stratégie claire sur le développement d'offres à valeur ajoutée pour nos clients pour les aider à gérer les données au sein de l'Entreprise.

Vous êtes amené(e) à appréhender le métier de consultant en Business Intelligence autour de la mise en place d'un système d'aide à la décision mis à disposition de la direction d'une entreprise.

Your future duties and responsibilities:
Sous la responsabilité d'un Chef de Projet, vous intervenez sur les missions suivantes:

Appréhension du contexte et du cadre méthodologique adaptés au projet

Participation à :
La modélisation des processus

La conception du système décisionnel

La rédaction des spécifications, procédures et manuels utilisateurs

La recette et assister les utilisateurs

Required qualifications to be successful in this role:
Etudiant(e) en école d'ingénieur ou issu(e) d'une filière universitaire

Connaissance des principes de l'informatique décisionnelle

Connaissances de base en développement java ou web seraient un plus

Autonomie, écoute, esprit critique et constructif, dynamisme

Anglais technique

Skills:
French
What you can expect from us:
Donnez un élan à votre carrière.

Le secteur des technologies de l'information (TI) connaît une période extraordinaire. La transformation numérique des organisations continue de s'accélérer, et CGI est au premier plan de ce changement. Nous accompagnons nos clients dans leur démarche numérique et offrons à nos professionnels des opportunités de carrière stimulantes.

La réussite de CGI repose sur le talent et l'engagement de nos professionnels. Ensemble, nous relevons les défis et partageons les bénéfices issus de la croissance de notre entreprise. Cette approche renforce notre culture d'actionnaire-propriétaire ainsi, tous nos professionnels bénéficient de la valeur que nous créons collectivement.

Joignez-vous à nous pour prendre part à la croissance de l'une des plus importantes entreprises indépendantes de services en technologies de l'information (TI) et en gestion des processus d'affaires au monde.

Pour en savoir davantage à propos de CGI : www.cgi.com.

Les candidatures non sollicitées provenant de cabinets de recrutement ne seront pas retenues.

CGI favorise l'équité en matière d'emploi.
CGI - il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,BI,Nantes,18/10/2019,vjk=a0b53bc45fe51fbd,vide,stage
Consultant Décisionnel Power BI Indépendant (H/F),Sapiens,Nantes (44),38 000 € - 42 000 € par an,"Nantes (44)
Freelance / Indépendant, CDI
38 000 € - 42 000 € par an
NOTRE ENTREPRISE :
Créé en 2003, SAPIENS est une société de conseil et d’expertise spécialisée dans la transformation IT. Nous intervenons essentiellement auprès de clients grands comptes, au sein de secteurs d’activité diversifiés (Banque/Finance de marché, Industrie, médias, PME, etc.).
Avec plus de 110 consultants et plusieurs implantations géographiques (France & International), nous proposons différents types de prestations informatiques !
VOTRE MISSION :
Dans le cadre d’un renforcement d’équipe sur le projet d’un de nos clients, nous recherchons un Consultant Décisionnel avec une expérience orientée Power BI. Vous serez en charge de la création de rapports analytiques Power BI visant à décrire les performances de notre client et à aider la prise de décisions et la mise en place d’actions, en interne et face aux clients. Vous interviendrez également sur la refonte et l’optimisation des rapports existants et à venir.
Gestion de la relation client
Analyse de l’existant sur Power BI
Proposition de solutions d’optimisation des performances
Rédaction de livrables
Conseil du client sur les futurs chantiers à mener
Optimisation de la conception des plusieurs rapports ultérieurs
Montée en compétence d’un développeur Junior
VOTRE PROFIL :
Diplômé en informatique, vous justifiez d’une expérience professionnelle de 5 ans minimum avec plusieurs projets menés à bien en conception et mis en œuvre de data-visualisation sur l’outil de l’outil Power BI Desktop et Power BI Report Server.
Compétences requises :
Très forte connaissance en POWER BI Desktop et POWER BI Report Server
Très bon niveau en SQL dans un but d’optimisation des performances
Une posture orientée client
De bonnes qualités techniques & relationnelles
Vous êtes à l’aise avec les technologies :
Power BI Desktop, Power BI Report Server
SQL Server, SSIS
SQL
Méthodes Agiles
Vous avez le souci de la qualité et de l’amélioration continue des services proposés aux utilisateurs. Autonomie, rigueur, pragmatisme, dynamisme, adaptabilité, sociabilité relationnelle, sont autant de qualités humaines qui vous permettront de mener à bien vos différentes missions.
Type d'emploi : Freelance / Indépendant, CDI
Salaire : 38 000,00€ à 42 000,00€ /an
Expérience:
consultant décisionnel power bi indépendant (h/f) ou similaire: 5 ans (Souhaité)
il y a 13 jours
Signaler cette offre d'emploi",05/10/2019,BI,Nantes,18/10/2019,vjk=351e6795e86ff7b9,vide,cdi
Ingénieur Microsoft BI H/F NANTES,Umanis,Loire-Atlantique,vide,"Loire-Atlantique
LE LEADER FRANCAIS DE LA DATA RECRUTE.Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.Umanis, c'est plus de 2700 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.L'ingénieur(e) d'etudes se charge de coordonner les études liées au développement de nouveaux outils/produits tout en respectant les spécification définies dans le cahier des chargesVOS MISSIONS: Venez rejoindre notre communauté d’expert sur MSBI certifiés Microsoft sur des projets ambitieux qui vous feront gagner en compétences.Afin de développer nos équipes, nous recherchons donc un : Consultant Microsoft BI (H/F) NANTES.Vous interviendrez en collaboration avec l'équipe de développeurs, sur les missions suivantes : - La rédaction des livrables projets ;- La définition des architectures applicative et technique ;- La participation et le suivi des développements sur Microsoft BI ;- La validation technique ;- Le suivi des évolutions et les améliorations,- La maintenance et le support.Deformation Bac+3/5(Ecole d’ingénieurs ou Université) vous êtes spécialisé eninformatiqueet vous justifiez d’au moins un an d’expérience en développement sur Microsoft BI (MSBI), Power BIVous maîtrisez la suite décisionnelle Microsoft BI (SSIS, SSAS et SSRS), les langages de requêtes MDX, SQL et T-SQL.Les compétences suivantes: Cloud Azure, Data Factory seront appréciées: Vous avez été amené à intervenir sur les phases de rédaction de spécifications, de modélisation de Datawarehouse et de développement de procédures stockées.Votre capacité d’adaptation, votre sens du service, votre autonomie, vos qualités relationnelles seront des atouts certains pour votre développement dans notre société.Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour!Pourquoi Umanis?Un suivi régulier et personnalisé par votre manager et votre référent RH.Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.Des moments de partage: soirées d’agence et afterworks, rencontres sportives…L’intégration d’une communauté DATA nationale active.La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe.Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous?COMPETENCES REQUISES: Résolution de problèmes complexes (Confirmé)En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous ?
Handi-it.fr - il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,BI,Nantes,18/10/2019,vjk=b079814df768bf4b,vide,vide
CONSULTANT BI / ETL - H/F,Lynx RH,Nantes (44),vide,"Nantes (44)
CDI
Afin d’accompagner la croissance de notre client, nous recherchons un(e) consultant BI / ETL

En tant que consultant ETL vos missions seront les suivantes :

Conception et analyse technique
Développement, tests unitaires et tests d'intégration
Intégration et rédaction des cahiers de test et des documents techniques
Veille technologique

Vous êtes reconnu pour vos compétences...
Expérience d'au moins 2 ans dans le décisionnel
Connaissance d'un outil ETL (Talend/Informatica/SSIS/DataStage)
Capacité à monter en compétence sur d'autres solutions BI
Faculté à appréhender rapidement un contexte projet
Et comme les compétences techniques ne suffisent pas à être le meilleur des candidats...

Profil recherché :
Votre entourage vous décrit comme...
A l'écoute
Ayant un fort esprit d'équipe
Ayant un sens du service développé
Capable d'analyse et de synthèse
Autonome
Bon communiquant
Bref, un candidat, naturel, motivé, curieux, autonome et collectif, souhaitant constamment s’améliorer.

Tu es arrivé jusque-là sans difficulté ? Alors c’est à toi de jouer pour qu’une belle histoire commence entre nous !
il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,BI,Nantes,18/10/2019,vjk=d096d8f39b237f06,vide,cdi
CONSULTANT BI H/F RENNES,Umanis,Saint-Herblain (44),vide,"Saint-Herblain (44)
THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
En tant que consultant décisionnel, vous interviendrez sur des projets d'exploitation de données. Au sein d'une équipe projet, vous participerez à l'intégration des ETL type informatica, MSBI, Talend et vous pourrez également mettre en place les outils de Dashboarding tel que PowerBi, Qlikview ou Toucan Toco.
YOUR MISSIONS:
Dans le cadre de la mise œuvre de différents projets décisionnels chez nos clients grands comptes, vous interviendrez sur les missions suivantes :
La rédaction des livrables projets ;
La définition des architectures applicative et technique ;
La participation et le suivi des développements ;
La validation technique ;
Le suivi des évolutions et les améliorations ;
La maintenance et le support.
De formation Bac +5 (Ecole d’ingénieurs ou Université) vous êtes spécialisé en informatique décisionnelle et vous justifiez d’au moins 2 ans d’expériences soit sur un outil ETL (type SSIS – Datastage – ODI – Informatica – Talend), un outil d’analyse et un outil de reporting (type Power BI – Qlik – Tableau – Microstrategy).
Vous avez de bonnes qualités de communication et faites preuve d’aisance relationnelle ; et votre anglais est quant à lui à minima opérationnel.
COMPETENCES REQUISES:
Analyses qualitatives et quantitatives (Confirmé), Anglais (Intermédiaire), Architecture fonctionnelle SI (Confirmé), Convivialité : sourire, politesse, bienveillance, courtoisie, Formation et transmission de connaissances (Confirmé), Gestion budgétaire, financière et économique (Intermédiaire), Gestion de la qualité, de l'hygiène, de la santé, de la sécurité et de l'environnement (Confirmé), Gestion des contrôles, tests et diagnostics (Confirmé), Project management (Confirmé), Résolution de problèmes complexes (Confirmé), Veille, analyse et gestion documentaire (Confirmé);
Si vous souhaitez engager une mobilité, votre référent RH reste à votre disposition pour échanger.

REQUIRED COMPETENCIES:
Budgetary, financial and economic management (Intermediate), Design of works, products or events (Advanced), English (Confirmed), Functionnal Architecture SI (Advanced), Governance IT (Confirmed), Product or event development (Confirmed), Project management (Confirmed), Qualitative and quantitative analyzes (Advanced), Software mastery (Advanced), Technical Architecture SI (Advanced)
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?
il y a 14 jours
- Continuer pour postuler
Signaler cette offre d'emploi",04/10/2019,BI,Nantes,18/10/2019,vjk=87a90c126d95d8d9,vide,stage
Un consultant POWER BI sur Nantes / Freelance,Almatek,Nantes (44),vide,"Nantes (44)
Temps plein, Freelance / Indépendant
Expérience minimum : 5 ans avec plusieurs projets menés à bien en conception et mis en uvre de data-visualisation sur l’outil de l’outil Power BI Desktop et Power BI Report Server.
Compétences comportementales :
o Une posture orientée client

o De bonnes qualités techniques & relationnelles

o Rigueur

Compétences techniques
o Très forte connaissance en POWER BI Desktop et POWER BI Report Server

o Très bon niveau en SQL dans un but d’optimisation des performances

Activités de la mission : Refonte et optimisation des rapports existants et à venir. Nécessite :
o Echange avec le client

o Réalisation d’un état des lieux de l’existant applicatif sur Power BI

o Proposition de solutions d’optimisation des performances

o Rédaction de livrables

o Conseil du client sur les futurs chantiers à mener

o Optimisation de la conception des plusieurs rapports ultérieurs

o Montée en compétence d’un développeur Junior

Technologies :
o Power BI Desktop, Power BI Report Server

o SQL Server, SSIS

o SQL

Méthodes Agiles
Début de la mission : asap

Fin de la mission : T1 2020 minimum !
Freelance-info - il y a 17 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,BI,Nantes,18/10/2019,vjk=5ca434bf133b2263,vide,freelance
DEVELOPPEUR BI H/F NANTES,Umanis,Saint-Herblain (44),vide,"Saint-Herblain (44)
THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
YOUR MISSIONS:
Vous interviendrez en assistance technique ou en forfait aux côtés de consultants et d'experts techniques certifiés Microsoft sur des projets ambitieux qui vous feront gagner en compétences.
Afin de développer nos équipes, nous recherchons donc un :
Consultant Microsoft BI (H/F) NANTES
Vous interviendrez en collaboration avec l'équipe de développeurs, sur les missions suivantes :
La rédaction des livrables projets ;
La définition des architectures applicative et technique ;
La participation et le suivi des développements sur Microsoft BI ;
La validation technique ;
Le suivi des évolutions et les améliorations,
La maintenance et le support.
De formation Bac+3/5 (Ecole d’ingénieurs ou Université) vous êtes spécialisé en informatique et vous justifiez d’au moins un an d’expérience en développement sur Microsoft BI (MSBI).
Vous maîtrisez la suite décisionnelle Microsoft BI (SSIS, SSAS et SSRS), les langages de requêtes MDX, SQL et T-SQL.
Vous avez été amené à intervenir sur les phases de rédaction de spécifications, de modélisation de Datawarehouse et de développement de procédures stockées.
Votre capacité d’adaptation, votre sens du service, votre autonomie, vos qualités relationnelles seront des atouts certains pour votre développement dans notre société.
Des Compétences complémentaires seraient souhaitables :
Expérience de ciblage publicitaire sur site web (web recommandation)
Expérience en analyse textuelle (text mining) et traitement du langage (NLP)
Expérience en calcul d’attrition (churn rate)
La connaissance d’un secteur métier est un plus
Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour !
Pourquoi Umanis ?
Un suivi régulier et personnalisé par votre manager et votre référente RH.
Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.
Des moments de partage : soirées d’agence et afterworks, rencontres sportives…
L’intégration d’une communauté DATA nationale active.
La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe.
Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.
En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous?
REQUIRED COMPETENCIES:
Control, testing and diagnostic Management, Design of works, products or events, English, Knowledge specific to the field of engineering, Monitoring, analysis and document management, Putting into operation / Production and maintenance, Software mastery
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?
il y a 14 jours
- Continuer pour postuler
Signaler cette offre d'emploi",04/10/2019,BI,Nantes,18/10/2019,vjk=551d1b84290d2ddb,vide,vide
Développeur - Business Intelligence - Banque - F/H,Forum Emploi-Formation-Alternance: Talents Handica...,Nantes (44),vide,"Nantes (44)
Stage
Sopra Steria, fort de près de 44 000 collaborateurs dans plus de 25 pays, propose l'un des portefeuilles d'offres les plus complets du marché : conseil, intégration de systèmes, édition de solutions métier, infrastructure management et business process services.En forte croissance, le Groupe accueillera 3 800 talents en 2019 en France pour participer à ses projets d'envergure sur l'ensemble de ses métiers.Vous aussi, rejoignez-nous et participez au monde numérique de demain !Les agences de Nantes accompagnent des clients grands comptes sur des projets d'envergure dans les domaines du Secteur Public, de la Banque, de la Santé, de la Défense, de l'Energie et du Transport. Premier recruteur du numérique dans la région, Sopra Steria intervient sur des projets en Conseil, Intégration de Systèmes, Big Data, Mobilité et Nouvelles Technologies.Votre futur environnement de travailVous intégrez l'équipe actuelle composée de trois équipes d'une dizaine de personnes et intervenez notamment sur plusieurs projets (allant de 5 jours hommes à 300 jours hommes). Vous êtes également encadré(e) par un chef de projet et un tuteur sera identifié pour vous accompagner tout au long de votre stage.Les missions du stageDans le cadre des activités BI du Centre de Service Data, vous intervenez pour un grand compte du domaine bancaire ou de l'assurance : - Alimentation de DataWarehouse et de Datamarts grâce aux grands ETL du marché ;- Reporting de données sur Business Objects 4.2 ;- Participation aux phases de recette fonctionnelle et technique des applications développées.Environnement technologique : SAS Data Integration Studio, Datastage / Informatica / SGBD : Oracle, Informix / Outils de reporting et d'analyse: Business Object, SAS.Environnement fonctionnel : domaine bancaire (Lutte Anti-Blanchiment, Campagne Marketing).Les apports du stage- Découvrir le domaine bancaire ;- Acquérir une expérience sur la BI ;- Découvrir le fonctionnement global d'un Centre de Compétences BI tant sur la partie maintenance que sur la partie évolutive.Vous êtes actuellement en dernière année d'école d'Ingénieur ou en Master 2 Informatique.Vous faites preuve de rigueur, de réactivité et d'un bon relationnel.A compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap.
handicap-job.com - il y a 17 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,BI,Nantes,18/10/2019,vjk=1cab29a245fb27b6,vide,stage
