Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Consultant Big Data H/F NANTES,Umanis,Loire-Atlantique,vide,"Loire-Atlantique
LE LEADER FRANCAIS DE LA DATA RECRUTE.Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.Umanis, c'est plus de 2700 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.VOS MISSIONS: Venez rejoindre notre communauté d’expert Big data sur des projets ambitieux qui vous feront gagner en compétences.Dans un écosystème Big Data basé principalement sur Hadoop (Hortonworks, Cloudera, MapR, Microsoft Azure, AWS), conception et développement d’applications Big Datapour : - L’intégration des flux de données dans un Data Lake(HDFS, Hive, Impala, HBase, …) avec Spark (Scala/Java), Kafka, Storm, Nifi, Sqoop, Flume, Shell Linux, … ;- Transformation et préparation des données en mode batch (Spark, Pig, Hive, …);- Traitement des évènements en temps réel à l’aide de Kafka, Spark Streaming, Storm, Nifi, …;- L’automatisation et l’orchestration des chaines de traitements avec Oozie;- Analyse des données avec Hive, Impala, …;- Suivi de production et maintenance des chaines de traitements;- Rédaction des tests fonctionnels et des tests d’acceptance avec des outils tels que Cucumber et les lancer depuis Jenkins;- Estimation de la charge des tâches et participation aux Pocker plannings;- Conseiller et éclairer le client sur les enjeux liés aux architectures et aux technologies Big Data;- Participation à l’enrichissement du Blog Big Data d’Umanis via des articles et des publications sur les différentes problématiques Big Data.De formation supérieure en informatique, Ecoles d’Ingénieurs ou Universités, vous justifiez de 2 ans d’expériences en conception et développement d’applications Big DataCompétences requises: - Maîtrise d’un langage de programmation orienté objet: Java, Scala, C++, C# …- Linux- Scripting: Shell Linux, Python…- SQL et des fondamentaux du Data Warehousing- Sécurité (Authentification, Autorisation, …)- Hadoop, HDFS, YARN, MapReduce, HBase, Spark, Hive, Impala, Pig, Sqoop, Kafka, Cassandra, ElasticSearch, Nifi, …- Une maitrise d’outils de DevOps et d’Usine de Développements (Cucumber, Maven, Gradle, Git/GitLab, Jenkins, Jira) serait un plus.Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour!Pourquoi Umanis?COMPETENCES REQUISES: Analyses qualitatives et quantitatives (Avancé), Anglais (Confirmé), Architecture fonctionnelle SI (Avancé), Architecture technique SI (Avancé), Conception d'ouvrages, produits ou événements (Avancé), Développement d'ouvrages, produits ou événements (Avancé), Gestion budgétaire, financière et économique (Confirmé), Gestion de projet (Avancé), Gouvernance SI (Confirmé), Maîtrise des logiciels (Avancé)En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous ?
Handi-it.fr - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Big_data,Nantes,20/10/2019,vjk=d086e38e1fc73b5d,vide,vide
Architecte Big Data H/F,EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Externatic, c'est le premier cabinet de recrutement IT de l'ouest, mais surtout un accès privilégier à des opportunités cachées au sein de pépites (+300 postes ouverts HORS ESN / SSII #evil).
Notre moteur : trouver l'opportunité (en CDI) qui vous correspond
Notre approche : on parle un peu, on vous écoute, on vous écoute, on parle un peu
=> Rencontrons-nous !

L'ENTREPRISE / LE POSTE
L’entreprise édite une solution logicielle exploitant des données par les méthodes d'intelligence artificielle pour les équipes marketing et commerce.
En plein croissance internationale, la société complète ses équipes data avec la création d'un poste d'Architecte Data H/F.
Leader technique vous accompagnez la migration vers une architecture évènementielle.
Vous travaillez en lien avec l’équipe de développement, l’équipe de data scientists et le responsable produit.
La mission consistera à
Evaluer, définir, implémenter et supporter l’architecture Big Data
Proposer des solutions et piloter techniquement la migration, le découpage et l’avancement au sein de l’équipe Data.
Former et évangéliser sur les technologies data en interne
Conditions : centre de Nantes. Salaire suivant profil
Les plus :
Environnement bouillonnant et exaltant => veille / montée en compétences / croissance
Super ambiance
Centre de Nantes
Agilité
Salaire
CDI : évolutif + Package attractif.

Benjamin Casseron, votre interlocuteur chez Externatic
Chaque année, j'accompagne des candidats, comme vous, dans la définition de leur projet professionnel et la recherche d'un nouveau job.
N'hésitez pas à me contacter pour échanger sur ce poste et plus généralement sur votre carrière (contacts direct disponibles dans la rubrique ""qui sommes nous"" sur le site d'Externatic).

PROFIL REQUIS
Vous disposez d'une expérience en tant qu'Architecte dont une expérience sur une chaine à base de Kafka.
Vous disposez si possible :
Une expertise sur les bases de données NoSQL (MongoDB),
Une expertise sur les outils de transformations (Kafka Stream, Streamsets, Akka stream, Spark, etc.),
Une maîtrise des technologies Cloud : AWS, Docker, Kubernetes, micro-services, etc.
Une bonne connaissance de l’anglais pour la production documentaire.
il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Big_data,Nantes,20/10/2019,vjk=beb398d288038925,vide,cdi
Consultant Big Data F/H,SIDERLOG,Nantes (44),vide,"Nantes (44)
CDI
Concevoir et alimenter une plateforme Big Data (Datalake, Datalab)

Conseiller les clients sur les solutions proposées

Savoir proposer des outils adaptés aux besoins du projet

Exécuter les différents scénarios de tests

Mettre en œuvre les benchmarks

Savoir exploiter les outils de restitution de données
Profil recherché Bac +5

Formation universitaire, école d’ingénieur

Compétences techniques dans les outils Big Data (R, Cloudera, Hortonworks, Hive, Ambari, Hue, Superset, Nifi, Oozie…) et Décisionnel (Qlickview, Informatica BODS, BO, Cognos, SAS, Talend…)

Expérience dans le monde bancaire et assurance
Entreprise Du plaisir à faire son travail, dans un environnement stimulant où l’on apprécie la qualité de la relation humaine. Voilà le ressenti exprimé par les femmes et les hommes de Siderlog.

Depuis 2003, nos valeurs reconnues sont l’excellence, l’exigence, la confiance et l’esprit d’équipe.

A Paris, Nantes, Lyon et Niort, de grands noms de l’assurance, de la banque, des mutuelles et de l’industrie s’attachent nos services et voient tous les avantages de notre approche du conseil, notre flexibilité et notre sens du service.

Nous intervenons et sommes des acteurs reconnus dans 3 domaines :

Conseil en organisation et en conduite du changement,

AMOA SI et Management de projet,

Décisionnel et Big Data.

Nous rejoindre, c’est intégrer une entreprise dont l’humain est l’épicentre, une société où autonomie, confiance et partage sont des principes forts.

Siderlog est l’un des 25 cabinets de l’écosystème Alan Allman Associates : 1700 experts répartis sur toute la France et à l’étranger (Singapour, Benelux…) : http://alan-allman.com/.
Apec.fr - il y a 16 jours
- Continuer pour postuler
Signaler cette offre d'emploi",04/10/2019,Big_data,Nantes,20/10/2019,vjk=5836ebd2d8caedbb,vide,cdi
Ingénieur Big Data Spark H/F,EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest.
Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => pas de SSII) depuis 2010. Chaque offre d’emploi correspond à un poste réel.
Notre mission : vous trouver le job de vos rêves !

Pour le compte d'une entreprise bancaire sur Nantes, nous recherchons :

un Ingénieur Big Data Spark H/F

Vous souhaitez travailler sur des technologies récentes, appliquer des méthodes innovantes, évoluer dans des équipes à taille humaine et dans une ambiance dynamique.
Dans un contexte d’investissements importants, plusieurs projets majeurs sont lancés ou en passe de l’être au sein du système d’information. Ils répondent à des enjeux variés, nombreux, et ambitieux :
Croissance organique des activités
Lancement de nouveaux produits
Croissance externe et intégrations
Refonte des socles technologiques
Modernisation des applications, mise en place de nouvelles architectures
Vous intégrez une équipe agile qui a la charge de mettre en place et exploiter la plateforme BigData Hadoop basée sur la distribution HortonWorks. Votre rôle dans l’équipe est le développement des jobs spark pour alimenter les différentes zones du datalake.
Vous mettez à la disposition du groupe vos expertises spécifiques, et profitez des intéractions quotidiennes pour développer celles que vous maitrisez moins et qui vous intéressent. Vous êtes bien sûr l’un des éléments clés du développement de votre produit, mais vous prenez aussi part au développement des outils DevOps, à l’amélioration des méthodes de testing et de déploiement.
PROFIL REQUIS
Diplômé d'un niveau BAC+4 ou Bac+5, vous justifiez d'une expérience de 2 à 5 ans réussie dans le domaine du développement Java, Scala spark et tout ou partie de l’environnement technologique évoqué.
Vous êtes passionné(e)s de nouvelles technologies et vous souhaitez développer vos compétences.
Dynamique, rigoureux(se), disposant d’une excellente communication, vous aimez travailler en équipe et faites preuve d’un très bon relationnel.

Vous êtes disponible immédiatement ou à trois mois et souhaitez surtout vous investir sur la durée : ce poste est pour vous !
il y a 20 jours
- Continuer pour postuler
Signaler cette offre d'emploi",30/09/2019,Big_data,Nantes,20/10/2019,vjk=0492688a8ced6da1,vide,cdi
CONSULTANT BIG DATA H/F NANTES-NIORT,Umanis,Loire-Atlantique,vide,"Loire-Atlantique
LE LEADER FRANCAIS DE LA DATA RECRUTE.Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.Umanis, c'est plus de 2700 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.VOS MISSIONS: Pour toujours mieux se développer, nous sommes en quête de talents avides de nouvelles aventures et souhaitant s’investir à nos côtés.Pour renforcer l’équipe en place, nous recherchons notre futur(e) Consultant(e) Big Data!En intégrant le projet de notre client, votre mission sera articulée autour de plusieurs axes : Concevoir et mettre en place des chaines de processing Big Data (Hadoop, Spark)Développer des modules de traitements de données Spark en ScalaÊtre force de proposition sur les solutions techniques mises en œuvreParticiper aux déploiements des solutions dans une démarche Agile / DevOpsDévelopper une expertise autour Java / Hadoop / Spark / KafkaDe formation supérieure en informatique, Ecoles d’Ingénieurs ou Universités, vous justifiez d’une ou plusieurs expériences en matière de développement Big Data (3, 5, 10 ans d’expérience, ce n’est pas la quantité qui compte, c’est le talentet la passion!)Votre domaine de compétences couvre l’écosystème Hadoop : Hive, Kafka, Ambari, Cloudera, Hortonworks; la capacité à implémenter des algorithmes distribués avec un langage de programmation Java, Scala, ou Python; la connaissance de NoSQL, d’une solution telle que Cassandra ou MongoDB et d’un moteur de recherche type ElasticSearch.Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour!Pourquoi Umanis?Un suivi régulier et personnalisé par votre manager et votre référente RH.Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.Des moments de partage: soirées d’agence et afterworks, rencontres sportives…La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe. Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.Notre objectif: continuer de grandir, sans jamais oublier le lien tissé avec chacun, car VOUS êtes notre valeur ajoutée!COMPETENCES REQUISES: Anglais (Confirmé), Architecture fonctionnelle SI (Avancé), Architecture technique SI (Avancé), Compétences rédactionelles (Avancé), Conception d'ouvrages, produits ou événements (Confirmé), Développement d'ouvrages, produits ou événements (Avancé), Gestion budgétaire, financière et économique (Intermédiaire), Gestion de projet (Confirmé), Gouvernance SI (Confirmé), Maîtrise des logiciels (Avancé)En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous ?
Handi-it.fr - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Nantes,20/10/2019,vjk=f46cd355d88f539a,vide,vide
Développeur Big Data - Bank - CDI,montreal,Nantes (44),vide,"Nantes (44)
CDI
Big Data
Cloud AWS
Java Spark
L'entreprise est une banque digitale indépendante basée à Nantes.
Vous interviendrez dans un contexte technologique riche en méthode agile dans un environnement dynamique.

Au sein de la direction informatique, vous aurez un poste de Développeur Big Data/Data Engineer.

Votre rôle:
Développement des jobs Spark
Développement des outils DevOps
Amélioration des outils de testing et de déploiement
Mise en place et exploitation plateforme Big Data

Qui êtes-vous?
Vous maitrisez le développement en Java,Scala ou Spark
Vous êtes en veille technologique
La connaissance Cloud (AWS) est un plus
Vous êtes curieux et avez envie d'apprendre

Avantages:
45 jours de congés
CE
Formation

Cerise sur le gâteau:
Abondement

Montreal Associates is acting as an Employment Agency in relation to this vacancy.
Montreal Associates is acting as an Employment Agency in relation to this vacancy.

JN -072019-50466_156879122306931
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Nantes,20/10/2019,vjk=a39eb635d5916d88,vide,cdi
CONSULTANT BIG DATA H/F NIORT,Umanis,Saint-Herblain (44),vide,"Saint-Herblain (44)
Temps partiel
THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
YOUR MISSIONS:
Venez rejoindre notre communauté d’expert Big data sur des projets ambitieux qui vous feront gagner en compétences.
Dans un écosystème Big Data basé principalement sur Hadoop (Hortonworks, Cloudera, MapR, Microsoft Azure, AWS), conception et développement d’applications Big Data pour :
- L’intégration des flux de données dans un Data Lake (HDFS, Hive, Impala, HBase, …) avec Spark (Scala/Java), Kafka, Storm, Nifi, Sqoop, Flume, Shell Linux, … ;
- Transformation et préparation des données en mode batch (Spark, Pig, Hive, …) ;
- Traitement des évènements en temps réel à l’aide de Kafka, Spark Streaming, Storm, Nifi, … ;
- L’automatisation et l’orchestration des chaines de traitements avec Oozie ;
- Analyse des données avec Hive, Impala, … ;
- Suivi de production et maintenance des chaines de traitements ;
- Rédaction des tests fonctionnels et des tests d’acceptance avec des outils tels que Cucumber et les lancer depuis Jenkins ;
- Estimation de la charge des tâches et participation aux Pocker plannings ;
- Conseiller et éclairer le client sur les enjeux liés aux architectures et aux technologies Big Data ;
- Participation à l’enrichissement du Blog Big Data d’Umanis via des articles et des publications sur les différentes problématiques Big Data.
De formation supérieure en informatique, Ecoles d’Ingénieurs ou Universités, vous justifiez de 2 ans d’expériences en conception et développement d’applications Big Data
Compétences requises :
- Maîtrise d’un langage de programmation orienté objet : Java, Scala, C++, C# …
- Linux
- Scripting : Shell Linux, Python…
- SQL et des fondamentaux du Data Warehousing
- Sécurité (Authentification, Autorisation, …)
- Hadoop, HDFS, YARN, MapReduce, HBase, Spark, Hive, Impala, Pig, Sqoop, Kafka, Cassandra, ElasticSearch, Nifi, …
- Une maitrise d’outils de DevOps et d’Usine de Développements (Cucumber, Maven, Gradle, Git/GitLab, Jenkins, Jira) serait un plus.
Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour !
Pourquoi Umanis ?
Un suivi régulier et personnalisé par votre manager et votre référente RH.
Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.
Des moments de partage : soirées d’agence et afterworks, rencontres sportives…
L’intégration d’une communauté DATA nationale active.
La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe.
Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.
En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous?
REQUIRED COMPETENCIES:
Budgetary, financial and economic management (Intermediate), Design of works, products or events (Advanced), English (Confirmed), Functionnal Architecture SI (Advanced), Governance IT (Confirmed), Product or event development (Confirmed), Project management (Confirmed), Qualitative and quantitative analyzes (Advanced), Software mastery (Advanced), Technical Architecture SI (Advanced)
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Nantes,20/10/2019,vjk=a17983416e321915,vide,vide
Développeur / Développeuse Big Data – Nantes H/F,Crédit Agricole Technologies & Services,Nantes (44),vide,"Nantes (44)
CDI
Métier
Informatique / Réseaux
Titre du poste
Développeur / Développeuse Big Data – Nantes H/F
Description du poste
« Et si vous mettiez votre expertise et votre engagement à 100%
au service de notre entreprise ? »

Vous avez de l'expérience dans le développement informatique ? Vous êtes créatif et passionné, aimez travailler en équipe ? Vous aspirez à enrichir vos compétences et à évoluer dans un environnement stimulant?

Si oui, ce poste est fait pour vous !

Crédit Agricole Technologies et Services (CA-TS) en bref
Crédit Agricole Technologies et Services est l'entité en charge de l'informatique du réseau bancaire régionalisé du groupe Crédit Agricole.
Dans un contexte de digitalisation de la banque, nous sommes engagés dans une transformation vers un mode de fonctionnement Agile afin de répondre aux nouveaux enjeux de nos 21 millions d'utilisateurs en France. Notre objectif : se nourrir des évolutions technologiques et fournir des services innovants en plaçant la vision client cœur de nos préoccupations.

Vous intégrerez la Tribu Datahub (Système d'Information Décisionnel, big data, data management, pilotage et décisionnel, …) qui fait partie du Pôle Produit Data Pilotage et Marketing.

Quel sera mon rôle ?
Vous garantissez le bon développement des applications IT et élaborez des solutions techniques adaptées. Vous travaillez avec l'ensemble de votre équipe (Squad Big Data) et donnez la vision technique du produit. Vos missions principales :
Réaliser la conception, développement et tests unitaires des applications informatiques dans le respect des normes et standards que qualité
Effectuer des évolutions fonctionnelles ou corrections d'incidents
Participer au chiffrage des solutions IT (poker planning) et contribuer à la priorisation (backlog)
Etre responsable des évolutions fonctionnelles et participer aux démonstrations associées, incluant les tests de performance
Contribuer à la résolution des blocages rencontrés par d'autres développeurs
Profil
Quel est le profil recherché ?
Maitrise des technologies et environnement JAVA, Python, Scala, Hadoop, SQL, Suite HortonWorks
Vous avez à minima une première expérience réussie dans le développement informatique et vous souhaitez vous spécialiser dans les technologies du Big Data
Autonomie, enthousiasme et esprit d'initiative, notamment dans la recherche de solutions
Bonne communication et capacité à travailler en équipe
Diplôme de niveau Bac +5
Forte appétence à travailler dans un contexte agile - une expérience dans un environnement agile serait un plus

Pourquoi rejoindre CA-TS ?
Participation à des projets à fort impact dans le cadre de notre transformation digitale
Autonomie et co-localisation des équipes dans un environnement dynamique et créatif
Opportunité de carrière et dispositif de formation global et innovant
Des valeurs humaines et bienveillantes avec un accompagnement de proximité
Avantages et stabilité d'un grand groupe

« Parce que le handicap ne doit plus être un handicap en entreprise, nous, Crédit Agricole Technologies et Services, avons ouvert nos métiers à tous les talents, sans exception.»
Contrat
CDI
Localisation du poste
Localisation du poste
Pays-de-la-Loire, Loire Atlantique (44)
Lieu de travail
nantes
Critères candidat
Niveau d'études min. requis
Bac+5
Crédit Agricole Caisses Régionales - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Nantes,20/10/2019,vjk=23538d42bcf20e2d,vide,cdi
CONSULTANT BIG DATA H/F RENNES,Umanis,Saint-Herblain (44),vide,"Saint-Herblain (44)
THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
YOUR MISSIONS:
Umanis Rennes est une agence à taille humaine qui regroupe une trentaine de collaborateurs en 2019. Pour toujours mieux se développer, nous sommes en quête de talents avides de nouvelles aventures bretonnes et souhaitant s’investir à nos côtés.
Pour renforcer l’équipe en place, nous recherchons notre futur(e) Consultant(e) Big Data !
En intégrant le projet de notre client, votre mission sera articulée autour de plusieurs axes :
Concevoir et mettre en place des chaines de processing Big Data (Hadoop, Spark)
Développer des modules de traitements de données Spark en Scala
Être force de proposition sur les solutions techniques mises en œuvre
Participer aux déploiements des solutions dans une démarche Agile / DevOps
Développer une expertise autour Java / Hadoop / Spark / Kafka
De formation supérieure en informatique, Ecoles d’Ingénieurs ou Universités, vous justifiez d’une ou plusieurs expériences en matière de développement Big Data (3, 5, 10 ans d’expérience, ce n’est pas la quantité qui compte, c’est le talent et la passion !)
Votre domaine de compétences couvre l’écosystème Hadoop : Hive, Kafka, Ambari, Cloudera, Hortonworks ; la capacité à implémenter des algorithmes distribués avec un langage de programmation Java, Scala, ou Python ; la connaissance de NoSQL, d’une solution telle que Cassandra ou MongoDB et d’un moteur de recherche type ElasticSearch.
Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour !
Pourquoi Umanis ?
Un suivi régulier et personnalisé par votre manager et votre référente RH.
Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.
Des moments de partage : soirées d’agence et afterworks, rencontres sportives…
La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe. Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.
Notre objectif : continuer de grandir, sans jamais oublier le lien tissé avec chacun, car VOUS êtes notre valeur ajoutée !
REQUIRED COMPETENCIES:
Budgetary, financial and economic management (Intermediate), Design of works, products or events (Advanced), English (Confirmed), Functionnal Architecture SI (Advanced), Governance IT (Confirmed), Product or event development (Confirmed), Project management (Confirmed), Qualitative and quantitative analyzes (Advanced), Software mastery (Advanced), Technical Architecture SI (Advanced)
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Nantes,20/10/2019,vjk=c2a865ff7bc09679,vide,vide
DEVELOPPEUR BIG DATA H/F RENNES,Umanis,Saint-Herblain (44),vide,"Saint-Herblain (44)
THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
The developer realizes the software or application according to the detailed specifications of the client and the chosen technical architecture
YOUR MISSIONS:
Umanis Rennes est une agence à taille humaine qui regroupe une trentaine de collaborateurs en 2019. Pour toujours mieux se développer, nous sommes en quête de talents avides de nouvelles aventures bretonnes et souhaitant s’investir à nos côtés.
Pour renforcer l’équipe en place, nous recherchons notre futur(e) Développeur(se) Big Data !
En intégrant le projet de notre client, votre mission sera articulée autour de plusieurs axes :
Etudes en amont et analyse des besoins
Modèles de DataWarehouse et de Hub innovants
Architecture des flux et des processus d’alimentation
Conception, mise en œuvre et déploiement des traitements informatiques de calcul et de reporting et des processus temps réel dans le cadre de la digitalisation
De formation supérieure en informatique, Ecoles d’Ingénieurs ou Universités, vous justifiez d’une ou plusieurs expériences en matière de Big Data (3, 5, 10 ans d’expérience, ce n’est pas la quantité qui compte, c’est le talent et la passion !)
Votre domaine de compétences couvre l’écosystème Hadoop : Hive, Kafka, Ambari, Cloudera, Hortonworks ;
la capacité à implémenter des algorithmes distribués avec un langage de programmation Java, Scala, ou Python ;
la connaissance de NoSQL, d’une solution telle que Cassandra ou MongoDB
d’un moteur de recherche type ElasticSearch ou Solr .
Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour !
Pourquoi Umanis ?
Un suivi régulier et personnalisé par votre manager et votre référente RH.
Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.
Des moments de partage : soirées d’agence et afterworks, rencontres sportives…
La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe. Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.
Notre objectif : continuer de grandir, sans jamais oublier le lien tissé avec chacun, car VOUS êtes notre valeur ajoutée !
REQUIRED COMPETENCIES:
English
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",20/09/2019,Big_data,Nantes,20/10/2019,vjk=de947dd074cf9d46,vide,vide
