Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur full stack PHP JS F/H,iRaiser,Nantes (44),35 000 € - 45 000 € par an,"Nantes (44)
Temps plein, CDI
35 000 € - 45 000 € par an
L'entreprise:
Groupe européen basée à Nantes, nous proposons une suite logicielle en mode SaaS aux organisations à but non lucratif (ONG, écoles, fondations, ...). Nous sommes aujourd'hui leader européen et travaillons avec près de 600 organisations en Europe (dont Les Restos du Coeur, Médecins sans Frontières, SPA, UNICEF, WWF, ...).
Nos applications leur permettent de collecter des dons, réaliser des pétitions, créer des pages de crowdfunding, gérer les donateurs … Elles ont permis de collecter plus de 800 000 000 €.
Le Poste:
Nous recrutons un Développeur Full Stack PHP JS pour intégrer l'équipe en charge de l'appli de paiement.
Cela implique:
- Conception et spécification : vous maîtriserez le fonctionnel pour être force de proposition
- Développement
- Organisation de la recette, documentation
- Gestion de projet (travail fortement collaboratif).
Profil recherché:
Diplômé·e d'une école en informatique ou riche d'une expérience équivalente, vous apprenez vite, vous êtes très organisé·e et rigoureux·se.
- Compétences en développement:
PHP 7, Javascript, MySQL/PostgreSQL, Git, Linux, POO ...
- Connaissances appréciées:
nginx, Odoo, SI, Python, clients et serveurs APi, terminaux de paiement en ligne (Ingenico, Paypal,...)
Vous êtes leader, débrouillard·e : quel que soit le problème, vous ne restez jamais bloqué·e et trouvez toujours une solution.
Vous aimez découvrir et apprendre afin de pouvoir faire face à de nouvelles situations.
Vous possédez de réelles qualités relationnelles, votre esprit d’analyse et votre réactivité vous permettent de coordonner votre travail avec vos interlocuteurs internes et externes, qu'ils soient techniques ou non.
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an
Expérience:
développeur full stack php js f/h ou similaire: 2 ans (Souhaité)
il y a 22 heures
Signaler cette offre d'emploi",Aujourd'hui,developer,Nantes,16/10/2019,vjk=487bc15290fc8865,vide,cdi
Développeur front-end et moteur graphique Web F/H,MyScript,Nantes (44),vide,"Nantes (44)
CDI
Notre équipe Cloud est en charge du prototypage, du développement et de l’exploitation en production (AWS) de l’ensemble des couches logicielles permettant la reconnaissance d’écriture depuis le navigateur et la mise à disposition riche des pages de notes synchronisées depuis les applications natives de MyScript https://nebo.app

Son but est de rendre accessible en ligne le meilleur de la technologie MyScript, comme par exemple depuis le portail développeur https://developer.myscript.com/get-started/web u depuis le site de démonstration https://webdemo.myscript.com/.

Rattaché au responsable de l’équipe, vous aurez la mission de développer la prochaine génération de composants graphiques permettant la visualisation et l’édition de documents riches depuis le browser.

Expert en développement graphique, vous faites preuve d’autonomie et d'ingéniosité pour apporter une expérience toujours optimale à nos utilisateurs.

Profil recherché Vous connaissez nécessairement :
Javascript et son optimisation pour un maximum de navigateurs (ES6 si possible)

Le développement d’application utilisant intensivement SVG et/ou Canvas (Jeu ou librairie de charting par exemple)

HTML, CSS

Un système de build comme Rollup, Gulp, Webpack, …

Npm et Yarn

Le gestionnaire de code source Git

Anglais courant

Seront par ailleurs appréciés :
Une réalisation professionnelle ou personnelle visible en ligne (site, repo github …)

La maîtrise d’un framework MV* parmi Polymer, VueJS, Angular, React ou autre

Ponctuellement intervenir sur le développement backend (NodeJS ou JAVA)

La connaissance de shell et de make

Une expérience de l’outil d’intégration continue Jenkins

L’envie de découvrir et de mettre en œuvre de nouvelles technologies permettant à MyScript d’imposer sa technologie de reconnaissance d’écriture dans le Cloud
Entreprise MyScript, c'est une équipe de technophiles passionnés qui ont développé une solution de reconnaissance de l’écriture manuscrite : avec cette technologie, les utilisateurs peuvent créer et gérer du contenu digital, et donc améliorer leur productivité.

La 1ère née des starts-up nantaises propose un niveau de performance inégalé, une intégration sous toute plateforme ainsi qu’une reconnaissance quasi-universelle (100 langues, 200 symboles mathématiques, 100 notations musicales, 25 formes géométriques).

Elle promet également une facilité pour manier l’encre digitale et retranscrire naturellement l’intention de la main humaine.

MyScript intègre son

moteur d'intelligence artificielle

dans des équipements tels que des tablettes, smartphones, tableaux interactifs, système de commande du GPS, etc. et développe des applications disponibles sur les stores (

Nebo, Calculator 2

) pour ses utilisateurs directs.

A ce jour, la technologie MyScript est déjà dans les mains de plus de

500 millions d’utilisateurs

.

Notre ambition d'équipe? Travailler ensemble dans un esprit ""One team"", démontrer toujours davantage notre engagement envers nos utilisateurs, poursuivre l'innovation et résoudre l'impossible, et bien-sûr perpétuer la haute qualité de nos solutions.
Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Nantes,16/10/2019,vjk=a35a155a5ffae977,vide,cdi
Développeur front-end WPF (H/F),Younup,Nantes (44),vide,"Nantes (44)
CDI
Ici, on n’est pas expert en babyfoot, on est expert en IT!
Nous aimons l’IT, nous aimons le dev, mettre en place une belle archi, livrer une spec propre, produire des applis clean. Ce sont donc des passionnés unis, à la disposition des projets de transformation digitale de nos clients, qui composent Younup.
Ici, l’agilité n’est pas qu’une méthode, c’est une posture, un état d’esprit!
Chez Younup nous intégrons l’agilité au cœur même du pilotage global de l’entreprise. Nous mettons en œuvre une approche innovante permettant de proposer un rôle, individuel et collectif, à chacun des équipiers Younup.
Ici, les managers sont au service des consultants, pas l’inverse!
Nous portons une attention toute particulière à notre politique RH et à l’intelligence collective pour que chaque équipier de l’entreprise soit mis au service de tous. Car nous croyons en la co-construction pour proposer un service IT de pointe à nos clients.

Quel sera ton poste ?
Younup, jeune entreprise de service du numérique, t’ouvre ses bras
Pour accompagner notre croissance nous recherchons un développeur front-end WPF. Tu seras amené à participer au projet de l'un de nos clients nantais, dans le secteur des énergies renouvelables.
Tu travailleras au sein d'une équipe en méthode Agile Scrum.
Tu seras en charge de t'occuper de toute la partie technique d'un besoin fonctionnel donné : architecture, conception, développement uniquement front-end avec WPF et tests.
Nous te donnerons de vive voix davantage de détails sur le contexte de ce projet que tu pourrais intégrer!

Le profil recherché...
Nous recherchons une personne ayant au minimum 2 ans d’expérience, diplômée d’une formation supérieure en informatique.
Tu souhaites participer à des projets où tu peux être force de proposition et partager tes connaissances et compétences avec les plus juniors de l'équipe.
Nous ciblons des personnes motivées, curieuses et passionnées qui ont envie de se lancer dans une nouvelle aventure... Et oui il y a plein de choses à co-construire et à façonner chez Younup !
Alors si tu te reconnais dans cette annonce, postule et tu rejoindras peut-être bientôt l'équipe
il y a 23 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Nantes,16/10/2019,vjk=4efa2838da42ba40,vide,cdi
Développeur back-end Java (H/F),Younup,Nantes (44),vide,"Nantes (44)
CDI
Ici, on n’est pas expert en babyfoot, on est expert en IT!
Nous aimons l’IT, nous aimons le dev, mettre en place une belle archi, livrer une spec propre, produire des applis clean. Ce sont donc des passionnés unis, à la disposition des projets de transformation digitale de nos clients, qui composent Younup.
Ici, l’agilité n’est pas qu’une méthode, c’est une posture, un état d’esprit!
Chez Younup nous intégrons l’agilité au cœur même du pilotage global de l’entreprise. Nous mettons en œuvre une approche innovante permettant de proposer un rôle, individuel et collectif, à chacun des équipiers Younup.
Ici, les managers sont au service des consultants, pas l’inverse !
Nous portons une attention toute particulière à notre politique RH et à l’intelligence collective pour que chaque équipier de l’entreprise soit mis au service de tous. Car nous croyons en la co-construction pour proposer un service IT de pointe à nos clients.

Quel sera ton poste ?
Younup, jeune entreprise de service du numérique, t’ouvre ses bras
Pour accompagner notre croissance nous recherchons un développeur back-end Java. Tu seras amené à participer aux projets de build de nos clients, exclusivement nantais, sur la spec JEE.
Tu travailleras au sein d'une équipe sur la partie back-end des applications en utilisant Spring et un framework de persistance comme Hibernate.
Les projets sur lesquels tu interviendras intègrent :
des processus d'intégration continue avec Jenkins
une usine logicielle qui pourra être constitué notamment de Sonar, Maven, Redmine, Gitlab
des architectures microservices
des environnements Cloud ( AWS principalement)
Nous te donnerons de vive voix davantage de détails sur le contexte des projets que tu pourrais intégrer et qui correspondront à tes attentes !

Le profil recherché...
Nous recherchons une personne ayant au minimum 2 ans d’expérience, diplômée d’une formation supérieure en informatique.
Tu souhaites participer à des projets DevOps (Docker, Kubernetes) et Cloud (AWS, Azure) et tu te sens capable de contribuer au choix des solutions techniques.
Nous ciblons des personnes motivées, curieuses et passionnées qui ont envie de se lancer dans une nouvelle aventure... Et oui il y a plein de choses à co-construire et à façonner chez Younup !
Alors si tu te reconnais dans cette annonce, postule et tu rejoindras peut-être bientôt l'équipe
il y a 23 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Nantes,16/10/2019,vjk=4b07af2fcc3ba52d,vide,cdi
Développeur Full Stack PHP JS F/H,I-RAISER GROUP,Saint-Sébastien-sur-Loire (44),vide,"Saint-Sébastien-sur-Loire (44)
CDI
Nous recrutons un·e développeur Full Stack PHP JS

Vous intégrerez l'équipe en charge de l'appli paiement afin de travailler sur ces différentes missions :

Conception et spécification : vous maîtriserez le fonctionnel pour être force de proposition
Développement
Organisation de la recette, documentation
Gestion de projet (travail fortement collaboratif).
Profil recherché Diplômé·e d'une école en informatique ou riche d'une expérience équivalente, vous apprenez vite, vous êtes très organisé·e et rigoureux·se.Vous êtes leader, débrouillard·e : quel que soit le problème, vous ne restez jamais bloqué·e et trouvez toujours une solution. Vous aimez découvrir et apprendre afin de pouvoir faire face à de nouvelles situations.

Compétences en développement : PHP 7, Javascript, MySQL/PostgreSQL, Git, Linux, POO
Connaissances appréciées : nginx, Odoo, SI, Python, clients et serveurs APi, terminaux de paiement en ligne (Ingenico, Paypal,...)
Vous possédez de réelles qualités relationnelles, votre esprit d’analyse et votre réactivité vous permettent de coordonner votre travail avec vos interlocuteurs internes et externes, qu'ils soient techniques ou non.
Entreprise Editeur logiciel basé à Nantes, iRaiser édite une suite en mode SaaS (CRM, CMS, ETL…) pour les organisations à but non lucratif (ONG, écoles, fondations...).

Nous sommes présents en France, Belgique, Pays-Bas, Italie, Allemagne, Suisse et Grande-Bretagne et travaillons avec près de 800 organisations en Europe (dont Les Restos du Coeur, Médecins sans Frontières, SPA, UNICEF, WWF...).

Nos applications leur permettent de collecter des dons, réaliser des pétitions, créer des pages de crowdfunding... et ont permis de collecter plus de 800 000 000 € !
Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Nantes,16/10/2019,vjk=7018e43e32548f10,vide,cdi
Développeur Front-End H/F,Webnet,Nantes (44),vide,"Nantes (44)
CDI
En liaison avec les équipes back-end et les graphistes, vous démontrez une large autonomie et une bonne capacité à travailler en équipe, afin de participer au développement des projets web et mobile de nos clients.
Missions :
Analyser les documents de conception
Concevoir la solution technique
Développer les solutions
Être force de proposition dans le cadre de l’amélioration des applications
Définir et réaliser les tests unitaires et fonctionnels
Vos projets :
Développement d’applications web (sites web et applicatifs métiers)
Développement d’applications mobiles hybrides
Environnement technique :
Maîtrise du développement JavaScript, TypeScript (programmation orientée objet, design patterns, optimisation des performances, EcmaScript…)
Connaissance d’un ou plusieurs Framework JS (Angular, React, Vue)
Idéalement vous connaissez Cordova, Ionic et NodeJS
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par le développement Front et son écosystème pour des projets complexes à forte valeur ajoutée, nous avons ce qu’il vous faut.
Nous vous offrons une très large diversité de cadres de mise en œuvre de votre savoir-faire, que ce soit pour nos projets au forfait ou pour nos missions d’assistance technique, dans des domaines fonctionnels variés (E-Commerce, Banque en ligne, Institut de recherche, Industrie…). Tout cela au sein d’équipes dynamiques et souhaitant mettre en œuvre des solutions toujours plus innovantes.
Nos petits +
Des formations internes et des certifications
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : 52 quai Magellan en plein cœur de Nantes, très accessible en transport !
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 140 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité.
Type d'emploi : CDI
Expérience:
développeur front-end h/f ou similaire: 1 an (Souhaité)
il y a 1 jour
Signaler cette offre d'emploi",15/10/2019,developer,Nantes,16/10/2019,vjk=415e8292b15082a0,vide,cdi
Développeur back-end Python / Django - H/F,Seyos,Nantes (44),32 000 € - 35 000 € par an,"Nantes (44)
Temps plein, CDI
32 000 € - 35 000 € par an
Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Notre client est une acteur e-commerce incontournable de l'écosystème numérique nantais qui édite une solution SaaS à destination des e-commerçants.

Cette société composée de 120 collaborateurs recrute un(e) : Développeur back-end Python / Django.

Localisation : Ile de Nantes,
Rémunération : 32 000 - 35 000 Euros bruts / an selon expérience,
Intégré(e) au sein de l'équipe marketplace composée d'une petite dizaine de développeurs, votre mission consistera à optimiser et fiabiliser la connexion de la solution aux places de marchés en :

Développant des connecteurs en Python afin de brancher la solution et les marketplaces,
Réalisant l'intégration, les tests, le déploiement, le maintien de la solution développée,
Participant au développement d'API,
Etant force de proposition sur les améliorations techniques et produit.
Profil :
Vous souhaitez rejoindre un éditeur et vous appréciez le secteur du E-commerce,
Vous avez des compétences en Python et connaissez le framework Django ainsi que les protocoles API,
Vous aimez apprendre, êtes curieux et force de proposition.
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developer,Nantes,16/10/2019,vjk=dde4000d6787d5dd,vide,cdi
Concepteur développeur Full Stack Javascript sur Nantes,Acensi,Nantes (44),vide,"Nantes (44)
Votre mission se déroulera au sein d’une équipe agile en charge de la conception et la réalisation de 2 nouvelles applications, en étroite collaboration avec toutes les équipes techniques du département.

Ce rôle comporte les missions suivantes :
Participer au développement des solutions
Rédiger les documentations techniques et utilisateur
Apporter un support technique pour l’exploitation de l’outil
Apporter un support fonctionnel aux utilisateurs.
Etre force de propositions quant aux évolutions des outils.
Environnement technique : Logs applicatifs, React, Javascript, Git, Docker, Bash, NodeJS
Séniorité attendue : Confirmé
carriere-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developer,Nantes,16/10/2019,vjk=1da7780c2beb25b2,vide,vide
Développeur front end React Redux H/F,EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Externatic, provocateur de changement !
Cabinet de recrutement technologique nous vous accompagnons pour vous trouver des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => nous ne sommes pas une SSII et nous ne travaillons pas pour les SSII) depuis 2010. Chaque offre d’emploi correspond à un poste réel.
Attention, belle opportunité à saisir !!!

L’entreprise
Cette entreprise édite depuis 8 ans des solutions logicielles orientées IA dans le secteur du e-commerce.
Forte de 200 personnes, sur plusieurs pays, l’équipe s’étoffe avec le recrutement d’un développeur front end react H/F !

Pourquoi ce poste ?
Vous intervenez dans un contexte de création d'une nouvelle swarn
Poste
En équipe agile pluridisciplinaire (produit, back, front, design) :
Développement du frontend React des nouvelles solutions logicielles de l’entreprise
Intégration HTML /CSS avec des outils de type Browserify, Gulp, Grunt, Less et Sass
Force de proposition sur la dimension produit, l’UX en lien avec les designers et PO
Veille technologique / force de proposition sur les technologies à employer

Les +
Dans le centre de Nantes
Management très collaboratif
Dans une excellente ambiance
Environnement international

Benjamin Casseron, votre interlocuteur chez Externatic
Chaque année, j'accompagne des candidats, comme vous, dans la définition de leur projet professionnel et la recherche d'un nouveau job.
N'hésitez pas à me contacter pour échanger sur ce poste et plus généralement sur votre carrière (contacts direct disponibles dans la rubrique ""qui sommes nous"" sur le site d'Externatic).

PROFIL REQUIS
Vous
Vous avez un background de développeur frontend TypeScript
Vous connaissez et maitrisez React redux
Vous êtes adepte du clean code
Vous aimez partager / écouter / monter en compétences avec votre équipe et les autres métiers de l'entreprise
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,developer,Nantes,16/10/2019,vjk=7e12b54dd8320f21&advn=9590080963033201,vide,cdi
Développeur front-end et moteur graphique Web,MyScript,Nantes (44),vide,"Nantes (44)
Temps plein, CDI
MyScript, c’est une équipe de technophiles passionnés qui ont développé un moteur d'intelligence artificielle permettant la reconnaissance de l’écriture manuscrite. Grâce à cette technologie, nos utilisateurs peuvent créer et gérer du contenu numérique, et donc booster leur productivité.
MyScript, c’est aussi une start-up nantaise, cosmopolite et une perle de technologie : un moteur au niveau de performance inégalé, une intégration sur toutes les plateformes et la reconnaissance de tout contenu (texte, maths, formes géométriques, musique).
Nos solutions sont déployées sur tablettes, smartphones, tableaux interactifs et systèmes GPS. Nous développons aussi des applications disponibles sur les stores, telles que Nebo et MyScript Calculator 2.
Nous renforçons notre équipe Cloud et recherchons un Développeur front-end et moteur graphique web
Notre équipe Cloud est en charge du prototypage, du développement et de l’exploitation en production (AWS) de l’ensemble des couches logicielles permettant la reconnaissance d’écriture depuis le navigateur et la mise à disposition riche des pages de notes synchronisées depuis les applications natives de MyScript https://nebo.app
Son but est de rendre accessible en ligne le meilleur de la technologie MyScript, comme par exemple depuis le portail développeur https://developer.myscript.com/get-started/webou depuis le site de démonstration https://webdemo.myscript.com/.
Rattaché au responsable de l’équipe, vous aurez la mission de développer la prochaine génération de composants graphiques permettant la visualisation et l’édition de documents riches depuis le browser.
Expert en développement graphique, vous faites preuve d’autonomie et d'ingéniosité pour apporter une expérience toujours optimale à nos utilisateurs.
L’équipe MyScript (120 personnes) est sympathique, cosmopolite (+20 nationalités) et innovante.
Et les valeurs MyScript sont garanties 100% authentiques. Nous sommes notamment “ One team”, c’est-à-dire que nous croyons en une relation équilibrée entre tous les MyScripters, basée sur l'écoute, le respect et le soutien. Nous travaillons pour l'équipe, pour réussir ensemble et partager de bons moments.
Nous recherchons une personne désireuse de faire partie d’une équipe, de s’impliquer au service de ses collègues et de partager ses idées de manière constructive.
Type d'emploi : Temps plein, CDI
Expérience:
utilisateur de git: 1 an (Souhaité)
développeur JavaScript: 1 an (Souhaité)
développeur sous SVG et/ou Canvas: 1 an (Souhaité)
développeur front-end et moteur graphique web ou similaire: 1 an (Souhaité)
utilisateur de VueJS: 1 an (Souhaité)
Langue:
Anglais (Souhaité)
il y a 4 jours
Signaler cette offre d'emploi",12/10/2019,developer,Nantes,16/10/2019,vjk=83d62119507fc63e&advn=6482965920156622,vide,cdi
