Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur .NET H/F,Webnet,Nantes (44),vide,"Nantes (44)
CDI
Intéressé(e) par rejoindre une équipe certifiée et partenaire Microsoft GOLD Web Application ?
Nous souhaitons renforcer notre équipe .NET en intégrant de nouveaux collaborateurs capables d’apporter leur expertise
Vos missions :
Participer à la création de projets innovants et variés : sites Internet à fort trafic, applications métier gérant des volumétries de données importantes, systèmes d’information fonctionnellement complexes…
Réaliser la conception technique et le développement applicatifs dans le respect de notre démarche qualité
Modélisez la structure des bases de données et participer à l’intégration technique au sein de systèmes d’informations complexes,
Contribuer à la mise en place des environnements de travail
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par .Net et son écosystème pour des projets complexes d’envergure à forte valeur ajoutée, nous avons ce qu’il vous faut.
Nous attendons de vous que vous apportiez votre savoir-faire au sein de notre pôle d’expertise afin de conseiller nos clients pour être à la pointe sur la technicité des projets. Vous pourrez affirmer votre rôle d’expert au sein de notre blog technique !
Environnement technique :
Microsoft .NET (C#, ASP.NET MVC, Entity Framework)
SGBD : MS SQL Server
Team Foundation Server (TFS)
Nos petits +
Des formations internes et des certifications Microsoft
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …plus d'infos là
Evoluer dans une société labellisée Great Place To Work plus d'infos ici
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : 52 quai Magellan en plein cœur de Nantes, très accessible en transport !
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
- - - - - - - - - - - - -
Qui sommes-nous ?
Webnet c’est 150 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité.
Type d'emploi : CDI
Expérience:
développeur .net h/f ou similaire: 1 an (Souhaité)
il y a 4 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=f8dbe25cc27010d2,vide,cdi
Développeur informatique (F/H) - CDI,Tranquil IT Systems,Saint-Sébastien-sur-Loire (44),vide,"Saint-Sébastien-sur-Loire (44)
Afin de collaborer au développement de WAPT, nous recherchons un Développeur (F/H) sur un langage de type Python et/ou ObjetPascal.
Tes missions :
Participer à l’évolution de WAPT et aux futurs choix techniques
Maintenir le code existant
Réaliser des nouvelles fonctionnalités
Créer des modules complémentaires
Tu as un bon niveau en anglais technique.
Tu es sympa, motivé(e), créatif(ve) et passionné(e) ? Tu es le(la) candidat(e) idéal(e) !
Embarque avec nous dans l’aventure WAPT
Informations complémentaires
Salaire fixe à négocier en fonction de l’expérience + intéressement
Ticket restaurant
Aucun déplacement, sauf convention intéressante
Mutuelle
Poste basé à Saint-Sébastien-sur-Loire (44)
il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=a2d6a6167a0a609a,vide,vide
Développeur Front-End H/F,Webnet,Nantes (44),vide,"Nantes (44)
CDI
En liaison avec les équipes back-end et les graphistes, vous démontrez une large autonomie et une bonne capacité à travailler en équipe, afin de participer au développement des projets web et mobile de nos clients.
Missions :
Analyser les documents de conception
Concevoir la solution technique
Développer les solutions
Être force de proposition dans le cadre de l’amélioration des applications
Définir et réaliser les tests unitaires et fonctionnels
Vos projets :
Développement d’applications web (sites web et applicatifs métiers)
Environnement technique :
Maîtrise du développement JavaScript, TypeScript (programmation orientée objet, design patterns, optimisation des performances, EcmaScript…)
Connaissance d’un ou plusieurs Framework JS (Angular, React, Vue)
Maitrise de l’intégration HTLM/CSS et des outils actuels (LESS, Brunch, Webpack, Bootstrap)
Idéalement vous connaissez Cordova, Ionic et NodeJS
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par le développement Front et son écosystème pour des projets complexes à forte valeur ajoutée, nous avons ce qu’il vous faut.
Nous vous offrons une très large diversité de cadres de mise en œuvre de votre savoir-faire, que ce soit pour nos projets au forfait ou pour nos missions d’assistance technique, dans des domaines fonctionnels variés (E-Commerce, Banque en ligne, Institut de recherche, Industrie…). Tout cela au sein d’équipes dynamiques et souhaitant mettre en œuvre des solutions toujours plus innovantes.
Nos petits +
Des formations internes et des certifications
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : 52 quai Magellan en plein cœur de Nantes, très accessible en transport !
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 140 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité.
Type d'emploi : CDI
Expérience:
développeur front-end h/f ou similaire: 1 an (Souhaité)
il y a 5 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=415e8292b15082a0,vide,cdi
Développeur Java H/F idéalement Full Stack,Webnet,Nantes (44),vide,"Nantes (44)
CDI
Développeur JAVA Full Stack (H/F)
Nous souhaitons renforcer notre équipe Java en intégrant de nouveaux collaborateurs capables d’apporter leur expertise technique afin de participer au développement des projets Web et mobile de nos clients
Vos missions :
Participer à la création de projets innovants et variés : sites Internet à fort trafic, applications métier gérant des volumétries de données importantes, systèmes d’information fonctionnellement complexes…
Réaliser la conception technique et le développement applicatifs dans le respect de notre démarche qualité
Modélisez les bases de données et participer à l’intégration technique au sein de systèmes d’informations complexes,
Garantir la fiabilité des processus développés à l’aide de tests unitaires et fonctionnels
Contribuer à la mise en place des environnements de projet (développement, intégration, recette, etc.)
Environnement technique :
Socle technique JAVA EE
Frameworks /ORM : Spring, JSF, Struts 2, Hibernate…
Déploiement : Docker
Qualité : Sonar,
Virtualisation : VMWare
Gestion de sources: GIT
Frameworks JavaScript: Angular, ReactJS, NodeJS …
Profil :
Vous bénéficiez d’une expérience significative et vous êtes passionné(e) par JAVA et son écosystème pour des projets complexes à forte valeur ajoutée, nous avons ce qu’il vous faut.
Vous maitrisez, si possible, un des Framework suivants : Angular, React ou Vue
Nous attendons de vous que vous apportiez votre savoir-faire au sein de notre pôle d’expertise afin de conseiller nos clients pour être à la pointe sur la technicité des projets. Vous pourrez affirmer votre rôle d’expert au sein de notre blog technique !
Nos petits +
Des formations internes et des certifications
La participation à des salons techno
Des réunions techniques mensuelles
Des moments conviviaux avec nos événements #DragonForces : apéroboat, lancer de hache …
Evoluer dans une société labellisée Great Place To Work
Et concrètement ?
Rémunération : attractive + TR + CE + mutuelle et prévoyance + (remboursement carte de transport à 80 %) + participation
Localisation : 52 quai Magellan en plein cœur de Nantes, très accessible en transport !
Démarrage : quand vous le souhaitez !
Contrat : CDI
Vous êtes parfois amenés à vous déplacer : jamais trop loin, toujours avec votre accord !
A compétences égales, la candidature d’une personne bénéficiaire de l’obligation d’emploi sera privilégiée
Qui sommes-nous ?
Webnet c’est 140 collaborateurs à Paris, Lyon et Nantes, spécialistes IT et digital !
Nous défendons depuis toujours le choix stratégique de la diversité technologique pour conseiller, développer, protéger et garantir la pérennité des applications Web et mobiles de nos clients. Nos équipes PHP, .NET, JAVA, Front-End et DIGITAL se forment auprès d’experts certifiés (Symfony, Angular, etc.).
Grâce à notre expertise, nos clients Grands Comptes et PME nous font confiance depuis plus de 20 ans dans leur transformation digitale : sites internet, plates-formes digitales, applications métiers et solutions de mobilité.
Type d'emploi : CDI
Expérience:
développeur java h/f idéalement full stack ou similaire: 1 an (Souhaité)
il y a 5 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=2849cc13c246b455,vide,cdi
iOS Developer - ObjectiveC - Swift - XCode - France - 6 mont...,Next Ventures Ltd,Nantes (44),vide,"Nantes (44)
Intérim, CDD
iOS Developer - ObjectiveC - Swift - iOS - France - 6 months - €500-600 per day (DOE) Next Ventures are seeking an experienced iOS Developer to join an initial 6 month project offering guaranteed extension, working with a globally recognised brand in France, developing existing and new exciting mobile apps with their Mobile Development team. The successful iOS Developer must have experience with: Strong experience with iOS Development Knowledge and experience of Objective-C Strong experience of Swift Strong experience of Core iOS Services Knowledge of Xcode would be a benefit Fluent French/English speaker Interested? Keen to find out more about this new project? Apply to this advertisement directly with your latest CV/email (see below) or call
CarieraNoua - il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=d08b1bdeed2a9881,vide,cdd
Développeur Python (H/F),EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Externatic, Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agence digitale, etc. => pas de SSII) depuis 2010.

Chaque offre d'emploi correspond à un poste réel. RDV sur externatic.fr

L'entreprise:
L’entreprise est une startup, plateforme en mode SaaS dans le domaine des transports.
Nous recherchons un Développeur Backend python H/F.

Pourquoi ce job?
Entreprise initialement parisienne, elle souhaite monter son équipe technique sur Nantes dans le cadre de sa croissance.
L'application développée par l'entreprise prévoit une augmentation très importante de son traffic d'ici la fin de l'année.
Missions :
assurer le développement des produits: Analyse, conception et réalisation d'interfaces métier (UI + UX) ; Réalisation des tests unitaires ; Intégration d'API
assurer activement un rôle de veille et de sensibilisation technique au sein de l'équipe (bonnes pratiques).
envie d'apprendre, de partager

Environnement technique : Python / Django REST framework / base PostgreSQL / Google Cloud / React / React Native
PROFIL REQUIS
Vous maîtrisez parfaitement Python et les principaux framework associés (django, etc.)
Vous avez un bon niveau dans la conception et le développement de services Rest
Vous êtes familiarisé avec des outils d'intégration continue
Vous êtes familiarisé avec les méthodes agiles (scrum, xp,...)
Vous êtes passionné et ambitieux
Vous avez une culture devops
Anglais (équipe internationale)
il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=8afd6d5fd9d8e6ca,vide,cdi
Développeur Foncier Diffus H/F,Hays,Nantes (44),38 000 € - 50 000 € par an,"Nantes (44)
CDI
38 000 € - 50 000 € par an
Notre client est Promoteur Immobilier indépendant en forte croissance sur l'arc Atlantique et en IDF. Il développer des projets résidentiels et tertiaires sur la région Pays de la Loire depuis son agence de Nantes. Dans le cadre d’un départ, il recherche un Développeur foncier pour prendre en charge le développement de projets dans le diffus sur le secteur 44/49/85.
Rattaché au directeur d’agence, vous prenez part à un véritable projet entrepreneurial en rejoignant une agence en restructuration et nourissant des ambitions fortes. L’entreprise bénéficie de références dans la région. Vous vous appuyez sur un directeur d’agence bénéficiant d’une excellente connaissance du territoire ainsi que sur un Développeur confirmé référent qui à su initier plusieurs projets importants depuis le début de l'année. Les axes de développements variés en résidentiel (découpe, vente en bloc, résidences gérés, hôtelerie, aménagement...) laissent présager de réelles perspectives.
De formation supérieure (école spécialisée en immobilier type ESPI, ICH, école supérieure de commerce, droit…), vous bénéficiez d’une première expérience d'au moins 2 ans en développement foncier. Vous vous appuyez sur un socle de connaissance technique et juridique (réalisation d’une étude de faisabilité, prospection dans le diffus, négociation, processus administratif d’acquisition foncière..). Riguoureux, vous vous appuyez sur un savoir-être professionnel irréprochable. Le poste est basé à Nantes et laisse envisager de réelles perspectives dans un cadre ouvert et agile.
Rémunération : 35-50k€ (fixe) + variable + avantages + véhicule de fonction.
Type d'emploi : CDI
Salaire : 38 000,00€ à 50 000,00€ /an
Expérience:
développeur foncier diffus h/f ou similaire: 2 ans (Souhaité)
il y a 5 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=dfef80ef7b154356,vide,cdi
Lead Développeur fullstack Java/ExtJS H/F,EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest.
Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => pas de SSII) depuis 2010. Chaque offre d’emploi correspond à un poste réel.
Notre mission : vous trouver le job de vos rêves !
Nous recherchons pour un éditeur de logiciel basé Nantes Nord :

un Lead Développeur FullStack JAVA/ExtJS (H/F)

Rattaché au Responsable Informatique, vous intervenez sur le développement d'applications déployées auprès des clients de la société.
Vos missions :
Assurer le rôle de support et d'assistance auprès des juniors
Etudes et analyses métier
Rédaction des spécifications fonctionnelles et techniques
Conception et développement
Automatisation des tests
Mise à jour de la documentation.
- Environnement technique : Java SE - hibernate - batik - tomcat, Javascript (ExtJs)

PROFIL REQUIS
De formation supérieure, vous justifiez d'une solide expérience en développement Fullstack Java/ExtJS. Vous appréciez les aspects fonctionnels d'un projet et endosser un rôle de référent auprès d'une équipe.
Votre curiosité, implication, autonomie et passion pour les nouvelles technologies associées à un bon relationnel seront des atouts indispensables pour réussir dans ce poste.
A l’aise sur le plan relationnel, vous êtes entreprenant(e) et capable de favoriser un mode de travail collaboratif. Vous aspirez à un nouveau challenge professionnel au sein d’une entreprise entreprenante ; ce poste vous offre également l’opportunité d’intégrer un environnement convivial, flexible et dynamique
il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Nantes,14/10/2019,vjk=6583f952795e0afc,vide,cdi
Développeur PHP (F/H),Groupe SII,Nantes (44),vide,"Nantes (44)
Description du poste :
SII Atlantique c’est :
240 Fungénieurs qui partagent un même esprit #collectif #partage
Des clients Grands Comptes qui t’apporteront de la richesse technique, fonctionnelle et méthodologique
Un suivi régulier et personnalisé : ton manager, ta référente RH et ta référente administrative seront là pour t’accompagner dans l’aventure SII
Des moments de fun et de partage : AfterWorks, Soirées d’agence, événements sportifs, petits déjeuners …
Des speak up au moins tous les 15 jours
Des formations régulières adaptées à tes envies et à ton évolution
Bonjour à toi qui lit cette annonce,
Marie-Laure, Marine et Pauline, FunRH, sommes missionnées par nos pilotes de projet pour renforcer nos équipes ! Nous recherchons notre futur(e) développeur(se) PHP.
Que peut-on te promettre ? En tant que développeur(euse) tu interviendras sur toutes les phases de développement :
Conception et architecture Produit
Implémentation et test du Produit (Clean Code)
Industrialisation de chaine de production jusqu’au déploiement continu (DEVOPS)
Documentation essentielle (technique et fonctionnelle)
En fonction de tes compétences et aspirations, tu peux être référent(e) technique de notre équipe ou rejoindre notre équipe d’experts dont le rôle est multiple : veille technologique qui peut générer des speak up, missions d’expertise, expérimentations et des sujets divers (accompagnement aux entretiens d’embauche, participation aux salons …).
Et si tu te lasses de ta mission ? Toute l’équipe sera à ton écoute et nous te trouverons un nouveau projet.
Et si tu veux évoluer ? La formation est l’un des piliers chez SII, nous t’accompagnons dans ton projet d’évolution et te trouverons une mission cohérente vis-à-vis de ce projet.
Au-delà de ta mission nous te proposons de participer à la vie de l’agence : retrouver tes collègues autour d’un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d’agence et participer au projet de développement de l’entreprise
Profil:
Dans l’idéal (oui uniquement dans l’idéal, chez nous on ne cherche pas qu’un CV mais une collaboration durable), tu as 2 ans d’expérience sur un projet similaire, et tu as de réelles compétences en PHP et idéalement couplées avec le framework Symfony.
Tu veux en savoir plus ? Notre équipe de FunRH sera ravie de te rencontrer et de t’en dire plus !
Suivez nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter :@SII_Atlantique !
Au palmarès Great place To Work 2019, SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 par la revue Capital.
Le Groupe SII est signataire de la Charte de la diversité en entreprise et est une entreprise handi-accueillante.
#LI-MO1

Le Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.
Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.
Au palmarès Great place To Work 2019, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.
Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !
Compétences :
Référence de l’annonce :
DPHP44-24
Expérience:
2-5 ans
Qualification:
Consultant
Rémunération:
Selon profil

POSTULER
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Nantes,14/10/2019,vjk=ae58786d9029ff7c,vide,vide
Développeur Java 8 (F/H),Groupe SII,Nantes (44),vide,"Nantes (44)
Description du poste :
SII Atlantique c’est :
240 Fungénieurs qui partagent un même esprit #collectif #partage
Des clients Grands Comptes qui t’apporteront de la richesse technique, fonctionnelle et méthodologique
Un suivi régulier et personnalisé : ton manager, ta référente RH et ta référente administrative seront là pour t’accompagner dans l’aventure SII
Des moments de fun et de partage : AfterWorks, Soirées d’agence, événements sportifs, petits déjeuners …
Des speak up au moins tous les 15 jours
Des formations régulières adaptées à tes envies et à ton évolution



Bonjour à toi qui lit cette annonce,
Passionné(e) par l’univers java, tu souhaites t’investir sur Nantes, sur un projet de réunification, modernisation et développement de plusieurs applications dans un cadre de développement en mode AGILE?
Alors lis la suite!
Intégré(e) dans un contexte dynamique sur des activités de défense et de radio, tu seras amené(e) à intervenir sur les activités nécessaires au développement des applications : de la rédaction et prise en compte d’un cahier des charges au développement en passant par la recette et la documentation associée.
Et si tu te lasses de ta mission ? Toute l’équipe sera à ton écoute et nous te trouverons un nouveau projet.
Et si tu veux évoluer ? La formation est l’un des piliers chez SII, nous t’accompagnons dans ton projet d’évolution et te trouverons une mission cohérente vis-à-vis de ce projet.
Au-delà de ta mission nous te proposons de participer à la vie de l’agence : retrouver tes collègues autour d’un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d’agence et participer au projet de développement de l’entreprise.
Profil:
Une bonne connaissance en Java (6,7,8), Jenkins, Maven, Git, Programmation réactive (Rx Java) seront un atout certain pour démarrer dans ce poste.
Tu veux en savoir plus ? Notre équipe de FunRH sera ravie de te rencontrer et de t’en dire plus !
Suivez nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter :@SII_Atlantique !
Au palmarès Great place To Work 2019, SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 par la revue Capital.
Le Groupe SII est signataire de la Charte de la diversité en entreprise et est une entreprise handi-accueillante.
#LI-MO1
Le Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.
Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.
Au palmarès Great place To Work 2019, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.
Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !
Compétences :
Référence de l’annonce :
DJ44-4
Expérience:
2-5 ans
Qualification:
Consultant
Rémunération:
Selon profil

POSTULER
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Nantes,14/10/2019,vjk=d2cc3c8b86c6e4e0,vide,vide
