Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Expert Technique Content & Data / Freelance,Lawrence Harvey,Paris (75),vide,"Paris (75)
Temps plein, Freelance / Indépendant
Freelance / Mission / Chef de Projet / Expert / Content / Data / Technique / IT / Paris / e-commerce

Lawrence Harvey recherche pour le compte de son client (client final) un Expert Technique Content & Data pour un rôle basé à Paris.

Freelance ou portage - Pas de sous-traitance, merci.

Démarrage ASAP

Contrat de longue durée

Paris intramuros

Sur site

L’Expert Technique Content & Data travaille au sein de l’équipe de Delivery Content & Data qui a en charge l’intégration de l’ensemble des contenus au travers du CMS Drupal, de l’optimisation du SEO et de la collecte des données de navigation pour analyser les parcours clients.

Mission :
En binôme avec le Product Owner de l’équipe, il participe à la vie de l’équipe et apporte son expertise technique. Il étudie et propose des solutions techniques, challenge les choix et les développements faits par l’équipe. Il suit en continu l’avancée des développements et valide qu’ils ont été réalisés dans les règles de l’art. Il participe aussi à l’élaboration de l’architecture applicative globale en participant au cercle Architecture.

L’Expert Technique est managé par le Delivery Manager qui est rattaché au Directeur Technique Digital. Il travaille en collaboration avec les autres Expert Technique et les Architectes.

Principales Tâches :
Coordination, interface, facilitation (DSI, Infra, Tiers, Archi, Dev )
Suivi de production, tests
Accompagnement/ binôme du PO
Garant des choix techniques, architecture
Compétences requises :
Bac +5 minimum dans un domaine lié à l’informatique
Plus de 5 ans d’expérience dans le domaine du e-commerce
Minimum 2/3 ans d’expérience en développement Front & Back
Expérience dans les problématiques liées au SEO
Expérience de coordination/ pilotage de projet (3/5 ans) avec une dimension internationale
Expérience dans la gestion d’infrastructures et d’hébergement (on premise, hybride, cloud)
Expérience dans le suivi de production de systèmes avec des flux complexes
Maitrise de la méthode Agile
Familier des approches devOps
Anglais : très bon niveau oral et écrit - échanges réguliers avec les équipes à l’international
Soft skills : rigueur, autonomie, bon communiquant, esprit d’équipe, capacité à gérer plusieurs projets en parallèle
Développements sur Drupal (capable de relire des PR et de faire des conceptions applicatives)
SEO
Analytics
Compétences techniques requises :
Drupal 7
Angular
Google Analylytics
AWS
Environnement techniques (compétences requises sur plusieurs de celles-ci) :

Expertise sur le CMS Drupal à partir de la version 7 (connaissance de la version 8 ou 9 est un plus) Connaissance de l’environnement LAMP
Développement Accessibilité
Connaissance de la solution Magento est un plus
Connaissance de divers frameworks de développement : JS/CSS, HTML5, JQuery, AngularJS, Node.js, Typescript
Connaissance d’outils comme SOAP UI pour pouvoir interroger / utiliser / vérifier le bon fonctionnement des webservices
Maîtrise des outils d’automatisation des tests ou tests de charge (Selenium, Selenium IDE, Behat, CasperJS, Gatling)
Connaissance des solutions d’hébergement dans le Cloud et plus particulièrement AWS (services managés, EC2, Lambdas etc )
Connaissance des outils : JIRA / Confluence / Bitbucket / git / Kibana / New Relic
Profil typé :
Coordinateur de projet ++

Lead Dev +++

Si cette opportunité vous intéresse, merci de postuler sur l’annonce ou de m’envoyer votre CV à (Pascaline Baumann) et je vous appellerai pour vous donner plus d’informations par rapport à la mission si votre profil correspond. Merci de répondre à l’annonce seulement si vous avez toutes les compétences requises.

Si vous connaissez des personnes qui pourraient être intéressées, merci de partager ce besoin avec eux.

Lawrence Harvey is acting as an Employment Business in regards to this position. Visit our website www.lawrenceharvey.com and follow us on Twitter for all live vacancies @lawharveyjobs
Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Autres_metiers_data,Paris,14/10/2019,vjk=cb77b68eb96e1097,vide,freelance
GESTIONNAIRE MASTER DATA - MOA (H/F),CANDIA,Paris (75),vide,"Paris (75)
CDI
Candia appartient au groupe coopératif Sodiaal, premier groupe coopératif laitier français, qui collecte plus de 4.7 milliards de litres de lait auprès de 20 000 producteurs sociétaires répartis dans 70 départements. Leader du lait de consommation et N°2 du beurre en France, Candia est à l'origine d'initiatives novatrices sur son marché : bouteille UHT, laits infantiles, briques à bouchon, produits enrichis... Aujourd'hui, avec 7 sites industriels et 1500 collaborateurs en Europe, Candia commercialise 1.3 milliard de litres de lait et de crème, 85 000 tonnes de beurre et réalise ainsi 1,3 Milliard d’euros de chiffre d’affaires.
Mission
Au sein de la cellule MOA de la Direction Administrative et Financière, vous êtes rattaché au responsable des systèmes d’information métiers et vous participez aux évolutions de notre système d'information pour intégrer les nouveaux besoins de la société.A ce titre, vous intervenez en assistance à la maîtrise d'ouvrage et prenez en charge : MOA : la coordination et l'animation des groupes de travail utilisateur pour la définition des besoins, en liaison avec notre maîtrise d'œuvre, l'intégration des évolutions dans notre S.I et la prise en charge de la recette fonctionnelle par les métiers. la mise en place les procédures et l’organisation des formations utilisateurs nécessaires. le suivi du processus des mises à jour des Master Data. Master Data : Assurer la qualité et l’intégrité des données Eliminer les doublons et les incohérences Regrouper les données au sein du Master File Mettre en place des mécanismes de contrôle et validation
Profil
De formation Bac+2, vous justifiez d’une première expérience significative dans la gestion du master data et/ou l’évolution des systèmes d’information. Vous avez une connaissance fonctionnelle et opérationnelle des industries de transformation (idéalement de l’agroalimentaire). Votre capacité d’analyse et structuration du master data et votre aptitude à maîtriser et comprendre les systèmes d’informations vous permettront de réussir à ce poste. La connaissance de SAP est un plus compte tenu des évolutions futures de la société. Savoir être : Rigoureux et proactif Bon relationnel et capacité à communiquer et échanger avec les différents services de l’entreprise. Savoir-faire: Compétences en master data et systèmes informatiques Maitrise de workflow Domaine industriel de la fabrication à la vente des produits ERP La connaissance de SAP (SD et/ou MM et/ou, Logistique et/ou FICO, …) est un plus La connaissance de Generix ou MFGPRO ou OMP ou Futurmaster est un plus
Sodiaal - il y a 12 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Autres_metiers_data,Paris,14/10/2019,vjk=701ea6fc4d9f771e,vide,cdi
STAGE - DATA SCIENCE : DYNAMIC PRICING - H/F,BNP Paribas,Nanterre (92),vide,"Nanterre (92)
Stage
STAGE - DATA SCIENCE : DYNAMIC PRICING - H/F (NUMÉRO DE L'EMPLOI : ASSURE20_DATA_AI)

Stage – Data Science : Modélisation avancée de la demande et optimisation sous contraintes d’un portefeuille d’assurance non-vie - H/F

Concrètement votre quotidien ?
Vous intégrerez l’équipe du Datalab, au sein du département Corporate Data & Analytics qui a pour mission de promouvoir la valorisation des données au sein de BNP Paribas Cardif via la mise en place de projets à fortes composantes Analytics, Data Science et Intelligence Artificielle (machine learning, deep learning, dataviz), la formalisation et le partage des best-practices, la veille active et la R&D.

Vous rejoindrez plus précisément l’équipe « Dynamic Pricing » du Datalab.

Le pricing dynamique vise à adapter le prix de certains produits à fréquence élevée et de manière automatisée en fonction d’objectifs techniques et commerciaux (assurer la rentabilité du produit, estimer au plus juste les risques, maximiser le volume d’acquisition de nouveaux clients, prévenir leur départ, …) et de contraintes externes (positionnement concurrentiel, fluidité du marché, saisonnalité, canal d’acquisition, volumes minimaux, contrats de distributions…).


Il intègre différentes composantes où la data science et le machine learning peuvent apporter beaucoup de valeur: modèles de prédiction des risques, modèles de conversion / rétention, modèles de d’estimation du positionnement tarifaire des concurrents, … L’optimisation numérique sous contraintes et les simulations sont également des éléments importants du pricing dynamique, ainsi que la dataviz pour assurer un pilotage et un monitoring des risques efficients.
Vous contribuerez à la création de différents packages Python dans le but d’automatiser et rendre le pricing dynamique encore plus efficient chez BNP Paribas Cardif.

Le sujet du stage concerne plus précisément la Modélisation de la demande / résiliation et optimisation d’un portefeuille d’assurance non-vie.

Vous contribuerez à des travaux de R&D pour créer un package Python innovant dédié à la création de modèles de demande (conversion et résiliation des contrats d’assurance Non-vie).

L’innovation sur laquelle vous travaillerez consiste à adapter l’algorithme de Gradient Boosting Trees à certaines spécificités des modèles économiques de demande et de résiliation.

Vous aurez la possibilité, en fonction de la progression de votre stage, de travailler également sur l’optimisation sous contraintes d’objectifs liés à la rentabilité d’un portefeuille.

Dans le cadre de votre stage vous :

Effectuerez des études statistiques/data science/machine learning et des travaux de R&D ;
Contribuerez à l’intégration de modèles data science au sein de process métiers en production ;
Contribuerez à la réflexion stratégique de BNP Paribas Cardif concernant l'explosion des données et les besoins en analytics ;
Formaliserez l’expertise de BNP Paribas Cardif afin de la partager dans l'ensemble du groupe (35 pays).

Vous serez encadré(e) par deux data scientists seniors fortement impliqués sur le sujet.

L'environnement de travail, c'est important !
Le datalab est composé de 10 Data scientists passionnés, 3 IT Admins et 5 Analytics Managers (qui sont nos contacts avec le business). Notre équipe a une mission transverse au sein des unités métier et des 35 pays de BNP Paribas Cardif. Cette mission consiste à transformer la compagnie en une compagnie d’assurance ‘data and model driven’.

Le pôle Dynamic Pricing est composée de 3 data scientists avec une formation actuarielle. Notre mission est de construire des packages Python internes intégrant les fonctionnalités permettant d’effectuer du pricing dynamique. Ces packages seront utilisés par les équipes actuarielles à travers le monde. Votre travail sur les modèles de demande sera une brique intégrable à ces packages.

Ce projet, vous donnera l’occasion de travailler dans un environnement dynamique, sur un sujet stratégique, avec des personnes ayant différents profils.
Notre environnement technique, Domino DataLab, est une plateforme de Data Science basée sur Docker, permettant une grande flexibilité de développement.

Le poste est situé au siège de BNP Paribas Cardif à Nanterre, accessible en 15 minutes par navette depuis la Défense, ou par le RER A (gare de Rueil-Malmaison).


Durant votre stage, vous approfondirez vos compétences en étant en interaction avec des interlocuteurs de haut niveau et des experts, aussi bien en France que dans les autres pays du Groupe. Vous évoluerez dans un environnement technique et innovant.

Pourquoi rejoindre BNP Paribas Cardif ?


Notre monde change ! Aujourd’hui, ce qui compte dans un job, c’est de vivre de véritables expériences, d’apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable. Chez BNP Paribas, nous recrutons nos collaborateurs avec l’idée qu’ils nous aideront à concevoir le monde et la banque de demain.


Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur :
https://www.bnpparibascardif.com/fr_FR



Et la rémunération ?

Elle sera abordée à l’issue de votre parcours de recrutement. Elle dépend de votre formation et de votre niveau d’étude.

Etes-vous notre prochain(e) stagiaire Pricing Dynamique ?

Vous préparez un BAC+ 5 en Ecole d’Ingénieur ou équivalent universitaire avec une spécialisation en Statistiques, Data Science ou Intelligence Artificielle.

Votre adaptabilité, votre capacité à communiquer à l’oral et à l’écrit, et votre créativité seront des atouts essentiels. Ajoutez à cela proactivité et transmission de savoir pour finir de nous convaincre. Enfin votre rigueur et votre précisons seront des qualités essentielles pour mener à bien les missions qui vous seront confiées.

Vous justifiez d’une connaissance technique en statistiques, data science et/ou en optimisation mathématique.

Vous êtes intéressé par les sujets autour des modèles prédictifs et de l’optimisation mathématique et avez un bon niveau d’anglais.

Vous avez une connaissance théorique et pratique en Machine Learning (Gradient boosting, XGBoost, Light GBM, optimisation, gradient descent, parallélisation.. ), tout comme une bonne maitrise de Python (functions, class, encapsulation, documentation, testing, packaging).


Une connaissance de l’environnement assurantiel serait un plus.
Durée et disponibilité :

Stage à pourvoir à partir du mois de mars 2020 pour une durée de 6 mois.

Si cette offre vous intéresse, retrouvez-la sur notre site de recrutement :
www.bnpparibascardif.com
Référence annonce : ASSURE20_DATA_AI
il y a 13 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Autres_metiers_data,Paris,14/10/2019,vjk=ac5ad2b13dd32c3e,vide,stage
Avocat data protection min (H/F),Fed Légal,Paris (75),vide,"Paris (75)
Votre fonction
Au sein d'un cabinet dédié au droit de l'immatériel et spécifiquement aux droit des nouvelles technologies, vous évoluez au sein du pôle data privacy, activité au cœur de la croissance du cabinet.
La transversalité du cabinet vous permettra néanmoins de ne pas vous enfermer dans cette pratique et donc également d'intervenir en IT.
Votre profil
Titulaire du CAPA et d'un troisième en droit des nouvelles technologies, vous disposez d'au moins trois ans d'expérience en data protection au sein d'une équipe réputée de la place.
Agile intellectuellement, vous appréciez les activités variées et souhaitez avant tout évoluer dans un cabinet business oriented, moderne et entrepreneurial.
Nous vous proposons
Votre candidature ainsi que tout autre échange que vous aurez avec nous seront traités avec la plus grande confidentialité.
Date de publication :
13/10/2019
Référence de l'offre :
JO-0080783
Contrat :
Collaboration libérale (Non précisé)
Lieu :
Paris
Rémunération :
A NEGOCIER
il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Autres_metiers_data,Paris,14/10/2019,vjk=09bbb415f259f931,vide,vide
Chargé d'études Data Mining H/F,Kingfisher,Longpont-sur-Orge (91),vide,"Longpont-sur-Orge (91)
CDI
Région: Ile de France Sud
Région administrative : Ile de France Sud
Filiale du groupe Kingfisher - leader européen et n°3 mondial des distributeurs de bricolage et d’aménagement de la maison - Brico Dépôt développe un concept de magasins dépôts. Pratiques et fonctionnels, ceux-ci proposent à leurs clients, professionnels et particuliers, des prix bas et une offre produits basée sur des stocks importants. Aujourd’hui, 3ème acteur du bricolage sur le marché français avec 123 magasins, l’enseigne rassemble plus de 7 500 collaborateurs.
Votre mission
Brico Dépôt recrute un Chargé d'étude Data Mining (H/F). Dans le cadre de votre activité, vous serez amené à travailler sur les sujets suivants : Gestion des bases clients - S’assurer de l’ intégrité et de la bonne utilisation de la data (data management) - Alerter en cas de non-respect de la réglementation CNIL et RGPD Analyses statistiques comportements clients : - Scoring et segmentation de la base - Ciblage client (triggers) - Suivre les indicateurs clés des clients encartés (fréquence de venue, montant dépensé…) Analyse des performances campagnes - Suivre la performance des campagnes (ROI et taux de conversion) - S’assurer de la performance commerciale des évènements pour clients encartés (performance des soirées VIP) Etudes de marché et études clients - Mettre en oeuvre localement le programme d’études et connaissance clients du Groupe - Gérer et délivrer les études marché et datamining - S’assurer que la vision client est portée par l’ensemble des acteurs internes
Votre profil
- Formation supérieure en économétrie, statistiques - Expérience similaire de 3 à 5 ans
il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Autres_metiers_data,Paris,14/10/2019,vjk=8c970804c6220795,vide,cdi
Analyste Data H/F,Kingfisher,Longpont-sur-Orge (91),vide,"Longpont-sur-Orge (91)
CDD
Région: Ile de France Sud
Région administrative : Ile de France Sud
Filiale du groupe Kingfisher - leader européen et n°3 mondial des distributeurs de bricolage et d’aménagement de la maison - Brico Dépôt développe un concept de magasins dépôts. Pratiques et fonctionnels, ceux-ci proposent à leurs clients, professionnels et particuliers, des prix bas et une offre produits basée sur des stocks importants. Aujourd’hui, 3ème acteur du bricolage sur le marché français avec 123 magasins, l’enseigne rassemble plus de 7 500 collaborateurs.
Votre mission
Rattaché(e) à la Direction Commerciale de Brico Dépôt, vous aurez pour principales missions : Analyses : - Réaliser des analyses par des outils pour la ligne Produit, les construire, les présenter et échanger sur les résultats - Analyser et suivre les positionnements prix afin de faire des préconisations à l’exploitation et à la ligne Produit Veille concurrentielle : - Analyser et étudier les prix des concurrents - Reporting Prix de vente : - Assurer une veille « prix de vente » (veille concurrentielle / interne) - Constituer, gérer et exploiter ""la base de donnée concurrence"" et la fiabiliser Outil : - Participer à la construction d’outils d’aide à la fixation des prix de vente à la fois pour le commerce et l’exploitation : créer et piloter les indicateurs
Votre profil
- De formation Bac+4/5 en Contrôle de gestion/Analyses/Statistiques, vous justifiez d’une première expérience sur un poste analytique. - Maîtrise des outils informatiques : Pack office, Excel, SAS - Rigoureux, avec un bon sens de l’analyse, réactif, proactif, esprit d’équipe, vous maîtrisez Excel et faites preuve d'un bon relationnel CDD de 12 mois. Brico Dépôt s'engage à recruter dans le respect de l'égalité des chances.
il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Autres_metiers_data,Paris,14/10/2019,vjk=0f97e46e4cb3dbec,vide,cdd
Clinical data manager,Kantar Health,Paris (75),40 000 € - 50 000 € par an,"Paris (75)
CDI
40 000 € - 50 000 € par an
KANTAR Division Health
Improving health and wellbeing around the globe
Data Manager Clinique (H/F) Paris 75014 – CDI
Dans le cadre d’une forte croissance, la division Health de Kantar ouvre un poste de Data Manager Clinique à haut potentiel afin de renforcer l’équipe Data Manager au sein de l’équipe Real World Evidence.
Au sein de Kantar, la division Health accompagne les grands comptes de l’industrie pharmaceutique en France, en Europe et à travers le monde sur différents types de prestations : Insourcing (CRO) et Outsourcing (délégation de compétences) dans les environnements aussi variés que la Recherche en vie réelle, la Pharmacovigilance et les affaires médicales.Leader mondial en matière de conseil, d’études de marché et marketing, KANTAR, filiale du groupe WPP, accompagne les entreprises et institutions dans leurs stratégies.Présent dans 100 pays, employant plus de 30 000 collaborateurs à travers le monde, KANTAR propose à ses clients une palette inédite d’expertises grâce aux solutions développées par ses 8 Divisions, chacune d’entre elle à la pointe dans son domaine d’expertise.
MISSION
En lien avec l’équipe Projet, le Data Manager Clinique (DM) travaillera sur les études observationnelles sous la supervision du Senior Data Manager et aura entre autre les missions suivantes :
Contribuer au design de l’eCRF pour les études (Spécifications, masques de saisie, UAT…).
-Elaborer des documents sur les études (Data Management Plan, -Data Validation Plan, CRF annoté…).
Gérer des comptes et être un support pour utilisateurs.
Gérer les prestataires.
PROFIL
De formation supérieure Bac + 5 scientifique avec 2 à 3 ans d’expérience.
Vous avez une sensibilité pour le métier des études.
Vous êtes méthodique et très organisé(e),
vous gérez simultanément plusieurs dossiers en transversal.
Vous maîtrisez Excel et Powerpoint et/ou Access.
Vous parlez couramment anglais (C2).
Adaptabilité, curiosité, proactivité, rigueur, dynamisme, goût pour le travail en équipe, esprit d'analyse et critique sont indispensables pour cette fonction.
Connaissances/Maîtrise d’un langage de programmation apprécié (SQL, SAS…).
Comme tous les postes au sein de Kantar, ce poste est ouvert aux personnes en situation de handicap.
JOIN US
Les valeurs portées par Kantar sont entre autres une expertise reconnue, avoir un temps d’avance. Travailler ensemble, aller toujours plus loin, se mettre à la place de nos clients ! Si vous les partagez, rejoignez-nous !
La bourse de l'Emploi des Entreprises du Médicament - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,Autres_metiers_data,Paris,14/10/2019,vjk=9636fec877ad689a,vide,cdi
Coordinateur Safety Data Sheet R&I @ Chevilly-Larue,L'Oreal,Chevilly-Larue (94),vide,"Chevilly-Larue (94)
Nous recherchons pour le Demi-Grand Corporate un Coordinateur Safety Data Sheet (Fiches de Données Sécurité) pour l’Europe.
Vous serez rattaché(e) au Responsable Hygiène et Sécurité des procédés de la R&I.

Dans ce contexte, vos principales missions consisteront à:

En s’appuyant sur l’équipe Legal des USA, assurer la mise à disposition des SDS en Europe à la demande des usines européennes, des laboratoires de Chevilly-Larue et des Demi-Grands en France
Assurer la mise à disposition des SDS des nouvelles MP en provenance des Domaines d’Invention.
Assurer un rôle d’expert sur les SDS.
Participer à des projets Hygiène au niveau de la R&I.

Une mission consistera à optimiser le processus en termes de Qualité de données, délai et coût.

En fonction du profil et des appétences, d’autres missions pourront être confiées.


Vous êtes titulaire d’un diplôme d’Ingénieur Chimie/Génie Chimique, une formation complémentaire EHS étant un plus. Vous faites preuve de rigueur et de pragmatisme, avez un bon relationnel et maitrisez les outils informatiques. Intervenant sur un périmètre international, vous avez un anglais courant aussi bien à l’écrit qu’à l’oral.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Autres_metiers_data,Paris,14/10/2019,vjk=edb33680613678d4,vide,vide
Business Data Manager (H/F),Saint-Gobain,Paris (75),vide,"Paris (75)
CDI
Reporting to the Group Marketinf team, you act as an internal consultant, relying on a toolbox (set of Marketing & Development services, methodologies and tools) that you contribute to design. Thanks to your business/marketing expertise and leadership, you show the added value you can bring to your internal customer and how you can help him develop and improve his business. For the success of your mission, you operate with a strong Business orientation, a deep customer focus and an obsession to put data at work to improve business performance.
Data performance for the business
You provide help on demand to businesses on the following topics:
Assess the current processes, help the business to develop its own diagnostic and orient it towards the most relevant data levers to address their challenges
Identify areas of opportunity for AI (Artificial Intelligence) or data automation within businesses or across their ecosystem,
Establish or help establishing relevant data visualization dashboards (collection, governance, use).
Manage data science projects (for ex. on pricing, sales or e-sales recommendation engines, churn prediction applications) with R&D and IT teams and/or external partners
Data Culture ambassador
You foster awareness of the potential of data for business performance, for marketing and sales topics and beyond. You animate the relevant Marketing community through use cases to be shared and design specific communications on tips and trends in order to improve the knowledge of our internal customers.
You contribute to the training offer on data for business potential with a targeted approach. You actively contribute to UNICAMPUS camps, participate to the organization of the Data days, designing specific modules and animating current ones.
You act as a point of contact for IT on data related topics for marketing and sales tools
Data Strategy definition support
Well understanding the business strategies, operations and organisation (at country level as well as for international businesses like HPS), you help the organization build a relevant data roadmap for marketing and sales to reach business goals and eventually propose new revenue models.
REQUIRED QUALIFICATIONS
High complexity due to the various businesses within the Saint-Gobain ecosystem
International scope (whole world)
Influence on strategy and Saint-Gobain digital transformation through leadership and expertise in particular on data (on demand)
Survey on external practices (benchmark)
Collaboration with a network of managers with different positions in the organization (CEO, Marketing managers, Sales managers) and variable level of maturity in digital tools (from basic to very advanced).
Transversal work with group IT, local IT, central R&D and other central marketing teams.
il y a 2 jours
Signaler cette offre d'emploi",12/10/2019,Autres_metiers_data,Paris,14/10/2019,vjk=e362e6b5ba191e3d,vide,cdi
Consultant Contrôle de Gestion et Data Management (h/f),primexis,Hauts-de-Seine,vide,"Hauts-de-Seine
CDI
Vous interviendrez dans les domaines suivants pour accompagner les Directions du Contrôle de Gestion de nos clients Banque/Assurance :

Assistance aux équipes du Contrôle de Gestion
Production des tableaux de bords nécessaires au pilotage de l'entreprise
Construction budgétaire
Participation à la réalisation du plan stratégique
Analyse du réalisé et Rédaction de notes de synthèse au management
Suivi budgétaire

Accompagner les équipes de Contrôle de Gestion dans leur transformation
Participer au déploiement d'outils budgétaires internes
Participer à leur transformation dans le pilotage de la performance et la production de KPI
Optimiser les processus existants pour favoriser l'analyse et la prise de décision

Assistance aux équipes projets/métiers dans le cadre de projet de Data Management
Participer à la mise en place d'ERP, d'outils budgétaire ou d'outils de reporting (expression de besoins, recette, déploiement, coordination de la gouvernance, suivi post-production)
Participer à la mise en place de datawarehouses communs pour les reportings comptables, financiers, réglementaires et risques
Etude des processus, aide au choix de solutions organisationnelles et/ou informatiques
La conduite du changement : définition de modes opératoires, formation des utilisateurs

Diplômé(e) d'une formation supérieure : école de commerce, d'ingénieur ou université, vous disposez d'au moins 2 ans d'expérience significative acquises en banque, en assurance ou en cabinet.

Vous maitrisez les processus de la fonction Contrôle de Gestion au sein des établissements bancaires et/ou des compagnies d'assurance ;
l'analyse de données comptables et de gestion afin de synthétiser l'information dans un document de synthèse
les outils bureautiques office (la maitrise de VBA est un plus) et les outils de data management (utilisation de bases mutlidimensionnelles)

Vous êtes rigoureux et organisé et avez la capacité à mener de front plusieurs sujets
Vous avez un bon relationnel et avez un esprit de synthèse
Vous maîtrisez l'anglais écrit et oral.

Merci de joindre à votre candidature votre CV actualisé au format Word ou pdf.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Autres_metiers_data,Paris,14/10/2019,vjk=f6e5b48398cde383,vide,cdi
