Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Expert Power BI (H/F),Gentis Recruitment SAS,Paris (75),vide,"Paris (75)
Gentis is a Belgian recruitment company headquartered in Brussels and providing permanent staffing as well as project sourcing solutions worldwide in multiple sectors.

Nous recherchons pour notre client un Expert Power BI.

Contexte : La maison mère migre tous ses outils de reporting vers Power BI. D’ici 2020 l’équipe du client souhaite migrer aussi les reportings prêts personnels en Power BI.

Livrables :
Aider le client sur la mise en forme et migration des tableaux de bord tels qu’il existe vers cette nouvelle technologie
Avoir des reportings risques mensuels automatisés
Mise en place et modification de tableaux de bord
Modification des fichiers Excel
Réflexion d’urbanisation et d’architecture sur Power BI

Profil :
Profil technique expert Power BI
Avoir une expertise en Banque, minimum 2 ans d’expérience
Avoir idéalement des notions en crédit de consommation (comprendre ce qu’est un impayé, un dossier en surendettement etc)
Maîtrise de SAS impérative (liens en D2) pour pouvoir modifier les tableaux SAS
Minimum 3-4 ans d’expérience sur Power BI
Être capable de discuter avec les métiers au sujet des publications sur le portail

Offre :
Démarrage : ASAP
Durée : 3 mois minimum
Lieu : Paris
Rémunération : Selon expérience

Contactez moi directement au 01.78.90.05.51 ou par mail à l’adresse : Idriss (A) gentisrecruitment.com
carriere-info - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,BI,Paris,18/10/2019,vjk=78d37626913a2988,vide,vide
consultant informatique SAP BI,ADDIXWARE,Tremblay-en-France (93),vide,"Tremblay-en-France (93)
En plein cur du pôle d’activité d’Aix-en-Provence, AddixWare est une Entreprise de Services du Numérique qui montre sa différence en revendiquant des valeurs humanistes et en les incarnant.

Depuis 2010, nos consultants développent des logiciels, et nous, nous les aidons à développer leur potentiel.

Rejoindre AddixWare, c’est faire partie d’une équipe d’experts et de passionnés qui ont la volonté de rendre le monde meilleur grâce aux nouvelles technologies et à l’informatique.

Nos clients : Des PME et des grands comptes du secteur des télécommunications, du transport, de l’énergie, de la banque/assurance, de la TV numérique, de la santé, des médias, du négoce et des services, qui ont des projets d’innovation à la pointe des technologies.

Notre ADN est clair : Transparence, convivialité, proximité et partage

AddixWare recherche dans le cadre d’un nouveau projet, un consultant spécialisé en SAP BI ayant des connaissances en méthode agile pour évoluer chez l’un de nos partenaires.

Vos principales responsabilités seront :
Pilotage du développement en mode agile des applications QlikView sur le domaine du réalisé commissariat, de la performance des traiteurs, du dimensionnement des besoins, du pilotage de l’offre des menus à la carte et de la sécurité alimentaire.
Rédaction des spécifications et pilotage en mode agile des développeurs pour la maintenance évolutive sur le datawarehouse et les univers des domaines SAP logistique, Référentiel de la prestation à bord et son armement, Réalisé commissariat, Sécurité alimentaire, Suivi de l’activité prestataire restauration sur SAP BI 4.1.
Support et animation des ateliers de transfert de compétences sur SAP BI 4.1.
Nous recherchons une personne avec une expérience de trois ans minimum en SAP / BI.

Pour vous aider à trouver un logement facilement et rapidement, nous vous mettons en relation avec notre partenaire expert dans la mobilité !

Passionné par votre métier, vous êtes curieux et souhaitez vous investir sur des projets attrayants dans une ambiance qui laisse place à l’épanouissement et au plaisir ? N’hésitez pas à nous envoyer votre candidature !
carriere-info - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,BI,Paris,18/10/2019,vjk=6161bfd6435aeab5,vide,vide
Business Intelligence / Data Engineering Consultant,Sutter Mills Epsilon,Paris (75),vide,"Paris (75)
CDD, CDI
Sutter Mills is a data consulting platform supporting the transformation all along the road, with a unique positioning between brands, media companies and tech providers.
We help our clients, primarily C-levels, build a vision, acquire consumer centricity, deliver a deep change in the organization and set the right tech backbone by mobilizing multidisciplinary teams of experts through a unique holistic approach.
The key pillars of the Sutter Mills expertise are:
Data driven strategy consulting: value chain/market disruption, marketing & media strategy, change management
Adtech / martech selection, implementation & operation: DMP | CRM | Web Analytics | CRO | Ad Serving | Programmatic
Consumer insights: quali & quanti, social media/chatbot powered
Big data & advanced analytics: AI Lab, BI, algorithms & machine learning, data viz
Marketing automation & software development
Data risk management: compliance, fraud
DISCOVER SUTTER MILLS
Job description
Your mission
By joining Sutter Mills, you bring your skills to a dynamic and friendly team evolving in a fast-growing environment and you will actively take part in the development of Sutter Mills.
Data Consultants at Sutter Mills help our clients to unlock their data and start delivering value to their businesses through smart data solutions and actions. Combining delivery best practices with the latest technologies, we help to solve complex business challenges. Our Data experts work across four key areas:
Data Analysis and Data Engineering
Data Visualisation and Data sciences
Data Project Management
Cloud Architectures deployment
We work with big and mid-sized enterprises helping them to set the data strategies & roadmaps, defining and designing data architecture, helping clients visualize their data and draw actionable insights from it, defining and delivering data security solutions and applying machine learning for predictive and prescriptive analytics
Preferred experience
Your profile
We are looking for experienced business intelligence and data engineering specialists who masters the construction of simple pipelines for our clients.
Master degree in Business, Information Systems, Engineering, Computer Sciences or an equivalent subject
3 to 4 years experience on similar duties
Good knowledge and experience with at least one RDBMS and hands-on experience with cloud databases (BigQuery, Redshift, Snowflake)
Strong skills and hands-on practice experience with at least one ETL tool, e.g. SSIS, Talend, Mirth and at least one dataviz solution (Tableau, Qlik, Looker)
Willingness to master Python or other scripting language for data engineering and its frameworks knowledge (such as Airflow)
Work experience in a client-facing environment as part of a consulting team
Appetence for new technologies and cloud technologies (Azure, AWS, GCP)
Excellent written and verbal communication skills in French and in English
You fit our profile and you are looking for a new and exciting challenge: don’t hesitate and come meet us!
Recruitment process
Sutter Mills recruitment process is designed to evaluate how do candidates match Sutter Mills’ core requirements, aka the 3Cs:
Competency > know how & experience
Consulting > soft skills, client & stakeholder management (internal/external)
Culture > adherence to core values
The 3Cs are the cornerstone of the Sutter Mills’ project, based on the quality of delivery and the team cohesiveness so that every individual can achieve its potential.
The recruitment process comprises a maximum of 4 interviews, with HR, a Consultant or a Manager, and at least one of the Managing Directors, whereupon Sutter Mills is committed to provide you an answer at the shortest possible notice.
Meet the Sutter Mills team

SUTTER MILLS
Business Intelligence / Data Engineering Consultant
Permanent contract
Starting date: November 3, 2019
Paris
Master's Degree
> 3 years
Sutter Mills - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,BI,Paris,18/10/2019,vjk=757626c6d81f0d13,vide,cdi
Business analyst BI (H/F) / Freelance,INFOGENE,Hauts-de-Seine,vide,"Hauts-de-Seine
Temps plein, Freelance / Indépendant
Infogene c’est avant tout une ESN Engagée, Responsable et Conquérante
Engagée par son adhésion au Pacte mondiale de l’ONU ; certifié GOLD par Ecovadis pour son engagement RSE (Environnement, corruption, droit de l’homme et normes internationales du travail) ;
Responsable du bienêtre de ses collaborateurs ; labélisé Happy Index at Work (CE, intéressement, rencontres sportives )
Conquérante par sa croissance, 6 ans d’existence, 450 collaborateurs, 2 centres de services et une agence digitale, 37M de CA en 2018, 46 M de CA en 2019 (prévisionnel)
5 pôles d’expertise : Digital, infrastructure, SAP, BI/Big Data et MOA ingénierie.
Venez nous rejoindre www.infogene.fr

Nous recherchons pour travailler chez un de nos clients un Business analyst BI:
Nous recherchons un Business analyste en renfort aux équipes et aux activités quotidiennes et tâches principales:
maintenance et support o clients existants: population VIP, DSI, IT, ..
évolutions: augmentation du périmètre sur IRIS: nouveaux rapports, nouveaux cubes, ... -? spécifications fonctionnelles, plan de tests, coordination, ..
des communications avec des rédacteurs, liées à des sujets réglementaires: taxonomie, EIOPA, ...
IRIS livre ses rapports de BI dans un périmètre international. Par conséquent, un niveau d’anglais maîtrisé est indispensable (face2face, email, steerco, ..)
L’agilité étant en place, le candidat interviendra en suivant à la fois la méthodologie SCRUM / KANBAN et le cycle V.
Membre d’une équipe au sein d’une équipe, le candidat devra faire preuve en permanence d’un esprit d’équipe et d’un esprit de collaboration.

IRIS, la solution de reporting industriel, a pour objectif de basculer vers une plate-forme MS cloud Azure dans les 2 prochaines années.

Merci de bien vouloir transmettre vos candidatures à l’adresse suivante : rim.aoudia@infogene.fr
Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,BI,Paris,18/10/2019,vjk=aed9bb137fb6f61b,vide,freelance
Expert Power BI (H/F) / Freelance,Gentis Recruitment SAS,Paris (75),vide,"Paris (75)
Temps plein, Freelance / Indépendant
Gentis is a Belgian recruitment company headquartered in Brussels and providing permanent staffing as well as project sourcing solutions worldwide in multiple sectors.

Nous recherchons pour notre client un Expert Power BI.

Contexte : La maison mère migre tous ses outils de reporting vers Power BI. D’ici 2020 l’équipe du client souhaite migrer aussi les reportings prêts personnels en Power BI.

Livrables :
Aider le client sur la mise en forme et migration des tableaux de bord tels qu’il existe vers cette nouvelle technologie
Avoir des reportings risques mensuels automatisés
Mise en place et modification de tableaux de bord
Modification des fichiers Excel
Réflexion d’urbanisation et d’architecture sur Power BI

Profil :
Profil technique expert Power BI
Avoir une expertise en Banque, minimum 2 ans d’expérience
Avoir idéalement des notions en crédit de consommation (comprendre ce qu’est un impayé, un dossier en surendettement etc)
Maîtrise de SAS impérative (liens en D2) pour pouvoir modifier les tableaux SAS
Minimum 3-4 ans d’expérience sur Power BI
Être capable de discuter avec les métiers au sujet des publications sur le portail

Offre :
Démarrage : ASAP
Durée : 3 mois minimum
Lieu : Paris
Rémunération : Selon expérience

Contactez moi directement au 01.78.90.05.51 ou par mail à l’adresse : Idriss (A) gentisrecruitment.com
Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,BI,Paris,18/10/2019,vjk=4f4b124a955d51a0,vide,freelance
Analyste senior BI (H/F) / Freelance,INFOGENE,Hauts-de-Seine,vide,"Hauts-de-Seine
Temps plein, Freelance / Indépendant
Infogene c’est avant tout une ESN Engagée, Responsable et Conquérante
Engagée par son adhésion au Pacte mondiale de l’ONU ; certifié GOLD par Ecovadis pour son engagement RSE (Environnement, corruption, droit de l’homme et normes internationales du travail) ;
Responsable du bienêtre de ses collaborateurs ; labélisé Happy Index at Work (CE, intéressement, rencontres sportives )
Conquérante par sa croissance, 6 ans d’existence, 450 collaborateurs, 2 centres de services et une agence digitale, 37M de CA en 2018, 46 M de CA en 2019 (prévisionnel)
5 pôles d’expertise : Digital, infrastructure, SAP, BI/Big Data et MOA ingénierie.
Venez nous rejoindre www.infogene.fr

Nous recherchons pour travailler chez un de nos clients un Analyste senior BI qui aura pour mission :

Nous recherchons un analyste expérimenté, au minimum 8 ans, connaissance en assurance-vie et épargne un atout : profil type décisionnel.

Il doit être en mesure de recueillir le besoin des métiers (contact direct avec les métiers) et de rédiger les spécifications fonctionnelles associées, de dialoguer avec les équipes socle Data (équipe effectuant les développements Attunity et STAMBIA). à décrire les données à valeurs ajoutées qui seront stockés dans le Data Lake Groupe.

Cométences techniques :
Les connaissances techniques indispensables sont : PostGres , Hadoop
La connaissance globale des produits de SAS Institute est un atout : SAS Enterprise Guide et SAS Visual Analytics.

Merci de bien vouloir transmettre vos candidatures à l’adresse suivante : rim.aoudia@infogene.fr
Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,BI,Paris,18/10/2019,vjk=2bfad7c199e33ebf,senior,freelance
Alternant Business Intelligence H/F,GSK,Rueil-Malmaison (92),vide,"Rueil-Malmaison (92)
Apprentissage, Contrat pro
Site Name: France - Rueil Malmaison
Posted Date: Oct 17 2019
ALTERNANT BUSINESS INTELLIGENCE H/F
A PROPOS DE GSK :
La mission du Laboratoire GlaxoSmithKline est d'améliorer la qualité de vie pour que chaque être humain soit plus actif, se sente mieux et vive plus longtemps. Toutes les actions et les décisions de l'entreprise sont guidées par des valeurs fortes : placer le patient au cœur de nos priorités, le respect, la transparence et l’intégrité.
Le Laboratoire GlaxoSmithKline est présent dans un grand nombre de pays et de domaines thérapeutiques, afin de répondre aux attentes des professionnels de santé et des patients de toutes origines, de tous âges et de tous niveaux sociaux. Pour les maladies les plus fréquentes comme pour les maladies rares, il propose des solutions adaptées aux besoins médico économiques de chacun : l'accès aux traitements pour tous et partout dans le monde est une priorité.
Pour en savoir plus vous pouvez consulter les ressources suivantes :
www.GSK.fr
www.GSK.com
https://www.facebook.com/GSK/
A PROPOS DU POSTE
Nous recrutons un(e) Alternant Business Intelligence H/F pour notre siège France basé à Rueil Malmaison (92). Le poste fera partie de notre entité Santé Grand Public.
MISSIONS CONFIEES :
L'apprenti aura à charge de travailler en collaboration avec l’équipe Business Intelligence pour deux missions principales :
la production du reporting mensuel Pharmacie à destination du Siège et du Réseau (intégration des données de facturation et des données externes de ventes dans une base de données, puis restitution des rapports sous Power BI)
travail en mode projet sur le développement d'une base de données sous Access / SQL Server / Oracle (à définir) pour faire évoluer le reporting vers une solution plus automatisée, améliorer la dynamique des rapports & développer de nouveaux rapports.
VOTRE PROFIL :
Niveau : minimum Bac +4
Ecole/Université : ESSEC, Ecoles de commerce, SUPINFO, CNAM
Excellente maitrise Excel (Recherchev, Somme Si, Sommesi ens, Tableaux Croisés Dynamques, supprespace)
Maîtrise Access (intégration de données / modification de tables / requêtes)
Maîtrise Bases de données (SQL Server / Oracle)
Durée de l’alternance : 1 an
Vous souhaitez nous aider à accomplir notre mission qui est d’être concentré sur la recherche de nouveaux médicaments pour améliorer les résultats pour nos patients et comprendre la meilleure façon de prévenir et de traiter la maladie. Rejoignez-nous !
LI-GSK
If you require an accommodation or other assistance to apply for a job at GSK, please contact the GSK HR Service Centre at 1-877-694-7547 (US Toll Free) or +1 801 567 5155 (outside US).
GSK is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive equal consideration for employment without regard to race, color, national origin, religion, sex, pregnancy, marital status, sexual orientation, gender identity/expression, age, disability, genetic information, military service, covered/protected veteran status or any other federal, state or local protected class.
Important notice to Employment businesses/ Agencies
GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.
Please note that if you are a US Licensed Healthcare Professional or Healthcare Professional as defined by the laws of the state issuing your license, GSK may be required to capture and report expenses GSK incurs, on your behalf, in the event you are afforded an interview for employment. This capture of applicable transfers of value is necessary to ensure GSK’s compliance to all federal and state US Transparency requirements. For more information, please visit GSK’s Transparency Reporting For the Record site.
GlaxoSmithKline - il y a 8 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,BI,Paris,18/10/2019,vjk=bca4ee8c3578b6fc,vide,apprentissage
Consultant en business Intelligence,BSL Consulting,Paris (75),36 000 € - 55 000 € par an,"Paris (75)
36 000 € - 55 000 € par an
BSL Consulting, société du groupe BI2B implanté en France et en Suisse, forte de ses nombreuses années d’expérience et de sa croissance ininterrompue dans le domaine de la BI, recherche activement ses nouveaux consultants.
Partenaire des plus grands éditeurs (IBM, SAS, ReportOne, Stambia,…), nous développons des outils innovants en gestion de la sécurité ainsi qu’en gestion fonctionnelle des flux interbase multitechnologies. Notre essor nous amène à renforcer notre équipe de consultants.
Le candidat devra impérativement posséder une expérience significative sur un outil ELT/ETL (Talend, Stambia…) et/ou Business Intelligence. Il sera nécessaire d’avoir de fortes compétences sur le langage SQL.
Le poste bénéficie d’un salaire et d’avantages très attractifs:
-primes
-PEI/PERCO
-mutuelle très performante
-voiture de service
Directement rattaché au Directeur Technique, notre nouveau consultant sera amené à exercer ses compétences dans l’Ile-de-France.
Nous ne répondons pas aux candidatures :
– concernant une demande de stage
– contenant une lettre de motivation ou un CV écrit dans une langue étrangère
– qui ne justifient pas d’une première expérience dans les domaines définit dans l’offre, d’au moins un an en France
Type d'emploi : Temps plein
Salaire : 36 000,00€ à 55 000,00€ /an
il y a 22 heures
Signaler cette offre d'emploi",Aujourd'hui,BI,Paris,18/10/2019,vjk=66046f5aa7ad507e,vide,stage
Expert Business Intelligence / Freelance,Thiveo,Paris (75),vide,"Paris (75)
Temps plein, Freelance / Indépendant
L’un de nos clients dans le secteur Monétique recherche un Expert Business Intelligence H/F.

Voici un bref descriptif de la mission :
L’expert BI aura pour mission d’assurer le bon fonctionnement de la plateforme BI existante. Il sera notamment en charge de la résolution d’incidents et de problèmes, et devra être en relation permanente avec les équipes de développement afin de suivre et de promouvoir le développement des patchs nécessaire à la stabilisation de la plateforme.
Il sera le principal garant de la fiabilité de la plateforme et aura donc une obligation de qualité pour toutes les étapes du projet :

Participer à la configuration et au développement
Concevoir un processus solide de gestion des incidents et problèmes
Analyser les incidents complexes et les escalader à la R&D
Concevoir des automates d’analyse de la santé de la plateforme
Support avancé L3
Former les équipes de support aux processus et outils de gestion d’incidents
Documenter l’existant ainsi que les nouveautés (anglais)

Compétences techniques recherchées pour cette mission :
Environnement Logiciel Terminal
Environnement Système existant : Linux Redhat 6 & 7, Java, Postgre SQL, PGAdmin
Outil de IT Service Management (Jira + Confluence)
Outil de Gestion des Configurations ( GitLab, Puppet, Foreman, Hiera, Ansible, GoCD )
Outil de monitoring : Icinga
Outil de metrologie : Graphana, Elasticsearch, Logstash, Kibana, Graphite, Beats
Maitrise des langages : Shell + au moins 1 langage évolué (Python, Ruby, Perl)
Bonne connaisse du SQL et du NoSQL

Savoir-être :
Curiosité et autonomie dans le travail
Capacité à modéliser des services
Bonnes capacités d’analyse
Bonnes capacités relationnelles et capacité à interagir avec un client
Capacité à proposer et à mettre en uvre des solutions
Maitrise de l’anglais
L’intervenant devra accepter d’effectuer des opérations de maintenance de nuit suivant un planning communiqué au préalable.

Autres informations :
Durée de la mission : 12 mois renouvelable
Date de démarrage idéale : dès que possible
Lieu : Paris
Freelance-info - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,BI,Paris,18/10/2019,vjk=00a0b05c85f9c225,vide,freelance
Chargé(e) de support Strategic and Business intelligence,Thales Group,La Défense (92),vide,"La Défense (92)
QUI SOMMES-NOUS ?
Situé à La Défense, au cœur du quartier d’affaires le plus dynamique d’Europe, le siège du groupe réunit l’ensemble des fonctions transverses.
QUI ETES-VOUS ?
Etudiant(e) en Master 2 en École de Commerce, Université ou IEP, double cursus apprécié, vous avez un vif intérêt pour les secteurs Aéronautique, Aérospatial, Défense et Sécurité dans un contexte international?
Vous êtes à la recherche d'un stage de fin d'études de 6 mois pour valider votre parcours académique?
Dynamique et proactif(ve), vous aimez fédérer autour de projets et piloter des collectifs de travail?
Vous avez une compréhension des concepts marketing ?
Vous avez de bonnes connaissances en géopolitique et en économie ?
Vous êtes autonome, organisé(e) et rigoureux(se) avec d'excellentes capacités d'analyse et de synthèse?
Vous maîtrisez parfaitement le pack Microsoft Office?
Vous disposez également des compétences en techniques de veille (bonnes connaissances du web, des techniques et outils de veille et d’analyse)?
Vous possédez un niveau en anglais vous permettant d’échanger aisément dans un contexte international?
Le maitrise d’une autre langue (Espagnol, Allemand, Italien, Russe, …) est un plus.
Vous vous reconnaissez? Alors parlons missions...
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Intégré(e) dans l’équipe d’Intelligence Économique et Stratégique, au sein de la Direction Stratégie du Groupe Thales, vous participez tant à l'amélioration des services d'Intelligence Economique qu'à la réalisation d'études géopolitiques globales. Au sein de l'équipe, vos missions sont les suivantes :
Vous participez à la rédaction et à l'implémentation du process de fonctionnement de l'activité Strategic & Business Intelligence (SBI).
Vous travaillez en mode projets et animez des groupes de travail sur la transformation des services SBI.
Vous êtes en charge de l'organisation d'évènements pour la communauté SBI, notamment des séminaires internationaux.
Vous élaborez des études géopolitiques globales (analyse du positionnement et évolutions stratégiques, consolidation des données financières, synthèses macroéconomiques).
Vous répondez à des demandes ad hoc : analyse et mise en perspective des informations collectées.
Nous sommes toujours en phase ? Alors candidatez et donnez-vous la chance de nous rejoindre.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Thales - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,BI,Paris,18/10/2019,vjk=b33dfa0a7a58e99c,vide,stage
