Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur (H/F) Scala / Big Data / Freelance,SOFTEAM,Massy (91),500 € par semaine,"Massy (91)
Temps plein, Freelance / Indépendant
500 € par semaine
Nous recherchons un développeur (H/F) Scala / Big Data pour pour une mission au sein d’un grand compte.

Compétences requises :
Expérience en architecture de systèmes distribués Big Data
Expérience dans des projets gérés en mode agile (SCRUM)
Capacité d’analyse
Indépendance
Gestion du temps

Compétences techniques :
o Programmation : Scala (ou à défaut Java)
o Écosystème Big Data (HADOOP, Spark, Kafka, Avro...)
o Bases de données NoSQL (Cassandra, Redis )
o Moteur de recherche (Elastic Search...)
o Outils de déploiement (Docker, Ansible, Kubernetes, )
o Google Cloud Plateform
o CI/CD : Git, / Jenkins / Nexus / sbt

Technologies
CASSANDRA
ELASTICSEARCH
HADOOP
KAFKA
LINUX
Freelance-info - il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Big_data,Paris,20/10/2019,vjk=355a8c839c752e4f,vide,freelance
"Développeur BI/BIG DATA (Talend,Datastage,Hadoop) H/F",GFI,Saint-Ouen (93),vide,"Saint-Ouen (93)
Stage
En tant que Stagiaire Développer BI/BIG DATA (H/F), viens prendre part à nos projets, et sois l’interface entre le métier et l’IT auprès des principaux acteurs de la banque et de l’assurance.

Au sein du service de la Business Intelligence, dans le département Financement d'une banque, tu participeras à :
L’étude de l’entrepôt de données sur lequel est basé cette migration. Cet entrepôt de données est appelé QYLOA et s’alimente des données des financements
L’étude du fonctionnement de QYLOA avec l’aide de votre tuteur pour vous permettre de migrer ce modèle sur l’architecture Big Data
La transformation du service BI vers une architecture Big Data
La rédaction des spécifications de la modélisation décisionnelle future du service

Entreprise :
Acteur européen de référence des services numériques et éditeur de logiciels, Gfi Informatique occupe un positionnement stratégique différenciant entre les opérateurs de taille mondiale et les acteurs de niche.
En s’appuyant sur son expertise dans 5 branches (Consulting, Applications Services, Enterprise Solutions, Infrastructure Services et Software), le Groupe met au service de ses clients une combinaison unique de proximité, de solutions de qualité industrielle et d’innovation.
Le Groupe connaît, depuis 2011, une croissance exceptionnelle, deux fois plus importante que celle du marché, portée par sa croissance organique et ses nombreuses acquisitions.
Gfi informatique compte près de 21 000 collaborateurs, un chiffre d’affaires de 1,5 M€ et est implanté dans toute la France avec plus de 40 agences. A l'international le Groupe compte des filiales dans 21 pays.
Tu arrives en fin de course après un marathon, bravo à toi !
Je te propose de t’aider à passer la ligne d’arriver via ton stage de fin d’étude et décrocher ton CDI en intégrant une de nos divisions : Banque Finance et Assurance.
OFFRE DE STAGE HANDI-ACCESSIBLE
Cette aventure te tente ? Rejoins-nous !

#Stage #Développeur #BI #BIGDATA #Talend #Hadoop #Datastage #HappyGfi #Recrutement #agile #Gfiinformatique

Profil
De formation Bac+5 (Ecole d’ingénieur ou université) en cours de validation, tu cherches un stage d’une durée de 4 à 6 mois.
Tu as une appétence pour les métiers de la Banque ou de l’Assurance.
Tu es reconnu(e) pour ton esprit de synthèse et d’analyse, apprécié pour ton sens du relationnel et pour ta plume rédactionnelle. Ta capacité d’adaptation, ton autonomie et ta motivation sont la clé de voûte de ta réussite professionnelle.

Connaissances :
Connaissance de la méthode Agile appréciée
Capacités d’analyse et de conception
Appétence à la rédaction
Bon niveau d’anglais apprécié

Entité de rattachement
Acteur européen de référence des services numériques et éditeur de logiciels, Gfi Informatique occupe un positionnement stratégique différenciant entre les opérateurs de taille mondiale et les acteurs de niche. En s'appuyant sur son expertise dans 5 branches (Consulting, Applications Services, Enterprise Solutions, Infrastructure Services et Software), le Groupe met au service de ses clients une combinaison unique de proximité, de solutions de qualité industrielle et d'innovation. Le Groupe connaît, depuis 2011, une croissance exceptionnelle, deux fois plus importante que celle du marché, portée par sa croissance organique et ses nombreuses acquisitions. Gfi compte près de 18 000 collaborateurs, un chiffre d'affaires de 1,5 milliard d'euros (pro-forma) et est implanté dans toute la France avec plus de 40 agences. A l'international le Groupe compte des filiales dans 20 pays. Notre division « Banque Finance et Assurance – IDF » a atteint 95M€ de CA en 2016. Fort de ses 1000 collaborateurs, BFA IDF capitalise sur plus de 47 ans d'expérience et intervient auprès de clients grands comptes au sein des marchés bancaires et de l'assurance. Nous vous proposons des projets à fort enjeux dans un contexte de transformation profonde du SI, une gestion des carrières motivante, l'opportunité d'exprimer pleinement vos compétences et des parcours de formation enrichissants. Une devise ? Vos idées, nos challenges ! Tous nos postes sont ouverts aux candidats en situation de handicap.
Postuler
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",19/10/2019,Big_data,Paris,20/10/2019,vjk=3c80db3daa0d71d8,vide,cdi
Stage - Développeur Big Data H/F,alteca,Massy (91),vide,"Massy (91)
Stage
Localisation : Massy
Métier : Data
Contrat : Stage
Poste & Missions :
< Développe ta carrière >
Tu aspires à t'épanouir dans un environnement stimulant et convivial ? Tu es passionné(e) par les domaines du Big Data, de l'informatique décisionnelle et du Digital ? Tu as envie d'évoluer et de progresser dans des contextes applicatifs dynamiques à fortes ampleur ?
Rejoins une entreprise où la vision à long terme, l'ambition et les valeurs humaines seront les connecteurs de ton projet professionnel !
Dans la continuité de son développement, le groupe Alteca recherche un(e) « Stagiaire PFE – Développeur en Big Data H/F » qui viendra accompagner et structurer les projets internes déjà en cours.

< Découvre ton contexte >
Pour soutenir l'innovation, nous avons récemment créé un lab innovation afin de tester les nouveaux outils ainsi que les nouvelles fonctionnalités reposant sur les technologies de pointe dans le domaine du Big Data.
Sous la responsabilité du Manager du Skill center Bi/BigData et au sein d'une équipe jeune et dynamique tu travailleras en collaboration avec : Data scientist, Data Analyst, Data Miner et tu seras responsable du développement de nouvelles fonctionnalités.

< Découvre ton challenge >
Tu seras amené(e) à travailler sur divers domaines:
Traitement du langage naturel afin de créer des fonctionnalités ou encore relier les plateformes à Amazon, Azure...
Analytics en temps réel (Kafka, Spark , Hadoop, R, Python ...)
Recommandations et personnalisation sur les outils/modules à développer
Prédiction
Tu auras pour missions :
Conception de l'architecture
Mise en place et configuration des outils
Gestion et orchestration des données
Implémentation des algorithmes
Optimisation des performances des algorithmes de machine learning
Documentation / Formation / Animation de soirée thématique
Profil recherché :
< Démontre tes talents >
De formation Bac+5 en Système d'information d'aide à la décision. Tu as envie d'apprendre et tu aimes relever des défis, le tout dans une ambiance conviviale. Tu souhaites vivre une véritable expérience enrichissante et une aventure humaine passionnante.
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",19/10/2019,Big_data,Paris,20/10/2019,vjk=93f437748efd7279,vide,stage
STAGE - Conception et intégration d’un système de vérificati...,Thales Group,Vélizy-Villacoublay (78),vide,"Vélizy-Villacoublay (78)
Stage
QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
Sur le site de Vélizy le Bois, les équipes développent et installent des systèmes d’information de commandement et de renseignement, systèmes de sécurité nationale et solutions de sécurité pour les villes, les États et les infrastructures critiques, ainsi que des systèmes d’information critiques et de cybersécurité. Le site abrite également les équipes en charge les solutions de supervision et de signalisation ferroviaire pour les grandes lignes et les réseaux de trafic urbain.
QUI ETES-VOUS ?
Vous avez une bonne connaissance des outils d’intégration continue tels que Jenkins ou gitlab ci.
Vous maitrisez un outil moderne de développement logiciel (eclipse, intellij), maven, ansible.
Vous êtes familier des environnements et concepts Unix (MacOS ou Linux) : thread, process file descriptor, TCP, etc…
Des connaissances sur les concepts du Big Data, du framework hadoop, et de Docker sont les bienvenues.
Vous avez une grande capacité à apprendre, de la rigueur et un bon esprit de synthèse
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Notre défi est d’élaborer une plateforme adaptée au traitement d’informations sensibles ou classifiées pour répondre aux besoins souverains de Sécurité et de Défense en Big Data, Analytics et Intelligence Artificielle.
Elle permet aux utilisateurs de concevoir des applications de traitement de données en masse, ou encore de Machine Learning.
Le sujet du stage consistera à s’appuyer sur les APIs des différents applicatifs déployés pour intégrer des outils et test métiers permettant de vérifier automatiquement le bon fonctionnement de la plateforme.
Cela passera par l’étude des outils (tel que roboframework etc…) et de leur capacité à s’intégrer dans les outils d’intégration continue et l’étude de la pertinence de test type à effectuer sur les technologies Big Data tel que HDFS, Yarn, Spark, Kafka, Hive, HBase etc…
Dans ce cadre, vous aurez plusieurs responsabilités :
Analyser, étudier et comprendre le besoin et l’écosystème Big Data
Étudier et comparer les solutions open-sources pour la mise en œuvre de solution
Concevoir et développer des tests automatiques
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Thales - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",19/10/2019,Big_data,Paris,20/10/2019,vjk=79936a28724f6f8d,vide,stage
Développeur Big Data / Freelance,Jobfit,Paris (75),500 € par semaine,"Paris (75)
Temps plein, Freelance / Indépendant
500 € par semaine
Je recherche pour mon clients grand compte dans le secteur industriel, 2 développeurs BIG DATA

Vos missions:
Alimentez le datalake par des données et réalisez des calculs d’agrégats, des analyses.
Participez à la conception,
Ecriture des spécifications fonctionnelles et techniques
Tests d’intégration et de validation.
Minimum 2 ans d’expérience sur des applications Big Data dans un écosystème Hadoop/Cloudera.

Vous maîtrisez l’environnement technique suivant : SQL, Python, Spark, PIG, Avro, Json, Impala, Hive, Java;

J’attends vos CV sur esra@jobfit.fr
Freelance-info - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",19/10/2019,Big_data,Paris,20/10/2019,vjk=c5ffa789858498e3,vide,freelance
CDI - Lead Technique IT Big Data (F/H),Sephora,Neuilly-sur-Seine (92),vide,"Neuilly-sur-Seine (92)
Chez Sephora, « beauté » rime avec « créativité » : Toujours à l’affût des nouveautés, dénicheurs de tendances, nous débordons d'énergie et fourmillons d’idées pour proposer à nos clients une sélection Beauté exceptionnelle.
Chez Sephora, « apprendre » rime avec « fun » : Nous cultivons la curiosité, l’innovation, l’anticonformisme et la liberté d’expérimenter.
On est sérieux, sans se prendre au sérieux. Notre passion, notre sens du détail, notre attention aux autres et à ce qui nous entoure nourrissent notre vision non conventionnelle du monde. Une vision colorée, joyeuse, généreuse. C’est cette attitude audacieuse qui exprime notre différence.
Notre passion du métier, notre sens du service client et notre volonté permanente d’atteindre l’Excellence, sont les moteurs de notre quotidien.

Vous souhaitez rejoindre une équipe innovante et participer à des projets ambitieux ? Rejoignez-nous ! Sephora s’est lancé depuis 3 ans dans l’aventure du Big Data et de l’intelligence artificielle. Ayant mis en œuvre un Datalake d’entreprise avec des technologies innovantes tel que Dataiku et MapR, Sephora souhaite désormais accélérer sa transformation Data, et lancer la mise en oeuvre de sa Dataplatform autour des technologies PAAS tel qu’Azure ou Google Cloud Platform (GCP).

Au sein de la DSI Europe et Moyen Orient et plus particulièrement de la direction Data et Architecture, vous aurez la responsabilité de porter la vision technique de cette ambition et la mettre en œuvre avec les équipes de développements.

Dans ce contexte, vous travaillerez en étroite collaboration avec les équipes de Datascientists, de Dataminers, et de Data Engineers en suivant la méthodologie Agile Scrum. Vous échangerez régulièrement avec les autres équipes de la DSI : opérations, responsables des systèmes sources et consommateurs de la Dataplatform.

Vous serez amené(e) à intervenir sur des projets variés tel que la construction du socle et de l’architecture de la nouvelle DataPlatform, dont la mise en œuvre des différents patterns : ingestion, processing, en batch et en temps réel, mise à disposition de données via API, et l’industrialisation des algorithmes et des préparations de données pour le reporting.

Profil :
Diplômé(e) d’un Master, d’une d’école d’ingénieurs ou d’université, vous bénéficiez d’au minimum 8 ans d’expérience dans la data, dont une expérience réussie d’architecte technique sur une plateforme Big Data dans la Cloud acquise au sein d’une société de service, ou d’une DSI.
Vous maitrisez les outils / platforms suivants : Google Cloud, Azure, AWS, Spark, Python, API. La connaissance de Dataiku, Talend et MapR sont des plus.
Leadership, adaptabilité, aisance relationnelle, force de proposition, sens du service et orientation résultats sont les qualités essentielles pour ce poste.

« Sephora recrute et reconnaît tous les talents »
« Aucun autre document que votre CV et lettre de motivation ne vous sera demandé dans le cadre de votre candidature »

Filiale du groupe LVMH, Sephora c’est :
17 000 références
6 millions de visiteurs annuels dans notre flagship des Champs Elysées
plus de 300 magasins en France et près de 2000 points de vente dans le monde
27 000 collaborateurs dont 4500 en France
Vous souhaitez nous rejoindre ? Au programme : des formations, des challenges, des possibilités d’évolution constantes.
L’aventure commence maintenant : Venez sephoriser le monde avec nous !
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",19/10/2019,Big_data,Paris,20/10/2019,vjk=a855f64f711de896,vide,vide
Responsable Infrastructure / Leader Technique Big Data,UNLCK,Paris (75),90 000 € par an,"Paris (75)
CDI
90 000 € par an
Contexte
Vous avez l’expérience pour manager une équipe de DevOps ? Vous souhaitez garder une forte dimension technique ?
Fondée il y a plus de 10 ans, cette structure parisienne s’est fait un nom dans le secteur de l’absorption et l’analyse intelligente de data. Leur objectif est de lier l’expertise humaine et l’IA afin de transformer la data.
Aujourd’hui, ils sont plus de 250 collaborateurs répartis sur 5 pays.
Responsabilités
Management de l’équipe Infra/DevOps
Surveillance, optimisation et gestion des coûts de l’infrastructure
Amélioration de la disponibilité et de la performance
Optimisation des déploiements automatisés
Veille technologique poussée
Environnement technique : AWS, OVH, Spark, HBase, Kafka, Ansible, ElasticSearch, Nginx, Kubernetes, Terraform, Docker
Profil
Au moins 3 ans d’XP dans l’encadrement/management d’équipe technique
Bonnes connaissances des pratiques DevOps, du Cloud et des problématiques orientées BigData
Bon niveau d’anglais / capacité à évoluer dans un contexte international
Avantages
Contexte internationnal
Equipe technique à taille humaine (25 personnes)
Locaux agréables en plein cœur de Paris
Stack technique récente et évolutive
Rémunération : selon profil et expérience : (80-110 K€ + avantages)
Type d'emploi : CDI
Salaire : 90 000,00€ /an
Expérience:
responsable infrastructure / leader technique big data ou similaire: 5 ans (Souhaité)
il y a 1 jour
Signaler cette offre d'emploi",19/10/2019,Big_data,Paris,20/10/2019,vjk=b945e1a5d34bbe38,vide,cdi
INGENIEUR DEVELOPPEMENT BIG DATA - F/H,Ingeniance,Paris (75),vide,"Paris (75)
Stage
Contexte de la mission:
Le Bénéficiaire souhaite mettre en place cette nouvelle application (notamment assurer la performance en insertion et en requetage) avec des méthodes agiles.
A ce titre le Bénéficiaire souhaite bénéficier de l'expertise du Prestataire en termes d'Expertise technique et/ou fonctionnelle.

Dans ce cadre, la Prestation consiste à contribuer à/au(x):
Conception des solutions techniques
Développement du code permettant l'intégration d'indicateurs de risque de marché et leur distribution
Optimisation des performances
L'assistance à la MOA lors des spécifications fonctionnelles et des tests en UAT
Tests unitaires (TDD) et test d'acceptance (BDD)
La documentation technico-fonctionnelle
Profil recherché:
Diplômé(e) d'une école d'ingénieurs ou de formation équivalente (Bac+5), vous justifiez d'une première expérience en développement acquise dans le cadre d'un projet d'école ou d'un stage.
Doté d'un bon relationnel, vous disposez d'une bonne capacité d'analyse. Vous justifiez d'un souhait réel de travailler sur du big data.
Compétences techniques requises:
Code Java
Documentation: JIVE/Wiki
Spécifications technique
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,Big_data,Paris,20/10/2019,vjk=867cd0e9f2bc266d,vide,stage
Consultant - Data Virtualization for Analytics / Data Servic...,Denodo Technologies,Paris (75),vide,"Paris (75)
Job Description

YOUR OPPORTUNITY
Love to deal with multiple technologies in complex environments? Want to evangelize the solutions you envision for the largest organizations in the world? Ready to advise the modern software engineering practice on pioneer projects?
We invite you to materialize your aspirations in a company where opportunities abound for building an amazing future, where discovering the value and potential of a new technology, Data Virtualization, will be the beauty of your daily routine.
Our customers span all market segments and geographies. And we partner with leading and reputable companies across the globe. This combination makes Denodo a fun and exciting environment to work. A place where your work will have an impact. A place where you're invited to push the boundaries of possibility.
Join an international team in pursuing mastery, value and success in a global environment.
ABOUT THE JOB
Denodo is looking for a technical, passionate person to join our Services Engineering team in Paris. We want a professional who will evangelize, consult, travel, train and troubleshoot to enhance our clients’ journey around Data Virtualization.
Your mission: to help our customers realize their full potential through accelerated adoption and productive use of Denodo solutions.
In this role you will successfully employ a combination of high technical expertise and client management skills to conduct on-site consulting and product implementation in either short or long-term engagements being critical point of contact for getting things done among Denodo, partners and client teams.
Product and technical knowledge:
Obtain and maintain strong knowledge of the Denodo products, be able to deliver a superb demo and technical pitch, including overview of our key and advanced features and benefits, services offerings, differentiation, and competitive positioning.
Constantly learn new things and maintain an overview of modern technologies.
Be able to address a majority of technical questions concerning customization, integration, enterprise architecture and general feature / functionality of our product.
Ability to lead custom deployments dealing with business-focused and engineering-focused requirements.
Provide timely, prioritized and complete customer-based feedback to Product Management, Sales, Support and/or Development regarding client’s business cases, requirements and issues.
Presentation and organizational skills:
Train and engage clients in the product architecture, configuration, and use of the Denodo Platform and related solutions.
Know when and where to escalate within the Denodo technical organization, and make effective use of those resources.
Promote knowledge and best practices while managing deliverables and client expectations.
Customer engagement:
Manage client expectations, establish credibility at all levels within the client and build problem-solving partnerships with the client, partners and colleagues.
Provide business and technical consulting, training and support.
Develop white papers, presentations, training materials or documentation on related topics.

Qualifications

We require:
BS or higher degree in Computer Science.
3+ years of demonstrated experience in a similar role.
Solid understanding of SQL and good grasp of relational and analytical database management theory and practice.
Experience in Windows & Linux (and UNIX) operating systems in server environments.
Experience in Enterprise development technologies such as Java Enterprise, XML, Web Services.
Active listener, inquisitive and passionate about technology.
Strong analytical and problem solving abilities.
Willingness to travel up to 30%.
Be a team worker with positive attitude.
We value:
Experience working with Big Data and/or noSQL environments like Hadoop, mongoDB, ...
Experience in Business software implementation and integration projects (e.g. ETL/Data Warehouse architectures, CEP, BPM).
Experience in Integration with packaged applications (e.g. relational databases, SAP, Siebel, Oracle Financials, Business Intelligence tools, …).
Experience in web technologies, architectures and services (WOA, XaaS, ...).
Experience in Data Modeling tools.
Experience in public / hybrid cloud environments (AWS, Azure, GCP...).
Knowledge and experience on Enterprise Architecture Best Practices and Frameworks (Zachman, TOGAF, etc.) are a plus.

Additional Information

We are committed to equal employment opportunity.
We respect, value and welcome diversity in our workforce.
We do not accept resumes from headhunters or suppliers that have not signed a formal fee agreement. Therefore, any resume received from an unapproved supplier will be considered unsolicited, and we will not be obligated to pay a referral fee.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,Big_data,Paris,20/10/2019,vjk=67019b0c3106236e,vide,vide
ARCHITECTE BIG DATA - F/H,Ingeniance,Paris (75),vide,"Paris (75)
CDI
Contexte de la mission :
Au sein de la DSI d'une banque de détail, les missions principales du département et de l'architecte big data consistent à:
Veiller à la cohérence d'ensemble du SI Réseaux France en termes d'architecture fonctionnelle, applicative et technique, de référentiels et d'administration des données.
Apporter un support aux directions fonctionnelles et au Centre de Solution Mutualisé dans les études et la conception.
Assurer la maîtrise d'ouvrage et la maîtrise d'oeuvre des socles logiciels stratégiques et pérennes.
Offrir un support et une assistance technique aux équipes utilisant ces socles logiciels de développement.
Réaliser une veille technologique avancée, identifier et prototyper l'usage de solutions technologiques big data.
Identifier de manière anticipée les travaux à mener pour éviter toute obsolescence des solutions SI.
Mission :
Dans ce cadre la Prestation consiste à contribuer à/au(x):
Mener les projets Big Data de la Banque de détail sur les aspects d'architecture fonctionnelle et applicative.
Participer aux Comités d'Architecture d'Entreprise visant à obtenir la validation de l'architecture des solutions proposées.
Produire des études d'architecture Big Data permettant de construire et faire évoluer le cadre de référence pour les projets.
Contribuer à l'évolution de la vision Data du Datalake.
Mettre en place des principes de gouvernance de la donnée et des projets Big Data.


Profil recherché :


Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse. La connaissance des méthodes et technologies de développement BigData (Spark, Hadoop) vous permettront de mener à bien la mission.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",18/10/2019,Big_data,Paris,20/10/2019,vjk=01fbe4794fd57e8a,vide,cdi
