Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Data Analyst,Aircall,Paris (75),vide,"Paris (75)
CDD, CDI
Aircall’s mission is to transform the business phone industry !
Aircall is an advanced cloud-based phone system, complete business phone and call center software in one single tool.
Our platform easily integrates with your favorite CRM, support, and SaaS tools, giving users all the context they need to close more deals and deliver superior service.
With no hidden fees and no hardware to manage, Aircall gets deployed and is operational in a matter of minutes.
By redefining the idea of a business phone operator, Aircall has convinced more than 3000 companies worldwide - including Uber, SpotAHome, TraverlBird.

DÉCOUVRIR AIRCALL
Descriptif du poste
We are looking for someone to help our product, design and business teams obtain the right level of insights that would allow them to make decisions and take actions that reinvent our product everyday.
In addition to the regular responsibilities of a data analyst, we are looking for someone with a proven track record of guiding and mentoring other data analysts in order to help them advance in their knowledge/careers.
What you will do:
Analyze our growth drivers, collaborating a wide diversity of teams
Business analytics: Partner with Marketing, Sales and Success teams to understand our levers of acquisition and retention, find and spread metrics that can help us be more data-driven
Finance: provide accurate data and insights for financial reporting and forecasting
Call quality: Correlate our high data call volumes with quality indicators (at the frontier of the worlds of webRTC, voIP and telecommunications) to understand and improve the call experience
Product: Analyze engagement funnels to prioritize features on our roadmap
Ensure insights are shared across the company through training, communication of good practices and documentation
Create efficient data pipelines using the right technology to ensure reliability of insights delivered across time
Maintain and update data models to facilitate their use among teams
What we offer:
A competitive environment where you can get responsibilities
Sunny offices in the center of Paris with ping-pong tables, music studio, free food/drinks, and regular team parties
Immersion in the Parisian startup ecosystem, and an opportunity to work with some of the most promising startups
Competitive package
Yearly team offsite to exotic locations bringing together our Paris and NYC team
Profil recherché
Masters degree from top engineering / business school
Knowledge of SQL and Python
Comfortable with using data from different sources
Critical thinking, challenge ideas before believing them
Detail oriented, curious, problem-solver, with a strong motivation to learn great skills
Fluent in English
il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Data_analyst,Paris,14/10/2019,vjk=67563418585ccb7b,vide,cdi
Senior Data Analyst,Aircall,Paris (75),vide,"Paris (75)
CDD, CDI
Aircall’s mission is to transform the business phone industry !
Aircall is an advanced cloud-based phone system, complete business phone and call center software in one single tool.
Our platform easily integrates with your favorite CRM, support, and SaaS tools, giving users all the context they need to close more deals and deliver superior service.
With no hidden fees and no hardware to manage, Aircall gets deployed and is operational in a matter of minutes.
By redefining the idea of a business phone operator, Aircall has convinced more than 3000 companies worldwide - including Uber, SpotAHome, TraverlBird.

DISCOVER AIRCALL
Job description
We are looking for someone to help our product, design and business teams obtain the right level of insights that would allow them to make decisions and take actions that reinvent our product everyday.
In addition to the regular responsibilities of a data analyst, we are looking for someone with a proven track record of guiding and mentoring other data analysts in order to help them advance in their knowledge/careers.
What you will do:
Analyze our growth drivers, collaborating with a wide diversity of teams
Business analytics: Partner with Marketing, Sales and Success teams to understand our levers of acquisition and retention, find and spread metrics that can help us be more data-driven
Finance: provide accurate data and insights for financial reporting and forecasting
Call quality: Correlate our high data call volumes with quality indicators (at the frontier of the worlds of webRTC, voIP and telecommunications) to understand and improve the call experience
Product: Analyze engagement funnels to prioritize features on our roadmap
Ensure insights are shared across the company through training, communication of good practices and documentation
Maintain and update data models to spread their use among teams
Coach data analysts and push them towards achieving technical and analytical excellence
What we offer:
A competitive environment where you can get responsibilities
Sunny offices in the center of Paris with ping-pong tables, music studio, free food/drinks, and regular team parties
Immersion in the Parisian startup ecosystem, and an opportunity to work with some of the most promising startups
Competitive package
Yearly team offsite to exotic locations bringing together our Paris and NYC team
Preferred experience
Masters degree from top engineering / business school
Prior work experience as a data analyst / strategy consultant (2+ years preferred)
Knowledge of SQL, Python and a data visualization tool
Comfortable with using data from different sources
Critical thinking, challenge ideas before believing them
Ability to give and take constructive feedback
Fluent in English
Previous experience working in a B2B or SaaS company would be a plus
il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Data_analyst,Paris,14/10/2019,vjk=644b3e1c66298427,senior,cdi
STAGE – DATA ANALYST - H/F,BNP Paribas,Nanterre (92),vide,"Nanterre (92)
Stage
STAGE – DATA ANALYST - H/F (NUMÉRO DE L'EMPLOI : ASSURE20_AUDIT_SMG)

Stage – Data Analyst - H/F
Concrètement votre quotidien ?
Le Département d’Audit Interne de BNP Paribas Cardif mène des missions sur les différentes activités du métier Assurance du Groupe BNP Paribas, ayant pour objectif de garantir la qualité du dispositif de contrôle des risques, le respect des contraintes règlementaires en vigueur, et l’efficience du management en poste.

Vous serez amené(e) à :
Assister l’équipe d’audit dans ses travaux d’exploration et d’analyse des données lors des missions, en proposant notamment des analyses de données pertinentes.

Participer également à l’identification des apports de la Data Analytics dans l’amélioration de l’efficacité opérationnelle et la qualité de l’audit (smart sampling, identification de zones de risque…), implémenter et formaliser des « uses cases » réutilisables.
Accompagner la transformation Data de l’Inspection Générale et assurer à ce titre un rôle majeur dans l’acculturation du département d’Audit Interne aux techniques de Data Analytics, et plus particulièrement à l’utilisation de Tableau, outil retenu par l’Inspection Générale.

L'environnement de travail, c'est important !

En rejoignant le Département d’Audit Interne de BNP Paribas Cardif, vous intégrez une équipe dynamique, à taille humaine, qui évolue au sein d’univers et métiers divers et variés.

Nos locaux sont situés à Nanterre, accessibles via le RER A (Gare de Rueil-Malmaison).

Et après ?

La mission au sein du département d’Audit Interne vous permettra d’acquérir une vision transverse des activités d’assurance de par la diversité des missions qui y sont menées.
Vous mettrez à profit vos connaissances en Data Analytics pour l’identification des risques, en interaction avec les différents acteurs de l’entreprise, l’opportunité pour vous d’agrandir votre réseau.
Ce stage vous offrira également une réelle expérience dans la conduite d’une transformation d’un département.

Pourquoi rejoindre BNP Paribas Cardif ?


Notre monde change ! Aujourd’hui, ce qui compte dans un job, c’est de vivre de véritables expériences, d’apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable. Chez BNP Paribas, nous recrutons nos collaborateurs avec l’idée qu’ils nous aideront à concevoir le monde et la banque de demain.

Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur :
https://www.bnpparibascardif.com/fr_FR


Et la rémunération ?

Elle sera abordée à l’issue de votre parcours de recrutement. Elle dépend de votre formation et de votre niveau d’étude.

Etes-vous notre prochain.e stagiaire Data Analyst ?

Vous préparez un BAC+ 5 en école d’ingénieur ou un équivalent universitaire avec une spécialisation en Data Analytics / Informatique.
Votre rigueur et précision, votre capacité d’analyse et votre capacité à collaborer seront des atouts essentiels. Ajoutez à cela votre capacité d’adaptation et d’initiative pour finir de nous convaincre.
Vous avez des connaissances en matière de manipulation et d’analyse des données, et maîtrisez l’outil Tableau.

Enfin nous attachons une importance particulière à ce que nos futurs collaborateurs agissent au quotidien avec responsabilité éthique et professionnelle.

Durée et disponibilité :

Stage à pourvoir à partir du mois de Janvier 2020 pour une durée de 6 mois.

Si cette offre vous intéresse, retrouvez-la sur notre site de recrutement :
www.bnpparibascardif.com
Référence annonce : ASSURE20_AUDIT_SMG
il y a 11 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_analyst,Paris,14/10/2019,vjk=01439674120b250e,vide,stage
Stage Business Intelligence et Data Analytics (H/F),MBDA,Le Plessis-Robinson (92),vide,"Le Plessis-Robinson (92)
Stage
Venez partager et développer vos compétences avec nos 3000 collaborateurs sur notre site du Plessis-Robinson.
Rattaché(e) à la direction des systèmes d'information, vous assisterez le responsable du pôle Business Intelligence & Analytics dans le pilotage et la gestion des activités « data ». L’objectif de votre stage est d’assurer une gestion de projet depuis l’expression de besoin jusqu’au déploiement de la solution.

Vous êtes étudiant ingénieur informatique ou équivalent, idéalement spécialisé en data science ou systèmes d’information, avec une première expérience souhaitée dans le domaine de la Data Science.
Expérience en Data analyse ou exploitation de données démontrable sur un projet.
Désir d'évoluer et de monter en compétence dans le domaine de la Data Science.

Vous connaissez ou maitrisez :
Les technologies liées au domaine de la Data Science
Les bases de données Microsoft SQL Server
L’outil de visualisation Microsoft Power BI
Vous êtes force de proposition, motivé(e), dynamique. Vous avez le sens de l'organisation et du travail en équipe.
Durée du stage : 6 mois
Date de début : février 2020 (au plus tôt)
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,Data_analyst,Paris,14/10/2019,vjk=e091840901ba95dd,vide,stage
Data analyst H/F,mediametrie,Levallois-Perret (92),vide,"Levallois-Perret (92)
CDI
À propos
Leader des études médias, MEDIAMETRIE observe, mesure et analyse les comportements du public et les tendances du marché : télévision, radio, cinéma, internet, téléphone mobile et cross-médias ...
Descriptif du poste
La Direction Data Science, composée de plus de 30 collaborateurs, intervient dans l'élaboration des études dès l'amont par la conception et la définition des méthodologies les plus adaptées et en aval par le traitement et l'analyse des données.
Afin de renforcer nos équipes, nous recherchons, dès à présent, en CDI, au sein du pôle Internet, un Data analyst H/F
MISSION :
Vous intervenez sur la mesure d'audience Internet Global, i.e. sur ordinateur, téléphone mobile et tablette. Vous travaillez pour cela sur des données web à forte volumétrie et des méthodes statistiques complexes (appariements statistiques, hybridations, ...).
Vos missions consistent à :
Assurer le traitement des données (pré-traitement, redressement, traitement des valeurs manquantes, ...), la validation des résultats et les analyses complémentaires
Apporter conseil et explication aux départements commerciaux dans l'interprétation des résultats
Participer à l'évolution des mesures, des méthodologies et méthodes de calcul
Contribuer à la veille méthodologique et scientifique
Vous intégrez un poste ouvert en termes de contacts, où vous valorisez vos qualités d'analyse.
Profil recherché
1ère expérience en entreprise
Formation supérieure en Statistique/Mathématiques appliquées
Compétences analytiques et esprit de synthèse, autonomie, proactivité et force de proposition, savoir communiquer avec pédagogie.
Des connaissances sur les techniques d'imputation ou de fusion de données d'enquête sont un plus.
Outils & Langages : SAS (base, SQL, macros, Entreprise Guide), R
Appétence pour l'optimisation des traitements informatiques.
Vous êtes à l'aise en anglais écrit afin d'effectuer des missions de veille méthodologique
Informations complémentaires
Type de contrat : CDI
Lieu : Levallois-Perret, France (92300)
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_analyst,Paris,14/10/2019,vjk=8e0203c59f6df22e,vide,cdi
Data Analyst Confirmé (H/F),Meetic Group,Paris (75),vide,"Paris (75)
Job Description

Meetic s’appuie fortement sur la donnée pour piloter ses activités, et développe en continu l’utilisation de cet atout. Dans ce contexte, le département Analytics & Strategy se trouve au carrefour des problématiques clés.
Notre mission est de concevoir l'Appli de rencontres de demain afin de satisfaire nos millions d'utilisateurs par mois.
Notre stack : SQL, Spark, Excel avancé, PowerBI, Qlikview, VBA, Python,

Venez faire un bout de chemin avec nous :
Epanouissez-vous dans un environnement de travail agile, stimulant, jeune et dynamique.
Evoluez au sein d’une équipe qui communique en permanence avec toutes les entités de notre entreprise.
Progressez chaque jour dans un vaste écosystème de données qui nous permet d’intervenir sur l’ensemble des métiers : marketing, acquisition, expérience client, pricing, optimisation des modèles économiques, lutte contre la fraude et bien d’autres encore.
Participez à l’amélioration des pratiques d’analyse et challengez les process en place.
Challengez votre créativité en participant à nos hackathons.

Vos missions au quotidien :
Business Partner :
Identifier les meilleurs indicateurs de performance, contribuer à leur surveillance.
Réaliser et/ou coordonner les analyses, communiquer les conclusions.
Faire grandir la maturité analytique de vos interlocuteurs.
Analytics engineer :
Mettre en place la meilleure réponse à un besoin de données.
Utiliser des méthodes mathématiques avancées avec l’aide des Data scientists.
Collaborer en continu avec les équipes IT pour garantir la disponibilité des données.
Project manager :
Piloter des projets d’envergure en rythme avec l’entreprise
Coordonner les acteurs impliqués (internes ou externes)
Communiquer sur l’avancement, les risques, l’atteinte des objectifs.

Qualifications

Diplômé d’une école d’ingénieur ou d’un Master mathématiques / informatique, vous parlez couramment anglais. Vous aimez découvrir des méthodes scientifiques et challenger celles en place. Vous gardez à l’esprit la finalité de votre travail : éclairer les décisions business.
Compétences requises
Vous maîtrisez le langage SQL où êtes assez curieux pour l'apprendre rapidement
Vous avez une excellente capacité d’analyse, de synthèse, et de communication
Nous comptons sur vos compétences techniques et sur votre démarche scientifique rigoureuse que nous saurons ensemble faire grandir.
Travailler sur Excel et Powerpoint ne vous fait pas peur
Vous êtes curieux, créatif, proactif et ouvert ; vous avez des idées et vous les partagez.
Vous avez une bonne maîtrise de l’anglais, à l’écrit comme à l’oral.
Compétences appréciées
Programmation en PL/SQL
Maitrise de Qlikview ou d’autres outils de BI
Programmation en VBA, R, Python
Développement sur les technos web (HTML/JS)
Connaissances avancées en mathématiques / statistiques

Additional Information

Vous ne mettrez jamais longtemps pour venir travailler chez Meetic : nous sommes en plein cœur de Paris (gare St Lazare, RER A Auber à nos pieds, Métro M3-7-8-9).
Si vous recherchez une histoire sérieuse, à temps complet pour une durée indéterminée, alors nous sommes faits pour faire du chemin ensemble.
Faites le premier pas… envoyez-nous votre candidature.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_analyst,Paris,14/10/2019,vjk=022725f7ce84baa1,confirmé,vide
Stagiaire (h/f) - DATA ANALYST- RELATION CLIENT,SFR,Paris (75),vide,"Paris (75)
Stage
Entreprise de nouvelles technologies et d'innovation, SFR révolutionne les usages grâce à son réseau puissant et ses expertises de pointe dans les technologies de mobilité, IA, big data ou objets connectés.
2ème opérateur en France, avec le 1er réseau fibre et la plus grande couverture 4G, notre Groupe est également pionnier dans la convergence entre les télécoms et les médias.
Nous sommes près de 10 000 femmes et hommes, partout en France, animés par un objectif : offrir le meilleur à chacun de nos clients.
Vivre l'aventure SFR, c'est la certitude de relever de nouveaux challenges chaque jour, d¿avoir la chance de laisser son talent et son potentiel s¿exprimer, de favoriser une innovation utile et un travail d'équipe, pour accélérer l'avenir, la vie des Français, mais aussi sa carrière !
Toutes nos offres sont ouvertes aux personnes en situation de handicap.
Au sein de SFR, vous intégrerez le pôle Grand public, qui a pour objectif d'améliorer l'expérience client dans tous les moments clé de la relation. Pour cela, nos équipes travaillent à développer la connaissance client en renforçant nos capacités des collectes de données sur tous les points de contacts. L'analyse de ces données permet aux équipes marketing et web de proposer des offres cohérentes et de développer des interfaces et des services digitaux pour répondre aux nouveaux usages clients.
C'est dans ce contexte novateur et motivant, que nous recherchons pour la Direction Support Relation Client, un(e) stagiaire pour une mission d'au minimum 6 mois.
Cette Direction a notamment en charge la rémunération des partenaires (centres d'appels) : la création des commandes conformes aux contrats, la vérification des montants facturables et la validation.
Votre stage vous amènera progressivement à assurer la facturation bout en bout des activités partenaires du service client, à savoir :
Gérer des commandes : Réception des commandes Validation / correction des documents de clôtures prestataires conformément aux dispositions contractuelles génériques et spécifiques et aux arbitrages définis en comité d'arbitrage
S'assurer de la bonne mise en application par le prestataire
Adapter les outils existants (matrices de rémunération sous Excel) ou demande les évolutions nécessaires
Développer des outils complémentaires (via Excel ou autre) ou demande des développements complémentaires
Mettre en place les reportings financiers relatifs à la rémunération sur ses activités.
Alerter sur les évènements marquants / risques.
Et vous permettra d'acquérir ainsi une solide expérience professionnelle.
Profil
Au cours de votre jeune parcours, vous avez déjà démontré votre goût prononcé pour les chiffres, votre capacité d'analyse, votre méthodologie, conduite de projets.
Vous êtes reconnu(e) par votre entourage pour votre capacité à relever des challenges, votre curiosité, votre capacité à travailler en équipe et en autonomie, votre bon relationnel.
L'ensemble de ces qualités et compétences sont pour vous autant d¿atouts pour intégrer notre Direction Service client basée sur Altice Campus Balard.
En dernière année de Formation BAC+5 Ecole de commerce ou équivalent, vous avez déjà acquis de bonnes compétences sur Excel (à minima connaissances des formules simples), Maitrise macro, VBA Excel serait un plus.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_analyst,Paris,14/10/2019,vjk=412d91b84aba6889,vide,stage
Stagiaire ESG Data Analyst,ICEBERG DATA LAB,Paris 9e (75),1 521 € par mois,"Paris 9e (75)
Temps plein, Stage
1 521 € par mois
Company:
Iceberg Data Lab is a young start-up developing data solutions to help financial institutions evaluating the environmental and social impact of their portfolios.This niche business enjoys a strong momentum in the asset management world globally.
The internship will:
- develop the model and validate the result of the analysis on specific sectors,
- explain the approach to prospects,
- engage with clients to explain the results of the analysis,
Profile:
Final year of Masters program/Engineering school looking for an internship in a young and dynamic fintech.
IDL is an ideal experience for future graduates willing to live an entrepreneurial challenge in a diversified team. Iceberg Data Lab also offers its employees the unique opportunity to have a positive impact and meaningful jobs.
The intern will be under the supervision of an analyst and trained on our models.
Analytical skills, knack for figures and ability to work autonomously are needed to thrive in that position.
Basic French knowledge is required.
Avantages :
RTT
Participation au transport
Titre-restaurant / Panier
Job Types: Full-time, Internship
Salary: 1,521.00€ /month
il y a 2 jours
Signaler cette offre d'emploi",12/10/2019,Data_analyst,Paris,14/10/2019,vjk=f35ea2d7317e99a4,vide,stage
Data Analyst Engineer,DREEM,Paris (75),vide,"Paris (75)
Dreem has a unique relation to analytics. As a member of the Dreem analytics team, you’ll have the opportunity to work in close relation with nearly all other teams (Product, Marketing, Engineering, Science, Finance).
Dreem’s path and product are unique and to stay successful we rely heavily on data to guide both strategic and day-to-day decisions. Dreem and its users generate large quantities of very diverse data which needs careful and creative aggregation and analysis to provide these crucial insights. By joining our team you’ll be able to guide decisions, create and implement tools to make data accessible in the right place and the right time, all of it fighting one of the most challenging health issue of present times.
More than in most companies, we deal with a lot of diverse data, coming from multiple sources and which needs to be aggregated, aligned and distributed where it matters. As the first dedicated data-engineer at Dreem, you’ll have a unique opportunity to bring the existing ETL pipelines and our current data architecture to the next level. You’ll also play a key role in training the whole company on using data and even delivering insights yourself. To sum it up, we’re looking for someone that embodies completely our mission of diffusing data throughout the company.
Technical context
On the input side, we ingest physiological data from dreem headbands, detailed usage data from the headband, our companion apps and our websites, technical logs, questionnaires, user feedbacks and communication from customer service, data from logistics and growth for instance. We maintain a core postgreSQL data warehouse for all analytics purposes along with an Elasticsearch cluster for logs (with bridges between the two). On the output side, we serve data and analysis through cloud-hosted dashboards (Kibana and Chart.io for non-specialists), notebook-based in-depth analysis and directly in countless third-party tools. Our ETL tools are mainly in python, but we also use some components in go and we use third-party ETL services. Our pipelines run on the latest stacks argo/kubernetes/docker and the ELK.
The Analytics team was created as we sold our very first headbands. Because Dreem is so new, closely understanding our users’ needs and usage has always been a strategic activity. Since its creation, the team has provided insights, tools and training to ensure everyone in the company can leverage data to improve his work.
In addition to “passive” analytics where one looks at normal activity, we also drive many “active” initiatives where we take a more experimentalist approach. Over the years we’ve setup several specialized systems to include our users in product development through large-scale remote tests or targeted feedback collection.
Missions
Manage and improve our data pipelines (ETL scripts/ data modelling)
Play a key role in making data available and useful to all teams in the company by building dedicated tables / data-marts and providing training, mentoring and support.
Lead the evolution of our data architecture for analytics
Analyse data to provide insights directly
Requirements
Software engineering background on data-intensive projects
Proficient in python
Knowledge of PostgreSQL
Knowledge of docker
Knowledge of Data architecture
Good oral communication in English
Willingness to train, share, exchange on data.
Bonus
Previous experience as data engineer / backend developer / data analyst
Knowledge of Django ORM
Knowledge on elasticsearch / ELK stack
Experience with kubernetes
Benefits
You will work in startup environnement with a lot of challenge and innovation: no time to boredom,
You will have the opportunity to create your own career: fast progression and job switch possible!
You will share and learn everyday with world class talents who are experts in their field and passionate about their daily work : let’s participate to our DreemCon (internal technical events),
You will kept informed of all progress of the company with weekly and monthly meeting led by the co-founders,
You will work in great office in central place and you will collaborate with our teams all over the world (Paris, NYC, Taipei)
You will have fun! Thanks to our Happiness Officer who’s organize a lot of events to keep a good atmosphere (breakfast, monthly party, teambuilding,...),
You will be invited to the annual summit : last time we went to Marrakech for an amazing summer trip together
You will be lucky to have the Dreem Headband whenever you want.
Bonus: Fitness room, good health cover “Alan”, Gymlib pass, qualitative corporate restaurant “Lecointre Paris”, nap rooms, BSCPE…
Our culture is reflected with a stellar Glassdoor rating : https://www.glassdoor.fr/Avis/Dreem-Avis-E1160223.htm
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_analyst,Paris,14/10/2019,vjk=f25debfc76311bd3,vide,vide
INGENIEUR BIG DATA ANALYTICS - F/H,Ingeniance,La Défense (92),vide,"La Défense (92)
CDI
Contexte de la mission :
Notre client est une banque de financement, d'investissement et de services, qui développe également une offre originale en matière de gestion du poste clients.
Chez INGENIANCE notre Lab � BigData Analytics �, est un véritable terrain d'expérimentation de mise en place de cluster hadoop, de montée en compétence sur des architectures d'applications distribuées (Lambda, Smack, Microservices). Ce dispositif permet à nos collaborateurs de maîtriser des outils tels que Spark, Kafka, Elasticsearch, Hbase, Hive, Cassandra.

Notre Lab permet également de créer des modèles Machine Learning (classification, régression, clustering) avec Spark-Mllib, Tensorflow, Sickit-learn.
Missions:
Chez INGENIANCE :
Participer à la veille technologique au sein de nos communautés,
Être accompagnés avec nos éléments référents, experts dans le domaine
Conseiller nos clients sur les produits du marché
Participer au développement de nos événements techniques internes (Speed training, Meetup) et externes

Chez nos clients :
Intervenir dans des environnements en transformation notamment sur les sujets du Big Data. Voici une liste indicative des activités qui pourraient vous être confiées:
Analyser les besoins clients et formaliser des Use Cases clients,
Participer activement à la conception et à la réalisation des solutions Big Data,
Développer une approche analytique ou machine learning en fonction du besoin,
Développer des solutions d'ingestion de données depuis des sources multiples pour les déverser dans un data lake : Nifi, Sqoop, Kafka, etc.
Passer de la donnée brute à de la donnée propre (inférer les schémas de données, nettoyer et normaliser les données, publier les données)
Consolider les données au fur et à mesure de leur alimentation récurrente dans le data lake.
Exploiter les résultats pour atteindre la finalité business : exposition de business view, réintégration des résultats dans le SI, etc.
Mettre en place et garantir le respect dans la durée d'un processus qualité sur l'ensemble du cycle de développement et d'industrialisation (documents, tests unitaires / intégrations / fonctionnels, commentaires, versionning, etc.)
Environnement technique du projet :
Horton Works, Cloudera, Spark, NoSQL
Profil recherché:
Vous êtes passionné(e) d'innovations technologiques, désireux de partager vos compétences au sein d'une équipe en recherche d'excellence.
Vous disposez d'une bonne première expérience en big data, gestion des bases de données NoSQL et maîtrisez les environnements Hadoop du type Hortonworks, Cloudera, Spark, etc.
Vous êtes reconnu(e) pour votre énergie, votre pertinence, votre polyvalence, votre curiosité et votre capacité à mener à bien des projets.
Vous avez un bon sens de la communication et avez des capacités affirmées d'analyse et de synthèse et êtes à l'aise en anglais, tant à l'oral qu'à l'écrit.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_analyst,Paris,14/10/2019,vjk=67d2a8311182ced0,vide,cdi
