Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Administrateur de base de données (H/F),AUTOVISION,Montreuil (93),2 300 € - 2 600 € par mois,"Montreuil (93)
Temps plein, CDI
2 300 € - 2 600 € par mois
Karoil, prestataire informatique du réseau de contrôle technique Autovision, agrée par le Ministère chargé des Transports, recrute un Administrateur de base de données PostgreSQL.
Au sein d'une équipe passionnée d'informatique, vos missions seront les suivantes :
Mise en place et administrations de bases PostgreSQL.
Mise en place d’architectures réplication.
Mise en place de répartition de charge.
Migration de base de données vers PostgreSQL.
Automatisation des procédures d’exploitations, des installations et des sauvegardes.
Développement de procédures stockées.
Analyse et optimisations des traitements et requêtes.
Requêtage de données.
Création de la documentation technique des processus de sauvegarde et de restauration, des processus d’installations, des processus de réplication des bases
Issu d'une formation BAC +2 en services informatiques vous justifiez d'au moins 3 ans d’expérience dans l’administration de base de données.
Vous êtes curieux(se), rigoureux(se), volontaire, social(e) et aimez le travail en équipe.
Vous devez nécessairement posséder les compétences suivantes :
Administration de BDD PostgresSQL.
Réplication de BDD
Répartition de charge
Backup et Restore de BDD PostgreSQL
SQL
Il est souhaitable d'avoir des notions en :
PL/pgSQL
PgBouncer
Administration oracle
Excel avancée
Server WEB Apache
La maîtrise des compétences suivantes est un plus pour ce poste :
Windev
Les mathématiques en relation avec la programmation
Administration serveur (Windows/Linux)
Architecte big data
Type d'emploi : Temps plein, CDI
Salaire : 2 300,00€ à 2 600,00€ /mois
Expérience:
administrateur de base de données (h/f) ou similaire: 3 ans (Souhaité)
il y a 1 jour
Signaler cette offre d'emploi",15/10/2019,Data_architect,Paris,16/10/2019,vjk=847ead5e4ec0466f,vide,cdi
Data Architect F/H,NATIXIS,Paris 1er (75),vide,"Paris 1er (75)
CDI
Principales missions en liens avec les DSI métiers, le DSI, le Chief Digital Officer, le chief Data Officer, les équipes architectures (Natixis et Groupe BPCE), la Cloud Factory, les équipes Data et datascience, les éditeurs et les cloud providers :

Mettre à jour et suivre la mise en œuvre de la road map stratégique data de la DSI Natixis. La road map se construit en cohérence avec la stratégie Data du Groupe BPCE et dans le souci de concevoir une architecture de donnée évolutive et cohérente avec les besoins métiers. Cette partie nécessitera une grande connaissance de l'évolution de l'écosystème Hadoop et des offres data des principaux cloud providers ainsi qu'une bonne compréhension des enjeux métiers.
Accompagner les Directions Métiers et des principaux projets de Natixis quant à la stratégie SI et Data.
Mettre en place de l'offre de service de data architecture de 89C3R (contenu de l'offre, expertises à développer au 89C3R et dans les DSI métiers, animation de la filière, besoins de formation ou de staffing…)
Assurer une vision prospective et faire de la veille technologique, notamment autour de la stratégie data à adopter en lien avec les cloud providers.
En marge, travailler avec le Chief Data Officer sur l'urbanisation des données et connaitre les règlementations en vigueur en termes de donnée (notamment GDPR).
Profil recherché De formation supérieure Bac+5, vous justifiez d'une expérience de 8 ans minimum, formation informatique, et 5 ans a minima sur une expérience de data architecture en accompagnement de projet SI transformants autour de la data.

Vous avez des connaissances sur :
les socles et des architectures technologiques actuels de traitement des données (exemple : Spark, Hadoop)
les solutions de stockage de données (NoSQL, Documents, Graph, Relationnelles)
expérience dans le Cloud
les concepts et solutions de DataManagement, Business Intelligence, Big Data et DataScience
les architectures et des technologies de transmission de données en continu pour le traitement en temps réel / à faible latence
les principes et règles de gouvernance des données
des outils de modélisation de données
les réglementations en vigueur autour des données (GDPR, BCBS)
les normes dans l'archivage et chiffrement des données
les méthodes agiles et itératives
Vous comprenez les enjeux métiers et business.

Vous possédez des capacités de communication, vulgarisation, synthèse et d'adaptation.

Doté d'un très bon relationnel, vous savez animer.

Curieux, agile d'esprit, Vous avez l'esprit d'équipe ainsi que le sens du service.

Votre niveau d'anglais est courant.

Site géographique: 115 Rue Réaumur 75002 Paris.
Entreprise Bienvenue chez Natixis, l'entreprise qui vous offre bien plus qu'un job !

https://www.youtube.com/watch?v=DdaoWX466VY&list=PLCffxNP5tKRS4JIutLJW04CvFxAAJrT95&index=11

Chez Natixis, nous concevons des solutions en gestion d'actifs et de fortune, financement, investissement, assurance et paiements.

Notre ambition : nous dépasser collectivement pour mieux accompagner nos clients et leur proposer les meilleures solutions pour leur développement.

Chez Natixis, nos talents sont notre principal atout.

Rejoignez-nous et vous aurez les clés pour faire bouger les choses et avoir un réel IMPACT.

Rejoignez-nous et vous découvrirez un monde d'OPPORTUNITÉS.

Rejoignez-nous et vous donnerez du sens à votre poste par votre ENGAGEMENT en faveur de la société comme de l'environnement.

Signataire de la Charte de la diversité, Natixis veille à promouvoir tous les talents et à accompagner le développement de chacun de ses 16 000 collaborateurs présents dans 38 pays. Pour la 3e année consécutive, elle est certifiée Top Employer France 2019.

Le Digital Center 89C3 Réaumur a pour vocation d'accompagner la transformation digitale des métiers de Natixis en lien avec la stratégie du groupe BPCE.

89C3R est le centre d'expertise transverse IT de Natixis orienté développements web et mobiles, innovation, architectures applicatives et data. Ce service couvre principalement les technologies web & mobile & CMS, Architecture & API, Data & Analytics, IA, agile et agile à l'échelle…

89C3R en tant que service transverse de la DSI Natixis et qui adresse tous les métiers de Natixis souhaite se doter d'un spécialiste de la donnée sur le plan organisationnel de façon à accompagner la transformation stratégique en cours dans les métiers, et permettre l'utilisation des mégadonnées comme leviers de croissance et de création de valeur ajoutée.

Le poste est à pourvoir est à pourvoir dans l'équipe Big Data et Analytics de 89C3R.
Apec.fr - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,Data_architect,Paris,16/10/2019,vjk=362084551318c9f1,vide,cdi
Administrateur de base de données F/H,BOSSTEK,Noisy-le-Grand (93),vide,"Noisy-le-Grand (93)
Temps plein, CDI
Vous êtes un informaticien passionné d’Open Source et êtes attirés par les challenges ?
Vous voulez travailler au sein d’une équipe dynamique et ouverte d’esprit, dans l’un des plus grands systèmes d’information français qui associent anciennes et nouvelles technologies innovantes ?
Vous avez un Bac+5 (ou équivalent) et vous avez une solide expérience sur GitLab . Vous avez des connaissances sur VMware, Open vSwitch, KVM, Kubernetes,
Vous suivez l’actualité technologique, êtes force de proposition, à l’écoute des autres et capable de vous intégrer rapidement dans une équipe sympathique et motivante ?
Vous aimerez vous former et être formé en continue, travailler sur plusieurs projets qui vous motivent, au sein de notre laboratoire ou sur le terrain ?
Rejoignez BOSSTEK et travaillez avec des nouvelles technologies sur des projets porteurs qui vous font évoluer rapidement !
BOSSTEK, au travers de ses nombreux projets en interne vous offre une possibilité de participation et d'actions fortes.
L'écoute du collaborateur, le respect et la valorisation de chacun sont les points clefs de BOSSTEK.
Chaque collaborateur est suivi régulièrement et poussé vers l'évolution par du coaching, de la formation et de l'écoute.
Si vous aimez les challenges, le test technique avant d’intégrer notre société sera votre premier défi. Un environnement et un support technique vous sera attribué et un bilan final sera abordé à votre entretien final.
Le projet :
Dans le cadre d’un renfort d’équipe, nous recherchons un profil DBA expert PostgreSQL.
Vos principales missions :
- le développement des bases de données, la maintenance, la correction, l’évolution des modèles logiques et physiques de schémas BDD,
- l’optimisation et l’étude d’impact sur les bases de données
- maintenance des composants BDD existants et création des nouveaux traitements SQL (qui ne seraient pas externalisé à la MOE déléguée),
- identification et analyse des problématiques de performance et proposition de résolution
-optimisation de requête et des plans d’exécution des requêtes
- support aux agents de l’équipe dans la mise en œuvre des bonnes pratiques concernant les BDD PostgreSQL .
Compétences techniques attendues :
Maîtrise des environnements Linux, scripting Shell, PostgreSQL
Compétences clés requises pour ce poste (savoir-être) :
vous êtes une personne reconnue par votre écoute;
Vous êtes respectueux des règles ;
Vous êtes curieux et autonome ;
Conditions :
- Poste basé à Noisy-Le-Grand (93);
- Rémunération : selon profil et expérience ;
- Contrat logue durée (CDI).
Type d'emploi : Temps plein, CDI
Expérience:
administrateur de base de données f/h ou similaire: 5 ans (Souhaité)
il y a 12 jours
Signaler cette offre d'emploi",04/10/2019,Data_architect,Paris,16/10/2019,vjk=c767f700d2983a5e,vide,cdi
DATA ARCHITECT F/H,Verduron,Paris (75),vide,"Paris (75)
Temps plein, CDI
Nous recrutons un Data Architect H/F pour un de nos clients.
Vous serez employé en tant que Data Architect, en CDI, au sein d’une grande société internationale sud américaine qui vient d’ouvrir un bureau à Paris.
Missions du Data Architect H/F :
Vous saurez identifier les opportunités d'amélioration dans le cycle de production;
Il sera demandé d’analyser la possibilité d'associer des sources de données publiques;
Vous serez capable de donner une visibilité de l'utilisation des ressources de manière segmentée par région;
Vous devrez participer au développement de nouvelles opportunités commerciales;
Vous aiderez à mesurer l’audience du contenu Web;
Vous effectuerez une analyse approfondie des besoins de l’entreprise et du contexte technique à utiliser;
Vous évaluerez la possibilité de définir une base de données relationnelle ainsi que des schémas NoSQL;
Vous travaillerez avec les scientifiques de données pour mieux comprendre le modèle des données;
Vous serez force de proposition concernant les améliorations du raffinement et la réalisation des données;
Vous gèrerez la solution Big Data;
Vous serez en charge de la configuration et mise au point du cluster.
Profil du Data Architect H/F :
Vous avez minimum 3 ans d’expérience en tant que BDA;
Vous avez de l’expérience sur AWS ou Google Cloud et dans le domaine des Big Data;
Est apprécié de l’expérience dans les bases de données NoSQL et Hadoop;
Vous avez un bon niveau d’anglais.
Type d'emploi : Temps plein, CDI
Expérience:
data architect f/h ou similaire: 1 an (Souhaité)
il y a 12 jours
Signaler cette offre d'emploi",04/10/2019,Data_architect,Paris,16/10/2019,vjk=814df6401672dfe2,vide,cdi
Data Architecte F/H,YSANCE,Paris 2e (75),vide,"Paris 2e (75)
CDI
Afin d’agrandir notre squad d’architectes, nous recherchons un/une Architecte Data tout terrain, ayant de véritables capacités d’adaptation autour d’environnements technologiques en constante évolution.

L’Architecte Data travaillera directement avec nos clients, mais sera également en lien avec nos équipes Delivery, Sales et RH afin de participer activement au développement du business et des équipes.

En tant qu’Architecte Data chez Ysance, vous serez amené à :
Apporter votre vision technologique

Aider nos clients à choisir les solutions technologiques pertinentes et adaptées à leur contexte

Etre l’un des référent technique, aussi bien en interne qu’en externe

Intervenir chez nos clients sur des missions de conception, d’implémentation ou d’optimisation d’architecture data

Participer aux recrutement de nouveaux collaborateurs

Participations aux phases d’avant-vente et ateliers d’architecture

Participer activement à la veille technologique

Animer des sessions de formations techniques en interne mais aussi en externe

Profil recherché Notre Architecte Data idéal :
a au moins 7 ans d’expérience sur des missions ou projets Data, incluant les phases d’avant-vente et de conseil,

est à l’aise en présentation orale auprès de public technique et de direction,

possède des connaissances solides autour des bases de données relationnelles et NoSQL, de leur architecture à leur optimisation,

est fluent en SQL,

possède une forte compréhension de l’ensemble de stack Data, des pipelines ETL aux outils Analytics,

a déjà travaillé sur des systèmes MPP,

est Cloud lover.

En bonus :
connaissances approfondies sur au moins un des Cloud provider suivant : AWS, GCP, Azure,

compétences autour de langages comme Python, Scala, Java,

compétences autour du framework Spark,

connaissances autour des enjeux de sécurité au niveau infrastructure et applicatif,

certifications éditeurs sur un cloud provider, outils ETL ou base de données,

expérience en tant que Lead Dev sur des projets Data,
Entreprise Ysance Mazeberry exerce deux métiers complémentaires :

l’intégration de plateformes data-centric,

l’édition de solutions Saas pour le Marketing.

YSANCE Data Services accompagne ses clients dans leur transformation Data-Driven couvrant l’ensemble de la chaîne de valeur de la Data : Big Data, Data Integration, Data Architecture, Data Insight et DataViz !
Apec.fr - il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",05/10/2019,Data_architect,Paris,16/10/2019,vjk=8c882c24c97cce76,vide,cdi
Big Data Architect H/F,EY,La Défense (92),vide,"La Défense (92)
EY est numéro 1 du palmarès « Great Place to Work » 2019 des entreprises de plus de 5 000 collaborateurs, et premier cabinet de conseil dans les classements 2019 Universum et LinkedIn Top Companies.
EY, c’est surtout une multitude d’expériences à vivre, de nombreux secteurs à explorer, des rencontres hors du commun… Bienvenue dans notre monde en mouvement perpétuel !
Au sein d’EY Consulting France, nous regroupons une combinaison unique d’expertises sectorielles et de compétences en Stratégie, Performances, Digital et Risques. Nos 1500 consultants couvrent l’intégralité de la chaîne de valeur de nos clients.

Au sein d’EY Consulting, EY Analytics est en charge d’accompagner nos clients sur les problématiques autour de la Data : de la stratégie à la mise en œuvre opérationnelle de projets (Analytics/IA, Business Intelligence…) .

Pour soutenir notre forte croissance, notre équipe cherche à se renforcer de 50 nouveaux talents (Data Engineers, Data Scientists, Data Analysts, Data Strategists, Data Architects).

Venez rejoindre le premier pôle français de compétences en datascience !

EY Analytics en France c’est :
une équipe de plus de 130 consultants data, aux profils très divers, permettant de couvrir l’ensemble des problématiques et de s’enrichir mutuellement
un Lab d'une surface de 600m² dédiée à l'innovation autour de la Data;
le leader mondial du conseil en innovation (rapport Forresters);
plus de 500 missions data driven;
une équipe expérimentée, gage d’excellence pour encadrer les projets et vous faire grandir
des projets d’une grande diversité, auprès des plus grands clients nationaux et internationaux
Pour renforcer celle-ci, EY Analytics recrute un Architecte Big Data (H/F). Vous rejoindrez une équipe dynamique, enthousiaste et multiculturelle et vous aurez l'occasion d'intervenir sur des projets transformatifs et innovants.

Vos missions

Vous répondrez aux besoins clients en termes d’architecture et de mise en place des solutions Big Data, on Premises ou sur le Cloud (Microsoft Azure, AWS et Google) :
Définition, mise en œuvre et exploitation de plateformes Big Data (principalement Hadoop et son écosystème : Spark, Hive, Hue, Cassandra,…)
Administration et monitoring de plateformes Big Data
Gestion des données (stockage, organisation, modélisation, processing, gouvernance).
Documentation technique de l’architecture
Industrialisation de plateformes Big Data (méthodes Agiles et DevOps)
Implémentation de la sécurité pour les plateformes
Participer la veille technologique autour des solutions de Big Data
Votre profil
Vous maîtrisez une ou plusieurs des technologies BigData et avez une expérience professionnelle d’au moins 3 ans dans ce domaine :
Hadoop, Cloudera, SQL Server, Spark, Kafka, Cassandra, MESOS
Outils de clustering et containers : Kubernetes, Docker, Ansible
OS et Cloud : Linux, Azure/AWS,
Base(s) de données NoSQL, SQL Server, Neo4j, Mongo DB, …
Outils de visualisation des données (Kibana, PowerBI, …),
Langages de programmation : Spark/Scala, Java, Python/PySpark, C/C++/C#.
Ecole d'ingénieur ou Niveau Master ou expérience équivalente
Anglais courant
Être curieux, avoir une excellente culture technologie et un intérêt pour le développement d’architectures complexes dans un environnement complexe
Être ouvert d'esprit et pouvoir collaborer sur des projets avec de multiples intervenants
Esprit analytique, de synthèse et de rigueur, orienté résultat
Les plus du Poste
Un environnement à échelle humaine au sein d’un Big Four
Une équipe dynamique et en pleine croissance
Des enjeux techniques et métiers au cœur de l’activité de nos clients
Missions auprès de grandes entreprises nationales et internationales
Entrons ensemble dans l’ère de la révolution digitale et de la transformation des organisations ! La richesse de nos métiers, l’excellence de nos équipes, l’amplitude de nos réseaux, notre capacité à nous remettre en question, nos exigences élevées de qualité, notre éthique professionnelle, sont les fondements de notre réputation, le gage de nos futurs succès et de votre épanouissement professionnel.

Vivez l’expérience EY Consulting, rejoignez-nous !

EY est un employeur qui pratique l'égalité des chances.
il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,Data_architect,Paris,16/10/2019,vjk=a51e288216a86c5b,vide,vide
Administrateur de base de données F/H,Gustave Roussy,Villejuif (94),vide,"Villejuif (94)
CDI
Nous recherchons pour notre Direction de la Transition Numérique et des Systèmes d'Information un Administrateur Base de de données, rattaché au pôle Infrastructures et production, vos principales missions consisteront à :

/ Gérer l'administration et l'exploitation des bases de données : choisir l'implémentation des bases de données, créer les bases, mettre en oeuvre les logiciels de gestion de bases de données, effectuer l'adaptation, l'administration et la maintenance de ces logiciels, mettre en exploitation et en gestion les serveurs de données. Régler les paramètres des bases de données pour une utilisation optimale.

/ Gérer le support et la maintenance, réaliser la documentation pour les supports, réaliser et actualiser la documentation d'exploitation, suivre le SAV du matériel informatique relatif aux gisements de données, prendre en charge et coordonner la résolution des problèmes et les plans d'urgence en cas de problème opérationnel aux gisements de données et participer aux actions de maintenance correctrice technologique.

Etre force de proposition sur le plan technique et opérationnel, vous avez déjà une première expérience dans l'accompagnement et la gestion de projet. Vous avez

une aisance relationnelle, de dialogue et une bonne capacité d'écoute.

/ Assurer la conception et le développement : définir, actualiser et implémenter des solutions nécessaires au développement et à l'exploitation de l'architecture des données. Identifier les modifications nécessaires et les composants et s'assurer de la correspondance entre l'évolution de l'entreprise et la progression technologique. Pour les projets, participer à l'élaboration et à la validation de l'architecture technique. Effectuer des études de préconisation et d'implantation des matériels, outils et logiciels adaptés, assister et conseiller des solutions liées aux données, effectuer une veille technologique en écoutant le client interne/externe.
Profil recherché De formation supérieure dans le domaine informatique ou des SI, type école

d'Ingénieur ou Universitaire avec une expérience professionnelle minimum de 2 ans.

/ Etre force de proposition sur le plan technique et opérationnel, vous avez déjà une première expérience dans l'accompagnement et la gestion de projet. Vous avez une aisance relationnelle, de dialogue et une bonne capacité d'écoute.

Salaire à ajuster en fonction de l'expérience.
Entreprise Gustave Roussy, premier centre de lutte contre le cancer en Europe, est un établissement de santé privé participant au service public hospitalier. Pôle d'expertise global contre le cancer entièrement dédié aux patients, il réunit sur deux sites près de 3 000 professionnels dont les missions sont le soin, la recherche et l'enseignement.

Dans le cadre de notre politique volontariste en faveur de l'insertion des personnes en situation de handicap, toutes les candidatures reçues sont étudiées à compétences égales.
Apec.fr - il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",28/09/2019,Data_architect,Paris,16/10/2019,vjk=39f9a5ec49224eb1,vide,cdi
Administrateur de base de données pharmacovigilance,FSC,Saint-Denis (93),vide,"Saint-Denis (93)
CDI
LA SOCIETE :
Le Laboratoire Pharmaceutique pour lequel nous recrutons est le spécialiste mondial des produits de contraste et solutions pour l’imagerie diagnostique et interventionnelle.
Aujourd’hui Groupe international avec près de 30 filiales et un large réseau de distributeurs, il sert ainsi les centres d’imagerie hospitaliers ou privés dans plus de 80 pays.
POSTE :
Nous recherchons un Global PV/IT Manager pour rejoindre l’équipe Global Vigilance & Medical Information.
Vous reportez au PV Systems & Process Manager et managez un Attaché Qualification & Validation de la base de données.
A. Mission :
Le Global PV / IT Manager est Responsable de l’administration et de l’évolution de la base de données internationale PV et des outils informatiques associés, en ligne avec les évolutions des réglementations de Vigilance (PV et matériovigilance).
B. Responsabilités :
Outils informatiques Vigilance :
Assurer l’administration fonctionnelle de la base de données internationale de PV, gérer l’outil, son interface et son développement : création des produits / des études PV / des accès à la base, suppression de cas, maintenance des codelists
Piloter les projets liés à la base PV (logiciels, interfaces), et notamment la montée de version en E2B(R3)
Mettre à jour les dictionnaires PV (MedDRA, WHO Drug, JDM) dans la base interne
Maintenir à jour le tableau de diffusion des cas dans les pays
Assurer et optimiser l’intégrité de la base, le suivi des demandes de changement et la traçabilité des changements
Change Control : Mettre en place et optimiser les outils et processus de contrôle qualité et validation de la base après changement
Assurer le plan de reprise et la continuité de service des activités PV après tout changement
Piloter les tests lors de la validation du système
Rédiger les procédures et instructions de maintenance de la base
Assurer la maintenance du manuel d’Utilisateur de la base de données PV
Développer et valider des requêtes Business Objects pour l’élaboration de rapports périodiques ou des questions ad hoc
Contrôler et suivre les échanges électroniques des données avec les autorités de Santé
Eudravigilance Deputy : Gérer les enregistrements des utilisateurs de la base et mettre à jour le profil Entreprise dans Eudravigilance
Assurer la veille technologique et réglementaire en Vigilance IT.
Management :
Manager et développer l’Attaché Qualification & Validation de la base de données
Assurer la formation et le support Utilisateurs au siège et dans les filiales connectées (EU, US, Japon).
C. Profil idéal recherché : Double compétence IT & PV
Formation :
Universitaire / DU de Méthodes de gestion de bases de données en PV
ou Ingénieur IT + master Vigilance et sécurité sanitaire (VSS).
Minimum 5 ans d’expérience en tant qu’Administrateur de base de données internationale de Pharmacovigilance / International PV Database Administrator, au sein d’un siège global ou EMEA d’une industrie de pharmacie éthique ou générique.
Compétences requises :
Expertise des bases de données internationales PV (ARISg, Argus, Safety-easy,..)
Maîtrise des dictionnaires PV (MedDRA / WHO Drug)
Expérience des outils d’extraction des données (Business Objects / SQL)
Connaissance de l’environnement pharmaceutique réglementaire PV en EMEA
Connaissance des plateformes d’échange électronique des données PV avec les autorités de santé
Anglais et français : écrit & oral opérationnels.
Compétences favorables:
Connaissance de l’environnement pharmaceutique réglementaire PV aux USA et Japon
Connaissance en statistiques
Gestion de projet.
LOCALISATION : Ile-de-France (93)
Si vous êtes intéressé(e), merci d'adresser votre dossier de candidature sous référence 105HC24 par mail à panel@groupefsc.com
La bourse de l'Emploi des Entreprises du Médicament - il y a 14 jours
- Continuer pour postuler
Signaler cette offre d'emploi",02/10/2019,Data_architect,Paris,16/10/2019,vjk=e99eeb99b3ad3b5b,vide,cdi
Data Architect (H/F),Natixis,Paris (75),vide,"Paris (75)
Principales missions en liens avec les DSI métiers, le DSI, le Chief Digital Officer, le chief Data Officer, les équipes architectures (Natixis et Groupe BPCE), la Cloud Factory, les équipes Data et datascience, les éditeurs et les cloud providers :
Mettre à jour et suivre la mise en œuvre de la road map stratégique data de la DSI Natixis. La road map se construit en cohérence avec la stratégie Data du Groupe BPCE et dans le souci de concevoir une architecture de donnée évolutive et cohérente avec les besoins métiers. Cette partie nécessitera une grande connaissance de l'évolution de l'écosystème Hadoop et des offres data des principaux cloud providers ainsi qu'une bonne compréhension des enjeux métiers.
Accompagner les Directions Métiers et des principaux projets de Natixis quant à la stratégie SI et Data.
Mettre en place de l'offre de service de data architecture de 89C3R (contenu de l'offre, expertises à développer au 89C3R et dans les DSI métiers, animation de la filière, besoins de formation ou de staffing…)
Assurer une vision prospective et faire de la veille technologique, notamment autour de la stratégie data à adopter en lien avec les cloud providers.
En marge, travailler avec le Chief Data Officer sur l'urbanisation des données et connaitre les règlementations en vigueur en termes de donnée (notamment GDPR).

De formation supérieure Bac+5, vous justifiez d'une expérience de 8 à 15 ans, formation informatique, et 5 ans a minima sur une expérience de data architecture en accompagnement de projet SI transformants autour de la data.
Vous avez des connaissances sur :
les socles et des architectures technologiques actuels de traitement des données (exemple : Spark, Hadoop)
les solutions de stockage de données (NoSQL, Documents, Graph, Relationnelles)
expérience dans le Cloud
les concepts et solutions de DataManagement, Business Intelligence, Big Data et DataScience
les architectures et des technologies de transmission de données en continu pour le traitement en temps réel / à faible latence
les principes et règles de gouvernance des données
des outils de modélisation de données
les réglementations en vigueur autour des données (GDPR, BCBS)
les normes dans l'archivage et chiffrement des données
les méthodes agiles et itératives
Vous comprenez les enjeux métiers et business.
Vous possédez des capacités de communication, vulgarisation, synthèse et d'adaptation.
Doté d'un très bon relationnel, vous savez animer.
Curieux, agile d'esprit, Vous avez l'esprit d'équipe ainsi que le sens du service.
Votre niveau d'anglais est courant.
Site géographique: 115 Rue Réaumur 75002 Paris.

Informations complémentaires sur le poste :
Convention collective applicable: Convention Collective de la Banque.
Responsable de recrutement: Marie-Laure Bertin.
Handi-it.fr - il y a 16 jours
- Continuer pour postuler
Signaler cette offre d'emploi",30/09/2019,Data_architect,Paris,16/10/2019,vjk=74c2fda26193e342,vide,vide
Data Architect – MS BI (H/F),Natixis,Paris (75),vide,"Paris (75)
CDI
Présentation de l'entreprise
Bienvenue chez Natixis, l'entreprise qui vous offre bien plus qu'un job !
https://www.youtube.com/watch?v=DdaoWX466VY&list=PLCffxNP5tKRS4JIutLJW04CvFxAAJrT95&index=11
Chez Natixis, nous concevons des solutions en gestion d'actifs et de fortune, financement, investissement, assurance et paiements.
Notre ambition : nous dépasser collectivement pour mieux accompagner nos clients et leur proposer les meilleures solutions pour leur développement.
Chez Natixis, nos talents sont notre principal atout.
Rejoignez-nous et vous aurez les clés pour faire bouger les choses et avoir un réel IMPACT.
Rejoignez-nous et vous découvrirez un monde d'OPPORTUNITÉS.
Rejoignez-nous et vous donnerez du sens à votre poste par votre ENGAGEMENT en faveur de la société comme de l'environnement.
Signataire de la Charte de la diversité, Natixis veille à promouvoir tous les talents et à accompagner le développement de chacun de ses 16 000 collaborateurs présents dans 38 pays. Pour la 3e année consécutive, elle est certifiée Top Employer France 2019.
La DSI de Natixis est au cœur des enjeux stratégiques de Natixis pour développer de nouveaux services & usages clients et adapter son modèle aux nouvelles réglementations bancaires. DSI internationale, implantée dans 12 pays (en Europe, en Amérique, en Asie et au Moyen-Orient), elle est dotée d'une forte culture clients et innovante grâce aux nouvelles méthodologies & technologies IT (Digital, Big Data, Blockchain, IT bi-modal, Agilité, Expérience utilisateur, Collaboratif, Sécurité de l'Information, Robotique). La DSI Natixis s'adapte régulièrement pour apporter le maximum de valeur aux Métiers de Natixis. Ses collaborateurs et les challenges qu'ils relèvent en sont sa meilleure vitrine.
Au sein de la DSI BGC, l'équipe Data Architect & Engineer du pôle Client Data Engineering est en charge du dataware Indixis contenant l'ensemble des données commerciales de la BGC, de l'intégration des données dans le dataware et dans le datalake Hadoop, ainsi que du développement de solutions ad hoc nécessaires à la bonne gestion de ces données.
L'équipe travaille en étroite collaboration avec les deux autres équipes du pôle Client Data Engineering : DataViz & DataScience et CRM .
Le pôle travaille pour l'ensemble des métiers de la BGC.
L'équipe promeut l'innovation dans le domaine de data, et a pour mission de continuer à développer l'utilisation de nouveaux outils et de nouvelles technologies, en interaction forte avec le métier.
Mission
Au sein de l'équipe Data Architect & Engineer , vous serez en charge de mener des projets à réaliser seul ou en petite équipe, en étroite collaboration avec les autres équipes du pôle (Paris ou Porto), des équipes de productions applicatives, infrastructures, sécurité et du métier.
En tant qu'architecte BI et expert MSBI, vous accompagnerez les projets MSBI dans la définition des nouvelles architectures mais également dans l'optimisation ou l'évolutions de celles existantes.
Vos missions :
Sur les projets:
Prendre en charge la maintenance et les évolutions demandées par le métier sur les SSAS, du recueil de besoin à la mise en production
Assurer le support utilisateur
Rédiger des documentations fonctionnelles et techniques
Lorsque cela est nécessaire, former et accompagner les nouveaux arrivants au sein de l'équipe
Participer au dispositif d'astreintes de nuit et de week-end
Sur l'expertise MSBI
Définir et mettre en place les architectures MSBI afin de répondre au mieux aux besoins des métiers
Définir les bonnes pratiques autour de l'usage des technologies MSBI et accompagner les développeurs dans leurs applications
Identifier la dette technique sur les projets utilisant MSBI et mettre en œuvre les actions permettant de la réduire, en autonomie ou en collaboration avec d'autres personnes de l'équipe
Réaliser de la veille technologique sur les outils
Dans un contexte Agile, vous contribuerez également à la mise en place des processus devops, à la sécurisation de la plateforme ainsi qu'à l'amélioration continue des processus.
Profil recherché
De formation supérieure, vous êtes expert sur les architectures BI en particulier sur les technologies Microsoft (MSBI : SSIS, SSAS, SSRS). Vous êtes déjà intervenu sur des projets à forte volumétrie, et êtes sensibilisé aux problématiques de performances. Une expérience significative en environnement Front Office serait appréciée.
Vous possédez un réel sens du service et vous savez travailler en équipe.
Vous êtes proactif et aimez travailler dans un environnement exigeant et challengeant.
Vous avez une forte capacité d'adaptation aux nouvelles technologies.
La pratique courante de l'anglais est nécessaire sur ce poste.
Situation géographique : 68/76 quai de la Rapée, 75012 Paris.

Informations complémentaires sur le poste :

Convention collective applicable: Convention Collective de la Banque.

Responsable de recrutement: Alice Barbin.
handibanque.fr - il y a 14 jours
- Continuer pour postuler
Signaler cette offre d'emploi",02/10/2019,Data_architect,Paris,16/10/2019,vjk=f7e932c30b15baa8,vide,cdi
