Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
CDI - BIG DATA ENGINEER- F/H,Ingeniance,La Défense (92),vide,"La Défense (92)
CDI
Missions :
Rattaché à nos experts, au sein de notre lab � Big Data �, vous :
aurez en charge la réalisation d'un prototype Big Data (technologies Hadoop HDFS, Hive, Spark, etc)
participerez aux activités de veille technologique sur le domaine du Big Data (recherches, expérimentations, etc)
participerez à la rédaction d'articles et à l'animation de nos réseaux sociaux sur le domaine du Big Data
évoluerez dans des équipes fonctionnant en méthode Agile
utiliserez les outils DevOps déployés sur nos chaînes d'intégration continue (Jenkins, Docker, Git, etc)
Ce poste sera l'occasion d'intégrer notre programme de formation interne avec pour objectif d'acquérir les compétences fonctionnelles de base sur nos secteurs d'activité (finance de marché, banque et assurances) mais aussi de solides connaissances techniques.

Profil recherché:
Vous êtes diplômé d'une école d'ingénieurs ou équivalent. Une spécialisation dans le génie logiciel sera vivement appréciée.
Réactif, avec le sens du service, vous justifiez de bonnes capacités d'écoute, d'un bon relationnel et une bonne gestion du stress.
Curieux, autonome, et proactif, vous avez les qualités nécessaires à ce projet.
Vous êtes intéressé par le conseil, les systèmes d'informations et le secteur de la Banque/ Finance/ Assurance
Compétences requises :
Des compétences en développement : Java ou Python.
Des compétences des OS Linux et Windows ;
Des compétences sur le framework Hadoop ;
Une connaissance théorique et idéalement pratique de la gestion d'un projet informatique ;
A minima une connaissance théorique des méthodes Agile (Scrum par exemple).


INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Data_engineer,Paris,14/10/2019,vjk=50a3a302b9be307b,vide,cdi
Data Engineer Spark/Scala – Marketplace Internationale F/H,WAKE IT UP,Paris 8e (75),vide,"Paris 8e (75)
CDI
La société

Société stable et performante avec plus de 20 ans d’existence qui ne cesse de se développer, se moderniser et innover dans sa spécialité.

Site web à fort trafic, marketplace, qui fait partie d’un groupe français (plus de 300 personnes) leader, précurseur et expert dans son domaine.

Au sein d’une DSI globale de 100 personnes, vous rejoignez une équipe de 6 Data Engineers qui traitent et valorisent les données de la société autour de la géolocalisation, estimation de prix, connaissance des utilisateurs du site.

Le poste

Vous êtes en contact direct avec l’architecte Data afin d’exploiter les données

Vous intervenez sur l’évolution de la stack technique (framework, CI/CD, …) ainsi qu’au choix des outils

Vous déployez les applications sur AWS dans un contexte devops

Vous travaillez sur des problématiques d’ingestion, de modélisation et de transformation des données

Vous travaillez avec des APIs importants et avec le Data catalog

Vous participez à la gouvernance de la donnée
Profil recherché La stack

Big Data : JVM, Spark, Scala, Python

Scrum (Agile)

Docker

AWS (CloudFormation, EMR, Redshift, Bus/Broker)

Ce que WakeITUp aime

La société complètement succesfull avec des locaux funs et modernes

L’esprit jeune et dynamique

Le challenge de travailler à la fois sur des projets riches et variés autour de la DATA

Ce poste de Data Engineer Spark/Scala a été minutieusement choisi par Wake IT UP, cabinet d’Experts en Recrutement Tech (CDI et clients finaux uniquement)
Entreprise Wake IT UP est un concept novateur de recrutement Tech sur Paris, en CDI.

Nous chassons les meilleures entreprises pour les proposer aux Talents d'aujourd'hui.

Parmi nos critères :
La place qu'occupe la Tech

La pérennité de l'activité

La notoriété

L'innovation apportée …

Candidats, nous vous proposons un panel d'opportunités en parfaite adéquation avec vos attentes & ambitions, et pas seulement les postes disponibles sur le marché !

Entreprises, nous vous garantissons de trouver les meilleurs candidats qualifiés, qui vous ont réellement ciblés ou pour qui vous représentez un véritable attrait !

Contactez-nous, et nous ferons le reste !

Signé : Wake IT UP, le service au succès, premium, clé-en main & sur mesure.
Apec.fr - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Data_engineer,Paris,14/10/2019,vjk=819468a65714ac76,vide,cdi
Lead Data Engineer H/F,CARetBOATmedia,Paris (75),vide,"Paris (75)
Employeur: CARetBOATmedia
Type d'emploi: CDD
Lieu: Paris - 75


DESCRIPTION DU POSTE

Chez CBM, la Data est au centre du business pour accompagner au mieux l’entreprise et les décideurs ! Dans l’objectif de faire de CarBoat Media une entreprise Data-Driven nous souhaitons renforcer notre équipe Data.
Membre de la feature team Data composée de 8 personnes dont 2 OPS, tu auras pour rôle de conduire les évolutions de notre plateforme Data et de ses applications de prédictions.
Voici les missions qui te seront confiées :

– Développer et assurer la mise production de nouvelles applications de prédictions ou de nouveaux pipelines de données (ingestion, traitement, exposition).

– Encadrer les choix de conception avec l’équipe, conduire les développements et déployer des infrastructures cloud AWS orienté BigData.

– Identifier les axes d’amélioration et de consolidation de notre plateforme.

– Travailler en collaboration avec les data scientists ou les data analysts pour leur fournir un support.

– Participer aux événements (Workshop Group, Tableau Conférence, AWS Summit…).

PROFIL DU CANDIDAT
Profil expérimenté, tu as un fort intérêt pour la data et tu as déjà travaillé sur des systèmes conséquents. Les bonnes pratiques et leur partage font partie de ton quotidien et tu es un référent pour ton équipe. Scala et Spark n’ont pas de secrets pour toi. Une expérience cloud serait un vrai plus.
Un niveau d’anglais technique est requis et le poste implique de pouvoir collaborer ponctuellement avec les équipes de notre groupe Axel Springer.
Pourquoi CBM ?
Intégrer CarBoat Media c’est développer sa passion pour les technologies innovantes au sein d’une société web dynamique et de taille humaine avec des développeurs ayant à coeur le partage de leur savoir-faire technique et agile.
Nos petits plus :

– Mac ou PC, c’est toi qui choisis !.

– Participation à des conférences.

– Petits déjeuner gratuits et Friday Pub.

– Séminaire annuel.

– Participation attractive.

– CE.

– Quartier sympa (Saint-Lazare).
L’article Lead Data Engineer H/F est apparu en premier sur Recruteo - Le Site Emploi Web.
Recruteo - il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_engineer,Paris,14/10/2019,vjk=8a0db842feab0294,vide,cdd
GOOGLE CLOUD DATA ENGINEER (H/F) - IDF,Umanis,Levallois-Perret (92),vide,"Levallois-Perret (92)
THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.

Umanis, c'est plus de 3000 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.

Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.

Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.

Poste : Google Cloud Data Engineer (H/F)
Secteur : Technologies et services de l’information
Type de contrat : CDI Temps Plein
Lieu / Localisation : Paris
YOUR MISSIONS:
En 2018, le pôle Google Umanis c’est :
L’établissement du partenariat avec Google Cloud
Le recrutement, la formation et la certification de Cloud Architects et de Data Engineers
Un hackathon AI for a Better World réalisé en partenariat avec Google
Des participations à tous les évènements majeurs : Summit Paris, Next San Francisco et Londres
Et bien sûr des projets Data et AI innovants !
Pour accompagner la croissance de ce pôle, au cœur de la stratégie de développement d’Umanis en 2019, nous recherchons des Google Cloud Data Engineers afin de nous permettre de réaliser nos ambitions :
Devenir Partner Premier et obtenir les spécialisations Data Analytics et Machine Learning
Former et surtout certifier encore plus de collaborateurs
Continuer notre dynamique en participant à encore plus d’évènements Google Cloud et en travaillant sur toujours plus de projets novateurs
VOTRE MISSION
Vous interviendrez sur des missions de réalisation, d’expertise, ou de conseil stratégique ou/et opérationnel, et aurez pour objectif principal d’aider nos clients dans la conception et la réalisation de leurs solutions sous Google Cloud Platform.
Vos tâches principales seront les suivantes :
Concevoir, réaliser et optimiser des processus d’ingestion et de transformation de données en batch et en temps réel, avec un accent sur :
la gestion des erreurs techniques et fonctionnelles, de l’archivage et de l’historisation
l'anticipation des problématiques d’environnements / mise en production
Orchestrer l’ordonnancement des processus
Concevoir des visualisations de données
Selon votre expérience, vous serez également amené à contribuer au développement du pôle Google (avant-vente, veille technologique, événements marketing, actions commerciales).
COMPÉTENCES TECHNIQUES
Must-have :
Google Cloud : Cloud Dataflow (ou Apache Beam), Big Query
Langages : Python, SQL
Nice-to-have :
Google Cloud : Cloud Storage, Cloud Composer (ou Apache Airflow), Cloud Dataproc, Cloud Pub/Sub, Data Studio
Langages: Shell, Java
DevOps : Jenkins, Gitlab, Maven, …
Méthodes agiles : Scrum, SAFe
Stockage / BDD : RDBMS (SQL), NoSQL, Objets/blobs, Archivage
Big Data : Hadoop, HDFS, MapReduce, Spark, Kafka
En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous ?
REQUIRED COMPETENCIES:
Complex problem solving (Advanced), English (Confirmed), Functionnal Architecture SI (Advanced), Governance IT (Advanced), Integration (Advanced), Monitoring, analysis and document management (Advanced), Operations Management (Advanced), Project management (Advanced), Risk management (Advanced), Software mastery (Advanced), Technical Architecture SI (Advanced)
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?
il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_engineer,Paris,14/10/2019,vjk=0d9a2e4d1f4e5b00,vide,cdi
Data Engineer Snowflake,Eastern Canada Consulting,Paris (75),80 000 € - 100 000 € par an,"Paris (75)
80 000 € - 100 000 € par an
Eastern Canada Consulting (http://eastern-canada.com/), cabinet de consultation spécialisé en Big Data et basé à Montréal, Canada, recherche actuellement un Consultant Data Engineer Snowflake :
Niveau: Senior (Plus de 5 ans d'expérience)
Lieu de travail : Montréal, Québec, Canada
Date de début: dès que possible
Rémunération: 80K $ CAD à 100K $ CAD
Vos missions
En tant que Consultant Data Engineer Snowflake, vos missions seront de :
Travailler au sein d’une équipe ou directement avec le client afin de comprendre son besoin et ses enjeux autour des données.
Concevoir et mettre en œuvre des pipelines de données sécurisés dans un entrepôt de données Snowflake à partir de sources de données sur site et en nuage.
Traiter et organiser les données dans le lac de données et l'entrepôt de données
Concevoir et mettre en œuvre des pipelines de données haute performance alimentant les systèmes en aval
Travailler avec les analystes métier et les utilisateurs pour traduire les spécifications fonctionnelles en exigences techniques
Définir les meilleures pratiques et normes pour le traitement en pipeline des données et leur intégration avec le lac de données et les entrepôts Snowflake
Créer des artefacts d'architecture et de conception
Réaliser des revues de design et de code
Expérience et compétences recherchées
Vous êtes avant tout passionné(e) par les données, les enjeux qu’elles représentent et les technologies BI et Big Data avec lesquelles les manipuler.
Vous avez une expérience pratique d'au moins 1 avec Snowflake, SnowSQL et de l'écriture de fonctions définies par l'utilisateur
Vous avez une expérience de plus de 5 ans dans le développement de solutions ETL, ELT, Data Warehousing et la modélisation de données
Vous avez plus de 5 ans d'expérience dans le développement de scripts SQL et de procédures stockées qui traitent des données à partir de bases de données
Vous avez une excellente compréhension de divers formats de données tels que CSV, XML, JSON, etc.
Vous avez une excellente excellente maîtrise des technologies de bases de données, notamment les SGBDR, DW / DL, Cloud et NoSQL.
Vous avez uneconnaissance approfondie des concepts de modélisation de données dimensionnelles, notamment des dimensions et des faits conformes, des dimensions à évolution lente et une modélisation multidimensionnelle.
Vous êtes familiarisé(e) avec les concepts et technologies d’intégration continue (Git) et les outils de déploiement (Docker).
Vous êtes familiarisé(e) avec les frameworks Agile tels que Scrum ou Kanban.
Vous êtes motivé(e), appliqué(e), organisé(e) et curieux(se) dans votre travail au quotidien.
Vous êtes titulaire d’un diplôme d’ingénieur ou Master, idéalement avec une spécialisation sur les métiers de la donnée et du Big Data.
Vous parlez parfaitement français et, idéalement, anglais (écrit et oral).
Atouts
Certifications Big Data et/ou Cloud
Certifications en Business Intelligence / Data Warehousing
Eastern Canada Consulting
Eastern Canada Consulting offre des services de consultation spécialisée dans le domaine du Big Data, de l’Analytics, et de la Data Science aux grandes organisations situées à Montréal, Toronto et Ottawa. Nos clients opèrent majoritairement dans le domaine des télécoms, de la finance, de l’énergie et des transports.
Eastern Canada Consulting est fondée par deux anciens consultants de Deloitte spécialisés dans le Big Data et la stratégie TI.
Notre objectif est d’offrir aux meilleurs talents une expérience réussie et épanouissante au Canada viaune rémunération compétitive, une grande flexibilité, un bel esprit de collaboration et un coaching professionnel au long cours.
Type d'emploi : Temps plein
Salaire : 80 000,00€ à 100 000,00€ /an
Expérience:
data engineer DW: 5 ans (Requis)
data engineer Snowflake: 1 an (Requis)
il y a 14 heures
Signaler cette offre d'emploi",Aujourd'hui,Data_engineer,Paris,14/10/2019,vjk=237e6adf71b29119,vide,vide
Data Engineer Spark/Scala – Marketplace Internationale,WAKE IT UP,Paris (75),60 000 € par an,"Paris (75)
60 000 € par an
La société Société stable et performante avec plus de 20 ans d’existence qui ne cesse de se développer, se moderniser et innover dans sa spécialité. Site web à fort trafic, marketplace, qui fait partie d’un groupe français (plus de 300 personnes) leader, précurseur et expert dans son domaine. Au sein d’une DSI globale de 100 personnes, vous rejoignez une équipe de 6 Data Engineers qui traitent et valorisent les données de la société autour de la géolocalisation, estimation de prix, connaissance des utilisateurs du site.Le poste Vous êtes en contact direct avec l’architecte Data afin d’exploiter les données Vous intervenez sur l’évolution de la stack technique (framework, CI/CD, …) ainsi qu’au choix des outils Vous déployez les applications sur AWS dans un contexte devops Vous travaillez sur des problématiques d’ingestion, de modélisation et de transformation des données Vous travaillez avec des APIs importants et avec le Data catalog Vous participez à la gouvernance de la donnée

La stack Big Data : JVM, Spark, Scala, Python Scrum (Agile) Docker AWS (CloudFormation, EMR, Redshift, Bus/Broker)Ce que WakeITUp aime La société complètement succesfull avec des locaux funs et modernes L’esprit jeune et dynamique Le challenge de travailler à la fois sur des projets riches et variés autour de la DATA Ce poste de Data Engineer Spark/Scala a été minutieusement choisi par Wake IT UP, cabinet d’Experts en Recrutement Tech (CDI et clients finaux uniquement) – www.wakeitup.tech
Signaler cette offre d'emploi",12/10/2019,Data_engineer,Paris,14/10/2019,vjk=b75573b8caff030a,vide,cdi
Data Engineer,LOGTEAM,Paris (75),vide,"Paris (75)
LOGTEAM est une société de services experte dans le domaine des nouvelles technologies et de l’informatique fondée en 2009 avec l’ambition de porter un modèle d’excellence. Acteur reconnu spécialiste DevOps et Data Intelligence nous accompagnons nos clients dans la transformation digitale et l’innovation nécessaire aux enjeux de demain.

Afin de répondre à la demande de l’un de nos clients, nous recherchons actuellement un(e) Data Engineer, vous trouverez ci-dessous le descriptif de la mission :

Au sein de la direction des Systèmes d’Information, rattaché au responsable de pôle BigData, vous aurez pour mission :

Le recueil des besoins
L’analyse et la rédaction des spécifications techniques et fonctionnelles
L’élaboration du cahier des charges
De développer des programmes d’intégrations de données (JAVA/SPARK STREAMING),
Développer des webservices pour appli web /mobile
De développer des programmes d’intégrations de données ( Talend )
D’assurer les projets (BUILD), Industrialiser les solutions, mais également la maintenance (RUN) sur ces briques techniques,
De rédiger les spécifications techniques ainsi que toute la documentation d’exploitation,
D’assurer le déploiement sur les différents environnements

Compétences:
Solides connaissances Spark, et technos BigData ( Hadoop, Hbase, Hive)
Bonnes pratiques Dev (JAVA) ), et Industrialisation des solutions ( GIT, Jenkins, Maven )
Fort apprécié : Kafka, connaissance de l’outil Talend , PySpark , Machine Learning
En option : Connaissances Plateforme Azure.
carriere-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_engineer,Paris,14/10/2019,vjk=9ac9627b0cd9c9bc,vide,vide
Data Engineer / Freelance,Get in Talent,Paris (75),vide,"Paris (75)
Temps plein, Freelance / Indépendant
Pour l’un de nos clients parisiens nous recherchons un data Engineer :

Les équipes de développements sont organisées en équipes agiles et en projets dédiés.

Vous intervenez sur une des équipes agiles pour contribuer à la réalisation de la roadmap Internationale ambitieuse.

Vous aurez pour missions :
Vous mettrez en place l’architecture proposée par le Data Architect
Aider dans la définition de l’infrastructure du datalake / plateforme Big Data
Mettre en place les flux de données et transformer les données au moyen de différents
traitements de nettoyage, normalisation et enrichissement.
Concevoir et mettre en place des chaines de process Big Data (Hadoop, Spark...)
Veiller au stockage, traitement et à la qualité des données
Administrer et assurer le traitement de large volume de données à long terme
Participer à l’intégration continue/au déploiement
Comprendre les besoins métiers

Profil :
Vous avez plus de 3 ans d’expériences dans le développement Scala et une expérience dans le Big Data (Spark, Cassandra, Kafka, oozie...)
Très bonnes compétences en développement JAVA
Une importance accordée aux qualités du code et les bonnes pratiques
Maîtrise du multithreading et une importance accordée aux problématiques de performance

Mission sur Paris à proximité d’un métro
Mission exclusivement pour un freelance !
Freelance-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_engineer,Paris,14/10/2019,vjk=12e608ff148d8aa2,vide,freelance
Data Engineer F/H,CAPFI VITA DATA,Paris 8e (75),vide,"Paris 8e (75)
CDI
Vous accompagnez nos clients grands Comptes sur les phases de prototypes et/ou d’industrialisation de leurs projets Big Data.

Selon les projets, vous pourrez intervenir sur les phases suivantes :

Identification et formalisation de Business Cases
Contribution au tuning des plateformes Big Data
Conception, développement et optimisation des algorithmes de collecte et de traitement de données
Conception, développement et optimisation des algorithmes de Machine Learning, Deep Learning
Datavisualisation
Profil recherché Diplômé(e) d’une école d’Ingénieur, d’un Bac+5 Informatique ou Statistique/Mathématique avec une spécialisation en Big Data

Vous maîtrisez le développement Python et l’écosystème Hadoop, Spark, Java, Scala, R, SQL, ...

Vous avez une expérience de 2 ans minimum sur des projets analytics nécessitant leur implémentation en Python, Java ou C++

Une connaissance sur l’un des clouds AWS, Azure ou GCP est un plus
Entreprise Capfi VITADATA est la start-up du groupe Capfi spécialisée en Data Science et Big Data. Nous accompagnons nos clients grands comptes sur leurs projets Data afin de :

Transformer leurs données en intelligence métier

Construire une architecture Data Centric contrôlée et évolutive

Nous répondons aux enjeux analytiques et prédictifs des Directions Digital, Marketing, Risque, Actuariat et Innovation de nos clients des secteurs Banque/Assurance, Energie, Retail, Media, Transport,… Et apportons une expertise aux Directions des Systèmes d’Information sur leurs projets de développements en méthodologie Agile, avec une tendance forte à décliner la culture DevOps.
Apec.fr - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Data_engineer,Paris,14/10/2019,vjk=9cee5f955e910d8e,vide,cdi
Data Engineer H/F,Elitecyber,Boulogne-Billancourt (92),60 000 € par an,"Boulogne-Billancourt (92)
CDI
60 000 € par an
Présentation de l'entreprise:
Avec ses 9 agences et ses 460 consultants, notre client est est une entreprise innovante de technologies et de services spécialisée dans la gestion des flux numériques de l’écosystème santé.
Leur enjeu, répondre aux défis de la DSI : Moderniser les applications obsolètes, réduire le coût du système d’information, unifier la gestion des utilisateurs et des appareils, développer et intégrer plus rapidement des applications métiers tout en protégeant les données de l’entreprise
Descriptif du poste:
ntégration de la data via des ETL dans une logique d’industrialisation et d’automatisation. Nous utilisons l’ETL Pentaho Data Integration (kettle) de manière non exclusive.
Constitution de référentiels consolidés.
Participer aux réflexions autour de la mise en place du modèle de données, de sa mise en œuvre et de son évolution.
Prospection technologique :
Dupliquer la mise en œuvre sécurisée de l’existant sur des environnements différents afin de challenger plusieurs outils, notamment spark, hadoop, distribution cloudera, Hive, Pig.
Identifier leurs apports des travaux (performance, agilité)
Description du profil :
Data Engineer : pour 70% de son poste : Collecte, stockage et exploitation de la data. Architecture du SI.
Data Scientist : pour 20% de son poste : Agrégation de la donnée, machine learning.
Métier : pour 10% de son poste : Appréhension des enjeux métier
Connaissance approfondie de la réglementation sur les données personnelles
Job Type: Permanent
Salary: 60,000.00€ /year
il y a 3 jours
Signaler cette offre d'emploi",11/10/2019,Data_engineer,Paris,14/10/2019,vjk=a73ace0c67986329,vide,cdi
