Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Offre de stage Développeur Back-End H/F,Events2Gether Paris,Paris (75),vide,"Paris (75)
Stage
Offre de stage Développeur Back-End H/F
Events2Gether est une startup dans l’évènementiel créée en janvier 2018. Il s’agit d’un nouveau concept de plateforme web collaborative événementielle.
Nous mettons en relations les particuliers ou professionnels souhaitant coorganiser un événement dans le but d’en créer un en commun.
Notre site internet dispose de tous les outils nécessaires pour l’organisation clé en main d’un événement. Notre plateforme s’adresse également aux prestataires événementiels qui peuvent y référencer leur prestation ainsi qu’aux entreprises et start up qui souhaitent sponsoriser les événements de nos clients.
Nous organisons également diverses événements plusieurs fois par semaines.
Nous sommes une petite équipe ouverte d’esprit et avec une bonne ambiance de travail. Le/la stagiaire sera sous la tutelle du fondateur de l’entreprise.
Missions :
Plateforme
Participer à la mise en ligne du site internet en participant aux dernières modifications graphiques et à la partie administrative du back end de la plateforme.
Développement et suivi technique, avec le programmeur sur toutes les incohérences de process utilisateur sur la plateforme en prenant en compte la maquette graphique du concepteur.
Participation à différentes tâches liées au contenu web, des projets tels que l'évolution et l'adaptation du site déjà réalisé.
Optimisation en continu du site : mise en ligne de nouveaux produits, nouvelles landing pages d’atterrissage pour les campagnes webmarketing, optimisations SEO…
Aider à toute l’intégration du site internet.
Procéder à toute la vérification du front pour optimiser le back end
Application :
Participation à la création d’une application pour une collaboration entre Events2gether et la Mairie de Paris.
Profil recherché
Pour mener à bien cette mission, il est souhaitable d’avoir suivi une formation en informatique, et idéalement en développement web.
Être à l'aise avec les technologies et les pratiques web standards actuelles, et avoir à cœur le respect des bonnes pratiques de développement.
Être autonome
Avoir une solide culture web et des tendances internet
Avoir une grande capacité d’écoute
Avoir un bon relationnel
Savoir s’adapter rapidement aux évolutions de son environnement
Être réactif
Langages nécessaires : PHP / Angular
Durée : 8 semaines (2 mois)
Démarrage : A partir du lundi 21 octobre 2019
Type de contrat : Stage conventionné
Lieu : Levallois-Perret
Transports :
Bus : 53,94,341, arrêt Alsace
Ligne L, arrêt Clichy-Levallois
Métro : Louise Michel
Type d'emploi : Stage
Expérience:
offre de stage développeur back-end h/f ou similaire: 1 an (Souhaité)
il y a 1 heure
Signaler cette offre d'emploi",16/10/2019,developer,Paris,16/10/2019,vjk=0a7fa4d6f0fae972,vide,stage
Développeur Full Stack H/F,TIMMXWARE,Vincennes (94),35 000 € par an,"Vincennes (94)
35 000 € par an
Depuis 2002, TIMMXWARE c’est plus de 500 clients et environ 1 500 projets réalisés par nos équipes dans des environnements techniques variés : PHP (LAMP/WAMP), IOS/ANDROID et NET.
Nous apportons une expertise globale des technologies et usages digitaux pour les projets stratégiques de nos clients.
Par ailleurs, TIMMXWARE est :
Affilié au réseau de partenaires SENSIOLABS (Créateur de SYMFONY)
Partenaire technologique d’ADOBE
Partner network de MICROSOFT
Les compétences requises :
Vous maîtrisez:
JavaScript
CSS 3
HTML 5
Media queries
NodeJS
Symfony
CSS (SASS, Less)
Un framework de test type : Jest, Mocha, Sinon.js
Webpack et Gulp
A l’aise avec l’environnement AWS
Profil recherché:
De formation de niveau BAC+3/5 en Informatique
3 ans d'expérience minimum dans le développement d’applications PHP, HTML, CSS, JavaScript
Polyvalence, réactivité et créativité sont des atouts que vous possédez
Type d'emploi : Temps plein
Salaire : 35 000,00€ /an
Expérience:
développeur full stack h/f ou similaire: 3 ans (Souhaité)
il y a 1 heure
Signaler cette offre d'emploi",16/10/2019,developer,Paris,16/10/2019,vjk=1bffbdb40eb31dc1,vide,vide
Développeur Full Stack H/F / Freelance,Thiveo,Paris (75),450 € par semaine,"Paris (75)
Temps plein, Freelance / Indépendant
450 € par semaine
L’un de nos clients dans le secteur de l’Energie recherche un Développeur Full Stack H/F.

Voici un bref descriptif de la mission :
Le client est une strat-up partenaire d’un grand Groupe dans le secteur de l’énergie.
Le projet est la création d’une plateforme web et le client recherche un développeur full stack pour une mission d’un an à la Défense. La mission peut être effectuée en remote après un certain délai de prise en main.

La mission porte sur l’environnement suivant :
Back-end : Node.JS
Front-end : Polymer
Base de données : MongoDB
Le client recherché un profil capable de s’inscrire dans un projet de longue durée.

Compétences techniques recherchées pour cette mission :
Back-end : Node.JS
Front-end : Polymer, Angular ou React
Base de données : MongoDB

Lieu : La Défense

Anglais : Technique

LeHibou c’est :
une communauté de plus de 20 000 consultants indépendants IT sur www.lehibou.com.
350 clients actifs, grands comptes et PME, qui viennent directement sélectionner en ligne les profils qui les intéressent
des prestations facturées par LeHibou qui agit comme tiers de confiance.
une équipe commerciale et RH qui rencontre les consultants et gère les aspects administratifs/juridiques/contractuels.
Peut-on discuter ensemble de la mission par téléphone dès que possible ?

Si vous n’êtes pas disponible, sachez que nous offrons jusqu’à 1 500 à toute personne qui nous présenterait un autre profil qui démarrerait cette mission.

Je vous remercie par avance de votre retour.
Freelance-info - il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Paris,16/10/2019,vjk=6b8ba3ed75e3fde8,vide,freelance
Développeur front end // F:H,LWM,Paris (75),vide,"Paris (75)
CDI
Mission :
En tant qu’intégrateur web vous participerez au développement front des différents sites internet de nos clients.
En collaboration avec les équipes vous intervenez sur toutes les phases d’intégration.
Responsabilités :
Vous intervenez à plusieurs niveaux durant toute la durée des projets, et travaillez en collaboration avec les équipes de développement et UI/UX.
La mission consiste à créer des landing pages et des sites administrables appuyés sur différents CMS.
Il s’agit également de développer des templates JSP et gérer les évolutions et la maintenance d’un site existant.
Profil :
Vous avez une expérience significative de 5 ans ou plus sur un poste similaire
Vous avec un bon sens du travail d’équipe et de la satisfaction client
Compétences attendues :
Maîtrise : Html5/ Css3 / Jquery / Php
Bonnes notions de JS
Utilisation de Github
Maîtrise de Zeplin, Illustrator, Photoshop
LWM | Digital Experts :
Pionniers de la transformation digitale depuis plus de 15 ans, LWM aide les marques ambitieuses à en relever les défis et à en saisir les opportunités.
Chaque expert est accompagné tout au long de sa carrière afin qu’il s’épanouisse au travers de missions variées chez nos clients d’exception tout en développant des compétences variées grâce aux formations délivrées tout au long de l’année.
Nous rejoindre, c’est l’assurance de travailler sur des problématiques toujours plus stimulantes et gratifiantes, d’intégrer une équipe dynamique et de vivre sa passion du digital au quotidien.
il y a 23 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Paris,16/10/2019,vjk=1b8620cea9aec77f,vide,cdi
Développeur Front-End (H/F) – PARIS (08),ACADOMIA,Paris 8e (75),42 000 € - 48 000 € par an,"Paris 8e (75)
CDI
42 000 € - 48 000 € par an
Leader de l’accompagnement scolaire avec 22 000 enseignants passionnés, 400 conseillers pédagogiques et un réseau de 110 centres partout en France, Acadomia s’engage tout au long de l’année aux côtés des élèves pour leur proposer un accompagnement sur mesure qui correspond à leur personnalité et à leurs objectifs.
Pour s’adapter à la « génération Z » (digital natives), plus exigeante et mieux informée, Acadomia développe de nouvelles formes d’enseignements où il ne s’agit plus seulement d’apprendre mais surtout de comprendre pour mieux appréhender le monde et l’avenir. Du primaire au supérieur, en cours individuel ou collectif, Acadomia garantit à chaque élève des solutions personnalisées pour atteindre ses objectifs, quels qu’ils soient !
Dans le cadre d’une création de poste, ACADOMIA recherche un :
Développeur Front-End (H/F) – PARIS (08) (H/F)
Sous l'égide du Directeur du Service Digital, le Développeur Front-End (H/F) se verra confier les missions se développant sur les axes suivants :
Participer à la refonte du site ACADOMIA ainsi que les nouvelles plateformes à venir
Participer à la conception de l'architecture technique en étant force de proposition fonctionnelle
Contribuer au développement de projets variées et souvent complexes tels que le site vitrine, web app, landings, Extranet, app Mobile, etc...
Travailler en mode agile avec les Chefs de projets/Product Owner en s'appuyant sur les outils existants : tableau physique, Jira
Être moteur sur les projets de l'équipe (stack, code review, mise en place des tests unitaires...) tout en établissant un lien privilégié avec les UX/ UI Designers et les développeurs Back présents au sein de l'équipe
Afin de pouvoir répondre à nos nombreux projets stratégiques, vous devrez maîtriser les technologies suivantes :
Javascript ( vanilla, vueJs, autre )
CSS ( sass ou stylus )
Intégration HTML ( sémantique, Accéssibilité, seo ... )
Build front ( npm/yarn, gulp, Webpack )
JamStack ( VueJS/Nuxt.. , Hugo, ... )
A l'aise avec l'utilisation d'API ""REST""
Templating ( handlebar, twig, pHtml... )
Browser automation
Maîtrise de GIT
Vous appuyant sur une expérience significative (minimum 4 ans) vous êtes rôdé à des structures/environnements de travail dont les les sites/plateformes web ont de très forts trafics.
De plus, vous êtes en mesure de réaliser des tests de compatibilité sur les différents navigateurs et vous cultivez une obsession pour l'optimisation coté navigateurs (minification css, js, html, assets, uncss, etc... )
CDI - Temps plein à pourvoir immédiatement au sein de notre siège social (7, rue de la Baume – 75008 PARIS)
Rémunération : 42 / 48 K€ bruts x 12 mois + variable
Avantages : Tickets restaurants + Mutuelle + Prise en charge des frais de transports + RTT
il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Paris,16/10/2019,vjk=195805c69bfbdc85,vide,cdi
Développeur Back-End,QOOQ,Neuilly-sur-Seine (92),vide,"Neuilly-sur-Seine (92)
CDI
Dans le cadre du fort développement de son activités, UNOWHY recherche au sein de la Direction Technique un développeur Back-end (H/F).
Sous la responsabilité du Solution Architect et du Delivery Manager, vous participerez à la conception, au développement et au déploiement de services ou micro-services afin d’enrichir et améliorer nos solutions.
Nous utilisons actuellement :
LDAP, PostgreSQL, DeX, Proxme ;
Langages de programmation :
Principalement Python (nous utilisons notamment Flask, Django) ;
Et de façon mineure : Go, Node.js, Ruby / RoR ;
Gestion des sources : Git / Gitlab.
Profil recherché
Vous avez au moins 3 ans d’expériences conséquentes sur le développement de services.
Vous êtes force de proposition et savez travailler en équipe.
il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,developer,Paris,16/10/2019,vjk=8029a12c891bbac8,vide,cdi
Développeur Front-End H/F,TIMMXWARE,Vincennes (94),35 000 € par an,"Vincennes (94)
35 000 € par an
Depuis 2002, TIMMXWARE c’est plus de 500 clients et environ 1 500 projets réalisés par nos équipes dans des environnements techniques variés : PHP (LAMP/WAMP), IOS/ANDROID et NET.
Nous apportons une expertise globale des technologies et usages digitaux pour les projets stratégiques de nos clients.
Par ailleurs, TIMMXWARE est :
Affilié au réseau de partenaires SENSIOLABS (Créateur de SYMFONY)
Partenaire technologique d’ADOBE
Partner network de MICROSOFT
Description du poste :
Nous recherchons un développeur Frond-end H/F pour notre client afin de développer et maintenir les sites du pôle TV.
Vos principales missions :
Travailler en composants (HTML, CSS, JS autonomes et réutilisables)
Intégration de solutions transverses (pub, SSO…)
Développement de nouvelles fonctionnalités
Améliorer la performance du site en continu
Participer à l'amélioration des workflow de travail
Participation à la réflexion sur les produits, aux problématiques d'interface, aux choix techniques ...
Faire de la veille technologique, de la recherche et développement de fonctionnalités/technologies innovantes
Les compétences requises:
Maîtrise HTML5 : sémantique, accessibilité
Maîtrise Twig
A l'aise en JS (natif), nous n'utilisons pas de framework mais les dernières avancées en la matière
Maîtrise des CSS
Savoir utiliser un Workflow Webpack
Être autonome sur Git (rebase, création de branche, merge, merge request, squash, commit, pull, …)
Profil:
De formation de niveau BAC+3/5 en Informatique
3 ans d'expérience minimum dans le développement Front-End
Autonomie, curiosité et réactivité sont des atouts que vous possédez
Type d'emploi : Temps plein
Salaire : 35 000,00€ /an
Expérience:
développeur front-end h/f ou similaire: 3 ans (Souhaité)
il y a 18 heures
Signaler cette offre d'emploi",Aujourd'hui,developer,Paris,16/10/2019,vjk=69e5935de93c3951,vide,vide
Développeur Back-End PHP / Laravel (H/F),Closd,Paris (75),35 000 € - 45 000 € par an,"Paris (75)
Temps plein, CDI
35 000 € - 45 000 € par an
Développeur Back-End PHP / Laravel (H/F)
Closd est une solution SaaS collaborative de Legal Transaction Management pour les avocats et directions juridiques, qui révolutionne la manière dont les entreprises et leurs conseils réalisent leurs opérations juridiques (fusions-acquisitions, levées de fonds, réorganisations, financement, immobilier…). Dans un secteur juridique encore peu digitalisé, où tout reste à faire, Closd simplifie les échanges et automatise le déroulement des opérations de A à Z.
Créée par deux anciens avocats d’affaires et un ancien trader, elle offre à ses 3000 utilisateurs une nouvelle façon de gérer tous leurs projets juridiques et une expérience numérique novatrice. En seulement un an d’existence, plus de 400 opérations ont été réalisées sur Closd. Notre ambition : devenir la plateforme leader en Europe pour la réalisation des opérations juridiques.
Pour accompagner notre croissance, nous recherchons un développeur Back-End qui s’assurera que l’ensemble de la plateforme offre à ses utilisateurs des fonctionnalités et une fiabilité hors-pair. Travaillant directement avec notre CTO au sein d'une équipe de 2 développeurs et en relation étroite avec l’équipe produit et ventes, vous découvrirez le milieu en pleine mutation des LegalTech et serez impliqué(e) dans des challenges techniques passionnants, pour des clients prestigieux (cabinets d’avocats d’affaires internationaux, directions juridiques de banques et de grands groupes, etc.).
Responsabilités principales :
- Développer les nouvelles fonctionnalités (et améliorer celles existantes) de la plateforme sous forme d’une API REST consommée par le front-end
- S’interfacer avec des services partenaires via leur propre API
- Participer aux choix techniques et architecturaux concernant les nouveaux développements
- Tester et s’assurer de la fiabilité des livrables
- Optimiser le code pour un chargement et une exécution rapides, en gardant à l’esprit la scalabilité
- Rester à jour des meilleures pratiques et des évolutions technologiques de Laravel/PHP
Profil recherché :
- 2-3 ans d’expérience en PHP7, minimum 1 an sur Laravel 5+
- Connaissance des API REST
- Gestion du code source avec Git
- Rigueur, attention particulière aux aspects de sécurité et de droits d’accès
- Attention aux détails, professionnalisme et bon sens
- Anglais à un niveau professionnel (documentation technique en anglais)
- Volonté de travailler dans une petite structure, dynamique, avec livrables rapides et l’opportunité de participer à la croissance d’un acteur majeur du secteur LegalTech
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an
Expérience:
développeur PHP: 2 ans (Requis)
Langue:
Anglais (Requis)
il y a 1 jour
Signaler cette offre d'emploi",15/10/2019,developer,Paris,16/10/2019,vjk=5dbfad1f1fef7791&advn=1008753979286839,vide,cdi
Développeur full stack H/F,Safran,Massy (91),vide,"Massy (91)
Safran est un groupe international de haute technologie opérant dans les domaines de la propulsion et des équipements aéronautiques, de l'espace et de la défense. Implanté sur tous les continents, le Groupe emploie plus de 92 000 collaborateurs pour un chiffre d'affaires de 21 milliards d'euros en 2018. Safran occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. Pour répondre à l'évolution des marchés, le Groupe s'engage dans des programmes de recherche et développement qui ont représenté en 2018 des dépenses d'environ 1,5 milliard d'euros.

Safran est classé dans le Top 100 Global Innovators de Thomson Reuters ainsi que dans le palmarès « Happy at work » des sociétés où il fait bon vivre. Le Groupe est en 4ème position du classement Universum des entreprises préférées des jeunes ingénieurs en France.

Safran Electronics & Defense est un leader mondial de solutions et de services en optronique, avionique, électronique et logiciels critiques, pour les marchés civils et de défense. La société équipe notamment plus de 1000 navires, 25 000 véhicules terrestres et 10 000 avions à travers le monde.

Vous travaillez quotidiennement au sein des équipes agiles (Scrum) de développement de nos logiciels Cassiopée de traitement de données de vol avions et hélicoptères, utilisés par plusieurs centaines de compagnies aériennes et opérateurs d'hélicoptères, avionneurs et équipementiers. Vos tâches et responsabilités sont les suivantes :
participation au développement (back-end et front-end) des fonctionnalités demandées par le Product Owner
participation aux activités de support et de maintenance corrective des produits
participation aux rituels des différents projets (daily scrum, sprint review, sprint retrospective, sprint planning, backlog refinement)
participation à des travaux de R&T ou d'innovation, visant à prototyper de nouvelles solutions
coaching de développeurs junior
Compétences techniques ;
Excellente culture informatique
Intérêt pour les méthodes agiles (Scrum, X-Programming)
Technologies cloud (AWS)
Très bonne connaissance de technologies front-end (React, Angular, PHP Symfony) et/ou back-end (Python, C# ou Java)
Bases de données relationnelles (PostgreSQL) ou non relationnelles
Anglais courant (communication avec les clients)
il y a 8 mois
- Continuer pour postuler
Signaler cette offre d'emploi",16/02/2019,developer,Paris,16/10/2019,vjk=200154347ab91d54&advn=2443634381688632,vide,vide
Stage-Développeur Front End H/F -Paris,Capgemini,Île-de-France,vide,"Île-de-France
Stage
Description de l'entreprise
Capgemini est un leader mondial du conseil, des services informatiques et de la transformation numérique. A la pointe de l’innovation, le Groupe aide ses clients à saisir l’ensemble des opportunités que présentent le cloud, le digital et les plateformes. Fort de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, il accompagne les entreprises et organisations dans la réalisation de leurs ambitions, de la définition de leur stratégie à la mise en œuvre de leurs opérations. Pour Capgemini, ce sont les hommes et les femmes qui donnent toute sa valeur à la technologie. Résolument multiculturel, le Groupe compte 200 000 collaborateurs présents dans plus de 40 pays. Il a réalisé un chiffre d'affaires de 12,8 milliards d'euros en 2017.

En tant que Développeur front, tu travailleras sur des projets drivés en méthodologie Agile (Scrum, Kanban, Safe…). Ces projets sont divers et variés, nous intervenons dans tous les secteurs d'activités (Banque, Media, Energie, Industrie, Retail...). Tu auras l’opportunité auprès de nos experts, d’évoluer sur les technologies récentes.
Plus d’informations sur www.capgemini.com. People matter, results count.
Description de la mission
Au sein d'un projet de création d’une banque en ligne, tu intègres nos équipes DCX (Digital Customer eXperience) et participes au développement d'applications disponibles sur tout support grâce aux technologies web.
Tu interviendras sur :
la conception dans une démarche UX et ergonomique
les développements front (HTML / CSS / Angular / Bootstrap / Javascript ...) et hybrides cross-plateforme
les tests et l'assistance technique aux utilisateurs
Profil
De formation Bac+5 en informatique, tu :
es passioné par les technologies web
souhaites évoluer sur des sujets de digitalisation
parles anglais.
Tu intégreras une équipe d’agile addicts et de Gourous techniques
Il s'agit d'un stage de pré-embauche.
Tu peux postuler directement en envoyant ta candidature à l'adresse suivante: recrutement.ts.fr@capgemini.com
il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",16/09/2019,developer,Paris,16/10/2019,vjk=8acf78c8b4193ff1&advn=5890588353020774,vide,stage
