Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Développeur Back-End PHP / Laravel (H/F),Closd,Paris (75),35 000 € - 45 000 € par an,"Paris (75)
Temps plein, CDI
35 000 € - 45 000 € par an
Développeur Back-End PHP / Laravel (H/F)
Closd est une solution SaaS collaborative de Legal Transaction Management pour les avocats et directions juridiques, qui révolutionne la manière dont les entreprises et leurs conseils réalisent leurs opérations juridiques (fusions-acquisitions, levées de fonds, réorganisations, financement, immobilier…). Dans un secteur juridique encore peu digitalisé, où tout reste à faire, Closd simplifie les échanges et automatise le déroulement des opérations de A à Z.
Créée par deux anciens avocats d’affaires et un ancien trader, elle offre à ses 3000 utilisateurs une nouvelle façon de gérer tous leurs projets juridiques et une expérience numérique novatrice. En seulement un an d’existence, plus de 400 opérations ont été réalisées sur Closd. Notre ambition : devenir la plateforme leader en Europe pour la réalisation des opérations juridiques.
Pour accompagner notre croissance, nous recherchons un développeur Back-End qui s’assurera que l’ensemble de la plateforme offre à ses utilisateurs des fonctionnalités et une fiabilité hors-pair. Travaillant directement avec notre CTO au sein d'une équipe de 2 développeurs et en relation étroite avec l’équipe produit et ventes, vous découvrirez le milieu en pleine mutation des LegalTech et serez impliqué(e) dans des challenges techniques passionnants, pour des clients prestigieux (cabinets d’avocats d’affaires internationaux, directions juridiques de banques et de grands groupes, etc.).
Responsabilités principales :
- Développer les nouvelles fonctionnalités (et améliorer celles existantes) de la plateforme sous forme d’une API REST consommée par le front-end
- S’interfacer avec des services partenaires via leur propre API
- Participer aux choix techniques et architecturaux concernant les nouveaux développements
- Tester et s’assurer de la fiabilité des livrables
- Optimiser le code pour un chargement et une exécution rapides, en gardant à l’esprit la scalabilité
- Rester à jour des meilleures pratiques et des évolutions technologiques de Laravel/PHP
Profil recherché :
- 2-3 ans d’expérience en PHP7, minimum 1 an sur Laravel 5+
- Connaissance des API REST
- Gestion du code source avec Git
- Rigueur, attention particulière aux aspects de sécurité et de droits d’accès
- Attention aux détails, professionnalisme et bon sens
- Anglais à un niveau professionnel (documentation technique en anglais)
- Volonté de travailler dans une petite structure, dynamique, avec livrables rapides et l’opportunité de participer à la croissance d’un acteur majeur du secteur LegalTech
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an
Expérience:
développeur PHP: 2 ans (Requis)
Langue:
Anglais (Requis)
il y a 1 heure
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=5dbfad1f1fef7791,vide,cdi
Développeur fullstack,THE GOOD DRIVE,Paris 10e (75),300 € par jour,"Paris 10e (75)
Freelance / Indépendant
300 € par jour
Nous: La société THE GOOD DRIVE crée des systèmes de formation à la mobilité très innovants, basés sur le jeu vidéo, la simulation, la réalité virtuelle, une IA maison et Unity3D.
Dans le cadre de son développement international et de la création d’offres de formation, THE GOOD DRIVE cherche un.e développeu-r/se senior web pour e-learning / serious games comprenant beaucoup de vidéos, de développement sur mobile et potentiellement du webGL
Les missions : Vous interviendrez sur les projets de développement web en cours, en relation avec le Chef de projet et l'équipe développement.
Adaptation de la plate-forme existante pour de nouveaux clients
Amélioration de la configurabilité de la plate-forme
Mise en place de tests automatisés
Prototypages de nouveaux modules et exploration de nouvelles technologies
Les compétences :
Vous avez pu développer au travers d'une formation un socle de connaissances dans les principales technologies du web.
Stack logicielle :
Front-end : HTML / CSS, ReactJS / Redux / Saga / Jest / webpack,
Back-end : NodeJS / MongoDB / Loopback
Déploiement : AWS
Vous :
Développeur avec 5 ans d’expérience
Vous aimez le développement web côté client et vous êtes aussi intéressé par le fonctionnement du back-end et le déploiement.
Vous aimez le travail structuré.
Vous aimez travailler dans une équipe pluridisciplinaire avec des graphistes, des UX designers, des game designers et des producers aux exigences et aux sensibilités très variées (12 personnes).
Vous êtes constructif et force de proposition.
Vous pouvez lire et rédiger de la documentation en anglais.
Type d'emploi : Freelance / Indépendant
Salaire : 300,00€ /jour
Expérience:
développeur fullstack ou similaire: 2 ans (Souhaité)
Langue:
anglais (Requis)
il y a 1 heure
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=b63b6f5a685a2226,vide,freelance
Développeur JAVA/Angular (H/F),GROUPE HN,Paris (75),vide,"Paris (75)
Fort d’une expérience de plus de 30 ans et de ses 1050 collaborateurs, le Groupe HN est une Société de Conseil et de Service en Ingénierie Informatique qui est aujourd’hui présente à Paris, Bucarest, New-York, Lisbonne et Madrid.
De part sa forte croissance et ses projets d’envergure auprès de ses clients dans les secteurs de la Banque, de l’Assurance, de l’Industrie et des Services, HN s’est avant tout une entreprise à taille humaine avec les avantages d’un grand groupe.
C’est aussi un management de proximité avec une véritable politique de gestion des carrières et de nombreuses opportunités d’évolution. Enfin, tout au long de l’année, plusieurs événements sont organisés avec les collaborateurs HN pour créer ce lien infaillible.
Dans le cadre de notre développement, nous recherchons des Ingénieurs Etudes et Développement JAVA J2EE (H/F) pour notre clients Grand Compte.

Poste et missions:
rédiger les spécifications techniques à partir des spécifications fonctionnelles
réaliser les développements nécessaires en respectant les contraintes techniques et effectuer les tests unitaires
assurer la recette fonctionnelle
analyser et corriger les anomalies détectées
assurer la maintenance évolutive et/ou corrective
prendre en charge les demandes d’évolution
rédiger les différents livrables attendus
Profil :
De formation d’école ingénieur, vous disposez au minimum de 4 ans d’expérience réussie sur les technologies JAVA/J2EE, Angular, Struts, Hibernate, Spring et Webservices. Les connaissances de Websphere, Maven, Jira sont un plus.

Vous êtes autonome, motivé(e), avec un sens du relationnel et du service.
Vous avez des qualités rédactionnelles, un esprit de synthèse, respect des procédures.
Vous souhaitez travailler dans une société dynamique et reconnue dans le secteur informatique, alors venez renforcer nos équipes en intégrant le Groupe HN !
carriere-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=b6648c00e704a593,vide,vide
Analyste Développeur Mainframe H/F,GROUPE HN,Paris (75),vide,"Paris (75)
Fort d’une expérience de plus de 30 ans et de ses 1050 collaborateurs, le Groupe HN est une Société de Conseil et de Service en Ingénierie Informatique qui est aujourd’hui présente à Paris, Bucarest, New-York, Lisbonne et Madrid.
Spécialisé dans les secteurs de la Banque, de l’Assurance, de l’Industrie et des Services, HN s’est avant tout une entreprise à taille humaine avec les avantages d’un grand groupe.
C’est aussi un management de proximité avec une véritable politique de gestion des carrières et de nombreuses opportunités d’évolution. Enfin, tout au long de l’année, plusieurs événements sont organisés avec les collaborateurs HN pour créer ce lien infaillible.
Dans le cadre de notre développement, nous recherchons des Ingénieurs Etudes et développement Mainframe.

Poste et missions :
rédaction de dossiers de spécifications fonctionnelles
rédaction de dossiers de spécifications techniques
analyse
développement
réalisation, les tests unitaires et d’intégration
assistance à la recette
Profil :
De formation d’école d’ingénieur, vous disposez au minimum d’un an d’expérience réussie sur les technologies COBOL, CICS, DB2, MVS.
Vous êtes autonome, motivé(e), avec un sens du relationnel et du service. Vous avez des qualités rédactionnelles, un esprit de synthèse, respect des procédures.
Vous souhaitez travailler dans une société dynamique et reconnue dans le secteur informatique, alors venez renforcer nos équipes en intégrant le Groupe HN !
carriere-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=572cd723b6c3fa9e,vide,vide
Développeur logiciel ERP FullStack H/F,"ID2N IDF , société du GROUPE ADINFO",Paris (75),vide,"Paris (75)
Temps plein, CDI
TA BOITE
Le Groupe ADINFO, c’est juste le leader régional dans le domaine de l’édition et de l’intégration de solutions informatiques. On imagine au quotidien les solutions de demain pour faciliter la gestion au sein des entreprises (logiciels, ERP, réseau, web, spécifiques).
Depuis 30 ans, plus de 3500 clients nous font confiance pour les accompagner dans ce domaine.
Et Parce que ça marche bien, on recherche pour une de nos sociétés, ID2N IDF, un développeur logiciel / ERP (H/F).
TON JOB
Ta mission, si tu l’acceptes, avec l’accompagnement du responsable, c’est :
→ Développer sur Microsoft Dynamics NAV
→ Développer des applications web (En mode FullStack)
Ta rémunération sera évaluée en fonction de tes compétences.
TON ENVIRONNEMENT DE DEV.
Savoir sur quoi tu vas bosser, c’est important pour toi ! Voilà quelques indications :
C/AL / Extension AL / SQL / Laravel (Framework PHP) / Vue.js (Framework Javascript) / GIT
Tu ne les connais pas tous ? Pas de problème ! On t’apprendra.
TON PROFIL
→ Tu sais écouter / analyser … et tu comprends vite !
→ Dans l’idéal, tu parles déjà plusieurs langues (de dev, bien sûr)
Si en plus tu es méthodique, organisé(e) et rigoureux(se), et que tu aimes bosser en team working, tu vas te plaire chez nous !
Ta curiosité envers les développements sur-mesure fera de toi, à terme, un expert en la matière.
Alors ? convaincu ? il ne te reste plus qu'une chose à faire : postuler de toute urgence !
Type d'emploi : Temps plein, CDI
Expérience:
développeur en langage.net: 1 an (Souhaité)
il y a 3 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=11b9a36d7dff330c,vide,cdi
APPRENTI/E DÉVELOPPEUR WEB VUE.JS,Indexima,Paris (75),vide,"Paris (75)
Description du poste
En collaboration avec l’équipe technique et sous la responsabilité de notre CTO, tu seras en charge du développement d’une interface web pour administrer le moteur Indexima : visualisation des tables, gestion des index, création des requêtes, suivi des usages, etc.
Votre Rôle dans l'équipe
Refondre l’interface administrateur déjà existante
Améliorer la communication entre l’interface et le moteur
Participer à l’amélioration du site internet
Tu devras notamment
Avoir une première expérience dans le développement d’interfaces web en Javascript, HTML et CSS
Une connaissance du framework Vue.js
Avoir de bonnes notions d’applicatif web
Maîtriser la gestion de la remontée des API
Ce que nous t'offrons en échange ?
Contribuer à développer le moteur d’indexation distribué le plus rapide du marché.
Pouvoir être force de proposition dans les choix techniques.
Développer des solutions maison.
S’inscrire dans une aventure à dimension internationale
Des afterworks et des parties de babyfoot récurrentes
Dans quelles conditions ?
Lieu : Paris, 11ème arrondissement
Café et bonne humeur garantis!
Soirées entre collègues tous les mois
Contrat : apprentissage ou contrat de professionnalisation
Salaire : selon profil
il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=0be5d02a39db96fe,vide,apprentissage
Développeur front end (alternance/stage) - h/f,FREE,Paris 8e (75),vide,"Paris 8e (75)
Stage, Apprentissage, Contrat pro
Description entreprise :
Fondé en 1991, le groupe Iliad est également connu sous la marque commerciale Free. Depuis plus de 15 ans, ce groupe technologique basé à Paris, s'attèle à offrir les plus grandes innovations télécom du marché.
Description du poste :
Free a déployé dans de nombreuses villes ses points devente et de relation abonnés. Les Free Centers sont le lieu incontournable pourdécouvrir l’incroyable richesse des services Free. Plus d'une soixantaine deFree Centers sont ouverts sur l'ensemble de la France et un fort cycle decroissance a été amorcé pour ouvrir de plus en plus de points de vente.

Rejoignez-nous dans cette formidable aventure etcontribuez à booster la performance des Free Centers au service de nos abonnés!

Rattachéà la direction du développement, le développeur front apporte son expertiseafin de rendre les applications/outils accessible, ergonomique, rapide etfacile à utiliser
Grâceà ses compétences autour du design et de l’expérience utilisateur, il épaule leDéveloppeur Full Stack sur le développement d’outils principalement destinés àune utilisation interne. Il a une vraie appétence au design et se tientrégulièrement à informer des tendances graphiques du web

Sesmissions :
Analyse et prise en charge du cahierdes charges
Faire de la veille sur lestendances actuelles du design web (ergonomie et graphique)
Concevoir et développer les fonctionnalitésfront-end
Maintenance, évolution et corrections desdéveloppements
Réalisation et suivi des phasesd’intégration et de test

Profil recherché :
Vousêtes curieux et vous vous renseignez toujours sur les nouveautés de l’universdu design web et du développement.
Vous êtes proactif(ve) et savez travailler en équipe. Vous avez un esprit créatif, une fortesensibilité au design et à l’innovation.
Compétencesattendues :
Avoir une première expérience professionnelle, en tant que développeurfront-end.
Maitrise de HTML5
Très bonne connaissance de SASS (CSS3)
Bonne connaissance du JS Vanilla
Savoir intégrer un template
Avoir déjà développé sur un framework JS (React JS serait un plus)
Déjà utiliser des technologies serveurs (PHP, API)
Utiliser un système de versioning (GIT)
Avoir les bases de DockerIl
il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=0f90e7a83f7a4b38,vide,stage
Stage Développeur informatique .NET C# H/F,INTERACTIV TOOLBOX,Boulogne-Billancourt (92),568 € par mois,"Boulogne-Billancourt (92)
Stage
568 € par mois
INTERACTIV TOOLBOX propose un STAGE DEVELOPPEMENT .NET C# (H/F)
ENVIRONNEMENT
Au sein de French TV Group, Interactiv Toolbox, située à Boulogne 92, est une PME spécialisée dans la mise à disposition de systèmes informatiques pour l’audiovisuel (interactivité, animation vidéo en temps réel).
Le Groupe assure production, coproduction ou prestation de service sur divers programmes télévisés en France et à l’étranger (C dans l’air, Le magazine de la santé, Enquête de Santé, Starmix, C’est ma question, Le Grand Quiz, Cinq contre Un, Gorevimiz komedi, Keep your light shinning, Next one, Odd one out, Retour en Terre Inconnue, Blind test party…)
DESCRIPTION DE LA MISSION
Guidé par des cahiers des charges précis des architectures et des fonctionnalités, le/la stagiaire participe au développement de différents systèmes de base de données pour nos clients diffuseurs audiovisuels, grâce à des outils tels que ASP.NET, C#, html 5, mySql, Responsive Design :
- création interface utilisateurs,
- gestion des rapports d’impression,
- upload/download…
Au sein d’une équipe de 2 ingénieurs, il/elle apprend le métier auprès du responsable de la structure et intervient à plusieurs niveaux des projets dans le cadre d’une démarche globale.
Grâce à ses études et ses précédents stages il/elle peut apporter des conseils pertinents en choix de nouvelles technologies.
PROFIL DU CANDIDAT
Très bonnes connaissances impératives de .NET et C#.
Niveau Bac + 4/5 Ecole d’ingénieur (type Epita ou Efrai) ou Master Université.
Au-delà d’une liste de compétences, nous recherchons également une personnalité : celle d’un/e jeune développeur/euse dynamique, efficace et curieux/se, qui se nourrit d’échanges et de recherches quotidiennes pour débloquer des situations complexes, comprendre les besoins et y répondre, pour mener des réflexions sur la meilleure manière de mener, développer et livrer les projets.
CONDITIONS DU POSTE
Statut : stage
pas de contrat d'alternance
Durée : 3/6 mois
Début : ASAP
Lieu : Boulogne Billancourt
Gratification : 568.75€ + Tickets restaurant + 50% transport
MERCI DE TRANSMETTRE CV + LETTRE DE MOTIVATION PAR MAIL EXCLUSIVEMENT
www.interactivtoolbox.fr
www.frenchtv.fr
Type d'emploi : Stage
Salaire : 568,00€ /mois
Expérience:
.NET: 1 an (Requis)
C#: 1 an (Requis)
Lieu:
92100 Boulogne-Billancourt (Requis)
il y a 2 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=613959082376afae,vide,stage
DÉVELOPPEUR FULLSTACK DRUPAL 8 CDI F/H,CCI PARIS ILE-DE-FRANCE,Paris 17e (75),32 000 € - 37 000 € par an,"Paris 17e (75)
Temps plein, CDI
32 000 € - 37 000 € par an
Au sein de notre Direction du Pilotage du Système d'Information, vous intégrez le Centre de Services Partagés Web, nouvelle équipe dont l'enjeu est de gagner en agilité et performance dans les développements Web de la Chambre de Commerce et d’Industrie Paris Ile-de-France, avec une recherche constante de l'amélioration de la relation client interne.
Vous prenez en charge le développement et la maintenance d'applications Web : sites web institutionnels, sites des écoles, intranet...
Vous travaillez en mode agile, participez à la mise en oeuvre des projets du CSP et assurez les tâches récurrentes de maintien en condition opérationnelle de(s) application(s) à votre charge.
Vos Missions Principales
Participer à la conception et mise en oeuvre de l'architecture technique industrialisée s’appuyant sur Drupal 8 et savoir la faire évoluer
Mettre en place et faire évoluer la chaîne d’intégration continue (PHPUnit, Selenium, Katalon, etc)
Conception technique sur Drupal 8 avec une approche de modules transverses et réutilisables
Intégration et création de thèmes Drupal (Twig)
Vos atouts pour réussir
Vous avec un Bac +5 et/ou une expérience significative de développement en Drupal 8 des sites dans un grand groupe
Veille technologique sur les technologies web et sur Drupal en particulier
Très bonnes connaissances HTML/CSS3 (LESS), Bootstrap, PHP orienté objet, Symfony
Les mots-clés suivants vous parlent : Twig, JQuery, Git, AWS, Docker container, Devops, Scrum, Agile, Sprints, Mysql, MariaDB , Linux, Memcached, Varnish
Vous avez envie de partager votre passion pour l’univers du Digital
Vous faites preuve d'agilité et avez le sens du travail en équipe
Type d'emploi : Temps plein, CDI
Salaire : 32 000,00€ à 37 000,00€ /an
il y a 3 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=e3ffb07c510e620b,vide,cdi
Stage Développeur Fullstack,Funbooker,Paris (75),vide,"Paris (75)
Stage
À propos de Funbooker
Notre mission est de permettre à chacun de trouver, réserver, et vivre ses meilleurs expériences de loisirs.
Funbooker.com est une place de marché : nous aidons à mettre en relation simplement les consommateurs avec les professionnels organisateurs d’activités, au travers d’un site de recherche et de réservation en ligne.
Funbooker.com présente le contenu et disponibilités pour choisir et réserver facilement en ligne ses activités. Les activités proposées sont sélectionnées au sein des différents univers de loisirs : Sport et plein air, guides et visites, vins et cuisine, bien-être, enfants, life style, art et culture.
Nous révélons ainsi la richesse des expériences à vivre pour tous, en chaque lieu, et pour toutes les occasions.
Start-up créée en 2017 par trois entrepreneurs expérimentés et experts du digital, nous avons l’ambition de devenir un leader du secteur en France et en Europe.
Notre premier tour de financement est soutenu par des entrepreneurs à succès du web Français, des leaders de l’industrie des loisirs/tourisme, ainsi que la BPI.
Stage à Paris 16ème 75016
Type de stage: Stage longue durée ou alternance
Durée: 4 à 12 mois, à pourvoir dès que possible
Candidature: par email à stages@funbooker.com
Mission
Dans le cadre du lancement de la place de marché Funbooker.com, vous participez à la construction de la plateforme Funbooker.com et de ses services associés.
Vous serez amené à participer aux principales phases du processus de développement de notre application : conception, développement, optimisation, tests et déploiement logiciel. Plus généralement, vous contribuerez aux choix techniques permettant de mener à bien le développement de la société.
Objectifs : Prendre en charge une partie des nouveaux développements et effectuer la maintenance de l'application aussi bien au niveau du Front que du Back.
Environnement technique
Funbooker fourni son service à l’aide des derniers outils de développement web :
Javascript (ES2015 via Babel)
PHP 7 / Symfony 2 et 3
Vue.js / React.js
Node.js
Sass / Bootstrap
Webpack et Gulp
Amazon Web Services (EC2, S3, Lambda, etc.)
Git
Profil
Vous avez avant tout une fibre entrepreneuriale et vous désirez vous épanouir au sein d’une start-up naissante et ambitieuse.
Une formation supérieure en informatique (Bac+3) et/ou quelques années d’expérience en développement web t’ont apporté les connaissances, les bonnes pratiques et la rigueur nécessaire pour concevoir un code performant tout en restant le plus simple possible.
Tu maîtrises plusieurs des technos citées ci-dessus, et a déjà joué avec les autres.
Si les informations que tu cherches ne sont pas disponibles dans les documentations, tu n’as aucun problème à lire les sources des outils que tu utilises.
Anglais courant
Forte appétence pour les technos web / les réseaux sociaux et les activités proposées par Funbooker.
Puissance de travail, souplesse relationnelle, humour (le / la candidat(e) idéal(e) travaille sérieusement sans se prendre au sérieux)
Ambitieux(se), motivé(e), vous êtes également humble et à l’écoute, avec un excellent sens relationnel.
il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,developpeur,Paris,14/10/2019,vjk=0c584cf7d513e919,vide,stage
