Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Ingénieurs DevOps (H/F),CONSULT-IT,Paris (75),vide,"Paris (75)
Nous recrutons pour nos centres de services grands comptes situés à Paris , des ingénieurs DevOps (H/F).

Profil recherché :
De formation supérieure, école d’ingénieur ou BAC+5.

Expérience de 3 ans minimum en développement.

Vous avez une bonne culture : DevOps , Outil de gestion de configuration (Puppet, Ansible…), Jenkins , GIT, Java ou Python, Shell Script, Base de données MySQL, Oracle, SQL Server

Vous avez une bonne capacité d’analyse, et d’adaptation avec différents interlocuteurs et environnements.

Vous êtes organisé, curieux, passionné et savez résister au stress.

Vous êtes autonome dans la réalisation de vos missions.

Vous aimez travailler dans un contexte international?

Prêt à relever le défi ? Adressez-nous vos candidatures.
il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=e3dfab5d580f7c79,vide,vide
DevOps Engineer - Paris,Nuxeo,Paris (75),vide,"Paris (75)
The Company
We are engineers. We provide an open-source content management platform for architects and developers, using the latest technologies and working with agile methodologies.
We are focused on creating an extensible platform for our customers, allowing them to build applications to organise, search and transform their data according to their business needs. That is why we are leaders and visionaries in our sector.
People are our secret weapon, and that is why Nuxeo is an award-winning place to work.
The Team
Our Engineering team of 30 developers is committed to designing, building and delivering features, and continuously improving the performance and reliability of our products as we rapidly scale our organisation.
The team is divided into sub-teams that work with agile methodologies. You will be integrated in one of the teams working on the platform.
We are mainly based in Paris, France but also in Lisbon, Portugal as well as in the US.
Technical Stack
Java, Python, Groovy, JavaScript
Git, GitHub, Jira, Slack, Nexus
AWS, Docker, Kubernetes (GKE or OpenShift), Ansible, Terraform
Jenkins X, SonarQube, etc.
GNU/Linux, Mac, Windows, Android, iOS
The Role
This Engineering team commits to the full development lifecycle (design + coding + testing + packaging + delivery) and faces daily challenges inherent to the build of maintainable software that need to evolve very quickly.
We need (wo)manpower to improve the whole chain in order to efficiently deliver a high quality product.
A lot of technologies are at stake (front-end, back-end core services, build & packaging) and the expected technical level is ambitious.
A Typical Week
You will:
participate in the Platform team’s scrum activity.
anticipate and find solutions to their needs.
manage short term and long term plans for chosen technical solutions.
answer the whole team’s needs by building generic solutions (as much as possible/relevant).
collaborate with the DevTools and Cloud teams when elaborating these solutions.
handle communication with these teams as a referee for the Engineering team.
Requirements
You have +3 years of relevant experience in the DevOps world, CI and CD oriented.
You like helping getting things done by achieving pragmatic short term solutions and planning long term solutions at the same time.
You are a quick learner, open minded and curious.
You are organised.
You care for a quality product delivery.
You like communicating about what you do.
You speak English and French fluently.
Bonus Points
You know continuous integration tools such as Jenkins and its Pipeline plugin inside and out.
You have experience with build/dependency tools like Maven and Gradle.
You are familiar with Go.
You have heard of Jenkins X.
You know Tekton is not a type of dance from 10 years ago.
il y a 53 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=961ac0f7103dfedb,vide,vide
Cloud DevOps Engineer - Paris,Nuxeo,Paris (75),vide,"Paris (75)
Overview
Nuxeo is looking for a DevOps Engineer to join its technical Cloud Platform team. The primary job responsibility of the Cloud Platform team is to build automation and tooling to maintain cloud customer environments. You will be focused on the design, implementation and support of infrastructure as code, operation automation and on support the Cloud Operations team.
Members responsibilities (non-exhaustive):
Design, Implement & Maintain cloud automation
Collaborate with the Engineering teams to deploy cloud services
Leverage Test Driven Development (TTD) for Infrastructure as Code
Leverage CI/CD for our cloud customers & cloud services
Proactively identify issues and improvement opportunities
Support the Cloud Operations team on automation issues
Contribute to 7/24 Cloud Operations team for production environments
How we automate within the Cloud Platform team:
Terraform
Ansible
Packer
Jenkins as Code, Pipelines and custom Jenkins plugin
What we automate:
AWS (EC2, RDS, S3, Route53, IAM, Secrets, Lambda, CloudFormation, ...)
MongoDB Atlas cloud
ElasticSearch
Kafka
Docker & Compose
K8s (GKE, EKS)
Expected Skills and Experience:
AWS experience
Terraform or CloudFormation
Ansible, Chef or Salt
Docker and related technologies (Kubernetes)
Git or HG
Experience in development with Java, Python, Go or other
Experience as DevOps supporting Jenkins, Travis, Gitlab or any build system for a team/project
Analytical, troubleshooting, and problem-solving abilities
Ability to learn new technologies quickly and independently and to formulate and implement standards, procedures and best practices.
Ability to work in an Agile development environment
Ability to learn and adapt to overlapping technologies
Strive to promote best practices: continuous integration, testing, automated / continuous deployment, good infrastructure and code patterns
Fluent in English
Hiring process
HR Interviews
Cloud teams leaders interviews
Pair programming or home-project as technical assessment (depending on your availability)
Offer
il y a 53 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=f49944f93ca2827f,vide,vide
SENIOR DEVOPS,Nexway,Paris (75),vide,"Paris (75)
Location
Paris La Défense
Position Overview
As a Senior Devops part of the engineering team, you will be responsible for automation and improving the CI/CD on our Kubernetes platform.
Key responsibilities
Design, scale and heal our Google Cloud Platform with Infrastructure as Code in mind<
• Optimize the continuous integration and deployment tools
• Improve logging, monitoring and alerting
• Contribute to platform architecture and technical designs
• Propose new approaches and tools to improve development velocity and quality
• Interact with development teams in an Agile environment
Required experience/skills
Minimum 3 years of professional devops and continuous integration/deployment
• Proficient knowledge on containers and Kubernetes
• Strong scripting skills on Bash
• Experience with configuration management tools (Ansible preferred)
• Strong closeness and practice of Linux OS (Debian/Ubuntu)
• Excellent communication skills, written and verbal
Preferred qualifications
Experience with Jenkins, Docker, Kubernetes, Google Cloud Platform, Git
• Knowledge of Python, Java and Go language
• Notions in REST API and microservice architectures
• Experience with MongoDB and RabbitMQ
• Sensibility and culture on security
• Organized, autonomous and creative
• Fluent in French & English (written and spoken)
Our ECommerce platform technical ecosystem
Infrastructure: Google Cloud Platform
• Docker & Orchestrator Kubernetes
• Continuous Integration/Deployment: Jenkins, Gitlab-ci
• Database: MongoDB, Google BigQuery, Google Storage, MariaDB<
• Data Intelligence: Dataiku, Talend (ETL), Pentaho
• Message-broker: RabbitMQ
• Logs: Stackdriver, Elasticsearch, Kibana
• Backend languages: Java (SpringBoot), Golang
• Frontend languages: ReactJS, HTML/CSS/JavaScript
Please send us your CV and cover letter to this address: job_it@nexway.com
il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=282e1e1f29104e90,senior,vide
DevOps Aeronautique,Sept Lieues,Paris 3e (75),55 000 € - 65 000 € par an,"Paris 3e (75)
CDI
55 000 € - 65 000 € par an
L'ENTREPRISE
Startup de 20+ personnes
Elle développe une plateforme web permettant de contrôler une flotte de robot et de gérer ces datas à distance pour des clients (généralement de très gros industriels).
LE POSTE / LES MISSIONS
- Gérer / Refondre / Optimiser l'environnement d'intégration continue et de déploiement continu (il n'y en a pas aujourd'hui) - 20%
- Gestion des serveurs / prod (sécu etc..) - 20%
- Gestion des containers pour la production (Kubernetes) - 30%
- Déploiement et maintenance (On premise sur site ou sur le cloud du client) - 30%
Environnement technique :
Architecture en microservice / Tout est conteneurisé sous Docker Compose - Pas scalable dans le temps
= > Souhait de migration vers Kubernetes
8 services + 2 gateway
6 BDD : MySQL / MongoDB
Cluster Kafka
Ouvert au Remote à 1 / 5eme
PROFIL RECHERCHÉ
Connaissance d'un outil de Gestion de config au choix (Puppet / Ansible / Saltstack etc.)
OS : Full Linux / Fichier de config en Bash
Kubernetes / Docker - Experience en prod
BDD : Chiffrage etc. (pas un rôle de DBA)
Intégration continue / CI & CD : Circle CI
Type d'emploi : CDI
Salaire : 55 000,00€ à 65 000,00€ /an
Expérience:
devops aeronautique ou similaire: 1 an (Souhaité)
il y a 4 heures
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=e8dcc2ffd85fbc93,vide,cdi
DevOps / Médical,Sept Lieues,Paris 2e (75),50 000 € - 60 000 € par an,"Paris 2e (75)
CDI
50 000 € - 60 000 € par an
L'ENTREPRISE
Start-up de 20 personnes spécialisée en Machine Learning dans le secteur médical / santé.
Utilisation de l'IA pour améliorer le milieu de la recherche.
Récompensée par de nombreux prix
LE POSTE / LES MISSIONS
Au sein d'une équipe Infra de 3 personnes, votre rôle consiste à garantir des accès fiables, sécurisés et traçables pour l’équipe de développement.
- Installation et administration du parc de serveurs
- Développement et exploitation des outils de monitoring
- Gestion de la sécurité des accès (contraintes fortes - Domaine de la santé)
- Mise en place et maintenance des connections VPN (hôpitaux)
- Développement, maintenance et exploitation des outils de déploiement
Poste orienté conception = > Pas d'astreintes à prévoir !
PROFIL RECHERCHÉ
- Expérience en administration de systèmes GNU/Linux
- Bonnes notions d’administration réseau
- Pratique avancée des outils d’intégration continue avec Git
Le plus ?
- Une première expérience sur des outils de l’écosystème DevOps (Docker / Ansible etc.)
Type d'emploi : CDI
Salaire : 50 000,00€ à 60 000,00€ /an
Expérience:
devops / médical ou similaire: 1 an (Souhaité)
il y a 4 heures
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=b42f053e77ef29fa,vide,cdi
CI/CD DevOps Engineer / Freelance,Phaidon International (UK) Ltd,Paris (75),vide,"Paris (75)
Temps plein, Freelance / Indépendant
LOT1 : Installation et mise en uvre de l’infrastructure de la plateforme CI/CD
Préparation de l’image CentOS et de l’accès au repository
Implémentation et mise à disposition des plateformes physiques et virtuelles (VMs), conformément aux documents d’architecture projet
Mise en conformité (standardisation, sauvegarde, supervision, métrologie )
Participer à l’initialisation des plateformes CI/CD, KUBERNETES
Rédaction des procédures d’installation et d’exploitation des différents composants techniques
Maintien en condition opérationnelle des différents composants techniques (support compris)
Fourniture d’un compte rendu d’activité hebdomadaire

LOT 2 : Installation et mise en uvre des composants de la plateforme CI/CD
Définition et mise en uvre des composants NEXUS / GITLAB-CI
Définition et Déploiement des composants logiciels, conformément aux documents d’architecture projet (liste non exhaustive) :
o CI/CD : Nexus, Gitlab-ci
o Déploiement centralisé : Salt, Ansible
o Containerisation : Rancher, Docker Engine, Kubernetes
o IaaS : Openstack, AWS
Mise en uvre des briques d’exploitation (authentification, sauvegarde, supervision )
Rédaction des procédures d’installation et des guides d’exploitation et des composants logiciels
Maintien en condition opérationnelle des différents composants logiciels (support compris)
Fourniture d’un compte rendu d’activité hebdomadaire
Administration et évolution des plateformes SALT / OPENSTACK
Participer au BUILD des plateformes CI/CD KUBERNETES
Gestion de configuration des fichiers SALT ou ANSIBLE
Rédaction des procédures d’installation des composants logiciels et des guides d’exploitation.

Durant l’exécution des Prestations, le Prestataire communiquera au client les livrables définies ci-dessous :
Rédaction des procédures d’installation des composants logiciels et des guides d’exploitation.
Rédaction des procédures d’installation et d’administration des composants techniques
Fourniture d’un compte rendu d’activité hebdomadaire
Freelance-info - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=5634ed7cc515fee2,vide,freelance
INGENIEUR DEVOPS - F/H,Ingeniance,Paris (75),vide,"Paris (75)
CDI
Contexte de la mission :
Vous interviendrez en tant qu'ingénieur devops sur des activités liées au support et la gestion de projet de notre client, leader français du secteur bancaire. La mission se déroulera dans le département informatique en charge d'assurer la livraison des projets et de la maintenance des applications liées aux activités de financement et de couverture client.


Missions :
Dans ce cadre, l'ingénieur devops contribuera aux missions suivantes :
Support applicatif technique o� la priorité sera donnée au maintien de la qualité de la production de nos applications Business et à la gestion des incidents techniques sur ces applications
Construction et maintien en Condition Opérationnelle des environnements de tests.
Déploiement des releases applicatives sur les environnements de tests et de production.
Pilotage et mises en oeuvre des améliorations de processus ou d'outils.
Optimisation des architectures techniques de nos applications.
Implémentation des solutions de déploiement automatisée (couche applicative)
Mise en place des solutions de provisionnement d'environnement automatisées (couche applicative)
Suivi des entités de développement et de pré-production à l'usage et la maintenance de ces solutions.
En complément vous interviendrez sur ces trois problématiques:
La sensibilisation des entités sur la démarche Continuous Delivery: Présentation des technologies innovantes et formation sur les nouvelles technologies mises en oeuvre.
Le déploiement continu: Continuous Delivery (méthodes Agiles, Continuous Integration, culture devops, ), XLDeploy, Scripting (shell, powershell, Perl, Python), Job Jenkins, GIT / Maven (gestion des sources) et Nexus (gestion des artefacts), Développement de nouveaux plugins pour XLDeploy.
Le provisionnement continu: Puppet, Infrastructure As A Service (IaaS) et de Platform As A Service (PaaS), Construction d'un pipeline de création d'environnement en orchestrant et en requêtant des API (web services).
Les livrables attendus de l'ingénieur devops sont:
Assurer le Support technique de production sur nos applications
Livraison et stabilisation de provisionnement d'environnements en 1 click
Implémentation de Docker (couche applicative)
Implémentation de la livraison automatique de release sous Docker (couche applicative)
Implémentation et stabilisation de monitoring technique sur nos applications


Profil recherché:
Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
Vous justifiez d'une première expérience réussie en tant que consultant devops, alliée à un bon niveau en anglais.
La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.
Compétences attendues :
Technologies : Powershell
Base de données : Oracle
Méthodologie: Agile (Scrum)
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=cc4fafafb2720d16,vide,cdi
SMILE DEVOPS - F/H,Ingeniance,La Défense (92),vide,"La Défense (92)
CDI
Contexte de la mission:
Dans le cadre du Projet (migration industrielle Psystem), une partie du parc applicatif de notre client est constituée d'applications fonctionnant dans la technologie PSystem (Pascal).

Afin de couvrir le risque opérationnel lié à l'obsolescence de cette technologie, notre client a lancé un plan de sortie dont l'axe majeur est la migration industrielle des applications PSystem vers des technologies Java/J2EE. Le périmètre couvre environ 100 applications.

Chaque application est migrée et fait l'objet d'une première phase de qualification par le partenaire. Dès livraison par le partenaire, notre client réceptionne l'application, la déploie et procède à une phase de tests d'Intégration SI ayant vocation à valider l'intégration de l'application dans le SI. Enfin, le client procède à l'homologation bancaire de l'application.

À ce titre, le client souhaite bénéficier de l'expertise du prestataire en termes d'ingénierie d'études ou conception et mettre en place cette nouvelle application (notamment assurer la performance en insertion et en requetage) avec des méthodes agiles.


Missions:
Dans ce cadre, le consultant devops contribuera à/aux:
Activités sur les applications migrées (Java)
Déploiement des applications JAVA via l'outillage de déploiement (package auto porteur)
Diagnostic en cas de problème de déploiement
L'analyse des logs (format, présence flux,..)
Support aux testeurs
Support technique pour analyse en cas de pb sur la chaine de liaison, l'architecture (Apache, JBOSS, Safe, WS) dans les différents environnements
Gestion de la chaine d'intégration continue : création de dépôt , droits, job jenkins, GIT, bitbucket, Sonar
Création des fichiers de configuration permettant de gérer les déploiements en PROD
L'interface avec les entités d'exploitation en charge des infrastructures et des déploiements en envt HOB, HOT et PROD pour le diagnostic en cas de dysfonctionnement
Compétences techniques requises de l'ingénieur devops:
Weblogic
Apache
HTML
J2EE
Webservices
Eclipse
Java
Javascript
JSF
Profil recherché:

Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
Vous justifiez d'une première expérience réussie en tant que consultant devops, alliée à un bon niveau en anglais.
La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=253f91bf66822ca5,vide,cdi
CONSULTANT DEVOPS F/H,Ingeniance,La Défense (92),vide,"La Défense (92)
CDI
Contexte de la mission :
Notre client est une banque de financement, d'investissement et de services, qui développe une offre originale en matière de gestion du poste clients.
La société interviendra sur des activités liées au support et la gestion de projet.
La prestation se déroulera au sein d'une division qui est un département informatique en charge d'assurer la livraison des projets et de la maintenance des applications liées aux activités de financement et de couverture client. Par conséquent, le département définit des stratégies et gère les demandes pour les clients.
À ce titre, notre client souhaite bénéficier de l'expertise du prestataire en termes d'ingénierie de production ou d'exploitation.

Missions:
La prestation consiste à contribuer à/au(x)
Support applicatif technique o� la priorité sera donnée au maintien de la qualité de la production de nos applications Business et à la gestion des incidents techniques sur ces applications.
Construction et maintien en condition Opérationnelle des environnements de tests.
Déploiement des releases applicatives sur les environnements de tests et de production.
Pilotage et mises en oeuvre des améliorations de processus ou d'outils.
Optimisation des architectures techniques de nos applications
Implémentation des solutions de déploiement automatisés (couche applicative)
Mise en place des solutions de provisionnement d'environnement automatisées (couche applicative)
Suivi des entités de développement et de préproduction à l'usage et la maintenance de ces solutions.
Sensibilisation des entités sur la démarche Continuous Delivery
Présentation des technologies innovantes.
Formation sur les nouvelles technologies mises en oeuvre.
Les principales tâches à réaliser sont les suivantes:
Assurer le Support technique de production sur nos applications
Livraison et stabilisation de provisionnement d'environnements en 1 click
Implémentation de Docker (couche applicative)
Implémentation de la livraison automatique de release sous Docker (couche applicative)
Implémentation et stabilisation de monitoring technique sur nos applications
Environnement technique du projet :
PowerShell / Oracle / SOA / Agile SCRUM / DEVOPS
Profil recherché :
Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5).
Vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.


INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,devops,Paris,14/10/2019,vjk=277c9ee1fbd020e6,vide,cdi
