Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Internship - Data Analytics and Statistics (m/f),Airbus,Toulouse (31),vide,"Toulouse (31)
Temps plein, Stage
Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description:
What if YOU starts your journey with US!
As part of a school curriculum in initial training, you are looking for a mandatory internship or integrated into a gap year, that will allow you to validate your studies. The internship duration is 4 to 6 months maximum.
We offer you to work in a world-leading company which is at the heart of a digital transformation, at the cutting edge of research and innovation.
We are looking Internship - Data Analytics and Statistics (m/f)
who will be joining us at Airbus site in Toulouse Saint-Martin.
This internship is to be filled from April 2020 for 6 months (the dates are subject to a certain flexibility)
You will be joining the department IZMX which activities include the definition and the prototyping of innovative modelling methods and solutions deployed over all the company.
The objective of the internship is to integrate the Verification Activities and to contribute to make its definition robust before its full deployment.
Tasks and Responsibilities :
You will be working under the supervision of your manager who will help you identify your professional objectives and support you in the development of your skills.
Your main activities will include:
Design and develop Information models and ontologies.
Guarantee overall Information Validation & Verification. For Overall Data Management thru all the granularities, Domains and Viewpoints.
Contribute/Support the development of solution for the verification measurements of prescriptive models developed in the context of the enterprise architecture.
Contribute/Support the development of solution to emulate descriptive models in the case of models validation developed in the context of the enterprise architecture.
Required skills:
You are preparing a diploma level Bac+ 5 in Applied Mathematics, Modelling or equivalent, with specialisation in applied mathematics or statistics and you obtain following competences:
English: (BEGINNER, INTERMEDIATE)
French: (BEGINNER, INTERMEDIATE)
You are interested in aeronautics, modelling,
You have knowledge of Data Analytics, Data Modelling, Machine Learning, Advanced Data Analytics, and Descriptive Statistics
You are able to use proficiently such tools/technic as python, MatLab, knowledge graph, data and text mining
Soft skills:
TO BE COMPLETED AND/OR MODIFIED BY THE MANAGER
Rigorous, curious and autonomous
Obtain good interpersonal and communication skills
Able to integrate into team and be a flexible team player
Have organizational skills
Able to analyse and synthesize information
Knowledge of project management would be a plus.
Depending on the specifics of the offer, you may have to travel to another locations.
If your profile catches our attention, you will be invited to perform a video interview during which you will have a few minutes to tell us about your background, motivations and your professional project. Afterwards, your application could be proposed to the managers for further review.
If the prospect of joining our innovative Group motivates you do not hesitate and apply online on our website www.airbus.com/careers!

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=4a5cad657b9d9068,vide,stage
Stage Data Toulouse H/F,Ippon Technologies,Toulouse (31),vide,"Toulouse (31)
Stage
@IpponToulouse...
Nous sommes des consultants technophiles situés en plein centre-ville. Ton repère? Nous sommes à côté de l'Alimentation pour les Afterworks et de Perlette pour le goûter!
Nous sommes fans des Ippaperos... que tu vas bientôt découvrir!
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 2 ans qu'on est sur Toulouse, 1 an qu'on a commencé à construire une dream team dédiée, beaucoup d'afterworks et de soirées à l'Alimentation : p
Notre prochaine commande? un bureau rien que pour toi car nous venons juste d'emménager et ton accès à Blackbelt pour passer une belt Data!
Le contexte du projet :
Nous souhaitons faire évoluer le data portal ippon développé lors d’un précédent stage pour l’enrichir avec l’ingestion et la mise à disposition d’open data sur les entreprises.
Nous souhaitons également pouvoir croiser ces données avec des données issues de Linkedin.
Ton rôle :
Ton rôle sera de monter en compétence sur la stack technologique du data portal ippon (Fullstack Serverless : AWS, Lambda en Python, React), de choisir les composants complémentaires nécessaires (machine learning) et de réaliser les développements et la promotion du projet.
L’écosystème dans lequel tu vas évoluer ! :
AWS
Python
React
Terraform
Librairies de machine learning à identifier
#Data #Cloud #AWS #Python #ReactJS #Serverless
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant de la data à nos côtés!
Tes forces :
Tu es à très à l’aise en Python et souhaite monter en compétence sur les technologies Cloud ?
Tu es curieux et passionné ? Tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? Cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? Tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage data toulouse h/f ou similaire: 1 an (Souhaité)
il y a 6 jours
Signaler cette offre d'emploi",08/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=d40fe4f98f61f81f,vide,stage
Stage Ingénieur Data Science (h/f),Airbus,Toulouse (31),vide,"Toulouse (31)
Temps plein, Stage
Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
STAGE INGENIEUR DATA SCIENCE (h/f)
Merci de bien vouloir postuler en ligne, sur notre site Carrières www.airbus.com/careers en joignant votre C.V. et letter de motivation en anglais (si nécessaire).
Dans le cadre d'une formation initiale, inscrit dans votre cursus scolaire, vous recherchez un stage obligatoire, d'une durée allant de 4 à 6 mois maximum, vous permettant de valider votre année.
Et si VOTRE aventure commençait avec NOUS !
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Une offre de stage INGENIEUR DATA SCIENCE (h/f) vient de s'ouvrir au sein d’Airbus sur notre site de TOULOUSE.
Vous rejoindrez les départements « Bureau d’études » & « Digital Transformation Office » .
Les équipes Plant Engineering d’Airbus traitent de nombreux sujets concernant la réparation des avions.
Durant votre stage, vous travaillerez au développement d’un outil Machine Learning permettant de suggérer une réponse aux ingénieurs en charge de ces réparations.
Ce stage se situera dans les bureaux du Digital Transformation Office à Toulouse, et sera co-encadré par l’équipe Plant Engineering Saint-Nazaire (basée en partie à Toulouse).
Il vous permettra de mettre en pratique les connaissances acquises durant vos études dans un contexte industriel d’application concrète du Machine Learning.
Vous serez sous la responsabilité d’un manager qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.
Vous participerez à l’ensemble du processus de création d’un outil :
Récupération et nettoyage des données,
Tests et applications d’algorithmes de Natural Language Processing et de Machine Learning,
Analyse des résultats,
Déploiement d’une interface pour l’utilisation.
En dernière année de formation bac +5 en Data Science, Intelligence Artificielle, Informatique Décisionnelle, vous avez :
Des connaissances en Statistiques et Science de l’information
Une bonne connaissance des langages de programmation associés au Machine Learning et des librairies associées (Python, Scikit-Learn …)
Idéalement une première expérience en Natural Language Processing
Réactif, vous saurez explorer différentes options et choisir la meilleure.
Autonome, vous saurez avancer dans une situation de co-encadrement.
Force de proposition, vous saurez apporter de nouvelles idées.
Vous pourrez, selon les offres proposées, être amené(e) à vous déplacer. Si la perspective de rejoindre notre Groupe innovant vous motive ? N’hésitez pas ! Postulez en ligne !
Ainsi, si votre profil retient notre attention, vous serez invité à réaliser un entretien vidéo au cours duquel vous aurez quelques minutes pour nous convaincre : vous présenterez votre parcours, vos motivations et votre projet professionnel. Par la suite, votre candidature pourra être proposée aux managers.


This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",07/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=cfdf583da8aedd52,vide,stage
Stage Data Science algorithme NPL/OCR H/F,Expleo,Toulouse (31),vide,"Toulouse (31)
Stage
Aéronautique
Midi-Pyrénées - TOULOUSEStage
2019-2383
Qui sommes-nous ?
Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent.
Expleo est présent dans tous les secteurs à forte intensité technologique qui contribuent à une société plus connectée, plus durable et plus sûre. Nous nous appuyons sur une forte expertise sectorielle et accompagnons nos clients sur l'ensemble de la chaîne de valeur : conseil et business agility, conception, production et services post développement, management de la qualité.
Nos 15 000 collaborateurs interviennent dans plus de 25 pays et nous avons réalisé un chiffre d'affaires de 1,1 milliard d'euros en 2018.

Votre future mission
Pourquoi nous rejoindre ?

Nous sommes un incubateur de talents. Chez Expleo, le nouveau nom d’Assystem Technologies, vous accélérez votre carrière. Vous relevez des défis techniques complexes et élargissez votre champ de compétences. Vous collaborez à des projets inspirants avec des experts de tous horizons : véhicule autonome, avion à faible empreinte écologique, usine de demain ou technologies bancaires de pointe. Chez Expleo, laissez votre audace s’exprimer. Ensemble, changeons la donne.

Notre offre de stage

Vous intégrez l’équipe Digitalisation d’Expleo Toulouse qui réalise de multiples projets de data science pour ses clients. Ces projets sont très variés : maintenance prédictive, analyse de root cause, dashboarding, modélisation complexe… Ainsi, nous vous proposons de contribuer à cette démarche en accompagnant une équipe en place sur ces sujets innovants.

Pour répondre à un besoin croissant, nous souhaiterions développer un algorithme NLP/OCR pour l’extraction d’informations pertinentes depuis des supports numérisés.

Rattaché à un tuteur expérimenté, vos principales activités seront :

Analyse des besoins et spécification de l’algorithme
Comparaison et choix des technologies à utiliser
Développement et optimisation d’algorithmes OCR et NLP
Développement d’un outil configurable intégrant ces algorithmes
Mise en application concrète sur un besoin industriel
Ce qui vous différencie
Vous êtes issu(e) d’une formation en mathématique/informatique de niveau Bac+5 et vous disposez de bonnes connaissances en Python. Votre niveau d’anglais est intermédiaire à l’écrit comme à l’oral.

Vous ferez preuve d’autonomie, de curiosité, de proactivité et vous serez capable d’interagir avec des métiers/domaines variés. La communication sera également un élément-clé de ce stage.

Comme membre à part entière de l’équipe, le stagiaire participera en tâche de fond aux différents sujets d’innovation en cours.

Partager cette offre

postuler à cette offre
il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=26bb0463eacfbfe6,vide,stage
CONSULTANT(E) TECHNICO FONCTIONNEL(LE) DATA SCIENCE H/F,AKKA TECHNOLOGIES,Toulouse (31),vide,"Toulouse (31)
Temps plein, CDI
Dans le cadre du développement de ses activités, AKKA Group recherche un(e) Consultant(e) Technico-Fonctionnel(e) Data Science (H/F).
A ce titre, vous réalisez et mettez en œuvre des KPI de reporting opérationnels autour des métiers de la logistique, de la production ou de la supply chain.
Pour mener à bien cette mission, vos principales activités reposent sur :
L’analyse des données
La récupération et la visualisation des données
La classification et la prédiction des données
L’identification des causes d’inexactitudes
La proposition d’améliorations
La réalisation de reportings

Diplômé(e) d’une école d’Ingénieur ou de formation équivalente Bac+5, vous justifiez d’une première expérience réussie (stage inclus) sur un poste similaire où vous avez pu mettre en pratique vos compétences en Machine Learning, Data Visualisation et Deep Learning.
Vous devez maîtriser la réalisation de reporting et dashbording sur la plateforme SKYWISE ainsi que les outils de traitement et visualisation de données QUIVER & CONTOUR.
De plus une maîtrise des langages de programmation PYTHON, R, SAS, Matlab et SQL est impératif.
Vous devez avoir travaillé dans le secteur d’activité de l'aéronautique et de la santé.
Quelle que soit votre expertise métier, vous avez une personnalité de terrain, le goût du challenge et appréciez les défis techniques. Vous disposez d’une faculté à vous intégrer rapidement au sein d’une équipe projet et êtes très attentif(ve) à la satisfaction du client. Votre esprit critique, votre capacité à être innovant(e) dans les solutions proposées font la différence.
AKKA Group accompagne ses clients dans la mondialisation de leurs projets, aussi un anglais courant est requis pour l’ensemble de nos collaborateurs.
A compétences égales, le poste est ouvert aux personnes en situation de handicap.
Rejoindre AKKA Group, c'est évoluer dans les domaines qui vous passionnent, développer vos compétences, avec la possibilité d'évoluer sur différents secteurs, dans un cadre qui favorise les initiatives individuelles ; votre rôle s’inscrit dans un véritable projet d'entreprise !
il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",07/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=ee22e4a42e4de69f,vide,cdi
Stage Ingénieur Data Science et Mécatronique H/F,Expleo,Toulouse (31),vide,"Toulouse (31)
Stage
Aéronautique
Midi-Pyrénées - TOULOUSEStage
2019-2377
Qui sommes-nous ?
Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent.
Expleo est présent dans tous les secteurs à forte intensité technologique qui contribuent à une société plus connectée, plus durable et plus sûre. Nous nous appuyons sur une forte expertise sectorielle et accompagnons nos clients sur l'ensemble de la chaîne de valeur : conseil et business agility, conception, production et services post développement, management de la qualité.
Nos 15 000 collaborateurs interviennent dans plus de 25 pays et nous avons réalisé un chiffre d'affaires de 1,1 milliard d'euros en 2018.

Votre future mission
Pourquoi nous rejoindre ?

Nous sommes un incubateur de talents. Chez Expleo, le nouveau nom d’Assystem Technologies, vous accélérez votre carrière. Vous relevez des défis techniques complexes et élargissez votre champ de compétences. Vous collaborez à des projets inspirants avec des experts de tous horizons : véhicule autonome, avion à faible empreinte écologique, usine de demain ou technologies bancaires de pointe. Chez Expleo, laissez votre audace s’exprimer. Ensemble, changeons la donne.

Notre offre de stage

Expleo étudie et met en place des solutions technologiques en vue d’automatiser les essais systèmes pour ses clients. Ainsi, nous vous proposons de contribuer à cette démarche en accompagnant une équipe en place sur ces sujets innovants. Le but sera de concevoir et de réaliser un système mécatronique pour piloter automatiquement des interfaces cockpits d’avion (type MCDU, Overhead panel…).

Rattaché à un tuteur expérimenté, le stagiaire pourra réaliser les activités suivantes:

Construire un dossier de conception (analyse du besoin, choix des technologies…)
Prise en main des briques technologiques existantes, et développement des briques manquantes
Réalisation du système mécatronique en s’appuyant sur le Fablab d’Expleo
Etude de l’industrialisation du système et de l’extension sur d’autres interfaces cockpits d’avion
Comme membre à part entière de l’équipe, le stagiaire participera en tâche de fond aux différents sujets d’innovation en cours.

Ce qui vous différencie
Niveau de formation : Bac +5

Domaine de spécialisation : Conception de systèmes mécatroniques

Technologies : Arduino, Moteurs pas-à-pas, Impression 3D

Logiciels : Server XML-RPC, Python

Langue : Français & Anglais avancé

Compétences particulières : Bon relationnel, esprit de synthèse, autonomie, esprit innovant

Partager cette offre

postuler à cette offre
il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=28b629f94ccde404,vide,stage
3D Technical Data Internship (m/f),Airbus,Toulouse (31),vide,"Toulouse (31)
Temps plein, Stage
Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
What if YOU start your journey with US!
As part of a school curriculum in initial training, you are looking for a mandatory internship or integrated into a gap year, that will allow you to validate your studies. The internship duration is 6 months maximum.
We offer you to work in a world-leading company which is at the heart of a digital transformation, at the cutting edge of research and innovation.
We are looking for 3D Technical Data Internship (m/f) who will be joining us at Airbus site in Toulouse.
This internship is to be filled from February 2020 (the dates are subject to a certain flexibility).
You will be joining the department « Technical Data – Wide Body » which activities include integration of the 3D Technical Documentation for Beluga XL program in the industrial phase.
The objective of the internship is the support for creation and update of main technical data User Guides describing Beluga XL process.
Tasks and Responsibilities :
You will be working under the supervision of your manager who will help you identify your professional objectives and support you in the development of your skills.
Your main activities will include:
Contribution on Process and Method definition
You will learn about 3DJUUMP (a software and 3D viewer) software we use to generate 3D technical data
You will discover several departments of technical data and several manuals used by our customers
You will prepare presentation and explain main 3D evolutions and advantages for future programs and dedicated technical data
Anticipate needs and expectations from our Beluga XL customers
Required skills:
You are preparing a 5 years degree in aircraft engineering or IT science or equivalent, with specialisation in 3D data (CATIA) and you obtain following competences:
English: ADVANCED
French: ADVANCED
Your first experience in process definition and documentation
You are interested in digitalisation, especially 3D
You have a good knowledge of IT processes analytics
You are able to use proficiently such tools as CATIA or 3D Juump or Cortona
Rigorous, curious, creative and autonomous
Obtain good interpersonal and communication skills
Able to integrate into transnational team and be a flexible team player
Have organizational skills
Able to analyze and synthesize information
Knowledge of project management would be a plus.
Depending on the specifics of the offer, you may have to travel to another locations.
If your profile catches our attention, you will be invited to perform a video interview during which you will have a few minutes to tell us about your background, motivations and your professional project. Afterwards, your application could be proposed to the managers for further review.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",07/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=c705d785b60e34d8,vide,stage
Internship: Engine Vibrations - Analysis of Flight Test data...,Airbus,Toulouse (31),vide,"Toulouse (31)
Temps plein, Stage
Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
Job Description:
What if YOU starts your journey with US!
As part of a school curriculum in initial training, you are looking for a mandatory internship or integrated into a gap year, that will allow you to validate your studies. The internship duration is 4 to 6 months maximum.
We offer you to work in a world-leading company which is at the heart of a digital transformation, at the cutting edge of research and innovation.
We are looking for a trainee who will deal with Engine Vibrations - Analysis of Flight Test data and Model Correlation (m/f) and who will be joining us at Airbus site in Toulouse Saint Martin.
This internship is to be filled from March 2020 (the dates are subject to a certain flexibility)
You will be working at the department « Loads and Aeroelastics ».
Airlines are more and more demanding in terms of passenger comfort when they take delivery of their aircrafts. Engine vibrations felt by passengers is to be managed to ensure seamless aircraft deliveries.
In this context, Airbus has flight tested different configurations of unbalanced engines to develop its capability to predict vibrations in the aircraft cabin.
Tasks and Responsibilities :
You will be working under the supervision of your manager who will help you identify your professional objectives and support you in the development of your skills.
You will analyse several flight tests performed on Airbus aircrafts with engine unbalance.
Your objective is to understand how the vibrations generated by the engines are transmitted to the aircraft structure for different levels of unbalance.
You will also run dynamic simulations on a dedicated and refined Finite Element Model (FEM) to compare results with Flight Test data.
You will finally propose modelling improvements to better match flight tests when needed.
Required skills:
You are preparing a diploma from Bac level +5 in Structural mechanics or aeronautics with a specialization in Structural mechanics or Powerplant and
You are ADVANCE in French and ADVANCE in English.
You have a good knowledge of Structural Dynamics.
You are able to use proficiently tools such as Finite Element Model (Nastran or equivalent), matlab, and python.
Soft skills:
Rigorous, curious and autonomous
Good team player with interpersonal and communication skills
Able to analyse and synthesize information
Knowledge of project management would be a plus.
Depending on the specifics of the offer, you may have to travel to another locations.
If your profile catches our attention, you will be invited to perform a video interview during which you will have a few minutes to tell us about your background, motivations and your professional project. Afterwards, your application could be proposed to the managers for further review.
If the prospect of joining our innovative Group motivates you do not hesitate and apply online on our website www.airbus.com/careers!

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",04/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=6b72a914bd0d2b29,vide,stage
GESTIONNAIRE DE CONTENU ONE ATLAS DATA H/F,Expectra.fr,Toulouse (31),vide,"Toulouse (31)
Intérim
Expectra, leader en France de l'intérim spécialisé et du recrutement en CDI de cadres et agents de maîtrise.
Les consultants du Département Aéronautique vous proposent des opportunités de carrière.

Nous recherchons pour le compte de notre client intervenant dans le secteur spatial un Gestionnaire de contenu One Atlas data H/F

Avec le lancement du programme « OneAtlas » visant à développer et déployer un ensemble de nouveaux services digitaux, basés sur une plateforme « cloud », le poste s'inscrit dans le pilotage du contenu en données de la plateforme.

Vous aurez pour missions principales :
Participer à la gestion du projet commercial OneAtlas Data sous la responsabilité d'un product owner.
Collaboration étroite avec l'équipe projet et l'ensemble des acteurs impliqués afin d'assurer une complémentarité des rôles et permettre d'atteindre les objectifs.
D'organiser la documentation, les procédures, et les informations techniques appliquées aux projets,
Créer des reportings et états d'avancement sur les projets suivis
Lancer et suivre les demandes d'achat, assurer le suivi des prestations de services conformément au cahier des charges
Il s'agit de suivre d'une manière globale l'avancement du projet en participant notamment aux réunions internes et externes du projet.

De formation Bac+5, vous justifiez d'une expérience de 3 années idéalement dans l'industrie du spatial ou domaine du numérique

Vous avez des compétences en gestion de projet, gestion de planning, gestion des risques en méthode Agile

Vous maîtrisez le Pack Office et avez un anglais courant (toutes les communications et documents sont à faire en anglais)
Vous avez une connaissance d'outils ERP (SAP et Oasis)
il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=e1c09e066d4b3a3b,vide,cdi
ST_Consultant en IA / Data science H/F-Toulouse,Forum Emploi-Formation-Alternance: Talents Handica...,Toulouse (31),vide,"Toulouse (31)
Stage
Au sein de notre Pôle Scientifique, ton objectif est de participer au développement et la mise en service de nouvelles applications issues du spatial, comme par exemple la cartographie mensuellement l’occupation du sol à l’échelle de la France Métropolitaine à partir des données Sentinel-1 et Sentinel-2 ou encore grâce à des techniques d’apprentissage récurrent profond, d’estimer la probabilité de pannes (de défaut) des systèmes d’un satellite à un horizon donné à partir de l’extraction automatique des caractéristiques fondamentales contenues dans les données
handicap-job.com - il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,Autres_metiers_data,Toulouse,14/10/2019,vjk=77a07fe699122faa,vide,stage
