Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
H/F Ingénieur études et développement TMA BI & DATA,Absys Cyborg,Toulouse (31),vide,"Toulouse (31)
Venez renforcer notre pôle de TMA (Tierce Maintenance Applicative) et assurer nos engagements dans le cadre de nos contrats de maintenance applicative auprès de nos clients utilisateurs de nos solutions de BI & Data.

Au sein d’une équipe d’experts, vous êtes responsable de l’investigation et de la correction des anomalies techniques et fonctionnelles remontées par les clients pendant les phases de customisation assurées par nos équipes Intégration puis de mise en production.

Vous répondez aux nouveaux besoins exprimés par les clients sous la forme d’actions évolutives simples. A ce titre, vous analysez les demandes en tenant compte des spécificités de nos clients (qualification des demandes, conception, chiffrage…) et vous prenez en charge le développement des évolutions clients.

Vous effectuez des livraisons sur les environnements client et vous escaladez les demandes complexes vers les équipes Intégration. Vous assurez le suivi de consommation de la TMA par dossier client.

Rejoindre Absys Cyborg, c’est l’opportunité de :

Travailler sur des projets diversifiés, des solutions technologiques performantes et reconnues,
Bénéficier d'un accompagnement dès votre intégration et tout au long de votre carrière (formation, parcours d'évolution, mobilité, etc.),
Travailler dans des espaces agréables et une ambiance de travail conviviale !
Connaissances et savoir-faire :
Issu(e) d’une formation supérieure en informatique décisionnelle, vous vous démarquez par votre sens du service client et votre excellent relationnel.

Fort(e) d’une première expérience réussie, vous souhaitez poursuivre votre montée en expertise.

Vous possédez une bonne maîtrise des Bases de Données Microsoft (SQL Server, Transact-SQL), des environnements du décisionnel (ETL, Data Warehouse, Modélisation en étoile, Microsoft BI SSIS, SSAS (DAX)), et des outils de reporting (PowerBI, SSRS, MyReport, Inside, Tangerine).
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,BI,Toulouse,14/10/2019,vjk=3e4b67e3ec47a415,vide,vide
Stagiaire - Développement BI / BigData - Domaine Client H/F,Air France-KLM,Toulouse (31),vide,"Toulouse (31)
Stage
Au sein de la Direction Informatique du groupe Air France-KLM, rattaché(e) au pôle Business Intelligence et sous la responsabilité de votre maître de stage vos missions consisteront à :

Analyser le Big Data du produit « clients » au sein d’une organisation Agile (Scrum, Safe)

Prendre en charge d’un projet de développement de bout en bout (analyse, conception, développement, tests et déploiement) en relation directe avec les directions fonctionnelles (marketing, commercial etc.) ainsi qu’avec l’équipe de développement

Monter en compétence technique et fonctionnelle sur les environnements BI

Travailler sur l'architecture technique :

Teradata (SQL, UNIX), HBase, MongoDB

Hadoop, Spark Java, HDFS, Eclipse, Git

Outil de restitution : SAP BI4, Spotfire
Profil recherché
Vous êtes étudiant(e) en dernière année d'Ecole d’Ingénieur ou en Master 2 dans le domaine informatique et vous recherchez un stage de fin d’études.

Vous possédez des connaissances en :

Développement Java & Spark et architecture BigData

Requête SQL sous Unix

Vous avez de bonnes capacités d'analyse et de synthèse

Vous êtes rigoureux (se), dynamique, vous aimez le travail en équipe

Vous êtes autonome, curieux (se), créatif(ve)

Vous êtes organisé(e) et avez l’esprit d’initiative

Vous avez un excellent niveau d'anglais (documentations techniques, échanges courants avec KLM)

Conformément aux engagements pris par Air France dans son accord 2018-2020 en faveur de l’emploi des personnes en situation de handicap, nos contrats sont ouverts à tous.
Type de contrat
Convention de stage
Durée du contrat (mois) :
6 mois
Date de prise de poste souhaitée
03/02/2020
Type d'horaires
Administratif
Profil candidat
Spécialisation
SYSTEMES D'INFORMATION
Niveau d'études min. requis
Bac + 5 et plus / 3ème année grande école
Langue
Anglais (3 - Confirmé)
Localisation du poste
Localisation du poste
France, Occitanie, Haute Garonne (31)
Site
5 AVENUE MAXWELL - 31109 TOULOUSE CEDEX 9
il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,BI,Toulouse,14/10/2019,vjk=b1a5ff7f88738059,vide,stage
Développeur Talend / Big Data / BI (H/F),EOTIM,Toulouse (31),vide,"Toulouse (31)
CDI
Notre client, spécialisé dans la protection de données, souhaite recruter un(e) Développeur(euse) Talendafin de rejoindre l’équipe chargée des échanges de données et du maintien opérationnel du SI décisionnel de son pôle édition de logiciel.
Vous serez en charge d’évaluer la difficulté des projets et de réaliser les spécifications et évaluations de charges.
Vous devrez être force de proposition concernant la conception tout en tenant compte des SI et des normes en vigueur.
Vous réaliserez les développements et effectuerez les tests afin d’apporter les corrections nécessaires au bon fonctionnement du produit.
PROFIL REQUIS
Vous maîtrisez Talend, Postgre SQL, Hive, Spark Hbase et HDFS.
Vous avez également des compétences spécifiques au Big Data :
Java, Scala ou Python
Hadoop, Apache (Hive, Spark, Kafka)
Bases de données noSQL(MongoDB, hBase, Druid) et relationnelles (DB2, MySQL, mariaDB…)
Titulaire d’un Bac+3 minimum, vous avez au moins 3 ans d’expérience dont 18 mois sur Talend.
La conception d’interfaces, la réalisation de développements et le requêtage SQL n’ont pas de secrets pour vous.
Vous savez rédiger des documents techniques mais aussi des documents utilisateurs.
Vous êtes à l’aise en Anglais (écrit et oral).
Type d'emploi : CDI
il y a 3 jours
Signaler cette offre d'emploi",11/10/2019,BI,Toulouse,14/10/2019,vjk=9b126a2ba3b4c182,vide,cdi
Consultant Microsoft BI & data (H/F),ai3,Toulouse (31),vide,"Toulouse (31)
CDI
Localisation Toulouse
Infos Job
Site:
Toulouse
Salaire:
Selon profil
Profil recherché :
Confirmé
Contact pour plus d'informations :
kahina.slimani@ai3.fr

Vous rejoindrez la Business Unit Data & AI. Notre approche se focalise sur la valorisation de la donnée afin d’en libérer tout son potentiel. Cette stratégie est orientée sur 2 axes : Data : tous les domaines qui touchent à la manipulation de la donnée (modélisation, nettoyage, analyse, data visualisation, big data, IoT, etc.)AI : traitement des images et du langage naturel, évaluer des sentiments, créer des modèles de machine learning, etc.
Missions

Analyse et recueil des besoins métier (animation d’ateliers)
Définition fonctionnelle d’une solution basée sur les technologies décisionnelles de la suite Microsoft BI : SQL Server, Power BI, Services Azure.
Définition d’architecture logicielle et technique du SI décisionnel : DWH, intégration, cubes, reportings
Mise en œuvre technique des solutions
Responsabilité de la documentation et des formations
Participation aux phases amonts des projets (Avant-Vente, Maquettage, Démonstrations, …)
Vous êtes

Titulaire d’une formation supérieure en informatique, d’un diplôme d’ingénieur ou d’une formation équivalente, vous disposez d’une expérience significative d’au moins 1 an dans le domaine de la Business Intelligence et possédez une bonne qualité rédactionnelle et relationnelle.Expert sur les solutions décisionnelles Microsoft, vous connaissez parfaitement la couverture fonctionnelle et technique des produits et êtes en mesure de proposer des bonnes pratiques d'implémentation (fonctionnelles, organisationnelles, architecturales, logiciels ...).
Vous maîtrisez

Suite décisionnelle SQL Server 2016 et + (Base de données, langage Transact SQL, ETL Integration Services, Cubes AnalysisServices avec les langages MDX ou DAX et Reporting Services)
Power BI
Ms BI : SSIS, SSAS
Services cloud Azure Analytics (ex: Data Factory, SQL Datawarehouse, Data Lake, HD Insight, etc.)
Une connaissance sur une ou plusieurs des technologies suivantes serait un plus :Ecosystème Hadoop (Spark, Pig, Hive,…)
Qualités relationnelles

Vous aimez travailler en équipe tout en étant autonome.
Ai³ est une entreprise responsable, attachée à la diversité de ses personnels. Des aménagements de poste peuvent être organisés pour tenir compte des handicaps des personnes recrutées.
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,BI,Toulouse,14/10/2019,vjk=096831d03d8e9cc2,vide,cdi
Stage BI / ETL F/H,Viseo,Toulouse (31),vide,"Toulouse (31)
Stage, Apprentissage, Contrat pro
Votre mission
Contexte :

Un de nos clients, un acteur majeur de la cosmétique dans le monde, dispose actuellement de nombreuses données dans un Datawarehouse.

90% des données sont alimentées depuis les systèmes opérationnels via un ETL « historique », les 10% avec un autre. L’ETL principal n’étant plus maintenu par l’éditeur, la stratégie de l’entreprise à moyen terme est de l’abandonner, mais le choix de l’outil cible n’est pas arrêté.

Dans ce cadre, notre client souhaite effectuer des tests avancés sur différents produits du marché.

C’est dans ce contexte que l’étudiant(e) rejoindra l’équipe VISEO DATA & ANALYTICS afin de réaliser son stage de fin d’études.

Sujet du stage :

Même si à ce jour la liste des outils à utiliser n’est pas arrêtée, il s’agira de challenger les ETL du marché.

Lors de ce stage, vous serez amené(e) à :
Comprendre et documenter les fonctionnalités de chaque produit dans ses différentes versions,
Évaluer les avantages et les inconvénients de chacun d’entre eux par rapport au contexte spécifique de notre client (SGBD sources et destination, alimentation des données sur 24h, forte volumétrie…),
Comprendre et requêter les données du datawarehouse, sur de nombreux domaines différents : ventes, budgets, campagnes marketing, stocks,
Réaliser des maquettes à taille réelle des alimentations actuelles avec chacun des produits choisis,
Synthétiser les résultats, ce qui permettra de choisir l’outil cible par la suite.

Le stage se déroulera dans les locaux de VISEO sur une période de 6 mois.

Prérequis techniques :

Une bonne maîtrise du SQL et de la modélisation.
Des connaissances sur Talend et si possible sur d’autres ETL du marché.
Langues : Français, Anglais technique.
Votre profil
Le stagiaire sera capable d’appliquer les connaissances acquises lors de sa formation.

Autonome, rigoureux(se) et curieux(se), doté(e) de qualités rédactionnelles, relationnelles et du sens du service.
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,BI,Toulouse,14/10/2019,vjk=78e679edf4b14743,vide,stage
Stage BI / DataViz Retail F/H,Viseo,Toulouse (31),vide,"Toulouse (31)
Stage, Apprentissage, Contrat pro
Votre mission
Contexte :

Un de nos clients, un acteur majeur de la cosmétique dans le monde, dispose actuellement de nombreuses données dans un Datawarehouse. Ces données sont exploitées par différents métiers qui mettent en place des Dashboards leur permettant de piloter leur activité.

En complément, notre client souhaite procéder à de nouvelles analyses de ces données de façon transversale, afin d’établir une vision à 360° de ses clients, cette vision ayant pour but de trouver des leviers d’amélioration de la rentabilité.

C’est dans ce contexte que l’étudiant(e) rejoindra l’équipe VISEO DATA & ANALYTICS afin de réaliser son stage de fin d’études.

Sujet du stage :

Lors de ce stage, vous serez amené(e) à :

Comprendre et requêter les données du datawarehouse, sur de nombreux domaines différents : ventes bien sûr, mais également budgets, campagnes marketing, stocks…
Interagir avec les utilisateurs ou les chefs de projet métier afin de récolter les demandes, mais également les synthétiser et les concilier. (y compris en anglais)
Réaliser des dashboards « visuels » : la philosophie de création des dashboards dans l’entreprise est de privilégier les composants graphiques et les KPI. Une appétence pour le design sera donc la bienvenue.

Les technologies à utiliser seront les suivantes : BODS, Talend, Snowflake, Tableau Software.
Le stage se déroulera dans les locaux de VISEO sur une période de 6 mois.

Prérequis techniques :

Une bonne maitrise du SQL et de la modélisation.
Idéalement des connaissances ETL sur SAP BODS et/ou Talend.
Une formation à Tableau Software vous sera dispensée en début de stage.
Langues : Français, Anglais
Votre profil
Le stagiaire sera capable d’appliquer les connaissances acquises lors de sa formation.

Autonome, rigoureux(se), et curieux(se), doté(e) de qualités rédactionnelles, relationnelles et du sens du service.

Anglais obligatoire.
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,BI,Toulouse,14/10/2019,vjk=4eed3b612db77a10,vide,stage
CONSULTANT(E) BI H/F,AKKA TECHNOLOGIES,Toulouse (31),vide,"Toulouse (31)
Temps plein, CDI
Dans le cadre du développement de ses activités, AKKA Group recherche un(e) Consultant(e) BI (H/F)
A ce titre, vous réalisez et mettez en œuvre des KPI de reporting opérationnels autour des métiers de la logistique, de la production ou de la supply chain.
Pour se faire, vous réalisez les activités suivantes :
L’analyse et la visualisation des données
La définition des besoins du client
Le développement des outils lean de pilotage en temps réel
La définition des KPIs et l’analyse des résultats
La réalisation de dashboards
La construction et l’amélioration de modèles de prévision

Diplômé(e) d’une école d’Ingénieur ou de formation équivalente Bac+5, vous justifiez d’une première expérience réussie dans le domaine de l’aéronautique (stage inclus) sur un poste similaire où vous avez pu mettre en pratique vos compétences en analyse et visualisation de données et DATA MINING.
De plus, lors d’expérience en informatique décisionnel, vous avez travaillé sur la modélisation, l’intégration de données et les reportings. Vous maîtrisez l’analyse et la visualisation de données sur POWER BI et SAP LUMIRA.
La connaissance de l’ETL TALEND est un plus.
Quelle que soit votre expertise métier, vous avez une personnalité de terrain, le goût du challenge et appréciez les défis techniques. Vous disposez d’une faculté à vous intégrer rapidement au sein d’une équipe projet et êtes très attentif(ve) à la satisfaction du client. Votre esprit critique, votre capacité à être innovant(e) dans les solutions proposées font la différence.
AKKA Group accompagne ses clients dans la mondialisation de leurs projets, aussi un anglais courant est requis pour l’ensemble de nos collaborateurs.
A compétences égales, le poste est ouvert aux personnes en situation de handicap.
Rejoindre AKKA Group, c'est évoluer dans les domaines qui vous passionnent, développer vos compétences, avec la possibilité d'évoluer sur différents secteurs, dans un cadre qui favorise les initiatives individuelles ; votre rôle s’inscrit dans un véritable projet d'entreprise !
il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",07/10/2019,BI,Toulouse,14/10/2019,vjk=1150d4b8981c6a05,vide,cdi
CONSULTANT(E) BI (H/F),AOSIS CONSULTING,Toulouse (31),vide,"Toulouse (31)
CDI
Crée en 2010 à Toulouse par d’anciens consultants SAP, AOSIS est initialement une société éditeur de logiciels.
A la demande de ses clients, AOSIS a complété son offre, en proposant en 2012 du conseil et de l’intégration autour des solutions BI : SAP dans un premier temps, sur les solutions leaders du marché dans un deuxième temps.
Aujourd’hui, AOSIS met en place des solutions BI, Big data et de Data Science innovantes et à forte valeur ajoutée et propose des logiciels dans le domaine de la gestion de la donnée.

Nous assurons un niveau d’excellence des consultants dans leur domaine et nous pratiquons un management bienveillant où le bien être de notre équipe est une priorité absolue.

Description du poste
Dans le cadre du développement de nos activités aéronautique, agroalimentaire et grande distribution, nous recherchons un(e) Consultant(e) BI.

Recueillir le besoin du client en réalisant une mission d’audit
Proposer au client un outil d’aide à la décision
Analyser des besoins fonctionnels et techniques
Localiser les données de production
Déterminer les spécifications techniques et définir l’architecture
Développer la solution
Développer l’ensemble des processus d’intégration
Modéliser et enrichir les datawarehouse et les datamarts dédiés à une fonction particulière dans l’entreprise
Profil recherché
Profil :
Tu as une formation technique ou d’ingénieur et une expérience significative entre 1 et 5 ans.
Tu possèdes une culture décisionnelle, web et tu as une expertise dans les outils d’extraction et de restitution de données (power BI, Tableau software, Qlik..)

Tu es reconnu(e) comme étant une personne à l’écoute du client, ayant une grande capacité d’adaptation, un goût pour le travail en équipe ainsi qu’une capacité d’accompagnement (support au client pour les développements de certains rapports).
De plus tu sais faire preuve d’une bonne capacité d’analyse et d’ingéniosité.
il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,BI,Toulouse,14/10/2019,vjk=5228d66cbc94c341,vide,cdi
Stage Consultant BI / ETL Retail F/H,VISEO,Toulouse (31),vide,"Toulouse (31)
Temps plein, Stage
Notre Entreprise
Le Groupe VISEO (2000 salariés), spécialiste des systèmes d'informations depuis 20 ans, partenaire des éditeurs leaders de ce marché propose à ses consultants des carrières évolutives et variées basées sur une politique de formation et de parrainage.

L'offre DATA de VISEO est portée par un réseau de consultants qui assurent la conduite des projets décisionnels de bout en bout, en outillant la démarche de supports méthodologiques et de prototypes. Ils se distinguent à la fois par une solide expertise et une triple compétence technique, fonctionnelle et organisationnelle. Vous souhaitez évoluer avec un acteur spécialisé et développer votre savoir-faire avec des experts du décisionnel. Rencontrons-nous !

VISEO DATA Sud-Ouest, c'est :
Plus de 70 consultants spécialistes de la DATA
Des projets multiples, adressant des secteurs d'activités et des métiers variés
De la diversité technologique
Du travail en équipe
Un management de proximité
De nombreuses formations/certifications

Contexte
Un de nos clients, un acteur majeur de la cosmétique dans le monde, dispose actuellement de nombreuses données dans un Datawarehouse.
90% des données sont alimentées depuis les systèmes opérationnels via un ETL historique , les 10% avec un autre. L'ETL principal n'étant plus maintenu par l'éditeur, la stratégie de l'entreprise à moyen terme est de l'abandonner, mais le choix de l'outil cible n'est pas arrêté.
Dans ce cadre, notre client souhaite effectuer des tests avancés sur différents produits du marché.

Sujet du stage
Même si à ce jour la liste des outils à utiliser n'est pas arrêtée, il s'agira de challenger les ETL du marché.
Lors de ce stage, vous serez amené à :
Comprendre et documenter les fonctionnalités de chaque produit dans ses différentes versions
Évaluer les avantages et les inconvénients de chacun d'entre eux par rapport au contexte spécifique de notre client (SGBD sources et destination, alimentation des données sur 24h, forte volumétrie…)
Comprendre et requêter les données du datawarehouse, sur de nombreux domaines différents : ventes, budgets, campagnes marketing, stocks
Réaliser des maquettes à taille réelle des alimentations actuelles avec chacun des produits choisis
Synthétiser les résultats, ce qui permettra de choisir l'outil cible par la suite.

Le stage se déroulera dans les locaux de VISEO sur une période de 5 à 6 mois.

Prérequis techniques :
SQL
Modélisation
Talend
D'autres ETL du marché

Votre profil
Le stagiaire sera capable d'appliquer les connaissances acquises lors de sa formation.
Autonome, rigoureux, et curieux, doté de qualités rédactionnelles, relationnelles et du sens du service.
JJkHtVUZbO
il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",03/10/2019,BI,Toulouse,14/10/2019,vjk=d50b7d98a4812b8e,vide,stage
CONSULTANT(E) TECHNICO FONCTIONNEL(LE) BI H/F,AKKA TECHNOLOGIES,Toulouse (31),vide,"Toulouse (31)
Temps plein, CDI
Dans le cadre du développement de ses activités, AKKA Group recherche un(e) Consultant(e) Technico Fonctionnel(le) BI (H/F).

A ce titre, vous avez en charge la réalisation et la mise en oeuvre des KPI de reporting opérationnels autour des métiers de la logistique, de la production ou de la supply chain.

Pour mener à bien cette mission, vos principales activités reposent sur :

_ La création d’une base de données

_ L’analyse des données collectées

_ La réalisation d’un projet de maintenance 4.0

_ La conception et le développement sur la plateforme SKYWISE.

Diplômé(e) d’une école d’Ingénieur ou de formation équivalente Bac+5, vous justifiez d’une première expérience réussie (stage inclus) sur un poste similaire dans le domaine aéronautique. Vous êtes à l’aise avec la réalisation de reporting / dashboarding via la plateforme SKYWISE et avez des connaissances dans le domaine des systèmes embarqués.

De plus, une maitrise des langages de programmation PYTHON, SQL, C++ ainsi que JAVASCRIPT, PysPark, LabView est un plus.

Quelle que soit votre expertise métier, vous avez une personnalité de terrain, le goût du challenge et appréciez les défis techniques. Vous disposez d’une faculté à vous intégrer rapidement au sein d’une équipe projet et êtes très attentif(ve) à la satisfaction du client. Votre esprit critique, votre capacité à être innovant(e) dans les solutions proposées font la différence.

AKKA Group accompagne ses clients dans la mondialisation de leurs projets, aussi un anglais courant est requis pour l’ensemble de nos collaborateurs.
A compétences égales, le poste est ouvert aux personnes en situation de handicap.

Rejoindre AKKA Group, c'est évoluer dans les domaines qui vous passionnent, développer vos compétences, avec la possibilité d'évoluer sur différents secteurs, dans un cadre qui favorise les initiatives individuelles ; votre rôle s’inscrit dans un véritable projet d'entreprise !
il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",03/10/2019,BI,Toulouse,14/10/2019,vjk=25c273f229b52225,vide,cdi
