Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Intégrateur système Big Data H/F,CS Communication & Systemes,Toulouse (31),vide,"Toulouse (31)
CS est un acteur majeur de la conception, de l'intégration et de l'exploitation de systèmes critiques.
Le département Payload Data & Applications (PDA), au sein de la Business Unit Espace, répond aux besoins exprimés par ses clients du secteur spatial en intégrant au cœur d'un même système les informations issues des technologies spatiales d'observation de la terre, de télécommunications, de collecte et de localisation, enrichies notamment d'enquêtes terrain et de données météorologiques.
Afin de renforcer notre équipe, nous recherchons un Intégrateur système Big Data (H/F).
Au sein de ce département, vous aurez pour mission la migration et l'intégration de systèmes informatiques dans des environnements Cloud s'appuyant sur les technologies BigData.
Cela consistera notamment à porter des chaines de traitement et d'observation de la terre vers une plateforme OpenStack.
Vous apporterez votre expérience sur la mise en œuvre d'une infrastructure intégrant une orchestration de docker (type Mesos/Marathon), la gestion d'Object Store et la mise en place de Message Queue et micro-services.
Maîtrisant le concept de développement Agile, vous proposerez des solutions d'implémentation en vous appuyant sur les principes de DevOps et de systèmes d'intégration continue.
Ingénieur de formation ou équivalent universitaire (BAC+5), vous bénéficiez d'au moins 5 ans d'expérience sur un poste similaire.
Des compétences dans les domaines suivants sont nécessaires :
Intégration de système et support applicatif;
Architecture cloud (openstack, docker, mesos/marathon, yarn, spark);
Une expérience dans les domaines suivants serait un plus :
Administration système sous Linux
Administration de Cluster HPC
Méthode Agile (SCRUM)
Intégration continue (Jenkins, git, nexus) Compétence métier
Segments sols satellite
Traitement d'images et production de données en masse.

En tant qu'interlocuteur privilégié, vous avez une certaine capacité à assurer l'interface technique face au client.
Rigoureux et autonome, vous appréciez le travail en équipe.
Un anglais technique est requis.
WebEngineering - il y a 12 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Big_data,Toulouse,16/10/2019,vjk=a48743963f94ad51,vide,vide
Intégrateur système Big Data H/F,CS Communication & Systèmes,Toulouse (31),vide,"Toulouse (31)
CDI
DESCRIPTION DE L'OFFRE
Le département Payload Data & Applications (PDA), au sein de la Business Unit Espace, répond aux besoins exprimés par ses clients du secteur spatial en intégrant au cœur d’un même système les informations issues des technologies spatiales d'observation de la terre, de télécommunications, de collecte et de localisation, enrichies notamment d'enquêtes terrain et de données météorologiques.

Afin de renforcer notre équipe, nous recherchons un Intégrateur système Big Data (H/F).

Au sein de ce département, vous aurez pour mission la migration et l’intégration de systèmes informatiques dans des environnements Cloud s’appuyant sur les technologies BigData.
Cela consistera notamment à porter des chaines de traitement et d'observation de la terre vers une plateforme OpenStack.

Vous apporterez votre expérience sur la mise en œuvre d’une infrastructure intégrant une orchestration de docker (type Mesos/Marathon), la gestion d’Object Store et la mise en place de Message Queue et micro-services.
Maîtrisant le concept de développement Agile, vous proposerez des solutions d’implémentation en vous appuyant sur les principes de DevOps et de systèmes d’intégration continue.

PROFIL REQUIS
Ingénieur de formation ou équivalent universitaire (BAC+5), vous bénéficiez d'au moins 5 ans d'expérience sur un poste similaire.
Des compétences dans les domaines suivants sont nécessaires :
Intégration de système et support applicatif;
Architecture cloud (openstack, docker, mesos/marathon, yarn, spark);

Une expérience dans les domaines suivants serait un plus :
Administration système sous Linux
Administration de Cluster HPC
Méthode Agile (SCRUM)
Intégration continue (Jenkins, git, nexus) Compétence métier
Segments sols satellite
Traitement d’images et production de données en masse.

En tant qu’interlocuteur privilégié, vous avez une certaine capacité à assurer l’interface technique face au client.
Rigoureux et autonome, vous appréciez le travail en équipe.
Un anglais technique est requis.
il y a 14 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Big_data,Toulouse,16/10/2019,vjk=5ce43bf8368504f1,vide,cdi
Ingénieur Etudes et Développement Java / Big Data F/H,CTS Corporate,Toulouse (31),vide,"Toulouse (31)
CDI
Au sein des équipes projets, vous intervenez sur des missions riches et variées en accord avec les exigences et le contexte projet :

Vos missions seront :
l'analyse des besoins du client,
la rédaction des spécifications générales ou détaillées,
la conception,
le développement,
l'intégration et tests des développements effectués
Le poste est à pourvoir sur Toulouse.
Profil recherché Issu(e) d'une formation Bac+2 Informatique minimum, vous disposez au moins d'une expérience professionnelle significative (2 ans minimum) sur un poste similaire.


Azure Cloud

REST API ( JSON)

Scylla ( ou MariaDB )

Java, Python, Scala

Kafka

Kubernetes

Agile/ Scrum

NUnit

GIT

NodeJS

Notions des concepts d'intégration continue

Doté(e) d'une bonne culture IT et drivé(e) par le défi technologique, vous êtes passionné(e) par l'innovation et les évolutions IT.

Vos qualités relationnelles seront garantes de votre intégration dans les équipes. Vous êtes curieux(se), rigoureux(se) et motivé(e) et vous avez la volonté d'apprendre et partager sur des projets à forte valeur ajoutée

Rejoignez nous!
Entreprise Issue sur un regroupement des Bureaux d'Etudes de PME industrielles, CTS intervient sur l'ensemble du cycle de vie des projets de ses partenaires et clients.

CTS s'appuie sur des équipes mobiles et structurées dotées de solides compétences en ingénierie mécanique électrique et électronique, process industriel, gestion de projet et systèmes d'informations. Forgé par son expérience au sein de grands programmes industriels, et à l'épreuve de la réactivité nécessaire des PME en ingénierie et production, le groupe est capable de répondre aux besoins de ses clients en solutions globales.

CTS a pour vocation de rassembler l'ensemble des compétences indispensables à la réalisation de programmes de grande envergure aussi bien sur le territoire français qu'à l'international.

Nous intervenons au travers de nos équipes auprès des grands donneurs d'ordres dans les domaines de l'Energie, l'Aéronautique, l'automobile, Informatique et Telecom sur des programmes variés.
Apec.fr - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Big_data,Toulouse,16/10/2019,vjk=075d83fae5ff4231,vide,cdi
Stage - Monitoring d'une infrastructure Big Data (H/F),Thales Group,Toulouse (31),vide,"Toulouse (31)
Stage
QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
Le site de Toulouse-Labège développe, en tant que CESTI - Centre d’Évaluation de la Sécurité des Technologies de l’Information agréé par l’ANSSI - et dans le cadre d’un partenariat de plus de 20 ans avec le CNES, une offre intégrée d’expertise et d’évaluation qui s’étend des composants aux produits de sécurité matériels et/ou logiciels, de la carte électronique au système d’information. De plus, nos équipes de l’activité Systèmes d’information critiques et cybersécurité fournissent des services et des solutions globales optimisant la performance, la résilience et la sécurité des systèmes d’information afin de faire face aux ruptures technologiques et aux cybermenaces.
Dans le cadre de nos projets du domaine spatial, nous fournissons à nos clients des solutions clés en main innovantes reposant sur les technologies les plus récentes.
L'équipe Big Computing recherche un/une stagiaire - Monitoring d'une infrastructure Big Data (H/F).
Basé(e) à Labège (31).
QUI ÊTES-VOUS ?
Étudiant(e) en dernière année d’une école d’ingénieur ou de la faculté (BAC+5), spécialisé en informatique, vous possédez de bonnes compétences dans les produits de supervision d’infrastructures tels que Elasticsearch/Kibana/Kibana/Metricbeat, Nagios/Zabbix/Ganglia/Zabbix/Ganglia ?
Vous êtes curieux (se) dans les nouvelles technologies ?
Vous êtes autonome et rigoureux (se) ?
Alors ce stage est fait pour vous!
La connaissance des infrastructures Big Data est un plus.
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Alors que les architectures IT se complexifient, il devient primordial de fournir des informations pertinentes et adaptées sur l’état de l’infrastructure.
Dans ce cadre, Thales Services souhaite étudier les différentes solutions open source telles que Elasticsearch/Metricbeat, Nagios, Zabbix, Ganglia, …permettant de superviser les différents paramètres relatifs à la performance de telles infrastructures, telles que Elasticsearc/Metribeat ou Nagios, puis de les comparer entre elles.
L’objectif du stage est de mettre en œuvre une solution configurable et réutilisable de monitoring d’infrastructure dans le cadre d’un projet du domaine spatial.
A ce titre, vos missions seront les suivantes:
définir les sondes de mesure et les graphiques pertinents pour la surveillance de la performance
d'effectuer un état des lieux de l'existant
de mettre en œuvre ces différentes approches solutions puis de les comparer les unes par rapport aux autres.

La mise en œuvre de la solution se basera sur l’architecture de cible pour déployer l’outillage est une infrastructure existante dont les principales technologies sont Kafka, Storm, voire Spark.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Thales - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Big_data,Toulouse,16/10/2019,vjk=30deb5213b8c1bb2,vide,stage
Développeur Talend / Big Data / BI (H/F),EOTIM,Toulouse (31),vide,"Toulouse (31)
CDI
Notre client, spécialisé dans la protection de données, souhaite recruter un(e) Développeur(euse) Talendafin de rejoindre l’équipe chargée des échanges de données et du maintien opérationnel du SI décisionnel de son pôle édition de logiciel.
Vous serez en charge d’évaluer la difficulté des projets et de réaliser les spécifications et évaluations de charges.
Vous devrez être force de proposition concernant la conception tout en tenant compte des SI et des normes en vigueur.
Vous réaliserez les développements et effectuerez les tests afin d’apporter les corrections nécessaires au bon fonctionnement du produit.
PROFIL REQUIS
Vous maîtrisez Talend, Postgre SQL, Hive, Spark Hbase et HDFS.
Vous avez également des compétences spécifiques au Big Data :
Java, Scala ou Python
Hadoop, Apache (Hive, Spark, Kafka)
Bases de données noSQL(MongoDB, hBase, Druid) et relationnelles (DB2, MySQL, mariaDB…)
Titulaire d’un Bac+3 minimum, vous avez au moins 3 ans d’expérience dont 18 mois sur Talend.
La conception d’interfaces, la réalisation de développements et le requêtage SQL n’ont pas de secrets pour vous.
Vous savez rédiger des documents techniques mais aussi des documents utilisateurs.
Vous êtes à l’aise en Anglais (écrit et oral).
Type d'emploi : CDI
il y a 4 jours
Signaler cette offre d'emploi",12/10/2019,Big_data,Toulouse,16/10/2019,vjk=9b126a2ba3b4c182,vide,cdi
Stagiaire - Développement Big Data – Données Réservation Cli...,Air France-KLM,Toulouse (31),vide,"Toulouse (31)
Stage
Rattaché(e) au sein de l’équipe AGILE SCRUM en charge du produit PNR et sous la responsabilité de votre maître de stage, votre principale missio consistera à:
Travailler en lien permanent avec les utilisateurs de la direction commerciale AF ou KLM afin de proposer les meilleures solutions, les plus innovantes et à fortes valeurs ajoutées.

Suivre de bout en bout les développements : analyse, conception, tests et déploiement.

En pratique, après avoir compris et interprété le besoin des utilisateurs :
Capter dse données et reformatage pour mise à disposition dans des bases dédiées : contrôle de la bonne alimentation, corrections, transformations, etc.

Utiliser une plateforme de développement complète regroupant les outils de la suite Atlassian comme Bamboo pour l'intégration continue, Confluence pour la documentation et BitBucket (Git) pour la gestion de version.

Lancer des exécutables sur une distribution Hadoop (HDP sur unix) mettant notamment en œuvre les composants HBase pour le stockage en base non-relationnelle distribuée et Kafka pour du temps réel.

Architecture technique du produit PNR :
Teradata (SQL, UNIX),
Hadoop, Spark Java, HDFS,
Outil de restitution : QlikView/ SAP BI4 /Spotfire .

Profil recherché
Vous êtes étudiant(e) en dernière année d’Ecole d’ingénieur (Bac+5 )/ Master II dans le domaine de l'informatique et vous recherchez un stage d’une durée de 6 mois.

Vous êtes intéressé(e) par le côté opérationnel et gestion de production d’une compagnie aérienne.

Rigoureux(se), autonome, vous avez de bonnes capacités d’analyse et de synthèse, et de bonnes aptitudes relationnelles.

Vous êtes attiré(e) par les systèmes d’information.

Connaissances souhaitées :
Développement Java & Spark
Développement et architecture BigData
Requêtage SQL
Unix, scripting Unix
Anglais lu / écrit et parlé (documentation technique en Anglais + échanges courants avec KLM)

Aptitudes recherchées :
Très bonne communication orale et écrite, très bon relationnel
Esprit d’analyse et de synthèse
Esprit d’équipe
Autonomie, organisation
Créativité
Ouverture d’esprit

Type de contrat
Convention de stage
Durée du contrat (mois) :
6 mois
Date de prise de poste souhaitée
02/03/2020
Temps partiel possible
Non
Type d'horaires
Administratif
Profil candidat
Spécialisation
SYSTEMES D'INFORMATION
Niveau d'études min. requis
Bac + 5 et plus / 3ème année grande école
Langue
Anglais (3 - Confirmé)
Localisation du poste
Localisation du poste
France, Occitanie, Haute Garonne (31)
Site
5 AVENUE MAXWELL - 31109 TOULOUSE CEDEX 9
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Big_data,Toulouse,16/10/2019,vjk=e4cfc22b52afcebe,vide,stage
Stagiaire – Data Engineer Big Data domaine Commercial H/F,Air France-KLM,Toulouse (31),vide,"Toulouse (31)
Stage
Rattaché(e) au service Center BI et sous la responsabilité de
votre maître de stage vos principales missions porteront sur plusieurs sujets de stages à l’étude, le choix dépendant des compétences du/de la postulant(e), et des priorités du métier qui seront définies début 2020.
Néanmoins tous les sujets auront pour point commun la mise en œuvre de la plateforme BigData pour l’analyse des données Commercial Clients Firmes et Agences, pour enrichir :
Projet Sword : une application fournissant des rapports de vente harmonisés à tous les Directeurs de zone Air France/KLM, aux Directeurs Généraux ainsi qu’à la Planification Commerciale en leur donnant une vue synthétique de leurs performances et de leurs parts de marché. Manipulation de données de domaines fonctionnels très variés (Ventes, Clients Firmes, Parts de marché, Prévisions de réservations…). Utilisation de la méthode Agile Scrum pour le suivi de projet.

Projet Impact : collecte et analyse des données InFlight media Entertainment (IFE) pour fournir à la Direction Marketing, une vue globale de l’utilisation des médias disponibles à bord des avions et ainsi maîtriser le budget annuel.

Vous serez amené(e) à utiliser les outils innovants du Big Data (Java, Spark, Hadoop), des bases de données Sql (Teradata, Oracle), des solutions de visualisation statique (SAP BI4) et dynamique (Spotfire).

Une grande autonomie sera nécessaire dans la réalisation de ce projet, tout en ayant à disposition les contacts utiles en support et conseil.

Les marges de manœuvres seront importantes, avec une place laissée à l’initiative, aux possibilités de propositions supplémentaires tant techniques que fonctionnelles.

Profil recherché
Vous êtes étudiant(e) en dernière année d'Ecole d'Ingénieur (Bac+5) ou en Master II à l'Université dans le domaine de l’informatique et vous recherchez un stage pour une durée de 6 mois.

Vous avez un gout très prononcé pour les technologies du développement.

Une première expérience académique dans le domaine de la business intelligence en général et des technologies Big Data serait un plus.

Des compétences techniques approfondies seront requises en Java et SQL.

Une bonne aisance en anglais sera également indispensable pour s’intégrer dans un contexte multi-culturel AFKL.

Curiosité, dynamisme, autonomie, sont également des qualités requises pour la réussite de ce stage.

Conformément aux engagements pris par Air France dans son accord 2018-2020 en faveur de l’emploi des personnes en situation de handicap, nos contrats sont ouverts à tous.
Type de contrat
Convention de stage
Durée du contrat (mois) :
6 mois
Date de prise de poste souhaitée
03/02/2020
Temps partiel possible
Non
Type d'horaires
Administratif
Profil candidat
Spécialisation
SYSTEMES D'INFORMATION
Niveau d'études min. requis
Bac + 5 et plus / 3ème année grande école
Langue
Anglais (3 - Confirmé)
Localisation du poste
Localisation du poste
France, Occitanie, Haute Garonne (31)
Site
5 AVENUE MAXWELL - 31109 TOULOUSE CEDEX 9
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Big_data,Toulouse,16/10/2019,vjk=b912e28a0a0e819b,vide,stage
Big Data – Analyse de données d’essais H/F,Groupe SII,Toulouse (31),vide,"Toulouse (31)
Description du poste :
Au sein du Département Aéronautique dans l’équipe Bureau d’études Commandes de vol, le/la stagiaire devra mettre au point un environnement et un algorithme de pré-analyse des résultats pour optimiser les campagnes de validation formelle.

L’objectif de ce stage est d’optimiser les campagnes de validation formelle sur moyens de tests simulés et réels.
Vos missions seront :
Collecter, comprendre et analyser les données issues des essais ;
Réalisation d’un état de l’art des solutions possibles ;
Réalisation d’un outil adapté au besoin des équipes ;
Promouvoir ses études, travaux et résultats auprès de l’entreprise.
Profil:
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Vous êtes issu(e) d’une Ecole d’Ingénieur en dernière année d’études ou d’une formation universitaire Bac +5 avec une spécialité en informatique.
Des connaissances en Big data sont nécessaires et des connaissances du milieu aéronautique constituent des plus.
Le(la) candidat(e) idéal(e) dispose de compétences ou notions sur les techniques suivantes:
Algorithmes de Data Mining ;
Gestion de Base de données ;
Langage de programmation orienté Data Science tels que R ou Python ;
Systèmes avioniques.
Vous êtes autonome, proactif(ve) et rigoureux(se). Vous aimez le travail en équipe. Vous disposez de la pédagogie nécessaire pour expliquer et vulgariser ses travaux auprès d’interlocuteurs Métier.
Référence de l’annonce :
DST/ASE/BIGDATA
Expérience:
Indifférent
Qualification:
Consultant
Rémunération:

POSTULER
il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Big_data,Toulouse,16/10/2019,vjk=1db4455f5026fcec,vide,stage
Big Data – Etude ADS-B H/F,Groupe SII,Toulouse (31),vide,"Toulouse (31)
Description du poste :
Dans notre Département Aéronautique, vous interviendrez au sein du projet dans les mêmes conditions qu’un ingénieur SII. Vous serez encadré(e) par un référent qui est membre de l’équipe projet et travaillerez sous l’autorité du Chef de Projet. Votre référent assurera votre intégration dans l’équipe et vous accompagnera pendant toute la durée de votre stage.
L’objectif de ce stage est de réaliser une étude de faisabilité sur l’analyse statistique de données ADS-B (données émises par le trafic aérien). Vous accompagnerez les équipes techniques dans la valorisation de leurs activités avec des solutions orientées études et réalisation. Pendant la durée du stage, vous réaliserez les activités listées ci-dessous :
Décoder et formater des données issues d’un récepteur ADS-B ;
Définir l’architecture et le dimensionnement d’une base de données permettant de stocker ces données ;
Chiffrer l’installation d’un serveur pour cette base de données ;
Réaliser la base de données ;
Développer et mettre en place un outil de traitement des données ;
Réaliser une étude sur le trafic aérien de la région toulousaine ;
Promouvoir ses études, travaux et résultats auprès de l’entreprise.
Profil:
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Vous êtes issu(e) d’une école d’ingénieur ou d’une université en dernière année d’études avec une majeure en Data Science.
Des connaissances du milieu aéronautique constituent un plus.
Vous êtes autonome, proactif(ve) et rigoureux(se). Vous aimez le travail en équipe. Vous disposez de la pédagogie nécessaire pour expliquer et vulgariser ses travaux auprès d’interlocuteurs Métier.
Référence de l’annonce :
DST/ASE/BIGDATAADS
Expérience:
Indifférent
Qualification:
Consultant
Rémunération:

POSTULER
il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",08/10/2019,Big_data,Toulouse,16/10/2019,vjk=d812b660141b9f8a,vide,stage
"POSTE EN STAGE, DEVELOPPEUR LOGICIEL BIG DATA (h/f)",Airbus,Toulouse (31),vide,"Toulouse (31)
Stage
AIRBUS SAS
Airbus est un leader mondial de l'aéronautique, de l'espace et des services associés. En 2018, le groupe a publié un chiffre d'affaires de 64 milliards d'euros, avec un effectif d'environ 134 000 personnes. Airbus propose la famille d'avions de ligne la plus complète qui soit. Airbus est, en outre, le leader européen dans le domaine des avions de mission, de ravitaillement en vol, de combat, et de transport. Par ailleurs, l'entreprise est également un leader de l'industrie spatiale. Enfin, dans le domaine des hélicoptères, Airbus propose les solutions civiles et militaires les plus performantes au monde.

Nos équipes travaillent avec passion et détermination pour faire du monde un endroit plus connecté, plus sûr et plus intelligent. Fiers de notre travail, nous nous appuyons sur l'expertise et l'expérience de chacun pour atteindre l'excellence. Notre diversité et culture du travail en équipe nous poussent à accomplir l'extraordinaire - sur terre, dans le ciel et dans l'espace.
Description de l'offre
Descriptif du poste:
Et si VOTRE aventure commençait avec NOUS !
Dans le cadre d'un cursus scolaire en formation initiale, vous recherchez un , d'une durée allant de 6 mois maximum, vous permettant de valider votre année.
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Une offre de stage en Développement Logiciel Big Data (h/f) vient de s'ouvrir au sein d’Airbus sur notre site de Toulouse – Site Copernic.
Ce stage est à pourvoir à partir du mois de Janvier 2020 (date sujette à une certaine flexibilité)
Vous rejoindrez le département «Data Govenance for Support and Services ».
Dans le cadre de Skywise, nous capturons les informations de configuration de l'avion à partir des systèmes d'information des compagnies aériennes, et même de l'avion lui-même. Nous devons comparer ces informations avec la configuration de l'avion telle qu'elle est connue par Airbus.
L'objectif du stage serait de développer des outils dans la Fonderie Skywise afin de :
Comparer les données de configuration d'aéronefs provenant de différentes sources
Faciliter et soutenir l'analyse des divergences identifiées
Tâches et responsabilités :
Vous serez sous la responsabilité d’un manager qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.
Dans ce contexte, vos principales activités seront les suivantes :
Analyser des données de Configuration Avion provenant de différentes sources d’un point de vue fonctionnel
Développer des outils d’analyse de ces données dans la plate-forme Skywise
Profil recherché et Compétences requises:
Vous préparez un diplôme de niveau Bac +5, en formation informatique ou équivalent, et vous avez les compétences suivantes :
Anglais : Niveau intermédiaire
Français : Niveau intermédiaire
Vous avez une bonne connaissance des statistiques, de la technologie des bases de données, de la modélisation des données.
Vous êtes capable d'utiliser efficacement des outils tels que Python
Un vif intérêt pour le Big Data, le métier aéronautique, le travail dans un environnement international, challenging techniquement, orienté vers le client.
Savoir-être :
Rigoureux (se), curieux (se) et autonome
Doté (e) d’un sens relationnel et bonne capacité de communication
Capacité d'intégration dans une équipe et souplesse d'adaptation
Aptitude d’analyse et de synthèse
et pourvu(e) d’esprit d’équipe.
Vous pourrez, selon les offres proposées, être amené(e) à vous déplacer.
Si votre profil retient notre attention, vous serez invité à réaliser un entretien vidéo au cours duquel vous aurez quelques minutes pour nous convaincre. Par la suite, votre candidature pourra être proposée aux managers.
Si la perspective de rejoindre notre Groupe innovant vous motive ? N’hésitez pas ! Postulez en ligne ! www.airbus.com/careers

Ce poste exige une connaissance des risques potentiels de non-conformité. Le/la titulaire s’engage à agir avec intégrité, fondement du succès, de la réputation et de la croissance durable de la Société.

En soumettant votre CV ou votre candidature, vous autorisez Airbus à utiliser et stocker des informations vous concernant à des fins de suivi de votre candidature ou de futurs emplois. Ces informations ne seront utilisées que par Airbus.
Airbus s’engage pour la Diversité. Nous encourageons toutes les candidatures indépendamment de l’origine sociale et culturelle, de l’âge, du genre, du handicap, de l’orientation sexuelle ou des croyances religieuses.
il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",03/10/2019,Big_data,Toulouse,16/10/2019,vjk=87c2dfd87f5c0c63,vide,stage
