Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Data Scientist H/F,EXPLEO,Haute-Garonne,vide,"Haute-Garonne
CDI
Présentation de l'entreprise
Qui sommes-nous ?
Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent. Expleo est présent dans tous les secteurs à forte intensité technologique qui contribuent à une société plus connectée, plus durable et plus sûre. Nous nous appuyons sur une forte expertise sectorielle et accompagnons nos clients sur l'ensemble de la chaîne de valeur : conseil et business agility, conception, production et services post développement, management de la qualité. Nos 15 000 collaborateurs interviennent dans plus de 25 pays et nous avons réalisé un chiffre d'affaires de 1,1 milliard d'euros en 2018.
Mission
Partenaire privilégié de l’industrie aéronautique, nous accompagnons le secteur dans les
défis de sa transformation digitale. Sur l’ensemble de cycle de vie d’un produit ou en
prestation globale d’ingénierie pour des projets critiques et complexes.
Dans le cadre du développement de nos activités, nous recherchons un Data Scientist
H/F pour participer au déploiement de cette discipline sur l'ensemble de nos métiers.
Vous intégrez l'équipe Digitalisation d'Expleo Toulouse qui réalise de multiples projets de
data science dans l'ensemble des secteurs industriels. Dans le cadre de votre poste,
vous aurez l'opportunité de travailler sur des sujets variés : maintenance prédictive,
analyse de root cause, modélisation complexe et d'autres sujets d'études dans un
contexte big data.
Nous vous proposons de contribuer à cette démarche en accompagnant notre équipe sur
ces sujets innovants.
Vos missions principales seront les suivantes :
Analyse des besoins clients et accompagnement dans leurs transformations Digitales
Communiquer avec des experts métiers issue de domaines variés.
Acquisition et traitement de données big data (data engineering)
Développement de Dashboard pour extraire la valeur ajoutée de ces données (data
analyste)
S'appuyer sur vos compétences mathématiques et statistiques pour caractériser,
modéliser et prédire des phénomènes complexe.
Développement et optimisation d'algorithmes de machine learning et/ou deep learning
en s'appuyant sur des compétences informatique (Python et Spark).
Etre acteur de la veille technologique (salon spécialisé, meeting, ...) et être force de
proposition dans votre approche.
Profil recherché
Vous êtes issu(e) d'une formation en mathématique/statistique/informatique de niveau
Bac+5 et vous disposez de bonnes connaissances en Python. Votre niveau d'anglais est intermédiaire à l'écrit comme à l'oral.
Vous ferez preuve d'autonomie, de curiosité, de proactivité et vous serez capable d'interagir avec des métiers/domaines variés. La communication sera également un élément-clé de votre poste.

Vous êtes autonome sur vos tâches confiées et rigoureux, et vous saurez vous adapter aux différents challenges que nous pourrons vous proposer.

Poste à pourvoir en CDI à Toulouse
Informations complémentaires
""A compétences égales la priorité sera donnée aux personnes ayant un statut de travailleur handicapé""
Missionhandicap.com - il y a 8 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_scientist,Toulouse,16/10/2019,vjk=300883b5fac355f3,vide,cdi
Stage en deep learning H/F,Altran,Blagnac (31),vide,"Blagnac (31)
Stage
Au sein de l'entité Digital Engineering, nous recrutons un stagiaire Deep Learning spécialisé dans le traitement de l’image.
Vos responsabilités
Vous contribuerez à la mise en place d’analyses de données structurées en tirant profit des technologies de Deep Learning et d’Image Processing et aurez pour mission de :
Recueillir, traiter et stocker des données issues de captures vidéos à l’aide de la librairie OpenCV.
Concevoir, développer, tester et déployer des algorithmes d’Intelligence Artificielle à l’aide des librairies Keras et Scikit-Learn
Promouvoir au sein de l’entité les bonnes pratiques en Data Science, calcul statistique et modélisation prédictive
Votre profil
Etudiant(e) en école d’Ingénieur ou de formation équivalente Bac+5, vous êtes issu(e) d’une formation orientée analyse de données avec une première expérience dans le domaine du Deep Learning.
Vous possédez les compétences suivantes :
Maîtrise du langage Python.
Analyse statistique et quantitative
Traitement de l’image à l’aide d’OpenCV (Python)
Deep Learning: réseaux de neurones, Keras
Idéalement une connaissance théorique des méthodes de classification et de reconnaissance d’image.
il y a 13 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_scientist,Toulouse,16/10/2019,vjk=616e6cefeab70712,vide,stage
Data Scientist for Finance (m/f),Airbus,Toulouse (31),vide,"Toulouse (31)
AIRBUS SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
Contact :
.Please apply on line for this vacancy on line at our careers site (www.jobs.airbus.com) with your CV and cover letter attached.
By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.

Description of the job :
Join the Airbus Finance community as Data Scientist and contribute to our digital transformation!

Are you willing to discover the Aerospace Industry?

Do you want to play a proactive role within the Airbus Finance team to strengthen our data science capabilities?

Do you have a strong background in applied statistics and data analysis in order to help us build predictive scenarios for key projects in Airbus Finance?

Are you motivated to dive into the Airbus data lakes, structure databases and create use cases together with our Finance professionals?

Do you see yourself living and driving the implementation of flat teams and collaborative platforms as you will need to translate business requirements into actionable algorithms?

If “Yes” is the answer to the above questions, let’s apply for this job and make your case!

Show us your appetite for innovation, we are looking for inspiring candidates to inspire others!





Task & accountabilities :
You will join strategic projects within Finance. In this frame, your tasks will be allocated by the Finance Board.

Required skills :
You will have the following skills:

Data analysis skills, applied statistics, data mining
Inverse problems
Interpolation methods
Data assimilation
Experiment designing
Computer science: , Python, R, Matlab, Scilab
Programming: OCaml, VBA, C/C++
Ability and willingness to integrate a team with diverse profiles and objectives
Languages skills: Negotiation level of English.






This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,Data_scientist,Toulouse,16/10/2019,vjk=77ba83311a619a64,vide,vide
STAGE/INTERNSHIP- Data scientist -Qualité & production (f/h),Airbus,Toulouse (31),vide,"Toulouse (31)
Temps plein, Stage
Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
Et si VOTRE aventure commençait avec NOUS !
Dans le cadre d'un cursus scolaire en formation initiale, vous recherchez un stage obligatoire ou à intégrer dans une année de césure, d'une durée de 6 mois, vous permettant de valider votre année.
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Une offre de stage en Data Scientist Qualité & Production (h/f) vient de s'ouvrir au sein de l’usine Airbus Saint-Eloi à Toulouse.
Ce stage est à pourvoir à partir du début d'année 2020.(date flexible)
Vous rejoindrez le pole digital du département Qualité de l’usine en charge définir la stratégie et de déployer les nouvelles technologies au sein des équipes Qualité.
Le stage aura pour objet d’apporter une contribution significative au projet « Prédiction de la Qualité » destiné à réduire à la fois les temps d’inspection du produit et les coûts de production.
Vous ferez partie intégrante de l’équipe projet et contribuerez à toutes ses phases, de la connectivité à la sélection et la validation de modèle prédictif.
Tâches et responsabilités :
Vous serez sous la responsabilité d’un chef de projet qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.
Dans ce contexte, vos principales activités seront de contribuer au projet « Prédiction de la Qualité » en:
identifiant les paramètres clé des procédés de production parmi les données collectées sur les moyens industriels de l’usine
définissant des modèles prédictifs dans le but d’améliorer la qualité
organisant le suivi du contrôle des paramètres des processus clés (SPC)
Profil recherché et Compétences requises:
Vous préparez un diplôme de niveau Bac + 5, en Ingénierie ou équivalent, avec une spécialisation en Data Science et vous avez les compétences suivantes :
Anglais : INTERMEDIAIRE
Français : AVANCE
Un vif intérêt pour le monde industriel et l’exploitation des données
Connaissance de différentes techniques de machine learning
Une maitrise des outils tels que python, R
Savoir-être :
Rigoureux (se), curieux (se) et autonome
Doté (e) d’un sens relationnel et bonne capacité de communication
Aptitude d’analyse et de synthèse
et pourvu(e) d’esprit d’équipe.
Enfin des connaissances en gestion de projet seraient un plus.
Vous pourrez, selon les offres proposées, être amené(e) à vous déplacer.
Si votre profil retient notre attention, vous serez invité à réaliser un entretien vidéo au cours duquel vous aurez quelques minutes pour nous convaincre. Par la suite, votre candidature pourra être proposée aux managers.
Si la perspective de rejoindre notre Groupe innovant vous motive ?
N’hésitez pas ! Postulez en ligne ! www.airbus.com/careers
Predictive Maintenance and Quality project has to the ambition to identify key process parameters from machine data. By putting those parameters under control (SPC), product inspections and production lead time will be reduced. Part of the project team, the candidate will contribute to all steps of the project, from machine connectivity to machine learning model selection and validation.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,Data_scientist,Toulouse,16/10/2019,vjk=4086fe87e4ed4300,vide,stage
Ingénieur Data Scientist F/H,Aérocontact,Toulouse (31),vide,"Toulouse (31)
CDI
Le pôle de digitalisation d'Alten réalise des projets d'amélioration continue sur des thématiques Big Data, BI et Qualité principalement pour l'aéronautique.

En tant qu'Ingénieur Data Scientist, vous êtes intégré à une équipe passionnée et participez aux missions suivantes :

Identification des besoins clients pour les traduire en problématique data science (classification, anticipation, root cause analysis...)

Développement de la solution en passant par les étapes standards (identification et nettoyage des données aberrantes, modélisation...)

Apporter une réponse métier via la modélisation réalisée

Vous serez accompagné par nos ingénieurs expérimentés et évoluerez dans un environnement technique et agile. Vous serez en charge de la gestion de plannings multitâches ainsi que des reportings hebdomadaires.
Profil recherché Vous êtes diplômé d'École d'Ingénieur, de Commerce ou de Master, vous avez suivi une formation orientée en analyse de données, modélisation, statistiques.

Vous avez de bonnes compétences en Python/R. Des compétences en PySpark seraient appréciées.

Vous êtes passionné par l'univers aéronautique et l'analyse de données. Vous avez un bon niveau d'anglais vous permettant d'évoluer dans un contexte international, et êtes quelqu'un d'autonome avec de bonnes qualités relationnelles.

Vous faites preuve de capacité d'innovation, de compétences d'analyse et de synthèse et de vraies qualités tant relationnelles que rédactionnelles vous permettant d'éditer les documents nécessaires. Vous saurez assurer la confidentialité des projets que vous mènerez.

Vous fuyez la routine et souhaitez vous challenger ? Cette opportunité est faite pour vous !
Entreprise Aérocontact est le premier portail de recrutement aéronautique français.

52 000 nouvelles offres d'emploi par an

170 000 candidatures (1 toutes les 3 minutes)

plus de 96 000 profils disponibles dans la CVthèque

242 fiches métiers et 7 512 vidéos

210 000 visites par mois

130 000 visiteurs uniques par mois

1 000 000 de pages vues par mois

plus de 58 000 articles en ligne

La rubrique Emploi couvre l’ensemble des métiers de l’industrie aéronautique et spatiale, du transport aérien et de la défense.

Aérocontact est membre de l’Appei, l’Association des Professionnels pour la Promotion de l’Emploi sur Internet, qui regroupe les principaux sites emploi français.

Aérocontact fait également partie des sites sélectionnés par la Charte Net-Emploi délivrée par le Pôle Emploi (ANPE) et est partenaire de l’APEC.
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Data_scientist,Toulouse,16/10/2019,vjk=c800ce1843e1d582,vide,cdi
Senior Data Scientist contract role in Toulouse!,Linksap Europe Ltd,Toulouse (31),vide,"Toulouse (31)
CDD
Our client in Toulouse is looking for a Senior Data Scientist to work on a three year project. The candidate Must have experience working on sensor data as well as experience working with AI and machine learning based statistical model. Start: ASAPDuration: 2 - 3 years ProjectLocation: Toulouse, FranceLanguage: EnglishRate: Market If you are interested, please send your latest CV and we will call you to discuss further. Candidates MUST have a current EU passport or Valid work visa as we are unable to sponsor work permits.

I look forward to your response
CarieraNoua - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",14/10/2019,Data_scientist,Toulouse,16/10/2019,vjk=28554184224eeb53,senior,cdd
INGÉNIEUR DATA SCIENTIST (H/F),ALTEN,Toulouse (31),32 000 € - 45 000 € par an,"Toulouse (31)
CDI
32 000 € - 45 000 € par an
Le pôle de digitalisation d’Alten réalise des projets d’amélioration continue sur des thématiques Big Data, BI et Qualité principalement pour l'aéronautique.
En tant qu’Ingénieur Data Scientist, vous êtes intégré à une équipe passionnée et participez aux missions suivantes :
Identification des besoins clients pour les traduire en problématique data science (classification, anticipation, root cause analysis…)
Développement de la solution en passant par les étapes standards (identification et nettoyage des données aberrantes, modélisation…)
Apporter une réponse métier via la modélisation réalisée
Vous serez accompagné par nos ingénieurs expérimentés et évoluerez dans un environnement technique et agile. Vous serez en charge de la gestion de plannings multitâches ainsi que des reportings hebdomadaires.
Vous êtes diplômé d'École d’Ingénieur, de Commerce ou de Master, vous avez suivi une formation orientée en analyse de données, modélisation, statistiques.
Vous avez de bonnes compétences en Python/R. Des compétences en PySpark seraient appréciées.
Vous êtes passionné par l’univers aéronautique et l’analyse de données. Vous avez un bon niveau d’anglais vous permettant d’évoluer dans un contexte international, et êtes quelqu’un d’autonome avec de bonnes qualités relationnelles.
Vous faites preuve de capacité d’innovation, de compétences d’analyse et de synthèse et de vraies qualités tant relationnelles que rédactionnelles vous permettant d’éditer les documents nécessaires. Vous saurez assurer la confidentialité des projets que vous mènerez.
Vous fuyez la routine et souhaitez vous challenger ? Cette opportunité est faite pour vous !
Type d'emploi : CDI
Salaire : 32 000,00€ à 45 000,00€ /an
Expérience:
ingénieur data scientist (h/f) ou similaire: 1 an (Souhaité)
il y a 4 jours
Signaler cette offre d'emploi",12/10/2019,Data_scientist,Toulouse,16/10/2019,vjk=e708e72142a84333,vide,cdi
Robust human operator monitoring through signal processing a...,ISAE-SUPAERO,Toulouse (31),vide,"Toulouse (31)
Robust human operator monitoring through signal processing and machine learning applied to physiological features
Réf ABG-87896
Sujet de Thèse

11/10/2019
> 35 et < 45 K€ brut annuel

ISAE-SUPAERO
Lieu de travail
Toulouse - Occitanie - France
Intitulé du sujet
Robust human operator monitoring through signal processing and machine learning applied to physiological features
Champs scientifiques
Sciences de l’ingénieur
Biotechnologie
Science de la donnée (stockage, sécurité, mesure, analyse)
Description du sujet
Context
Although research on brain-computer interfaces (BCIs) has been increasing dramatically these recent years, passive BCIs, systems
that implicitly adapt to the operator based on his/her psychophysiological state, are still far from optimal in terms of accuracy. Yet they provide a means to perform operators’ online monitoring in risky settings (e.g. aeronautical context) which is not feasible with subjective and behavioral measurements. Moreover, they enable engineers to build closed-loop systems that not only monitor but take into account this psychophysiological state to modify the interaction and/or the task in order to increase both safety and performance.
The implementation of effective BCIs faces several issues including the following ones: i) The very nature of the signals
makes this problem particularly complex. Indeed, the signal-to-noise ratio is very low for physiological signals such as cerebral
ones. Also, they are non-stationary and ﬂuctuate over participants, time and experiments; ii) Mental states can interact/overlap, and physiological features too (1; 2); iii) The size of the datasets used for learning is limited since they come from time and money-consuming experiments that involve humans.
Therefore, a need for speciﬁc and robust classiﬁcation pipelines exist, one that would be robust to mental states interaction,
features’ overlap, settings, participants and sessions. Many promising avenues have emerged to overcome these issues (3). For instance, adaptive classiﬁers (4) update learning using new data, which improves accuracy when the distribution of data changes over time. Transfer-learning (5) can also be a good solution when available datasets are not close enough to the actual considered data. The improvement of the BCIs has also been made possible by the use of techniques from Riemannian geometry (6), particularly in very noisy contexts (7). Other examples of solutions are control-inspired monitoring (8), dataset improvement with data generation (9; 10), deep learning (11) etc.


Content and Outline
This PhD topic addresses the issue of developing a pipeline to process physiological data in an online manner which would be
robust to noise, to the work context and the operator, and which would enable to monitor mental states relevant in risky settings
such as workload, fatigue, stress, and error detection. The physiological data of interest would mainly consist of cardiac and
oculomotor measures recorded using ECG and eye-tracking devices, but also cerebral measures recorded by electroencephalography (EEG). The PhD would not include any experimental campaigns since the analyses would chieﬂy be performed on already acquired datasets and publicly available ones.


PhD outline:
First year: literature review, databases identiﬁcation and selection, development of state-of-the-art pipelines.
Second year: benchmarking of signal processing and machine learning methods, proposal of a new pipeline, ﬁrst scientiﬁc
publication/proceeding.
Third year: last comparisons and developments, thesis writing, second scientiﬁc publication/proceeding.


The main libraries that will be used:
Scikit-learn – https://scikit-learn.org/stable/
MNE-python – https://martinos.org/mne/stable/index.html
Pytorch – https://pytorch.org/
EEGLab – https://sccn.ucsd.edu/eeglab/index.php
Gumpy – http://gumpy.org/
PyRiemann – https://github.com/alexandrebarachant/pyRiemann

Additional Information:
Salary: This PhD thesis is ﬁnancially supported by the ANITI Institute which offers a competitive net salary of 2096 euros
per month with some teaching (64 hours per year on average) .
Starting date: As soon as possible.
Duration: 36 months
Supervisors: Dr Raphaëlle N. Roy and Dr Nicolas Drougard, ISAE-SUPAERO, Université de Toulouse, France.
Collaborators: ANITI Chair holder Professor Frédéric Dehais and Dr Caroline Ponzoni Carvalho Chanel.
Application procedure: Formal applications should include a detailed CV, a motivation letter, at least one reference letter,
and transcripts of degrees. Samples of published research by the candidate will be a plus.

References:
[1] R. N. Roy, S. Bonnet, S. Charbonnier, and A. Campagne, “Mental fatigue and working memory load estimation: interaction
and implications for EEG-based passive bci,” in 2013 35th annual international conference of the IEEE Engineering in
Medicine and Biology Society (EMBC), pp. 6607–6610, 2013.
[2] R. N. Roy and J. Frey, “Neurophysiological markers for passive brain–computer interfaces,” Brain–Computer Interfaces 1:
Foundations and Methods, pp. 85–100, 2016.
[3] F. Lotte, L. Bougrain, A. Cichocki, M. Clerc, M. Congedo, A. Rakotomamonjy, and F. Yger, “A review of classiﬁcation
algorithms for EEG-based brain–computer interfaces: a 10 year update,” Journal of neural engineering, vol. 15, no. 3,
p. 031005, 2018.
[4] P. Shenoy, M. Krauledat, B. Blankertz, R. P. Rao, and K.-R. Müller, “Towards adaptive classiﬁcation for BCI,” Journal of
neural engineering, vol. 3, no. 1, p. R13, 2006.
[5] S. J. Pan and Q. Yang, “A survey on transfer learning,” IEEE Transactions on knowledge and data engineering, vol. 22,
no. 10, pp. 1345–1359, 2009.
[6] A. Barachant, S. Bonnet, M. Congedo, and C. Jutten, “Classiﬁcation of covariance matrices using a riemannian-based kernel
for BCI applications,” Neurocomputing, vol. 112, pp. 172–178, 2013.
[7] F. Dehais, A. Duprès, S. Blum, N. Drougard, S. Scannella, R. N. Roy, and F. Lotte, “Monitoring pilot’s mental workload
using ERPs and spectral power with a six-dry-electrode EEG system in real ﬂight conditions,” Sensors, vol. 19, no. 6, p. 1324,
2019.
[8] C. Poussot-Vassal, R. N. Roy, A. Bovo, T. Gateau, F. Dehais, and C. Ponzoni Carvalho Chanel, “A loewner-based approach for the approximation of engagement-related neurophysiological features,” 2017.
[9] T. Golany and K. Radinsky, “Pgans: Personalized generative adversarial networks for ECG synthesis to improve patient-
speciﬁc deep ECG classiﬁcation,” 2019.
[10] F. Zhu, F. Ye, Y. Fu, Q. Liu, and B. Shen, “Electrocardiogram generation with a bidirectional LSTM-CNN generative
adversarial network,” Scientiﬁc reports, vol. 9, no. 1, p. 6734, 2019.
[11] R. T. Schirrmeister, J. T. Springenberg, L. D. J. Fiederer, M. Glasstetter, K. Eggensperger, M. Tangermann, F. Hutter, W. Bur-
gard, and T. Ball, “Deep learning with convolutional neural networks for EEG decoding and visualization,” Human brain
mapping, vol. 38, no. 11, pp. 5391–5420, 2017.
Prise de fonction :
01/12/2019
Nature du financement
Financement public/privé
Précisions sur le financement
Funding provided by the ANITI Institute
Présentation établissement et labo d'accueil
ISAE-SUPAERO
This PhD will ber performed within the Department of Aerospace Vehicles Design and Control (DCAS) of the ISAE-SUPAERO aeronautical engineering school. The ISAE-SUPAERO Department of Aerospace Vehicles Design and Control (DCAS) supports activities related to design and control during development of aeronautics and space vehicles. The DCAS included 35 permanent staff members (faculty, researchers, and engineers, technical and administrative staff) and around 45 non-permanent members including engineers on a contract basis, doctoral and post-doctoral students. In particular, the DCAS manages a fleet of nine aircraft (1 Socata TB-20, 3 Robin DR- 400, 4 Aquila, 1 twin- engine Vulcan Air P68 Observer) at the Lasbordes Operational Center.
The PhD supervisors work respectively within the Decision and Control (Dr Drougard) and the Neuroergonomics and Human Factors teams (Dr Roy).
Site web :
https://www.isae-supaero.fr/fr/recherche/departements/conception-conduite-vehicules-aeronautiques-spatiaux/dcas/
Profil du candidat
Applied Mathematics, Artiﬁcal Intelligence, Signal Processing or Biomedical Engineering background;
Strong programming skills;
Autonomous, hard-working, problem-solver;
Interested in Neuroscience and Cognitive Science.
Date limite de candidature
30/11/2019
L'Intelli'agence - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,Data_scientist,Toulouse,16/10/2019,vjk=8078f6aea488c9c7,vide,vide
Stage - Data Scientist,Liebherr-Aerospace Toulouse SAS,Toulouse (31),vide,"Toulouse (31)
Temps plein, Stage
Liebherr-Aerospace Toulouse SAS fait partie du Groupe Liebherr et développe, fabrique et assure la maintenance de systèmes de traitement de l'air pour l'aéronautique. Systémier de référence, parmi les leaders mondiaux, la société accompagne dans leurs projets les clients avionneurs, hélicoptéristes et compagnies aériennes.
LIEBHERR-AEROSPACE TOULOUSE recherche un(e) stagiaire pour une durée de 6 mois.
Cette offre de stage est à pourvoir en février 2020.
Au sein du département Systèmes d’Information, service Data Lab IT, nous recherchons un stagiaire :
Sujet du stage : Stage – Data Scientist (F/H)
Lieu : Toulouse
Durée souhaitée : 6 mois
Contexte
Le service Data Lab IT a pour mission de développer des méthodes et outils dans le domaine data analytics pour supporter la démarche entreprise de réduction des coûts de développement, d’optimisation des procédés industriels et développement de nouveaux services digitaux.
Objectif du stage
Liebherr est une entreprise industrielle à l’excellence opérationnelle reconnue. Des efforts continus sont fournis pour améliorer la qualité. En particulier, des processus sont en place pour traiter les non-conformités de différents types. Ces processus génèrent beaucoup d’information souvent de manière non structurée et dans des systèmes d’information différents.
L’objectif de ce stage est de valoriser l’information disponible sur les non-conformités.
Missions du stagiaire
Deux axes de travail sont proposés :
Le premier concerne la collecte de données de différentes sources (non-qualité interne, retour neufs, retours sous garantie …) et l’ingestion dans une base unique. On propose d’utiliser elasticsearch qui permet en particulier à des utilisateurs d’accéder aux données ingérées avec des fonctionnalités de recherche textuelle.
On appliquera ensuite aux données collectées des techniques de NLP (Natural Language Processing) pour extraire de l’information sur la globalité des données. En particulier, on cherchera à regrouper (clustering) automatiquement des non-conformités par cause racine commune. Les causes racines sont décrites par du texte libre. L’objectif évident de ce travail est de pouvoir prioriser de manière analytique les problèmes sur lesquels l’entreprise doit travailler.
Profil
Domaine de formation et niveau : BAC + 5 – Stage de fin d’étude – Data Science
Durée et période souhaitées : 6 mois à partir de février 2020

Requis :
Data Science, Python et R
Merci de postuler sur notre site internet : http://www.liebherr.com/fr
Pour ce faire, rendez-vous sur la page d’accueil : Carrière / Offres d’emplois / Offres d’emploi actuelles .
Liebherr Group - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Data_scientist,Toulouse,16/10/2019,vjk=d3ed705668fe8c52,vide,stage
R&D Machine Learning Specialist - Earth Observation,Airbus,Toulouse (31),vide,"Toulouse (31)
Airbus DS Geo SA
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
.
A vacancy for an R&D Machine Learning Specialist (m/f) has arisen within Airbus Defence & Space R&D team in Toulouse. You will join the Airbus DS Intelligence department.
.
Team / Environment:
You will integrate the Deep Learning / Big data division within the R&D team, which includes around 10 people and will interact with the Cloud R&D environment called OneAtlas Playground.
This environment makes it possible to develop Deep Learning models, manage datasets necessary for tagging, launch active learning loops, and execute large scale processing on all the images available worldwide in the platform OneAtlas.
.
Your Mission:
In this context, you will be specialized in Deep Learning and in particular in convolutional neural networks (CNNs) that you will apply to satellite images.
You will be responsible for carrying out research work to propose new approaches and methodologies to bring out new uses of satellite images.
Your challenge will be to set up and implement the R&D roadmap about AI and Earth Observation with the vision of having the satellite images an element of new IoT world and Big data.
.
This position will require a security clearance or will require being eligible for clearance by the recognized authorities.
.
.
Additional details about your responsibilities:
Carrying out research work to propose new approaches and methodologies to bring out new uses of satellite images.
Working in close proximity with the operational teams who develop new services, and with the Sales & Marketing teams who design the new services based on market or customer needs.
Participating to the evolution of the OneAtlas / Playgroung R&D platform.
Knowing how to look for information and remain at the state of the art in a highly evolving machine learning landscape.
Taking in charge researches themes, to discuss the objectives with the different actors, and to bring it to an end in coherence with the operational imperatives of the company.
.
This role could involve occasional travel for business and as such you must be able to travel accordingly.
.
.
Your Boarding Pass :
PhD degree in Computer Science, with a strong academic background in Artificial Intelligence.
Deep knowledge in Machine Learning Algorithms, Artificial Neural Networks and Deep Learning.
Proven experience being involved in a development dealing with Artificial Intelligence.
Familiar with Deep Learning environments (Python, Jupyter, OpenCV, GitLab, Keras, TensorFlow).
Familiar with the Google Cloud Platform (Compute, AppEngine, Docker, CloudML).
Knowledge in Remote Sensing, mathematical modeling, statistics and development (DevOps) would be a strong asset.
Good communication and listening skills, customer focused.
Willingness to search for innovative solutions.
A negotiation level of English.
.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",11/10/2019,Data_scientist,Toulouse,16/10/2019,vjk=7e2d37e95a928f63,vide,vide
