Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
"Développeur Backend (JAVA, Crowdfunding) F/H",Esprit RH,Toulouse (31),vide,"Toulouse (31)
WiSEEDest un pionnier, la plateforme n°1 de crowdfundingen France depuis 2008. Elle permet d’investir collectivement dans des startups, des projets immobiliers, des coopératives et des projets d'énergies renouvelables.
Créée en 2008 avec pour pari de faire financer des jeunes entreprises innovantes en phase d’amorçage. Les fondateurs veulent accompagner les porteurs de projet, replacer les investisseurs particuliers au cœur de l’économie réelle et remettre l’humain au centre de la stratégie entrepreneuriale.
Depuis Wiseed s’est renforcé, a mûri son organisation, a validé son modèle et a définitivement gagné sa place au sein des acteurs de l’innovation avec : 29 salariés, plus de 4M€ de CA cette année, une communauté de 120K Wiseeder et de 12K d’investisseurs, plus de 170M€ collecté dont 90M€ les 2 dernières années.
Au-delà des concepts de financements et d’actionnariat participatif innovant, la réussite de Wiseed repose sur une plateforme digitale complexe pouvant traiter un nombre important de fonctionnalités : flux financier, animation d’une communauté importante, participation, signature électronique, gestion documentaire et de validation avancée, CRM, … et le tout soumis à un cadre réglementaire financier très normé.
Le Poste:
Au sein l’équipe IT, actuellement composée de 4 membres, l’objectif du recrutement est de :
Renforcer l’équipe afin d’absorber des développements backend et missions toujours plus variés (cybersécurité, système, devops, réseaux, cloud, mobile, …).
Contribuer au projet 2020 d’application mobile de Wiseed, via entre autres le développement d’une API.
Renforcer la polyvalence et l‘interopérabilité de l’équipe.
L’équipe IT est organisée de manière agile, où les tâches et projets sont reparties de manière collégiale en fonction des velléités, envies, temps et compétences de chacun sous le contrôle du DSI
Stack Technique actuelle : Java 8, Play! framework, Hibernate/JPA, PostgreSQL ; Frontend : Webpack, Bootstrap, Vue.js ; Infrastructure : Cloud OVH, Debian 9, Ansible, monitoring avec Elasticsearch, Logstash, Kibana, Munin, Wazuh,
Environnement de travail: Git, Intégration continue (Jenkins), Suite Atlassian : Jira, BitBucket, Confluence.
Les Missions:
**
Concevoir / développer de nouvelles fonctionnalités et outils nécessaires aux équipes internes et aux clients,
Seconder le Responsable Infrastructure dans la maintenance et les évolutions de l’infrastructure actuelle,
Prendre en main et maintenir la plateforme existante,
Définir les besoins avec les équipes métiers et l’équipe IT,
Participer activement aux réunions d’équipe et être force de proposition,
Former et assurer un support aux équipes internes sur les outils développés,
Faire de la veille technique, partagée avec l’équipe.
Profil:
D'un cursus informatique, BAC+5 ou équivalent en école d’ingénieur ou à l'université avec une expérience de 2 ans minimum dans le développement d’application Web SAAS avec un backend JAVA.
De bonnes bases en développement web (HTML, CSS, JS) est un plus.
Une connaissance de la boite à outils Devops, du développement d’une API ainsi que la maîtrise des concepts informatiques (Algorithmes complexes, architecture, conception logiciel) seront appréciées.
Type d'emploi : Temps plein
il y a 1 heure
Signaler cette offre d'emploi",14/10/2019,developpeur,Toulouse,14/10/2019,vjk=9053193d75109561,vide,vide
Développeur C# H/F,Intitek SA,Toulouse (31),32 000 € - 37 000 € par an,"Toulouse (31)
Temps plein, CDI
32 000 € - 37 000 € par an
Description du poste
Quoi de plus stimulant que de participer aux innovations du véhicule de demain, de l’avion sans pilote, de l’ingénierie optique ou de l’industrie spatiale ? Intitek for Industry développe des approches et des solutions exclusives dans les domaines du transport, de la défense, du biomédical ou de l’aéronautique.
Intégré(e) à nos équipes, vous rejoindrez un projet à dimension nationale chez un de nos clients stratégiques. Vous travaillerez dans un environnement technique épanouissant et stimulant où vous apporterez vos connaissances et vos compétences sur les solutions logicielles et applicatives.
Profil recherché :
Diplômé d’un Bac+5 type école d’ingénieur ou équivalent universitaire
Bonnes connaissances en développement applicatif en C#/.NET (client lourd ou applications web
Connaissance en cartographie appréciée
Environnement contraint : SIL, DO178B, ISO26262
Devenez un Happy Digital Member en nous envoyant votre candidature !
Présentation du Groupe Intitek
« C’est en repoussant les limites du progrès et de l’innovation que les projets les plus fous finissent par se réaliser !»
Avec plus de 700 collaborateurs en France et dans ses filiales au Canada, aux USA, en Chine, en Pologne et en Espagne, le groupe Intitek conseille et accompagne ses clients dans leur transformation digitale autour de 3 branches métiers :
Intitek for Industry: Transport, santé, télécommunication, industrie militaire...
Intitek for Manufacturing: Conception, outils, tests
Intitek for People: Sites web, applications, objets connectés
Le groupe Intitek réunit de multiples ressources et talents dont le quotidien consiste à repousser les limites du possible et développer des solutions numériques qui profitent à tous. Celles et ceux qui osent sont encouragés à libérer leur créativité afin de servir les desseins les plus ambitieux.
Rejoignez vous aussi le Happy Digital World !
Type d'emploi : Temps plein, CDI
Salaire : 32 000,00€ à 37 000,00€ /an
Expérience:
développeur c# h/f ou similaire: 2 ans (Souhaité)
il y a 5 heures
Signaler cette offre d'emploi",14/10/2019,developpeur,Toulouse,14/10/2019,vjk=d2b31fbf2bc12ff8,vide,cdi
Développeur logiciel ERP FullStack H/F,"Groupe Adinfo Software, société du GROUPE ADINFO",Toulouse (31),vide,"Toulouse (31)
Temps plein, CDI
TA BOITE
Le Groupe ADINFO, c’est juste… le leader régional dans le domaine de l’édition et de l’intégration de solutions informatiques.
Nos équipes imaginent au quotidien les solutions de demain pour faciliter la gestion au sein des entreprises (logiciels, ERP, réseau, web, spécifiques). Depuis 30 ans, plus de 3500 clients nous font confiance pour les accompagner dans ce domaine. Avec une croissance à 2 chiffres depuis 10 ans et 11,5 millions d’euros de chiffre d’affaires sur le Groupe l’année dernière, on peut dire… que ça marche bien.
Et Parce que ça marche bien, on recherche pour une de nos filiales, GAS, un développeur logiciel application / ERP (H/F) sur notre site de Toulouse (31).
TON JOB
Ta mission, si tu l’acceptes, c’est :
→ Coder en respectant le cahier des charges ;
→ Rédiger la doc. technique nécessaire pour la maintenance ;
→ Concevoir les scénarios de tests,
→ Participer à la hotline,
→ Assurer une veille techno. permanente sur les outils et standards émergents.£
TON ENVIRONNEMENT DE DEV.
Savoir sur quoi tu vas bosser, c’est important pour toi ! Voilà quelques indications : tu bosseras sur environnements Windows & linux Tu ne les maitrise pas sue le bout des doigts ? Pas de problème ! On t’apprendra.
TON PROFIL
→ Tu sais écouter / analyser … bref. Tu percutes !
→ Tu parles plusieurs langues (de dev, bien sûr) : . Net, (indispensable !), MySql, JavaScript, HTML, Genero - 4JS
Si en plus tu as le sens du contact, que tu aimes bosser en team working, et que tu a l'esprit de service, alors tu vas te plaire chez nous ! Ton expérience dans le développement d'un ERP fera de toi, à terme, un expert en la matière. Dernière chose : tu comprends l’anglais, because you need it to success.
Envie d’un nouveau challenge ? Rejoins-nous !
TON CONTRAT
Rémunération selon ton profil.
EN +++
Tes collègues sont sympas (mais chut... il ne faut pas leur dire !)
Alors ? convaincu(e) ? il ne te reste qu'une chose à faire : postuler de toute urgence !
Type d'emploi : Temps plein, CDI
Expérience:
développeur en langage .Net: 1 an (Souhaité)
il y a 7 heures
Signaler cette offre d'emploi",Aujourd'hui,developpeur,Toulouse,14/10/2019,vjk=cdc15f6268d586f3,vide,cdi
Développeur JAVA H/F,Magellium - Groupe ARTAL,Toulouse (31),vide,"Toulouse (31)
CDI
Magellium (Groupe Artal) est un acteur indépendant fort de plus de 300 ingénieurs et d’une vingtaine d’années d’expérience résolument tourné vers des projets d’avenir autour de la chaîne de valorisation du pixel, du capteur satellite, des SIG tout en intégrant les technologies relatives aux données.
B.U.
L’unité Géo-information :
possède des expertises en GéoIntelligence,
maîtrise l’ensemble du cycle de vie des infrastructures de données spatiales (IDS),
intègre des solutions SIG pour des applications métiers,
fournit des outils pour la production et la diffusion de données géographiques,
Nous intervenons notamment dans les domaines de la défense, de l’environnement, de l’aménagement du territoire (transport, foncier, agriculture…)
Vos responsabilités :
Au sein de cette unité, vous aurez en charge des missions de développement industriel et de maintenance de logiciels dans le domaine de la géomatique.
Dans un contexte agile, vous interviendrez sur les phases de :
Spécification et Conception fonctionnelles et techniques
Développement de logiciels intervenant dans les chaines de production de données géographiques (images, cartes, vecteurs…)
Intégration et validation
PROFIL
De formation Bac + 5 en informatique, vous justifiez d'une expérience sur un poste similaire.
Environnement technique : JAVA
Sont des plus: C++, QT, Python
Type d'emploi : CDI
Expérience:
développeur java h/f ou similaire: 1 an (Souhaité)
il y a 6 heures
Signaler cette offre d'emploi",Aujourd'hui,developpeur,Toulouse,14/10/2019,vjk=9751621bc917dfb5,vide,cdi
Développeur PHP H/F,SudOuest RH,Toulouse (31),30 000 € - 37 000 € par an,"Toulouse (31)
Temps plein, CDI
30 000 € - 37 000 € par an
Société spécialisée dans l’expertise automobile, organisée en réseau de cabinets sur 80 sites, recherche un développeur d’application web PHP full stack.
Au sein de l’équipe Développement, vous travaillerez sur des applicatifs liés aux sites intranet et extranet, portails d’accès aux outils à destination des adhérents, des professionnels de l’automobile, des assureurs et des assurés. Des versions mobiles sont également développées.
Vous aurez pour missions :
- Le développement de nouvelles fonctionnalités,
- La gestion de la base de données MySQL,
- Le développement des applications mobiles,
- La participation aux études et choix techniques.
Profil du candidat :
- Bac +2/+3 en informatique, vous avez au moins 4 ans d’expérience en développement PHP5/MySQL,
- Compétences en HTML5 et CSS3,
- Une connaissance d’un framework PHP de type MVC, - Compétences qui seraient un plus: Phalcon, BackboneJS, API REST, GIT, statistiques, Progressive Web App (PWA).
Le poste est un CDI basé à Toulouse (côté est).
Rémunération entre 30 et 37 K€ annuel brut selon expérience.
Si ce poste vous correspond, merci de joindre votre CV en précisant vos compétences pour le poste.
Type d'emploi : Temps plein, CDI
il y a 18 heures
Signaler cette offre d'emploi",Aujourd'hui,developpeur,Toulouse,14/10/2019,vjk=28635a3e619ba348,vide,cdi
Développeur Logiciel H/F - 31,i-BP,Haute-Garonne,vide,"Haute-Garonne
CDI
Emploi Accessible Travailleur Handicapé RQTH Développeur Logiciel
Présentation de l'entreprise
i-BP filiale du Groupe BPCE, assure le développement informatique du système d’information des Banques Populaires.

Les femmes et les hommes qui font i-BP sont pleinement acteurs du développement de notre entreprise. Notre objectif commun : rendre chaque jour la banque plus simple. Plus simple pour nos utilisateurs au sein des banques, plus simple pour leurs clients aussi.

Laboratoires d’expérimentations, nouvelles méthodes de développement, projets agiles, foisonnement d’idées, pratiques collaboratives…

i-BP en CHIFFRES
35 000 Postes de Travail, 7 millions de clients, 830 salariés
Mission
Le Mobile n’a pas de secret pour toi et tu as envie d’explorer les contrées du SI bancaire ? Tu veux nous montrer ton grain de folie et avoir des responsabilités : Lis cette offre, elle va te plaire !
Informatique Banque Populaire, c’est travailler et contribuer à l’évolution du SI de l’ensemble de nos banques.
Nous rejoindre, c’est aussi partager nos valeurs d’entreprenariat, de simplicité et de proximité

Poste et missions
Pour renforcer nos équipes du site de Toulouse, nous recrutons un/une super héros développeur Mobile.
Tes supers pouvoirs incluent (entre autres) :
L'analyse et l'étude détaillée en respectant les normes et méthodes de conception en vigueur
La conception, le développement et la mise à disposition d'une solution logicielle testée et/ou une correction
Enfin, la coordination des acteurs concernés sur les activités
Profil recherché
Si tu es le candidat idéal, tu as vécu une première expérience de développement Web / Mobile avec Angular.
Tu aimes l’Agilité et tu veux rejoindre une équipe dans laquelle le dialogue et la responsabilisation sont au cœur du quotidien.
Les nouvelles technologies te font « kiffer », ta créativité et tes idées innovantes pourront enrichir nos projets.
Si tu veux rejoindre une entreprise, qui te propose une intégration personnalisée, qui accompagne ta montée en compétences et qui t’offre des avantages variés : 13ème mois, intéressement, mutuelle


Poste à pourvoir en CDI à Toulouse (31)
Informations complémentaires
A compétences égales la priorité sera donnée aux personnes ayant un statut de travailleur handicapé""
Missionhandicap.com - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,developpeur,Toulouse,14/10/2019,vjk=3de3add1961557d1,vide,cdi
Responsable Développeur Foncier 31 (H/F),nextgen RH,Toulouse (31),vide,"Toulouse (31)
DESCRIPTIF DU POSTE
Entreprise :
NEXTGEN RH est un cabinet de recrutement atypique, en pleine expansion (+100% de croissance en 2017-2018 / 400 postes à pourvoir en CDI).
Notre expertise s’articule autour de la découverte de talents d’aujourd’hui et de demain.
Véritable guide tout au long du process, notre équipe se différencie par sa manière d’entrevoir le côté humain et les compétences acquises et/ou à potentiel.
NEXTGEN RH est une PME (20 p.), à l’esprit start-up, devenue en quelques années un challenger reconnu sur le secteur du recrutement.
Notre développement s’appuie sur un fort engagement de service de nos équipes auprès de nos clients composés de PME et de grandes entreprises internationales et sur des services RH innovants.
Description du poste :
Sous la responsabilité du Directeur Régional, vos principales missions s’articulent autour de la recherche et de la négociation de terrains pour la réalisation de programmes immobiliers :
Prospecter et identifier des terrains destinés à la réalisation de projets immobiliers
Détecter et exploiter des opportunités foncières
Étudier la faisabilité financière, technique et juridique de l’acquisition
Monter l’opération jusqu’à la promesse de vente et le dépôt du permis de construire
Présenter et argumenter l’intérêt du projet au comité d’engagement
Développer des relations avec les prescripteurs
Fidéliser un réseau d’acteurs (notaires, apporteurs d’affaires, architectes, agents immobiliers…)
Profil recherché :
De formation issue d’une école de commerce ou d’une formation supérieure en immobilier et/ou urbanisme, vous bénéficiez au minimum de 5 ans d’expérience.
Vous êtes un véritable négociateur, une personne de terrain, pugnace, qui a une bonne connaissance du tissu géographique, vous avez une aisance relationnelle, un bon sens de l’analyse.
Avantages : Ticket restaurant (valeur 8,30), CE, Participation, Mutuelle (prise en charge à 55%), frais
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,developpeur,Toulouse,14/10/2019,vjk=a081a22930c14812,vide,cdi
Développeur Foncier 31 (H/F),nextgen RH,Toulouse (31),vide,"Toulouse (31)
DESCRIPTIF DU POSTE
Entreprise :
NEXTGEN RH est un cabinet de recrutement atypique, en pleine expansion (+100% de croissance en 2017-2018 / 400 postes à pourvoir en CDI).
Notre expertise s’articule autour de la découverte de talents d’aujourd’hui et de demain.
Véritable guide tout au long du process, notre équipe se différencie par sa manière d’entrevoir le côté humain et les compétences acquises et/ou à potentiel.
NEXTGEN RH est une PME (20 p.), à l’esprit start-up, devenue en quelques années un challenger reconnu sur le secteur du recrutement.
Notre développement s’appuie sur un fort engagement de service de nos équipes auprès de nos clients composés de PME et de grandes entreprises internationales et sur des services RH innovants.
Description du poste :
Sous la responsabilité du Directeur Régional, vos principales missions s’orientent autour de la prospection de terrain jusqu’à la signature de l’acte de vente :
La prospection foncière : directement auprès des propriétaires (recherche de terrains à bâtir, étude cadastrale) / indirectement auprès des notaires, géomètres…
Analyse de la faisabilité administrative, financière, et technique des opérations
Négociation de l’acquisition des terrains
Signature de la promesse de vente
Suivi du relationnel avec les propriétaires jusqu’à l’acte de vente du terrain
Développement d’un réseau relationnel (notaires, mairies, apporteurs…)
Profil recherché :
De formation issue d’une école de commerce ou d’une formation supérieure en immobilier et/ou urbanisme, vous bénéficiez au minimum de 2 ans d’expérience.
Vous êtes reconnu pour votre sens de la négociation et votre persévérance. Vous avez le sens des affaires et le goût du terrain et une très bonne connaissance du tissu économique et foncier de l’agglomération.
Avantages : Ticket restaurant (valeur 8,30), CE, Participation, Mutuelle (prise en charge à 55%), frais
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,developpeur,Toulouse,14/10/2019,vjk=15c6f074be0fadc7,vide,cdi
Développeur Web F/H,CTS Corporate,Toulouse (31),vide,"Toulouse (31)
CDI
Au sein des équipes projets, vous intervenez sur des missions riches et variées en accord avec les exigences et le contexte projet :

Développements des applications, gestion des configurations, tests, mise en oeuvre
Rédaction de la documentation
Veille technologique
Poste à pourvoir sur Toulouse
Profil recherché Issu(e) d'une formation Bac+2 Informatique minimum, vous disposez au moins d'une expérience professionnelle significative sur un poste similaire.

Environnement technologique :
AngularJS, PHP, python, HTML, CSS, Javascript

Compétences souhaitées en administration système et réseaux ou forte appétence à monter en compétence sur ce type de domaine.

Doté(e) d'une bonne culture IT et drivé(e) par le défi technologique, vous êtes passionné(e) par l'innovation et les évolutions IT.

Vos qualités relationnelles seront garantes de votre intégration dans les équipes. Vous êtes curieux(se), rigoureux(se) et motivé(e) et vous avez la volonté d'apprendre et partager sur des projets à forte valeur ajoutée

Rejoignez nous!
Entreprise Issue sur un regroupement des Bureaux d'Etudes de PME industrielles, CTS intervient sur l'ensemble du cycle de vie des projets de ses partenaires et clients.

CTS s'appuie sur des équipes mobiles et structurées dotées de solides compétences en ingénierie mécanique électrique et électronique, process industriel, gestion de projet et systèmes d'informations. Forgé par son expérience au sein de grands programmes industriels, et à l'épreuve de la réactivité nécessaire des PME en ingénierie et production, le groupe est capable de répondre aux besoins de ses clients en solutions globales.

CTS a pour vocation de rassembler l'ensemble des compétences indispensables à la réalisation de programmes de grande envergure aussi bien sur le territoire français qu'à l'international.

Nous intervenons au travers de nos équipes auprès des grands donneurs d'ordres dans les domaines de l'Energie, l'Aéronautique, l'automobile, Informatique et Telecom sur des programmes variés.
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,developpeur,Toulouse,14/10/2019,vjk=f92d359d7d569f93,vide,cdi
Développeur Frontend Angular,Bleexo,Toulouse (31),vide,"Toulouse (31)
CDI
Ton rôle
Au sein de l’équipe tech, composée de 2 développeurs & d’un CTO, tu participeras au développement du frontend de notre logiciel commercialisé en mode SaaS. Pour cela, il te faudra :
Concevoir & développer de nouveaux modules ou nouvelles fonctions du logiciel
Maintenir de la solution actuelle en production auprès de plusieurs dizaines de milliers de collaborateurs
Travailler selon la méthodologie Agile (Kanban)
Ton profil
Tu aimes les défis, dépasser les objectifs
Tu es rigoureux & autonome, passionné & motivé
Tu as un bon esprit d’équipe
Tu pratiques une veille technologique continue, et garde un esprit ouvert & critique face à la variété des frameworks OpenSource du Web
Tu as appris à apprendre
Si tu connais le monde du SaaS, c’est encore mieux !
Tes compétences
Développeur confirmé en HTML / CSS / Angular7+ / RxJS
Savoir intégrer des maquettes fournies par notre Product Manager
Connaissances des Best Practices & Design Patterns Angular
Connaissances en API RESTful
Git
A propos de bleexo
Il y a 3 ans, nous avons bouleversé le monde des RH en proposant aux entreprises une solution digitale pour mesurer, comprendre & améliorer l’engagement de leurs collaborateurs. Notre solution & nos équipes ont grandi à une vitesse incroyable et nous sommes aujourd’hui convaincus que dans un futur proche, toutes les entreprises devront se doter d’un outil comme Bleexo.
Récompensée par plusieurs prix, notre startup en hyper-croissance a pour objectif de devenir numéro 1 français & dans le top 3 mondial.
Pour poursuivre notre développement, Bleexo est à la recherche d’esprits enthousiastes, curieux et innovants, prêt à relever des défis technologiques et ayant volonté de s’impliquer dans une startup à fort potentiel.
Pourquoi nous rejoindre ?
Startup en hyper croissance
Poste basé en centre-ville de Toulouse, dans la communauté de startups At Home
Très bonne ambiance au sein de l’équipe (on le sait, on utilise Bleexo au sein de Bleexo !)
Evénements internes réguliers
Avantages : prise en charge du titre de transport à 50%, compte Spotify gratuit, mutuelle (une vraie !) prise en charge à 60%…
Plus d’infos sur nous ici : https://www.bleexo.com/la-team/
Déroulement des entretiens
Après le dépôt de ta candidature, nous ferons tout notre possible pour te répondre rapidement. Si tu es retenu, tu recevras un mail te proposant un créneau pour un bref entretien téléphonique, pour faire connaissance. Ce dernier sera éventuellement suivi d’entretiens, et d’une mise en situation avec un de tes futurs collègues, dans nos bureaux. Bonne chance !
Type d'emploi : CDI
il y a 2 jours
Signaler cette offre d'emploi",12/10/2019,developpeur,Toulouse,14/10/2019,vjk=3ae8285026ac4a60,vide,cdi
