Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Ingénieur Logiciel COM Stack F/H,Continental France,Toulouse (31),vide,"Toulouse (31)
CDI
En tant que membre de l'équipe logiciel « IO and Services » (Basic SW) de ce département, vous travaillerez notamment sur la mise en œuvre et la configuration des solutions logicielles d'instrumentation et de prototypage rapide.

Basées sur un protocole de communication (CAN) ces fonctions permettent la communication entre un outil externe et le calculateur moteur, pour la visualisation de données, la mise au point, la programmation et le prototypage rapide. Vous interviendrez sur tout le cycle en V, de la discussion des exigences avec le client, en passant par le design et l'implémentation logiciel, jusqu'à la validation, dans un environnement multi-sites et multi-culturel.

Dans ce cadre, vous aborderez les aspects suivants : - Pilotage localement des taches liées aux fonctions d'instrumentation. - Contacts réguliers avec les experts mondiaux de ces fonctions - Supporter l'équipe projet logiciel dans la planification des tâches et les analyses techniques - Prise en compte des exigences des clients en collaboration avec les ingénieurs systèmes pour en extraire les exigences logicielles - Design et conception de solutions logicielles adaptées aux exigences clients - Programmation en langage C - Génération et exécution de plans de test et de rapports à tous les niveaux du cycle en V, y compris les tests unitaires, les tests d'intégration et les tests fonctionnels - Génération et revue formelle de la documentation technique tout au long du processus de développement
Profil recherché Qualiﬁcations requises : - Etre titulaire d'un diplôme d'ingénierie logiciel des systèmes embarqués; - Connaissance pratique des logiciels embarqués, des systèmes d'exploitation, des architectures multicoeur et des protocoles de communication (CAN, Flexray et Ethernet comme un plus); - Expérience de programmation en C; - Expérience de l'utilisation d'outils de gestion des exigences et de spéciﬁcation (par exemple, MKS Integrity, Doors), d'outils de gestion de conﬁguration (MKS Source, …) - Expérience de l'utilisation d'outils de vériﬁcation de tests logiciels (IBM RTRT, Tessy, par exemple); - Expérience avec les outils de test sur protocole CAN (par exemple Canalyser, Canoe) et les environnements de test HIL et outils Etas (Inca, Ehook, Intecrio, …) -

Bonne capacité d'analyse ; - Bonnes compétences en communication écrite et orale; - Capacité à rédiger des documentations techniques et à communiquer en anglais ; - Esprit d'équipe, autonomie, capacité de lead sur des tâches de développement. - Fortement motivé et capable de travailler simultanément sur plusieurs activités
Entreprise Au sein de notre nouvelle entité Vitesco Technologies (Powertrain), le groupe «Customer Software France» est en charge du développement des logiciels des calculateurs de contrôle moteurs essence, diesel et véhicule électrique pour principalement les clients PSA, Renault-Nissan, Fiat-Chrysler et Ford Europe.

Vitesco Technologies se concentre sur les systèmes de transmission de véhicules efficaces et propres.

Dans ce domaine, la Division travaille à l'amélioration des performances des systèmes d'injection, des turbocompresseurs, des commandes de boîte de vitesses, des capteurs, des systèmes d'actionneurs et du post-traitement des gaz d'échappement.

Dans le même temps, elle prépare le terrain pour l'électrification des véhicules avec des systèmes efficients et leur intégration économique dans les véhicules.
Apec.fr - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,software_engineer,Toulouse,18/10/2019,vjk=c322a4dfb877d14f,vide,cdi
Ingénieur Logiciel Temps Réel - Toulouse,Ausy,Toulouse (31),vide,"Toulouse (31)
Dans le cadre de la croissance de nos activités automobiles à Toulouse, nous recherchons actuellement un(e) Ingénieur(e) Temps Réel.
Intégré(e) à une équipe projet d’une dizaine de personnes, travaillant sur le véhicule hybride, vous serez en charge, sur site client, de tout ce qui concerne le contrôle des batteries.
Vos missions seront à la fois de développer et intégrer les différentes fonctions du calculateur en répondant aux besoins clients, et également de faire monter le projet en maturité pour disposer d’une solution finale générique et stable.
Vous serez en contact régulier avec les équipes de développement et d’intégration, afin d’harmoniser le projet.
Ainsi, vous interviendrez sur :
Spécification, conception, développement et test de logiciels embarqués
Intervention sur l’ensemble du cycle de développement
Le développement des différentes fonctions et briques logicielles sur cible NXP
ENVIRONNEMENT TECHNIQUE
OS, Temps Réel, Doors, Restify, Python
Profil recherché
De formation Ingénieur(e) ou équivalent, vous avez une expérience de minimum 2 ans en Ingénierie Système.
La maitrise de l’environnement FREE RTOS ou linux yocto est nécessaire et des connaissances dans le domaine de l’automobile serait un réel atout.
La maîtrise l’anglais est un prérequis.
Si vous êtes attiré(e) par le domaine de l’automobile, n’hésitez plus, ce poste est fait pour vous !
Rejoignez-nous !
Entreprise handi-accueillante : à compétences égales,
tous nos postes sont ouverts aux personnes en situation de handicap.
il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",15/10/2019,software_engineer,Toulouse,18/10/2019,vjk=385c7d91dd0350d9,vide,vide
INGENIEUR LOGICIEL EMBARQUE TEMPS-REEL COUCHES BASSES F/H,FERCHAU,,vide,"Toulouse (31)
CDI
Pour accompagner le développement de notre site de Toulouse, nous recrutons en CDI un(e) :

INGENIEUR LOGICIEL EMBARQUE TEMPS-REEL COUCHES BASSES (H/F)

Dans le cadre du développement de logiciels embarqués de calculateurs automobiles, vous serez

responsable du développement des couches bas niveau. A ce titre, vous serez amené(e) à :

Piloter et organiser le travail d’une équipe de 2 à 3 développeurs.
Participer à la conception de l’architecture logicielle.
Participer à la définition des interfaces logicielles.
Supporter les équipes de développement sur les problèmes techniques.
Profil recherché Diplômé(e) d'une école d'ingénieur ou d’une formation supérieure équivalente, vous justifiez au

minimum de 5 ans d'expérience professionnelle en développement logiciel embarqué temps réel

automobile.

Familier avec les contraintes de développement temps réel et le langage C, vous disposez de

compétences en architecture logicielle et vous connaissez le langage UML, ainsi que les normes de

sûreté de fonctionnement ISO26262 ou DO178B.

La maîtrise de l’Anglais à l’oral est indispensable.
Entreprise Fondée en 1966, FERCHAU Engineering est aujourd’hui une société familiale et le premier employeur d'ingénierie en Allemagne, avec plus de 10 000 collaborateurs.

Nous réalisons des prestations d’ingénierie de la plus haute qualité, qui répondent aux exigences d’entreprises innovantes. De Paris à Toulouse, en passant par Marignane, Valenciennes et Sophia Antipolis nous avons fait le choix de nous implanter dans les grands bassins économiques français afin de pouvoir travailler en étroite collaboration avec nos clients sur le terrain. Une concentration de savoir-faire en ingénierie, un réseau mondial et de la flexibilité : voici ce qui caractérise FERCHAU Engineering.

Chacune de nos agences est organisée de façon à garder des structures de taille humaine, tout en offrant la sécurité et la stabilité d’un groupe d'envergure internationale. Nous offrons à nos salariés la souplesse et la proximité d’une PME, mais également la possibilité d’évoluer dans différents secteurs d’activité : aéronautique, défense, technologies de l’information, ferroviaire ou automobile.

Vous souhaitez travailler dans un contexte international, et rejoindre des projets exaltants ?

Alors n’hésitez plus et rejoignez-nous !
Apec.fr - il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,software_engineer,Toulouse,18/10/2019,vjk=16f51cb8ccca6698,vide,cdi
INGENIEUR LOGICIEL EMBARQUE DRIVERS et BAS NIVEAU F/H,FERCHAU,Toulouse (31),vide,"Toulouse (31)
CDI
Dans le cadre du développement de modules logiciel temps réel de systèmes embarqués destinés

à l’industrie automobile, vous serez chargé(e) du développement des couches Microcontroller

Abstraction Layer (drivers micro) et Hardware Abstraction Layer (contrôle et diagnostique du HW

ECU). A ce titre, vous serez amené(e) à :
Analyser les spécifications système et logiciel sous Doors
Assurer la traçabilité spécifications-design-validation sous Doors
Gérer les workproducts et les changes sous IMS
Participer au revue de pair pour le package logiciel
Profil recherché Diplômé(e) d'une école d'ingénieur ou d’une formation supérieure équivalente, vous justifiez au

minimum de 3 ans d'expérience professionnelle en développement logiciel embarqué temps réel

automobile, idéalement au niveau drivers et/ou couches basses.

Familier avec les contraintes de développement temps réel et le langage C, vous maîtrisez les

environnements et outils suivants : DOORS ou équivalent, MISRA, normes ISO26262 ou DO178B,

sonde debug microcontrôleur et équipements laboratoire électronique (oscilloscope, GBF, ...). La

connaissance de CANape, Canalyzer, CANOE et RTRT est un plus.

La maîtrise de l’Anglais à l’oral est indispensable.
Entreprise Fondée en 1966, FERCHAU Engineering est aujourd’hui une société familiale et le premier employeur d'ingénierie en Allemagne, avec plus de 10 000 collaborateurs.

Nous réalisons des prestations d’ingénierie de la plus haute qualité, qui répondent aux exigences d’entreprises innovantes. De Paris à Toulouse, en passant par Marignane, Valenciennes et Sophia Antipolis nous avons fait le choix de nous implanter dans les grands bassins économiques français afin de pouvoir travailler en étroite collaboration avec nos clients sur le terrain. Une concentration de savoir-faire en ingénierie, un réseau mondial et de la flexibilité : voici ce qui caractérise FERCHAU Engineering.

Chacune de nos agences est organisée de façon à garder des structures de taille humaine, tout en offrant la sécurité et la stabilité d’un groupe d'envergure internationale. Nous offrons à nos salariés la souplesse et la proximité d’une PME, mais également la possibilité d’évoluer dans différents secteurs d’activité : aéronautique, défense, technologies de l’information, ferroviaire ou automobile.

Vous souhaitez travailler dans un contexte international, et rejoindre des projets exaltants ?

Alors n’hésitez plus et rejoignez-nous !
Apec.fr - il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,software_engineer,Toulouse,18/10/2019,vjk=9dff0e1626c4022c,vide,cdi
"INGENIEUR LOGICIEL EMBARQUE C ET C++, COUCHES APPLICATIVES F...",FERCHAU,Toulouse (31),vide,"Toulouse (31)
CDI
Pour accompagner le développement de notre site de Toulouse, nous recrutons en CDI un(e) :

INGENIEUR LOGICIEL EMBARQUE C et C++, Couches applicatives (H/F)

Dans le cadre du développement de systèmes embarqués destinés à l’industrie automobile, vous

serez chargé(e) du développement et de l’intégration des couches applicatives de modules

logiciels embarqués temps réel. Vous interviendrez dans un contexte de développement Agile

Scrum.

A ce titre, vous serez notamment amené(e) à :
développer des modules logiciels applicatifs en langages C et C++ ;
intégrer ces modules dans un contexte Classic Autosar ou Adaptive Autosar ;
garantir le respect des process de développement logiciel dans le respect des principes
d’intégration continue.
Profil recherché Diplômé(e) d'une école d'ingénieur ou d’une formation supérieure équivalente, vous justifiez au

minimum de 2 ans d'expérience professionnelle.

Familiarisé avec les principes d’intégration continue Jenkins et la méthodologie Agile Scrum, vous

maitrisez le développement temps réel en C / C++ des couches applicatives de logiciels

embarqués.

Dans l’idéal, vous maîtrisez également l’environnement Linux embarqué et les langages Java et

Python.

La connaissance des réseaux Ethernet, CAN, LIN et du protocole SOME-IP est un plus.

La maîtrise de l’Anglais à l’oral est indispensable.
Entreprise Fondée en 1966, FERCHAU Engineering est aujourd’hui une société familiale et le premier employeur d'ingénierie en Allemagne, avec plus de 10 000 collaborateurs.

Nous réalisons des prestations d’ingénierie de la plus haute qualité, qui répondent aux exigences d’entreprises innovantes. De Paris à Toulouse, en passant par Marignane, Valenciennes et Sophia Antipolis nous avons fait le choix de nous implanter dans les grands bassins économiques français afin de pouvoir travailler en étroite collaboration avec nos clients sur le terrain. Une concentration de savoir-faire en ingénierie, un réseau mondial et de la flexibilité : voici ce qui caractérise FERCHAU Engineering.

Chacune de nos agences est organisée de façon à garder des structures de taille humaine, tout en offrant la sécurité et la stabilité d’un groupe d'envergure internationale. Nous offrons à nos salariés la souplesse et la proximité d’une PME, mais également la possibilité d’évoluer dans différents secteurs d’activité : aéronautique, défense, technologies de l’information, ferroviaire ou automobile.

Vous souhaitez travailler dans un contexte international, et rejoindre des projets exaltants ?

Alors n’hésitez plus et rejoignez-nous !
Apec.fr - il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,software_engineer,Toulouse,18/10/2019,vjk=3c77ac2a099bc70d,vide,cdi
"INGENIEUR LOGICIEL EMBARQUE C ET C++, COUCHES BASSES ET DRIV...",FERCHAU,Toulouse (31),vide,"Toulouse (31)
CDI
Pour accompagner le développement de notre site de Toulouse, nous recrutons en CDI un(e) :

INGENIEUR LOGICIEL EMBARQUE C et C++, Couches basses et drivers (H/F)

Dans le cadre du développement de systèmes embarqués destinés à l’industrie automobile, vous

serez chargé(e) du développement et de l’intégration des couches basses et drivers de modules

logiciels embarqués temps réel. Vous interviendrez dans un contexte de développement Agile

Scrum.

A ce titre, vous serez notamment amené(e) à :
développer des modules logiciels bas niveau et drivers en langages C et C++ ;
intégrer ces modules dans un contexte Classic Autosar ;
garantir le respect des process de développement logiciel dans le respect des principes
d’intégration continue.
Profil recherché Diplômé(e) d'une école d'ingénieur ou d’une formation supérieure équivalente, vous justifiez au

minimum de 2 ans d'expérience professionnelle.

Familiarisé avec les principes d’intégration continue Jenkins et la méthodologie Agile Scrum, vous

maitrisez le développement temps réel en C / C++ des couches basses et drivers de logiciels

embarqués.

La maîtrise de l’Anglais à l’oral est indispensable.
Entreprise Fondée en 1966, FERCHAU Engineering est aujourd’hui une société familiale et le premier employeur d'ingénierie en Allemagne, avec plus de 10 000 collaborateurs.

Nous réalisons des prestations d’ingénierie de la plus haute qualité, qui répondent aux exigences d’entreprises innovantes. De Paris à Toulouse, en passant par Marignane, Valenciennes et Sophia Antipolis nous avons fait le choix de nous implanter dans les grands bassins économiques français afin de pouvoir travailler en étroite collaboration avec nos clients sur le terrain. Une concentration de savoir-faire en ingénierie, un réseau mondial et de la flexibilité : voici ce qui caractérise FERCHAU Engineering.

Chacune de nos agences est organisée de façon à garder des structures de taille humaine, tout en offrant la sécurité et la stabilité d’un groupe d'envergure internationale. Nous offrons à nos salariés la souplesse et la proximité d’une PME, mais également la possibilité d’évoluer dans différents secteurs d’activité : aéronautique, défense, technologies de l’information, ferroviaire ou automobile.

Vous souhaitez travailler dans un contexte international, et rejoindre des projets exaltants ?

Alors n’hésitez plus et rejoignez-nous !
Apec.fr - il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,software_engineer,Toulouse,18/10/2019,vjk=6c60e60342826915,vide,cdi
Software Engineer - Rust,"Input Output Hong Kong - ""IOHK""",Toulouse (31),vide,"Toulouse (31)
Summary
As a Software Engineer at IOHK you are responsible for writing high-quality code for our products. You have the exciting challenge of working with cutting-edge research and technology with a focus on the market's needs. To support you on this challenge, our products have software architects, product managers, project managers, formal methods specialists and QA test engineers, with whom you must communicate professionally, effectively and efficiently.
Duties
Follow agile software development practices
Work with teams across multiple time zones
Work independently on software development tasks
Be proactive and require minimal supervision or mentoring to complete tasks
Review specifications produced by architects and formal methods specialists
Contribute to the design of algorithms
Write clean, straightforward, efficient code that satisfies previously agreed acceptance criteria and specifications
Commit often and submit small pull requests frequently
Cover your code with unit, property and integration tests when applicable
Review the pull requests of your team mates
Fix bugs in your own code and in legacy code from others
Be available for emergency fixing of severity 1 issues on deployed products
Integrate software components and third-party libraries
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software
Write documentation for the code
Write technical user manuals
Knowledge of distributed and concurrent computation
Knowledge of the basics of cryptography
Key Competencies
Write idiomatic code that satisfies the acceptance criteria of a given task
Write tests (unit tests, property tests) that provide sufficient and non-superfluous efficient code coverage.
Document code and APIs concisely and unambiguously
Break down tasks into sub-tasks that are completable in a short amount of time and report completion as required by managers
Pragmatically adhere to software engineering principles (modularity, incremental development, no premature optimization, no feature creep, no speculative generality, ...)
Education / Experience
is desirable but not essential
A minimum of 2-3 years development experience with C/C++ but with the ability to demonstrate good knowledge of Rust Programming Language (professional or otherwise)
Experience working with Git and Git workflow
Practical experience with Agile software development methods
Knowledge of functional and object-oriented programming paradigms
Specialist Skills - for a software engineer specialized in Rust
You’ll have a background of C/C++ Development experience (approx 3 - 5 years) but with the ability to demonstrate good knowledge of Rust Programming Language.
Experience in developing cryptography protocols would be a bonus
HTTP API understanding as well as accessibility and security compliance
This is a remote based role working with a Distributed team across the EU, we are considering all candidates within the EU. For more information on our Rust project - https://cardanorust.iohkdev.io/
and our opensource repo's - https://github.com/input-output-hk?language=rust
https://github.com/input-output-hk/rust-cardano
https://iohk.io/en/careers/fk03udp/software-engineer-rust/
Job Type: Full-time
Experience:
Software Engineering: 5 years (Preferred)
C++: 3 years (Preferred)
Rust: 1 year (Preferred)
Indeed - il y a 9 jours
Signaler cette offre d'emploi",09/10/2019,software_engineer,Toulouse,18/10/2019,vjk=faf9cfa146c5dc63,vide,freelance
Ingénieur Logiciel C++ Qt H/F - Toulouse,Ausy,Toulouse (31),vide,"Toulouse (31)
Dans le cadre du développement de nos activités dans le secteur de l’aviation civile, nous recherchons aujourd’hui un(e) ingénieur(e) en Développement C++ Qt QML.
Intégré(e) à une équipe de développement logiciel, vous participerez à la production de composants graphiques pour des applications embarquées à l’usage des pilotes des compagnies aériennes.
A ce titre, vous serez amené à réaliser les tâches suivantes :
Développement du logiciel sous l’environnement Linux
Développement et validation des composants graphiques en accord avec L’équipe d’ergonomes
Réalisation de tests fonctionnels sur cibles
Rédiger la documentation associée
ENVIRONNEMENT TECHNIQUE
QT QML, méthode agile, C++, gestionnaires de versions (Git, SVN…)
Profil recherché
Ingénieur(e) Informatique ou équivalent, vous disposez d'une expérience significative en développement front-end sous QML dans un environnement client lourd .
Votre force de proposition, votre sens du détail et votre autonomie seront de véritables atouts pour mener à bien ce projet.
La maîtrise manuscrite de l’anglais est obligatoire.
Si vous avez un réel intérêt pour l‘aviation civile et le développement d’interfaces graphiques, n'hésitez pas à venir nous rencontrer et trouver peut-être le projet à la hauteur de vos ambitions.
Rejoignez-nous !
Entreprise handi-accueillante : à compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap.
il y a 17 jours
- Continuer pour postuler
Signaler cette offre d'emploi",01/10/2019,software_engineer,Toulouse,18/10/2019,vjk=eb9fe3e7d62d9a74,vide,vide
Ingénieur Logiciel Embarqué F/H,GROUPE CENTUM ADETEL,Toulouse (31),vide,"Toulouse (31)
CDI
Depuis plus de 25 ans, CENTUM ADENEO apporte conseil et expertise à ses clients dans le domaine de l’électronique embarqué. Nous intervenons sur tout le cycle de vie du produit et accompagnons les entreprises dans leurs projets de R&D. Au sein de l'équipe projet, vous intervenez sur des projets de développement logiciel (fonctionnalités, système complet, C sur microcontrôleur, linux...) selon les exigences et spécifications techniques clients (internes et/ou externes).

Concrètement, vous serez amené(e) à :
Piloter les différentes phases d'avancement du projet,

Rédiger les documents techniques (spécifications, conception,
plans de tests, manuel utilisateur, notes techniques...),

Définir l'analyse fonctionnelle et l'architecture,
la conception technique et le codage du système,

Participer à la mise au
point, à la vérification et la correction d'anomalies
Profil recherché Issu(e) d'une formation supérieure de type Master ou école d'Ingénieur en logiciels / systèmes embarqués, vous avez une expérience significative au minimum de 5 ans en conception, développement et validation de fonctions logicielles complexes.Vous aimez être au plus près du matériel pour intervenir sur les couches basses. Une expérience en environnement normé comme la DO178 sera appréciée.
Entreprise CENTUM ADENEO au sein du groupe CENTUM ADETEL (2200 personnes, 160 M€ de CA) est spécialisé en design, développement et industrialisation de produits électroniques pour des grands comptes de l'industrie aéronautique/défense, du ferroviaire, du médical, de l'énergie, des télécommunications tels que : ALSTOM Transport, Volvo Group, THALES, SAFRAN, SNCF, ZODIAC, FRESENIUS, TRIXELL, …
Fort d’une capacité en bureau d’étude de 630 personnes (électronique, software, FPGA, mécanique, CAO, …), notre offre est multiple et structurée :

Conception de produits sur spécifications clients ;

Engineering Services avec le forfait, les plateaux techniques et le consulting.
Apec.fr - il y a 27 jours
- Continuer pour postuler
Signaler cette offre d'emploi",21/09/2019,software_engineer,Toulouse,18/10/2019,vjk=c689a27d2f11285a,vide,cdi
Ingénieur Logiciel Spatial,Forum Emploi-Formation-Alternance: Talents Handica...,Toulouse (31),vide,"Toulouse (31)
CDI
Le saviez-vous ? La carte de vigilance de Météo France est actualisée deux fois par jour à 6h et 16h. Cette information utile est générée par une équipe Capgemini qui développe les outils de recueil et de pilotage des données transmises par les capteurs installés sur les ballons stratosphériques. Envie de rejoindre l’aventure ?

Vous serez au cœur de l'évolution des nouvelles technologies et participerez à des projets technologiquement avancés pour des clients du secteur de la Défense, et de l'Aéronautique et du Spatial, pour lesquels vous aurez pour mission :
L'analyse de la solution globale sur le plan fonctionnel et de l'architecture
La conception et le développement JAVA, C/ C++, etc...
La rédaction, la définition et à la mise en place de l'environnement d'intégration et de test
La validation du bon fonctionnement de la solution sur un plan technique et fonctionnel
Le suivi des performances et de l'optimisation
handicap-job.com - il y a 23 jours
- Continuer pour postuler
Signaler cette offre d'emploi",25/09/2019,software_engineer,Toulouse,18/10/2019,vjk=e09915b04514bacf,vide,cdi
