Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant
Recherche en urgence - architecte informatique Azure & Big D...,K&K GROUP,Saint-Denis (93),vide,"Mission:
Déterminer les usages applicatifs clients (data science, calcul, restitution data, exploration, etc)
Participation aux choix des patterns
Définition des architectures techniques et logiques des solutions développées
Dimensionnement de l’architecture à mettre en place
Encadrement technique des équipes projets
Rédaction dossiers avant-vente
Définition d’architectures de références et bonnes pratiques que vous diffuserez auprès des équipes de dév

Profil:
Vous avez pris la vague du Big Data dans ses prémices et avez donc au compteur déjà 4/5 ans d’expériences sur le sujet
Vous êtes familier des principaux acteurs du marché (Cloudera, Hortonworks, MapR) et maîtrisez plusieurs des technologies Open Source (Hadoop, HDFS, NoSQL, MapReduce, Spark), Moteurs de recherche (SolR, ElasticSearch ), Bases de données (Oracle SGBD, Oracle Exalytics, Sybase IQ, Cassandra )
Excellente connaissance technique des technologies autour de la donnée Microsoft (SSRS, Power BI) et solutions Azure Analytics (Azure HD Insights, Azure Machine Learning, Azure Data Lake, Azure Databricks, Azure Data Factory)
carriere-info - il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,,,06/10/2019,vjk=f17734f3395e895d
Développeur/Leader Big Data F/H,Polymont IT Services,Asnières-sur-Seine (92),vide,"Prendre part à l’aventure Polymont IT Services,c’est se donner la possibilité d’évoluerdans un cadre dynamique où le partage et la bonne humeur rythment notre quotidien.
Étape 1
Prenez 500 collaborateurs Polymont IT Services et répartissez-les sur les villes de Paris, Lyon, Brest, Le Mans, Nantes et Niort. Liez la préparation avec des projets innovants, assaisonnez-la de motivation puis saupoudrez le tout de managers passionnés et d’experts du métier. Enfin, versez un brin de bonne humeur, c’est ce qui fait toute la différence.
Étape 2
Dans cette préparation aux couleurs du Digital, faites revenir ensemble de la MOA, de l’analyse, du développement NTIC, mainframe, de l’intégration, du test, de la gestion de projets et de l’Architecture. Adaptez les quantités en fonction des attentes de vos clients, parce qu’être humain, c’est aussi avoir à l’esprit que tout le monde n’a pas les mêmes attentes.
Pour que cette recette soit réussie, nous avons besoin de vous, de vos compétences techniques mais aussi de vos qualités personnelles car c’est ce savant mélange qui donne toute sa saveur à nos projets : une dimension humaine.
Pour parfaire notre recette, nous recherchons un(e) Développeur/Leader Big Data en Île-de-France, dont les missions seront, entre autres, les suivantes:
- Exécuter les tests , en mettant en place des tests de non-régression automatiques
- Analyser les anomalies de recette fonctionnelle et de qualification métier
- Alerter le Scrum Master (chef de projet IT) sur les difficultés rencontrées et être force de proposition.
- Garantir la bonne implémentation du modèle de données au sein des développements
Type d'emploi : Temps plein, Freelance / Indépendant, CDI
Expérience:
développeur/leader big data f/h ou similaire: 3 ans (Requis)
il y a 1 jour
Signaler cette offre d'emploi",il y a 1 jour,,,06/10/2019,vjk=97ff876822794bef
Ingénieur études Big Data F/H,ADSERVIO,Issy-les-Moulineaux (92),vide,"Entreprise : Adservio, société de Conseils en Nouvelles Technologies et Informatique, dans le cadre de son fort développement recherche un(e) Ingénieur études Big Data (H/F) pour diverses missions avec une formation assurée en amont dans le cadre d'une POE

Spécialisé en Expertise Technique & Développement, ainsi qu'en Assurance de Qualité Technique nous recherchons une personne motivée et passionnée par les nouvelles technologies qui peut s'intégrer rapidement à notre équipe.

Poste et missions : Vous serez en charge de:
Concevoir une solution d'environnement d'aide à la décision
Gerer un projet big data
Concevoir un datawarehouse
Déployer les outils d'extraction de données - maitriser hadoop
Mettre en place les meilleures solutions big data
Réaliser les tests et recettes appropriés
Former le personnel
Profil recherché Veuillez vous référer au paragraphe ""Descriptif du poste"" pour les éléments de présentation de l'entreprise ou de l'entité recruteuse sur ce poste
Entreprise Créé en 2010, Adservio est aujourd’hui un acteur incontournable du Conseil en Informatique et Nouvelles Technologies. Nous soutenons et accompagnons nos clients dans leur développement IT et dans leur démarche qualité. Nos périmètres d'interventions:

l'Assurance de Qualité Technique : Audit de code, audit d'architecture, tests de performance, Analyse de problème de performance, surveille applicative, automatisation de tests de non regression, mobile testing, cloud testing.
l'Expertise Technique & développement IT Talend : Développement, stratégie, installation, upgrade, conseil en bonne pratique.
le Développement et nouvelles technologies (Java, Play2, Node.js, AngularJS, mongodb, redis et hadoop, Android) Adservio croit en la synergie des talents, de ce fait nous sommes partenaire de Neotys (Revendeur et partenaire service NeoLoad et Gold Partner Talend
Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,06/10/2019,vjk=6218e670bd5329dc
ADMINISTRATEUR BIG DATA,GENIOUS SYSTEMS,Issy-les-Moulineaux (92),vide,"Votre mission s'effectue au sein du département SI, au sein de l'équipe Réseau. Votre environnement technique de travail repose sur un cadre très BIG DATA. Votre rôle est le suivant: êtes garant du système déployé et de sa supervision (TESTBED, PREPROD et PROD), êtes garant des outils de déploiement, analysez constamment et pro activement l'état du système, mettez en œuvre les divers outils nécessaires quant à la supervision optimale du système, faîtes les gestes d'administration nécessaires au bon fonctionnement du cluster, effectuez les mises en PREPROD et PROD.L'environnement technique : Hadoop, Elasticsearch, Kafka, Kubernetes, , Mongo DB etc...

Pour cette mission il convient d'avoir au minimum 2 ans d'expérience sur un poste similaire.Etre titulaire d'un Bac+5 en Informatique ou formation équivalente.Si vous souhaitez travailler au sein d'un environnement technique VERY BIG DATA, n'hésitez pas à nous adresser votre CV!
LesJeudis.com - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,06/10/2019,vjk=68f3f52a0f6dfb64
Stage - Ingénieur Big Data - Analyse de logs (H/F),DASSAULT SYSTEMES,Vélizy-Villacoublay (78),vide,"Imaginez demain …

Vous rejoindrez le service IT et travaillerez en collaboration avec trois équipes qui traitent des opérations sur nos systèmes internes et en ligne. Ces 3 équipes représentent une vingtaine de personnes localisées sur notre campus de Vélizy-Villacoublay.

Vous travaillerez sur la centralisation et l'analyse des logs et évènements de l'ensemble des applicatifs de l'IT via du BigData et machine learning.

Vos futurs défis

Pour mener à bien cette mission, vous devrez :
Explorer, parser et exploiter les logs applicatives et les corréler avec les métriques systèmes.
S'intégrer à terme dans l'infrastructure existante corporate.
Ajouter si le temps du stage le permet du machine learning afin de détecter les comportements anormaux
handicap-job.com - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,06/10/2019,vjk=310708b86ee872a2
Stage: Développement de traitements de données Big Data sur...,Orange,Paris (75),vide,"Objectif:
En lien avec l'activité Data Science d'Orange Applications for Business qui se développe fortement dans les environnements Big et Fast Data.
Contexte:
Au sein du Centre de Compétences DataScience (DS) et encadré(e) par des experts Big Data et des Data Scientists vous aurez la charge de participer à l'établissement de traitement de données en relations avec les problématiques de nos clients.
Descriptif:
Les travaux de stage pour but de répondre à des problématiques variées comme l'analyse de parcours clients, la détection d'anomalies ou de fraudes, des problématiques d'analyse de cause d'incidents…. Dans ce cadre vous aurez à développer des traitements de données ou autre algorithmes .
Vous serez amené(e) à travailler en environnement Hadoop / Spark ou Python, sur les étapes :
D'ingestion et le stockage de données sources en « temps réel » ou « quasi reél »
La structuration, le croisement des données, la définition de KPI ou de« features »
De développement de « blocs » algorithmiques complexes pouvant intégrer les grandes classes d'algorithmes (forêts aléatoires, régression logistique, classification non supervisée, algorithmes de graph …) ou des algorithmes spécifiques que vous serez en charge de développer.
about you
Stage de fin d'études niveau bac +5 minimum en Big Data ou Data Science avec une forte connotation calcul informatique distribué.
Hard Skills : Connaissances informatiques / data science :
Distribution Hadoop, Spark, Python, Java ( idéalement Scala), Bases de Données SQL et NoSQL (Cassandra, MongoDB)
Statisques et algorithmie : Classification/Régression supervisée et non supervisée, ACP, Séries de Fourier, Séries Temporelles, Distributions Statistiques ….
Soft Skills :
Autonomie, proactivité, facilité d'adaptation et qualités relationnelles nécessaires pour évoluer dans le milieu dynamique des ESN
Capable de formaliser la création de valeur d'une solution algorithmique en réponse à une problématique client.
department
Digital & Data
Partenaire de la transformation digitale des entreprises, Orange Digital&Data est l'entité d'Orange Business Services spécialisée dans la conception et le développement de services applicatifs et l'intégration de systèmes.
Implantés dans plusieurs grandes villes françaises comme Paris, Rennes, Lyon, Bordeaux, Lille et Toulouse … nous accompagnons au quotidien près de 20 000 entreprises tout au long du cycle de vie de leurs projets, dans les domaines clés de l'expérience digitale, de la Data Analytics et l’Intelligence Métier.
Pour la 4ème année consécutive, Orange reçoit la certification « Top Employer Global » 2019. Cette certification consacre les meilleures politiques et pratiques en termes de programmes de ressources humaines.
L’innovation est essentielle à votre métier, construisons la ensemble !
contract
Internship
Duration : 6 months
Level : Master 2
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=030dfc6a2a562128
DÉVELOPPEMENT C# / BIG DATA- H/F,INVIVOO,Paris (75),vide,"LE PROJET
Au sein de l’équipe de développement Front e-Forex, le candidat sera appelé à participer à de la recherche sur divers sujets de datamining, data-engineering et de machine learning.
Le but de ces recherches est de valider ou non certaines intuitions du métier au sujet des comportements de la clientèle. Le résultat de ces travaux mènera potentiellement à des applications d’aide à la décision et de pilotage pour l’équipe de trading Forex.
Il s’agit d’un projet très attendu et très « challenging » par ses ambitions :
de qualité de services (aussi bien sur la qualité du prix fourni que sur la
performance - temps de pricing),
et de flexibilité avec l’approche d’une architecture micro-service déployée sur le Cloud.
Enfin, et au vu des volumes de données attendus pour répondre au besoin, vous devrez vous appuyer sur les nouvelles technologies autour du BigData.
À ce titre, vous participez aux missions suivantes :
• Dans une approche Agile, participation aux spécifications, développements et déploiement des fonctionnalités / services apportant de la valeur au métier.
Présentation des solutions mises en oeuvre et justifications des choix réalisés dans une approche collaborative.
• Veille technologique autour des nouvelles technologies : Big Data
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=88d9c3f854fa13cf
INGENIEUR DEVELOPPEMENT BIG DATA - F/H,Ingeniance,Paris (75),vide,"Contexte de la mission:
Le Bénéficiaire souhaite mettre en place cette nouvelle application (notamment assurer la performance en insertion et en requetage) avec des méthodes agiles.
A ce titre le Bénéficiaire souhaite bénéficier de l'expertise du Prestataire en termes d'Expertise technique et/ou fonctionnelle.

Dans ce cadre, la Prestation consiste à contribuer à/au(x):
Conception des solutions techniques
Développement du code permettant l'intégration d'indicateurs de risque de marché et leur distribution
Optimisation des performances
L'assistance à la MOA lors des spécifications fonctionnelles et des tests en UAT
Tests unitaires (TDD) et test d'acceptance (BDD)
La documentation technico-fonctionnelle
Diplômé(e) d'une école d'ingénieurs ou de formation équivalente (Bac+5), vous justifiez d'une première expérience en développement acquise dans le cadre d'un projet d'école ou d'un stage.
Doté d'un bon relationnel, vous disposez d'une bonne capacité d'analyse. Vous justifiez d'un souhait réel de travailler sur du big data.
Compétences techniques requises:
Code Java
Documentation: JIVE/Wiki
Spécifications technique
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=fcd397361cfec5a0
CONSULTANT BIG DATA/JAVA - F/H,Ingeniance,Paris (75),vide,"Contexte de la mission:
Cette mission se déroulera au sein de la DSI Finance Comptabilité & Ratios de la Direction des Opérations et des Systèmes d'Information de notre client.
La direction métier du domaine Finance – Comptabilité et Ratios de notre client est aujourd'hui en attente d'une solution et d'un support basé sur les technologies BigData et la notion associée de Datalake.

Le point de vue métier vis-à-vis de ce projet à réaliser est une attente très forte comme accélérateur de solution pour l'ensemble des futurs reportings règlementaires à mettre en place entre 2017 et 2020, mais également le premier instrument pour la mise en qualité des données Comptables – Prudentielles et Risques de notre client.

Missions:
La mission a pour objectif la construction d'un � datalake � Finance & Risque. Ce datalake s'appuiera sur la distribution Hadoop HortonWorks.
Par la notion de datalake, il existe une multitude de problématiques à adresser autour des thèmes suivants: audit, qualité, contrôle, gouvernance de la donnée.
Les éléments attendus par la création et la livraison du Datalake Finance & Risk, en tant qu'outil de production, à l'ensemble des métiers Comptabilité, Prudentiel, Risque, Pilotage financier sont multiples.
Le projet tant techniquement que fonctionnellement devra y répondre:
Industrialisation de l'alimentation des données sur la plateforme technique HortonWorks
Alimentation des Meta-données en parallèle des données brutes.
Monitoring de l'ensemble des flux (tenue de cette information en quasi temps-réel)
Le profiling automatique de la donnée intégrée (tag, distribution de valeurs )
Abstraction des données
Les notions de Business Glossary et Technical Glossary doivent permettre la passerelle vers les utilisateurs Business métier. Ils doivent pouvoir interroger le datalake avec une sémantique Finance et Risque et non avec des noms de tables ou de champs.
Interprétation du contenu – mise en correspondance des référentiels internes
Toutes les données intégrées devront être liées, enrichies, contrôlées avec l'ensemble des référentiels (Contrepartie, Desk/Book, Devise, Entité Comptable, etc) a priori en aval de la couche de stockage transversale
Application d'une sécurité forte dédiée à chaque profil utilisateur
La sécurité des données d'un datalake est une attente majeure des sponsors métiers.
Une matrice complexe doit pouvoir être définie par les outils du datalake pour y répondre. A cela s'ajoutant la dimension temporelle des politiques d'accès définies.
Piste Audit complète de la données pour tout le SI Finance & Risk
Traçabilité complète attendue, en terme de lineage de la donnée intra cluster Hadoop
Pouvoir suivre les données, leur transformation et leur contribution à quel reporting règlementaire.
Socle de Reporting / Traitement & Controles
Reporting statique donnant la situation des contrôles croisés inter-application
Production des nouveaux états réglementaires attendus (Anacrédit, MREL)
Mise en place d'une Zone d'échange Normalisée avec l'entité maison mère

Enfin, il est attendu par les Business métiers un ensemble d'outil d'interrogation � libre � de la donnée présente dans le datalake, la DataViz est donc une problématique majeure dans la construction de la solution.
Profil recherché:
Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
Connaissance des méthodes et technologies de développement BigData pour les éléments Alimentation et Transformation de la donnée. En premier lieu une connaissance du moteur SPARK (avec implémentation Scala ou Python)
Capacité de modélisation via la technologie Hive (notion de partitionnement, tables externes ou managées etc )
Compétence pour implémenter une solution propriétaire Web de monitoring et audit des flux de données (DashBoard Kibana/Graphana, ou par Angular, ou autres techno Web)
Capacité à faire un benchmark des outils marchés de Data Vizualisation (ex: Tableau, Spotfire) ou Data Wrangling (ex: Trifacta).
Compétences techniques:
REST/ JSON
Java/J2EE
Hadoop
Familier avec les méthodes de travail agile / scrum ...
Environnement UNIX/LINUX, Script SHELL
Connaissance des états réglementaires (Surfi, Protide, BDP, Corep, Finrep)
Apache, Tomcat..., Reverse Proxy (gestion d'instance), Administration d'un serveur d'application Websphere
Big Data (Java, Python, Scala, ...)
Big Data (Pig, Hive, ..)
Connaissance des principes de modélisation d'une base de données relationnelle et du langage SQL
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=da283e09049bc263
ADMINISTRATEUR BIG DATA F/H,GENIOUS SYSTEMES,Issy-les-Moulineaux (92),vide,"Votre mission s'effectue au sein du département SI, au sein de l'équipe Réseau. Votre environnement technique de travail repose sur un cadre très BIG DATA. Votre rôle est le suivant:

êtes garant du système déployé et de sa supervision (TESTBED, PREPROD et PROD),

êtes garant des outils de déploiement,

analysez constamment et pro activement l'état du système,

mettez en œuvre les divers outils nécessaires quant à la supervision optimale du système,

faîtes les gestes d'administration nécessaires au bon fonctionnement du cluster,

effectuez les mises en PREPROD et PROD.

L'environnement technique : Hadoop, Elasticsearch, Kafka, Kubernetes, , Mongo DB etc...
Profil recherché Pour cette mission il convient d'avoir au minimum 2 ans d'expérience sur un poste similaire.

Etre titulaire d'un Bac+5 en Informatique ou formation équivalente.

Si vous souhaitez travailler au sein d'un environnement technique VERY BIG DATA, n'hésitez pas à nous adresser votre CV!
Entreprise GENIOUS, ESN créée en 1983, recrute dans le cadre de son développement et pour répondre au mieux aux demandes de ses clients un(e)

:

ADMINISTRATEUR BIG DATA (F/H)
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=549adb8331b81865
