Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant
Data Scientist / Engineer,Deezer,Paris (75),vide,"Paris (75)
Company Description
Believe in better.
Deezer is a global music streaming service with over 53 millions of tracks and a leading presence in over 180 countries, with 14 million monthly active users.
Behind the code and the pixels is our team of 500 music lovers, and we’re building something incredible together. Want in? If you’re looking for an adventure, not just a job, and you fancy seeing ideas come to life in a heartbeat, you’re in the right place.
We believe in better product, better speed and better people.
Job Description
What you will do:
Be part of our data warehouse project, making data available to everyone at Deezer.
Work closely with Tech, Product, Finance, Marketing… translating their needs into data projects, evangelize them on our methodology and follow-up on the delivered projects.
Dig into our mountains of data (Hadoop Cluster: Hive/Spark,Python…) finding the needle in the haystack.
Be one of our tech ambassadors: write functional and optimized codes (Spark/Scala, Python), help team members do the same, do technological watch, challenge our production pipeline and contribute to the test process.
Qualifications
What we are looking for:
At least 5 years of experience of data science or computer science, with a degree in computer science, statistics, mathematics, or any quantitative discipline.
Mathematical/machine learning background with the ability to understand & implement distributed algorithms.
You already deployed machine learning modelling in production and were comfortable with the entire pipeline.
Proficient with one or more of the following: Scala/Spark, Python. (Experience of functional code is not essential, but definitely a plus!)
Affinity for business, product and user experience.
Ability to clearly communicate data analyses results to end users.
Interest in technology watch.
Experience in Agile Processes, Test Driven Development and Framework design would be a plus.
Additional Information
Life @ Deezer Paris
Start-up environment and philosophy.
Highly motivated and product-focused people ready to drive innovation
Hackathons & meetups.
Friday drinks, summer and winter parties.
A stocked kitchen with free drinks and snacks.
Areas to relax and collaborate with beanbags, guitars and table football.
An ‘at home’ vibe, with great outdoor spaces.
Gym access at Deezer HQ, with lunch-time yoga, Pilates and boxing classes.
If you feel like this is the right opportunity for you, press play!
We are an equal opportunity employer.
il y a 7 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,,,05/10/2019,vjk=1c56e2fddd29f44c
Stage - Ingénieur Deep Learning (H/F),DASSAULT SYSTEMES,Vélizy-Villacoublay (78),vide,"Vélizy-Villacoublay (78)
Stage
Imaginez demain

Vous rejoindrez l'équipe Architecture qui a pour mission d'urbaniser le système d'informations de DASSAULT SYSTEMES et de porter toutes les questions fonctionnelles, architecturales et techniques transverses aux différents quartiers du SI.

Vos futurs défis

Votre rôle consistera à étudier et tester des algorithmes de Machine Learning et Deep Learning pour plusieurs applications dans le domaine de la détection d'anomalie d'une part et du traitement du langage naturel d'autre part.

1
Deep Learning pour systèmes de détection d'anomalies

Vous réaliserez un état de l'art sur les algorithmes de deep learning (Famille des auto-encodeurs) puis choisirez l'une des solutions pour effectuer de la détection d'anomalies à partir de données issues des logs d'un parc de serveurs (Données structurées disponibles via une stack ELK).

1 NLP, Deep Learning

En veille technologique sur les modèles de Deep Learning, vous serez en charge de la mise œuvre de modèles adaptés au traitement du langage naturel. Les applications concernées sont multiples : la recommandation de documents, la classification de texte, la recherche d'information dans une base documentaire non structurée et un moteur de Chatbot.
handicap-job.com - il y a 13 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,,,05/10/2019,vjk=cdc77ff9a64e2616
STAGE - Data Scientist Anti-Piratage&Conformité HF,DASSAULT SYSTEMES,Meudon (92),vide,"Meudon (92)
Stage
Imaginez demain…

Dassault Systèmes a mis en place un programme de mise en conformité logicielle et une organisation (License Compliance - LC) afin d'identifier et de lutter contre l'usage illégal de son portefeuille produit et le non-respect des conditions contractuelles.

L'équipe License Compliance Tools & Techno est en charge de soutenir les investigations techniques mondiales nécessaires au succès de l'activité.

Vos futurs défis…

Vous participerez à la définition et à la mise en œuvre de nouveaux projets techniques destinés à soutenir la croissance des activités et des résultats de la conformité des licences, ainsi qu'à soutenir la promotion des meilleures pratiques pour les outils et méthodes d'investigation existants.

En particulier:
Participer à la définition et au choix des spécifications fonctionnelles des solutions techniques soutenant la stratégie de croissance de License Compliance
Formaliser les plans de test pour les solutions informatiques actuelles et nouvelles
Officialiser la documentation opérationnelle et le support de communication pour aider l'équipe de License Compliance à appréhender les solutions informatiques et les meilleures pratiques plus récentes
Fournir des outils et des méthodes d'investigation à la fois techniques et fonctionnels à une équipe d'enquêteurs License Compliance située dans le monde entier.
Vous allez devoir saisir l'enjeu des activités License Compliance de Dassault Systèmes et comprendre les processus d'enquête et de participation des clients. Vous apporterez vos connaissances et votre expérience dans un projet complet pour aider notre écosystème à exploiter nos données.
handicap-job.com - il y a 13 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,,,05/10/2019,vjk=236ae7bd62e36af7
Internship GPCSCM01 - Junior engineer : development of costs...,Subsea 7,Paris (75),vide,"Paris (75)
Intérim, Stage
Job details
Position
Internship GPCSCM01 - Junior engineer : development of costs estimation models by Machine Learning
Vacancy ref
64377
Based in
Paris (Suresnes)
Surf and Conventional
Contract type
Intern Temp
Closing date
31/12/2019
Languages in which you may apply
English, Français
Vacancy information
Integrated into the Supply Chain Management department, the trainee will have the opportunity to become familiar with the oil & gas services environment and will discover our organization through interfaces with other services.
The Supply Chain Management of the GPC department (Global Project Centre) of Subsea7 aims to purchase materials and to sub-contract the services needed to carry out its engineering, manufacturing and installation projects for offshore and subsea infrastructures. The department also provides budget recommendations in the tendering phase, based on market consultations or its databases and internal estimation tools.
The GPC is the department of excellence of Subsea 7 for the execution of its EPCI contracts (Engineering, Procurement, Construction, and Installation) around the world.
The GPC Supply Chain Management department wants to recruit a Data Scientist trainee whose main role will be to develop benchmarking and internal estimation tools by Machine Learning. These tools should help to quickly identify the cost of strategic products to support negotiations with our suppliers or to provide a reliable budget in the bidding phase.
The internship will require many contacts with commodity managers, buyers, engineers and cost controllers to collect, understand and explain the data collected from the company.
Its main tasks will be:
Collection and processing of historical data
Identification of representative variables
Search the best model with Air Studio
Development of an estimation tool quickly usable by buyers
From a data scientist training/study, the curiosity and dynamism of the candidate will be essential to question the employees to understand the specificities of the different commodities and the parameters impacting the cost of them.

Profile :
Student oriented data scientist
Familiarity with “R Studio” and “R Shiny” is a plus
A good physical sense to quickly understand the products and services of Subsea7
Autonomous, Curious, Proactive, interest for investigation and research of pragmatic solutions
il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,,,05/10/2019,vjk=a7ffaff83f8e0ded
Senior Data Scientist,Pivot & Co,Paris 8e (75),60 000 € par an,"Paris 8e (75)
Temps plein, CDI
60 000 € par an
Areas: Data Science, Media Effectiveness, ROI, Marketing Mix Modelling, Marketing Science
ABOUT PIVOT & CO
Pivot and Co is strategic advisory, with acceleration teams, focused on data-driven growth & transformation in large organizations. We work with global leaders in consumer goods and luxury goods to build the bridge between data and business growth. Pivot & Co also invests in and advises Marketing Technology start-ups that will change the rules of media and marketing performance tomorrow.
Our team comprises strategy consultancy profiles, data scientists, and digital entrepreneurs. Our leaders have all worked in top executive roles in large organizations (FMCG and Luxury), as well as in strategic consultancies and agencies.
PIVOT & CO SEEK TO INTEGRATE A SENIOR DATA SCIENTIST
Today, main marketing mix model approaches rely on disparate data sources, not consistent in the collection, non-consistent over time. Most of the investment decisions are made through the lens of marketing expertise and don’t provide enough rationale facts.
Pivot is recruiting a senior data scientist, working in the data science team (4 persons to oversees the activities of the junior data scientists and provides advanced expertise on statistical and mathematical concepts for the broader Data science team, to solve Pivot & Co clients problems.
The Senior Data Scientist applies and inspires the adoption of advanced data science and analytics across Pivot clients with the focus on excellence and delivery.
Main challenges are
- Sales uplift modelling in Marketing
- ROI modelling
- Rationale investments decision for A&P allocation and brand planning process
- Modelling cumulative effect and activities impact on sales/Brand equity
ROLES & RESPONSIBILITIES
1. Data collection and data cleaning
2. Create composite KPIs to reflect the Marketing Return of Investment
3. Model channel contribution by application of advanced statistical methods: (Linear regression, Neural network, stochastic gradient boosting)
4. Present key findings with structured memos or PPT to Pivot Team or Pivot clients
PROFILE
· BAC +4/5 (Maths/Stats/Operational Research/Engineer, Econometry)
· Advanced knowledge in one statistical toolbox: R, Python – Good command in Python is a plus
· Interest for Marketing analytics: Marketing effectiveness, Digital media, Brand planning
· Autonomy and ability to work in project mode and manage multi-task
· Ability to develop a real closeness to clients, based on a sense of commitment and a culture focused on result
· A ""positive” attitude
GENERAL INFORMATION
· Work Office: 24 avenue Georges V, Paris 8 (Métro Alma Marceau, Charles de Gaule Etoile, Georges V)
· Salary: Good package
WHY PIVOT?
· The Pivot team is small and tight-knit. The consulting missions are led by senior associates, all from operational departments in the largest groups.
· A high level of responsibility and interactions. We’ll give you responsibility for deliverables from day one; your work will be important!
· Diversity of assignments to strengthen training and performance.
· Cooperative work atmosphere, fast decision-making mode, short hierarchy line.
Avantages :
Participation au transport
Job Types: Full-time, Permanent
Salary: 60,000.00€ /year
il y a 21 heures
Signaler cette offre d'emploi",Aujourd'hui,,,05/10/2019,vjk=f74c94c78f09bd8e
Data scientist F/H,autobiz,Courbevoie (92),vide,"Courbevoie (92)
CDI
Créée en 2004, autobiz est une start-up innovante, leader sur le marché de la cotation automobile. L’analyse des données « big data » lui a permis de mettre en place une gamme d’outils internationaux pour développer le business VO (véhicules d’occasion) des professionnels de la distribution, de la location et de l’assurance automobile.
Aujourd’hui basée à La Défense (92), autobiz dispose également de bureaux à Berlin, à Valence (Espagne) et Milan.
Début 2017, le groupe PSA a choisi d’entrer au capital d’autobiz avec une participation minoritaire. Cette collaboration renforce la position d’autobiz sur le marché automobile à l’international et lui permet de développer de nouvelles solutions au quotidien.
Site web :
http://corporate.autobiz.com
Poste et missions
Vous venez de soutenir votre thèse de doctorat et recherchez votre première expérience?

En qualité de Data Scientist, vous participez à l’élaboration et au suivi des nombreux projets afin d’aider le pôle Data à se développer.
A cet effet, vous serez amené(e) à interagir avec l’ensemble des parties prenantes de l’entreprise : équipes tech, commerciales, consulting, direction, etc.
Vos missions principales :
1. Contribuer au développement du Pôle Data
Rédaction des cahiers des charges.
Architecture base de données.
Analyse des données automobiles pour plusieurs pays (15 millions d’annonces mensuelles).
Élaboration de nouveaux KPIs de vérification (Crawl, Data brute, Data traitée);
Automatisation des process actuels .
Force de proposition dans le traitement de données .
Développement de nouveaux produits (Modèles statistiques, modèles mathématiques de traitement de données, modèles approximatifs….).

2. Participer au bon fonctionnement et au développement de l’entreprise
Vous vous intéressez à la vie d’autobiz et à son marché.
Vous savez vous intégrer dans l’équipe et plus largement au sein d’autobiz.
Vous développez une attitude professionnelle (innover, suggérer, conseiller, valoriser).
Vous aimez la recherche appliquée et utilisez l’informatique pour manipuler des bases des données en utilisant des méthodes statistiques.
Mobilité géographique :
Pas de déplacement
Prise de fonction :
01/11/2019
Profil
Vous êtes fraîchement docteur.
Vous êtes à la recherche de votre 1ère expérience professionnelle.

Vous êtes motivé(e) pour intégrer une structure à taille humaine en fort développement dans laquelle vous investir pleinement. Vous avez idéalement réalisé des stages dans le domaine du data mining, texte mining, recherches d’informations sur le web, intelligence artificielle…
Compétences demandées :
Maîtrise du SQL et de la modélisation des données.
Maîtrise des langages de programmation (PHP, R ou Python, Shell).
Maîtrise des algorithmes de traitement de masse de données.
Maîtrise de l’anglais opérationnel.
Connaissance des langages Perl, Ajax, Java script et/ou Awk serait un plus.
Connaissance des outils de pilotage de projet serait un plus.
L'Intelli'agence - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,05/10/2019,vjk=ac50f6be14a634d7
DATA SCIENTIST- F/H,Ingeniance,La Défense (92),vide,"La Défense (92)
CDI
Contexte de la mission :
Vous assurez la production, la conception et la mise en oeuvre des nouvelles solutions ainsi que la définition des standards et de la stratégie et serez également en charge du développement de l'Intelligence Artificielle et de la Data Science appliquée à l'infrastructure informatique d'une grande banque d'investissement.

Missions du Data Scientist:
Dans ce cadre, la prestation consiste à contribuer à/au(x):
Formaliser des problématiques business (infrastructure IT) en projet de data science
Proposer des évolutions des produits existants ou de nouveaux produits
Contribuer au développement de MVP et de data products de production
Contribuer au suivi et à l'amélioration continue des data products en production
Proposer et mettre en oeuvre l'industrialisation du machine Learning

Environnement du projet :
1/Technique :
Scoping des projets et définition des portefeuilles de projets Data Science
Suivi et réalisation des projets de data science
Maquettes ou MVPs
Bonnes pratiques data science
Pipelines industriels de machine learning
Profil recherché:
Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
Bonnes pratiques de la data science
Vous justifiez d'une expérience en finance de marché, alliée à un bon niveau en anglais.
La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.

INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives.
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,05/10/2019,vjk=bb23bb501db600dd
Data scientist débutant / data gouvernance F/H,MP DATA,Paris 14e (75),vide,"Paris 14e (75)
CDI
Au titre d'un projet de grande ampleur, vous contribuerez à la mise en place d’une cartographie des données de l'entreprise, au développement et à la mise en production de KPI et d’outils de reporting en collaboration étroite avec les métiers. Votre rôle sera dans un premier temps de participer à la mise en place et à l’amélioration continue de tableaux de bords. Dans un second temps ,vous serez le référent des métiers sur les questions liées aux données, ainsi qu'à la cartographie de ses données que vous pourrez contribuer à développer. Sur cette phase de cartographie, vous serez amené à accompagner l'équipe dans les choix et les échanges avec les autres équipes du groupe. Vous serez accompagné tout au long du projet par un de nos Lead Data Scientist.
Profil recherché Ingénieur Grande Ecole (Centrale, Mines, Supaero, Supelec, …), ou avec une forte expérience, vous avez des connaissances en Python acquises lors de votre scolarité ou de vos expériences passées. Vous connaissez Spark et Hadoop. Vous êtes familier avec les langages de manipulation des bases de données et les technologies associées (MongoDB, Blob Storage, SQL, NoSQL). Votre autonomie et votre capacité à être force de proposition ont été reconnues durant vos précédentes expériences ainsi que votre esprit de synthèse. Une formation sur certains de ces composants pourra vous être dispensée par nos Lead Data Engineers en amont de la mission dépendamment de vos connaissances.
Entreprise MP DATA est une société de Conseil spécialisée dans la transformation digitale des entreprises. Dans le cadre de son développement, MP DATA recrute un(e) data scientist débutant(e) directement rattaché à la direction technique amené à travailler sur différents projets pour une multinationale engagée dans la bancassurance.
Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,05/10/2019,vjk=3c3715a74a7ebf22
Data Scientist,TINYCLUES,Paris (75),vide,"Paris (75)
Tinyclues is an AI solution that enables B2C marketers to drive revenue and engagement from their existing customers. By contrast with traditional data-science approaches that rely on capturing explicit customer intent, Tinyclues' Deep AI approach leverages the full complexity of our clients' anonymized first-party datasets and picks up implicit signals (“tiny clues”), making it possible to reach unparalleled relevance & campaign performance.
Job Description
Let us be honest: this job title doesn’t make any sense. Yes, it's about data. But, no, it's not truly a science. It's more complicated than that. Driven by a mathematical and software vision of how large E-commerce datasets ought to be processed, tinyclues has built a powerful data-processing framework, allowing us to:
painlessly and securely manipulate large and complex relational datasets
design, benchmark and tune machine-learning algorithms
assemble complex machine-learning strategies, in a few lines of expressive code
package all this into production-ready push-button predictive solutions for our clients
Your exact mission will depend on your skills and background. Typical roles for Data Scientist at tinyclues include:
design and implement new machine-learning algorithms and strategies
feature engineering
benchmark predictive quality and assess business impact
in collaboration with our software team, build new predictive apps and services
address client-specific and business-specific challenges
Preferred Experience
a formal training in machine learning
the desire to build things that are beautiful, robust, and scale
enough curiosity to try things that aren’t taught at school, but enough pragmatism to not waste time on futile stuff
the ability to code your ideas and the ambition to learn the highest methodological standards
a genuine interest for real-world business problems
Additional Information
Contract Type: Full-Time
Location: Paris, France (75001)
Education Level: Master's Degree
Experience: > 1 year
ISAI Group - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,05/10/2019,vjk=90a235627582bc48
data scientist débutant computer vision secteur automobile,MP DATA,Paris (75),vide,"Paris (75)
CDI
MP DATA est une société de Conseil spécialisée dans la transformation digitale des entreprises. Dans le cadre de son développement, MP DATA, recrute un(e) Data scientist pour travailler pour un acteur majeur de classe mondiale, dans le domaine de l'automobile, basé sur Paris.
À partir de la collecte de données images et spectrales pour contrôler et automatiser des processus de contrôle de défauts de pièces manufacturés (relief, épaisseurs, taille……) dans un environnement de production de grande série, vous concevrez un modèle alliant computer vision et deep learning. Vous codez ce modèle en vous basant sur les librairies usuelles régulièrement utilisées en computer vision ( type Tensor Flow, Keras, Theano, OpenCV, libSVM, Torch, etc) . Vous êtes en interface avec les différents entités de la compagnie, à savoir équipe métier, et équipe infrastructure. Vous intervenez dans la mise en production de vos modèles de reconnaissances d’images.
De formation ingénieur Grande Ecole (Centrale, Mines, Supaéro, Supelec, Arts&Métiers, ENSEEIHT, ENSIMAG..), vous avez des connaissances en computer vision et machine learning (deep learning, random forest, svm...) acquises durant votre formation ou durant une première expérience. Vous êtes à l'aise pour coder en Python. Vous êtes ensuite passionné par la data, vous savez être force de proposition.Vous êtes à l'aise pour travailler en anglais.
Type d'emploi : CDI
Expérience:
data scientist débutant computer vision secteur automobile ou similaire: 1 an (Souhaité)
il y a 1 jour
Signaler cette offre d'emploi",il y a 1 jour,,,05/10/2019,vjk=7afd5073bedf1971
