Titre,Nom_Entreprise,Adresse,Descriptif_du_poste,Data_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat,Salaire,Freq,Sal,Salaire_Min,Salaire_Max
LEAD DATA SCIENTIST F/H,Fyte,Boulogne-Billancourt (92),"Boulogne-Billancourt (92)
75 000 € - 90 000 € par an
Description de l'offre
Fyte Digital & Webmarketing est spécialisé dans le sourcing, l'évaluation et le recrutement en intérim, CDD et CDI de profils les plus qualifiés pour les métiers du webmarketing. Conscient des spécificités de cet univers et des niveaux d'expertise pointues des candidats, Fyte Digital & Webmarketing vous fait bénéficier de son savoir-faire acquis auprès de professionnels du digital et du marketing online.

Notre client est un leader mondial dans l'entertainment. Il recrute un Lead Data Scientist F/H en CDI. Vous souhaitez rejoindre un groupe international ? Vous souhaitez leader une équipe et avoir un périmètre groupe ? Vous êtes passionné par la Data et son interprétation ? Au sein du pôle Digital et Innovation, l'équipe Data & Analytics, composée d'environ 20 personnes, est totalement autonome et renforce la stratégie globale du groupe avec un objectif principal : la création de valeur à partir des données collectées. A ce titre, l'équipe Data & Analytics accompagne toutes les directions métiers et développe des outils innovants et des modèles algorithmiques qui permettent d'optimiser l'expérience client, de piloter la performance et de monétiser les données en déployant en production différents projets stratégiques à forte visibilité. Vos missions : - Alimentation d'un DATALAKE pour renforcer la connaissance 360 des clients/utilisateurs (25M de comptes en base, 17M de visiteurs mensuels, 155M de pages vues) - Implémentation d'outils d'analyse et de visualisation de nos activités afin de faciliter la prise de décision business - Déploiement des outils Data (DMP /CRM/ intégration AdServer…) permettant la monétisation des segments d'audience par les équipes de la régie publicitaire - Développement et industrialisation de modèle de machine learning / Deep learning - Développer et consolider l'apport de la data-science pour le Groupe - Identification des sujets adressables en Data Science au sein des différents services du groupe - Modélisation, prototypage et industrialisation des modèles de Machine Learning / Deep Learning (NLP/fastText, XGBoost, ALS/collaborative Filtering… ) pour améliorer l'expérience utilisateur et optimiser la création de valeur (moteurs de recommandation, segmentation, scoring, monitoring de la pression publicitaire…)

De formation supérieure bac+5 minimum avec une spécialisation en data-science / machine learning (université, école ou équivalent), vous avez une culture très orientée développement et innovation. Vous avez au moins 3 ans d'expérience dans le pilotage et l'implémentation de projets Data-science et dans la mise en œuvre de DataLake. Vous avez acquis les compétences techniques suivantes : -Méthodes de Machine Learning : méthodes supervisées/non supervisées (Clustering, Random Forest, Gradient Boosting...) -Langage de manipulation de données : R ou Python et Scala -Connaissance des outils de reporting comme Tableau Software et, des techniques d'analyse (corrélation, segmentation, scoring) et statistique descriptive La connaissance des technologies du groupe (Spark / Databriks / Microsoft Azure) est un plus. Salaire: 75K€ - 90K€ Localisation: Boulogne - Billancourt
LesJeudis.com - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=d84105631f0f6549&advn=7674958368030736,senior,cdi,75 000 € - 90 000 € par an,Annuel,"[75000, 90000]",75000.0,90000.0
Développeur Back-End NodeJS / Machine Learning confirmé(e) (...,Syage,Paris 9e (75),"Paris 9e (75)
CDI
40 000 € - 55 000 € par an
SYAGE, Cabinet de Recrutement IT, recherche en embauche DIRECTE (CDI) chez l’un de ses clients finaux situé en plein centre de Paris, un(e) Développeur Back-End NodeJS / Machine Learning confirmé(e) (H/F).

Profil recherché en bref :
Un(e) Développeur Back-End d’au moins deux ans d’expérience, justifiant d'une expérience précédente sur NodeJS, idéalement au sein d’un contexte Data Science.
Une forte appétence sur les problématiques de Machine Learning, pour le Cloud AWS et une curiosité pour d’autres langages de programmation (tels que Java, Scala, ou PHP...) seront également de mise.
Rémunération entre 40 et 55K€ selon le profil et niveau d’expérience.

Contexte :
Au sein d’un groupe français reconnu, leader dans la vente de particuliers à particuliers, B2C ainsi que B2B, vous travaillerez dans l’équipe technique en charge du développement et de l’évolution des sites et outils applicatifs Web utilisés par leurs clients.

Objectif :
Prendre en charge les projets techniques complexes dès les discussions avec le métier, assurer le support de plus haut niveau aux autres équipes de développement ainsi qu’à la production.

Les + du poste :
Un environnement de développement cadré et rigoureux, sur des problématiques de sécurité et lutte des fraudes à fort challenge
Un contexte métier challengeant et critique, qui implique problématiques de charge, de réactivité et d’adaptabilité orientée clients
Une entité à taille humaine aux véritables possibilités d’évolution, de formation (notamment sur les technologies de Cloud AWS) et qui assure l’employabilité de ses collaborateurs !
Définition des nouveaux besoins sur les problématiques « anti-fraude » et échanges en direct avec les équipes métiers
Construction et développement de nouveaux systèmes au sein des applications déployées en NodeJS
Proposition de nouvelles solutions et refonte des outils applicatifs existants, optimisation de la stack technique
Support de plus haut niveau et expertise technique auprès des autres équipes de développement et de la production
Compétences obligatoires en développement back-end sous NodeJS
Compétences en développement Python ou Scala sont un gros plus
Vif intérêt pour le Machine Learning, la Big Data et/ou Intelligence Artificielle
Expérience sur le Cloud AWS (Amazon Web Services) est un atout non négligeable
Connaissances en bases de données NoSQL (DynamoDB)
Anglais professionnel (écrit et oral)
il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=a34a999e901a4b9f,confirmé,cdi,40 000 € - 55 000 € par an,Annuel,"[40000, 55000]",40000.0,55000.0
Senior Data Scientist,Pivot & Co,Paris 8e (75),"Paris 8e (75)
Temps plein, CDI
60 000 € par an
Areas: Data Science, Media Effectiveness, ROI, Marketing Mix Modelling, Marketing Science
ABOUT PIVOT & CO
Pivot and Co is strategic advisory, with acceleration teams, focused on data-driven growth & transformation in large organizations. We work with global leaders in consumer goods and luxury goods to build the bridge between data and business growth. Pivot & Co also invests in and advises Marketing Technology start-ups that will change the rules of media and marketing performance tomorrow.
Our team comprises strategy consultancy profiles, data scientists, and digital entrepreneurs. Our leaders have all worked in top executive roles in large organizations (FMCG and Luxury), as well as in strategic consultancies and agencies.
PIVOT & CO SEEK TO INTEGRATE A SENIOR DATA SCIENTIST
Today, main marketing mix model approaches rely on disparate data sources, not consistent in the collection, non-consistent over time. Most of the investment decisions are made through the lens of marketing expertise and don’t provide enough rationale facts.
Pivot is recruiting a senior data scientist, working in the data science team (4 persons to oversees the activities of the junior data scientists and provides advanced expertise on statistical and mathematical concepts for the broader Data science team, to solve Pivot & Co clients problems.
The Senior Data Scientist applies and inspires the adoption of advanced data science and analytics across Pivot clients with the focus on excellence and delivery.
Main challenges are
- Sales uplift modelling in Marketing
- ROI modelling
- Rationale investments decision for A&P allocation and brand planning process
- Modelling cumulative effect and activities impact on sales/Brand equity
ROLES & RESPONSIBILITIES
1. Data collection and data cleaning
2. Create composite KPIs to reflect the Marketing Return of Investment
3. Model channel contribution by application of advanced statistical methods: (Linear regression, Neural network, stochastic gradient boosting)
4. Present key findings with structured memos or PPT to Pivot Team or Pivot clients
PROFILE
· BAC +4/5 (Maths/Stats/Operational Research/Engineer, Econometry)
· Advanced knowledge in one statistical toolbox: R, Python – Good command in Python is a plus
· Interest for Marketing analytics: Marketing effectiveness, Digital media, Brand planning
· Autonomy and ability to work in project mode and manage multi-task
· Ability to develop a real closeness to clients, based on a sense of commitment and a culture focused on result
· A ""positive” attitude
GENERAL INFORMATION
· Work Office: 24 avenue Georges V, Paris 8 (Métro Alma Marceau, Charles de Gaule Etoile, Georges V)
· Salary: Good package
WHY PIVOT?
· The Pivot team is small and tight-knit. The consulting missions are led by senior associates, all from operational departments in the largest groups.
· A high level of responsibility and interactions. We’ll give you responsibility for deliverables from day one; your work will be important!
· Diversity of assignments to strengthen training and performance.
· Cooperative work atmosphere, fast decision-making mode, short hierarchy line.
Avantages :
Participation au transport
Job Types: Full-time, Permanent
Salary: 60,000.00€ /year
il y a 11 jours
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=f74c94c78f09bd8e&advn=3765012132472113,senior,cdi,60 000 € par an,Annuel,[60000],60000.0,60000.0
Data Scientist - H/F,FYTE,Paris (75),"Paris (75)
CDI
65 000 € par an
Sql / Python / R / Pilotage de projets / Audit / Architecture logicielle / Agile / Conseil
Data Analyst, Big Data Analyst, Data Scientist / CDI / Environ 65k€ / 3 - 6 ans / Paris

Le poste
Vous aurez l'occasion de travailler dans un secteur porteur, celui de la télématique embarquée dans les véhicules, avec une croissance de taux d'équipement des sociétés françaises de 15% par an, sur une solution IoT à très forte valeur ajoutée. Vous travaillerez au sein d'une équipe unique de consultants et de Data Scientists d'une dizaine de personnes, sur des enjeux clés qui façonnent le futur des entreprises et de notre planète, comme: - l'optimisation des flottes (b2b) jusqu'à la transition vers les véhicules électriques - La réduction de la consommation de carburant et des émissions de co2 - La transformation digitale des entreprises et l'optimisation des opérations
Les responsabilités
Mener des analyses sur les données télématiques des clients: exploiter, définir, mener des analyses sur des données de leurs systèmes de télématiques au travers de leur plateforme de Data Science en utilisant deds lanagaes tels que Python, SQL ou R
Travailler en collaboration avec les équipes de Data Science internes: Proposer des axes d'amélioration des outils et environnements de travail / Contribuer aux évolutions et aux tests de ces outils.
Supporter les consultants dans leurs missions client: Interagir régulièrement avec les clients pour la collecte de leurs données / Accompagner les consultants dans la définition des recommandations aux clients
Contribuer à l'amélioration de l'offre et au développement de l'équipe: Aider à bâtir et à améliorer l'offre de service, aider les équipes senior dans la préparation de supports commerciaux qui intègrent des analyses de données / Maintenir les documents de références à jour
Pourquoi venir chez nous?
Mon client a pour objectif de développer une croissance digne des entreprises de la Silicon Valley. Pour répondre à ses ambitions , il est à la recherche de nouveaux talents avec une culture d'apprentissage rapide. Mon client est attentif au potentiel d'évolution, à l'ambition et à l'esprit entrepreneurial du candidat. En retour, elle offre un environnement de travail dynamique dans un secteur d'activité motivant, passionnant, stimulant, avec de belles opportunités d'évolutions.
ChooseYourBoss - il y a 27 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=7f70430afc6812d8&advn=4190676325902957,senior,cdi,65 000 € par an,Annuel,[65000],65000.0,65000.0
"Développeur.se full stack, avec sensibilité machine learning...",Car&Boat Media,Paris 9e (75),"Paris 9e (75)
CDI
60 000 € par an
Python / Scala / Nodejs / Aws / Angular / Agile
Full Stack Developer, Backend Developer / CDI / Environ 60k€ / 7+ / Paris

Le poste
Vous aimez livrer de la valeur rapidement au client ? Vous savez que tant qu’une fonctionnalité n’est pas en production et utilisée, les développements n’ont pas de valeur ? Vous êtes adepte du proverbe « Fool me once, shame on you. Fool me twice shame on me » et ne tolérez pas qu’un bug puisse vous narguer une deuxième fois sans se faire capturer dans des tests automatiques ? En bon agiliste, vous n’avez peur ni des nouvelles technologies, ni du changement. Composée à terme d’un.e product owner, un.e data scientist et deux développeur.se.s, l'équipe Fiabilité recherche un.e développeur.se pour construire un nouveau système anti-fraude intelligent. Elle emploiera essentiellement du Python et du Node.js dans un contexte AWS.
Les responsabilités
Être force de proposition sur tous les plans : organisationnel, technique, humain. Un véritable équipier.
Construire des interfaces permettant d’alimenter ces modèles
Pourquoi venir chez nous?
Situé en plein de cœur de Paris, CarBoat Media est le leader français de la petite annonce et de l’éditorial automobile. Notre histoire a plus de quarante ans : elle a débuté en 1969 avec la naissance de la Centrale des Particuliers. Nos sites comptent 9 millions de visiteurs uniques par mois. En parallèle, nous continuons à nous remettre en question pour nous améliorer et faciliter la vie de nos clients. Nos technologies reflètent cette adaptation au changement, avec une infrastructure à 95% sur AWS et du code en Node.js et Scala.
ChooseYourBoss - il y a 15 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=4f3da17c5fe914dc&advn=4190676325902957,senior,cdi,60 000 € par an,Annuel,[60000],60000.0,60000.0
Stage Data Science H/F (Paris),Keyrus,Paris (75),"Paris (75)
Stage
1 200 € par mois
Tu recherches un stage en #DataScience ?
Tu souhaites développer ton potentiel et travailler sur des cas d’usage concrets?
Rejoins notre Team de Data Geeks !
Qui sommes-nous ? Une success story dans la Data et le Digital !
Notre mission ? Des projets à forte valeur ajoutée pour accroître la performance et la compétitivité des entreprises, faciliter et accélérer leur transformation.
Notre expertise depuis plus de 20 ans ? Le conseil et l'intégration de solutions innovantes autour de trois domaines :
Data Intelligence : Business Intelligence et Big Data & Analytics
Digital Experience : Conseil, Stratégie & Performance Digitales
Conseil en Management & Transformation :Pilotage de la Performance & Accompagnement des Projets
Nous sommes plus de 3200 talents sur plus de 18 pays et 4 continents. Notre ADN ? Innover et entreprendre.
Description du poste:
Tu seras encadré tout au long de ton projet par des Experts en Data science (consultants séniors et docteurs en mathématiques).
Tu accompagneras nos clients ou nos équipes internes dans la résolution de leurs problématiques, et la valorisation leur Datas.
Quelques exemples de sujets sur lesquels ont travaillé nos « Data Science Padawans »:
Bot « assistant du journaliste » pour 20 Minutes : suite à la rédaction d’un article notre Bot propose des articles associés (Word2Vec, LDA, Content based), un titre à l’article (mise en œuvre d’algorithmes de contraction de textes, des images associées (CNN, LSTM) ainsi que des tags
Moteur de recommandation d’article (NLP) pour 20 minutes le tout intégré dans une API Flask
Développement d’un algorithme de prévision de nombre de courses de taxi en quasi-temps réel pour G7
Développer d’un agent mettant en place des algorithmes de Deep Learning et de traitement automatique du langage naturel pour la proposition automatique de CVs/profils en réponse à des descriptions de postes exprimées en langage naturel. Intégration de l’agent développé dans une interface de type ChatBot, offrant la possibilité d’interagir et de converser de façon naturelle (pour spécifier les compétences demandées, apporter des précisions supplémentaires, etc.).

Ton profil :
D’un tempérament curieux, tu es un véritable « Data enthusiast ».
Ton cerveau est toujours en ébullition et tu es en veille sur les nouvelles technologies.
Compétences souhaitées
Très bon niveau en mathématiques, statistiques et modélisation (connaissances théoriques et pratiques, facilité à comprendre des modèles et à les appliquer)
Connaissance des algorithmes de Machine Learning et de Deep Learning
Bon niveau en programmation Python (compétence prioritaire) et R
Connaissance de l’environnement Big Data (Hadoop, idéalement Spark)
Bon niveau en développement dans le cadre de projets universitaires ou au travers de la participation à une compétition Kaggle ou Data Science
Pourquoi nous rejoindre ?
Pour intégrer une communauté d’experts curieux et passionnés et évoluer dans un environnement multiculturel, formateur et favorisant la mobilité internationale.
Parce que vous êtes #DataGeek, #DigitalAddict, #InnovationLover !
Informations complémentaires :
Durée du stage : 6 mois (stage de fin d’études/pré-embauche)
Gratification : 1 200€ bruts mensuels (+ prime de 1000 € bruts versés à l’issu du stage si embauche)
Mail de candidature : jobs@keyrus.com
#KeyrusRocks #YouRock
Keyrus est une entreprise où il fait bon vivre et travailler !
Découvrez :
> La vie chez Keyrus en 60 sec
> Keyrus en 3 mots
> Nos animations pour nos collaborateurs sur Facebook et sur Instagram.
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=8730da27716897ec,senior,stage,1 200 € par mois,Mensuel,[1200],14400.0,14400.0
Data Scientist / R&D – Optimisation énergétique & IA,Octopus IT,Paris (75),"Paris (75)
CDI
45 000 € - 60 000 € par an
La société
Créé en 2013, cette entreprise développe un logiciel permettant aux entreprises du secteur de l’industrie de suivre et optimiser en temps réel leur consommation énergétique.
Deux leviers sont offerts à leurs clients :
Humaine, avec une équipe d’ingénieurs fournissant des solutions détaillées d’optimisations
Technologique, en se basant sur des ontologies ils réalisent des analyses prédictives et automatisent les bonnes pratiques à mettre en place
Ayant levé plusieurs fois des fonds sur les dernières années, ils sont aujourd’hui déjà présents sur 4 continents et se sont imposés comme un acteur mondial majeur de son secteur d’activité.
L’énergie étant un enjeu moderne très important, il est primordial pour eux de conserver une expertise technologique. C’est pourquoi ils ont en interne une équipe de data scientist consacré au projet de R&D qu’il souhaite faire grandir avec une nouvelle personne.
Le poste
Au sein de l’équipe R&D vos missions seront :
Travailler sur des algorithmes de Machine learning/Deep learning (prédiction/gestion énergétique)
Etablissement de stratégies d’optimisation de dimensionnement de microgrids
Développement de modèles théoriques
Réaliser de la veille technologique et être force de proposition sur les choses à implémenter
Aller à des conférences présenter vos travaux
Votre Profil
Bac+8 / PhD ou bac+5 avec 3 ans d’expériences en R&D
Bases solides en Mathématiques et Physique
Bon niveau en Python (pandas, numpy, sk learn, keras, tensorflow)
Connaissance en algoruthme d’optimisation (Monte Carlo, filtre particulaire etc.) et sur l’application de la théorie des graphes est un vrai plus
Anglais courant
Salaire
45/60k€ (selon expérience)
Ce qu’on préfère :
Un sujet sociétal innovant permettant de voir directement le fruit de son travail
Une société en hyper croissance
De belles perspectives d’évolution en interne
Des bureaux en plein cœur de Paris
Cette annonce vous a été proposée par OctopusIT - https://www.octopusit.fr/
Type d'emploi : CDI
Salaire : 45 000,00€ à 60 000,00€ /an
il y a 4 jours
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=1148d6bc3bd8f0ae,senior,cdi,45 000 € - 60 000 € par an,Annuel,"[45000, 60000]",45000.0,60000.0
Data scientist / Freelance,INFOTEL CONSEIL,Paris (75),"Paris (75)
Temps plein, Freelance / Indépendant
520 € par semaine
Nous recherchons pour l’un de nos clients basé sur Paris un data scientist

Contexte:
Nous aurions besoin d’une aide sur les outils SAS et R, pour aider les agents à utiliser ces outils au quotidien et aussi un profil pédagogue.
La mission sera d’accompagner les agents (4 en SAS et 1 en R) dans le carde d’un apprentissage.

Nous recherchons un profil confirmé.

Compétences :Vous disposez d’une solide expérience autour :
SAS, Hive et R
Freelance-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=a9b0496383e686bd,confirmé,apprentissage,520 € par semaine,Hebdo,[520],27040.0,27040.0
(H/F) Stage Deep Learning Commande d'un Exosquelette,Wandercraft,Paris (75),"Paris (75)
Stage
1 000 € par mois
Wandercraft recrute !
À propos
Le jeune leader de la robotique de marche cherche de nouveaux talents pour compléter son équipe d’experts ! Rejoignez-nous !
Notre objectif : redonner la capacité de se lever et de marcher aux personnes à mobilité réduite. Nous réalisons les promesses de la robotique pour offrir une vie ordinaire à des gens extraordinaires. Pour cela, nous avons créé Atalante, l'exosquelette de marche qui permet aux personnes paraplégiques ou hémiplégiques de marcher à nouveau. Dans une première phase, Atalante est dédié au réapprentissage de la marche en milieu hospitalier. Atalante est le premier exo au monde capable de générer son propre équilibre, sans que son porteur ne doive se stabiliser avec des béquilles. Avec lui, tous les jours, des patients se lèvent d'un fauteuil roulant et marchent. Avec l’obtention du marquage CE, nous entamons sa commercialisation en France et en Europe.
Ce projet hors du commun est réalisé par une équipe soudée autour d'une ambition : améliorer la vie quotidienne des personnes à mobilité réduite. Nous travaillons dans un environnement solidaire, bienveillant, fun et agile. Chaque membre de la Wanderteam apporte cette effervescence et cette passion qui tire l'état de l'art de la robotique médicale vers le haut.
Depuis le cœur de Paris, nous coopérons avec les meilleurs laboratoires universitaires et des équipes médicales de premier plan, en Europe et aux USA.
Nous cherchons des talents enthousiastes, passionnés, créatifs, mais surtout, dotés d’un savoir-être qui nous est cher : exigeant(e) envers vous-même, honnête et engagé(e) dans tout ce que vous faites. Attendez-vous à être challengé(e) : nous faisons des choses que personne n’a encore faites. A devoir travailler intensément et vite : nous testons et apprenons. A devoir viser la perfection : nous faisons des exosquelettes de haute technologie qui changent la vie et la santé des personnes à mobilité réduite. En vidéo ici: https://www.youtube.com/watch?v=ytixnl7tPe0.
Descriptif du poste
Au sein d'une jeune start-up dynamique située à Paris, vous participerez a l'amélioration du processus de controle de l’exosquelette en combinant des méthodes classiques de Robotique (Filtrage / Direct Collocation) à des méthodes classiques de Machine Learning par Réseau de Neurones (Deep Learning, Reinforcement Learning, Sequence Modelling). Ce stage est orienté particulièrement sur le développement d'une approche hybride Deep Learning / Fusion de Capteur dans le but 1/ d'affiner la reconstruction du mouvement et de la position du robot du l'espace, 2/ effectuer cette estimation en temps réel et en embarqué pendant l'exécution du robot et 3/ apporter des corrections en ligne aux mouvements du robot.
Vous serez intégré dans l’équipe commande, composée de doctorants et d’ingénieurs, sous l’encadrement d’un des membre de l’équipe. Vous collaborerez avec les équipes mécanique et électronique pour mettre en application les méthodes développées.
Vos principales activités seront:
Amélioration des méthodes existantes d'estimation d'état et du robot.
Développement d'une méthode rapide pour l'estimation en ligne.
Evaluation des algorithmes en simulation et estimation des performances – efficacité, robustesse, etc.
Détermination des besoins matériel / logiciel pour l'intégration à l'exo-squelette de manière embarquée.
Participation aux tests sur le robot avec ou sans utilisateurs.
Les compétences obligatoires pour ce stage sont d'avoir déjà travaillé avec des réseaux de neurones (CNNs et / ou RNNs) entrainés sur GPU, idéalement sur des données séquentielles.
Les compétences optionelles sont la connaissance de méthodes / algorithmes de robotique rigide, signal processing, et fusion de données.
Stage de préférence pour une durée de 6 mois consécutifs, minimum 3 mois.
Profil recherché
A la fois créatif et rigoureux, vous avez une bonne capacité à travailler au sein d'une équipe et savez partager votre savoir et votre expérience avec les personnes avec qui vous travaillez. Vous appréciez de travailler sur un produit innovant et de confronter vos choix aux problématiques réelles observées sur le prototype. Vous savez rendre compte de vos choix et les argumenter, y compris avec des personnes qui n’ont pas votre formation. Vous aimez travailler dans des petites structures (20-30 personnes) et vous savez vous adapter à des changements rapides et non prévisibles d’ordre de priorité des tâches.
Ce poste conviendra particulièrement aux candidats désireux d’intégrer une équipe dynamique et de haut niveau scientifique, axée sur le développement technologique d’un produit complexe et pluridisciplinaire au sein d’une jeune entreprise innovante en pleine croissance.
Process de recrutement
Entretiens techniques sur des sujets de machine learning (deep learning / modélisation probabiliste), mathématiques (optimisation), développement C++/python, modélisation d'un système mécanique.
Informations complémentaires
Type de contrat : Stage
Lieu : Paris, France (75004)
Niveau d'études : Bac +3
Salaire : 1000€ / mois
il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=9f21fd9be5d70375,senior,stage,1 000 € par mois,Mensuel,[1000],12000.0,12000.0
Data Scientist H/F,HPR,Paris (75),"Paris (75)
Temps plein, CDI
45 000 € - 55 000 € par an
Contexte :
Nous recherchons pour notre client, entreprise innovante leader sur son marché, un Data Scientist H/F.
Mission :
Rattaché à un service Systèmes d’Information, la mission principale du Data Scientist sera créer, administrer, analyser le big data, autrement dit les données de l’entreprise. A ce titre, ses missions seront de :
Maîtriser les outils statistiques et les informations nécessaires à la mise en place d'une base de données ;
Gérer parfaitement les différentes technologies spécifiques au big data ;
Trouver des sources de données pertinentes ;
Extraire les données du système source ;
Extraire et traduire des données business en données statistiques ;
Optimiser la segmentation client au travers de données de consommation ;
Modéliser et assurer les mises à jour régulières de la base de données ;
Contrôler la qualité des données ;
Analyser les informations chiffrées générées par l'activité de l'entreprise ;
Mettre en œuvre une « data warehouse » (trad.: entrepôt de données), aussi appelée DMP (Data Management Platform) ;
Synthétiser et vulgariser les informations pour les rendre accessibles aux dirigeants de l'entreprise ;
Proposer des recommandations sur les bases de données à modifier ;
Définir la cible des campagnes de marketing ;
Déterminer des tendances d'achat ou de consommation ;
Faciliter les prises de décision des entreprises en assurant un rôle de consultant.
Profil :
Issu(e) d’un diplôme supérieur de niveau bac +4/5, type diplôme d’Ingénieur, ou similaire tel que l’ingénierie, les statistiques, le marketing, l’informatique, et justifiant d’une première expérience réussie.
Rémunération :
45K à 55K/an.
Type d'emploi : Temps plein, CDI
Salaire : 45 000,00€ à 55 000,00€ /an
Expérience:
data scientist h/f ou similaire: 2 ans (Souhaité)
il y a 11 jours
Signaler cette offre d'emploi",,Data_scientist,Paris,16/10/2019,vjk=8d5f755b3a18ea80,senior,cdi,45 000 € - 55 000 € par an,Annuel,"[45000, 55000]",45000.0,55000.0
