Titre,métier_sc,loc_sc,contrat,Titre_propre,Salaire,range_salaire,x_min,x_max,Salaire_avg
Développeur web full stack H/F symphony/PHP,developer,Bordeaux,cdi,développeur web full stack h f symphony php,1,33 - 43.5,33.0,43.5,33.0
Développeur.NET confirmé H/F,developer,Bordeaux,cdi,développeur net confirmé h f,1,33 - 43.5,33.0,43.5,33.0
Développeur PHP. / Freelance,developer,Bordeaux,freelance,développeur php freelance,0,20 - 33.0,20.0,33.0,20.0
Développeur Java JEE / Freelance,developer,Bordeaux,freelance,développeur java jee freelance,0,20 - 33.0,20.0,33.0,20.0
DEVELOPPEUR (EUSE) GESTION INFORMATIQUE H/F,developer,Bordeaux,cdi,developpeur euse gestion informatique h f,1,33 - 43.5,33.0,43.5,33.0
Développeur SQL et JAVA / Freelance,developer,Bordeaux,freelance,développeur sql et java freelance,0,20 - 33.0,20.0,33.0,20.0
Intégrateur web - développeur Moodle F/H,developer,Bordeaux,apprentissage,intégrateur web développeur moodle f h,3,56.0 - 77.5,56.0,77.5,56.0
Développeur/se React / React Native - Bordeaux - H/F,developer,Bordeaux,cdi,développeur se react react native bordeaux h f,1,33 - 43.5,33.0,43.5,33.0
Développeur informatique junior (H/F),developer,Bordeaux,intérim,développeur informatique junior h f,0,20 - 33.0,20.0,33.0,20.0
Developpeur/se Java/angular - Bordeaux - H/F,developer,Bordeaux,cdi,developpeur se java angular bordeaux h f,1,33 - 43.5,33.0,43.5,33.0
Développeur Android H/F,developer,Bordeaux,cdi,développeur android h f,1,33 - 43.5,33.0,43.5,33.0
Développeur Web Back-end sur Bordeaux,developer,Bordeaux,cdi,développeur web back end sur bordeaux,1,33 - 43.5,33.0,43.5,33.0
Développeur,developer,Bordeaux,,développeur,0,20 - 33.0,20.0,33.0,20.0
Développeur Fullstack JS Confirmé,developer,Bordeaux,cdi,développeur fullstack js confirmé,1,33 - 43.5,33.0,43.5,33.0
Développeur Java,developer,Bordeaux,cdi,développeur java,1,33 - 43.5,33.0,43.5,33.0
Développeur Back-End Senior/DevOps (H/F),developer,Bordeaux,cdi,développeur back end senior devops h f,1,33 - 43.5,33.0,43.5,33.0
